year (AD),age (yr BP),depth (cm),d180 (permil),age_95- (yr BP),age_95+ (yr BP),d13C (permil)
482.4,1467.6,424,-1.99,1402.9,1540.8,0.16
456.2,1493.8,428,-4.43,1419.7,1580,-0.83
449.7,1500.3,429,-2.75,1423.4,1589.6,0.23
436.6,1513.4,431,-1.32,1430.7,1611,0.83
430,1520,432,-0.73,1434.5,1622.3,1.16
403.9,1546.1,436,-3.58,1448.7,1664.4,-0.9
377.6,1572.4,440,-1.84,1460.4,1707.2,0.71
364.4,1585.6,442,-2.2,1466.6,1727.9,0.81
351.2,1598.8,444,-7.25,1472,1749.3,-2.16
338.1,1611.9,446,-4.97,1477.5,1771,-0.86
324.9,1625.1,448,-6.45,1481.7,1792,-1.65
303.1,1646.9,452,-7.06,1499.1,1818.7,-2.35
285.7,1664.3,456,-4.64,1518.2,1829.5,-1.79
268.3,1681.7,460,-8.16,1530.7,1841.6,-3.78
251.2,1698.8,464,-3.96,1540.7,1857.5,-0.89
233.7,1716.3,468,-3.98,1548.8,1876.9,-0.92
216.4,1733.6,472,-4.28,1556.2,1899,-1.05
199,1751,476,-4.27,1562.2,1927.2,-0.97
177.7,1772.3,481,-6.33,1568.6,1965.7,-1.99
156,1794,486,-6.03,1575.2,2003.2,-2.28
139,1811,490,-7.42,1579,2030.4,-3.6
122,1828,494,-5.9,1584.2,2061.1,-2.82
105,1845,498,-7.88,1588,2093.8,-2.95
88.4000000000001,1861.6,502,-7.42,1606,2119.8,-3.04
71.5999999999999,1878.4,506,-8.46,1636.7,2127.5,-3.33
54.7,1895.3,510,-8.69,1666.1,2135.7,-4.06
37.9000000000001,1912.1,514,-7.95,1695.7,2144.6,-4.68
21,1929,518,-8.67,1722.8,2154.7,-3.96
4,1946,522,-6.82,1747.2,2163.9,-4.61
-13.0999999999999,1963.1,526,-6.91,1767.2,2173,-3.66
-63.9000000000001,2013.9,538,-6.23,1812.4,2210.4,-3.59
-80.9000000000001,2030.9,542,-6.63,1827.4,2223.9,-2.39
-121.6,2071.6,555,-8.82,1863.6,2267,-4.23
-128.8,2078.8,560,-7.75,1873.2,2270.8,-3.72
-134.4,2084.4,564,-7.5,1882,2274.7,-2.17
-140.1,2090.1,568,-6.99,1889.1,2278.9,-2.88
-145.8,2095.8,572,-5.02,1898.3,2285.6,-1.93
-151.6,2101.6,576,-6.13,1907.1,2289.3,-1.8
-155.8,2105.8,579,-7.4,1912.8,2293.7,-2.47
-160,2110,582,-7.6,1918.1,2299,-3.12
-164.3,2114.3,585,-7.62,1925.9,2304.5,-2.58
-171.3,2121.3,590,-7.48,1933.4,2313.2,-2.95
-177,2127,594,-8.05,1938.8,2321.8,-3.18
-188.4,2138.4,602,-5,1950.2,2336.6,-1.61
-205.4,2155.4,614,-7.76,1978.2,2347.1,-2.21
-218.6,2168.6,623,-5.03,1996,2357.4,-1
-224.5,2174.5,627,-5.37,2002.6,2364,-1.11
-230.3,2180.3,631,-7.49,2009.3,2370.4,-1.67
-236.4,2186.4,635,-5.95,2014.6,2380.8,-1.19
-242.1,2192.1,639,-5.2,2018.6,2391.8,-0.77
-248,2198,643,-4.57,2023,2403.1,-0.89
-253.8,2203.8,647,-4.95,2026,2414.9,-0.9
-260.7,2210.7,651,-5,2031.3,2426.4,-1.2
-272.9,2222.9,656,-5.62,2046.1,2436.1,-1.68
-282.5,2232.5,660,-6.22,2058.4,2444.4,-1.77
-292.2,2242.2,664,-5.12,2068.6,2453.9,-1.38
-301.8,2251.8,668,-5.46,2076.5,2463.4,-1.66
-311.4,2261.4,672,-6.39,2083.7,2475.6,-1.5
-323.6,2273.6,677,-8.02,2092.7,2493.9,-2.81
-333.4,2283.4,681,-8.91,2096.3,2509,-2.56
-343.2,2293.2,685,-5.71,2101.8,2527.4,-0.84
-352.8,2302.8,689,-5.55,2106.1,2543.9,-0.95
-365,2315,694,-7.34,2110.7,2566.5,-2.43
-377.2,2327.2,699,-9.28,2118,2593.5,-3.58
-387.1,2337.1,703,-7.04,2130.9,2605.8,-1.83
-396.6,2346.6,707,-5.81,2142.7,2612.6,-1.19
-401.6,2351.6,709,-7.46,2148.5,2617,-2.18
-406.5,2356.5,711,-5.89,2155.4,2619.7,-1.52
-416.5,2366.5,715,-8.28,2167.1,2627.4,-3.32
-428.9,2378.9,720,-7.52,2182.9,2636.5,-3.69
-438.3,2388.3,724,-6.43,2192.6,2645.3,-2.73
-457.6,2407.6,732,-9.03,2204.5,2663.6,-3.13
-471.9,2421.9,738,-8.42,2213,2677.3,-3.31
-481.4,2431.4,742,-6.45,2218.5,2689.2,-2.75
-491,2441,746,-9.82,2224.9,2699.8,-3.78
-501.2,2451.2,750,-9.65,2227.4,2717.4,-3.97
-518.2,2468.2,754,-6.82,2258.7,2723.8,-2.65
-535.5,2485.5,758,-5.25,2289.3,2735.2,-1.53
-588.3,2538.3,770,-7.43,2364.2,2779.4,-1.93
-606.3,2556.3,774,-7.9,2374.9,2807.9,-2.18
-633.1,2583.1,780,-7.26,2386.5,2866.1,-1.8
-650.5,2600.5,784,-6.33,2392.1,2905.9,-1.75
-686.1,2636.1,792,-4.72,2401.4,2989.1,-1.1
-703.4,2653.4,796,-4.29,2404.4,3034.6,-1.12
-716.2,2666.2,799,-5.76,2406,3067.8,-1.33
-750.2,2700.2,803,-4.91,2426.7,3104,-1.54
-789.7,2739.7,807,-7.4,2443.1,3148.7,-1.81
-829.3,2779.3,811,-6.71,2459.7,3188.9,-1.91
-936.9,2886.9,822,-8.52,2495.2,3368.1,-2
-976.1,2926.1,826,-6.13,2504.9,3446.9,-2.14
-1082.6,3032.6,837,-8.63,2525.2,3700.1,-2.12
-1120.9,3070.9,841,-3.32,2533.2,3797.7,-0.5
-1298.8,3248.8,860,-2.32,2620,4117.2,-0.69
-1498.1,3448.1,882,-6.11,2749.9,4389.2,-1.84
-1587.3,3537.3,892,-7.2,2791.7,4519.6,-0.8
-1691.7,3641.7,903,-6.32,2850.7,4689.4,-1.79
-2024.2,3974.2,935,-5.94,3015.8,5023.1,-1.19
-2045.3,3995.3,937,-5.32,3024.5,5033.6,-1.01
-2085.7,4035.7,941,-5.56,3035.8,5089.2,-1.06
-2108.2,4058.2,943,-3.97,3042.5,5125.4,-0.69
-2149.5,4099.5,947,-7.59,3052.3,5180.3,-1.73
-2170.2,4120.2,949,-4.84,3059.1,5215.5,-2.12
-2189.7,4139.7,951,-7.26,3084.3,5237.9,-1.93
