year (AD) [1-1],age (yr BP) [1-1],CaCO3 (Percent) [1-1],C14age (C14yr BP) [1-1],year (AD) [2-1],age (yr BP) [2-1],S (Percent) [2-1],year (AD) [3-1],age (yr BP) [3-1],d18OPyrgophorusSp_ (permil) [3-1],d18OPhysocypriaSp_ (permil) [3-1],d13CPyrgophorusSp_ (permil) [3-1],d13CPhysocypriaSp_ (permil) [3-1],year (AD) [4-1],age (yr BP) [4-1],d18OCyprinotusSp_ (permil) [4-1],d13CCyprinotusSp_ (permil) [4-1],year (AD) [5-1],age (yr BP) [5-1],d18OAmmoniaBeccarii (permil) [5-1],d13CAmmoniaBeccarii (permil) [5-1],TotalAmmoniaBeccarii (unitless) [5-1],year (AD) [6-1],age (yr BP) [6-1],d18OTerrestrialGastropods (permil) [6-1],d13CTerrestrialGastropods (permil) [6-1]
1693.642,256.358,34.17,284.6,1527.332,422.668,3.66,1693.642,256.358,2.37,2.73,-1.65,-2.38,1693.642,256.358,3.37,2.15,-6033.92,7983.92,2.48,-7.01,30,-7572.524,9522.524,NA,NA
1677.011,272.989,29.75,302.8,1510.701,439.299,2.15,1677.011,272.989,2.58,2.87,-1.21,-2.21,1677.011,272.989,2.23,0.97,-6054.47,8004.47,2.6,-7.2,35,-7610.236,9560.236,NA,NA
1660.38,289.62,35.42,321,1494.07,455.93,3.08,1660.38,289.62,2.27,2.33,-0.3,-2.33,1660.38,289.62,3.17,-0.36,-6075.02,8025.02,2.77,-7.89,50,-7647.948,9597.948,NA,NA
1643.749,306.251,66.25,339.2,1477.439,472.561,3.89,1643.749,306.251,3.16,2.33,0.26,-2.43,1643.749,306.251,2.87,1.84,-6095.57,8045.57,2.41,-6.92,250,-7685.66,9635.66,-4.02,-9.48
1627.118,322.882,48.33,357.4,1460.808,489.192,3.84,1627.118,322.882,2.52,2.55,-1,-1.52,1627.118,322.882,2.12,2.82,-6116.12,8066.12,1.66,-5.53,250,-7723.372,9673.372,-4.09,-10.1
1610.487,339.513,54.25,375.6,1444.177,505.823,NA,1610.487,339.513,2.45,2.81,-0.85,-2.43,1610.487,339.513,3.41,1.81,-6136.67,8086.67,1.88,-6.46,150,-7761.084,9711.084,-0.48,-9.27
1593.856,356.144,30.75,393.8,1427.546,522.454,NA,1593.856,356.144,2.48,2.31,0.12,-1.75,1593.856,356.144,2.16,0.91,-6157.22,8107.22,3.06,-9.63,150,-7798.796,9748.796,0.79,-8.26
1577.225,372.775,32.5,412,1410.915,539.085,NA,1577.225,372.775,3.01,2.55,-0.69,-2.19,1577.225,372.775,2.52,1.51,-6177.77,8127.77,2.02,-7.51,150,-7836.508,9786.508,NA,NA
1560.594,389.406,29.92,430.2,1394.284,555.716,NA,1560.594,389.406,2.01,2.12,-0.3,-2.67,1560.594,389.406,2.32,1.57,-6198.32,8148.32,1.72,-4.72,30,-7874.22,9824.22,NA,NA
1543.963,406.037,32.83,448.4,1377.653,572.347,4.07,1543.963,406.037,2.58,NA,-0.56,NA,1543.963,406.037,2.07,2.49,-6218.87,8168.87,1.28,-5.27,15,-7911.932,9861.932,NA,NA
1527.332,422.668,45.08,466.6,1361.022,588.978,2,1527.332,422.668,1.41,2.11,-1.17,-2.41,1527.332,422.668,2.96,0.7,-6239.42,8189.42,2.7,-4.94,30,-7949.644,9899.644,NA,NA
1510.701,439.299,48.83,484.8,1344.391,605.609,3.05,1510.701,439.299,1.53,2.25,-0.72,-1.9,1510.701,439.299,2.93,4.17,NA,NA,NA,NA,NA,-7987.356,9937.356,-1.05,-8.53
1494.07,455.93,41.25,503,1327.76,622.24,2.74,1494.07,455.93,1.83,2.37,-0.96,-2.51,1494.07,455.93,2.27,1.57,NA,NA,NA,NA,NA,-8025.068,9975.068,-2.35,-9.42
1477.439,472.561,37.33,521.2,1311.129,638.871,1.77,1477.439,472.561,2.02,2.41,-1.36,-2.34,1477.439,472.561,NA,NA,NA,NA,NA,NA,NA,-8062.78,10012.78,NA,NA
1460.808,489.192,60.75,539.4,1294.498,655.502,2.87,1460.808,489.192,1.27,2.18,-0.46,-1.85,1460.808,489.192,2.32,2.19,NA,NA,NA,NA,NA,-8100.492,10050.492,0.49,-8.52
1444.177,505.823,45.17,557.6,1277.867,672.133,2.3,1444.177,505.823,1.71,2.38,-0.51,-1.6,1444.177,505.823,2.99,3.5,NA,NA,NA,NA,NA,-8138.204,10088.204,-0.25,-8.59
1427.546,522.454,41.08,575.8,1261.236,688.764,3.69,1427.546,522.454,2.06,2.42,-0.21,-1.9,1427.546,522.454,3.17,2.2,NA,NA,NA,NA,NA,-8175.916,10125.916,-1.12,-9.09
1410.915,539.085,78.83,594,1244.605,705.395,2.7,1410.915,539.085,2.47,2.54,-0.03,-2.49,1410.915,539.085,2.5,2.87,NA,NA,NA,NA,NA,-8213.628,10163.628,NA,NA
1394.284,555.716,43.08,612.2,1227.974,722.026,2.38,1394.284,555.716,2.36,2.56,0.1,-7.5,1394.284,555.716,2.67,1.44,NA,NA,NA,NA,NA,-8251.34,10201.34,NA,NA
1377.653,572.347,51.67,630.4,1211.343,738.657,3.11,1377.653,572.347,2.24,2.44,-0.62,-4.51,1377.653,572.347,2.78,2.13,NA,NA,NA,NA,NA,-8289.052,10239.052,NA,NA
1361.022,588.978,36.92,648.6,1194.712,755.288,2.11,1361.022,588.978,2.26,2.93,-0.9,-3.82,1361.022,588.978,NA,NA,NA,NA,NA,NA,NA,-8326.764,10276.764,0.03,-7.84
1344.391,605.609,36.92,666.8,1178.081,771.919,3.18,1344.391,605.609,2.64,2.3,-1.08,-2.87,1344.391,605.609,NA,NA,NA,NA,NA,NA,NA,-8364.476,10314.476,-6.11,-8.67
1327.76,622.24,50.5,685,1161.45,788.55,2.51,1327.76,622.24,2.09,2.38,-1.03,-2.09,1327.76,622.24,NA,NA,NA,NA,NA,NA,NA,-8402.188,10352.188,NA,NA
1311.129,638.871,56.17,703.2,1144.819,805.181,2.82,1311.129,638.871,3.28,2.85,-1,-2.5,1311.129,638.871,3.16,1.38,NA,NA,NA,NA,NA,-8439.9,10389.9,-5.01,-8.99
1294.498,655.502,33.92,721.4,1128.188,821.812,2.5,1294.498,655.502,2.29,2.53,-0.56,-2.49,1294.498,655.502,2.51,2.52,NA,NA,NA,NA,NA,-8477.612,10427.612,0.81,-8.45
1277.867,672.133,48.5,739.6,1111.557,838.443,2.35,1277.867,672.133,1.14,2.34,-1.91,-3.24,1277.867,672.133,2.98,2.06,NA,NA,NA,NA,NA,-8515.324,10465.324,0.13,-9.29
1261.236,688.764,30.25,757.8,1094.926,855.074,2.27,1261.236,688.764,3.48,2.33,-1.02,-3.96,1261.236,688.764,2.71,1.07,NA,NA,NA,NA,NA,-8553.036,10503.036,1.25,-8.97
1244.605,705.395,31.75,776,1078.295,871.705,3.05,1244.605,705.395,2.5,2.49,-1.92,-3.62,1244.605,705.395,3.17,2.55,NA,NA,NA,NA,NA,-8590.748,10540.748,-0.24,-6.62
1227.974,722.026,45.25,794.2,1061.664,888.336,2.68,1227.974,722.026,2.78,2.59,-1.15,-2.88,1227.974,722.026,2.67,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
1211.343,738.657,34.35,812.4,1045.033,904.967,1.53,1211.343,738.657,1.11,2.78,-1.43,-2.8,1211.343,738.657,2.49,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
1194.712,755.288,44.5,830.6,1028.402,921.598,3.27,1194.712,755.288,2.62,1.11,-2.27,-3.71,1194.712,755.288,2,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
1178.081,771.919,39.33,848.8,1011.771,938.229,2.98,1178.081,771.919,2.97,2.6,-0.99,-2.73,1178.081,771.919,3.53,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
1161.45,788.55,51.42,867,995.14,954.86,4.02,1161.45,788.55,2.13,2.19,-0.89,-1.91,1161.45,788.55,2.14,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
1144.819,805.181,41.92,885.2,978.509,971.491,3.42,1144.819,805.181,3.49,1.87,-0.27,-1.6,1144.819,805.181,2.82,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
1128.188,821.812,45.75,903.4,961.878,988.122,3.97,1128.188,821.812,1.37,2.19,-0.94,-2.78,1128.188,821.812,2.13,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
1111.557,838.443,46.33,921.6,945.247,1004.753,5.2,1111.557,838.443,2.95,2.6,-0.12,-0.58,1111.557,838.443,2.9,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
1094.926,855.074,42.42,939.8,928.616,1021.384,4.75,1094.926,855.074,1.36,2.38,-1.15,-0.75,1094.926,855.074,2.65,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
1078.295,871.705,44.17,958,911.985,1038.015,14.96,1078.295,871.705,3.26,NA,-0.73,NA,1078.295,871.705,3.01,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
1061.664,888.336,46.42,976.2,891.43,1058.57,16.35,1061.664,888.336,2.66,2.45,-1.18,-3,1061.664,888.336,2.37,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
1045.033,904.967,57.17,994.4,870.88,1079.12,NA,1045.033,904.967,2.73,NA,-1.02,NA,1045.033,904.967,2.64,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
1028.402,921.598,46.75,1012.6,850.33,1099.67,9.38,1028.402,921.598,2.4,1.76,-1.8,-3.42,1028.402,921.598,2.33,-0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011.771,938.229,40,1030.8,829.78,1120.22,6.78,1011.771,938.229,1.58,1.78,-1.33,-2.76,1011.771,938.229,3.54,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
995.14,954.86,60.92,1049,809.23,1140.77,14.63,995.14,954.86,0.91,1.23,-3.38,-2.97,995.14,954.86,3.6,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
978.509,971.491,31.33,1067.2,788.68,1161.32,11.59,978.509,971.491,3.35,1.63,-1.49,-2.46,978.509,971.491,3.08,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
961.878,988.122,24.83,1085.4,768.13,1181.87,8.66,961.878,988.122,3.61,2.16,-0.68,-3.04,961.878,988.122,2.99,-0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
945.247,1004.753,23.58,1103.6,747.58,1202.42,6.61,945.247,1004.753,3.34,2.14,-1.8,-2.68,945.247,1004.753,3.84,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
928.616,1021.384,27.5,1121.8,727.03,1222.97,8.63,928.616,1021.384,3.24,2.46,-0.48,-5.43,928.616,1021.384,3.58,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
911.985,1038.015,7.17,1140,706.48,1243.52,7.21,911.985,1038.015,3.52,1.89,-0.53,-4.72,911.985,1038.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
891.43,1058.57,1.17,1158.009,685.93,1264.07,5.59,891.43,1058.57,3.27,NA,0.12,NA,891.43,1058.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
870.88,1079.12,NA,1175.987,665.38,1284.62,6.23,870.88,1079.12,NA,NA,NA,NA,870.88,1079.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
850.33,1099.67,17.33,1193.965,644.83,1305.17,9.06,850.33,1099.67,3.22,NA,-0.37,NA,850.33,1099.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
829.78,1120.22,32.33,1211.943,624.28,1325.72,6,829.78,1120.22,3.65,NA,-0.77,NA,829.78,1120.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809.23,1140.77,9.58,1229.921,603.73,1346.27,6.08,809.23,1140.77,2.55,NA,-0.33,NA,809.23,1140.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788.68,1161.32,7.08,1247.899,583.18,1366.82,4.46,788.68,1161.32,2.53,NA,-0.63,NA,788.68,1161.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
768.13,1181.87,11.33,1265.877,562.63,1387.37,5.25,768.13,1181.87,2.21,2.09,-1.74,-4.34,768.13,1181.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747.58,1202.42,36,1283.855,542.08,1407.92,4.27,747.58,1202.42,0.75,2.35,-1.22,-3.11,747.58,1202.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
727.03,1222.97,21.33,1301.833,521.53,1428.47,5.64,727.03,1222.97,3.07,2.32,-0.38,-8.81,727.03,1222.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
706.48,1243.52,28.08,1319.811,500.98,1449.02,6.41,706.48,1243.52,3.07,1.8,-0.38,-6.71,706.48,1243.52,3.47,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
685.93,1264.07,22.25,1337.789,480.43,1469.57,8.17,685.93,1264.07,2.18,NA,-0.99,NA,685.93,1264.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665.38,1284.62,24.08,1355.767,459.88,1490.12,7.82,665.38,1284.62,3.2,2.53,-0.29,-6.63,665.38,1284.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
644.83,1305.17,11.25,1373.745,439.33,1510.67,7.74,644.83,1305.17,3.08,2.32,-0.71,-7.26,644.83,1305.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
624.28,1325.72,35,1391.723,418.78,1531.22,5.29,624.28,1325.72,1.62,NA,-0.79,NA,624.28,1325.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
603.73,1346.27,22.33,1409.701,398.23,1551.77,3.47,603.73,1346.27,2.08,2.13,-1.71,-7.14,603.73,1346.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
583.18,1366.82,34.83,1427.679,377.68,1572.32,2.05,583.18,1366.82,2.2,2.5,-1.13,-5.14,583.18,1366.82,2.2,-1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
562.63,1387.37,29.33,1445.657,357.13,1592.87,4.57,562.63,1387.37,3.01,2.33,-0.84,-9.6,562.63,1387.37,3.36,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
542.08,1407.92,35.33,1463.635,336.58,1613.42,2.99,542.08,1407.92,2.58,2.45,-1.1,-8.65,542.08,1407.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
521.53,1428.47,35.25,1481.613,316.03,1633.97,4.21,521.53,1428.47,2.43,2.46,-1.14,-7.89,521.53,1428.47,1.3,-1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
500.98,1449.02,35.08,1499.591,295.48,1654.52,2.62,500.98,1449.02,3.03,1.74,-0.78,-6.09,500.98,1449.02,3.41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
480.43,1469.57,30.83,1517.569,274.93,1675.07,3.28,480.43,1469.57,2.35,NA,-0.63,NA,480.43,1469.57,1.79,-0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
459.88,1490.12,9.5,1535.547,254.38,1695.62,6.51,459.88,1490.12,2.61,NA,-0.26,NA,459.88,1490.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439.33,1510.67,13.08,1553.525,233.83,1716.17,2.21,439.33,1510.67,1.73,2.62,0.76,-9.98,439.33,1510.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418.78,1531.22,19.75,1571.503,213.28,1736.72,2.14,418.78,1531.22,1.86,2.23,-2.07,-10.31,418.78,1531.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398.23,1551.77,25.42,1589.481,192.73,1757.27,6.23,398.23,1551.77,2.88,2.34,-0.5,-9.8,398.23,1551.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377.68,1572.32,45.67,1607.459,172.18,1777.82,7.61,377.68,1572.32,2.23,NA,-0.74,NA,377.68,1572.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357.13,1592.87,47.83,1625.437,151.63,1798.37,10.1,357.13,1592.87,2,NA,-0.78,NA,357.13,1592.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336.58,1613.42,25.17,1643.415,131.08,1818.92,2.8,336.58,1613.42,3.09,NA,-1.31,NA,336.58,1613.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316.03,1633.97,29.5,1661.393,110.53,1839.47,7.67,316.03,1633.97,2.59,NA,-1.4,NA,316.03,1633.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295.48,1654.52,34.75,1679.371,89.98,1860.02,6.02,295.48,1654.52,2.93,2.18,0.62,-10.34,295.48,1654.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274.93,1675.07,48.42,1697.349,69.4300000000001,1880.57,4.84,274.93,1675.07,-0.49,2.16,-3.86,-7.89,274.93,1675.07,2.5,-1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
254.38,1695.62,36.5,1715.327,48.8800000000001,1901.12,4.87,254.38,1695.62,1.56,1.64,-1.29,-5.5,254.38,1695.62,2.73,-2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
233.83,1716.17,29.33,1733.305,28.3299999999999,1921.67,7.41,233.83,1716.17,1.96,2.29,-0.56,-3.53,233.83,1716.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213.28,1736.72,62.58,1751.283,7.77999999999997,1942.22,5.85,213.28,1736.72,2.7,2.31,-0.42,-6.12,213.28,1736.72,2.42,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
192.73,1757.27,57.08,1769.261,-12.77,1962.77,6.05,192.73,1757.27,0.89,NA,-1.91,NA,192.73,1757.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172.18,1777.82,22.17,1787.239,-33.3199999999999,1983.32,6.46,172.18,1777.82,3.62,NA,0.08,NA,172.18,1777.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151.63,1798.37,12.75,1805.217,-53.8699999999999,2003.87,7.43,151.63,1798.37,0.99,NA,-2.25,NA,151.63,1798.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131.08,1818.92,54.92,1823.195,-74.4200000000001,2024.42,8.48,131.08,1818.92,2.07,2.67,0.69,-2.5,131.08,1818.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110.53,1839.47,10,1841.173,-94.97,2044.97,7.51,110.53,1839.47,1.3,NA,-1.14,NA,110.53,1839.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89.98,1860.02,14.67,1859.151,-115.52,2065.52,8.01,89.98,1860.02,3.62,2.04,-2.67,-2.37,89.98,1860.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69.4300000000001,1880.57,30.75,1877.129,-136.07,2086.07,8.03,69.4300000000001,1880.57,1.76,NA,-1.03,NA,69.4300000000001,1880.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.8800000000001,1901.12,30.92,1895.107,-156.62,2106.62,8.05,48.8800000000001,1901.12,3,NA,-0.34,NA,48.8800000000001,1901.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28.3299999999999,1921.67,11,1913.085,-177.17,2127.17,8.09,28.3299999999999,1921.67,2.46,NA,-1.02,NA,28.3299999999999,1921.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.77999999999997,1942.22,29.42,1931.063,-197.72,2147.72,12.01,7.77999999999997,1942.22,1.15,2.62,-0.83,-7.12,7.77999999999997,1942.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12.77,1962.77,17.33,1949.041,-218.27,2168.27,12.63,-12.77,1962.77,3.07,2.72,-0.25,-8.68,-12.77,1962.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-33.3199999999999,1983.32,11.83,1967.019,-238.82,2188.82,12.6,-33.3199999999999,1983.32,2.09,2.57,-1.18,-6.11,-33.3199999999999,1983.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-53.8699999999999,2003.87,7.33,1984.997,-259.37,2209.37,5.93,-53.8699999999999,2003.87,2.93,NA,0.33,NA,-53.8699999999999,2003.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-74.4200000000001,2024.42,3.17,2002.975,-279.92,2229.92,4.38,-74.4200000000001,2024.42,2.74,NA,0.09,NA,-74.4200000000001,2024.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-94.97,2044.97,16,2020.953,-300.47,2250.47,3.77,-94.97,2044.97,2.76,2.57,-1.47,-7.86,-94.97,2044.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-115.52,2065.52,16.17,2038.931,-321.02,2271.02,3.6,-115.52,2065.52,1.98,NA,-1.34,NA,-115.52,2065.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-136.07,2086.07,26.58,2056.909,-341.57,2291.57,4.53,-136.07,2086.07,2.78,1.84,-0.2,-6.28,-136.07,2086.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-156.62,2106.62,18.83,2074.887,-362.12,2312.12,5.39,-156.62,2106.62,1.37,NA,-0.16,NA,-156.62,2106.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-177.17,2127.17,14.92,2092.865,-382.67,2332.67,2.41,-177.17,2127.17,2.04,2.66,-0.5,-3.68,-177.17,2127.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-197.72,2147.72,9.67,2110.843,-403.22,2353.22,4.06,-197.72,2147.72,2.4,NA,-0.5,NA,-197.72,2147.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-218.27,2168.27,15.58,2128.821,-423.77,2373.77,2.35,-218.27,2168.27,2.03,NA,-0.24,NA,-218.27,2168.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-238.82,2188.82,24,2146.799,-444.32,2394.32,3.06,-238.82,2188.82,1.21,2.59,-0.21,-3.05,-238.82,2188.82,2.15,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
-259.37,2209.37,39.5,2164.777,-464.87,2414.87,1.87,-259.37,2209.37,2,2.32,-0.23,-3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-279.92,2229.92,27.17,2182.755,-485.42,2435.42,3.19,-279.92,2229.92,2.14,2.05,-2.03,-2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-300.47,2250.47,33.42,2200.733,-505.97,2455.97,4.07,-300.47,2250.47,1.05,NA,-1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-321.02,2271.02,46,2218.711,-526.52,2476.52,3.36,-321.02,2271.02,3.39,2.09,-0.59,-6.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-341.57,2291.57,17.75,2236.689,-547.07,2497.07,3.12,-341.57,2291.57,1.45,NA,-2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
