depth (cm),age (yr BP),min_age_95 (yr BP),max_age_95 (yr BP),BSI (percent),BSI_regime (percent),TOC (percent),TN (percent),NC (unitless),d13C (permil),d15N (permil)
592,6037.94,5829.65,6237.79,4.363,4.111,1.01,0.1,0.0849,-23.915,4.569
603,6144.65,5925.72,6352.8,5.461,4.111,0.9,0.09,0.0857,-24.374,4.493
613,6241.67,6012.61,6459.12,3.096,4.111,0.96,0.09,0.0804,-24.536,4.124
622,6328.98,6091.08,6555.21,4.228,4.111,0.97,0.09,0.0795,-24.807,4.341
632,6425.99,6177.47,6660.74,3.8,4.111,0.89,0.09,0.0867,-24.244,4.576
643,6532.71,6272.85,6777.5,4.454,4.111,1.06,0.09,0.0728,-24.622,4.329
652.5,6865.2,6566.01,7176.67,4.758,4.111,0.91,0.08,0.0754,-24.81,3.722
663,6948.95,6704.28,7214.52,3.888,4.111,0.99,0.1,0.0866,-24.327,4.579
672.5,7024.73,6797.57,7265.77,3.89,4.111,0.86,0.09,0.0897,-24.502,4.214
682.5,7104.49,6869.64,7345.04,5.971,4.111,0.88,0.08,0.0779,-24.46,3.912
692.5,7184.26,6918.69,7452.13,3.241,4.111,0.91,0.09,0.0848,-24.354,4.272
703,7264.02,6950.37,7592.21,3.634,4.111,1.01,0.1,0.0849,-24.448,4.519
711.5,7331.82,6975.43,7722.95,3.941,4.111,0.92,0.09,0.0839,-24.414,4.589
