year (AD),age (yr BP),depth (cm),DI0x2Dlake0x2Ddepth (m),Z0x2Dscore (standardized)
-3234.42987,5184.42987,652,1.59,-0.7
-3281.28961,5231.28961,654,1.6,-0.69
-3328.14935,5278.14935,656,1.43,-0.86
-3375.00909,5325.00909,658,2.56,0.27
-3421.86883,5371.86883,660,3.22,0.93
-3468.72857,5418.72857,662,3.18,0.89
-3515.58831,5465.58831,664,3.47,1.18
-3562.44805,5512.44805,666,3.7,1.41
-3609.30779,5559.30779,668,3.51,1.22
-3656.16753,5606.16753,670,2.78,0.49
-3703.02727,5653.02727,672,2.96,0.67
-3749.88701,5699.88701,674,3.42,1.13
-3796.74675,5746.74675,676,2.85,0.56
-3843.60649,5793.60649,678,2.13,-0.16
-3890.46623,5840.46623,680,2,-0.29
-3937.32597,5887.32597,682,1.74,-0.55
-3984.18571,5934.18571,684,1.63,-0.66
-4031.04545,5981.04545,686,1.68,-0.61
-4077.90519,6027.90519,688,1.15,-1.14
-4124.76493,6074.76493,690,1.05,-1.24
-4171.62467,6121.62467,692,1.06,-1.23
-4218.48441,6168.48441,694,1.2,-1.09
-4265.34415,6215.34415,696,1.21,-1.08
-4312.20389,6262.20389,698,NA,NA
-4359.06363,6309.06363,700,NA,NA
-4405.92337,6355.92337,702,1.5,-0.79
-4452.78311,6402.78311,704,NA,NA
-4499.64285,6449.64285,706,1.87,-0.42
