depth (cm),age (yr BP),predictedTemp (degC),tempAnom (degC),tempSmooth5 (degC),tempAv8 (degC),tempAv0 (degC),LakeName (unitless)
0.755,2226.946149,9.1083,-0.7917,-0.626,-0.352075,-0.1632,Cabin
50,2240.97,13.3199,-0.5801,-0.11192,0.0621375,-0.4806,Frozen
14.5,2288.68106,8.1341,-0.9659,-0.11564,-0.457325,-0.52011,3M
1.125,2418.367286,12.0608,1.4608,-0.41492,-0.7448875,-0.81406,Crater
0.525,2421.457895,11.3987,0.2987,-0.98092,-0.9185375,-0.73299,LOWoods
55,2482.695,11.6119,-2.2881,-1.00212,-0.8569375,-0.6928,Frozen
16.5,2654.903807,5.6899,-3.4101,-1.35406,-0.694525,-0.56632,3M
0.89,2673.075942,8.8281,-1.0719,-1.26996,-0.51465,-0.39343,Cabin
60,2724.42,13.6011,-0.2989,-0.71772,-0.55365,-0.26395,Frozen
0.915,2755.69257,10.6192,0.7192,0.19406,-0.549875,-0.47184,Cabin
1.225,2780.969966,11.0731,0.4731,0.47422,-0.341125,-0.33205,Crater
0.625,2894.777631,12.2488,1.1488,0.41038,0.2972125,-0.17525,LOWoods
65,2966.15,14.2289,0.3289,0.60586,0.3411875,0.11899,Frozen
18.5,3021.126554,8.4819,-0.6181,0.36722,0.3200875,0.40009,3M
1.325,3167.475718,12.2966,1.6966,0.04392,0.447575,0.40156,Crater
70,3207.87,13.1799,-0.7201,0.32596,0.3529125,0.31107,Frozen
1.055,3218.34569,9.4323,-0.4677,0.39274,0.1861,0.30473,Cabin
0.725,3356.289988,12.8391,1.7391,0.01628,0.1962,0.35248,LOWoods
20.5,3387.349301,8.8158,-0.2842,0.24224,0.47675,0.28363,3M
75,3449.6,13.7143,-0.1857,0.66104,0.219725,0.37127,Frozen
1.155,3548.812203,10.3097,0.4097,0.2413,0.342025,0.18646,Cabin
1.425,3577.884542,12.2263,1.6263,0.3498,0.38155,0.08257,Crater
80,3691.32,13.5404,-0.3596,0.35664,-0.0557125,0.29261,Frozen
1.205,3714.04546,10.1583,0.2583,-0.0771,0.1839,0.03466,Cabin
0.81,3739.291939,10.9485,-0.1515,-0.07582,0.1020625,0.07296,LOWoods
22.5,3753.572048,7.341,-1.759,-0.17198,0.0632,0.02668,3M
1.255,3879.278717,11.5327,1.6327,-0.20388,-0.22115,0.10571,Cabin
85,3933.05,13.0596,-0.8404,-0.30328,-0.0262,-0.18003,Frozen
1.525,4012.196438,10.6988,0.0988,0.28852,-0.212375,0.03121,Crater
90,4174.77,13.2515,-0.6485,-0.28424,0.0256625,-0.08698,Frozen
0.925,4243.892564,12.3,1.2,0.2344,0.1300875,-0.05735,LOWoods
25.5,4302.906169,7.8689,-1.2311,0.02992,-0.0559,-0.01209,3M
1.405,4374.978487,11.6528,1.7528,0.18858,-0.11415,-0.24637,Cabin
95,4416.5,12.9764,-0.9236,-0.3127,-0.2152625,0.12972,Frozen
1.625,4470.411406,10.7448,0.1448,-0.2085,0.2308625,0.34785,Crater
26.5,4486.017542,7.7936,-1.3064,0.02504,0.365875,0.41173,3M
100,4658.22,13.1899,-0.7101,0.66578,0.51855,0.41302,Frozen
1.025,4669.982784,14.0205,2.9205,0.63488,0.4510625,0.66935,LOWoods
28.5,4852.240289,11.3801,2.2801,1.13874,0.7330375,0.60356,3M
105,4899.95,13.8903,-0.0097,1.5472,0.8518,0.56176,Frozen
1.725,4952.529447,11.8129,1.2129,1.18208,0.8474,0.731,Crater
1.605,5035.911515,11.2322,1.3322,0.45774,1.1658125,0.82863,Cabin
1.125,5084.265624,12.1949,1.0949,0.82712,0.7594875,1.12128,LOWoods
110,5141.67,12.5584,-1.3416,0.51852,0.751525,1.17746,Frozen
30.5,5218.463036,10.9372,1.8372,0.69536,1.188025,1.1609,3M
115,5383.4,13.5699,-0.3301,1.17284,1.300725,0.95431,Frozen
1.825,5458.550559,12.8164,2.2164,1.86406,0.87475,1.03853,Crater
1.225,5486.741086,14.5823,3.4823,1.0815,0.994775,0.73983,LOWoods
32.5,5584.685783,11.2145,2.1145,1.55854,0.955625,0.8815,3M
120,5625.12,11.8244,-2.0756,0.7843,1.039925,1.31788,Frozen
1.86,5641.305049,12.6551,2.0551,0.59016,1.4589625,1.29311,Crater
125,5866.85,12.2452,-1.6548,0.7717,1.3806,1.4253,Frozen
1.325,5877.409168,13.6116,2.5116,1.50472,1.0692875,1.0795,LOWoods
34.5,5950.90853,12.1222,3.0222,1.29206,0.649775,0.96745,3M
1.925,5988.474743,12.1895,1.5895,1.3747,1.20445,0.81446,Crater
1.905,6027.311055,10.8918,0.9918,1.34474,1.0206375,1.52497,Cabin
130,6108.57,12.6584,-1.2416,0.85722,1.856175,1.31325,Frozen
1.425,6256.269871,13.4618,2.3618,1.54522,1.5344625,1.73013,LOWoods
1.975,6262.400488,11.1846,0.5846,1.33444,1.4709375,1.43435,Crater
36.5,6317.131277,14.1295,5.0295,2.08556,1.216475,1.06167,3M
135,6350.3,13.8379,-0.0621,1.52396,1.004425,1.27014,Frozen
1.475,6441.272456,13.614,2.514,1.26612,1.6189,1.49981,LOWoods
2.025,6542.302,10.1538,-0.4462,0.99505999999999994,1.7347375,1.94654,Crater
140,6592.02,13.1954,-0.7046,1.66518,2.064875,1.83973,Frozen
1.525,6623.323196,14.7742,3.6742,1.80752,1.5979,1.7074,LOWoods
38.5,6683.354024,12.3885,3.2885,2.1555,1.513325,1.6028,3M
1.575,6802.422091,14.3257,3.2257,2.14868,1.6970125,1.73434,LOWoods
2.075,6828.17928,11.8937,1.2937,2.21054,1.90945,1.69765,Crater
145,6833.75,13.1613,-0.7387,1.8035,2.2659125,1.75762,Frozen
1.625,6978.569141,15.0835,3.9835,1.58778,1.825825,1.89061,LOWoods
2.205,7018.710596,11.1533,1.2533,1.35974,1.492925,1.93584,Cabin
40.5,7049.576771,11.2471,2.1471,1.63254,1.605525,1.85851,3M
150,7075.47,14.0535,0.1535,1.66114,1.7582125,1.63781,Frozen
2.125,7120.032328,11.2253,0.6253,1.91352,1.9778875,1.83123,Crater
1.675,7151.764346,15.2265,4.1265,1.68784,1.8834375,2.03965,LOWoods
2.155,7298.012526,13.1152,2.5152,2.30272,1.8949625,1.89974,Crater
155,7317.2,14.9187,1.0187,2.44676,1.949625,1.93529,Frozen
1.725,7322.007707,14.3279,3.2279,2.13834,2.1315375,2.04169,LOWoods
2.165,7357.81732,11.9455,1.3455,1.95706,2.4547625,2.2133,Crater
42.5,7415.799518,11.6844,2.5844,2.39554,2.17265,2.48003,3M
2.175,7417.861144,12.2088,1.6088,2.12388,2.269825,2.25771,Crater
1.7625,7447.75308,14.3111,3.2111,2.5133,2.3804,2.28949,LOWoods
2.185,7478.144,12.4696,1.8696,2.37708,2.3310375,2.54026,Crater
1.7875,7530.660876,14.3926,3.2926,2.62192,2.60365,2.23215,LOWoods
2.195,7538.665886,12.5033,1.9033,2.68498,2.29895,2.44432,Crater
2.205,7599.426803,13.433,2.833,2.34042,2.53125,2.66765,Crater
1.8125,7612.830712,14.6264,3.5264,2.37534,2.732075,2.75627,LOWoods
162,7655.61,14.0468,0.1468,2.95822,2.81025,2.47238,Frozen
1.8375,7694.262586,14.5672,3.4672,2.89062,2.4452,2.50415,LOWoods
44.5,7782.022265,13.9177,4.8177,2.25978,2.4807,2.50126,3M
1.865,7782.985303,13.595,2.495,2.66788,2.5345375,2.23262,LOWoods
165,7800.65,14.2722,0.3722,2.62718,1.99585,2.12521,Frozen
2.455,7844.87688,12.0873,2.1873,1.50702,2.1973625,2.05983,Cabin
1.905,7910.442531,14.3637,3.2637,1.3598,2.1230375,2.42305,LOWoods
170,8042.37,13.1169,-0.7831,1.85988,1.9932,2.53371,Frozen
2.53,8092.726766,11.6589,1.7589,2.17822,2.25305,2.32006,Cabin
1.965,8098.08616,13.9726,2.8726,2.44024,2.541675,2.27631,LOWoods
1.975,8128.946839,14.879,3.779,3.1331,2.52545,2.44623,LOWoods
46.5,8148.245012,13.6738,4.5738,3.19282,2.3764125,2.53664,3M
1.985,8159.689445,13.7812,2.6812,3.03258,2.860725,2.18585,LOWoods
1.995,8190.313978,13.1575,2.0575,2.89506,2.6103375,2.57646,LOWoods
2.3125,8267.702943,12.6714,2.0714,1.93146,2.6416375,2.74598,Crater
2.025,8281.479132,14.1914,3.0914,2.01982,2.601025,2.59776,LOWoods
175,8284.1,13.6558,-0.2442,2.29914,2.2031,2.21904,Frozen
2.3375,8427.074945,13.723,3.123,2.16294,1.866925,2.03232,Crater
48.5,8514.467759,12.5541,3.4541,1.54302,1.9480625,2.13753,3M
2.105,8519.390962,12.4904,1.3904,2.13318,2.1558,2.15036,LOWoods
180,8525.82,13.8918,-0.0082,2.25524,2.0426,2.06394,Frozen
2.3625,8587.940889,13.3066,2.7066,2.00158,2.224025,2.22548,Crater
2.71,8687.56649,13.6333,3.7333,1.96494,2.422,2.63795,Cabin
2.3875,8750.300775,12.7858,2.1858,2.90794,2.4753,2.57036,Crater
185,8767.55,15.1072,1.2072,3.14272,2.6073875,2.31953,Frozen
2.205,8806.154109,15.8068,4.7068,2.88548,2.7266375,2.54649,LOWoods
50.5,8880.690506,12.9805,3.8805,2.63748,2.8458125,3.1914,3M
2.4125,8914.154603,13.0471,2.4471,3.12804,3.1842625,3.3143,Crater
190,9009.27,14.8458,0.9458,3.47486,3.4029875,3.01039,Frozen
2.305,9081.109876,14.76,3.66,3.48588,3.3388625,3.15616,LOWoods
2.86,9183.266261,16.3409,6.4409,3.1353,3.20595,3.07628,Cabin
52.5,9246.913253,13.0356,3.9356,3.67484,2.7719375,2.83433,3M
195,9251,14.5942,0.6942,3.02452,2.7519625,2.79973,Frozen
2.425,9395.471057,14.7435,3.6435,2.1938,3.07555,2.75637,LOWoods
200,9492.72,14.3084,0.4084,2.11358,2.8697375,3.01447,Frozen
2.5125,9584.509336,12.8873,2.2873,2.37744,2.505475,2.68184,Crater
2.505,9595.599275,14.6345,3.5345,2.3541,2.0552375,2.39894,LOWoods
54.5,9613.136,11.1135,2.0135,2.33916,2.41995,2.48124,3M
2.555,9716.842012,14.6268,3.5268,2.60408,2.5593375,2.52117,LOWoods
205,9734.45,14.2337,0.3337,2.8489,2.644975,2.59282,Frozen
2.605,9835.132905,14.7119,3.6119,2.6649,2.9040625,2.98812,LOWoods
2.655,9950.471953,15.8586,4.7586,2.83154,3.007425,3.14115,LOWoods
210,9976.17,14.9935,1.0935,3.63708,3.2329375,3.3196,Frozen
56.5,9979.358747,13.46,4.36,3.67822,3.4569625,3.27845,3M
2.705,10062.85916,15.4614,4.3614,3.7903,3.6155,3.267,LOWoods
2.595,10155.54652,14.4176,3.8176,3.892,3.59055,3.63162,Crater
2.755,10172.29452,16.419,5.319,3.70246,3.4932125,3.6524,LOWoods
215,10217.9,15.502,1.602,3.62616,3.8339875,3.61533,Frozen
2.605,10225.86867,14.0123,3.4123,3.62658,3.837475,3.77981,Crater
2.805,10278.77803,15.0799,3.9799,3.44036,3.6345875,3.69165,LOWoods
2.615,10296.42984,14.4197,3.8197,3.66762,3.5921875,3.69561,Crater
58.5,10345.58149,13.4879,4.3879,3.68084,3.4774375,3.62837,3M
2.625,10367.23005,13.3383,2.7383,3.76506,3.6703375,3.2415,Crater
2.855,10382.3097,14.5784,3.4784,3.63016,3.4250875,3.53709,LOWoods
3.235,10422.51569,14.301,4.401,3.04264,3.4973375,3.28234,Cabin
2.635,10438.26929,13.7452,3.1452,3.40656,3.127975,3.27852,Crater
220,10459.62,15.3503,1.4503,2.88384,3.0722,2.96338,Frozen
2.905,10482.88952,15.6579,4.5579,2.79198,2.81345,2.93101,LOWoods
2.645,10509.54756,11.4648,0.8648,2.2966,2.886675,2.81345,Crater
2.955,10580.5175,15.0417,3.9417,2.81938,2.5318875,2.86823,LOWoods
2.655,10581.06486,11.2683,0.6683,2.22034,2.6420125,2.08304,Crater
3.005,10675.19364,15.1642,4.0642,2.85262,2.0293625,2.14338,LOWoods
225,10701.35,15.4627,1.5627,1.3741,1.9282,2.48157,Frozen
60.5,10711.80424,13.1262,4.0262,1.99016,2.424125,2.44049,3M
3.335,10752.9822,6.4491,-3.4509,2.14376,2.4498,2.37551,Cabin
3.055,10766.91793,14.8486,3.7486,2.66064,2.3931375,2.13358,LOWoods
3.105,10855.69037,15.9322,4.8322,1.8984,2.0754125,2.31253,LOWoods
3.155,10941.51097,15.2471,4.1471,2.89306,2.1873,2.23667,LOWoods
2.705,10942.23681,10.815,0.215,2.6349,2.097225,1.69475,Crater
230,10943.07,15.4224,1.5224,2.32958,2.046525,1.69885,Frozen
3.205,11024.37973,13.5578,2.4578,0.72886,2.08635,2.41035,LOWoods
62.5,11078.02699,12.4056,3.3056,1.4993,1.9403375,2.20178,3M
3.435,11083.44871,6.0435,-3.8565,1.92764,1.6298125,2.10535,Cabin
3.255,11104.29664,15.1672,4.0672,1.76866,2.086425,2.08855,LOWoods
3.305,11181.26171,14.7641,3.6641,1.88112,2.3935125,2.53894,LOWoods
235,11184.8,15.5629,1.6629,3.44824,2.67615,2.55854,Frozen
3.355,11255.27493,14.9679,3.8679,3.57858,2.47775,2.31307,LOWoods
3.405,11326.3363,15.0791,3.9791,3.18944,2.9602,2.32723,LOWoods
3.455,11394.44584,15.8189,4.7189,2.85748,2.8827,2.8866,LOWoods
3.535,11413.91523,11.6184,1.7184,2.77334,2.6418375,2.8243,Cabin
240,11426.52,13.9031,0.0031,2.32496,2.8645,2.65758,Frozen
64.5,11444.24974,12.5472,3.4472,2.07002,2.630625,2.61189,3M
3.505,11459.60352,12.8372,1.7372,2.12572,2.2839875,2.22738,LOWoods
3.555,11521.80937,14.5442,3.4442,2.3663,1.696975,1.59426,LOWoods
3.605,11581.06336,13.0969,1.9969,1.68142,1.1881625,1.14111,LOWoods
3.655,11637.36552,12.306,1.206,0.86356,1.2112,0.96237,LOWoods
2.8,11644.92677,10.6228,0.0228,0.2122,0.771675,0.796,Crater
3.705,11690.71582,8.7479,-2.3521,-0.20098,0.34695,0.59772,LOWoods
3.755,11741.11429,11.2874,0.1874,-0.7743,0.099475,-0.00687,LOWoods
3.635,11744.38174,9.831,-0.069,-0.48598,-0.688725,-0.80598,Cabin
3.805,11788.56091,9.4394,-1.6606,-0.8773,-1.4078375,-1.22468,LOWoods
66.5,11810.47248,10.5644,1.4644,-1.82416,-1.68445,NA,3M
3.735,12074.84826,5.5913,-4.3087,-2.24838,NA,NA,Cabin
3.835,12405.31477,5.3531,-4.5469,-2.74154,NA,NA,Cabin
2.925,12602.38555,8.4099,-2.1901,NA,NA,NA,Crater
3.955,12801.87459,5.7736,-4.1264,NA,NA,NA,Cabin
