year (AD),age (yr BP),depth (cm),dryBulkDensity (g/cm3),peatFlux (g/m2/yr)
-390,2340,119,0.1199,32.2225
-458.3,2408.3,120,0.1054,15.4279
-526.7,2476.7,121,0.1022,14.9621
-595,2545,122,0.1029,15.0553
-663.3,2613.3,123,0.1048,15.3348
-731.7,2681.7,124,0.1035,15.1484
-800,2750,125,0.1187,17.3657
-830.5,2780.5,126,0.1305,42.7892
-861,2811,127,0.124,40.6602
-891.5,2841.5,128,0.1449,47.5064
-922,2872,129,0.1376,45.1269
-952.5,2902.5,130,0.1328,43.5406
-983,2933,131,0.1322,43.3319
-1013.5,2963.5,132,0.1431,46.922
-1044,2994,133,0.1193,39.1156
-1074.5,3024.5,134,0.0918,30.0985
-1105,3055,135,0.1508,49.4267
-1135.5,3085.5,136,0.1443,47.2977
-1166,3116,137,0.1389,45.5444
-1196.5,3146.5,138,0.1445,47.3812
-1227,3177,139,0.1383,45.3357
-1257.5,3207.5,140,0.1551,50.8461
-1288,3238,141,0.1376,45.1269
-1318.5,3268.5,142,0.1289,42.2465
-1349,3299,143,0.1525,50.0112
-1379.5,3329.5,144,0.1609,52.7664
-1410,3360,145,0.1618,53.0586
-1447.5,3397.5,146,0.1614,43.0525
-1485,3435,147,0.1342,35.7865
-1522.5,3472.5,148,0.1409,37.586
-1560,3510,149,0.1341,35.7526
-1597.5,3547.5,150,0.1366,36.4316
-1635,3585,151,0.138,36.8051
-1672.5,3622.5,152,0.0946,25.2271
-1710,3660,153,0.0975,26.008
-1747.5,3697.5,154,0.1118,29.8108
-1785,3735,155,0.0994,26.5173
-1822.5,3772.5,156,0.0833,22.2053
-1860,3810,157,0.1401,37.3484
-1897.5,3847.5,158,0.1159,30.8973
-1935,3885,159,0.1048,27.9434
-1972.5,3922.5,160,0.132,35.2093
-2010,3960,161,0.1033,27.5359
-2047.5,3997.5,162,0.1071,28.5545
-2085,4035,163,0.1224,32.6289
-2122.5,4072.5,164,0.1322,35.2433
-2160,4110,165,0.0993,26.4834
-2165.6,4115.6,166,0.0989,176.662
-2171.2,4121.2,167,0.1039,185.5292
-2176.8,4126.8,168,0.1066,190.3038
-2182.4,4132.4,169,0.1147,204.8552
-2188,4138,170,0.1008,180.0725
-2193.6,4143.6,171,0.0895,159.837
-2199.2,4149.2,172,0.101,180.2998
-2204.8,4154.8,173,0.1005,179.3904
-2210.4,4160.4,174,0.0983,175.5252
-2216,4166,175,0.1151,205.5372
-2221.6,4171.6,176,0.1096,195.7606
-2227.2,4177.2,177,0.1067,190.5312
-2232.8,4182.8,178,0.0814,145.2857
-2238.4,4188.4,179,0.1218,217.5875
-2244,4194,180,0.089,158.9276
-2249.6,4199.6,181,0.1188,212.1308
-2255.2,4205.2,182,0.0894,159.6097
-2260.8,4210.8,183,0.1199,214.1771
-2266.4,4216.4,184,0.1197,213.7224
-2272,4222,185,0.0991,176.8894
-2277.6,4227.6,186,0.1371,244.8713
-2283.2,4233.2,187,0.1003,179.163
-2288.8,4238.8,188,0.124,221.4527
-2294.4,4244.4,189,0.1471,262.6057
-2300,4250,190,0.1502,268.2898
-2323.6,4273.6,191,0.1471,62.3132
-2347.2,4297.2,192,0.1737,73.5889
-2370.8,4320.8,193,0.1278,54.1666
-2394.4,4344.4,194,0.1198,50.7677
-2418,4368,195,0.122,51.6849
-2441.6,4391.6,196,0.145,61.45
-2465.2,4415.2,197,0.1516,64.2554
-2488.8,4438.8,198,0.1401,59.3459
-2512.4,4462.4,199,0.116,49.1492
-2536,4486,200,0.149,63.1225
-2559.6,4509.6,201,0.1104,46.7754
-2583.2,4533.2,202,0.1266,53.6271
-2606.8,4556.8,203,0.1166,49.419
-2630.4,4580.4,204,0.1406,59.5617
-2654,4604,205,0.1398,59.238
-2677.6,4627.6,206,0.1384,58.6446
-2701.2,4651.2,207,0.1168,49.4729
-2724.8,4674.8,208,0.153,64.8489
-2748.4,4698.4,209,0.1356,57.4576
-2772,4722,210,0.1241,52.6021
-2795.6,4745.6,211,0.1449,61.396
-2819.2,4769.2,212,0.1301,55.1377
-2842.8,4792.8,213,0.1347,57.08
-2866.4,4816.4,214,0.114,48.286
-2890,4840,215,0.1275,54.0048
-2913.5,4863.5,216,0.1306,55.5891
-2937,4887,217,0.1318,56.0767
-2960.5,4910.5,218,0.1103,46.9202
-2984,4934,219,0.1192,50.7129
-3007.5,4957.5,220,0.1101,46.8661
-3031,4981,221,0.1331,56.6185
-3054.5,5004.5,222,0.132,56.1851
-3078,5028,223,0.1389,59.1108
-3101.5,5051.5,224,0.1462,62.1991
-3125,5075,225,0.1494,63.5536
-3148.5,5098.5,226,0.1477,62.8493
-3172,5122,227,0.1378,58.6232
-3195.5,5145.5,228,0.1431,60.8988
-3219,5169,229,0.1692,72.0058
-3242.5,5192.5,230,0.1425,60.6279
-3266,5216,231,0.1415,60.1944
-3289.5,5239.5,232,0.1485,63.1744
-3313,5263,233,0.112,47.6788
-3336.5,5286.5,234,0.1291,54.9389
-3360,5310,235,0.1094,46.541
-3364.5,5314.5,236,0.0978,217.2996
-3369,5319,237,0.1485,329.9105
-3373.5,5323.5,238,0.1379,306.4263
-3378,5328,239,0.1376,305.8604
-3382.5,5332.5,240,0.1399,310.9534
-3387,5337,241,0.1131,251.2526
-3391.5,5341.5,242,0.1257,279.2639
-3396,5346,243,0.1374,305.2946
-3400.5,5350.5,244,0.1231,273.605
-3405,5355,245,0.1271,282.3762
-3409.5,5359.5,246,0.1176,261.4385
-3414,5364,247,0.103,228.9002
-3418.5,5368.5,248,0.1126,250.1208
-3423,5373,249,0.1389,308.6899
-3427.5,5377.5,250,0.1232,273.888
-3432,5382,251,0.1451,322.554
-3436.5,5386.5,252,0.1192,264.8338
-3441,5391,253,0.1206,267.9462
-3445.5,5395.5,254,0.0998,221.8266
-3450,5400,255,0.1308,290.5816
-3471.5,5421.5,256,0.1201,55.8449
-3493,5443,257,0.1255,58.3914
-3514.5,5464.5,258,0.0746,34.7032
-3536,5486,259,0.0989,46.0143
-3557.5,5507.5,260,0.1221,56.7924
-3579,5529,261,0.1182,54.9566
-3600.5,5550.5,262,0.1206,56.0818
-3622,5572,263,0.1276,59.3389
-3643.5,5593.5,264,0.0933,43.4086
-3665,5615,265,0.1317,61.2339
-3686.5,5636.5,266,0.1206,56.0818
-3708,5658,267,0.1263,58.7467
-3729.5,5679.5,268,0.0999,46.488
-3751,5701,269,0.1411,65.6163
-3772.5,5722.5,270,0.1523,70.8277
-3794,5744,271,0.1333,62.0038
-3815.5,5765.5,272,0.1351,62.8329
-3837,5787,273,0.1583,73.611
-3858.5,5808.5,274,0.138,64.195
-3880,5830,275,0.1516,70.5315
-3891.5,5841.5,276,0.1409,122.5631
-3903,5853,277,0.1342,116.6952
-3914.5,5864.5,278,0.1314,114.2594
-3926,5876,279,0.1366,118.7988
-3937.5,5887.5,280,0.1357,118.0238
-3949,5899,281,0.1337,116.2523
-3960.5,5910.5,282,0.1295,112.5987
-3972,5922,283,0.1345,116.9166
-3983.5,5933.5,284,0.1171,101.8592
-3995,5945,285,0.1226,106.62
-4006.5,5956.5,286,0.1327,115.3666
-4018,5968,287,0.1455,126.5489
-4029.5,5979.5,288,0.1449,125.9954
-4041,5991,289,0.137,119.1309
-4052.5,6002.5,290,0.1395,121.3453
-4064,6014,291,0.1306,113.5951
-4075.5,6025.5,292,0.1075,93.4447
-4087,6037,293,0.1193,103.7413
-4098.5,6048.5,294,0.1109,96.4341
-4110,6060,295,0.1184,102.9663
-4132.5,6082.5,296,0.132,58.6822
-4155,6105,297,0.1308,58.1163
-4177.5,6127.5,298,0.1231,54.721
-4200,6150,299,0.1203,53.4761
-4222.5,6172.5,300,0.1621,72.0371
-4245,6195,301,0.1278,56.8148
-4267.5,6217.5,302,0.1061,47.1382
-4290,6240,303,0.11,48.8924
-4312.5,6262.5,304,0.1272,56.5318
-4335,6285,305,0.1035,46.0064
-4357.5,6307.5,306,0.139,61.7946
-4380,6330,307,0.1036,46.063
-4402.5,6352.5,308,0.1355,60.2101
-4425,6375,309,0.101,44.8746
-4447.5,6397.5,310,0.1148,51.0428
-4470,6420,311,0.1263,56.1357
-4492.5,6442.5,312,0.1273,56.5884
-4515,6465,313,0.1272,56.5318
-4537.5,6487.5,314,0.123,54.6644
-4560,6510,315,0.0975,43.3467
-4574.5,6524.5,316,0.1406,96.9418
-4589,6539,317,0.1193,82.2776
-4603.5,6553.5,318,0.1077,74.2869
-4618,6568,319,0.1204,83.0679
-4632.5,6582.5,320,0.1317,90.7952
-4647,6597,321,0.1343,92.6392
-4661.5,6611.5,322,0.1114,76.8334
-4676,6626,323,0.1341,92.4635
-4690.5,6640.5,324,0.1519,104.7569
-4705,6655,325,0.1536,105.8984
-4719.5,6669.5,326,0.1519,104.7569
-4734,6684,327,0.1473,101.5957
-4748.5,6698.5,328,0.1324,91.322
-4763,6713,329,0.1469,101.3323
-4777.5,6727.5,330,0.1295,89.3024
-4792,6742,331,0.1133,78.1506
-4806.5,6756.5,332,0.1361,93.8685
-4821,6771,333,0.0886,61.1155
-4835.5,6785.5,334,0.1187,81.8386
-4850,6800,335,0.1151,79.3799
-4853.5,6803.5,336,0.0964,275.3835
-4857,6807,337,0.1319,376.8789
-4860.5,6810.5,338,0.129,368.5119
-4864,6814,339,0.1232,352.1417
-4867.5,6817.5,340,0.1325,378.6978
-4871,6821,341,0.1204,344.1385
-4874.5,6824.5,342,0.1071,305.9413
-4878,6828,343,0.1154,329.5872
-4881.5,6831.5,344,0.1099,313.9445
-4885,6835,345,0.115,328.4958
-4888.5,6838.5,346,0.1315,375.7876
-4892,6842,347,0.1364,389.61130000000003
-4895.5,6845.5,348,0.1539,439.8133
-4899,6849,349,0.1482,423.4431
-4902.5,6852.5,350,0.1061,303.031
-4906,6856,351,0.095,271.3819
-4909.5,6859.5,352,0.0996,284.4781
-4913,6863,353,0.0959,273.9284
-4916.5,6866.5,354,0.0787,224.8177
-4920,6870,355,0.1369,391.0664
-4923.5,6873.5,356,0.1421,405.9815
-4927,6877,357,0.1244,355.4157
-4930.5,6880.5,358,0.131,374.3324
-4934,6884,359,0.151,431.4463
-4937.5,6887.5,360,0.1462,417.6226
-4941,6891,361,0.1168,333.5888
-4944.5,6894.5,362,0.1343,383.7908
-4948,6898,363,0.1098,313.5807
-4951.5,6901.5,364,0.1415,404.1626
-4955,6905,365,0.1687,482.0121
-4989.8,6939.8,366,0.1439,41.4032
-5024.5,6974.5,367,0.132,37.9957
-5059.3,7009.3,368,0.1392,40.0475
-5094,7044,369,0.1318,37.9224
-5128.8,7078.8,370,0.1464,42.136
-5163.5,7113.5,371,0.1362,39.2048
-5198.3,7148.3,372,0.117,33.6721
-5233,7183,373,0.1361,39.1681
-5267.8,7217.8,374,0.1165,33.5256
-5302.5,7252.5,375,0.1373,39.4979
-5337.3,7287.3,376,0.1156,33.2691
-5372,7322,377,0.1478,42.539
-5406.8,7356.8,378,0.124,35.6873
-5441.5,7391.5,379,0.1244,35.7973
-5476.3,7426.3,380,0.1683,48.4381
-5511,7461,381,0.1518,43.6749
-5545.8,7495.8,382,0.1501,43.1985
-5580.5,7530.5,383,0.1527,43.9313
-5615.3,7565.3,384,0.1087,31.2905
-5650,7600,385,0.1285,36.9697
-5684.8,7634.8,386,0.1611,46.3496
-5719.5,7669.5,387,0.1508,43.3817
-5754.3,7704.3,388,0.1742,50.1235
-5789,7739,389,0.1588,45.6901
-5823.8,7773.8,390,0.1999,57.5248
-5858.5,7808.5,391,0.2092,60.1995
-5893.3,7843.3,392,0.1691,48.6579
-5928,7878,393,0.2245,64.5963
-5962.8,7912.8,394,0.2096,60.3094
-5997.5,7947.5,395,0.1592,45.8
-6032.3,7982.3,396,0.1861,53.5677
-6067,8017,397,0.1861,53.5677
