age (yr BP) [1-1],WR11_d13C (permil) [1-1],WR11_d18O (permil) [1-1],age (yr BP) [1-2],CDR3_d18O (permil) [1-2],CDR3_d13C (permil) [1-2],age (yr BP) [1-3],WR11_MgCa (mol/mol) [1-3],WR11_SrCa (mol/mol) [1-3],age (yr BP) [1-4],CDR3_MgCa (mol/mol) [1-4],CDR3_SrCa (mol/mol) [1-4]
9761,-3.53,-11.3,11310,-11.84,-6.55,NA,NA,NA,NA,NA,NA
9837,-3.6,-11.14,11315,-11.7,-5.09,NA,NA,NA,NA,NA,NA
9914,-2.86,-10.9,11321,-12.46,-5.25,NA,NA,NA,NA,NA,NA
9991,-3.5,-11.08,11325,-11.67,-4.22,NA,NA,NA,NA,NA,NA
10068,-2.9,-11.13,11328,-11.46,-5.2,NA,NA,NA,NA,NA,NA
10144,-3.11,-10.59,11329,-11.48,-4.98,NA,NA,NA,NA,NA,NA
10221,-3.62,-11.19,11332,-10.85,-4.74,NA,NA,NA,NA,NA,NA
10298,-4.59,-12.01,11336,-11.71,-6.27,NA,NA,NA,NA,NA,NA
10374,-5.26,-12.06,11339,-12.13,-6.83,NA,NA,NA,NA,NA,NA
10427,-5.64,-11.6,11343,-11.89,-5.06,NA,NA,NA,NA,NA,NA
10453,-5.57,-11.51,11357,-11.35,-4.96,NA,NA,NA,NA,NA,NA
10480,-4.83,-11.79,11380,-11.02,-5,NA,NA,NA,NA,NA,NA
10506,-4.58,-11.76,11414,-10.48,-4.34,NA,NA,NA,NA,NA,NA
10532,-4.89,-12.09,11447,-11.04,-5.21,NA,NA,NA,NA,NA,NA
10559,-5.05,-12.04,11493,-10.11,-5,NA,NA,NA,NA,NA,NA
10585,-3.48,-11.27,11515,-10.96,-5.41,NA,NA,NA,NA,NA,NA
10611,-3.04,-11.36,11560,-11.62,-4.11,NA,NA,NA,NA,NA,NA
10638,-4.75,-12.01,11594,-11.02,-3.39,NA,NA,NA,NA,NA,NA
10664,-5.38,-12.36,11628,-10.44,-4.38,NA,NA,NA,NA,NA,NA
10682,-4.87,-12.14,11650,-11.41,-4.66,NA,NA,NA,NA,NA,NA
10701,-5.23,-12.22,11677,-11.44,-5.14,NA,NA,NA,NA,NA,NA
10719,-3.54,-11.93,11691,-11.43,-5,NA,NA,NA,NA,NA,NA
10737,-4.91,-12.1,11721,-11.46,-4.92,NA,NA,NA,NA,NA,NA
10755,-3.95,-12.09,11736,-11.52,-4.16,NA,NA,NA,NA,NA,NA
10774,-3.7,-11.99,11751,-11.18,-4.56,NA,NA,NA,NA,NA,NA
10792,-2.64,-11.77,11766,-11.57,-3.92,NA,NA,NA,NA,NA,NA
10810,-4.6,-12.17,11781,-11.97,-3.77,NA,NA,NA,NA,NA,NA
10828,-3.18,-12.13,11804,-11.96,-2.65,NA,NA,NA,NA,NA,NA
10847,-4.04,-12.22,11818,-11.69,-4.06,NA,NA,NA,NA,NA,NA
10865,-4.83,-12.47,11841,-11.43,-5.21,NA,NA,NA,NA,NA,NA
10883,-4.7,-12.44,11863,-11.62,-4.65,NA,NA,NA,NA,NA,NA
10902,-5.16,-12.64,11878,-11.51,-4.75,NA,NA,NA,NA,NA,NA
10920,-3.63,-11.92,11893,-12.71,-6.68,NA,NA,NA,NA,NA,NA
10938,-5.01,-12.18,11908,-12.17,-6.2,NA,NA,NA,NA,NA,NA
10956,-4.86,-12.32,11930,-11.75,-5.9,NA,NA,NA,NA,NA,NA
10989,-4.99,-12.03,11953,-11.84,-5.52,NA,NA,NA,NA,NA,NA
11022,-4.53,-11.88,11960,-11.58,-5.69,NA,NA,NA,NA,NA,NA
11054,-3.85,-11.7,11975,-11.7,-7.01,NA,NA,NA,NA,NA,NA
11087,-4.81,-12.63,11990,-11.92,-6.3,NA,NA,NA,NA,NA,NA
11119,-5.05,-12.28,12005,-11.83,-5.44,NA,NA,NA,NA,NA,NA
11152,-5.32,-12.34,12028,-11.84,-5.11,NA,NA,NA,NA,NA,NA
11185,-2.77,-11.61,12050,-12.08,-5.54,NA,NA,NA,NA,NA,NA
11217,-2.57,-11.47,12072,-12.38,-5.81,NA,NA,NA,NA,NA,NA
11250,-3.73,-11.85,12087,-12.61,-5.95,NA,NA,NA,NA,NA,NA
11282,-3.85,-11.97,12104,-12.05,-5.28,NA,NA,NA,NA,NA,NA
11315,-4.53,-12.07,12139,-12.3,-5.39,NA,NA,NA,NA,NA,NA
11348,-4.36,-12.06,12207,-11.33,-4.64,NA,NA,NA,NA,NA,NA
11380,-1.21,-11,12225,-11.73,-4.54,NA,NA,NA,NA,NA,NA
11413,-0.87,-10.93,12293,-11.36,-5.09,NA,NA,NA,NA,NA,NA
11446,-2.31,-11.28,12345,-11.65,-3.92,NA,NA,NA,NA,NA,NA
NA,NA,NA,12396,-12.02,-3.26,NA,NA,NA,NA,NA,NA
NA,NA,NA,12430,-11.79,-3.19,NA,NA,NA,NA,NA,NA
NA,NA,NA,12482,-11.19,-2.89,NA,NA,NA,NA,NA,NA
NA,NA,NA,12533,-11.51,-2.91,NA,NA,NA,NA,NA,NA
NA,NA,NA,12585,-11.39,-3.67,NA,NA,NA,NA,NA,NA
NA,NA,NA,12636,-12.35,-3.97,NA,NA,NA,NA,NA,NA
NA,NA,NA,12705,-12.48,-4.65,NA,NA,NA,NA,NA,NA
NA,NA,NA,14988,-11.83,-3.79,NA,NA,NA,NA,NA,NA
NA,NA,NA,15084,-11.15,-3.12,NA,NA,NA,NA,NA,NA
NA,NA,NA,15148,-12.23,-4.08,NA,NA,NA,NA,NA,NA
NA,NA,NA,15244,-12.72,-4.48,NA,NA,NA,NA,NA,NA
NA,NA,NA,15309,-12.8,-4.79,NA,NA,NA,NA,NA,NA
NA,NA,NA,15405,-12.22,-4.92,NA,NA,NA,NA,NA,NA
NA,NA,NA,15501,-12.85,-5.44,NA,NA,NA,NA,NA,NA
NA,NA,NA,15597,-12.48,-5.48,NA,NA,NA,NA,NA,NA
NA,NA,NA,15790,-12.49,-6.02,NA,NA,NA,NA,NA,NA
NA,NA,NA,15822,-12.39,-6.04,NA,NA,NA,NA,NA,NA
NA,NA,NA,15950,-12.31,-6.08,NA,NA,NA,NA,NA,NA
NA,NA,NA,16047,-13.23,-6.56,NA,NA,NA,NA,NA,NA
NA,NA,NA,16111,-12.95,-6.68,NA,NA,NA,NA,NA,NA
NA,NA,NA,16207,-12.73,-6.54,NA,NA,NA,NA,NA,NA
NA,NA,NA,16335,-12.79,-6.15,NA,NA,NA,NA,NA,NA
NA,NA,NA,16400,-12.62,-6.31,NA,NA,NA,NA,NA,NA
