year (AD),age (BP),MedianElevM (m),stage (),MaxElevM (m),MinElevM (m),Recon0x2EDate ()
-1100,3050,-0.304280814,298,0.117352803,-0.725914431,50115
-1150,3100,-0.289288246,297,0.117196161,-0.695772653,50115
-1200,3150,-0.274221075,296,0.117039519,-0.665481669,50115
-1250,3200,-0.260798036,295,0.128856592,-0.650452664,50115
-1300,3250,-0.247301202,294,0.1406982,-0.635300604,50115
-1350,3300,-0.233739885,293,0.152564343,-0.620044113,50115
-1400,3350,-0.21796621,292,0.152481305,-0.588413726,50115
-1450,3400,-0.202118403,291,0.152398268,-0.556635074,50115
-1500,3450,-0.211745529,290,0.140202014,-0.563693072,50115
-1550,3500,-0.245387908,289,0.12797808,-0.618753896,50115
-1600,3550,-0.279124914,288,0.115726468,-0.673976297,50115
-1650,3600,-0.263053057,287,0.115560393,-0.641666507,50115
-1700,3650,-0.239979034,286,0.11539528,-0.595353348,50115
-1750,3700,-0.216812898,285,0.11523145,-0.548857246,50115
-1800,3750,-0.210798141,284,0.115068902,-0.536665183,50115
-1850,3800,-0.22944325,283,0.114906675,-0.573793176,50115
-1900,3850,-0.257928229,282,0.102412844,-0.618269303,50115
-1950,3900,-0.293648097,281,0.089891975,-0.677188168,50115
-2000,3950,-0.270012245,280,0.089729748,-0.629754238,50115
-2050,4000,-0.209514243,279,0.114311842,-0.533340329,50115
-2100,4050,-0.140803095,278,0.138948012,-0.420554202,50115
-2150,4100,-0.1418592,277,0.138788856,-0.422507255,50115
-2200,4150,-0.180518559,276,0.113729566,-0.474766684,50115
-2250,4200,-0.252164391,275,0.08862108,-0.592949861,50115
-2300,4250,-0.297642155,274,0.063385629,-0.658669939,50115
-2350,4300,-0.365309016,273,0.038023122,-0.768641155,50115
-2400,4350,-0.408347265,272,0.012609793,-0.829304322,50115
-2450,4400,-0.450991868,271,-0.012930593,-0.889053142,50115
-2500,4450,-0.437710947,270,-0.025954898,-0.849466996,50115
-2550,4500,-0.406001569,269,-0.039004615,-0.772998523,50115
-2600,4550,-0.365926544,268,-0.039469777,-0.692383312,50115
-2650,4600,-0.349159328,267,-0.039948454,-0.658370201,50115
-2700,4650,-0.345437723,266,-0.040440647,-0.650434798,50115
-2750,4700,-0.3416953,265,-0.040938596,-0.642452005,50115
-2800,4750,-0.337928578,264,-0.041436544,-0.634420612,50115
-2850,4800,-0.35438663,263,-0.029100922,-0.679672338,50115
-2900,4850,-0.37091085,262,-0.016737635,-0.725084065,50115
-2950,4900,-0.393580465,261,-0.004346685,-0.782814245,50115
-3000,4950,-0.412894032,260,-0.012916265,-0.8128718,50115
-3050,5000,-0.420696307,259,-0.013329373,-0.82806324,50115
-3100,5050,-0.413889929,258,-7.69431e-4,-0.827010427,50115
-3150,5100,-0.395511927,257,0.019974326,-0.810998181,50115
-3200,5150,-0.381692662,256,0.032590805,-0.795976128,50115
-3250,5200,-0.391948536,255,0.019210443,-0.803107515,50115
-3300,5250,-0.421413447,254,0.0058028,-0.848629694,50115
-3350,5300,-0.45781541,253,-0.007632124,-0.907998696,50115
-3400,5350,-0.487343795,252,-0.021176175,-0.953511416,50115
-3450,5400,-0.497568384,251,-0.034747665,-0.960389103,50115
-3500,5450,-0.507696997,250,-0.048347093,-0.9670469,50115
-3550,5500,-0.509035917,249,-0.048839633,-0.969232202,50115
-3600,5550,-0.578323122,248,-0.087731835,-1.068914409,50115
-3650,5600,-0.647766225,247,-0.126689523,-1.168842928,50115
-3700,5650,-0.775490055,246,-0.19094374,-1.36003637,50115
-3750,5700,-0.835540825,245,-0.216902376,-1.454179274,50115
-3800,5750,-1.045939398,244,-0.293520283,-1.798358513,50115
-3850,5800,-1.254380916,243,-0.383768407,-2.124993425,50115
-3900,5850,-1.512477272,242,-0.499569341,-2.525385203,50115
-3950,5900,-1.670303655,241,-0.590385753,-2.750221556,50115
-4000,5950,-1.773009909,240,-0.642631988,-2.903387829,50115
-4050,6000,-1.826987461,239,-0.669578404,-2.984396518,50115
-4100,6050,-1.786746486,238,-0.654503781,-2.91898919,50115
-4150,6100,-1.746364911,237,-0.639419308,-2.853310514,50115
-4200,6150,-1.694562787,236,-0.601764205,-2.787361369,50115
-4250,6200,-1.692296931,235,-0.589700454,-2.794893408,50115
-4300,6250,-1.690030827,234,-0.577613562,-2.802448091,50115
-4350,6300,-1.699041426,233,-0.588072147,-2.810010706,50115
-4400,6350,-1.760940797,232,-0.629063753,-2.89281784,50115
-4450,6400,-1.880548043,231,-0.709720873,-3.051375213,50115
-4500,6450,-2.000462483,230,-0.790518483,-3.210406482,50115
-4550,6500,-2.063302939,229,-0.831944418,-3.29466146,50115
-4600,6550,-2.068761952,228,-0.833853159,-3.303670745,50115
-4650,6600,-2.074243173,227,-0.835765579,-3.312720767,50115
-4700,6650,-2.021400834,226,-0.797736379,-3.245065289,50115
-4750,6700,-1.956778577,225,-0.736429025,-3.17712813,50115
-4800,6750,-1.891956334,224,-0.674987865,-3.108924803,50115
-4850,6800,-1.88526776,223,-0.653353797,-3.117181722,50115
-4900,6850,-1.890168749,222,-0.654863359,-3.125474138,50115
-4950,6900,-1.895055429,221,-0.656369322,-3.133741536,50115
-5000,6950,-1.899962251,220,-0.657882097,-3.142042405,50115
-5050,7000,-1.904851438,219,-0.659401684,-3.1503011930000002,50115
-5100,7050,-1.969363082,218,-0.70145226,-3.237273904,50115
-5150,7100,-1.974234306,217,-0.702982221,-3.245486391,50115
-5200,7150,-1.979117289,216,-0.704517376,-3.253717202,50115
-5250,7200,-1.924389421,215,-0.66553274,-3.183246101,50115
-5300,7250,-1.869008063,214,-0.62625913,-3.111756995,50115
-5350,7300,-1.752810475,213,-0.546024792,-2.959596159,50115
-5400,7350,-1.63598097,212,-0.465648757,-2.806313183,50115
-5450,7400,-1.518280538,211,-0.384903527,-2.651657549,50115
-5500,7450,-1.46073631,210,-0.344902838,-2.576569782,50115
-5550,7500,-1.403152864,209,-0.304827657,-2.50147807,50115
-5600,7550,-1.418152983,208,-0.329932028,-2.506373939,50115
-5650,7600,-1.494168281,207,-0.396423753,-2.591912808,50115
-5700,7650,-1.63142559,206,-0.504447237,-2.758403943,50115
-5750,7700,-1.756800583,205,-0.588453727,-2.92514744,50115
-5800,7750,-1.809145873,204,-0.606819371,-3.011472375,50115
-5850,7800,-1.751241953,203,-0.566672617,-2.935811289,50115
-5900,7850,-1.693241071,202,-0.526454876,-2.860027265,50115
-5950,7900,-1.647353121,201,-0.510610845,-2.784095398,50115
-6000,7950,-1.662916831,200,-0.536551466,-2.789282196,50115
-6050,8000,-1.690874325,199,-0.587290479,-2.79445817,50115
-6100,8050,-1.718898415,198,-0.638150421,-2.799646408,50115
-6150,8100,-1.784337627,197,-0.681657917,-2.887017338,50115
-6200,8150,-1.899743694,196,-0.742648886,-3.056838501,50115
-6250,8200,-2.015349593,195,-0.803743812,-3.226955373,50115
-6300,8250,-2.08147409,194,-0.847731164,-3.315217015,50115
-6350,8300,-2.035512379,193,-0.832395213,-3.238629545,50115
-6400,8350,-1.98947441,192,-0.817041385,-3.161907436,50115
-6450,8400,-1.94333062,191,-0.80165164,-3.0850096,50115
-6500,8450,-1.984652915,190,-0.795514259,-3.173791571,50115
-6550,8500,-2.026002996,189,-0.789310247,-3.262695746,50115
-6600,8550,-2.004313433,188,-0.740326168,-3.268300698,50115
-6650,8600,-1.894495974,187,-0.681841101,-3.107150847,50115
-6700,8650,-1.642827517,186,-0.563058319,-2.722596715,50115
-6750,8700,-1.494432998,185,-0.512398851,-2.476467145,50115
-6800,8750,-1.39625296,184,-0.479041371,-2.313464549,50115
-6850,8800,-1.439539895,183,-0.505856714,-2.373223076,50115
-6900,8850,-1.442261267,182,-0.507156438,-2.377366096,50115
-6950,8900,-1.432035138,181,-0.482631566,-2.381438709,50115
-7000,8950,-1.421686773,180,-0.458004225,-2.385369321,50115
-7050,9000,-1.398257498,179,-0.407358363,-2.389156633,50115
-7100,9050,-1.387622452,178,-0.382377912,-2.392866992,50115
-7150,9100,-1.376957945,177,-0.35733973,-2.39657616,50115
-7200,9150,-1.366174841,176,-0.332071451,-2.400278231,50115
-7250,9200,-1.355357985,175,-0.306742751,-2.403973219,50115
-7300,9250,-1.344506429,174,-0.281354645,-2.407658214,50115
-7350,9300,-1.346665473,173,-0.28199555,-2.411335396,50115
-7400,9350,-1.348879028,172,-0.2826532,-2.415104856,50115
-7450,9400,-1.351199559,171,-0.283352731,-2.419046387,50115
-7500,9450,-1.353646896,170,-0.284094144,-2.423199649,50115
-7550,9500,-1.356224599,169,-0.284860554,-2.427588644,50115
-7600,9550,-1.358902157,168,-0.285626092,-2.432178221,50115
-7650,9600,-1.361680845,167,-0.286389447,-2.436972242,50115
-7700,9650,-1.364496879,166,-0.287149434,-2.441844325,50115
-7750,9700,-1.282806006,165,-0.270338598,-2.295273414,50115
-7800,9750,-1.200941241,164,-0.253501234,-2.148381248,50115
-7850,9800,-1.118902199,163,-0.236638666,-2.001165732,50115
-7900,9850,-1.053687857,162,-0.219648974,-1.887726741,50115
-7950,9900,-0.9883046,161,-0.202624319,-1.773984882,50115
-8000,9950,-0.990571998,160,-0.203288295,-1.777855702,50115
-8050,10000,-1.060349012,159,-0.221616096,-1.899081928,50115
-8100,10050,-1.131905491,158,-0.246163875,-2.017647107,50115
-8150,10100,-1.135797432,157,-0.252996705,-2.018598159,50115
-8200,10150,-1.147963614,156,-0.276357344,-2.019569883,50115
-8250,10200,-1.088428662,155,-0.275636695,-1.901220628,50115
-8300,10250,-0.960032569,154,-0.256988621,-1.663076516,50115
-8350,10300,-0.814910321,153,-0.23831059,-1.391510052,50115
-8400,10350,-0.7395372,152,-0.237456448,-1.241617951,50115
-8450,10400,-0.724508197,151,-0.271071784,-1.177944609,50115
-8500,10450,-0.717586089,150,-0.288131223,-1.147040955,50115
-8550,10500,-0.72478352,149,-0.315723638,-1.133843401,50115
-8600,10550,-0.74828259,148,-0.343266057,-1.153299124,50115
-8650,10600,-0.771609494,147,-0.370734314,-1.172484675,50115
-8700,10650,-0.780623705,146,-0.387603487,-1.173643923,50115
-8750,10700,-0.804112585,145,-0.415131637,-1.193093532,50115
-8800,10750,-0.841400138,144,-0.442671797,-1.24012848,50115
-8850,10800,-0.878768733,143,-0.470223966,-1.2873135,50115
-8900,10850,-0.901770922,142,-0.487185555,-1.316356288,50115
-8950,10900,-0.944803958,141,-0.531466444,-1.358141472,50115
-9000,10950,-0.999465646,140,-0.586413924,-1.412517367,50115
-9050,11000,-1.075142492,139,-0.65206007,-1.498224914,50115
-9100,11050,-1.164092733,138,-0.709161902,-1.619023565,50115
-9150,11100,-1.258725101,137,-0.783086235,-1.734363966,50115
-9200,11150,-1.316081748,136,-0.819137448,-1.813026048,50115
-9250,11200,-1.392991422,135,-0.85560862,-1.930374224,50115
-9300,11250,-1.446449989,134,-0.854184375,-2.038715604,50115
-9350,11300,-1.600808139,133,-0.893474191,-2.308142087,50115
-9400,11350,-1.746323776,132,-0.933316873,-2.559330678,50115
-9450,11400,-1.90427994,131,-0.994728488,-2.813831392,50115
-9500,11450,-1.913258446,130,-1.006830685,-2.819686206,50115
-9550,11500,-1.860092188,129,-0.988866504,-2.731317871,50115
-9600,11550,-1.858840075,128,-0.97991647,-2.737763681,50115
-9650,11600,-1.972044247,127,-1.0104738,-2.933614695,50115
-9700,11650,-2.148389867,126,-1.07198893,-3.224790803,50115
-9750,11700,-2.267885671,125,-1.114064643,-3.421706699,50115
-9800,11750,-2.330268956,124,-1.136465499,-3.524072413,50115
-9850,11800,-2.277389972,123,-1.118576323,-3.43620362,50115
-9900,11850,-2.218975387,122,-1.08982809,-3.348122685,50115
-9950,11900,-2.223838891,121,-1.092254551,-3.355423231,50115
-10000,11950,-2.286507179,120,-1.115014679,-3.45799968,50115
-10050,12000,-2.354613109,119,-1.148576691,-3.560649526,50115
-10100,12050,-2.295619682,118,-1.119300385,-3.47193898,50115
-10150,12100,-2.172646262,117,-1.05817649,-3.287116033,50115
-10200,12150,-1.985432681,116,-0.964968636,-3.005896725,50115
-10250,12200,-1.920421233,115,-0.924286627,-2.916555838,50115
-10300,12250,-1.924577519,114,-0.925987653,-2.923167385,50115
-10350,12300,-1.998176629,113,-0.970320013,-3.026033245,50115
-10400,12350,-2.136822111,112,-1.047417532,-3.226226691,50115
-10450,12400,-2.329590072,111,-1.135658903,-3.523521242,50115
-10500,12450,-2.457776531,110,-1.191700364,-3.723852699,50115
-10550,12500,-2.457054623,109,-1.183321079,-3.730788167,50115
-10600,12550,-2.337637102,108,-1.13126058,-3.544013625,50115
-10650,12600,-2.212632843,107,-1.067868291,-3.357397394,50115
-10700,12650,-2.152930138,106,-1.037090697,-3.268769579,50115
-10750,12700,-2.218258415,105,-1.061119443,-3.375397387,50115
-10800,12750,-2.343410258,104,-1.107195465,-3.579625051,50115
-10850,12800,-2.474861983,103,-1.164476785,-3.785247182,50115
-10900,12850,-2.541050076,102,-1.188893265,-3.893206886,50115
-10950,12900,-2.546499732,101,-1.190822654,-3.902176809,50115
-11000,12950,-2.55250245,100,-1.193043025,-3.911961875,50115
-11050,13000,-2.625117393,99,-1.22873758,-4.021497206,50115
-11100,13050,-2.69717208,98,-1.264040033,-4.130304127,50115
-11150,13100,-2.702684188,97,-1.265721824,-4.139646552,50115
-11200,13150,-2.6413398,96,-1.233727237,-4.048952364,50115
-11250,13200,-2.713516632,95,-1.269118736,-4.157914528,50115
-11300,13250,-2.784968618,94,-1.304616587,-4.265320649,50115
-11350,13300,-2.855656881,93,-1.340220788,-4.371092974,50115
-11400,13350,-2.858656193,92,-1.342116894,-4.375195492,50115
-11450,13400,-2.794052559,91,-1.309986588,-4.278118529,50115
-11500,13450,-2.661841493,90,-1.243695543,-4.079987444,50115
-11550,13500,-2.5295433,89,-1.17728555,-3.88180105,50115
-11600,13550,-2.3970057320000002,88,-1.110546946,-3.683464517,50115
-11650,13600,-2.331957266,87,-1.077802199,-3.586112334,50115
-11700,13650,-2.272439256,86,-1.056140691,-3.48873782,50115
-11750,13700,-2.229583848,85,-1.067921601,-3.391246096,50115
-11800,13750,-2.192465039,84,-1.091201028,-3.293729049,50115
-11850,13800,-2.087658847,83,-1.080373341,-3.094944353,50115
-11900,13850,-2.033949456,82,-1.070583686,-2.997315226,50115
-11950,13900,-1.974632585,81,-1.04958616,-2.89967901,50115
-12000,13950,-2.034064355,80,-1.063524672,-3.004604039,50115
-12050,14000,-2.155779021,79,-1.100647144,-3.210910898,50115
-12100,14050,-2.339810231,78,-1.160959686,-3.518660776,50115
-12150,14100,-2.529679973,77,-1.232780535,-3.82657941,50115
-12200,14150,-2.657290074,76,-1.281347493,-4.033232655,50115
-12250,14200,-2.714005132,75,-1.289448364,-4.1385619,50115
-12300,14250,-2.646017923,74,-1.251018496,-4.041017349,50115
-12350,14300,-2.578016551,73,-1.212584597,-3.943448505,50115
-12400,14350,-2.447571602,72,-1.150846259,-3.744296945,50115
-12450,14400,-2.37947676,71,-1.112362488,-3.646591033,50115
-12500,14450,-2.248919968,70,-1.050596255,-3.447243681,50115
-12550,14500,-2.174570247,69,-0.999739253,-3.34940124,50115
-12600,14550,-2.091535325,68,-0.931531416,-3.251539233,50115
-12650,14600,-2.070900957,67,-0.886514122,-3.255287792,50115
-12700,14650,-2.056385602,66,-0.853710894,-3.259060311,50115
-12750,14700,-2.11305859,65,-0.861476199,-3.364640981,50115
-12800,14750,-2.161131477,64,-0.851954832,-3.470308122,50115
-12850,14800,-2.274092115,63,-0.870322698,-3.677861532,50115
-12900,14850,-2.315841684,62,-0.847993983,-3.783689385,50115
-12950,14900,-2.288484039,61,-0.789330608,-3.78763747,50115
-13000,14950,-2.118389973,60,-0.648939309,-3.5878406370000002,50115
-13050,15000,-1.956835941,59,-0.525683463,-3.387988419,50115
-13100,15050,-1.760391656,58,-0.402008591,-3.118774722,50115
-13150,15100,-1.716620984,57,-0.402979838,-3.03026213,50115
-13200,15150,-1.62661724,56,-0.403953785,-2.849280696,50115
-13250,15200,-1.703945686,55,-0.51273091,-2.895160463,50115
-13300,15250,-1.714938419,54,-0.567816332,-2.862060506,50115
-13350,15300,-1.714229999,53,-0.622968385,-2.805491613,50115
-13400,15350,-1.658559655,52,-0.624163782,-2.692955528,50115
-13450,15400,-1.544856963,51,-0.625342548,-2.464371378,50115
-13500,15450,-1.41064455,50,-0.572114558,-2.249174542,50115
-13550,15500,-1.271618494,49,-0.495470795,-2.047766194,50115
-13600,15550,-1.162435538,48,-0.395402215,-1.929468861,50115
-13650,15600,-1.131586727,47,-0.349666256,-1.913507198,50115
-13700,15650,-1.105557235,46,-0.327273224,-1.883841247,50115
-13750,15700,-1.06979411,45,-0.296767771,-1.842820449,50115
-13800,15750,-1.057335181,44,-0.266178597,-1.848491766,50115
-13850,15800,-1.142140655,43,-0.258873232,-2.025408078,50115
-13900,15850,-1.609191983,42,-0.448149223,-2.770234744,50115
-13950,15900,-1.895068102,41,-0.527379114,-3.26275709,50115
-14000,15950,-2.18055663,40,-0.67040902,-3.69070424,50115
-14050,16000,-2.06063554,39,-0.628963344,-3.492307735,50115
-14100,16050,-2.090737773,38,-0.679912242,-3.501563304,50115
-14150,16100,-1.847322876,37,-0.579129431,-3.115516321,50115
-14200,16150,-1.947941988,36,-0.664451439,-3.231432538,50115
-14250,16200,-1.548563281,35,-0.554131837,-2.542994724,50115
-14300,16250,-1.289822377,34,-0.476210008,-2.103434746,50115
-14350,16300,-0.678180283,33,-0.166734898,-1.189625668,50115
-14400,16350,-0.548665617,32,-0.037995662,-1.059335571,50115
-14450,16400,-0.53215568,31,-0.006381916,-1.057929444,50115
-14500,16450,-0.480157659,30,0.058418698,-1.018734016,50115
-14550,16500,-0.453698302,29,0.090897686,-0.99829429,50115
-14600,16550,-0.360537994,28,0.169928256,-0.891004244,50115
-14650,16600,-0.426215881,27,0.099656259,-0.952088021,50115
-14700,16650,-0.817959719,26,-0.116378223,-1.519541215,50115
-14750,16700,-1.325676361,25,-0.37052277,-2.280829952,50115
-14800,16750,-1.480387314,24,-0.437315593,-2.523459035,50115
-14850,16800,-1.221933469,23,-0.325453883,-2.118413054,50115
-14900,16850,-1.01176177,22,-0.246853106,-1.776670434,50115
-14950,16900,-0.897408183,21,-0.200013714,-1.594802652,50115
-15000,16950,-0.717601233,20,-0.095840942,-1.339361523,50115
-15050,17000,-0.392721819,19,0.079308307,-0.864751945,50115
-15100,17050,-0.357025564,18,0.097867426,-0.811918554,50115
-15150,17100,-0.403510324,17,0.078759294,-0.885779943,50115
-15200,17150,-0.408180533,16,0.097797404,-0.91415847,50115
-15250,17200,-0.354851626,15,0.150282305,-0.859985557,50115
-15300,17250,-0.546250671,14,0.034081641,-1.126582983,50115
-15350,17300,-0.662982638,13,-0.052997602,-1.272967673,50115
-15400,17350,-0.719638562,12,-0.106396843,-1.33288028,50115
-15450,17400,-0.589085648,11,-0.048399883,-1.129771412,50115
-15500,17450,-0.543662837,10,0.03867936,-1.126005034,50115
-15550,17500,-0.530757477,9,0.111260008,-1.172774963,50115
-15600,17550,-0.530795947,8,0.188571844,-1.250163739,50115
-15650,17600,-0.532596855,7,0.188571844,-1.253765553,50115
-15700,17650,-0.534392976,6,0.188571844,-1.257357796,50115
-15750,17700,-0.70165086,5,0.188571844,-1.591873564,50115
-15800,17750,-0.869043167,4,0.188571844,-1.926658178,50115
-15850,17800,-1.03657636,3,0.188571844,-2.261724564,50115
-15900,17850,-1.038790422,2,0.188571844,-2.266152688,50115
-15950,17900,-1.041014894,1,0.188571844,-2.270601632,50115
