year (AD) [1-1],age (yr BP) [1-1],d18O (permil) [1-1],depth (unitless) [1-2],age (yr BP) [1-2],d13C (permil) [1-2],d18O (permil) [1-2]
500,1450,-11.76,3.5,83.81722436,-4.96925,-11.79975
450,1500,-11.41,3.6,88.77643899,-4.73025,-11.61075
400,1550,-11.76,3.7,93.73565362,-4.37325,-11.72375
350,1600,-11.98,3.8,98.69486826,-4.02025,-11.51675
300,1650,-12.63,3.9,103.6540829,-4.02425,-11.53675
250,1700,-11.89,4,108.6132975,-3.60125,-11.25475
200,1750,-11.96,4.1,113.5725122,-3.34725,-11.12275
150,1800,-11.99,4.2,118.5317268,-3.14125,-11.17475
100,1850,-11.4,4.3,123.4909414,-3.39225,-11.33775
50,1900,-11.92,4.4,128.4501561,-2.93725,-10.91375
0,1950,-11.75,4.5,133.4093707,-3.003666667,-11.16416667
-50,2000,-11.64,4.6,138.3685853,-3.101666667,-11.16216667
-100,2050,-11.5,4.7,143.3278,-2.595666667,-10.94916667
-150,2100,-11.55,4.8,148.2870146,-3.331666667,-11.21716667
-200,2150,-11.19,4.9,153.2462292,-2.632666667,-10.94216667
-250,2200,-12.24,5,158.2054439,-3.358666667,-11.41316667
-300,2250,-11.19,5.1,163.1646585,-2.831666667,-11.20416667
-350,2300,-12.04,5.2,168.1238731,-3.077666667,-11.45316667
-400,2350,-12.12,5.3,173.0830878,-3.411666667,-11.48516667
-450,2400,-11.46,5.4,178.0423024,-3.561666667,-11.66816667
-500,2450,-11.9,5.5,183.001517,-3.695666667,-11.60816667
-550,2500,-12.24,5.6,187.9607317,-4.161666667,-11.75016667
-600,2550,-11.29,5.7,192.9199463,-4.298666667,-11.71316667
-650,2600,-12.26,5.8,197.8791609,-4.449666667,-11.61416667
-700,2650,-11.6,5.9,202.8383755,-4.307666667,-11.39216667
-750,2700,-11.3,6,207.7975902,-4.419666667,-11.49116667
-800,2750,-11.57,6.1,212.7568048,-4.392666667,-11.42516667
-850,2800,-12.12,6.2,217.7160194,-4.357666667,-11.47916667
-900,2850,-11.93,6.3,222.6752341,-4.168666667,-11.43416667
-950,2900,-11.53,6.4,227.6344487,-4.031666667,-11.50916667
-1000,2950,-11.69,6.5,232.5936633,-3.215666667,-11.21516667
-1050,3000,-11.37,6.6,237.552878,-2.940666667,-11.06416667
-1100,3050,-10.85,6.7,242.5120926,-2.823666667,-11.12216667
-1150,3100,-11.38,6.8,247.4713072,-2.983666667,-10.94316667
-1200,3150,-10.95,6.9,252.4305219,-3.511666667,-11.05916667
-1250,3200,-11.39,7,257.3897365,-4.205666667,-11.42016667
-1300,3250,-11.31,7.1,259.872314,-4.573666667,-11.66716667
-1350,3300,-10.89,7.2,262.3548916,-4.926666667,-11.77216667
-1400,3350,-11.07,7.3,264.8374691,-5.044666667,-11.58816667
-1450,3400,-11.76,7.4,267.3200466,-4.646666667,-11.44716667
-1500,3450,-11.31,7.5,269.8026241,-4.169666667,-11.23816667
-1550,3500,-11.03,7.6,272.2852017,-4.001666667,-11.07916667
-1600,3550,-11.84,7.7,274.7677792,-3.875666667,-11.02916667
-1650,3600,-11.87,7.8,277.2503567,-4.439666667,-11.05616667
-1700,3650,-11.59,7.9,279.7329342,-4.297666667,-10.88216667
-1750,3700,-11.48,8,282.2155118,-4.491666667,-10.89316667
-1800,3750,-11.12,8.1,284.6980893,-4.298666667,-10.80616667
-1850,3800,-12.05,8.2,287.1806668,-4.339666667,-10.95516667
-1900,3850,-12.01,8.3,289.6632443,-4.590666667,-10.98516667
-1950,3900,-11.78,8.4,292.1458219,-4.792666667,-11.08416667
-2000,3950,-11.19,8.5,294.6283994,-4.954285714,-11.04214286
-2050,4000,-11.15,8.6,297.1109769,-5.107285714,-11.14914286
-2100,4050,-11.17,8.7,299.5935544,-5.066285714,-11.00514286
-2150,4100,-10.95,8.8,302.076132,-4.912285714,-11.10114286
-2200,4150,-10.68,8.9,304.5587095,-4.596285714,-11.03014286
-2250,4200,-10.8,9,307.041287,-4.443285714,-10.95814286
-2300,4250,-11.08,9.1,309.5238645,-4.197285714,-10.84114286
-2350,4300,-10.81,9.2,312.0064421,-4.282285714,-10.92414286
-2400,4350,-10.76,9.3,314.4890196,-3.829285714,-10.69314286
-2450,4400,-11.03,9.4,316.9715971,-4.641285714,-10.93314286
-2500,4450,-10.77,9.5,319.4541747,-4.847285714,-10.96614286
-2550,4500,-10.84,9.6,321.9367522,-4.742285714,-10.82514286
-2600,4550,-11.05,9.7,324.4193297,-4.771285714,-10.84014286
-2650,4600,-10.91,9.8,326.9019072,-4.962285714,-11.04114286
-2700,4650,-10.83,9.9,329.3844848,-4.470285714,-10.90514286
-2750,4700,-10.89,10,331.8670623,-4.717285714,-10.95214286
-2800,4750,-11.18,10.1,334.3496398,-4.964285714,-10.98414286
-2850,4800,-11.08,10.2,336.8322173,-5.017285714,-11.03614286
-2900,4850,-10.52,10.3,339.3147949,-4.933285714,-11.13714286
-2950,4900,-10.49,10.4,341.7973724,-4.816285714,-11.04414286
-3000,4950,-10.7,10.5,344.2799499,-5.005285714,-11.25914286
-3050,5000,-10.77,10.6,346.7625274,-4.978285714,-11.22514286
-3100,5050,-10.96,10.7,349.245105,-5.033285714,-11.22014286
-3150,5100,-11.27,10.8,351.7276825,-5.269285714,-11.37014286
-3200,5150,-11.01,10.9,354.21026,-5.369285714,-11.42814286
-3250,5200,-10.78,11,356.6928375,-5.407285714,-11.44014286
-3300,5250,-10.82,11.1,359.1754151,-5.334285714,-11.41214286
-3350,5300,-11.06,11.2,361.6579926,-5.489285714,-11.51914286
-3400,5350,-10.43,11.3,364.1405701,-5.285285714,-11.36914286
-3450,5400,-10.39,11.4,366.6231476,-5.077285714,-11.40214286
-3500,5450,-10.48,11.5,369.1057252,-5.008285714,-11.28314286
-3550,5500,-10.77,11.6,371.5883027,-5.214285714,-11.40414286
-3600,5550,-10.62,11.7,374.0708802,-5.321285714,-11.45414286
-3650,5600,-10.64,11.8,376.5534577,-5.373285714,-11.54514286
-3700,5650,-10.67,11.9,379.0360353,-5.158285714,-11.36114286
-3750,5700,-10.55,12,381.5186128,-5.169285714,-11.49714286
-3800,5750,-10.44,12.1,384.0011903,-5.169285714,-11.54114286
-3850,5800,-10.4,12.2,386.4837678,-5.273285714,-11.69714286
-3900,5850,-10.43,12.3,388.9663454,-5.177285714,-11.59714286
-3950,5900,-10.52,12.4,391.4489229,-5.194285714,-11.64014286
-4000,5950,-10.58,12.5,393.9315004,-4.375833333,-11.4045
-4050,6000,-10.54,12.6,396.4140779,-3.819833333,-11.2795
-4100,6050,-10.23,12.7,398.8966555,-3.789833333,-11.3265
-4150,6100,-10.02,12.8,401.379233,-2.557833333,-11.0585
-4200,6150,-9.96,12.9,403.8618105,-4.1158,-11.2798
-4250,6200,-10.08,13,406.344388,-3.622833333,-11.1785
-4300,6250,-9.99,13.1,408.8269656,-2.193833333,-11.0015
-4350,6300,-10.05,13.2,411.3095431,-2.331833333,-11.0665
-4400,6350,-10.22,13.3,413.7921206,-2.436833333,-11.0845
-4450,6400,-10.39,13.4,416.2746981,-2.626833333,-11.0565
-4500,6450,-10.61,13.5,418.7572757,-2.762833333,-11.1285
-4550,6500,-10.64,13.6,421.2398532,-3.049833333,-11.0055
-4600,6550,-10.22,13.7,423.7224307,-2.864833333,-10.9265
-4650,6600,-10.13,13.8,426.2050083,-3.012833333,-10.9765
-4700,6650,-10.16,13.9,428.6875858,-2.959833333,-10.9655
-4750,6700,-10.33,14,431.1701633,-3.684833333,-11.0415
-4800,6750,-10.68,14.1,433.9163096,-3.636833333,-11.0135
-4850,6800,-11.03,14.2,436.662456,-3.560833333,-11.0875
-4900,6850,-11.25,14.3,439.4086023,-3.575833333,-11.1355
-4950,6900,-11.15,14.4,442.1547486,-3.341833333,-11.2495
-5000,6950,-11,14.5,444.9008949,-3.648833333,-11.3455
-5050,7000,-11,14.6,447.6470412,-3.995833333,-11.5295
-5100,7050,-11.21,14.7,450.3931876,-3.662833333,-11.3205
-5150,7100,-11.45,14.8,453.1393339,-3.161833333,-11.3265
-5200,7150,-11.37,14.9,455.8854802,-4.424833333,-11.6245
-5250,7200,-11.13,15,458.6316265,-4.488833333,-11.7755
-5300,7250,-11.09,15.1,461.3777729,-3.730833333,-11.3605
-5350,7300,-10.85,15.2,464.1239192,-4.716833333,-11.6845
-5400,7350,-10.65,15.3,466.8700655,-4.849833333,-11.6165
-5450,7400,-10.65,15.4,469.6162118,-5.020833333,-11.6455
-5500,7450,-10.75,15.5,472.3623582,-5.305833333,-11.7955
-5550,7500,-10.8,15.6,475.1085045,-5.309833333,-11.7335
-5600,7550,-10.83,15.7,477.8546508,-5.325833333,-11.6635
-5650,7600,-10.96,15.8,480.6007971,-5.523833333,-11.7025
-5700,7650,-10.85,15.9,483.3469435,-5.574833333,-11.7445
-5750,7700,-10.63,16,486.0930898,-5.722833333,-11.8115
-5800,7750,-10.41,16.1,488.8392361,-5.748833333,-11.8025
-5850,7800,-10.21,16.2,491.5853824,-5.820833333,-11.8835
-5900,7850,-9.99,16.3,494.3315288,-5.907833333,-12.0075
-5950,7900,-9.73,16.4,497.0776751,-5.864833333,-11.9135
-6000,7950,-9.7,16.5,499.8238214,-5.8435,-11.97725
-6050,8000,-9.65,16.7,505.3161141,-5.882428571,-11.94671429
-6100,8050,-9.61,16.9,510.8084067,-5.738428571,-11.81671429
-6150,8100,-9.7,17.1,516.3006994,-5.691428571,-11.84971429
-6200,8150,-9.97,17.3,521.792992,-5.619428571,-11.86171429
-6250,8200,-10.08,17.5,527.2852847,-5.620428571,-11.83871429
-6300,8250,-9.88,17.7,532.7775773,-5.568428571,-11.77571429
-6350,8300,-9.74,17.9,538.2698699,-5.567428571,-11.85171429
-6400,8350,-9.52,18.1,543.7621626,-5.570428571,-11.79171429
-6450,8400,-9.34,18.3,549.2544552,-5.619428571,-11.82771429
-6500,8450,-9.75,18.5,554.7467479,-5.496428571,-11.79071429
-6550,8500,-9.86,18.7,560.2390405,-5.384428571,-11.88671429
-6600,8550,-9.81,18.9,565.7313332,-5.552428571,-11.97171429
-6650,8600,-9.68,19.1,571.2236258,-5.628428571,-11.91871429
-6700,8650,-9.65,19.3,576.7159185,-5.560428571,-11.90371429
-6750,8700,-9.79,19.5,582.2082111,-5.452428571,-11.91171429
-6800,8750,-9.73,19.7,587.7005038,-5.489428571,-12.06771429
-6850,8800,-9.66,19.9,593.1927964,-5.315428571,-12.02271429
-6900,8850,-9.76,20.1,598.6850891,-5.410428571,-12.04171429
-6950,8900,-9.95,20.3,604.1773817,-5.473428571,-12.16971429
-7000,8950,-10.06,20.5,609.6696744,-5.447428571,-12.18971429
-7050,9000,-10.35,20.7,615.161967,-5.462428571,-12.21571429
-7100,9050,-10.25,20.9,620.6542597,-5.317428571,-12.16371429
-7150,9100,-10.09,21.1,626.1465523,-5.432428571,-12.22671429
-7200,9150,-10.06,21.3,631.638845,-5.237428571,-12.01871429
-7250,9200,-10.15,21.5,637.1311376,-5.219428571,-12.10671429
-7300,9250,-10.29,21.7,642.6234303,-4.891428571,-12.04971429
-7350,9300,-10.28,21.9,648.1157229,-5.062428571,-12.24371429
-7400,9350,-10.28,22.1,653.6080156,-4.914428571,-12.11571429
-7450,9400,-10.33,22.3,659.1003082,-5.215428571,-12.21571429
-7500,9450,-10.37,22.5,664.5926009,-4.166428571,-11.95071429
-7550,9500,-10.45,22.7,670.0848935,-3.042428571,-11.74671429
-7600,9550,-10.48,22.9,675.5771862,-2.542428571,-11.65571429
-7650,9600,-10.3,23.1,679.4117626,-2.369428571,-11.79871429
-7700,9650,-10.75,23.3,681.5886228,-2.276428571,-11.39871429
-7750,9700,-10.83,23.5,683.7654829,-3.612428571,-11.34371429
-7800,9750,-10.72,23.7,685.9423431,-4.265428571,-11.43071429
-7850,9800,-10.72,23.9,688.1192033,-4.719428571,-11.58271429
-7900,9850,-10.93,24.1,690.2960635,-5.292428571,-11.70471429
-7950,9900,-10.99,24.3,692.4729237,-5.734428571,-12.12971429
-8000,9950,-11.01,24.5,694.6497839,-5.518,-11.898
-8050,10000,-11.32,24.7,696.826644,-5.7665,-12.10825
-8100,10050,-11.41,24.9,699.0035042,-5.664,-11.905
-8150,10100,-11.28,25.1,701.1803644,-5.6175,-11.83125
-8200,10150,-11.03,25.3,703.3572246,-5.76,-11.723
-8250,10200,-11.38,25.5,705.5340848,-5.8625,-11.88725
-8300,10250,-11.3,25.7,707.710945,-6.125,-11.885
-8350,10300,-11.26,25.9,709.8878051,-6.2475,-12.04225
-8400,10350,-11.3,26.1,712.0646653,-6.061,-11.913
-8450,10400,-11.15,26.3,714.2415255,-6.3965,-12.04125
-8500,10450,-10.95,26.5,716.4183857,-6.172,-11.768
-8550,10500,-10.97,26.7,718.5952459,-5.7075,-11.70825
-8600,10550,-10.99,26.9,720.7721061,-5.357,-11.355
-8650,10600,-10.83,27.1,724.5974962,-5.0335,-11.44225
-8700,10650,-10.86,27.3,730.0714163,-4.794,-11.576
-8750,10700,-11.07,27.5,735.5453364,-4.2925,-11.28325
-8800,10750,-11.02,27.7,741.0192565,-3.835,-11.077
-8850,10800,-11.36,27.9,746.4931766,-3.6025,-11.31325
-8900,10850,-11.57,28.1,751.9670967,-3.916,-11.256
-8950,10900,-11.32,28.3,757.44101680000006,-3.7785,-11.28725
-9000,10950,-11.65,28.5,762.9149369,-4.323,-11.447
-9050,11000,-11.95,28.7,768.388857,-4.6495,-11.74825
-9100,11050,-11.77,28.9,773.8627771,-4.065,-11.75
-9150,11100,-11.55,29.1,779.3366972,-3.2235,-11.50125
-9200,11150,-11.49,29.3,784.8106173,-4.692,-11.695
-9250,11200,-11.79,29.5,790.2845374,-5.6515,-11.92625
-9300,11250,-11.75,29.7,795.7584574,-5.989,-12.081
-9350,11300,-11.55,29.9,801.2323775,-5.4785,-11.59725
-9400,11350,-11.81,30.1,806.7062976,-5.954,-11.805
-9450,11400,-11.97,30.3,812.1802177,-6.1115,-11.96025
-9500,11450,-11.78,30.5,817.6541378,-6.301,-12.075
-9550,11500,-11.83,30.7,823.1280579,-6.1855,-11.99825
-9600,11550,-11.39,30.9,828.601978,-5.732,-11.731
-9650,11600,-11.53,31.1,834.0758981,-5.9585,-11.96625
-9700,11650,-11.62,31.3,839.5498182,-6.299,-11.993
-9750,11700,-11.76,31.5,845.0237383,-6.4585,-12.16825
-9800,11750,-12.03,31.7,850.4976584,-6.452,-12.033
-9850,11800,-12.25,31.9,855.9715785,-6.6115,-11.96225
-9900,11850,-12.45,32.1,860.6091953,-6.691,-11.991
-9950,11900,-12.69,32.3,864.4105087,-6.576,-11.846
-10000,11950,-12.86,32.5,868.2118222,-6.832,-11.999
-10050,12000,-12.85,32.7,872.0131356,-6.659,-11.839
-10100,12050,-12.8,32.9,875.8144491,-6.663,-12.006
-10150,12100,-12.73,33.1,879.6157625,-6.54,-12.087
-10200,12150,-12.79,33.3,883.417076,-6.619,-12.162
-10250,12200,-12.79,33.5,887.2183894,-6.597,-12.329
-10300,12250,-12.51,33.7,891.0197029,-6.713,-12.476
-10350,12300,-12.83,33.9,894.8210163,-6.474,-12.325
-10400,12350,-12.92,34.1,898.6223298,-6.495,-12.465
-10450,12400,-12.87,34.3,902.4236432,-6.53,-12.525
-10500,12450,-12.9,34.5,906.2249567,-6.436,-12.48
-10550,12500,-12.98,34.7,910.0262701,-6.132,-12.174
-10600,12550,-12.97,34.9,913.8275836,-5.943,-12.076
-10650,12600,-12.97,35.1,917.628897,-5.993,-12.186
-10700,12650,-12.76,35.3,921.4302105,-6.239,-12.353
-10750,12700,-12.84,35.5,925.2315239,-5.959,-12.068
-10800,12750,-12.56,35.7,929.0328374,-5.745,-11.988
-10850,12800,-12.62,35.9,932.8341508,-5.195,-11.663
-10900,12850,-12.76,36.1,936.6354643,-4.842,-11.698
-10950,12900,-12.79,36.3,940.4367777,-4.822,-11.424
-11000,12950,-12.83,36.5,944.2380912,-4.40575,-11.28525
-11050,13000,-12.94,36.7,948.0394046,-4.538,-11.568
-11100,13050,-12.9,36.9,951.8407181,-4.58575,-11.51825
-11150,13100,-12.82,37.1,955.6420315,-4.929,-11.634
-11200,13150,-12.61,37.3,959.443345,-4.90575,-11.47925
-11250,13200,-12.48,37.5,963.2446584,-4.786,-11.875
-11300,13250,-12.34,37.7,967.0459719,-4.35975,-11.55125
-11350,13300,-12.21,37.9,970.8472853,-5.033,-11.619
-11400,13350,-12.2,38.1,974.6485988,-5.54075,-11.55225
-12550,14500,NA,38.3,978.4499122,-5.62,-11.552
-13700,15650,-13.89,38.5,982.2512257,-4.78575,-11.38925
-13750,15700,-14.73,38.7,986.0525391,-4.494,-11.611
-13800,15750,-15.01,38.9,989.8538526,-4.23175,-11.43225
-13850,15800,-14.94,39.1,993.655166,-5.048,-11.703
-13900,15850,-14.59,39.3,997.4564795,-5.47175,-11.62225
-13950,15900,-14.95,39.5,1001.257793,-5.382,-11.726
-14000,15950,-14.85,39.7,1005.059106,-4.20975,-11.24525
-14050,16000,-14.42,39.9,1008.86042,-4.233,-11.502
-14100,16050,-14.17,40.1,1012.661733,-4.25875,-11.49225
-14150,16100,-14.45,40.3,1016.463047,-4.05075,-11.59625
-14200,16150,-14.54,40.5,1020.26436,-4.354,-11.571
-14250,16200,-14.11,40.7,1024.065674,-5.48075,-12.02125
-14300,16250,-14.39,40.9,1027.866987,-6.095,-12.179
-14350,16300,-15.09,41.1,1033.356244,-5.89675,-12.39425
-14400,16350,-14.88,41.3,1040.533446,-4.94,-12.069
-14450,16400,-14.42,41.5,1047.710647,-3.84475,-11.86525
-14500,16450,-14.03,41.7,1054.887848,-3.44,-11.573
-14550,16500,-14.32,41.9,1062.06505,-2.86975,-11.24225
-14600,16550,-14.79,42.1,1069.242251,-2.867,-11.159
-14650,16600,-14.97,42.3,1076.419453,-2.98175,-11.20925
-14700,16650,-14.76,42.5,1083.596654,-3.05675,-11.36225
-14750,16700,-14.86,42.7,1090.773855,-3.30575,-11.45725
-14800,16750,-14.96,42.9,1097.951057,-3.37275,-11.48325
-14850,16800,-15.27,43.1,1105.128258,-3.29675,-11.41825
-14900,16850,-14.66,43.3,1112.305459,-3.39375,-11.50025
-14950,16900,-14.78,43.5,1119.482661,-3.32975,-11.18225
-15000,16950,-14.87,43.7,1126.659862,-3.53975,-11.35125
-15050,17000,-15,43.9,1133.837063,-3.06675,-11.31125
-15100,17050,-15.67,44.1,1141.014265,-2.79375,-11.31225
-15150,17100,-14.54,44.3,1148.191466,-2.678714286,-11.48557143
-15200,17150,-14.8,44.5,1155.368667,-2.7407142860000002,-11.68757143
-15250,17200,-15.11,44.7,1162.545869,-2.642714286,-11.50157143
-15300,17250,-14.83,44.9,1169.72307,-2.291714286,-11.33857143
-15350,17300,-14.98,45.1,1176.900271,-2.557714286,-11.54857143
-15400,17350,-14.86,45.3,1184.077473,-2.625714286,-11.44157143
-15450,17400,-15.25,45.5,1191.254674,-2.510714286,-11.48557143
-15500,17450,-14.55,45.7,1198.431875,-2.499714286,-11.48657143
-15550,17500,-14.6,45.9,1205.609077,-2.789714286,-11.43057143
-15600,17550,-15,46.1,1212.786278,-2.557714286,-11.20257143
-15650,17600,-15.02,46.3,1219.963479,-2.328714286,-11.03757143
-15700,17650,-14.94,46.5,1227.140681,-2.204714286,-10.92257143
-15750,17700,-14.82,46.7,1234.317882,-2.545714286,-11.16657143
-15800,17750,-14.7,46.9,1241.495083,-2.857714286,-11.01457143
-15850,17800,-14.53,47.1,1248.672285,-3.352714286,-10.99857143
-15900,17850,-14.65,47.3,1255.849486,-4.031714286,-11.51257143
-15950,17900,-14.91,47.5,1263.026687,-4.615714286,-11.66357143
-16000,17950,-15.08,47.7,1270.203889,-4.760714286,-11.68257143
-16050,18000,-14.91,47.9,1277.38109,-4.663714286,-11.60157143
-16100,18050,-14.7,48.1,1284.558291,-4.539714286,-11.39657143
-16150,18100,-15.01,48.3,1291.735493,-4.506714286,-11.33357143
-16200,18150,-14.9,48.5,1298.912694,-4.656714286,-11.31657143
-16250,18200,-14.55,48.7,1306.089896,-4.831714286,-11.40057143
-16300,18250,-15.05,48.9,1313.267097,-5.049714286,-11.31957143
-16350,18300,-15.67,49.1,1319.24145,-5.239714286,-11.34657143
-16400,18350,-14.52,49.3,1324.012956,-5.199714286,-11.48557143
-16450,18400,-14.92,49.5,1328.784461,-4.963714286,-11.18357143
-16500,18450,-15.4,49.7,1333.555967,-4.872714286,-11.34657143
-16550,18500,-15.05,49.9,1338.327472,-4.893714286,-11.63357143
-16600,18550,-16.46,50.1,1343.098977,-4.693714286,-11.54557143
-16650,18600,-15.46,50.3,1347.870483,-4.585857143,-11.42785714
-16700,18650,-14.48,50.5,1352.641988,-4.688857143,-11.47185714
-16750,18700,-15.22,50.7,1357.413494,-4.538857143,-11.62585714
-16800,18750,-15.14,50.9,1362.184999,-4.509857143,-11.64585714
-16850,18800,-14.98,51.1,1366.956504,-4.943857143,-11.80485714
-16900,18850,-14.94,51.3,1371.72801,-5.176857143,-11.87485714
-16950,18900,-14.49,51.5,1376.499515,-5.213857143,-12.07285714
-17000,18950,-14.93,51.7,1381.271021,-4.825857143,-11.87485714
-17050,19000,-15.03,51.9,1386.042526,-4.729857143,-11.88285714
-17100,19050,-14.77,52.1,1390.814032,-4.692857143,-11.73285714
-17150,19100,-15.02,52.3,1395.585537,-4.729857143,-11.74885714
-17200,19150,-14.85,52.5,1400.357042,-4.277857143,-11.67585714
-17250,19200,-15.22,52.7,1405.128548,-3.806857143,-11.45085714
-17300,19250,-15.09,52.9,1409.900053,-3.204857143,-11.04985714
-17350,19300,-14.96,53.1,1414.671559,-2.813857143,-11.12285714
-17400,19350,-14.21,53.3,1419.443064,-2.521857143,-10.83985714
-17450,19400,-14.88,53.5,1424.214569,-3.363857143,-10.96985714
-17500,19450,-14.95,53.7,1428.986075,-3.823857143,-11.08185714
-17550,19500,-14.62,53.9,1433.75758,-4.104857143,-11.16985714
-17600,19550,-14.99,54.1,1438.529086,-4.666857143,-11.36685714
-17650,19600,-15.14,54.3,1443.300591,-4.832857143,-11.49585714
-17700,19650,-14.82,54.5,1448.072097,-5.008857143,-11.73985714
-17750,19700,-15.28,54.7,1452.843602,-4.359857143,-11.44385714
-17800,19750,-15.45,54.9,1457.615107,-3.575857143,-11.37885714
-17850,19800,-14.88,55.1,1462.386613,-2.996857143,-11.49785714
-17900,19850,-15.01,55.3,1467.158118,-4.983857143,-11.72085714
-17950,19900,-14.96,55.5,1471.929624,-4.959857143,-11.84785714
-18000,19950,-14.99,55.7,1476.701129,-4.573857143,-11.54385714
-18050,20000,-14.93,55.9,1481.472634,-4.542857143,-11.61485714
-18100,20050,-14.85,56.1,1486.24414,-4.734857143,-11.70185714
-24250,26200,NA,56.3,1491.015645,-4.417857143,-11.77785714
-30350,32300,-14.3,56.5,1495.787151,-4.7378,-11.6908
-30400,32350,-14.31,56.7,1500.558656,-4.520857143,-11.94585714
-30450,32400,-14.31,56.9,1505.330162,-4.235857143,-11.95085714
-30500,32450,-14.31,57.1,1510.101667,-4.130857143,-12.02485714
-30550,32500,-14.3,57.3,1514.873172,-4.774857143,-12.03685714
-30600,32550,-14.3,57.5,1519.644678,-4.785857143,-12.14385714
-30650,32600,-14.28,57.7,1524.416183,-4.810857143,-12.09185714
-30700,32650,-14.18,57.9,1529.187689,-5.120857143,-12.21285714
-30750,32700,-14.08,58.1,1533.959194,-4.848857143,-12.02785714
-30800,32750,-13.98,58.3,1538.730699,-4.6604,-11.8942
-30850,32800,-13.84,58.5,1543.502205,-4.7634,-12.1962
-30900,32850,-13.67,58.7,1548.27371,-4.9704,-12.1782
-30950,32900,-13.49,58.9,1553.045216,-4.9844,-12.0742
-31000,32950,-13.32,59.1,1557.816721,-5.3014,-12.1332
-31050,33000,-13.38,59.3,1562.588227,-5.4124,-12.0612
-31100,33050,-13.44,59.5,1567.359732,-5.7024,-12.2002
-31150,33100,-13.5,59.7,1572.131237,-5.9454,-12.5802
-31200,33150,-13.54,59.9,1576.902743,-5.8444,-12.2842
-31250,33200,-13.55,60.1,1580.968779,-5.8184,-12.1402
-31300,33250,-13.56,60.3,1584.329347,-6.0054,-12.3712
-31350,33300,-13.57,60.5,1587.689914,-6.0704,-12.3262
-31400,33350,-13.59,60.7,1591.050482,-6.3024,-12.7622
-31450,33400,-13.61,60.9,1594.411049,-6.2514,-12.4692
-31500,33450,-13.63,61.1,1597.771616,-6.4088,-12.6238
-31550,33500,-13.68,61.5,1604.492751,-6.3954,-12.6702
-31600,33550,-13.79,61.7,1607.853319,-6.5364,-12.6752
-31650,33600,-13.9,61.9,1611.213886,-6.4534,-12.7112
-31700,33650,-14.01,62.1,1614.574454,-4.8754,-11.9922
-31750,33700,-13.96,62.3,1617.935021,-4.1034,-12.0242
-31800,33750,-13.88,62.5,1621.295589,-3.9844,-11.7322
-31850,33800,-13.8,62.7,1624.656156,-3.9214,-11.8342
-31900,33850,-13.73,62.9,1628.016723,-3.9834,-11.9112
-31950,33900,-13.68,63.1,1631.377291,-4.0774,-12.0132
-32000,33950,-13.62,63.3,1634.737858,-4.0078,-11.7338
-32050,34000,-13.57,63.5,1638.098426,-4.3374,-11.9182
-32100,34050,-13.69,63.7,1641.458993,-4.8824,-11.8722
-32150,34100,-13.87,63.9,1644.819561,-5.1774,-11.7252
-32200,34150,-14.04,64.1,1648.180128,-4.4264,-11.5642
-32250,34200,-14.18,64.3,1651.540696,-4.6354,-11.6462
-32300,34250,-14.2,64.5,1654.901263,-5.4874,-11.7072
-32350,34300,-14.21,64.7,1658.26183,-5.5624,-11.6462
-32400,34350,-14.23,64.9,1661.622398,-5.5894,-11.4782
-32450,34400,-14.09,65.1,1664.982965,-5.5454,-11.7412
