year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],SumDiatoms (number/cm2) [1-1],CAL (unitless) [1-1],Acinocyclus. curvatulus (unitless) [1-1],A. octonarius (unitless) [1-1],Actinoptychus spp. (unitless) [1-1],Azpeitia nodulifer (unitless) [1-1],Az. tabularis (unitless) [1-1],Coscinodiscus spp. (unitless) [1-1],Cyclotella spp. (unitless) [1-1],Hemidiscus cuneiformis (unitless) [1-1],Paralia sulcata (unitless) [1-1],Roperia tesselata (unitless) [1-1],Stephanopyxis spp. (unitless) [1-1],Thalassiosira spp. (unitless) [1-1],Chaetoceros spores (unitless) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],percentOpal (percent) [2-1],CAL (unitless) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],CAL (unitless) [3-1],LSR (cm/ky) (unitless) [3-1],Bulk MAR (unitless) [3-1],% Al (unitless) [3-1],% Fe (unitless) [3-1],% Mg (unitless) [3-1],% Ca (unitless) [3-1],% Ca-detr (unitless) [3-1],% Ca-ex (unitless) [3-1],% CaCO3-ex (unitless) [3-1],% Na (unitless) [3-1],% K (unitless) [3-1],% P (unitless) [3-1],% Ti (unitless) [3-1],% Mn (unitless) [3-1],ppm Mn (unitless) [3-1],ppm As (unitless) [3-1],ppm Ba (unitless) [3-1],ppm Be (unitless) [3-1],ppm Cd (unitless) [3-1],ppm Co (unitless) [3-1],ppm Cr (unitless) [3-1],ppm Cu (unitless) [3-1],ppm La (unitless) [3-1],ppm Mo (unitless) [3-1],ppm Ni (unitless) [3-1],ppm Pb (unitless) [3-1],ppm Sc (unitless) [3-1],ppm Sr (unitless) [3-1],ppm V (unitless) [3-1],ppm Y (unitless) [3-1],ppm Zr (unitless) [3-1],ppm Zn (unitless) [3-1],% TC (unitless) [3-1],% IC (unitless) [3-1],CaCO3-IC (unitless) [3-1],% OC (unitless) [3-1],ppm Cd/% Mn (unitless) [3-1],ppmBa/%Al (unitless) [3-1],OC-MAR (g) (unitless) [3-1],OC-MAR (mg) (unitless) [3-1],Cd MAR (ug/cm2/ky) (unitless) [3-1],Mo MAR (ug/cm2/ky) (unitless) [3-1],Mn/Mo (unitless) [3-1]
-521.1435,2471.1435,50.5,162600,CAL,0,0,5807,34843,0,23229,40650,5807,29036,0,11614,11614,3577236,-689,2639,80,5.43,CAL,-521.1435,2471.1435,50,CAL,29.74331519,7.527438208,2.51,1.82,1.31,9.07,0.91866,8.15134,20.37835,4.68,0.84,0.22,0.13,0.012,120,8,570,0.6,8,6,114,73.7,13.5,28,121,6,5.2,476,106,14.1,29.3,147,15.94,2.47,20.58333333,13.47,666.6666667,227.0916335,1.013945927,1013.945927,60.21950567,210.7682698,4.285714286
-689.2485,2639.2485,55.5,243999,CAL,7871,0,23613,70838,7871,55096,39355,0,15742,0,7871,15742,440771,-857,2807,85,7.08,CAL,-689.2485,2639.2485,55,CAL,29.74331519,7.369376283,2.22,1.27,1.1,14.8,0.81252,13.98748,34.9687,3.59,0.72,0.21,0.12,0.0106,106,3,707,-0.5,4,5,89,55.8,11.1,14,89,-2,4.5,762,74,11.7,24.5,114,14.93,4.38,36.5,10.55,377.3584906,318.4684685,0.777469198,777.4691978,29.47750513,103.171268,7.571428571
-857.3535,2807.3535,60.5,69517,CAL,0,0,0,18538,0,9269,32441,0,9269,0,0,0,64882,-1025,2975,90,8.68,CAL,-857.3535,2807.3535,60,CAL,29.74331519,8.457214241,2.43,1.45,1.21,13.6,0.88938,12.71062,31.77655,3.96,0.8,0.26,0.13,0.0115,115,10,700,0.6,5,6,102,60.2,13.1,18,96,5,5,692,77,13.4,27.2,135,15.16,3.85,32.08333333,11.31,434.7826087,288.0658436,0.956510931,956.5109307,42.28607121,152.2298563,6.388888889
-1025.4585,2975.4585,65.5,327267,CAL,0,0,18386,47803,0,91929,113992,7354,18386,7354,3677,18386,3063063,-1194,3144,95,14.73,CAL,-1025.4585,2975.4585,65,CAL,29.74331519,7.880753101,2.42,1.39,1.18,13.1,0.88572,12.21428,30.5357,3.82,0.77,0.29,0.12,0.0112,112,4,775,-0.5,4,5,93,51.1,11.7,15,86,-2,4.9,690,70,12.2,26.7,122,14.9,3.83,31.91666667,11.07,357.1428571,320.2479339,0.872399368,872.3993683,31.5230124,118.2112965,7.466666667
-1193.5635,3143.5635,70.5,167655,CAL,9314,4657,23286,13971,0,37257,18628,4657,9314,4657,9314,32600,14050530,-1362,3312,100,8.1,CAL,-1193.5635,3143.5635,70,CAL,29.74331519,6.955625948,2.26,1.35,1.19,10.2,0.82716,9.37284,23.4321,4.34,0.76,0.25,0.11,0.0106,106,7,851,-0.5,9,6,97,58.7,11.6,23,98,6,4.7,537,72,12.7,26.2,132,14.91,2.8,23.33333333,12.11,849.0566038,376.5486726,0.842326302,842.3263023,62.60063353,159.9793968,4.608695652
-1361.6685,3311.6685,75.5,173706,CAL,0,5990,0,35939,0,35939,77868,0,5990,0,0,11980,670860,-1530,3480,105,7.47,CAL,-1361.6685,3311.6685,75,CAL,29.74331519,8.573436245,2.81,1.73,1.39,7.87,1.02846,6.84154,17.10385,4.36,0.91,0.24,0.14,0.0128,128,13,549,0.7,8,6,130,67,13.9,23,121,6,5.9,448,102,14.8,33,163,15.41,2.14,17.83333333,13.27,625,195.3736655,1.13769499,1137.69499,68.58748996,197.1890336,5.565217391
-1529.7735,3479.7735,80.5,162108,CAL,0,7369,3684,51580,3684,22106,55264,3684,11053,0,0,3684,825274,-1698,3648,110,7.45,CAL,-1529.7735,3479.7735,80,CAL,29.74331519,8.261961274,2.35,1.34,1.18,13.1,0.8601,12.2399,30.59975,3.67,0.77,0.22,0.12,0.0111,111,6,749,0.5,5,5,101,52.1,11.4,19,93,4,4.8,649,78,12.2,26.3,132,16.65,3.88,32.33333333,12.77,450.4504505,318.7234043,1.055052455,1055.052455,41.30980637,156.9772642,5.842105263
-1697.8785,3647.8785,85.5,96498,CAL,0,0,8391,41955,4196,12587,20978,0,8391,0,0,0,469897,-1866,3816,115,7.98,CAL,-1697.8785,3647.8785,85,CAL,29.74331519,8.317747836,2.68,1.69,1.26,12,0.98088,11.01912,27.5478,3.73,0.86,0.23,0.14,0.0124,124,12,821,0.6,5,5,107,66.2,12.7,21,104,3,5.3,623,83,13.1,28.9,142,15.16,3.46,28.83333333,11.7,403.2258065,306.3432836,0.973176497,973.1764968,41.58873918,174.6727046,5.904761905
-1865.9835,3815.9835,90.5,23860,CAL,0,0,0,11930,0,3977,7953,0,0,0,0,0,83507,-2034,3984,120,7.82,CAL,-1865.9835,3815.9835,90,CAL,29.74331519,9.294012671,2.58,1.6,1.27,11,0.94428,10.05572,25.1393,3.99,0.84,0.22,0.13,0.0119,119,8,829,0.5,7,5,110,64.9,11.8,23,110,2,5.2,574,86,13.4,28.3,144,15.85,3.17,26.41666667,12.68,588.2352941,321.3178295,1.178480807,1178.480807,65.05808869,213.7622914,5.173913043
-2034.0885,3984.0885,95.5,239427,CAL,0,5321,5321,74488,5321,37244,90450,0,10641,0,0,10641,1191806,-2202,4152,125,8.04,CAL,-2034.0885,3984.0885,95,CAL,29.74331519,9.047622022,2.52,1.62,1.26,11.4,0.92232,10.47768,26.1942,3.97,0.83,0.21,0.13,0.0117,117,14,669,0.6,7,6,112,66.7,13.7,22,114,6,5.2,582,89,13.7,30.4,148,15.99,3.29,27.41666667,12.7,598.2905983,265.4761905,1.149047997,1149.047997,63.33335415,199.0476845,5.318181818
-2202.1935,4152.1935,100.5,292063,CAL,0,0,16931,55026,0,55026,139683,8466,12698,0,0,4233,1214815,-2370,4320,130,6.37,CAL,-2202.1935,4152.1935,100,CAL,29.74331519,8.922102258,2.66,1.7,1.32,11.3,0.97356,10.32644,25.8161,4.09,0.89,0.22,0.14,0.0122,122,13,1010,0.6,6,7,117,67.6,11.8,25,114,-2,5.3,597,93,14.3,28.4,154,16.35,3.12,26,13.23,491.8032787,379.6992481,1.180394129,1180.394129,53.53261355,223.0525564,4.88
-2370.2985,4320.2985,105.5,55770,CAL,0,0,0,12870,0,12870,12870,4290,8580,0,0,4290,60060,-2538,4488,135,8.13,CAL,-2370.2985,4320.2985,105,CAL,29.74331519,9.786793968,2.88,1.79,1.32,12,1.05408,10.94592,27.3648,3.73,0.95,0.19,0.15,0.0137,137,7,582,0.7,4,8,111,64.2,13.3,18,107,5,5.8,646,84,14,30.6,148,15.22,3.4,28.33333333,11.82,291.9708029,202.0833333,1.156799047,1156.799047,39.14717587,176.1622914,7.611111111
-2538.4035,4488.4035,110.5,160134,CAL,0,4214,8428,33713,8428,8428,63211,0,25284,4214,0,4214,2389381,-2707,4657,140,6.4,CAL,-2538.4035,4488.4035,110,CAL,29.74331519,9.898367092,2.69,1.82,1.3,11.3,0.98454,10.31546,25.78865,4.07,0.9,0.22,0.14,0.0127,127,18,878,0.6,10,7,115,72.2,13.5,24,111,6,5.5,597,93,14.2,29,151,15.58,3.21,26.75,12.37,787.4015748,326.394052,1.224428009,1224.428009,98.98367092,237.5608102,5.291666667
-2706.5085,4656.5085,115.5,118308,CAL,0,8873,11831,62112,0,17746,8873,0,5915,0,0,2958,103520,-2875,4825,145,5.79,CAL,-2706.5085,4656.5085,115,CAL,29.74331519,10.6700812,2.5,1.52,1.2,15,0.915,14.085,35.2125,3.5,0.83,0.26,0.13,0.0117,117,12,737,0.6,4,7,99,57.8,12.6,17,97,4,5.2,779,73,13.1,28.3,130,13.83,4.36,36.33333333,9.47,341.8803419,294.8,1.01045669,1010.45669,42.6803248,181.3913804,6.882352941
-2874.6135,4824.6135,120.5,79182,CAL,0,0,0,35192,0,4399,21995,0,13197,0,0,4399,184758,-3043,4993,150,6.09,CAL,-2874.6135,4824.6135,120,CAL,29.74331519,8.875613456,2.75,1.55,1.3,12.6,1.0065,11.5935,28.98375,3.81,0.88,0.26,0.14,0.0125,125,-3,816,0.6,5,6,112,62.7,12,18,107,-2,5.4,655,79,14.1,28.2,144,15.52,3.58,29.83333333,11.94,400,296.7272727,1.059748247,1059.748247,44.37806728,159.7610422,6.944444444
-3042.7185,4992.7185,125.5,122548,CAL,0,3501,7003,77031,0,10504,3501,3501,10504,0,0,7003,73529,-3211,5161,155,5.99,CAL,-3042.7185,4992.7185,125,CAL,29.74331519,9.294012671,2.76,1.72,1.29,11.3,1.01016,10.28984,25.7246,3.89,0.87,0.21,0.14,0.0121,121,12,924,0.6,6,6,132,66.5,11.6,24,119,-2,5.4,588,84,13.9,27.5,149,15.98,3.35,27.91666667,12.63,495.8677686,334.7826087,1.1738338,1173.8338,55.76407602,223.0563041,5.041666667
-3210.8235,5160.8235,130.5,106769,CAL,0,0,0,46978,4271,12812,34166,4271,4271,0,0,0,149477,-3379,5329,160,9.08,CAL,-3210.8235,5160.8235,130,CAL,29.74331519,9.898367092,2.63,1.57,1.27,11.8,0.96258,10.83742,27.09355,3.86,0.86,0.23,0.13,0.0117,117,11,907,0.5,6,6,115,63,12.4,23,109,3,5.4,603,85,13.9,29.5,148,15.91,3.45,28.75,12.46,512.8205128,344.8669202,1.23333654,1233.33654,59.39020255,227.6624431,5.086956522
-3378.9285,5328.9285,135.5,73005,CAL,0,0,0,39821,0,16592,3318,0,6637,0,0,6637,209059,-3547,5497,165,5.84,CAL,-3378.9285,5328.9285,135,CAL,29.74331519,9.995993575,2.53,1.51,1.18,13.7,0.92598,12.77402,31.93505,3.52,0.81,0.2,0.13,0.0117,117,13,838,0.6,6,7,107,60.7,12.4,23,107,5,5.1,690,76,13,28.4,141,15.35,3.77,31.41666667,11.58,512.8205128,331.2252964,1.157536056,1157.536056,59.97596145,229.9078522,5.086956522
-3547.0335,5497.0335,140.5,44104,CAL,0,0,0,16539,0,5513,5513,0,16539,0,0,0,57887,-3715,5665,170,7,CAL,-3547.0335,5497.0335,140,CAL,29.74331519,9.386990274,2.72,1.68,1.26,13.4,0.99552,12.40448,31.0112,3.59,0.85,0.18,0.14,0.0123,123,7,737,0.6,5,6,104,59.8,11.4,21,101,-2,5.2,675,75,12.9,27.6,140,14.74,3.87,32.25,10.87,406.504065,270.9558824,1.020365843,1020.365843,46.93495137,197.1267958,5.857142857
-3715.1385,5665.1385,145.5,53137,CAL,0,0,0,16350,0,0,12262,0,24525,0,0,0,972818,-3883,5833,175,6.51,CAL,-3715.1385,5665.1385,145,CAL,29.74331519,9.386990274,3.21,2.17,1.47,6.16,1.17486,4.98514,12.46285,4.26,0.99,0.22,0.16,0.0143,143,7,422,0.7,12,8,143,76.9,14.8,40,148,4,6.4,371,105,15.7,33.6,180,16.58,1.58,13.16666667,15,839.1608392,131.4641745,1.408048541,1408.0485409999999,112.6438833,375.479611,3.575
-3883.2435,5833.2435,150.25,137174,CAL,0,3919,7839,58789,0,19596,35273,0,11758,0,0,0,109739,-3917,5867,176,7.98,CAL,-3883.2435,5833.2435,150,CAL,29.74331519,9.386990274,2.86,1.6,1.31,10.7,1.04676,9.65324,24.1331,3.78,0.89,0.19,0.14,0.0127,127,7,870,0.6,7,6,122,62.6,13.5,24,111,8,5.8,536,86,14.2,32,158,15.41,3.16,26.33333333,12.25,551.1811024,304.1958042,1.149906309,1149.906309,65.70893192,225.2877666,5.291666667
-3916.8645,5866.8645,150.75,125588,CAL,0,0,4186,29304,0,4186,33490,0,46049,0,0,8373,820513,-4051,6001,180,6.52,CAL,-3916.8645,5866.8645,151,CAL,29.74331519,9.386990274,3.21,1.99,1.46,6.03,1.17486,4.85514,12.13785,4.14,1.04,0.21,0.16,0.0144,144,14,1240,0.7,11,8,142,73.8,15.1,33,138,4,6.6,377,109,15.7,34.6,179,16.93,1.51,12.58333333,15.42,763.8888889,386.2928349,1.4474739,1447.4739,103.256893,309.770679,4.363636364
-4051.3485,6001.3485,155.5,48485,CAL,0,3463,0,13853,0,3463,10390,0,10390,0,0,6926,72727,-4219,6169,185,6.47,CAL,-4051.3485,6001.3485,155,CAL,29.74331519,9.386990274,2.56,1.39,1.24,11.7,0.93696,10.76304,26.9076,3.82,0.86,0.18,0.13,0.0115,115,8,628,0.5,7,6,118,62.7,10.9,23,106,-2,5.1,602,82,13.5,26.8,142,16.26,3.41,28.41666667,12.85,608.6956522,245.3125,1.20622825,1206.22825,65.70893192,215.9007763,5
-4219.4535,6169.4535,160.5,92728,CAL,0,0,0,3864,7727,23182,30909,0,19318,0,3864,3864,567951,-4388,6338,190,6.97,CAL,-4219.4535,6169.4535,160,CAL,29.74331519,10.53526367,2.65,1.59,1.22,12.2,0.9699,11.2301,28.07525,3.6,0.85,0.17,0.13,0.0121,121,9,820,0.6,5,7,104,59.5,12.9,20,102,2,5.2,618,73,12.9,29.3,130,14.93,3.67,30.58333333,11.26,413.2231405,309.4339623,1.18627069,1186.27069,52.67631837,210.7052735,6.05
-4387.5585,6337.5585,165.5,16650,CAL,0,0,0,0,3330,0,3330,0,9990,0,0,0,93240,-4724,6674,200,6.58,CAL,-4387.5585,6337.5585,165,CAL,29.74331519,9.386990274,2.49,1.7,1.17,10.7,0.91134,9.78866,24.47165,3.59,0.79,0.16,0.12,0.0114,114,-3,904,0.5,8,5,109,62.6,11.3,25,112,-2,4.8,533,85,12.3,25.2,137,15.61,3.16,26.33333333,12.45,701.754386,363.0522088,1.168680289,1168.680289,75.09592219,234.6747568,4.56
-4555.6635,6505.6635,170.5,90273,CAL,0,0,0,27082,22568,13541,9027,0,18055,0,0,0,568720,-4892,6842,205,7.21,CAL,-4555.6635,6505.6635,170,CAL,29.74331519,10.31676631,2.49,1.46,1.22,11.9,0.91134,10.98866,27.47165,3.8,0.82,0.2,0.12,0.0115,115,12,960,0.6,8,6,120,63.4,13.1,22,114,6,5.3,598,82,13.8,29,146,16.12,3.37,28.08333333,12.75,695.6521739,385.5421687,1.315387704,1315.387704,82.53413045,226.9688587,5.227272727
-4723.7685,6673.7685,175.5,22320,CAL,0,0,0,4960,0,2480,7440,0,4960,0,2480,0,34722,-5060,7010,210,7.34,CAL,-4723.7685,6673.7685,175,CAL,29.74331519,10.11686446,2.83,1.64,1.31,12.6,1.03578,11.56422,28.91055,3.67,0.99,0.21,0.14,0.0134,134,8,926,0.6,4,6,114,62.2,13,17,104,5,6,653,74,15,30.8,135,14.94,3.52,29.33333333,11.42,298.5074627,327.2084806,1.155345921,1155.345921,40.46745784,171.9866958,7.882352941
-4891.8735,6841.8735,180.5,88594,CAL,0,0,4027,32216,4027,12081,28189,0,8054,0,0,0,140944,-5228,7178,215,6.72,CAL,-4891.8735,6841.8735,180,CAL,29.74331519,9.991344695,2.55,1.63,1.24,13.7,0.9333,12.7667,31.91675,3.72,0.91,0.24,0.13,0.0119,119,8,698,0.6,6,6,111,63.3,10.9,22,112,-2,5.3,696,79,14.1,26.8,137,15.34,3.83,31.91666667,11.51,504.2016807,273.7254902,1.150003774,1150.003774,59.94806817,219.8095833,5.409090909
-5059.9785,7009.9785,185.5,177339,CAL,0,26273,0,52545,19704,13136,26273,0,19704,0,0,19704,137931,-5564,7514,225,6.17,CAL,-5059.9785,7009.9785,185,CAL,29.74331519,9.479967877,2.51,1.44,1.25,15.6,0.91866,14.68134,36.70335,3.64,0.89,0.35,0.13,0.0121,121,7,909,0.5,5,7,111,58.7,12.2,17,103,4,5.3,797,78,13.7,28.3,125,14.83,4.16,34.66666667,10.67,413.2231405,362.1513944,1.011512572,1011.512572,47.39983939,161.1594539,7.117647059
-5228.0835,7178.0835,190.5,92314,CAL,0,0,0,30772,9231,6154,27694,0,3077,0,3077,12309,193861,-5901,7851,235,4.55,CAL,-5228.0835,7178.0835,190,CAL,29.74331519,10.31676631,2.35,1.37,1.18,14.1,0.8601,13.2399,33.09975,3.61,0.82,0.25,0.12,0.0109,109,3,692,0.5,5,5,110,57.4,11.2,18,105,-2,5,694,77,13.2,25.2,120,15.41,4.18,34.83333333,11.23,458.7155963,294.4680851,1.158572856,1158.572856,51.58383153,185.7017935,6.055555556
-5396.1885,7346.1885,195.5,22858,CAL,0,0,0,7619,0,0,0,3810,0,0,0,11429,53333,-6069,8019,240,5.01,CAL,-5396.1885,7346.1885,195,CAL,29.74331519,9.201035067,2.6,1.52,1.2,14.7,0.9516,13.7484,34.371,3.26,0.85,0.28,0.13,0.0123,123,5,853,0.6,5,6,106,55.6,13.2,15,99,5,5.4,730,74,12.9,29.2,115,14.34,4.18,34.83333333,10.16,406.504065,328.0769231,0.934825163,934.8251628,46.00517534,138.015526,8.2
-5564.2935,7514.2935,200.5,73614,CAL,0,0,0,32206,4601,4601,13803,0,18403,0,0,0,32206,-6405,8355,250,4.75,CAL,-5564.2935,7514.2935,200,CAL,29.74331519,10.73516552,2.54,1.43,1.17,14.5,0.92964,13.57036,33.9259,3.34,0.81,0.23,0.13,0.0118,118,8,923,0.6,6,7,108,59.5,13,15,102,5,5.2,704,74,13,27.9,117,14.9,4.21,35.08333333,10.69,508.4745763,363.3858268,1.147589194,1147.589194,64.41099313,161.0274828,7.866666667
-5732.3985,7682.3985,205.5,37415,CAL,0,0,0,6803,0,6803,3401,0,13605,0,0,6803,47619,-6573,8523,255,4.63,CAL,-5732.3985,7682.3985,205,CAL,29.74331519,11.15356474,2.64,1.57,1.17,13.2,0.96624,12.23376,30.5844,3.27,0.82,0.17,0.13,0.012,120,7,832,0.6,6,5,107,56.7,12.1,15,101,2,5.1,650,74,12.7,26.4,121,14.99,3.98,33.16666667,11.01,500,315.1515152,1.228007477,1228.007477,66.92138842,167.303471,8
-5900.5035,7850.5035,210.5,8646,CAL,0,0,2882,0,0,0,0,0,2882,0,0,2882,20171,-6741,8691,260,4.67,CAL,-5900.5035,7850.5035,210,CAL,29.74331519,10.88857857,2.5,1.62,1.12,15.4,0.915,14.485,36.2125,3.07,0.78,0.15,0.12,0.0117,117,15,813,0.5,5,7,103,55.9,12.7,15,100,6,4.9,742,72,12.7,26,111,14.62,4.61,38.41666667,10.01,427.3504274,325.2,1.089946715,1089.946715,54.44289283,163.3286785,7.8
