year (AD),age (yr BP),d18O (permil)
-3393,5343,-19.54
-3407,5357,-19.93
-3420,5370,-19.43
-3448,5398,-19.17
-3461,5411,-19.43
-3475,5425,-19.69
-3489,5439,-19.63
-3502,5452,-19.97
-3516,5466,-19.61
-3530,5480,-19.62
-3543,5493,-19.81
-3561,5511,-19.64
-3583,5533,-19.21
-3605,5555,-19.77
-3627,5577,-19.29
-3649,5599,-19.82
-3671,5621,-19.7
-3693,5643,-19.76
-3715,5665,-19.14
-3737,5687,-19.4
-3759,5709,-19.36
-3781,5731,-19.04
-3803,5753,-19.51
-3825,5775,-19.75
-3847,5797,-19.78
-3869,5819,-19.77
-3891,5841,-19.95
-3913,5863,-20.04
-3935,5885,-19.83
-3957,5907,-19.7
-3979,5929,-19.27
-4001,5951,-19.69
-4023,5973,-19.39
-4045,5995,-19.41
-4067,6017,-19.37
-4089,6039,-19.64
-4111,6061,-19.22
-4133,6083,-19.83
-4155,6105,-19.67
-4177,6127,-19.84
-4199,6149,-19.55
-4221,6171,-20.29
-4243,6193,-19.71
-4265,6215,-19.97
-4287,6237,-19.91
-4309,6259,-19.86
-4331,6281,-19.51
-4353,6303,-19.82
-4375,6325,-19.86
-4397,6347,-20.1
-4419,6369,-20.24
-4441,6391,-19.93
-4463,6413,-19.7
-4485,6435,-19.59
-4507,6457,-19.45
-4529,6479,-19.78
-4551,6501,-19.89
-4572,6522,-19.79
-4594,6544,-19.38
-4616,6566,-19.94
-4638,6588,-19.79
-4660,6610,-19.9
-4682,6632,-19.59
-4704,6654,-19.52
-4726,6676,-19.53
-4748,6698,-19.81
-4770,6720,-19.81
-4792,6742,-20.07
-4814,6764,-19.77
-4836,6786,-19.73
-4858,6808,-19.1
-4880,6830,-19.45
-4902,6852,-19.48
-4924,6874,-19.4
-4946,6896,-19.63
-4968,6918,-19.62
-4990,6940,-19.45
-5012,6962,-19.71
-5034,6984,-19.54
-5056,7006,-19.75
-5078,7028,-19.84
-5100,7050,-19.41
-5122,7072,-19.44
-5144,7094,-19.42
-5166,7116,-19.48
-5188,7138,-19.38
-5210,7160,-18.92
-5232,7182,-19.57
-5254,7204,-19.56
-5276,7226,-18.94
-5298,7248,-18.99
-5320,7270,-19.59
-5342,7292,-19.75
-5364,7314,-19.79
-5386,7336,-19.08
-5408,7358,-19.35
-5430,7380,-19.99
-5452,7402,-19.91
-5474,7424,-19.17
-5496,7446,-19.59
-5518,7468,-19.54
-5540,7490,-18.8
-5562,7512,-19.57
-5606,7556,-19.64
