year (AD),age (yr BP),MedianElevM (m),MaxElevM (m),MinElevM (m),Recon0x2EDate (unitless)
-4500,6450,-0.822164692,-0.538375034,-1.10595435,11414
-4550,6500,-0.769642961,-0.449560477,-1.089725445,11414
-4600,6550,-0.695244882,-0.360225681,-1.030264082,11414
-4650,6600,-0.656705965,-0.342934757,-0.970477173,11414
-4700,6650,-0.657566759,-0.345541694,-0.969591824,11414
-4750,6700,-0.679973001,-0.348148074,-1.011797928,11414
-4800,6750,-0.705788952,-0.350754975,-1.060822929,11414
-4850,6800,-0.709987538,-0.353362536,-1.06661254,11414
-4900,6850,-0.714186261,-0.355970313,-1.072402209,11414
-4950,6900,-0.680925364,-0.297681234,-1.064169495,11414
-5000,6950,-0.647463471,-0.239075601,-1.055851342,11414
-5050,7000,-0.613801418,-0.180153753,-1.047449083,11414
-5100,7050,-0.617398609,-0.181812207,-1.052985011,11414
-5150,7100,-0.58273793,-0.121310923,-1.044164936,11414
-5200,7150,-0.547877593,-0.060493924,-1.035261261,11414
-5250,7200,-0.512817598,6.38792e-4,-1.026273988,11414
-5300,7250,-0.486231452,-7.24e-5,-0.972390499,11414
-5350,7300,-0.4892291,-7.83421e-4,-0.977674779,11414
-5400,7350,-0.492226069,-0.001494257,-0.98295788,11414
-5450,7400,-0.524808011,-0.002205197,-1.047410825,11414
-5500,7450,-0.527806159,-0.002916317,-1.052696001,11414
-5550,7500,-0.530925373,-0.003627556,-1.058223189,11414
-5600,7550,-0.534344803,-0.004338622,-1.064350983,11414
-5650,7600,-0.538064165,-0.005049508,-1.071078823,11414
-5700,7650,-0.541964264,-0.005760398,-1.078168131,11414
-5750,7700,-0.545865371,-0.006471468,-1.085259275,11414
-5800,7750,-0.521054161,0.042518534,-1.084626856,11414
-5850,7800,-0.496102388,0.091745582,-1.083950358,11414
-5900,7850,-0.435293817,0.141209732,-1.011797366,11414
-5950,7900,-0.402794445,0.141209732,-0.946798622,11414
-6000,7950,-0.370030881,0.141209732,-0.881271493,11414
-6050,8000,-0.372719315,0.141209732,-0.886648363,11414
-6100,8050,-0.375408031,0.141209732,-0.892025795,11414
-6150,8100,-0.378097553,0.141209732,-0.897404839,11414
-6200,8150,-0.3434841,0.141209732,-0.828177933,11414
-6250,8200,-0.308605731,0.141209732,-0.758421195,11414
-6300,8250,-0.311294473,0.141209732,-0.763798678,11414
-6350,8300,-0.313190092,0.141209732,-0.767589916,11414
-6400,8350,-0.31508619,0.141209732,-0.771382112,11414
-6450,8400,-0.279150662,0.141209732,-0.699511057,11414
-6500,8450,-0.281047058,0.141209732,-0.703303847,11414
-6550,8500,-0.322097092,0.141209732,-0.785403917,11414
-6600,8550,-0.363410781,0.141209732,-0.868031295,11414
-6650,8600,-0.365306748,0.141209732,-0.871823229,11414
-6700,8650,-0.328049076,0.141209732,-0.797307884,11414
-6750,8700,-0.33073834,0.141209732,-0.802686412,11414
-6800,8750,-0.413584961,0.141209732,-0.968379654,11414
-6850,8800,-0.45622045,0.141209732,-1.053650633,11414
-6900,8850,-0.417904948,0.141209732,-0.977019628,11414
-6950,8900,-0.33884975,0.141209732,-0.818909232,11414
-7000,8950,-0.300005358,0.141209732,-0.741220447,11414
-7050,9000,-0.301901367,0.141209732,-0.745012465,11414
-7100,9050,-0.303797855,0.141209732,-0.748805442,11414
-7150,9100,-0.305694339,0.141209732,-0.752598411,11414
-7200,9150,-0.307590345,0.141209732,-0.756390421,11414
-7250,9200,-0.309485893,0.141209732,-0.760181519,11414
-7300,9250,-0.311381771,0.141209732,-0.763973274,11414
-7350,9300,-0.313278128,0.141209732,-0.767765988,11414
-7400,9350,-0.315174744,0.141209732,-0.77155922,11414
-7450,9400,-0.33529056,0.141209732,-0.811790853,11414
-7500,9450,-0.355489916,0.141209732,-0.852189564,11414
-7550,9500,-0.375773287,0.141209732,-0.892756306,11414
-7600,9550,-0.377921356,0.141209732,-0.897052445,11414
-7650,9600,-0.380069735,0.141209732,-0.901349203,11414
-7700,9650,-0.408812765,0.141209732,-0.958835263,11414
-7750,9700,-0.437735206,0.141209732,-1.016680145,11414
-7800,9750,-0.466845049,0.141209732,-1.074899831,11414
-7850,9800,-0.461289066,0.141209732,-1.063787865,11414
-7900,9850,-0.455637331,0.141209732,-1.052484394,11414
-7950,9900,-0.449882109,0.141209732,-1.040973951,11414
-8000,9950,-0.481391503,0.141209732,-1.103992737,11414
-8050,10000,-0.513437235,0.141209732,-1.168084202,11414
-8100,10050,-0.546019712,0.141209732,-1.233249156,11414
-8150,10100,-0.519309926,0.141209732,-1.179829584,11414
-8200,10150,-0.558728664,0.080132817,-1.197590144,11414
-8250,10200,-0.612959331,0.018818799,-1.244737461,11414
-8300,10250,-0.69811087,-0.04273232,-1.353489419,11414
-8350,10300,-0.717336987,-0.043443454,-1.39123052,11414
-8400,10350,-0.721998963,-0.044154408,-1.399843518,11414
-8450,10400,-0.730365943,0.017396711,-1.478128596,11414
-8500,10450,-0.740111454,0.079184761,-1.55940767,11414
-8550,10500,-0.751190017,0.141209732,-1.643589766,11414
-8600,10550,-0.685022074,0.141209732,-1.51125388,11414
-8650,10600,-0.732252285,0.141209732,-1.605714302,11414
-8700,10650,-1.255028683,-0.420400458,-2.089656908,11414
-8750,10700,-2.043352146,-1.247360054,-2.839344238,11414
-8800,10750,-2.720393911,-2.084388167,-3.356399654,11414
-8850,10800,-2.924008317,-2.369878986,-3.478137647,11414
-8900,10850,-2.939112856,-2.400088065,-3.478137647,11414
-8950,10900,-2.954220012,-2.430302377,-3.478137647,11414
-9000,10950,-2.969324125,-2.460510604,-3.478137647,11414
-9050,11000,-2.981115039,-2.48409243,-3.478137647,11414
-9100,11050,-2.989214939,-2.500292232,-3.478137647,11414
-9150,11100,-2.993627296,-2.509116945,-3.478137647,11414
-9200,11150,-2.997664882,-2.517192118,-3.478137647,11414
-9250,11200,-3.001702468,-2.52526729,-3.478137647,11414
-9300,11250,-3.005740055,-2.533342463,-3.478137647,11414
-9350,11300,-3.009777641,-2.541417635,-3.478137647,11414
-9400,11350,-3.013815227,-2.549492808,-3.478137647,11414
-9450,11400,-3.017852814,-2.55756798,-3.478137647,11414
-9500,11450,-3.0218904,-2.565643153,-3.478137647,11414
-9550,11500,-3.025927986,-2.573718325,-3.478137647,11414
-9600,11550,-3.029965572,-2.581793498,-3.478137647,11414
-9650,11600,-3.034003159,-2.58986867,-3.478137647,11414
-9700,11650,-3.038040745,-2.597943843,-3.478137647,11414
-9750,11700,-3.042078331,-2.606019015,-3.478137647,11414
-9800,11750,-3.046115917,-2.614094188,-3.478137647,11414
-9850,11800,-3.050153504,-2.62216936,-3.478137647,11414
-9900,11850,-3.05419109,-2.630244533,-3.478137647,11414
-9950,11900,-3.058228676,-2.638319705,-3.478137647,11414
-10000,11950,-3.062266262,-2.646394878,-3.478137647,11414
-10050,12000,-3.066303849,-2.65447005,-3.478137647,11414
