year (AD),age (yr BP),d18O (permil),d13C (permil),TIC (percent),TOC (percent)
-4474.9035,6424.9035,27.16458,3.62916,3.83,0.73
-4513.494,6463.494,27.05049,3.411684,2.61,0.5800002
-4543.179,6493.179,28.04542,3.449919,2.25,0.5999999
-4566.927,6516.927,27.14832,2.567321,2.14,0.25
-4593.6435,6543.6435,27.33,2.21,2.23,1.09
-4620.36,6570.36,26.97717,1.911109,1.87,0.7800001
-4647.0765,6597.0765,27.86374,4.42257,6.15,0.6799998
-4670.8245,6620.8245,27.7233,3.832308,5.28,0.52
-4694.5725,6644.5725,28.35139,4.994328,7.74,0.7399998
-4724.2575,6674.2575,27.98195,4.16616,5.68,1.03
-4753.9425,6703.9425,28.61588,4.413244,5.85,0.5500002
-4783.6275,6733.6275,27.66133,2.027274,2.34,0.51
-4816.281,6766.281,27.0366,1.634748,1.79,0.49
-4851.903,6801.903,27.88,3.31,3.07,0.5
-4878.6195,6828.6195,27.88,3.31,4.04,0.9099998
-4905.336,6855.336,27.83,2.85,3.05,0.8400002
-4943.9265,6893.9265,28.04631,2.864558,3.2,0.6199999
-4976.58,6926.58,28.47426,4.279711,6.69,0.73
-5003.2965,6953.2965,28.7978,4.27846,4.87,0.7600002
-5032.9815,6982.9815,NA,NA,3.09,0.6100001
-5068.6035,7018.6035,28.50606,4.114841,5.09,0.6499996
-5107.194,7057.194,27.50116,2.153377,2.51,0.78
-5142.816,7092.816,28.25382,4.008882,5.67,0.8899999
-5178.438,7128.438,28.30041,4.216072,6.88,1.08
-5214.06,7164.06,27.98588,4.338856,7.74,1.280001
-5237.808,7187.808,27.03061,0.2590214,2.29,0.72
-5252.6505,7202.6505,29.46352,2.398314,3.18,0.9399998
-5277.36,7227.36,27.78731,4.927395,8.31,1.44
-5353.24,7303.24,28.50467,4.12583,5.82,0.96
-5439.96,7389.96,27.4476,1.286428,2.7,2.02
-5537.52,7487.52,27.57883,0.5719866,2.33,2.56
-5667.6,7617.6,28.69103,0.61575,4.46,0.7599998
-5819.36,7769.36,28.01371,0.2738196,3.98,1.05
-5971.12,7921.12,28.09,-0.14,3.13,1.52
-6122.88,8072.88,26.93,-0.08,2.41,1.95
-6968.4,8918.4,27.46893,0.9952151,3.29,1.81
-7076.8,9026.8,27.08,0.98,2.69,1.96
-7185.2,9135.2,27.44,1.26,3.12,1.6
-7277.5775,9227.5775,26.59919,0.6760998,2.58,1.88
-7294.4125,9244.4125,27.58583,1.208575,2.21,2.39
-7311.2475,9261.2475,27.74581,1.534684,2.17,2.16
-7328.0825,9278.0825,27.95168,1.709774,2.31,2.78
-7344.9175,9294.9175,28.51629,1.885182,2.84,2.79
-7361.7525,9311.7525,26.16472,0.7369331,2.64,2.14
-7378.5875,9328.5875,25.86699,0.4641075,2.17,1.99
-7395.4225,9345.4225,26.14058,0.4793662,2.34,2.04
-7412.2575,9362.2575,26.63664,0.4044774,2.32,2.13
-7429.0925,9379.0925,26.38486,0.4070263,2.57,2.05
-7445.9275,9395.9275,27.18098,0.6276041,2.53,2.43
-7513.2675,9463.2675,27.46914,3.25631,2.95,2.66
-7530.1025,9480.1025,27.0221,2.895488,2.46,2.87
-7546.9375,9496.9375,26.96944,3.227881,3.04,2.59
-7563.7725,9513.7725,27.16,3.34,3.17,2.33
-7580.6075,9530.6075,27.91018,2.930361,3.12,3.22
-7597.4425,9547.4425,28.18,2.87,3.4,2.75
-7614.2775,9564.2775,27.6615,2.675626,3.35,2.45
-7631.1125,9581.1125,27.80194,2.651092,3.28,2.53
-7647.9475,9597.9475,27.51947,2.475757,3.01,3.48
-7664.7825,9614.7825,26.75538,1.951334,2.73,3.96
-7681.6175,9631.6175,22.7,1.35,3.12,2.96
-7698.4525,9648.4525,21.26702,0.9964228,2.49,2.8
-7715.2875,9665.2875,20.50263,1.115617,2.03,2.92
-7732.1225,9682.1225,20.74251,1.333894,1.95,2.87
-7748.9575,9698.9575,19.42,1.32,0.361,2.859
-7765.7925,9715.7925,23.1809,1.101748,0.112,2.748
-7782.6275,9732.6275,23.85301,1.723626,0.143,2.827
-7799.4625,9749.4625,20.82709,1.466685,0.196,2.784
-7876.9035,9826.9035,26.991,2.220478,3.45,2.29
-7893.7385,9843.7385,27.09104,3.157342,3.11,2.5
-7910.5735,9860.5735,26.90443,3.092275,3.23,2.45
-7927.4085,9877.4085,27.47795,2.73157,3.17,2.88
-7944.2435,9894.2435,28.31289,2.788254,3.05,3.05
-7961.0785,9911.0785,27.53133,2.732234,3.33,2.49
-8037.361903,9987.361903,27.29108,2.403861,2.98,2.95
-8138.7112,10088.7112,27.92175,2.511832,3.15,3.29
-8238.861,10188.861,23.73048,1.454024,3.72,2.4
-8337.8113,10287.8113,21.78574,1.071068,3.14,2.53
-8435.5621,10385.5621,20.76578,0.8074653,2.77,2.45
-8532.1134,10482.1134,20.63721,1.166193,2.25,2.66
-8627.4652,10577.4652,20.53695,1.371642,0.21,4.74
-8721.6175,10671.6175,18.51414,0.5111961,0.23,2.68
-8814.5703,10764.5703,22.81,1.7,0.13,2.73
-8906.3236,10856.3236,19.37116,1.234005,0.15,2.4
-8969.83721,10919.83721,26.75,2.49,3.39,1.84
-9304.36964,11254.36964,20.16697,1.396976,0.76,2.78
-9381.06406,11331.06406,20.11989,1.626508,0.62,2.8
-9465.14056,11415.14056,18.16838,1.263549,0.55,2.53
-9548.01756,11498.01756,20.50484,2.028625,0.83,2.25
-9629.69506,11579.69506,19.56355,1.684182,1.2,2.28
-9710.17306,11660.17306,18.80246,1.733547,1.23,2.25
-9789.45156,11739.45156,18.46594,1.630231,1.04,2.44
-9867.53056,11817.53056,19.65721,1.634851,1.17,2.31
-9944.41006,11894.41006,18.11903,0.7136574,0.84,2.06
-10020.09006,11970.09006,19.04,1.31,0.85,2.08
-10094.57056,12044.57056,18.46456,0.8708819,1.03,2.11
-10167.85156,12117.85156,19.22246,1.498051,1.2,2.3
-10239.93306,12189.93306,20.14356,1.883307,1.59,2.27
-10310.81506,12260.81506,18.88537,1.102915,1.51,2.17
-10380.49756,12330.49756,18.9,0.84,1.15,2.1
-10448.98056,12398.98056,18.82473,1.119387,1.16,2.29
-10516.26406,12466.26406,19.27906,1.026931,0.73,2.11
-10582.34806,12532.34806,18.35527,0.5533556,0.29,2.34
-10710.91756,12660.91756,18.38471,1.099912,0.5,2.44
-10773.40306,12723.40306,18.98475,0.7454445,0.42,2.73
-10834.68906,12784.68906,19.14312,0.8072218,0.82,2.34
-10894.77556,12844.77556,20.74142,1.180557,0.59,2.38
-10953.66256,12903.66256,21.19497,1.645562,0.71,2.42
-11011.35006,12961.35006,24.49,3.77,1.09,2.46
-11067.83806,13017.83806,23.82905,-0.07291607,0.02,2.47
-11123.12656,13073.12656,NA,NA,0,2.04
-11177.21556,13127.21556,NA,NA,0,1.87
-11230.10506,13180.10506,NA,NA,0,1.91
-11281.79506,13231.79506,NA,NA,0,1.63
-11322.28342,13272.28342,NA,NA,0.01,1
-11347.19881,13297.19881,NA,NA,0,0.61
-11381.57656,13331.57656,NA,NA,0,0.46
-11429.66806,13379.66806,NA,NA,0,0.36
-11476.56006,13426.56006,NA,NA,0,0.44
-11522.25256,13472.25256,NA,NA,0,0.4
-11566.74556,13516.74556,26.16217,0.3290593,0.03,0.36
