year (AD),age (yr BP),SST (degC),depth_core1 (cm),MgCa (unitless)
-10497.6,12447.6,17.2616,NA,3.0055
-10497.6,12447.6,16.9341,NA,2.902
-10497.6,12447.6,16.9704,NA,2.9133
-10531.7,12481.7,17.1276,NA,2.9627
-10531.7,12481.7,16.8252,NA,2.8684
-10531.7,12481.7,16.9099,NA,2.8945
-10579,12529,16.5292,NA,2.7789
-10579,12529,17.2012,NA,2.9861
-10618.2,12568.2,17.3566,NA,3.0362
-10815.6,12765.6,16.2623,NA,2.7007
-10815.6,12765.6,15.6952,NA,2.5417
-10861.9,12811.9,17.2156,NA,2.9907
-10861.9,12811.9,16.4523,NA,2.7562
-10908.8,12858.8,16.9202,NA,2.8977
-10908.8,12858.8,15.729,NA,2.5509
-10956.2,12906.2,16.0397,NA,2.6372
-10956.2,12906.2,16.7904,NA,2.8577
-11004.2,12954.2,16.5076,NA,2.7726
-11004.2,12954.2,17.0904,NA,2.9509
-11052.8,13002.8,15.9567,NA,2.6138
-11052.8,13002.8,16.2133,NA,2.6866
-11102,13052,17.4733,NA,3.0743
-11102,13052,15.9269,NA,2.6055
-11151.9,13101.9,16.2963,NA,2.7106
-11151.9,13101.9,16.6936,NA,2.8283
-11202.3,13152.3,17.0497,NA,2.9381
-11202.3,13152.3,17.336,NA,3.0295
-11305.2,13255.2,17.2565,NA,3.0039
-11305.2,13255.2,16.502,NA,2.7709
-11357.6,13307.6,18.5861,NA,3.4631
-11357.6,13307.6,16.9094,NA,2.8943
-11410.8,13360.8,16.1496,NA,2.6683
-11410.8,13360.8,16.5566,NA,2.7871
-11410.8,13360.8,17.4454,NA,3.0652
-11464.6,13414.6,17.2121,NA,2.9896
-11464.6,13414.6,17.1532,NA,2.9709
-11464.6,13414.6,17.1582,NA,2.9724
-11519.1,13469.1,17.0591,NA,2.9411
-11519.1,13469.1,16.7803,NA,2.8546
-11519.1,13469.1,15.6699,NA,2.5348
-11574.3,13524.3,16.1551,NA,2.6699
-11574.3,13524.3,16.5172,NA,2.7754
-11630.3,13580.3,18.0073,NA,3.2551
-11630.3,13580.3,17.1913,NA,2.983
-11687,13637,16.6335,NA,2.8101
-11687,13637,16.7869,NA,2.8566
-11744.5,13694.5,17.4405,NA,3.0636
-11744.5,13694.5,17.2573,NA,3.0041
-11802.8,13752.8,16.7706,NA,2.8517
-11802.8,13752.8,15.85,NA,2.5842
-11861.8,13811.8,17.2063,NA,2.9878
-11861.8,13811.8,16.6668,NA,2.8202
-11861.8,13811.8,14.6841,NA,2.2811
