depth (cm) [1-1],age (bp) [1-1],OM (%) [1-1],age (bp) [2-1],BSi (%) [2-1],depth (cm) [3-1],age (bp) [3-1],Temp (c) [3-1]
32,3342,24.5125,5352,16.8652,NA,NA,NA
33,3369,23.1746,5520,15.722,NA,NA,NA
34,3391,22.9207,5635,15.5052,NA,NA,NA
35,3409,21.5645,5812,11.0556,NA,NA,NA
36,3425,22.6399,5932,13.825,NA,NA,NA
37,3440,22.4709,6117,7.24478,NA,NA,NA
38,3455,20.9276,6241,8.13949,NA,NA,NA
39,3473,18.9885,6431,10.4027,NA,NA,NA
40,3494,17.4439,6559,8.82348,NA,NA,NA
41,3520,16.5714,6752,3.5736,NA,NA,NA
42,3552,17.233,6882,2.73069,NA,NA,NA
43,3589,16.5432,7076,0.987945,NA,NA,NA
44,3631,16.8551,NA,NA,NA,NA,NA
45,3677,17.6636,NA,NA,NA,NA,NA
46,3728,20.3429,NA,NA,NA,NA,NA
47,3782,21.473,NA,NA,NA,NA,NA
48,3839,22.5434,NA,NA,NA,NA,NA
49,3899,21.4022,NA,NA,NA,NA,NA
50,3962,22.2482,NA,NA,NA,NA,NA
51,4027,23.9882,NA,NA,NA,NA,NA
52,4094,25.1799,NA,NA,NA,NA,NA
53,4162,28.5473,NA,NA,NA,NA,NA
54,4232,31.7557,NA,NA,NA,NA,NA
55,4302,28.989,NA,NA,NA,NA,NA
56,4372,34.3519,NA,NA,NA,NA,NA
57,4442,29.8865,NA,NA,NA,NA,NA
58,4511,29.3622,NA,NA,NA,NA,NA
59,4580,33.0306,NA,NA,NA,NA,NA
60,4648,30.7607,NA,NA,NA,NA,NA
61,4714,35.3607,NA,NA,NA,NA,NA
62,4777,32.7759,NA,NA,NA,NA,NA
63,4840,35.3982,NA,NA,NA,NA,NA
64,4900,34.4203,NA,NA,NA,NA,NA
65,4959,34.2942,NA,NA,NA,NA,NA
66,5017,30.7484,NA,NA,NA,NA,NA
67,5074,32.3529,NA,NA,NA,NA,NA
68,5130,36.0577,NA,NA,NA,NA,NA
69,5186,30.6738,NA,NA,NA,NA,NA
70,5241,39.2052,NA,NA,NA,NA,NA
71,5297,31.1758,NA,NA,NA,NA,NA
72,5352,31.3702,NA,NA,NA,NA,NA
73,5407,30.1232,NA,NA,NA,NA,NA
74,5463,31.3167,NA,NA,NA,NA,NA
75,5520,28.6055,NA,NA,NA,NA,NA
76,5577,24.6337,NA,NA,NA,NA,NA
77,5635,19.8161,NA,NA,NA,NA,NA
78,5693,28.2519,NA,NA,NA,NA,NA
79,5752,30.8725,NA,NA,NA,NA,NA
80,5812,29.5803,NA,NA,NA,NA,NA
81,5872,27.2408,NA,NA,NA,NA,NA
82,5932,31.9957,NA,NA,NA,NA,NA
83,5993,29.8263,NA,NA,NA,NA,NA
84,6055,19.3614,NA,NA,NA,NA,NA
85,6117,21.39,NA,NA,NA,NA,NA
86,6179,34.543,NA,NA,NA,NA,NA
87,6241,31.0252,NA,NA,NA,NA,NA
88,6304,25.5335,NA,NA,NA,NA,NA
89,6368,23.0897,NA,NA,NA,NA,NA
90,6431,17.6026,NA,NA,NA,NA,NA
91,6495,23.2678,NA,NA,NA,NA,NA
92,6559,23.5687,NA,NA,NA,NA,NA
93,6623,21.0478,NA,NA,NA,NA,NA
94,6688,23.619,NA,NA,NA,NA,NA
95,6752,19.3548,NA,NA,NA,NA,NA
96,6817,20.181,NA,NA,NA,NA,NA
97,6882,21.7699,NA,NA,NA,NA,NA
98,6946,21.5074,NA,NA,NA,NA,NA
99,7011,18.4109,NA,NA,NA,NA,NA
100,7076,19.0184,NA,NA,NA,NA,NA
101,7141,18.2952,NA,NA,NA,NA,NA
102,7206,17.7564,NA,NA,NA,NA,NA
103,7271,13.3997,NA,NA,NA,NA,NA
