d18O (permil),year (AD),Sr_Ca (mmol/mol) [2-1],year (AD) [2-1]
-3.43,1843,9.333,1843
-3.528,1842,9.317,1842
-3.545,1841,9.35,1841
-3.485,1840,9.43,1840
-3.624,1839,9.425,1839
-3.536,1838,9.34,1838
-3.759,1837,9.329,1837
-3.533,1836,9.381,1836
-3.344,1835,9.414,1835
-3.399,1834,9.371,1834
-3.699,1833,9.346,1833
-3.534,1832,9.452,1832
-3.746,1831,9.411,1831
-3.471,1830,9.408,1830
-3.626,1829,9.418,1829
-3.545,1828,9.478,1828
-3.681,1827,9.371,1827
-3.706,1826,9.445,1826
-3.726,1825,9.472,1825
-3.702,1824,9.416,1824
-3.796,1823,9.368,1823
-3.554,1822,9.429,1822
-3.472,1821,9.424,1821
-3.732,1820,9.299,1820
-3.711,1819,9.404,1819
-3.72,1818,9.4,1818
-3.767,1817,9.366,1817
-3.897,1816,9.322,1816
-3.968,1815,9.299,1815
-3.731,1814,9.335,1814
-3.531,1813,9.36,1813
-3.53,1812,9.382,1812
-3.67,1811,9.363,1811
-3.751,1810,9.32,1810
-3.777,1809,9.289,1809
-3.715,1808,9.365,1808
-3.762,1807,9.333,1807
-3.55,1806,9.366,1806
-3.691,1805,9.309,1805
-3.879,1804,9.257,1804
-3.699,1803,9.339,1803
-3.745,1802,9.303,1802
-3.788,1801,9.275,1801
-3.689,1800,9.326,1800
-3.675,1799,9.318,1799
-3.674,1798,9.325,1798
-3.686,1797,9.296,1797
-3.523,1796,9.345,1796
-3.376,1795,9.344,1795
-3.54,1794,9.301,1794
-3.674,1793,9.277,1793
-3.586,1792,9.222,1792
-3.595,1791,9.301,1791
-3.747,1790,9.315,1790
-3.893,1789,9.3,1789
-3.838,1788,9.266,1788
-3.599,1787,9.301,1787
-3.464,1786,9.333,1786
-3.48,1785,9.342,1785
-3.435,1784,9.359,1784
-3.247,1783,9.448,1783
-3.379,1782,9.352,1782
NA,NA,9.328,1781
