d18O (permil),year (AD),Sr_Ca (mmol/mol) [2-1],year (AD) [2-1]
-3.1,1595.79,NA,1595.37
-3.36,1595.71,NA,1595.29
-3.72,1595.62,NA,1595.21
-3.56,1595.54,NA,1595.12
-3.24,1595.46,NA,1595.04
-3.38,1595.37,NA,1594.96
-3.26,1595.29,NA,1594.87
-2.87,1595.21,NA,1594.79
-2.89,1595.12,NA,1594.71
-2.92,1595.04,NA,1594.62
-3.06,1594.96,NA,1594.54
-3.44,1594.87,NA,1594.46
-3.54,1594.79,NA,1594.37
-3.73,1594.71,NA,1594.29
-3.89,1594.62,NA,1594.21
-3.73,1594.54,NA,1594.12
-3.57,1594.46,NA,1594.04
-3.38,1594.37,NA,1593.96
-3.29,1594.29,NA,1593.87
-3.16,1594.21,NA,1593.79
-3.38,1594.12,NA,1593.71
-3.5,1594.04,NA,1593.62
-3.68,1593.96,NA,1593.54
-4.04,1593.87,NA,1593.46
-4.08,1593.79,NA,1593.37
-4.06,1593.71,NA,1593.29
-3.81,1593.62,NA,1593.21
-3.65,1593.54,NA,1593.12
-3.52,1593.46,NA,1593.04
-3.25,1593.37,NA,1592.96
-3.14,1593.29,NA,1592.87
-3.07,1593.21,NA,1592.79
-3.43,1593.12,NA,1592.71
-3.6,1593.04,NA,1592.62
-3.77,1592.96,NA,1592.54
-4.13,1592.87,NA,1592.46
-3.95,1592.79,NA,1592.37
-3.87,1592.71,NA,1592.29
-3.87,1592.62,NA,1592.21
-3.84,1592.54,NA,1592.12
-3.64,1592.46,NA,1592.04
-3.49,1592.37,NA,1591.96
-3.36,1592.29,NA,1591.87
-3.25,1592.21,NA,1591.79
-3.31,1592.12,NA,1591.71
-3.41,1592.04,NA,1591.62
-3.68,1591.96,NA,1591.54
-3.91,1591.87,NA,1591.46
-4.1,1591.79,NA,1591.37
-4.06,1591.71,NA,1591.29
-3.86,1591.62,NA,1591.21
-3.91,1591.54,NA,1591.12
-3.38,1591.46,NA,1591.04
-3.28,1591.37,NA,1590.96
-3.29,1591.29,NA,1590.87
-3.08,1591.21,NA,1590.79
-3.38,1591.12,NA,1590.71
-3.4,1591.04,NA,1590.62
-3.72,1590.96,NA,1590.54
-3.88,1590.87,NA,1590.46
-4.05,1590.79,NA,1590.37
-3.87,1590.71,NA,1590.29
-4.01,1590.62,NA,1590.21
-3.85,1590.54,NA,1590.12
-3.7,1590.46,NA,1590.04
-3.57,1590.37,NA,1589.96
-3.22,1590.29,NA,1589.87
-3.21,1590.21,NA,1589.79
-3.24,1590.12,NA,1589.71
-3.25,1590.04,NA,1589.62
-3.45,1589.96,NA,1589.54
-3.8,1589.87,NA,1589.46
-3.91,1589.79,NA,1589.37
-4.05,1589.71,NA,1589.29
-4.14,1589.62,NA,1589.21
-4.05,1589.54,NA,1589.12
-3.83,1589.46,NA,1589.04
-3.55,1589.37,NA,1588.96
-3.41,1589.29,NA,1588.87
-3.24,1589.21,NA,1588.79
-3.31,1589.12,NA,1588.71
-3.48,1589.04,NA,1588.62
-3.72,1588.96,NA,1588.54
-3.96,1588.87,NA,1588.46
-4.14,1588.79,NA,1588.37
-4.14,1588.71,NA,1588.29
-4.06,1588.62,NA,1588.21
-3.88,1588.54,NA,1588.12
-3.67,1588.46,NA,1588.04
-3.48,1588.37,NA,1587.96
-3.37,1588.29,NA,1587.87
-3.31,1588.21,NA,1587.79
-3.33,1588.12,NA,1587.71
-3.51,1588.04,NA,1587.62
-3.61,1587.96,NA,1587.54
-3.76,1587.87,NA,1587.46
-3.9,1587.79,NA,1587.37
-4.06,1587.71,NA,1587.29
-3.98,1587.62,NA,1587.21
-3.91,1587.54,NA,1587.12
-3.73,1587.46,NA,1587.04
-3.65,1587.37,NA,1586.96
-3.41,1587.29,NA,1586.87
-3.21,1587.21,NA,1586.79
-3.33,1587.12,NA,1586.71
-3.32,1587.04,NA,1586.62
-3.63,1586.96,NA,1586.54
-3.69,1586.87,NA,1586.46
-4.06,1586.79,NA,1586.37
-4.23,1586.71,NA,1586.29
-4.15,1586.62,NA,1586.21
-3.97,1586.54,NA,1586.12
-3.8,1586.46,NA,1586.04
-3.57,1586.37,NA,1585.96
-3.38,1586.29,NA,1585.87
-3.26,1586.21,NA,1585.79
-3.3,1586.12,NA,1585.71
-3.49,1586.04,NA,1585.62
-3.74,1585.96,NA,1585.54
-3.95,1585.87,NA,1585.46
-3.96,1585.79,NA,1585.37
-4.12,1585.71,NA,1585.29
-4.11,1585.62,NA,1585.21
-3.71,1585.54,NA,1585.12
-3.41,1585.46,NA,1585.04
-3.3,1585.37,NA,1584.96
-3.13,1585.29,NA,1584.87
-3.04,1585.21,NA,1584.79
-3.45,1585.12,NA,1584.71
-3.68,1585.04,NA,1584.62
-3.8,1584.96,NA,1584.54
-3.99,1584.87,NA,1584.46
-3.97,1584.79,NA,1584.37
-3.96,1584.71,NA,1584.29
-3.88,1584.62,NA,1584.21
-3.65,1584.54,NA,1584.12
-3.47,1584.46,NA,1584.04
-3.37,1584.37,NA,1583.96
-3.23,1584.29,NA,1583.87
-3.09,1584.21,NA,1583.79
-3.38,1584.12,NA,1583.71
-3.57,1584.04,NA,1583.62
-3.68,1583.96,NA,1583.54
-3.84,1583.87,NA,1583.46
-3.95,1583.79,NA,1583.37
-3.91,1583.71,NA,1583.29
-3.73,1583.62,NA,1583.21
-3.6,1583.54,NA,1583.12
-3.51,1583.46,NA,1583.04
-3.31,1583.37,NA,1582.96
-3.16,1583.29,NA,1582.87
-3.08,1583.21,NA,1582.79
-3.18,1583.12,NA,1582.71
-3.26,1583.04,NA,1582.62
-3.45,1582.96,NA,1582.54
-3.66,1582.87,NA,1582.46
-3.95,1582.79,NA,1582.37
-4.08,1582.71,NA,1582.29
-3.95,1582.62,NA,1582.21
-3.81,1582.54,NA,1582.12
-3.63,1582.46,NA,1582.04
-3.34,1582.37,NA,1581.96
-3.26,1582.29,NA,1581.87
-3.02,1582.21,NA,1581.79
-3.06,1582.12,NA,1581.71
-3.1,1582.04,NA,1581.62
-3.3,1581.96,NA,1581.54
-3.33,1581.87,NA,1581.46
-3.38,1581.79,NA,1581.37
-3.35,1581.71,NA,1581.29
-3.32,1581.62,NA,1581.21
-3.45,1581.54,NA,1581.12
-3.54,1581.46,NA,1581.04
-3.43,1581.37,NA,1580.96
-3.34,1581.29,NA,1580.87
-2.74,1581.21,NA,1580.79
-3.38,1581.12,NA,1580.71
-2.9,1581.04,NA,1580.62
-2.91,1580.96,NA,1580.54
-3.03,1580.87,NA,1580.46
-3.25,1580.79,NA,1580.37
-3.59,1580.71,NA,1580.29
-3.83,1580.62,NA,1580.21
-3.66,1580.54,NA,1580.12
-3.59,1580.46,NA,1580.04
-3.22,1580.37,NA,1579.96
-3.09,1580.29,NA,1579.87
-2.96,1580.21,NA,1579.79
-3.08,1580.12,NA,1579.71
-3.14,1580.04,NA,1579.62
-3.34,1579.96,NA,1579.54
-3.63,1579.87,NA,1579.46
-3.71,1579.79,NA,1579.37
-3.68,1579.71,NA,1579.29
-3.35,1579.62,NA,1579.21
-3.51,1579.54,NA,1579.12
-3.44,1579.46,NA,1579.04
-3.21,1579.37,NA,1578.96
-3.15,1579.29,NA,1578.87
-2.98,1579.21,NA,1578.79
-3.08,1579.12,NA,1578.71
-3.19,1579.04,NA,1578.62
-3.37,1578.96,NA,1578.54
-3.5,1578.87,NA,1578.46
-3.63,1578.79,NA,1578.37
-3.79,1578.71,NA,1578.29
-3.82,1578.62,NA,1578.21
-3.68,1578.54,NA,1578.12
-3.44,1578.46,NA,1578.04
-3.48,1578.37,NA,1577.96
-3.41,1578.29,NA,1577.87
-3.18,1578.21,NA,1577.79
-3.29,1578.12,NA,1577.71
-3.36,1578.04,NA,1577.62
-3.43,1577.96,NA,1577.54
-3.65,1577.87,NA,1577.46
-3.68,1577.79,NA,1577.37
-3.8,1577.71,NA,1577.29
-3.75,1577.62,NA,1577.21
-3.66,1577.54,NA,1577.12
-3.49,1577.46,NA,1577.04
-3.18,1577.37,NA,1576.96
-3.12,1577.29,NA,1576.87
-2.98,1577.21,NA,1576.79
-3.08,1577.12,NA,1576.71
-3.28,1577.04,NA,1576.62
-3.56,1576.96,NA,1576.54
-3.64,1576.87,NA,1576.46
-3.74,1576.79,NA,1576.37
-3.81,1576.71,NA,1576.29
-3.74,1576.62,NA,1576.21
-3.62,1576.54,NA,1576.12
-3.31,1576.46,NA,1576.04
-3.4,1576.37,NA,1575.96
-3.25,1576.29,NA,1575.87
-2.99,1576.21,NA,1575.79
-3.07,1576.12,NA,1575.71
-3.11,1576.04,NA,1575.62
-3.23,1575.96,NA,1575.54
-3.36,1575.87,NA,1575.46
-3.77,1575.79,NA,1575.37
-3.85,1575.71,NA,1575.29
-3.99,1575.62,NA,1575.21
-3.83,1575.54,NA,1575.12
-3.86,1575.46,NA,1575.04
-3.58,1575.37,NA,1574.96
-3.4,1575.29,NA,1574.87
-3.17,1575.21,NA,1574.79
-3.29,1575.12,NA,1574.71
-3.43,1575.04,NA,1574.62
-3.53,1574.96,NA,1574.54
-3.78,1574.87,NA,1574.46
-3.94,1574.79,NA,1574.37
-3.88,1574.71,NA,1574.29
-3.9,1574.62,NA,1574.21
-3.64,1574.54,NA,1574.12
-3.58,1574.46,NA,1574.04
-3.35,1574.37,NA,1573.96
-3.13,1574.29,NA,1573.87
-3.04,1574.21,NA,1573.79
-3.16,1574.12,NA,1573.71
-3.25,1574.04,NA,1573.62
-3.49,1573.96,NA,1573.54
-3.59,1573.87,NA,1573.46
-3.61,1573.79,NA,1573.37
-3.74,1573.71,NA,1573.29
-3.64,1573.62,NA,1573.21
-3.35,1573.54,NA,1573.12
-3.21,1573.46,NA,1573.04
-3.16,1573.37,NA,1572.96
-3.17,1573.29,NA,1572.87
-3.08,1573.21,NA,1572.79
-3.27,1573.12,NA,1572.71
-3.45,1573.04,NA,1572.62
-3.61,1572.96,NA,1572.54
-3.72,1572.87,NA,1572.46
-3.83,1572.79,NA,1572.37
-3.87,1572.71,NA,1572.29
-3.85,1572.62,NA,1572.21
-3.6,1572.54,NA,1572.12
-3.48,1572.46,NA,1572.04
-3.37,1572.37,NA,1571.96
-3.29,1572.29,NA,1571.87
-3.11,1572.21,NA,1571.79
-3.18,1572.12,NA,1571.71
-3.19,1572.04,NA,1571.62
-3.4,1571.96,NA,1571.54
-3.52,1571.87,NA,1571.46
-3.66,1571.79,NA,1571.37
-3.77,1571.71,NA,1571.29
-3.78,1571.62,NA,1571.21
-3.66,1571.54,NA,1571.12
-3.56,1571.46,NA,1571.04
-3.36,1571.37,NA,1570.96
-3.17,1571.29,NA,1570.87
-3.07,1571.21,NA,1570.79
-3.13,1571.12,NA,1570.71
-3.2,1571.04,NA,1570.62
-3.39,1570.96,NA,1570.54
-3.56,1570.87,NA,1570.46
-3.69,1570.79,NA,1570.37
-3.76,1570.71,NA,1570.29
-3.81,1570.62,NA,1570.21
-3.63,1570.54,NA,1570.12
-3.38,1570.46,NA,1570.04
-3.15,1570.37,NA,1569.96
-3.08,1570.29,NA,1569.87
-2.91,1570.21,NA,1569.79
-3.2,1570.12,NA,1569.71
-3.35,1570.04,NA,1569.62
-3.52,1569.96,NA,1569.54
-3.68,1569.87,NA,1569.46
-3.84,1569.79,NA,1569.37
-3.83,1569.71,NA,1569.29
-3.83,1569.62,NA,1569.21
-3.69,1569.54,NA,1569.12
-3.46,1569.46,NA,1569.04
-3.19,1569.37,NA,1568.96
-3.18,1569.29,NA,1568.87
-3.13,1569.21,NA,1568.79
-3.2,1569.12,NA,1568.71
-3.32,1569.04,NA,1568.62
-3.45,1568.96,NA,1568.54
-3.73,1568.87,NA,1568.46
-3.8,1568.79,NA,1568.37
-3.73,1568.71,NA,1568.29
-3.55,1568.62,NA,1568.21
-3.39,1568.54,NA,1568.12
-3.28,1568.46,NA,1568.04
-3.14,1568.37,NA,1567.96
-3.09,1568.29,NA,1567.87
-3.07,1568.21,NA,1567.79
-3.18,1568.12,NA,1567.71
-3.29,1568.04,NA,1567.62
-3.4,1567.96,NA,1567.54
-3.52,1567.87,NA,1567.46
-3.65,1567.79,NA,1567.37
-3.66,1567.71,NA,1567.29
-3.53,1567.62,NA,1567.21
-3.42,1567.54,NA,1567.12
-3.23,1567.46,NA,1567.04
-3,1567.37,NA,1566.96
-3.09,1567.29,NA,1566.87
-2.85,1567.21,NA,1566.79
-3.25,1567.12,NA,1566.71
-3.21,1567.04,NA,1566.62
-3.34,1566.96,NA,1566.54
-3.49,1566.87,NA,1566.46
-3.61,1566.79,NA,1566.37
-3.72,1566.71,NA,1566.29
-3.6,1566.62,NA,1566.21
-3.61,1566.54,NA,1566.12
-3.49,1566.46,NA,1566.04
-3.49,1566.37,NA,1565.96
-3.25,1566.29,NA,1565.87
-2.98,1566.21,NA,1565.79
-3.01,1566.12,NA,1565.71
-3.14,1566.04,NA,1565.62
-3.41,1565.96,NA,1565.54
-3.7,1565.87,NA,1565.46
-3.67,1565.79,NA,1565.37
-3.83,1565.71,NA,1565.29
-3.65,1565.62,NA,1565.21
-3.45,1565.54,NA,1565.12
-3.29,1565.46,NA,1565.04
-3.18,1565.37,NA,1564.96
-3.06,1565.29,NA,1564.87
-2.94,1565.21,NA,1564.79
-3.2,1565.12,NA,1564.71
-3.39,1565.04,NA,1564.62
-3.62,1564.96,NA,1564.54
-3.91,1564.87,NA,1564.46
-3.76,1564.79,NA,1564.37
-3.61,1564.71,NA,1564.29
-3.86,1564.62,NA,1564.21
-3.76,1564.54,NA,1564.12
-3.51,1564.46,NA,1564.04
-3.33,1564.37,NA,1563.96
-3.13,1564.29,NA,1563.87
-3.12,1564.21,NA,1563.79
-3.31,1564.12,NA,1563.71
-3.48,1564.04,NA,1563.62
-3.66,1563.96,NA,1563.54
-3.83,1563.87,NA,1563.46
-3.98,1563.79,NA,1563.37
-4,1563.71,NA,1563.29
-4,1563.62,NA,1563.21
-3.83,1563.54,NA,1563.12
-3.65,1563.46,NA,1563.04
-3.28,1563.37,NA,1562.96
-3.14,1563.29,NA,1562.87
-3.04,1563.21,NA,1562.79
-3.2,1563.12,NA,1562.71
-3.43,1563.04,NA,1562.62
-3.68,1562.96,NA,1562.54
-3.88,1562.87,NA,1562.46
-3.96,1562.79,NA,1562.37
-3.97,1562.71,NA,1562.29
-4,1562.62,NA,1562.21
-3.9,1562.54,NA,1562.12
-3.62,1562.46,NA,1562.04
-3.28,1562.37,NA,1561.96
-3.14,1562.29,NA,1561.87
-3.09,1562.21,NA,1561.79
-3.23,1562.12,NA,1561.71
-3.4,1562.04,NA,1561.62
-3.72,1561.96,NA,1561.54
-3.82,1561.87,NA,1561.46
-3.91,1561.79,NA,1561.37
-3.94,1561.71,NA,1561.29
-3.95,1561.62,NA,1561.21
-3.64,1561.54,NA,1561.12
-3.37,1561.46,NA,1561.04
-3.17,1561.37,NA,1560.96
-3.16,1561.29,NA,1560.87
-3.04,1561.21,NA,1560.79
-3.2,1561.12,NA,1560.71
-3.44,1561.04,NA,1560.62
-3.66,1560.96,NA,1560.54
-3.84,1560.87,NA,1560.46
-3.83,1560.79,NA,1560.37
-3.79,1560.71,NA,1560.29
-3.7,1560.62,NA,1560.21
-3.67,1560.54,NA,1560.12
-3.7,1560.46,NA,1560.04
-3.73,1560.37,NA,1559.96
-3.56,1560.29,NA,1559.87
-3.14,1560.21,NA,1559.79
-3.27,1560.12,NA,1559.71
-3.2,1560.04,NA,1559.62
-3.24,1559.96,NA,1559.54
-3.52,1559.87,NA,1559.46
-3.78,1559.79,NA,1559.37
-3.88,1559.71,NA,1559.29
-3.89,1559.62,NA,1559.21
-3.9,1559.54,NA,1559.12
-3.72,1559.46,NA,1559.04
-3.5,1559.37,NA,1558.96
-3.3,1559.29,NA,1558.87
-3.18,1559.21,NA,1558.79
-3.21,1559.12,NA,1558.71
-3.24,1559.04,NA,1558.62
-3.48,1558.96,NA,1558.54
-3.83,1558.87,NA,1558.46
-4.02,1558.79,NA,1558.37
-3.99,1558.71,NA,1558.29
-3.88,1558.62,NA,1558.21
-3.65,1558.54,NA,1558.12
-3.39,1558.46,NA,1558.04
-3.18,1558.37,NA,1557.96
-3.11,1558.29,NA,1557.87
-3.05,1558.21,NA,1557.79
-3.11,1558.12,NA,1557.71
-3.4,1558.04,NA,1557.62
-3.59,1557.96,NA,1557.54
-3.69,1557.87,NA,1557.46
-3.78,1557.79,NA,1557.37
-3.76,1557.71,NA,1557.29
-3.51,1557.62,NA,1557.21
-3.27,1557.54,NA,1557.12
-3.19,1557.46,NA,1557.04
-3.16,1557.37,NA,1556.96
-3.09,1557.29,NA,1556.87
-3.05,1557.21,NA,1556.79
-3.15,1557.12,NA,1556.71
-3.15,1557.04,NA,1556.62
-3.3,1556.96,NA,1556.54
-3.59,1556.87,NA,1556.46
-3.82,1556.79,NA,1556.37
-3.99,1556.71,NA,1556.29
-3.96,1556.62,NA,1556.21
-3.8,1556.54,NA,1556.12
-3.65,1556.46,NA,1556.04
-3.31,1556.37,NA,1555.96
-3.16,1556.29,NA,1555.87
-3.12,1556.21,NA,1555.79
-3.18,1556.12,NA,1555.71
-3.34,1556.04,NA,1555.62
-3.55,1555.96,NA,1555.54
-3.71,1555.87,NA,1555.46
-3.85,1555.79,NA,1555.37
-3.73,1555.71,NA,1555.29
-3.63,1555.62,NA,1555.21
-3.71,1555.54,NA,1555.12
-3.41,1555.46,NA,1555.04
-3.21,1555.37,NA,1554.96
-3.27,1555.29,NA,1554.87
-3.19,1555.21,NA,1554.79
-3.45,1555.12,NA,1554.71
-3.68,1555.04,NA,1554.62
-3.84,1554.96,NA,1554.54
-3.88,1554.87,NA,1554.46
-3.82,1554.79,NA,1554.37
-3.73,1554.71,NA,1554.29
-3.63,1554.62,NA,1554.21
-3.54,1554.54,NA,1554.12
-3.43,1554.46,NA,1554.04
-3.36,1554.37,NA,1553.96
-3.36,1554.29,NA,1553.87
-3.29,1554.21,NA,1553.79
-3.34,1554.12,NA,1553.71
-3.53,1554.04,NA,1553.62
-3.78,1553.96,NA,1553.54
-4.01,1553.87,NA,1553.46
-4.03,1553.79,NA,1553.37
-3.98,1553.71,NA,1553.29
-4.02,1553.62,NA,1553.21
-3.75,1553.54,NA,1553.12
-3.47,1553.46,NA,1553.04
-3.29,1553.37,NA,1552.96
-3.21,1553.29,NA,1552.87
-2.92,1553.21,NA,1552.79
-3.32,1553.12,NA,1552.71
-3.44,1553.04,NA,1552.62
-3.6,1552.96,NA,1552.54
-3.77,1552.87,NA,1552.46
-3.88,1552.79,NA,1552.37
-3.77,1552.71,NA,1552.29
-3.53,1552.62,NA,1552.21
-3.51,1552.54,NA,1552.12
-3.4,1552.46,NA,1552.04
-3.18,1552.37,NA,1551.96
-3.03,1552.29,NA,1551.87
-2.92,1552.21,NA,1551.79
-3.12,1552.12,NA,1551.71
-3.33,1552.04,NA,1551.62
-3.65,1551.96,NA,1551.54
-3.79,1551.87,NA,1551.46
-3.78,1551.79,NA,1551.37
-3.58,1551.71,NA,1551.29
-3.52,1551.62,NA,1551.21
-3.34,1551.54,NA,1551.12
-3.16,1551.46,NA,1551.04
-3.07,1551.37,NA,1550.96
-3.05,1551.29,NA,1550.87
-3.02,1551.21,NA,1550.79
-3.45,1551.12,NA,1550.71
-3.5,1551.04,NA,1550.62
-3.59,1550.96,NA,1550.54
-3.62,1550.87,NA,1550.46
-3.59,1550.79,NA,1550.37
-3.46,1550.71,NA,1550.29
-3.35,1550.62,NA,1550.21
-3.39,1550.54,NA,1550.12
-3.26,1550.46,NA,1550.04
-3.27,1550.37,NA,1549.96
-3.12,1550.29,NA,1549.87
-3.08,1550.21,NA,1549.79
-3.34,1550.12,NA,1549.71
-3.28,1550.04,NA,1549.62
-3.42,1549.96,NA,1549.54
-3.56,1549.87,NA,1549.46
-3.7,1549.79,NA,1549.37
-3.73,1549.71,NA,1549.29
-3.59,1549.62,NA,1549.21
-3.44,1549.54,NA,1549.12
-3.29,1549.46,NA,1549.04
-3.34,1549.37,NA,1548.96
-3.34,1549.29,NA,1548.87
-2.85,1549.21,NA,1548.79
-2.95,1549.12,NA,1548.71
-3.07,1549.04,NA,1548.62
-3.23,1548.96,NA,1548.54
-3.48,1548.87,NA,1548.46
-3.6,1548.79,NA,1548.37
-3.24,1548.71,NA,1548.29
-3.67,1548.62,NA,1548.21
-3.51,1548.54,NA,1548.12
-3.09,1548.46,NA,1548.04
-3.07,1548.37,NA,1547.96
-3.01,1548.29,NA,1547.87
-2.96,1548.21,NA,1547.79
-3.09,1548.12,NA,1547.71
-3.07,1548.04,NA,1547.62
-3.34,1547.96,NA,1547.54
-3.68,1547.87,NA,1547.46
-3.66,1547.79,NA,1547.37
-3.69,1547.71,NA,1547.29
-3.65,1547.62,NA,1547.21
-3.6,1547.54,NA,1547.12
-3.4,1547.46,NA,1547.04
-3.23,1547.37,NA,1546.96
-3.2,1547.29,NA,1546.87
-3.09,1547.21,NA,1546.79
-3.25,1547.12,NA,1546.71
-3.24,1547.04,NA,1546.62
-3.28,1546.96,NA,1546.54
-3.43,1546.87,NA,1546.46
-3.63,1546.79,NA,1546.37
-3.83,1546.71,NA,1546.29
-3.81,1546.62,NA,1546.21
-3.63,1546.54,NA,1546.12
-3.52,1546.46,NA,1546.04
-3.33,1546.37,NA,1545.96
-3.06,1546.29,NA,1545.87
-2.97,1546.21,NA,1545.79
-3.28,1546.12,NA,1545.71
-3.47,1546.04,NA,1545.62
-3.68,1545.96,NA,1545.54
-3.66,1545.87,NA,1545.46
-3.84,1545.79,NA,1545.37
-3.78,1545.71,NA,1545.29
-3.76,1545.62,NA,1545.21
-3.53,1545.54,NA,1545.12
-3.39,1545.46,NA,1545.04
-3.33,1545.37,NA,1544.96
-3.14,1545.29,NA,1544.87
-3.03,1545.21,NA,1544.79
-3.13,1545.12,NA,1544.71
-3.21,1545.04,NA,1544.62
-3.41,1544.96,NA,1544.54
-3.59,1544.87,NA,1544.46
-3.75,1544.79,NA,1544.37
-3.65,1544.71,NA,1544.29
-3.62,1544.62,NA,1544.21
-3.55,1544.54,NA,1544.12
-3.4,1544.46,NA,1544.04
-3.07,1544.37,NA,1543.96
-3.05,1544.29,NA,1543.87
-2.91,1544.21,NA,1543.79
-3.04,1544.12,NA,1543.71
-3.21,1544.04,NA,1543.62
-3.35,1543.96,NA,1543.54
-3.43,1543.87,NA,1543.46
-3.57,1543.79,NA,1543.37
-3.66,1543.71,NA,1543.29
-3.65,1543.62,NA,1543.21
-3.6,1543.54,NA,1543.12
-3.3,1543.46,NA,1543.04
-3.23,1543.37,NA,1542.96
-3.1,1543.29,NA,1542.87
-2.91,1543.21,NA,1542.79
-3.11,1543.12,NA,1542.71
-3.26,1543.04,NA,1542.62
-3.36,1542.96,NA,1542.54
-3.64,1542.87,NA,1542.46
-3.73,1542.79,NA,1542.37
-3.86,1542.71,NA,1542.29
-3.68,1542.62,NA,1542.21
-3.64,1542.54,NA,1542.12
-3.21,1542.46,NA,1542.04
-3.22,1542.37,NA,1541.96
-3.08,1542.29,NA,1541.87
-2.94,1542.21,NA,1541.79
-3.05,1542.12,NA,1541.71
-3.08,1542.04,NA,1541.62
-3.28,1541.96,NA,1541.54
-3.4,1541.87,NA,1541.46
-3.55,1541.79,NA,1541.37
-3.81,1541.71,NA,1541.29
-3.73,1541.62,NA,1541.21
-3.72,1541.54,NA,1541.12
-3.6,1541.46,NA,1541.04
-3.5,1541.37,NA,1540.96
-3.42,1541.29,NA,1540.87
-3.02,1541.21,NA,1540.79
-3.14,1541.12,NA,1540.71
-3.18,1541.04,NA,1540.62
-3.26,1540.96,NA,1540.54
-3.41,1540.87,NA,1540.46
-3.55,1540.79,NA,1540.37
-3.57,1540.71,NA,1540.29
-3.57,1540.62,NA,1540.21
-3.61,1540.54,NA,1540.12
-3.69,1540.46,NA,1540.04
-3.78,1540.37,NA,1539.96
-3.4,1540.29,NA,1539.87
-3.08,1540.21,NA,1539.79
