d18O (permil),year (AD),d13C (permil)
-4.9192,1979.2917,-1.3916
-4.8353,1979.2083,-1.1874
-4.674,1979.125,-0.99729
-4.6534,1979.0417,-1.1446
-4.7085,1978.9583,-1.2878
-4.605,1978.875,-1.155
-4.4745,1978.7917,-1.039
-4.4755,1978.7083,-1.138
-4.4621,1978.625,-1.11
-4.46,1978.5417,-1.3813
-4.4787,1978.4583,-1.45
-4.6,1978.375,-1.6613
-4.6825,1978.2917,-1.8938
-4.78,1978.2083,-1.6688
-4.9112,1978.125,-1.3538
-4.8712,1978.0417,-1.4125
-4.7563,1977.9583,-1.8275
-4.6775,1977.875,-1.8237
-4.64,1977.7917,-1.5287
-4.555,1977.7083,-1.5437
-4.5181,1977.625,-1.6229
-4.645,1977.5417,-1.6371
-4.7154,1977.4583,-1.925
-4.8154,1977.375,-2.1532
-4.8773,1977.2917,-2.0336
-4.9541,1977.2083,-1.7944
-5.01,1977.125,-1.665
-4.9949,1977.0417,-1.5398
-4.9537,1976.9583,-1.6687
-4.935,1976.875,-2.178
-4.8975,1976.7917,-2.0987
-4.8136,1976.7083,-1.6095
-4.7822,1976.625,-1.4393
-4.79,1976.5417,-1.545
-4.915,1976.4583,-1.71
-5.025,1976.375,-1.7887
-5.1088,1976.2917,-1.6787
-5.2387,1976.2083,-1.595
-5.3425,1976.125,-1.5137
-5.2775,1976.0417,-1.205
-5.1813,1975.9583,-0.8975
-5.135,1975.875,-1.375
-5.0062,1975.7917,-1.9825
-4.85,1975.7083,-1.45
-4.7763,1975.625,-1.205
-4.8563,1975.5417,-1.4375
-4.8987,1975.4583,-1.4962
-5.01,1975.375,-1.5538
-4.9938,1975.2917,-1.6025
-5.1162,1975.2083,-1.4125
-5.0738,1975.125,-1.0813
-5.015,1975.0417,-0.785
-4.9625,1974.9583,-0.8025
-5.055,1974.875,-1.075
-4.915,1974.7917,-1.1363
-4.7788,1974.7083,-1.2425
-4.7746,1974.625,-1.3317
-4.8935,1974.5417,-1.4761
-5.0218,1974.4583,-1.5418
-5.0102,1974.375,-1.6741
-5.0477,1974.2917,-1.5972
-5.1498,1974.2083,-1.176
-5.1256,1974.125,-0.88396
-5.0487,1974.0417,-1.0073
-4.9704,1973.9583,-1.314
-4.8954,1973.875,-1.2798
-4.9068,1973.7917,-1.1903
-4.8122,1973.7083,-1.1693
-4.7173,1973.625,-1.2354
-4.7333,1973.5417,-1.4133
-4.7633,1973.4583,-1.4533
-4.7808,1973.375,-1.325
-4.7433,1973.2917,-1.1067
-4.6867,1973.2083,-0.91333
-4.6292,1973.125,-0.85083
-4.6267,1973.0417,-1.3333
-4.62,1972.9583,-1.6067
-4.595,1972.875,-1.5667
-4.54,1972.7917,-1.4467
-4.51,1972.7083,-1.4133
-4.515,1972.625,-1.4854
-4.55,1972.5417,-1.555
-4.595,1972.4583,-1.4263
-4.6687,1972.375,-1.3
-4.7525,1972.2917,-1.1825
-4.8925,1972.2083,-1.0513
-4.9362,1972.125,-0.78125
-4.9575,1972.0417,-0.73625
-5.05,1971.9583,-1.0662
-4.9938,1971.875,-1.1287
-4.9888,1971.7917,-1.0837
-4.9788,1971.7083,-1.1237
-4.9261,1971.625,-1.2656
-5.0192,1971.5417,-1.4658
-5.1314,1971.4583,-1.6135
-5.2026,1971.375,-1.3211
-5.2161,1971.2917,-0.90014
-5.1974,1971.2083,-0.82361
-5.1201,1971.125,-0.98506
-5.0942,1971.0417,-1.1936
-5.0849,1970.9583,-1.2555
-4.9701,1970.875,-1.1892
-4.9165,1970.7917,-1.0932
-4.8404,1970.7083,-1.0913
-4.7856,1970.625,-1.2705
-4.8302,1970.5417,-1.3704
-4.9,1970.4583,-1.355
-5.0089,1970.375,-1.3083
-5.1425,1970.2917,-1.2972
-5.0535,1970.2083,-1.2739
-4.975,1970.125,-1.425
-4.8965,1970.0417,-1.4954
-4.7859,1969.9583,-1.2559
-4.7712,1969.875,-1.1085
-4.83,1969.7917,-1.14
-4.8523,1969.7083,-1.247
-4.7746,1969.625,-1.3509
-4.8417,1969.5417,-1.5733
-4.9334,1969.4583,-1.7079
-5.035,1969.375,-1.56
-5.1265,1969.2917,-1.3412
-5.175,1969.2083,-1.218
-5.1544,1969.125,-1.009
-5.0442,1969.0417,-1.1071
-5.0359,1968.9583,-1.598
-4.98,1968.875,-1.585
-4.8937,1968.7917,-1.3053
-4.8435,1968.7083,-1.2637
-4.7834,1968.625,-1.2342
-4.8187,1968.5417,-1.3057
-4.9539,1968.4583,-1.6621
-5.1161,1968.375,-1.7642
-5.1395,1968.2917,-1.4626
-5.0581,1968.2083,-1.2029
-5.0151,1968.125,-1.3049
-5.0175,1968.0417,-1.3576
-4.9244,1967.9583,-1.2738
-4.8865,1967.875,-1.1846
-4.8622,1967.7917,-1.1732
-4.8533,1967.7083,-1.3472
-4.828,1967.625,-1.3208
-4.895,1967.5417,-1.2663
-4.95,1967.4583,-1.3462
-5.0075,1967.375,-1.2812
-5.1088,1967.2917,-1.0412
-5.2112,1967.2083,-0.92375
-5.2787,1967.125,-0.98
-5.0925,1967.0417,-1.095
-4.8475,1966.9583,-1.0763
-4.77,1966.875,-1.0913
-4.76,1966.7917,-1.2425
-4.6513,1966.7083,-1.395
-4.6021,1966.625,-1.3454
-4.6367,1966.5417,-1.2933
-4.6967,1966.4583,-1.2967
-4.7625,1966.375,-1.3117
-4.7833,1966.2917,-1.0967
-4.8467,1966.2083,-0.90667
-4.9442,1966.125,-0.80917
-4.9467,1966.0417,-0.88667
-4.8833,1965.9583,-0.99667
-4.77,1965.875,-1.0933
-4.6567,1965.7917,-1.09
-4.5833,1965.7083,-1.1033
-4.5636,1965.625,-1.1415
-4.6258,1965.5417,-1.1446
-4.7225,1965.4583,-1.2209
-4.835,1965.375,-1.2768
-4.9019,1965.2917,-1.1802
-5.078,1965.2083,-0.9511
-5.1199,1965.125,-0.81055
-5.1026,1965.0417,-1.0669
-5.0759,1964.9583,-1.1751
-5.023,1964.875,-1.1025
-4.9177,1964.7917,-1.1385
-4.7919,1964.7083,-1.1634
-4.6973,1964.625,-1.2687
-4.71,1964.5417,-1.385
-4.74,1964.4583,-1.27
-4.8195,1964.375,-1.129
-4.9741,1964.2917,-1.1531
-5.0345,1964.2083,-1.0775
-5.055,1964.125,-0.87
-5.0729,1964.0417,-0.73802
-5.1034,1963.9583,-0.85906
-5.0935,1963.875,-0.97885
-5.01,1963.7917,-1.045
-4.877,1963.7083,-0.98094
-4.7484,1963.625,-0.77188
-4.7925,1963.5417,-0.81625
-4.885,1963.4583,-0.99375
-5.01,1963.375,-1.4162
-5.115,1963.2917,-1.3737
-5.1125,1963.2083,-1.1675
-5.2912,1963.125,-1.04
-5.2312,1963.0417,-0.90875
-5.1925,1962.9583,-1.0275
-5.1637,1962.875,-1.275
-5.0562,1962.7917,-1.1325
-5.0275,1962.7083,-1.0988
-5.01,1962.625,-1.055
-5.0375,1962.5417,-1.1325
-5.0362,1962.4583,-1.1525
-5.2362,1962.375,-1.3313
-5.42,1962.2917,-1.6863
-5.4163,1962.2083,-1.48
-5.3562,1962.125,-1.0063
-5.26,1962.0417,-0.90625
-5.1175,1961.9583,-0.94125
-5.0612,1961.875,-0.8575
-4.98,1961.7917,-0.94
-4.9338,1961.7083,-0.9
-4.8354,1961.625,-0.96208
-4.9273,1961.5417,-1.1118
-4.9608,1961.4583,-1.1961
-5.055,1961.375,-1.185
-5.1796,1961.2917,-1.0895
-5.1917,1961.2083,-0.891
-5.0679,1961.125,-0.57083
-5.2088,1961.0417,-0.39592
-5.2196,1960.9583,-0.70104
-5.12,1960.875,-0.895
-5.0305,1960.7917,-0.83246
-4.9764,1960.7083,-0.732
-4.8827,1960.625,-0.80594
-4.9604,1960.5417,-0.81975
-4.8662,1960.4583,-0.90063
-4.9009,1960.375,-1.0603
-5.0591,1960.2917,-1.2294
-5.0934,1960.2083,-1.0689
-5.1149,1960.125,-0.72781
-5.1229,1960.0417,-0.70956
-5.0144,1959.9583,-0.895
-4.8887,1959.875,-0.9335
-4.8053,1959.7917,-0.80175
-4.7485,1959.7083,-0.863
-4.6483,1959.625,-1.009
-4.7147,1959.5417,-1.1535
-4.7619,1959.4583,-1.1584
-4.8395,1959.375,-1.0294
-4.886,1959.2917,-0.76401
-4.8222,1959.2083,-0.73173
-4.8598,1959.125,-0.83982
-4.7833,1959.0417,-0.818
-4.6872,1958.9583,-0.89146
-4.5874,1958.875,-0.9126
-4.4898,1958.7917,-0.9387
-4.4835,1958.7083,-0.96921
-4.4653,1958.625,-0.87771
-4.5,1958.5417,-0.9375
-4.7112,1958.4583,-1.0862
-4.8762,1958.375,-0.99
-4.9163,1958.2917,-0.86125
-5.06,1958.2083,-0.825
-5.0425,1958.125,-0.985
-4.9437,1958.0417,-1.295
-4.81,1957.9583,-1.1388
-4.7325,1957.875,-0.94625
-4.6925,1957.7917,-0.80625
-4.685,1957.7083,-1.03
-4.4788,1957.625,-1.1438
-4.565,1957.5417,-1.2338
-4.6375,1957.4583,-1.2462
-4.7987,1957.375,-1.3125
-4.9475,1957.2917,-1.1787
-4.9675,1957.2083,-0.82
-5.0012,1957.125,-1.0788
-4.9812,1957.0417,-1.4213
-4.8963,1956.9583,-1.3113
-4.8088,1956.875,-1.185
-4.8713,1956.7917,-1.0762
-4.8513,1956.7083,-1.1737
-4.8455,1956.625,-1.2805
-4.9873,1956.5417,-1.4204
-5.0919,1956.4583,-1.3614
-5.1571,1956.375,-1.2716
-5.0761,1956.2917,-1.1628
-5.1131,1956.2083,-1.009
-5.15,1956.125,-0.745
-5.0992,1956.0417,-0.76498
-5.0909,1955.9583,-1.1894
-5.0957,1955.875,-1.3725
-4.9538,1955.7917,-1.1648
-4.7422,1955.7083,-1.1612
-4.7294,1955.625,-1.2139
-4.7942,1955.5417,-1.2317
-4.83,1955.4583,-1.09
-4.9075,1955.375,-0.96656
-5.0747,1955.2917,-1.03
-5.0918,1955.2083,-1.0939
-5.05,1955.125,-0.99
-4.9718,1955.0417,-0.86271
-4.8797,1954.9583,-0.89281
-4.9041,1954.875,-1.1168
-4.905,1954.7917,-1.11
-4.8174,1954.7083,-0.98083
-4.6377,1954.625,-0.90125
-4.6819,1954.5417,-0.88036
-4.8478,1954.4583,-0.90509
-4.8309,1954.375,-0.99301
-4.9854,1954.2917,-0.65244
-4.9227,1954.2083,-0.36316
-4.9358,1954.125,-0.64042
-4.9768,1954.0417,-0.72384
-4.7947,1953.9583,-0.65161
-4.7556,1953.875,-0.63482
-4.8455,1953.7917,-0.58348
-4.9386,1953.7083,-0.55431
-4.7781,1953.625,-0.33792
-4.8678,1953.5417,-0.59737
-4.9786,1953.4583,-0.67712
-4.91,1953.375,-0.715
-4.865,1953.2917,-0.79675
-4.9829,1953.2083,-0.85158
-4.9733,1953.125,-0.81563
-4.8653,1953.0417,-0.84642
-4.8758,1952.9583,-0.576
-4.825,1952.875,-0.51
-4.7911,1952.7917,-0.7005
-4.8328,1952.7083,-0.81933
-4.7298,1952.625,-0.59125
-4.7425,1952.5417,-0.53867
-4.8927,1952.4583,-0.70608
-5.01,1952.375,-0.87
-5.0429,1952.2917,-0.84829
-5.0144,1952.2083,-0.68625
-4.975,1952.125,-0.74167
-5.0728,1952.0417,-1.0523
-5.0308,1951.9583,-1.3086
-5.025,1951.875,-1.37
-5.0192,1951.7917,-1.2728
-4.9363,1951.7083,-1.1291
-4.9055,1951.625,-1.1054
-4.9217,1951.5417,-1.3372
-4.9616,1951.4583,-1.2617
-4.9224,1951.375,-1.1483
-4.9871,1951.2917,-1.0747
-5.1553,1951.2083,-1.1195
-5.2599,1951.125,-1.1101
-5.3148,1951.0417,-1.1752
-5.1075,1950.9583,-1.2559
-5.1119,1950.875,-1.1737
-5.1059,1950.7917,-1.1045
-5.0407,1950.7083,-1.0662
-4.903,1950.625,-0.835
-4.8831,1950.5417,-0.94475
-4.9459,1950.4583,-1.1456
-5.0922,1950.375,-1.3942
-4.9791,1950.2917,-1.3841
-5.0421,1950.2083,-1.3297
-5.1284,1950.125,-1.2369
-5.0394,1950.0417,-1.3541
-4.98,1949.9583,-1.4172
-4.9696,1949.875,-1.1182
-4.989,1949.7917,-1.2239
-4.8977,1949.7083,-1.2334
-4.8258,1949.625,-1.2352
-4.8367000000000004,1949.5417,-1.2267
-4.8533,1949.4583,-1.21
-4.8808,1949.375,-1.1867
-5.0333,1949.2917,-1.1433
-5.0867000000000004,1949.2083,-1.0167
-5.0308,1949.125,-0.82583
-5.04,1949.0417,-0.73
-5.0867000000000004,1948.9583,-0.84333
-5.1508,1948.875,-1.1267
-5.16,1948.7917,-1.27
-5.0567,1948.7083,-1.1933
-4.8796,1948.625,-0.95292
-4.8763,1948.5417,-0.91125
-4.8912,1948.4583,-0.94625
-4.9575,1948.375,-1.1887
-4.9788,1948.2917,-1.3775
-5.1,1948.2083,-1.4462
-5.2575,1948.125,-1.6625
-5.475,1948.0417,-1.9175
-5.4363,1947.9583,-1.82
-5.2887,1947.875,-1.7025
-4.9525,1947.7917,-1.4412
-4.93,1947.7083,-0.93625
-4.8679,1947.625,-0.79531
-4.8789,1947.5417,-0.85397
-4.8688,1947.4583,-1.0925
-4.9115,1947.375,-1.2478
-4.9463,1947.2917,-1.3349
-5.0926,1947.2083,-1.4063
-5.2548,1947.125,-1.3598
-5.2712,1947.0417,-1.1582
-5.1305,1946.9583,-1.1225
-5.2,1946.875,-1.2423
-5.048,1946.7917,-1.295
-5.1281,1946.7083,-1.2936
-4.8836,1946.625,-1.0774
-4.8475,1946.5417,-1.2025
-4.8398,1946.4583,-1.3374
-4.7782,1946.375,-1.3474
-4.88,1946.2917,-1.33
-5.08,1946.2083,-1.2987
-4.965,1946.125,-1.31
-4.8319,1946.0417,-1.3249
-4.95,1945.9583,-1.31
-4.9944,1945.875,-1.3101
-4.9127,1945.7917,-1.3336
-4.8108,1945.7083,-1.365
-4.7219,1945.625,-1.3665
-4.7642,1945.5417,-1.1667
-4.8157,1945.4583,-1.063
-4.8402,1945.375,-1.2397
-4.9167,1945.2917,-1.3533
-5.0214,1945.2083,-1.4053
-4.99,1945.125,-1.385
-4.9345,1945.0417,-1.4032
-4.93,1944.9583,-1.63
-4.8747,1944.875,-1.714
-4.7479,1944.7917,-1.5845
-4.6558,1944.7083,-1.3917
-4.5911,1944.625,-1.201
-4.6121,1944.5417,-1.2604
-4.7175,1944.4583,-1.4921
-4.7683,1944.375,-1.7817
-4.8879,1944.2917,-1.7175
-5.0192,1944.2083,-1.5067
-5.0817,1944.125,-1.25
-4.9742,1944.0417,-1.0383
-4.8529,1943.9583,-1.3283
-4.8567,1943.875,-1.2933
-4.9004,1943.7917,-1.3758
-4.7687,1943.7083,-1.2041
-4.75,1943.625,-1.2886
-4.7738,1943.5417,-1.4398
-4.9387,1943.4583,-1.265
-5.1,1943.375,-1.24
-5.135,1943.2917,-1.2412
-5.1025,1943.2083,-1.1825
-4.9863,1943.125,-1.1163
-4.9612,1943.0417,-1.2575
-4.7138,1942.9583,-1.095
-4.6575,1942.875,-1.0213
-4.54,1942.7917,-1.0188
-4.5475,1942.7083,-1.1888
-4.4419,1942.625,-1.0753
-4.6128,1942.5417,-1.1691
-4.7325,1942.4583,-1.15
-4.7963,1942.375,-1.045
-4.8492,1942.2917,-0.96156
-4.8377,1942.2083,-1.0083
-4.825,1942.125,-1.115
-4.7941,1942.0417,-1.1227
-4.7041,1941.9583,-0.93813
-4.5203,1941.875,-0.9201
-4.45,1941.7917,-1.05
-4.4448,1941.7083,-1.2111
-4.4496,1941.625,-1.2926
-4.5724,1941.5417,-1.265
-4.726,1941.4583,-1.1676
-4.8,1941.375,-1.16
-4.8133,1941.2917,-1.2604
-4.8033,1941.2083,-1.363
-4.7337,1941.125,-1.3133
-4.6275,1941.0417,-1.1644
-4.5804,1940.9583,-1.1473
-4.605,1940.875,-1.255
-4.6498,1940.7917,-1.3863
-4.6587,1940.7083,-1.4334
-4.6371,1940.625,-1.374
-4.715,1940.5417,-1.45
-4.8156,1940.4583,-1.525
-4.9487,1940.375,-1.4525
