year (CE),d18O (per mil)
1963.75,-4.749
1963.67,-5.065
1963.58,-5.056
1963.5,-5.307
1963.42,-5.11986
1963.33,-4.85276
1963.25,-4.78259
1963.17,-4.6012
1963.08,-4.20441
1963,-3.91
1962.92,-4.14683
1962.83,-4.60433
1962.75,-4.651
1962.67,-4.73967
1962.58,-5.22983
1962.5,-5.456
1962.42,-4.99282
1962.33,-5.33856
1962.25,-4.58617
1962.17,-4.39501
1962.08,-4.67005
1962,-4.385
1961.92,-4.63867
1961.83,-4.616
1961.75,-4.775
1961.67,-4.90467
1961.58,-4.94317
1961.5,-5.574
1961.42,-5.28633
1961.33,-5.41815
1961.25,-4.96846
1961.17,-4.79359
1961.08,-4.44894
1961,-4.26
1960.92,-4.63583
1960.83,-4.967
1960.75,-5.1885
1960.67,-5.22633
1960.58,-5.17333
1960.5,-5.465
1960.42,-5.40211
1960.33,-5.36618
1960.25,-5.17086
1960.17,-5.01168
1960.08,-4.53042
1960,-4.185
1959.92,-4.2755
1959.83,-4.725
1959.75,-5.1585
1959.67,-5.103
1959.58,-5.31217
1959.5,-5.521
1959.42,-5.09656
1959.33,-4.73949
1959.25,-4.65486
1959.17,-4.5906
1959.08,-4.70794
1959,-4.408
1958.92,-4.673
1958.83,-4.50767
1958.75,-4.899
1958.67,-5.00367
1958.58,-5.49433
1958.5,-5.59
1958.42,-5.49288
1958.33,-5.42518
1958.25,-5.22053
1958.17,-5.00159
1958.08,-4.80011
1958,-4.243
1957.92,-4.506
1957.83,-4.674
1957.75,-4.867
1957.67,-5.136
1957.58,-5.378
1957.5,-5.723
1957.42,-5.49519
1957.33,-5.21265
1957.25,-5.0682
1957.17,-4.63869
1957.08,-4.64489
1957,-4.141
1956.92,-4.264
1956.83,-4.801
1956.75,-5.009
1956.67,-5.239
1956.58,-5.334
1956.5,-5.591
1956.42,-5.56067
1956.33,-5.48331
1956.25,-5.35575
1956.17,-4.81994
1956.08,-4.75486
1956,-4.115
1955.92,-4.504
1955.83,-4.44233
1955.75,-4.707
1955.67,-5.085
1955.58,-5.15
1955.5,-5.743
1955.42,-5.39254
1955.33,-5.37162
1955.25,-4.84371
1955.17,-4.98721
1955.08,-4.85778
1955,-4.279
1954.92,-4.54811
1954.83,-4.80789
1954.75,-5.13804
1954.67,-5.49085
1954.58,-5.46119
1954.5,-5.588
1954.42,-5.54207
1954.33,-5.26793
1954.25,-4.90627
1954.17,-4.88178
1954.08,-4.69146
1954,-4.472
1953.92,-4.733
1953.83,-4.703
1953.75,-5.201
1953.67,-5.727
1953.58,-5.235
1953.5,-5.486
1953.42,-5.32287
1953.33,-5.1853
1953.25,-5.34543
1953.17,-5.14102
1953.08,-5.14699
1953,-4.584
