d18O (permil),year (AD),d18O (permil) [2-1],year (AD) [2-1],d18O (permil) [3-1],year (AD) [3-1]
-5.4,1923.339286,-4.81,1571.701923,-4.9,1637.513889
-5.29,1923.410714,-4.87,1571.625,-5.07,1637.402778
-5.2,1923.482143,-4.88,1571.541667,-5.07,1637.291667
-4.94,1923.553571,-4.95,1571.458333,-4.95,1637.180556
-4.92,1923.625,-4.98,1571.375,-4.85,1637.069444
-4.94,1923.708333,-5.08,1571.291667,-4.83,1636.958333
-5.06,1923.791667,-5.01,1571.208333,-4.71,1636.847222
-5.22,1923.875,-4.99,1571.125,-4.62,1636.736111
-5.27,1923.958333,-4.8,1571.041667,-4.7,1636.625
-5.31,1924.041667,-4.75,1570.958333,-4.81,1636.513889
-5.25,1924.125,-4.6,1570.875,-4.82,1636.402778
-5.46,1924.208333,-4.71,1570.791667,-4.95,1636.291667
-5.39,1924.291667,-4.91,1570.625,-5.04,1636.180556
-5.36,1924.375,-4.87,1570.375,-5.02,1636.069444
-5.33,1924.458333,-4.95,1570.125,-4.82,1635.958333
-5.27,1924.541667,-4.81,1569.875,-4.82,1635.847222
-5.19,1924.625,-4.53,1569.625,-4.78,1635.736111
-5.11,1924.701923,-4.65,1569.443182,-4.79,1635.625
-4.99,1924.778846,-4.79,1569.261364,-4.87,1635.534091
-5.17,1924.855769,-4.87,1569.079545,-4.95,1635.443182
-5.35,1924.932692,-4.81,1568.897727,-5.14,1635.352273
-5.3,1925.009615,-4.65,1561.625,-5.16,1635.261364
-5.38,1925.086538,-4.7,1561.541667,-5.15,1635.170455
-5.28,1925.163462,-4.82,1561.458333,-5.03,1635.079545
-5.46,1925.240385,-4.9,1561.375,-4.96,1634.988636
-5.51,1925.317308,-5.12,1561.291667,-5,1634.897727
-5.47,1925.394231,-5.1,1561.208333,-5.05,1634.806818
-5.4,1925.471154,-5.22,1561.125,-4.97,1634.715909
-4.91,1925.548077,-5.24,1561.041667,-4.86,1634.625
-4.88,1925.625,-5.05,1560.958333,-4.77,1634.525
-5.07,1925.715909,-5.06,1560.875,-5.06,1634.425
-5.12,1925.806818,-4.97,1560.791667,-5.23,1634.325
-5.23,1925.897727,-5.05,1560.708333,-5.13,1634.225
-5.33,1925.988636,-4.94,1560.625,-4.93,1634.125
-5.36,1926.079545,-5.13,1560.513889,-4.79,1634.025
-5.27,1926.170455,-5.16,1560.402778,-4.76,1633.925
-5.33,1926.261364,-5.16,1560.291667,-4.75,1633.825
-5.41,1926.352273,-4.95,1560.180556,-4.83,1633.725
-5.21,1926.443182,-5.15,1560.069444,-4.73,1633.625
-5.13,1926.534091,-4.92,1559.958333,-4.78,1633.525
-5.08,1926.625,-4.86,1559.847222,-4.93,1633.425
-5.09,1926.701923,-4.76,1559.736111,-4.9,1633.325
-5.12,1926.778846,-4.65,1559.625,-4.96,1633.225
-5.29,1926.855769,-4.74,1559.534091,-4.94,1633.125
-5.46,1926.932692,-4.86,1559.443182,-4.85,1633.025
-5.45,1927.009615,-5.01,1559.352273,-4.79,1632.925
-5.5,1927.086538,-5.08,1559.261364,-4.64,1632.825
-5.67,1927.163462,-5,1559.170455,-4.53,1632.725
-5.64,1927.240385,-4.96,1559.079545,-4.47,1632.625
-5.63,1927.317308,-5.03,1558.988636,-4.57,1632.513889
-5.64,1927.394231,-4.93,1558.897727,-4.88,1632.402778
-5.55,1927.471154,-4.89,1558.806818,-5.08,1632.291667
-5.29,1927.548077,-4.78,1558.715909,-4.77,1632.180556
-5.18,1927.625,-4.61,1558.625,-4.69,1632.069444
-5.16,1927.725,-4.67,1558.541667,-4.73,1631.958333
-5.28,1927.825,-4.71,1558.458333,-4.51,1631.847222
-5.36,1927.925,-4.91,1558.375,-4.49,1631.736111
-5.44,1928.025,-5.07,1558.291667,-4.53,1631.625
-5.43,1928.125,-5.15,1558.208333,-4.75,1631.5
-5.44,1928.225,-5.1,1558.041667,-4.85,1631.375
-5.34,1928.325,-5.08,1557.958333,-4.89,1631.25
-5.38,1928.425,-5.16,1557.875,-4.74,1631.125
-5.19,1928.525,-4.92,1557.791667,-4.65,1631
-5.16,1928.625,-4.82,1557.708333,-4.64,1630.875
-5.03,1928.715909,-4.79,1557.625,-4.59,1630.75
-5.22,1928.806818,-4.99,1557.525,-4.64,1630.625
-5.35,1928.897727,-5.03,1557.425,-4.81,1630.534091
-5.47,1928.988636,-5.2,1557.325,-5.01,1630.443182
-5.37,1929.079545,-5.06,1557.225,-4.98,1630.352273
-5.54,1929.170455,-5.23,1557.125,-4.98,1630.261364
-5.45,1929.261364,-5.1,1557.025,-4.99,1630.170455
-5.47,1929.352273,-5.11,1556.925,-4.8,1630.079545
-5.37,1929.443182,-5.08,1556.825,-4.74,1629.988636
-5.19,1929.534091,-5,1556.725,-4.76,1629.897727
-4.88,1929.625,-4.84,1556.625,-4.79,1629.806818
-5.12,1929.701923,-4.85,1556.534091,-4.84,1629.715909
-5.3,1929.778846,-5.17,1556.443182,-4.76,1629.625
-5.41,1929.855769,-5.28,1556.352273,-4.88,1629.525
-5.39,1929.932692,-5.07,1556.261364,-5,1629.425
-5.49,1930.009615,-5.08,1556.170455,-5.04,1629.325
-5.46,1930.086538,-5.21,1556.079545,-5.12,1629.225
-5.31,1930.163462,-5.07,1555.988636,-4.93,1629.125
-5.37,1930.240385,-5.13,1555.897727,-4.78,1629.025
-5.36,1930.317308,-5.05,1555.806818,-4.74,1628.925
-5.22,1930.394231,-4.88,1555.715909,-4.77,1628.825
-5.02,1930.471154,-4.76,1555.625,-4.71,1628.725
-4.94,1930.548077,-4.82,1555.541667,-4.65,1628.625
-4.99,1930.625,-4.98,1555.458333,-4.77,1628.525
-5.12,1930.715909,-4.89,1555.375,-5.06,1628.425
-5.26,1930.806818,-4.94,1555.291667,-4.88,1628.325
-5.46,1930.897727,-4.96,1555.208333,-5.02,1628.225
-5.37,1930.988636,-5.09,1555.125,-4.73,1628.125
-5.23,1931.079545,-5.06,1555.041667,-4.75,1628.025
-5.24,1931.170455,-4.89,1554.958333,-4.85,1627.925
-5.28,1931.261364,-4.77,1554.875,-4.77,1627.825
-5.13,1931.352273,-4.65,1554.791667,-4.68,1627.725
-5.17,1931.443182,-4.6,1554.708333,-4.69,1627.625
-4.99,1931.534091,-4.64,1554.625,-4.89,1627.525
-4.81,1931.625,-4.84,1554.525,-5.03,1627.425
-5.01,1931.715909,-4.96,1554.425,-5.09,1627.325
-5.16,1931.806818,-5.06,1554.325,-4.89,1627.225
-5.2,1931.897727,-4.93,1554.225,-4.82,1627.125
-5.33,1931.988636,-5.07,1554.125,-4.64,1627.025
-5.21,1932.079545,-4.82,1554.025,-4.65,1626.925
-5.22,1932.170455,-4.88,1553.925,-4.7,1626.825
-5.47,1932.261364,-4.8,1553.825,-4.61,1626.725
-5.28,1932.352273,-4.9,1553.725,-4.6,1626.625
-4.95,1932.443182,-5,1553.625,-4.52,1626.569444
-4.94,1932.534091,-5.02,1553.525,-4.77,1626.513889
-5.05,1932.625,-4.97,1553.425,-4.83,1626.458333
-5.11,1932.715909,-5.13,1553.325,-5.16,1626.402778
-5.26,1932.806818,-5.12,1553.225,-5.16,1626.347222
-5.31,1932.897727,-5.1,1553.125,-4.96,1626.291667
-5.22,1932.988636,-5.04,1553.025,-4.85,1626.236111
-5.31,1933.079545,-4.93,1552.925,-4.93,1626.180556
-5.34,1933.170455,-4.82,1552.825,-4.72,1626.125
-5.34,1933.261364,-4.7,1552.725,-4.68,1626.069444
-5.26,1933.352273,-4.71,1552.625,-4.65,1626.013889
-5.15,1933.443182,-4.93,1552.525,-4.76,1625.958333
-5.1,1933.534091,-4.9,1552.425,-4.96,1625.902778
-5.18,1933.625,-4.95,1552.325,-4.88,1625.847222
-5.27,1933.701923,-5,1552.225,-4.71,1625.791667
-5.42,1933.778846,-4.89,1552.125,-4.76,1625.736111
-5.47,1933.855769,-5,1552.025,-4.75,1625.680556
-5.63,1933.932692,-4.95,1551.925,-4.76,1625.625
-5.54,1934.009615,-4.86,1551.825,-4.85,1625.525
-5.58,1934.086538,-4.54,1551.725,-4.91,1625.425
-5.65,1934.163462,-4.7,1551.625,-4.92,1625.325
-5.51,1934.240385,-4.68,1551.548077,-4.85,1625.225
-5.52,1934.317308,-5.11,1551.471154,-4.89,1625.125
-5.39,1934.394231,-4.87,1551.394231,-4.87,1625.025
-5.23,1934.471154,-4.9,1551.317308,-4.8,1624.925
-5.24,1934.548077,-5.01,1551.240385,-4.92,1624.825
-5.24,1934.625,-5.07,1551.163462,-4.91,1624.725
-5.28,1934.725,-5.07,1551.086538,-4.8,1624.625
-5.46,1934.825,-5.3,1551.009615,-4.99,1624.541667
-5.42,1934.925,-5.12,1550.932692,-5.16,1624.458333
-5.4,1935.025,-5.17,1550.855769,-5.18,1624.375
-5.52,1935.125,-4.98,1550.778846,-5.13,1624.291667
-5.48,1935.225,-4.96,1550.701923,-5.31,1624.208333
-5.34,1935.325,-4.89,1550.625,-5.24,1624.125
-5.19,1935.425,-5.17,1550.548077,-5,1624.041667
-5.12,1935.525,-5.22,1550.471154,-4.9,1623.958333
-5.01,1935.625,-5.1,1550.394231,-4.81,1623.875
-5.18,1935.715909,-5.1,1550.317308,-4.8,1623.791667
-5.16,1935.806818,-5.04,1550.240385,-4.61,1623.708333
-5.36,1935.897727,-5.09,1550.163462,-4.72,1623.625
-5.4,1935.988636,-4.97,1550.086538,-4.89,1623.541667
-5.41,1936.079545,-5.01,1550.009615,-4.94,1623.458333
-5.41,1936.170455,-4.94,1549.932692,-5.01,1623.375
-5.44,1936.261364,-4.91,1549.855769,-5.18,1623.291667
-5.53,1936.352273,-4.84,1549.778846,-5.22,1623.208333
-5.33,1936.443182,-4.78,1549.701923,-5.03,1623.125
-5.25,1936.534091,-4.89,1549.625,-5.01,1623.041667
-5.04,1936.625,-4.99,1549.513889,-4.82,1622.958333
-5.1,1936.708333,-5.05,1549.402778,-4.83,1622.875
-5.33,1936.791667,-5.09,1549.291667,-4.95,1622.791667
-5.23,1936.875,-5.09,1549.180556,-4.9,1622.708333
-5.51,1936.958333,-5.01,1549.069444,-4.8,1622.625
-5.44,1937.041667,-4.7,1548.958333,-4.96,1622.534091
-5.36,1937.125,-4.65,1548.847222,-5,1622.443182
-5.38,1937.208333,-4.59,1548.736111,-5.13,1622.352273
-5.29,1937.291667,-4.62,1548.625,-5.1,1622.261364
-5.4,1937.375,-4.72,1548.525,-5.15,1622.170455
-5.27,1937.458333,-4.96,1548.425,-5.16,1622.079545
-5.19,1937.541667,-5.12,1548.325,-4.98,1621.988636
-5.1,1937.625,-5.06,1548.225,-4.94,1621.897727
-5.01,1937.715909,-5.09,1548.125,-4.73,1621.806818
-5.17,1937.806818,-5.17,1548.025,-4.68,1621.715909
-5.45,1937.897727,-5.02,1547.925,-4.5,1621.625
-5.47,1937.988636,-4.86,1547.825,-4.65,1621.566176
-5.54,1938.079545,-4.75,1547.725,-4.89,1621.507353
-5.38,1938.170455,-4.64,1547.625,-4.95,1621.448529
-5.46,1938.261364,-4.75,1547.541667,-4.96,1621.389706
-5.4,1938.352273,-4.92,1547.458333,-5.08,1621.330882
-5.28,1938.443182,-4.9,1547.375,-5.14,1621.272059
-5.16,1938.534091,-4.89,1547.291667,-5.02,1621.213235
-5.15,1938.625,-5,1547.208333,-4.96,1621.154412
-5.31,1938.725,-5.02,1547.125,-4.85,1621.095588
-5.42,1938.825,-5.06,1547.041667,-4.84,1621.036765
-5.45,1938.925,-5.08,1546.958333,-4.94,1620.977941
-5.52,1939.025,-5.05,1546.875,-4.94,1620.919118
-5.57,1939.125,-4.93,1546.791667,-4.96,1620.860294
-5.49,1939.225,-4.85,1546.708333,-5.16,1620.801471
-5.53,1939.325,-4.77,1546.625,-5.15,1620.742647
-5.48,1939.425,-4.78,1546.541667,-5.19,1620.683824
-5.22,1939.525,-4.99,1546.458333,-4.88,1620.625
-4.96,1939.625,-5.12,1546.375,-4.92,1620.5
-5.2,1939.75,-5.2,1546.291667,-4.93,1620.375
-5.23,1939.875,-5.28,1546.208333,-4.86,1620.25
-5.63,1940,-5.17,1546.125,-4.99,1620.125
-5.43,1940.125,-5.25,1546.041667,-4.89,1620
-5.51,1940.25,-5.22,1545.958333,-4.97,1619.875
-5.39,1940.375,-5.18,1545.875,-4.78,1619.75
-5.17,1940.5,-5.05,1545.791667,-4.85,1619.625
-4.9,1940.625,-4.93,1545.708333,-5,1619.548077
-5.08,1940.708333,-4.86,1545.625,-5.18,1619.471154
-5.14,1940.791667,-4.84,1545.534091,-5.29,1619.394231
-5.35,1940.875,-5.22,1545.443182,-5.29,1619.317308
-5.34,1940.958333,-5.07,1545.352273,-5.03,1619.240385
-5.21,1941.041667,-5.17,1545.261364,-5.05,1619.163462
-5.19,1941.125,-5.18,1545.170455,-4.88,1619.086538
-5.38,1941.208333,-5.18,1545.079545,-4.99,1619.009615
-5.31,1941.291667,-5.2,1544.988636,-4.92,1618.932692
-5.13,1941.375,-5.15,1544.897727,-4.96,1618.855769
-4.85,1941.458333,-5.08,1544.806818,-4.86,1618.778846
-4.63,1941.541667,-4.98,1544.715909,-4.82,1618.701923
-4.52,1941.625,-4.7,1544.625,-4.78,1618.625
-4.71,1941.708333,-4.84,1544.534091,-4.97,1618.534091
-4.86,1941.791667,-4.95,1544.443182,-4.99,1618.443182
-5.14,1941.875,-4.95,1544.352273,-5.05,1618.352273
-5.13,1941.958333,-5.06,1544.261364,-5.11,1618.261364
-5.05,1942.041667,-5.02,1544.170455,-5.08,1618.170455
-5.22,1942.125,-5.12,1544.079545,-5.08,1618.079545
-5.3,1942.208333,-5.16,1543.988636,-4.85,1617.988636
-5.25,1942.291667,-5.13,1543.897727,-4.8,1617.897727
-5.2,1942.375,-5.22,1543.806818,-4.81,1617.806818
-5.16,1942.458333,-4.91,1543.715909,-4.8,1617.715909
-4.91,1942.541667,-4.72,1543.625,-4.75,1617.625
-4.94,1942.625,-4.83,1543.548077,-4.68,1617.525
-5.05,1942.696429,-4.87,1543.471154,-4.9,1617.425
-5.1,1942.767857,-5.01,1543.394231,-5.03,1617.325
-5.28,1942.839286,-5.17,1543.317308,-5.22,1617.225
-5.34,1942.910714,-5.09,1543.240385,-5.07,1617.125
-5.52,1942.982143,-5.29,1543.163462,-5.05,1617.025
-5.28,1943.053571,-5.27,1543.086538,-4.85,1616.925
-5.39,1943.125,-5.22,1543.009615,-4.91,1616.825
-5.39,1943.196429,-5.04,1542.932692,-4.82,1616.725
-5.51,1943.267857,-4.95,1542.855769,-4.59,1616.625
-5.67,1943.339286,-4.83,1542.778846,-4.66,1616.525
-5.49,1943.410714,-4.81,1542.701923,-4.86,1616.425
-5.37,1943.482143,-4.88,1542.625,-5.2,1616.325
-5.19,1943.553571,-4.95,1542.525,-5.07,1616.225
-5.14,1943.625,-5.22,1542.425,-5.12,1616.125
-5.41,1943.701923,-5.2,1542.325,-5.1,1616.025
-5.37,1943.778846,-5.15,1542.225,-5,1615.925
-5.38,1943.855769,-5.17,1542.125,-4.95,1615.825
-5.48,1943.932692,-5.21,1542.025,-4.86,1615.725
-5.49,1944.009615,-5.01,1541.925,-4.76,1615.625
-5.55,1944.086538,-4.94,1541.825,-4.65,1615.548077
-5.41,1944.163462,-4.98,1541.725,-4.83,1615.471154
-5.43,1944.240385,-5,1541.625,-5,1615.394231
-5.54,1944.317308,-4.96,1541.541667,-5.01,1615.317308
-5.7,1944.394231,-5.17,1541.458333,-5.16,1615.240385
-5.67,1944.471154,-5.07,1541.375,-5.24,1615.163462
-5.22,1944.548077,-5.08,1541.291667,-5.28,1615.086538
-4.97,1944.625,-5.05,1541.208333,-5.24,1615.009615
-5.21,1944.701923,-5.13,1541.125,-5.09,1614.932692
-5.21,1944.778846,-5.27,1541.041667,-4.99,1614.855769
-5.2,1944.855769,-5.12,1540.958333,-5.02,1614.778846
-5.34,1944.932692,-5.14,1540.875,-4.96,1614.701923
-5.37,1945.009615,-5.08,1540.791667,-4.79,1614.625
NA,NA,-4.96,1540.708333,-4.79,1614.558333
NA,NA,-4.84,1540.625,-4.94,1614.491667
NA,NA,-4.92,1540.534091,-4.89,1614.425
NA,NA,-5.04,1540.443182,-5.02,1614.358333
NA,NA,-5.02,1540.352273,-5.16,1614.291667
NA,NA,-5.18,1540.261364,-5.4,1614.225
NA,NA,-5.11,1540.170455,-5.23,1614.158333
NA,NA,-5.08,1540.079545,-5.23,1614.091667
NA,NA,-4.94,1539.988636,-5.08,1614.025
NA,NA,-5.02,1539.897727,-5.13,1613.958333
NA,NA,-5.07,1539.806818,-5.16,1613.891667
NA,NA,-4.92,1539.715909,-5,1613.825
NA,NA,-4.91,1539.625,-4.91,1613.758333
NA,NA,-5.09,1539.548077,-4.81,1613.691667
NA,NA,-4.94,1539.471154,-4.76,1613.625
NA,NA,-4.9,1539.394231,-4.8,1613.541667
NA,NA,-5,1539.317308,-4.99,1613.458333
NA,NA,-5.09,1539.240385,-4.97,1613.375
NA,NA,-5.11,1539.163462,-5.06,1613.291667
NA,NA,-5.14,1539.086538,-5.09,1613.208333
NA,NA,-5.09,1539.009615,-5.23,1613.125
NA,NA,-5.13,1538.932692,-5.11,1613.041667
NA,NA,-5.01,1538.855769,-5,1612.958333
NA,NA,-4.94,1538.778846,-5.03,1612.875
NA,NA,-4.94,1538.701923,-4.95,1612.791667
NA,NA,-4.9,1538.625,-4.85,1612.708333
NA,NA,-5.05,1538.534091,-4.79,1612.625
NA,NA,-5.14,1538.443182,-4.87,1612.558333
NA,NA,-5.21,1538.352273,-4.9,1612.491667
NA,NA,-5.24,1538.261364,-5.01,1612.425
NA,NA,-5.2,1538.170455,-5.09,1612.358333
NA,NA,-5.22,1538.079545,-5.16,1612.291667
NA,NA,-5.27,1537.988636,-5.16,1612.225
NA,NA,-5.17,1537.897727,-5.24,1612.158333
NA,NA,-5.06,1537.806818,-5.24,1612.091667
NA,NA,-5.01,1537.715909,-5.24,1612.025
NA,NA,-4.91,1537.625,-5.13,1611.958333
NA,NA,-4.95,1537.558333,-4.96,1611.891667
NA,NA,-4.88,1537.491667,-5.04,1611.825
NA,NA,-4.95,1537.425,-4.9,1611.758333
NA,NA,-5.01,1537.358333,-4.77,1611.691667
NA,NA,-5.07,1537.291667,-4.72,1611.625
NA,NA,-5.08,1537.225,-4.69,1611.548077
NA,NA,-5.13,1537.158333,-4.88,1611.471154
NA,NA,-5.07,1537.091667,-5.06,1611.394231
NA,NA,-5.08,1537.025,-5.16,1611.317308
NA,NA,-5.08,1536.958333,-5.19,1611.240385
NA,NA,-4.98,1536.891667,-5.33,1611.163462
NA,NA,-4.89,1536.825,-5.15,1611.086538
NA,NA,-4.81,1536.758333,-5.08,1611.009615
NA,NA,-4.9,1536.691667,-4.75,1610.932692
NA,NA,-4.84,1536.625,-4.99,1610.855769
NA,NA,-4.94,1536.541667,-5.03,1610.778846
NA,NA,-5.06,1536.458333,-4.91,1610.701923
NA,NA,-5.2,1536.375,-4.75,1610.625
NA,NA,-5.22,1536.291667,-4.77,1610.541667
NA,NA,-5.15,1536.208333,-4.93,1610.458333
NA,NA,-5.16,1536.125,-4.95,1610.375
NA,NA,-5.18,1536.041667,-5.08,1610.291667
NA,NA,-5.18,1535.958333,-5.17,1610.208333
NA,NA,-4.95,1535.875,-5.21,1610.125
NA,NA,-4.78,1535.791667,-5.01,1610.041667
NA,NA,-4.77,1535.708333,-4.92,1609.958333
NA,NA,-4.67,1535.625,-5.05,1609.875
NA,NA,-4.66,1535.541667,-4.91,1609.791667
NA,NA,-4.88,1535.458333,-4.85,1609.708333
NA,NA,-5.05,1535.375,-4.88,1609.625
NA,NA,-5.04,1535.291667,-4.76,1609.525
NA,NA,-5.08,1535.208333,-4.65,1609.425
NA,NA,-5.06,1535.125,-5.1,1609.325
NA,NA,-5.14,1535.041667,-5.14,1609.225
NA,NA,-4.96,1534.958333,-5.16,1609.125
NA,NA,-4.93,1534.875,-5.09,1609.025
NA,NA,-4.76,1534.791667,-5.03,1608.925
NA,NA,-4.6,1534.708333,-4.92,1608.825
NA,NA,-4.68,1534.625,-4.78,1608.725
NA,NA,-4.75,1534.525,-4.93,1608.625
NA,NA,-4.76,1534.425,-4.91,1608.553571
NA,NA,-4.97,1534.325,-4.82,1608.482143
NA,NA,-4.99,1534.225,-4.91,1608.410714
NA,NA,-5.03,1534.125,-4.92,1608.339286
NA,NA,-5.07,1534.025,-5,1608.267857
NA,NA,-5,1533.925,-5.15,1608.196429
NA,NA,-5.03,1533.825,-5.04,1608.125
NA,NA,-4.91,1533.725,-5.12,1608.053571
NA,NA,-4.66,1533.625,-5.12,1607.982143
NA,NA,-4.63,1533.513889,-5.1,1607.910714
NA,NA,-4.69,1533.402778,-5.02,1607.839286
NA,NA,-4.78,1533.291667,-5,1607.767857
NA,NA,-4.99,1533.180556,-5.02,1607.696429
NA,NA,-5.04,1533.069444,-4.95,1607.625
NA,NA,-5.14,1532.958333,-4.91,1607.5625
NA,NA,-5.08,1532.847222,-4.84,1607.5
NA,NA,-4.94,1532.736111,-4.77,1607.4375
NA,NA,-4.71,1532.625,-4.9,1607.375
NA,NA,-4.76,1532.548077,-5.02,1607.3125
NA,NA,-4.77,1532.471154,-5.09,1607.25
NA,NA,-5,1532.394231,-5.09,1607.1875
NA,NA,-5.21,1532.317308,-5.07,1607.125
NA,NA,-5.07,1532.240385,-5.09,1607.0625
NA,NA,-5.09,1532.163462,-4.94,1607
NA,NA,-5.1,1532.086538,-4.89,1606.9375
NA,NA,-5.16,1532.009615,-4.95,1606.875
NA,NA,-5.04,1531.932692,-4.91,1606.8125
NA,NA,-4.99,1531.855769,-4.88,1606.75
NA,NA,-4.98,1531.778846,-4.82,1606.6875
NA,NA,-4.7,1531.701923,-4.83,1606.625
NA,NA,-4.69,1531.625,-4.72,1606.548077
NA,NA,-4.79,1531.548077,-4.87,1606.471154
NA,NA,-4.98,1531.471154,-5,1606.394231
NA,NA,-4.9,1531.394231,-5.09,1606.317308
NA,NA,-4.91,1531.317308,-5.03,1606.240385
NA,NA,-4.92,1531.240385,-5.09,1606.163462
NA,NA,-5,1531.163462,-4.96,1606.086538
NA,NA,-5.08,1531.086538,-4.9,1606.009615
NA,NA,-5.17,1531.009615,-4.93,1605.932692
NA,NA,-5.06,1530.932692,-4.87,1605.855769
NA,NA,-4.89,1530.855769,-4.89,1605.778846
NA,NA,-4.69,1530.778846,-4.87,1605.701923
NA,NA,-4.62,1530.701923,-4.79,1605.625
NA,NA,-4.59,1530.625,-4.99,1605.541667
NA,NA,-4.71,1530.525,-5.03,1605.458333
NA,NA,-4.87,1530.425,-5.12,1605.375
NA,NA,-4.87,1530.325,-5.24,1605.291667
NA,NA,-4.97,1530.225,-5.18,1605.208333
NA,NA,-5.03,1530.125,-5.17,1605.125
NA,NA,-4.88,1530.025,-4.95,1605.041667
NA,NA,-4.77,1529.925,-5.02,1604.958333
NA,NA,-4.49,1529.825,-4.92,1604.875
NA,NA,-4.52,1529.725,-4.96,1604.791667
NA,NA,-4.66,1529.625,-4.82,1604.708333
NA,NA,-4.97,1529.513889,-4.84,1604.625
NA,NA,-5.05,1529.402778,-4.93,1604.548077
NA,NA,-5.11,1529.291667,-4.94,1604.471154
NA,NA,-5.16,1529.180556,-5.04,1604.394231
NA,NA,-5.12,1529.069444,-5.08,1604.317308
