d18O (permil),year (AD),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
-35.3,1914,23.68,11.28,141
-36.2,1913,23.92,11.42,141
-34.6,1912,24.15,11.56,141
-32,1911,24.39,11.71,141
-32.3,1910,24.63,11.85,147
-33.2,1909,24.87,12,147
-33.8,1908,25.11,12.15,147
-35.1,1907,25.35,12.29,147
-32.7,1906,25.58,12.44,147
-33.3,1905,25.82,12.59,147
-35.1,1904,26.05,12.73,147
-32.8,1903,26.29,12.88,147
-34.2,1902,26.52,13.03,147
-34.8,1901,26.76,13.18,147
-32.7,1900,26.99,13.32,147
-32,1899,27.22,13.47,147
-34,1898,27.45,13.62,147
-34.5,1897,27.68,13.76,147
-33.3,1896,27.91,13.91,147
-33.3,1895,28.14,14.06,147
-32.1,1894,28.37,14.2,147
-32.7,1893,28.6,14.35,147
-32.8,1892,28.83,14.5,147
-33.1,1891,29.06,14.65,147
-34.3,1890,29.28,14.79,147
-33.9,1889,29.51,14.94,147
-32.3,1888,29.73,15.09,147
-34,1887,29.96,15.23,147
-36.3,1886,30.18,15.38,147
-35.7,1885,30.41,15.53,147
-36.1,1884,30.63,15.67,147
-35.5,1883,30.85,15.82,147
-35.7,1882,31.07,15.97,147
-36.3,1881,31.3,16.12,147
-35.1,1880,31.52,16.26,147
-32.8,1879,31.74,16.41,147
-33.4,1878,31.96,16.56,147
-33.2,1877,32.18,16.7,147
-34.4,1876,32.4,16.85,147
-32.6,1875,32.61,17,147
-32.6,1874,32.83,17.15,147
-34.6,1873,33.05,17.29,147
-35.9,1872,33.27,17.44,147
-35.9,1871,33.48,17.59,147
-34.6,1870,33.7,17.73,147
-34,1869,33.91,17.88,147
-33.7,1868,34.13,18.03,147
-32.9,1867,34.35,18.17,147
-33.8,1866,34.56,18.32,147
-34.9,1865,34.77,18.47,147
-35.7,1864,34.99,18.62,147
-34.8,1863,35.2,18.76,147
-34.8,1862,35.41,18.91,147
-37.1,1861,35.62,19.06,147
-37.5,1860,35.84,19.2,147
-35.7,1859,36.05,19.35,147
-33.3,1858,36.26,19.5,147
-34.2,1857,36.47,19.64,147
-32.6,1856,36.68,19.79,147
-33.7,1855,36.89,19.94,147
-34.7,1854,37.1,20.09,147
-34.3,1853,37.31,20.23,147
-35.1,1852,37.52,20.38,147
-36,1851,37.73,20.53,147
-35.7,1850,37.93,20.67,147
-35.8,1849,38.14,20.82,147
-36.5,1848,38.35,20.97,147
-35.2,1847,38.56,21.11,147
-37,1846,38.76,21.26,147
-36.3,1845,38.97,21.41,147
-35.7,1844,39.17,21.56,147
-34.7,1843,39.38,21.7,147
-35.7,1842,39.58,21.85,147
-35.4,1841,39.79,22,147
-33.3,1840,39.99,22.14,147
-33.6,1839,40.2,22.29,147
-34.9,1838,40.4,22.44,147
-33.1,1837,40.61,22.59,147
-32.7,1836,40.81,22.73,147
-34.1,1835,41.01,22.88,147
-34.1,1834,41.21,23.03,147
-35.2,1833,41.42,23.17,147
-36.5,1832,41.62,23.32,147
-36,1831,41.82,23.47,147
-35.7,1830,42.02,23.61,147
-37.1,1829,42.22,23.76,147
-35.6,1828,42.42,23.91,147
-33.3,1827,42.62,24.06,147
-33.9,1826,42.83,24.2,147
-35.8,1825,43.03,24.35,147
-34.6,1824,43.22,24.5,147
-32.8,1823,43.42,24.64,147
-34.3,1822,43.62,24.79,147
-35.6,1821,43.82,24.94,147
-34.1,1820,44.02,25.08,147
-34,1819,44.22,25.23,147
-34.6,1818,44.42,25.38,147
-35,1817,44.62,25.53,147
-35.4,1816,44.81,25.67,147
-35.5,1815,45.02,25.83,147
-35.9,1814,45.23,25.98,154
-38.2,1813,45.43,26.13,154
-36.5,1812,45.64,26.29,154
-35.5,1811,45.84,26.44,154
-35.3,1810,46.05,26.6,154
-34.8,1809,46.25,26.75,154
-36,1808,46.46,26.9,154
-34.5,1807,46.66,27.06,154
-33.6,1806,46.86,27.21,154
-34.3,1805,47.07,27.36,154
-34.6,1804,47.27,27.52,154
-33.3,1803,47.48,27.67,154
-33,1802,47.68,27.83,154
-33.6,1801,47.88,27.98,154
-35.1,1800,48.08,28.13,154
-36.5,1799,48.29,28.29,154
-35,1798,48.49,28.44,154
-36.7,1797,48.69,28.59,154
-36.8,1796,48.89,28.75,154
-35.7,1795,49.09,28.9,154
-35.2,1794,49.29,29.06,154
-33.9,1793,49.49,29.21,154
-34.7,1792,49.69,29.36,154
-35,1791,49.9,29.52,154
-34.2,1790,50.1,29.67,154
-32.1,1789,50.3,29.83,154
-33.2,1788,50.49,29.98,154
-33.8,1787,50.69,30.13,154
-32.7,1786,50.89,30.29,154
-31,1785,51.09,30.44,154
-31.4,1784,51.29,30.59,154
-34,1783,51.49,30.75,154
-35.3,1782,51.68,30.89,154
-35.9,1781,51.86,31.04,144
-36.5,1780,52.05,31.18,144
-36.1,1779,52.23,31.32,144
-33,1778,52.42,31.47,144
-31.4,1777,52.6,31.61,144
-32.7,1776,52.79,31.76,144
-34.6,1775,52.97,31.9,144
-34.9,1774,53.16,32.04,144
-35.1,1773,53.34,32.19,144
-34.1,1772,53.52,32.33,144
-33.6,1771,53.71,32.48,144
-32.7,1770,53.89,32.62,144
-32.9,1769,54.08,32.76,144
-34.4,1768,54.26,32.91,144
-34.2,1767,54.44,33.05,144
-33.7,1766,54.62,33.2,144
-33.4,1765,54.81,33.34,144
-34.5,1764,54.99,33.48,144
-34.8,1763,55.17,33.63,144
-35.1,1762,55.36,33.77,144
-34.4,1761,55.54,33.92,144
-35.5,1760,55.72,34.06,144
-36.1,1759,55.9,34.2,144
-33.8,1758,56.08,34.35,144
-32.1,1757,56.27,34.49,144
-33.8,1756,56.45,34.64,144
-35.5,1755,56.63,34.78,144
-35.8,1754,56.81,34.92,144
-35.1,1753,56.99,35.07,144
-35.2,1752,57.17,35.21,144
-35.3,1751,57.35,35.36,144
-33.9,1750,57.53,35.5,144
-34.5,1749,57.71,35.64,144
-36.8,1748,57.89,35.79,144
-34.9,1747,58.07,35.93,144
-35.2,1746,58.25,36.07,144
-35.2,1745,58.43,36.22,144
-34.4,1744,58.61,36.36,144
-33.7,1743,58.79,36.51,144
-33.5,1742,58.97,36.65,144
-33.8,1741,59.15,36.79,144
-35.4,1740,59.33,36.94,144
-36.4,1739,59.51,37.08,144
-36.6,1738,59.69,37.23,144
-32.2,1737,59.87,37.37,144
-34,1736,60.05,37.51,144
-33.8,1735,60.23,37.66,144
-33.3,1734,60.4,37.8,144
-33.3,1733,60.58,37.95,144
-36.3,1732,60.76,38.09,144
-36.8,1731,60.94,38.23,144
-35.4,1730,61.12,38.38,144
-34.6,1729,61.29,38.52,144
-35,1728,61.47,38.67,144
-35.1,1727,61.65,38.81,144
-33.2,1726,61.83,38.95,144
-32.6,1725,62,39.1,144
-34.2,1724,62.18,39.24,144
-35.7,1723,62.36,39.39,144
-36.9,1722,62.54,39.53,144
-37.4,1721,62.71,39.67,144
-36.8,1720,62.89,39.82,144
-34.8,1719,63.07,39.96,144
-34.4,1718,63.24,40.11,144
-35.7,1717,63.42,40.25,144
-36.2,1716,63.6,40.39,144
-35.6,1715,63.77,40.54,144
-33.8,1714,63.95,40.68,144
-34.4,1713,64.12,40.83,144
-36.7,1712,64.3,40.97,144
-36.4,1711,64.48,41.11,144
-34.6,1710,64.65,41.26,144
-35.4,1709,64.83,41.4,144
-34.9,1708,65,41.55,144
-34.7,1707,65.18,41.69,144
-34.8,1706,65.35,41.83,144
-35.8,1705,65.53,41.98,144
-36.1,1704,65.7,42.12,144
-33.9,1703,65.88,42.27,144
-32.2,1702,66.05,42.41,144
-35,1701,66.23,42.55,144
-36,1700,66.4,42.7,144
-35.1,1699,66.58,42.84,144
-32.7,1698,66.75,42.99,144
-31.9,1697,66.92,43.13,144
-31.1,1696,67.1,43.27,144
-34.3,1695,67.27,43.42,144
-35.8,1694,67.45,43.56,144
-35.1,1693,67.62,43.71,144
-36,1692,67.8,43.85,145
-35,1691,67.97,44,145
-34.5,1690,68.15,44.14,145
-34.3,1689,68.32,44.29,145
-34.1,1688,68.5,44.43,145
-35.5,1687,68.67,44.58,145
-35.3,1686,68.85,44.72,145
-34.4,1685,69.02,44.87,145
-32.1,1684,69.2,45.02,145
-31.6,1683,69.37,45.16,145
-32.6,1682,69.55,45.31,145
-34.4,1681,69.72,45.45,145
-36.2,1680,69.9,45.6,145
-35.7,1679,70.07,45.74,145
-35.6,1678,70.24,45.89,145
-35.2,1677,70.42,46.03,145
-36,1676,70.59,46.18,145
-35.3,1675,70.77,46.32,145
-32.9,1674,70.94,46.47,145
-33.8,1673,71.11,46.61,145
-34.3,1672,71.29,46.76,145
-34.4,1671,71.46,46.9,145
-35.2,1670,71.63,47.05,145
-33.9,1669,71.81,47.2,145
-32.6,1668,71.98,47.34,145
-34.5,1667,72.15,47.49,145
-35.4,1666,72.33,47.63,145
-35.5,1665,72.5,47.78,145
-34,1664,72.67,47.92,144
-35.3,1663,72.84,48.06,144
-35.8,1662,73.01,48.21,144
-34.6,1661,73.18,48.35,144
-34.8,1660,73.36,48.5,144
-33.4,1659,73.53,48.64,144
-32.3,1658,73.7,48.79,144
-33.4,1657,73.87,48.93,144
-36.9,1656,74.04,49.07,144
-38,1655,74.21,49.22,144
-36.1,1654,74.38,49.36,144
-35.2,1653,74.55,49.51,144
-35.1,1652,74.72,49.65,144
-35.5,1651,74.89,49.79,144
-35.9,1650,75.06,49.94,144
-36.4,1649,75.23,50.08,144
-37.8,1648,75.4,50.23,144
-37.5,1647,75.57,50.37,144
-35.2,1646,75.74,50.52,144
-34.4,1645,75.91,50.66,144
-33.7,1644,76.08,50.8,144
-34,1643,76.25,50.95,144
-33.2,1642,76.42,51.09,144
-31.7,1641,76.59,51.24,144
-32.5,1640,76.76,51.38,144
-32.6,1639,76.93,51.52,144
-34.6,1638,77.1,51.67,144
-35.5,1637,77.27,51.81,144
-35.3,1636,77.44,51.96,144
-34.3,1635,77.61,52.1,144
-34.6,1634,77.78,52.25,144
-34.7,1633,77.95,52.39,144
-34.9,1632,78.12,52.53,144
-35.7,1631,78.29,52.68,144
-34.8,1630,78.46,52.82,144
-35.3,1629,78.63,52.97,144
-35.8,1628,78.79,53.11,144
-34.1,1627,78.96,53.26,144
-34.1,1626,79.13,53.4,144
-34.6,1625,79.3,53.54,144
-34.4,1624,79.47,53.69,144
-33.6,1623,79.64,53.83,144
-33.5,1622,79.81,53.98,144
-34.1,1621,79.98,54.12,144
-34.6,1620,80.14,54.26,144
-35.2,1619,80.31,54.41,144
-35,1618,80.48,54.55,144
-35.6,1617,80.65,54.7,144
-35.1,1616,80.82,54.84,144
-34.1,1615,80.98,54.99,144
-33.2,1614,81.15,55.13,144
-33.7,1613,81.32,55.27,144
-34.8,1612,81.49,55.42,144
-34.8,1611,81.66,55.56,144
-34.1,1610,81.82,55.71,144
-34.1,1609,81.99,55.85,144
-33.7,1608,82.16,55.99,144
-34.5,1607,82.33,56.14,144
-36,1606,82.49,56.28,144
-35.2,1605,82.66,56.43,144
-34.1,1604,82.83,56.57,144
-33.6,1603,83,56.72,144
-35.1,1602,83.16,56.86,144
-34.4,1601,83.33,57,144
-35,1600,83.5,57.15,144
-35,1599,83.67,57.29,144
-34,1598,83.83,57.44,144
-34.2,1597,84,57.58,144
-34,1596,84.17,57.72,144
-34.7,1595,84.33,57.87,144
-33.6,1594,84.5,58.01,144
-33.4,1593,84.67,58.16,144
-34.7,1592,84.83,58.3,144
-34.9,1591,85,58.45,144
-34.7,1590,85.17,58.59,144
-33.9,1589,85.33,58.73,144
-33.1,1588,85.5,58.88,144
-35.1,1587,85.67,59.02,144
-35.4,1586,85.83,59.17,144
-34.6,1585,86,59.31,144
-35.1,1584,86.17,59.46,144
-34.8,1583,86.33,59.6,144
-34.3,1582,86.5,59.74,144
-33,1581,86.67,59.89,144
-32.8,1580,86.83,60.03,144
-33.4,1579,87,60.18,144
-33.4,1578,87.16,60.32,144
-33.4,1577,87.33,60.46,144
-33.1,1576,87.49,60.61,144
-33.9,1575,87.66,60.75,144
-36,1574,87.83,60.9,144
-35.1,1573,87.99,61.04,144
-33.5,1572,88.16,61.19,144
-34,1571,88.32,61.33,144
-33.6,1570,88.49,61.47,144
-34.7,1569,88.66,61.62,144
-34.5,1568,88.82,61.76,144
-32,1567,88.99,61.91,144
-32.9,1566,89.15,62.05,144
-33.5,1565,89.32,62.19,144
-34.5,1564,89.48,62.34,144
-34.9,1563,89.65,62.48,144
-34.4,1562,89.81,62.63,144
-34.6,1561,89.98,62.77,144
-36.5,1560,90.14,62.92,144
-35,1559,90.31,63.06,144
-33.9,1558,90.47,63.2,144
-34.2,1557,90.64,63.35,144
-34.2,1556,90.8,63.49,144
-32.4,1555,90.97,63.64,144
-33,1554,91.13,63.78,144
-34.3,1553,91.3,63.92,144
-33.1,1552,91.46,64.07,144
-33.4,1551,91.63,64.21,144
-32.5,1550,91.79,64.36,144
-32.7,1549,91.96,64.5,144
-35.2,1548,92.12,64.65,144
-35.7,1547,92.29,64.79,144
-36.5,1546,92.45,64.93,144
-36.1,1545,92.62,65.08,144
-35.5,1544,92.78,65.22,144
-34.6,1543,92.94,65.37,144
-33,1542,93.11,65.51,144
-34,1541,93.27,65.66,144
-34.7,1540,93.44,65.8,144
-36,1539,93.6,65.94,144
-35.1,1538,93.77,66.09,144
-34.8,1537,93.93,66.23,144
-34.4,1536,94.09,66.38,144
-33.5,1535,94.26,66.52,144
-33.2,1534,94.42,66.66,144
-33.2,1533,94.59,66.81,144
-34.5,1532,94.75,66.95,144
-36.3,1531,94.91,67.1,144
-35.8,1530,95.08,67.24,144
-34.2,1529,95.24,67.39,144
-33.1,1528,95.41,67.53,144
-35.2,1527,95.57,67.67,144
-34.6,1526,95.73,67.82,144
-34.2,1525,95.9,67.96,144
-36.9,1524,96.06,68.11,144
-36.4,1523,96.22,68.25,144
-34.9,1522,96.39,68.39,144
-34.8,1521,96.55,68.54,144
-34.8,1520,96.72,68.68,144
-36.2,1519,96.88,68.83,144
-36.3,1518,97.04,68.97,144
-34.5,1517,97.21,69.12,144
-33.6,1516,97.37,69.26,144
-34,1515,97.53,69.4,144
-34.7,1514,97.7,69.55,144
-34.2,1513,97.86,69.69,144
-33.9,1512,98.02,69.84,144
-35.6,1511,98.19,69.98,144
-35.2,1510,98.35,70.12,144
-35.5,1509,98.51,70.27,144
-33.6,1508,98.68,70.41,144
-33,1507,98.84,70.56,144
-33.9,1506,99,70.7,144
-37.3,1505,99.16,70.85,144
-31.8,1504,99.33,70.99,144
-31.6,1503,99.49,71.13,144
-32.5,1502,99.65,71.28,144
-34,1501,99.82,71.42,144
-33.6,1500,99.98,71.57,144
-33.5,1499,100.14,71.71,144
-34,1498,100.3,71.86,144
-33.1,1497,100.47,72,144
-32.1,1496,100.63,72.14,144
-33.4,1495,100.79,72.29,144
-33.6,1494,100.96,72.43,144
-33.8,1493,101.12,72.58,144
-33,1492,101.28,72.72,144
-33.1,1491,101.44,72.86,144
-33.8,1490,101.61,73.01,144
-35.5,1489,101.77,73.15,144
-36.4,1488,101.93,73.3,144
-35.1,1487,102.09,73.44,144
-33.4,1486,102.26,73.59,144
-35.1,1485,102.42,73.73,144
-35.9,1484,102.58,73.87,144
-34.3,1483,102.74,74.02,144
-34.4,1482,102.9,74.16,144
-35,1481,103.07,74.31,144
-34.9,1480,103.23,74.45,144
-35.5,1479,103.39,74.59,144
-32.9,1478,103.55,74.74,144
-33.4,1477,103.72,74.88,144
-34.7,1476,103.88,75.03,144
-33.4,1475,104.04,75.17,144
-33.3,1474,104.2,75.32,144
-34.2,1473,104.36,75.46,144
-35,1472,104.53,75.6,144
-35.5,1471,104.69,75.75,144
-35.1,1470,104.85,75.89,144
-34.9,1469,105.01,76.04,144
-35.5,1468,105.17,76.18,144
-34.3,1467,105.33,76.32,144
-33.6,1466,105.5,76.47,144
-34.8,1465,105.66,76.61,144
-35.6,1464,105.82,76.76,144
-34.2,1463,105.98,76.9,144
-34.8,1462,106.14,77.05,144
-34.8,1461,106.3,77.19,144
-34.3,1460,106.47,77.33,144
-35.4,1459,106.63,77.48,144
-37.1,1458,106.79,77.62,144
-36,1457,106.95,77.77,144
-34.6,1456,107.11,77.91,144
-33.3,1455,107.27,78.06,144
-34.4,1454,107.44,78.2,144
-35.3,1453,107.6,78.34,144
-32.8,1452,107.76,78.49,144
-33.1,1451,107.92,78.63,144
-33.8,1450,108.08,78.78,144
-35.5,1449,108.24,78.92,144
-35.4,1448,108.4,79.06,144
-34,1447,108.57,79.21,144
-32.8,1446,108.73,79.35,144
-35,1445,108.89,79.5,144
-34.9,1444,109.05,79.64,144
-35.6,1443,109.21,79.79,144
-35.2,1442,109.37,79.93,144
-33.3,1441,109.53,80.07,144
-32.9,1440,109.69,80.22,144
-35.2,1439,109.85,80.36,144
-36.2,1438,110.02,80.51,144
-35.3,1437,110.18,80.65,144
-34.9,1436,110.34,80.79,144
-34.6,1435,110.5,80.94,144
-36,1434,110.66,81.08,144
-34.3,1433,110.82,81.23,144
-32.8,1432,110.98,81.37,144
-33.8,1431,111.14,81.52,144
-33.5,1430,111.3,81.66,144
-32.7,1429,111.46,81.8,144
-31.9,1428,111.62,81.95,144
-32.9,1427,111.79,82.09,144
-34.1,1426,111.95,82.24,144
-33.7,1425,112.11,82.38,144
-32.7,1424,112.27,82.53,144
-32.7,1423,112.43,82.67,144
-31.5,1422,112.59,82.81,144
-32.4,1421,112.75,82.96,144
-33.6,1420,112.91,83.1,144
-32.9,1419,113.07,83.25,144
-33.6,1418,113.23,83.39,144
-33.1,1417,113.39,83.53,144
-32.2,1416,113.55,83.68,144
-33.1,1415,113.71,83.82,144
-34.2,1414,113.87,83.97,144
-32.9,1413,114.03,84.11,144
-31.8,1412,114.19,84.26,144
-32.2,1411,114.35,84.4,144
-34.1,1410,114.52,84.54,144
-33.5,1409,114.68,84.69,144
-33.2,1408,114.84,84.83,144
-34.2,1407,115,84.98,144
-35.4,1406,115.16,85.12,144
-34.2,1405,115.32,85.26,144
-33,1404,115.48,85.41,144
-33.9,1403,115.64,85.55,144
-33.8,1402,115.8,85.7,144
-32.4,1401,115.96,85.84,144
-31.6,1400,116.12,85.99,144
-33.7,1399,116.28,86.13,144
-34.2,1398,116.44,86.27,144
-34.5,1397,116.6,86.42,144
-34.6,1396,116.76,86.56,144
-33.8,1395,116.92,86.71,144
-32.9,1394,117.08,86.85,144
-32.7,1393,117.24,86.99,144
-32.8,1392,117.4,87.14,144
-33.1,1391,117.56,87.28,144
-34.2,1390,117.72,87.43,144
-37.6,1389,117.88,87.57,144
-37.1,1388,118.04,87.72,144
-34.8,1387,118.2,87.86,144
-35,1386,118.36,88,144
-35.8,1385,118.52,88.15,144
-36.1,1384,118.68,88.29,144
-36.3,1383,118.84,88.44,144
-35,1382,119,88.58,144
-32.7,1381,119.16,88.73,144
-31.6,1380,119.32,88.87,144
-33.4,1379,119.48,89.01,144
-33.7,1378,119.64,89.16,144
-34.7,1377,119.8,89.3,144
-35.4,1376,119.96,89.45,144
-35,1375,120.12,89.59,144
-34.2,1374,120.28,89.73,144
-34.3,1373,120.44,89.88,144
-33.6,1372,120.6,90.02,144
