compositeDepth (cm),age (BP),Drilling project (unitless),site/hole (unitless),drive-type (unitless),section (unitless),sample # in section (unitless),top depth in section (cm),bottom depth in section (cm),dry sample mass (g),dD C28 (per mil),StDev C28 dD (per mil),n C28 (unitless),year (AD)
356.6,8329,LQDP05,1F,3H,1,10,54,56,2.053,-181.04,0.69,3,-6380
363,8478,LQDP05,1F,3H,1,11,60,62,1.971,-182.48,1.68,3,-6529
369.4,8627,LQDP05,1F,3H,1,12,66,68,2.095,-183.98,2.03,3,-6678
375.8,8777,LQDP05,1F,3H,1,13,72,74,1.922,-172.37,4.03,3,-6828
382.2,8926,LQDP05,1F,3H,1,14,78,80,1.98,-171.97,1.38,3,-6977
386.5,9026,LQDP05,1F,3H,2,1,0,2,1.944,-162.25,4.06,3,-7077
392.9,9175,LQDP05,1F,3H,2,2,6,8,2.825,-176.88,3.03,3,-7226
399.3,9325,LQDP05,1F,3H,2,3,12,14,2.343,-170.1,0.8,3,-7376
405.7,9474,LQDP05,1F,3H,2,4,18,20,2.072,-190.27,2.37,3,-7525
406.2,9485,LQDP05,1A,2H,1,91,NA,NA,1.368,-183.02,0.86,3,-7536
409.4,9560,LQDP05,1A,2H,1,94,NA,NA,1.174,-187.3,2.03,4,-7611
415.8,9710,LQDP05,1A,2H,1,100,NA,NA,1.176,-164.73,2.12,3,-7761
419,9784,LQDP05,1A,2H,1,103,NA,NA,1.258,-180.37,0.09,2,-7835
422.2,9859,LQDP05,1A,2H,1,106,NA,NA,1.165,-173.77,0.91,2,-7910
425.4,9934,LQDP05,1A,2H,1,109,NA,NA,1.218,-177.31,1.68,3,-7985
428.6,10009,LQDP05,1A,2H,1,112,NA,NA,1.004,-175.95,1.46,2,-8060
431.8,10084,LQDP05,1A,2H,1,115,NA,NA,1.131,-175.26,3.43,2,-8135
435,10158,LQDP05,1A,2H,1,118,NA,NA,0.91,-177.23,0.46,2,-8209
438.2,10233,LQDP05,1A,2H,1,121,NA,NA,1.039,-183.6,2.24,2,-8284
441.4,10308,LQDP05,1A,2H,1,124,NA,NA,1.297,-186.53,2.01,2,-8359
447.8,10458,LQDP05,1A,2H,1,130,NA,NA,1.288,-183.8,2.34,2,-8509
450.5,10520,LQDP05,1A,2H,1,132,NA,NA,0.92,-186.37,0.19,2,-8571
453.1,10582,LQDP05,1A,2H,2,6,NA,NA,0.717,-180.98,0.54,3,-8633
455.8,10645,LQDP05,1A,2H,2,11,NA,NA,0.293,-179.58,1.47,3,-8696
456.8,10668,LQDP05,1A,2H,2,12,NA,NA,0.71,-186.92,1.25,3,-8719
458.5,10707,LQDP05,1A,2H,2,16,NA,NA,1.066,-177.89,0.86,2,-8758
463.8,10832,LQDP05,1A,2H,2,26,NA,NA,1.188,-172.04,2.89,3,-8883
466.5,10894,LQDP05,1A,2H,2,32,NA,NA,0.865,-178.23,0.45,3,-8945
469.1,10956,LQDP05,1A,2H,2,37,NA,NA,1.164,-178.51,2.31,3,-9007
477.1,11143,LQDP05,1A,2H,2,52,NA,NA,1.158,-172.47,0.98,3,-9194
485.2,11330,LQDP05,1A,2H,2,66,NA,NA,1.02,-165.89,1.89,3,-9381
493.2,11517,LQDP05,1A,2H,2,82,NA,NA,1.139,-143.35,2.6,2,-9568
505.4,11783,LQDP05,1A,2H,2,104,NA,NA,1.026,-161.66,1.32,3,-9834
510.8,11890,LQDP05,1A,2H,2,114,NA,NA,1.322,-144.63,1.07,2,-9941
511.8,11911,LQDP05,1A,2H,2,116,NA,NA,1.09,-149.28,6.54,2,-9962
516.1,11996,LQDP05,1A,2H,2,124,NA,NA,1.288,-157.26,0.72,2,-10047
517.2,12018,LQDP05,1A,2H,2,126,NA,NA,1.223,-152.1,0.64,3,-10069
519.3,12060,LQDP05,1A,2H,2,130,NA,NA,1.406,-151.9,6.29,2,-10111
522.5,12124,LQDP05,1A,2H,2,136,NA,NA,1.249,-144.88,8.28,3,-10175
525,12174,LQDP05,1F,5H,1,1,0,2,1.663,-179.89,1.08,3,-10225
525.9,12192,LQDP05,1A,2H,2,142,NA,NA,1.311,-142.86,12.02,3,-10243
528.3,12239,LQDP05,1A,2H,2,146,NA,NA,1.506,-141.61,0.08,2,-10290
529.1,12255,LQDP05,1F,5H,1,2,4,6,3.366,-159.16,1.57,3,-10306
530.6,12287,LQDP05,1A,2H,2,150,NA,NA,1.187,-143.24,0.72,2,-10338
533,12334,LQDP05,1A,2H,2,154,NA,NA,1.209,-148.05,3.17,3,-10385
533.1,12336,LQDP05,1F,5H,1,3,8,10,2.656,-153.05,3.57,3,-10387
536.6,12405,LQDP05,1A,2H,2,160,NA,NA,1.019,-149.58,1.86,3,-10456
537.2,12417,LQDP05,1F,5H,1,4,12,14,3.47,-153.66,1.4,3,-10468
537.8,12429,LQDP05,1A,2H,2,162,NA,NA,0.912,-150.88,0.9,3,-10480
539,12453,LQDP05,1A,2H,2,164,NA,NA,1.215,-146.87,2.43,3,-10504
540.2,12477,LQDP05,1A,2H,2,166,NA,NA,1.07,-152.36,1.41,3,-10528
541.3,12499,LQDP05,1F,5H,1,5,16,18,2.993,-156.28,3.49,6,-10550
543.7,12548,LQDP05,1A,2H,2,171,NA,NA,0.914,-149.5,2.71,2,-10599
544.9,12571,LQDP05,1A,2H,2,173,NA,NA,0.91,-146.45,2.43,3,-10622
545.3,12580,LQDP05,1F,5H,1,6,20,22,3.235,-154.19,0.69,3,-10631
546.1,12595,LQDP05,1A,2H,2,176,NA,NA,1.263,-156.29,1.89,3,-10646
547.3,12619,LQDP05,1A,2H,2,178,NA,NA,1.214,-152.29,1.68,3,-10670
548.5,12643,LQDP05,1A,2H,2,180,NA,NA,1.147,-144.88,2.3,3,-10694
549.4,12661,LQDP05,1F,5H,1,7,24,26,3.043,-152.47,1.47,3,-10712
549.7,12666,LQDP05,1A,2H,2,182,NA,NA,1.204,-152.49,1.53,3,-10717
550.9,12690,LQDP05,1A,2H,2,184,NA,NA,1.103,-142.94,1.2,3,-10741
552,12714,LQDP05,1A,2H,2,186,NA,NA,0.939,-146.31,3.91,3,-10765
553.2,12738,LQDP05,1A,2H,2,188,NA,NA,1.344,-152.59,0.34,3,-10789
553.4,12742,LQDP05,1F,5H,1,8,28,30,2.577,-153.43,0.66,3,-10793
554.4,12761,LQDP05,1A,2H,2,190,NA,NA,1.269,-152.47,1.22,2,-10812
556.8,12809,LQDP05,1A,2H,2,194,NA,NA,1.211,-155.07,2.53,3,-10860
559.2,12856,LQDP05,1A,2H,2,198,NA,NA,0.988,-147.88,1.57,3,-10907
559.5,12864,LQDP05,1F,5H,1,9,34,36,2.686,-153.69,2.04,3,-10915
560.4,12880,LQDP05,1A,2H,2,200,NA,NA,1.074,-147.49,3.02,3,-10931
563.3,12939,LQDP05,1A,2H,2,205,NA,NA,1.081,-147.04,1.82,3,-10990
563.6,12945,LQDP05,1F,5H,1,10,38,40,2.468,-158.45,0.9,3,-10996
566.3,12999,LQDP05,1A,2H,2,210,NA,NA,1.246,-152.03,1.17,3,-11050
567.7,13026,LQDP05,1F,5H,1,11,42,44,3.028,-153.88,1.07,3,-11077
569.9,13070,LQDP05,1A,2H,2,216,NA,NA,1.45,-154.51,0.91,3,-11121
572.8,13129,LQDP05,1A,2H,2,221,NA,NA,1.079,-163.86,6.43,2,-11180
573.7,13148,LQDP05,1F,5H,1,12,48,50,2.76,-160.03,1.23,4,-11199
575.8,13189,LQDP05,1A,2H,2,225,NA,NA,1.209,-156.26,0.52,3,-11240
578.2,13236,LQDP05,1A,2H,2,231,NA,NA,1.181,-156.51,1.56,3,-11287
579.8,13269,LQDP05,1F,5H,1,13,54,56,3.018,-157.59,4.82,4,-11320
581,13292,LQDP05,1A,2H,2,238,NA,NA,1.095,-155.26,0.45,3,-11343
584.2,13356,LQDP05,1A,2H,2,246,NA,NA,1.249,-162.32,0.61,3,-11407
585.9,13391,LQDP05,1F,5H,1,14,60,62,3.058,-167.9,0.39,3,-11442
587,13412,LQDP05,1A,2H,2,253,NA,NA,1.195,-162.47,0.55,3,-11463
590.2,13476,LQDP05,1A,2H,2,261,NA,NA,1.324,-158.07,1.59,3,-11527
592,13513,LQDP05,1F,5H,1,15,66,68,2.623,-167.83,1.07,3,-11564
593,13532,LQDP05,1A,2H,2,268,NA,NA,1.319,-162.11,1.52,3,-11583
596.2,13596,LQDP05,1A,2H,2,276,NA,NA,1.188,-163.87,0.27,3,-11647
598.1,13634,LQDP05,1F,5H,1,16,72,74,2.557,-163.85,1.79,3,-11685
599,13652,LQDP05,1A,2H,2,283,NA,NA,0.983,-160.41,0.58,3,-11703
602.2,13716,LQDP05,1A,2H,2,291,NA,NA,0.985,-157.59,0.93,3,-11767
604.2,13756,LQDP05,1F,5H,1,17,78,80,2.763,-168.83,1.22,3,-11807
604.6,13764,LQDP05,1A,2H,2,297,NA,NA,1.201,-166.07,1.49,3,-11815
610.3,13878,LQDP05,1F,5H,1,18,84,86,2.948,-136.89,1.61,3,-11929
612.3,13918,LQDP05,1F,5H,1,NA,86,88,3.0466,-110.51,1.74,4,-11969
616.4,13999,LQDP05,1F,5H,1,19,90,92,2.953,-150.57,1.43,3,-12050
618.4,14040,LQDP05,1F,5H,1,NA,92,94,2.7124,-107.41,7.98,5,-12091
622.5,14121,LQDP05,1F,5H,1,20,96,98,2.875,-110.56,1.32,3,-12172
624.5,14161,LQDP05,1F,5H,1,NA,98,100,3.6948,-103.71,1.66,3,-12212
628.6,14243,LQDP05,1F,5H,1,21,102,104,2.912,-105.46,1.39,3,-12294
630.6,14283,LQDP05,1F,5H,1,NA,104,106,2.9345,-88.77,1.24,3,-12334
635.2,14374,LQDP05,1F,5H,1,22,108,110.5,3.441,-90.37,1.5,3,-12425
639.7,14466,LQDP05,1F,5H,2,NA,2,4,3.2828,-90.2,4.35,6,-12517
643.8,14547,LQDP05,1F,5H,2,2,6,8,2.867,-80.07,2.46,3,-12598
649.9,14668,LQDP05,1F,5H,2,3,12,14,2.375,-94.22,1.53,3,-12719
651.9,14709,LQDP05,1F,5H,2,NA,14,16,3.0455,-93.15,1.19,3,-12760
658,14831,LQDP05,1F,5H,2,NA,20,22,3.2173,-126.42,1.16,5,-12882
662.1,14912,LQDP05,1F,5H,2,5,24,26,4.371,-140.48,1.08,3,-12963
664.1,14952,LQDP05,1F,5H,2,NA,26,28,2.8609,-137.08,0.2,3,-13003
668.2,15033,LQDP05,1F,5H,2,6,30,32,4.036,-137.18,2.08,5,-13084
670.2,15074,LQDP05,1F,5H,2,NA,32,34,4.5171,-137.97,1.09,3,-13125
674.3,15155,LQDP05,1F,5H,2,7,36,38,4.515,-154.83,0.37,2,-13206
676.3,15196,LQDP05,1F,5H,2,NA,38,40,4.3175,-137.22,0.84,3,-13247
680.4,15277,LQDP05,1F,5H,2,8,42,44,3.703,-168.22,0.46,2,-13328
686.4,15398,LQDP05,1F,5H,2,9,48,50,4.427,-154.6,1.66,5,-13449
692.5,15520,LQDP05,1F,5H,2,10,54,56,4.03,-186.71,1.01,3,-13571
698.6,15642,LQDP05,1F,5H,2,11,60,62,3.674,-188.71,1.64,3,-13693
704.7,15763,LQDP05,1F,5H,2,12,66,68,3.105,-185.68,5.4,2,-13814
716.9,16007,LQDP05,1F,5H,2,14,78,80,3.578,-191.39,0.52,3,-14058
723,16128,LQDP05,1F,5H,2,15,84,86,3.574,-195.09,1.31,3,-14179
729.1,16250,LQDP05,1F,5H,2,16,90,92,3.54,-193.44,0.54,3,-14301
735.2,16372,LQDP05,1F,5H,2,17,96,98,3.055,-191.73,4.94,4,-14423
741.3,16493,LQDP05,1F,5H,2,18,102,104,3.158,-185.56,2.08,3,-14544
747.4,16615,LQDP05,1F,5H,2,19,108,110,3.378,-186.5,2.07,3,-14666
753.5,16737,LQDP05,1F,5H,2,20,114,116,1.96,-170.27,7.34,5,-14788
759.5,16858,LQDP05,1F,5H,2,21,120,122,3.675,-188.64,2.74,3,-14909
765.6,16980,LQDP05,1F,5H,2,22,126,128,3.931,-151.62,0.15,3,-15031
771.7,17102,LQDP05,1F,5H,2,23,132,134,3.391,-169.93,0.29,3,-15153
777.8,17223,LQDP05,1F,5H,2,24,138,140,1.677,-189.79,2.17,3,-15274
785.9,17386,LQDP05,1F,5H,2,25,146,148,1.534,-181.59,1.41,3,-15437
796,17587,LQDP05,1F,6H,1,2,6,8,3.822,-211.33,1.28,5,-15638
802,17706,LQDP05,1F,6H,1,3,12,14,3.255,-192.92,1.34,3,-15757
808,17826,LQDP05,1F,6H,1,4,18,20,3.574,-197.22,0.76,3,-15877
814,17946,LQDP05,1F,6H,1,5,24,26,3.535,-208.14,1.12,3,-15997
820,18066,LQDP05,1F,6H,1,6,30,32,2.751,-188.02,1.44,3,-16117
826,18186,LQDP05,1F,6H,1,7,36,38,4.208,-164.19,1.79,3,-16237
832,18306,LQDP05,1F,6H,1,8,42,44,5.134,-163.55,0.92,3,-16357
838,18425,LQDP05,1F,6H,1,9,48,50,2.319,-163.26,1.27,3,-16476
844,18545,LQDP05,1F,6H,1,10,54,56,3.451,-157.15,0.3,3,-16596
850,18665,LQDP05,1F,6H,1,11,60,62,5.012,-177.64,1.36,3,-16716
898,19624,LQDP05,1F,7X,2,1,0,2,2.573,-171.58,1.6,4,-17675
903.4,19713,LQDP05,1F,7X,2,2,6,8,2.614,-169.29,0.85,3,-17764
908.7,19781,LQDP05,1F,7X,2,3,12,14,4.37,-167.25,1.16,3,-17832
914.1,19849,LQDP05,1F,7X,2,4,18,20,3.755,-168.26,1.63,3,-17900
919.5,19917,LQDP05,1F,7X,2,5,24,26,3.745,-166.27,1.56,3,-17968
924.9,19985,LQDP05,1F,7X,2,6,30,32,3.392,-168.79,1.62,3,-18036
930.2,20053,LQDP05,1F,7X,2,7,36,38,3.736,-171.73,2.07,3,-18104
935.6,20121,LQDP05,1F,7X,2,8,42,44,3.104,-176.03,0.89,3,-18172
941,20190,LQDP05,1F,7X,2,9,48,50,4.467,-171.59,0.98,3,-18241
946.4,20258,LQDP05,1F,7X,2,10,54,56,3.535,-168.54,1.72,3,-18309
951.7,20326,LQDP05,1F,7X,2,11,60,62,3.624,-169.31,2.25,3,-18377
957.1,20394,LQDP05,1F,7X,2,12,66,68,3.934,-169.61,1.13,3,-18445
962.5,20462,LQDP05,1F,7X,2,13,72,74,3.132,-171.9,7.23,3,-18513
967.9,20530,LQDP05,1F,7X,2,14,78,80,4.434,-176.7,1.85,3,-18581
973.2,20598,LQDP05,1F,7X,2,15,84,86,4.397,-176.54,2.25,3,-18649
978.6,20666,LQDP05,1F,7X,2,16,90,92,3.693,-174.98,1.87,3,-18717
984,20734,LQDP05,1F,7X,2,17,96,98,4.66,-172.04,3.24,3,-18785
989.3,20802,LQDP05,1F,7X,2,18,102,104,3.713,-167.03,1.82,3,-18853
994.7,20870,LQDP05,1F,7X,2,19,108,110,3.244,-176.9,1.19,3,-18921
1000.1,20938,LQDP05,1F,7X,2,20,114,116,4.91,-162.02,1.07,3,-18989
1039.6,21439,LQDP05,1F,7X,3,5,24,26,4.331,-163.75,1.35,3,-19490
1055.8,21644,LQDP05,1F,7X,3,8,42,44,5.351,-169.39,2.42,3,-19695
1072,21849,LQDP05,1F,7X,3,11,60,62,4.906,-166.04,4.63,3,-19900
1082.8,21986,LQDP05,1F,7X,3,13,72,74,5.1,-171.39,1.79,3,-20037
1093.6,22123,LQDP05,1F,7X,3,15,84,86,4.759,-178.04,1.8,3,-20174
1099,22191,LQDP05,1F,7X,3,16,90,92,4.455,-183.01,2.92,3,-20242
1104.4,22259,LQDP05,1F,7X,3,17,96,98,3.594,-177.97,0.55,3,-20310
1109.8,22328,LQDP05,1F,7X,3,18,102,104,4.021,-177.35,0.11,3,-20379
1115.2,22396,LQDP05,1F,7X,3,19,108,110,3.933,-176.45,2.87,3,-20447
1120.6,22465,LQDP05,1F,7X,3,20,114,116,4.602,-177.2,1.74,3,-20516
1126,22533,LQDP05,1F,7X,3,21,120,122,4.019,-176.72,0.6,3,-20584
1131.4,22601,LQDP05,1F,7X,3,22,126,128,3.872,-175.79,1.42,3,-20652
1136.8,22670,LQDP05,1F,7X,3,23,132,134,5.01,-173.95,0.78,3,-20721
1147.6,22807,LQDP05,1F,7X,3,25,144,146,3.677,-171.74,6.43,2,-20858
1153,22875,LQDP05,1F,8E,1,1,0,2,4.44,-175.72,4.48,3,-20926
1159,22951,LQDP05,1F,8E,1,2,6,8,4.944,-183.65,3.1,2,-21002
1165,23027,LQDP05,1F,8E,1,3,12,14,4.37,-174.71,2.16,3,-21078
1183,23255,LQDP05,1F,8E,1,6,30,32,3.233,-166.04,4.16,3,-21306
1189,23331,LQDP05,1F,8E,1,7,36,38,3.416,-173.4,0.24,3,-21382
1195,23407,LQDP05,1F,8E,1,8,42,44,3.755,-162.84,3.58,2,-21458
1201,23483,LQDP05,1F,8E,1,9,48,50,3.233,-160.85,0.64,2,-21534
1207,23559,LQDP05,1F,8E,1,10,54,56,3.859,-161.68,4.08,2,-21610
1310,24863,LQDP05,1F,8E,2,2,6,8,4.306,-164.68,NA,1,-22914
1328,25091,LQDP05,1F,8E,2,5,24,26,3.901,-173.14,0.86,3,-23142
1442,26535,LQDP05,1F,8E,2,24,138,140,4.318,-169.37,1.92,2,-24586
1539.7,27773,LQDP05,1F,9X,1,15,84,86,4.155,-164.57,2.53,2,-25824
1842,31602,LQDP05,1F,10E,1,23,132,134,4.793,-174.76,4.13,2,-29653
