d18O (permil),year (AD),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
-35.4,1873,34.53,17.32,152
-35.4,1872,34.76,17.48,152
-35.4,1871,34.99,17.63,152
-34.8,1870,35.21,17.78,152
-36.2,1869,35.44,17.93,152
-37.9,1868,35.67,18.08,152
-37.3,1867,35.89,18.23,152
-36,1866,36.12,18.39,152
-36.7,1865,36.34,18.54,152
-36.6,1864,36.57,18.69,152
-36.1,1863,36.79,18.84,152
-36,1862,37.02,18.99,152
-34.8,1861,37.24,19.14,152
-35.2,1860,37.46,19.3,152
-35.7,1859,37.68,19.45,152
-34.9,1858,37.91,19.6,152
-35.5,1857,38.13,19.75,152
-34.5,1856,38.35,19.9,152
-35.2,1855,38.57,20.05,152
-36.6,1854,38.79,20.21,152
-36,1853,39.01,20.36,152
-35.4,1852,39.23,20.51,152
-34.6,1851,39.44,20.66,152
-33.8,1850,39.66,20.81,152
-35.5,1849,39.88,20.96,152
-35.2,1848,40.1,21.12,152
-35.5,1847,40.32,21.27,152
-35.8,1846,40.53,21.42,152
-34.6,1845,40.75,21.57,152
-34.4,1844,40.96,21.72,152
-35.3,1843,41.18,21.87,152
-35.7,1842,41.4,22.03,152
-35.3,1841,41.61,22.18,152
-35.4,1840,41.82,22.33,152
-34.9,1839,42.04,22.48,152
-34.3,1838,42.25,22.63,152
-34.8,1837,42.47,22.79,152
-35.9,1836,42.68,22.94,152
-38,1835,42.89,23.09,152
-39.2,1834,43.1,23.24,152
-37.9,1833,43.32,23.39,152
-35.8,1832,43.53,23.54,152
-35.2,1831,43.74,23.7,152
-35.5,1830,43.95,23.85,152
-35.8,1829,44.16,24,152
-35,1828,44.37,24.15,152
-34.8,1827,44.58,24.3,152
-33.9,1826,44.79,24.45,152
-34.5,1825,45,24.61,152
-36,1824,45.21,24.76,152
-35.9,1823,45.42,24.91,152
-36.8,1822,45.63,25.06,152
-36.8,1821,45.84,25.21,152
-36.9,1820,46.03,25.36,152
-36.8,1819,46.24,25.52,152
-37.1,1818,46.45,25.67,152
-36.8,1817,46.68,25.82,152
-37.4,1816,46.88,25.97,161
-38.1,1815,47.09,26.13,161
-37,1814,47.31,26.29,161
-36,1813,47.53,26.45,161
-35.5,1812,47.75,26.61,161
-36.1,1811,47.97,26.78,161
-37.8,1810,48.18,26.94,161
-37.3,1809,48.4,27.1,161
-37.3,1808,48.62,27.26,161
-37.4,1807,48.83,27.42,161
-36.7,1806,49.05,27.58,161
-34.9,1805,49.27,27.74,161
-33.5,1804,49.48,27.9,161
-33.7,1803,49.7,28.06,161
-34.4,1802,49.91,28.22,161
-35.9,1801,50.13,28.38,161
-36.2,1800,50.34,28.54,161
-36.7,1799,50.56,28.7,161
-36.4,1798,50.77,28.87,161
-36.4,1797,50.98,29.03,161
-36.5,1796,51.2,29.19,161
-36,1795,51.41,29.35,161
-35.6,1794,51.62,29.51,161
-34,1793,51.84,29.67,161
-33.6,1792,52.05,29.83,161
-34.9,1791,52.26,29.99,161
-36.2,1790,52.47,30.15,161
-35.7,1789,52.68,30.31,161
-34.4,1788,52.9,30.47,161
-34.2,1787,53.11,30.63,161
-34,1786,53.32,30.8,161
-34.4,1785,53.53,30.96,161
-36.1,1784,53.74,31.12,161
-35.7,1783,53.95,31.28,145
-36.2,1782,54.14,31.42,145
-36.3,1781,54.33,31.57,145
-37.4,1780,54.52,31.71,145
-38.9,1779,54.71,31.86,145
-37.7,1778,54.9,32.01,145
-35.1,1777,55.09,32.15,145
-35,1776,55.28,32.3,145
-34.3,1775,55.47,32.44,145
-33.9,1774,55.65,32.59,145
-33.5,1773,55.84,32.73,145
-33.1,1772,56.03,32.88,145
-34.4,1771,56.22,33.02,145
-34.4,1770,56.41,33.17,145
-34.6,1769,56.59,33.31,145
-34.8,1768,56.78,33.46,145
-37.1,1767,56.97,33.6,145
-36.9,1766,57.16,33.75,145
-36.1,1765,57.34,33.9,145
-35.2,1764,57.53,34.04,145
-34.1,1763,57.72,34.19,145
-34.2,1762,57.9,34.33,145
-35.4,1761,58.09,34.48,145
-34.4,1760,58.28,34.62,145
-32.8,1759,58.46,34.77,145
-34.3,1758,58.65,34.91,145
-35.3,1757,58.83,35.06,145
-36.5,1756,59.02,35.2,145
-36.3,1755,59.2,35.35,145
-35.3,1754,59.39,35.5,145
-36.4,1753,59.58,35.64,145
-36.2,1752,59.76,35.79,145
-35.2,1751,59.95,35.93,145
-34,1750,60.13,36.08,145
-35.1,1749,60.31,36.22,146
-37,1748,60.5,36.37,145
-36.7,1747,60.68,36.51,145
-36.8,1746,60.87,36.66,145
-37.3,1745,61.05,36.8,145
-38.1,1744,61.24,36.95,145
-38.9,1743,61.42,37.09,145
-36.8,1742,61.6,37.24,145
-34.7,1741,61.79,37.39,145
-35.2,1740,61.97,37.53,145
-35.7,1739,62.15,37.68,145
-34.5,1738,62.34,37.82,145
-34.5,1737,62.52,37.97,145
-34.8,1736,62.7,38.11,146
-35.4,1735,62.88,38.26,145
-36.5,1734,63.08,38.4,145
-36.5,1733,63.26,38.55,145
-34.9,1732,63.44,38.69,145
-34,1731,63.57,38.84,145
-33.1,1730,63.76,38.99,145
-34.1,1729,63.94,39.13,145
-35.9,1728,64.12,39.28,145
-34.9,1727,64.3,39.42,145
-35.4,1726,64.48,39.57,145
-36.6,1725,64.66,39.71,145
-36,1724,64.85,39.86,145
-36.1,1723,65.03,40,146
-35.4,1722,65.21,40.15,145
-35.2,1721,65.39,40.29,145
-36.4,1720,65.57,40.44,145
-37.4,1719,65.75,40.58,145
-36.8,1718,65.93,40.73,145
-35.4,1717,66.11,40.88,145
-34.6,1716,66.29,41.02,145
-36.5,1715,66.47,41.17,145
-36.5,1714,66.65,41.31,145
-34.6,1713,66.83,41.46,145
-34.4,1712,67.01,41.6,145
-36.3,1711,67.19,41.75,145
-36.1,1710,67.37,41.89,145
-35.6,1709,67.55,42.04,145
-36,1708,67.73,42.18,145
-36.7,1707,67.91,42.33,145
-35.7,1706,68.09,42.48,145
-35,1705,68.27,42.62,145
-35.5,1704,68.45,42.77,145
-35.9,1703,68.63,42.91,145
-34.8,1702,68.8,43.06,145
-35.1,1701,68.98,43.2,145
-36.5,1700,69.16,43.35,145
-36.4,1699,69.34,43.49,145
-36.9,1698,69.52,43.64,145
-37.3,1697,69.7,43.78,145
-38.2,1696,69.88,43.93,145
-38.2,1695,70.05,44.07,145
-37.4,1694,70.23,44.22,153
-36.6,1693,70.42,44.37,153
-36.7,1692,70.61,44.53,153
-35.6,1691,70.79,44.68,153
-34.3,1690,70.98,44.83,153
-35.6,1689,71.17,44.99,153
-36.9,1688,71.35,45.14,153
-37.1,1687,71.54,45.29,153
-37.3,1686,71.73,45.44,153
-36.3,1685,71.91,45.6,153
-36.7,1684,72.1,45.75,153
-36.7,1683,72.28,45.9,153
-35.2,1682,72.47,46.06,153
-35,1681,72.66,46.21,153
-35.7,1680,72.84,46.36,153
-36.4,1679,73.03,46.52,153
-36.4,1678,73.21,46.67,153
-36.2,1677,73.4,46.82,153
-35.6,1676,73.58,46.97,153
-36.5,1675,73.77,47.13,153
-37.4,1674,73.96,47.28,153
-38.4,1673,74.14,47.43,153
-37.4,1672,74.33,47.59,153
-34.8,1671,74.51,47.74,153
-33.9,1670,74.7,47.89,153
-35.8,1669,74.88,48.05,153
-36.6,1668,75.06,48.2,153
-35.4,1667,75.25,48.35,153
-34.9,1666,75.43,48.5,148
-35.8,1665,75.61,48.65,148
-35.8,1664,75.79,48.8,148
-34.7,1663,75.97,48.95,148
-33.6,1662,76.15,49.1,148
-34.6,1661,76.33,49.24,148
-35.5,1660,76.5,49.39,148
-35.9,1659,76.68,49.54,148
-35.3,1658,76.86,49.69,148
-35,1657,77.04,49.84,148
-35.6,1656,77.22,49.99,148
-35.2,1655,77.39,50.13,148
-34.9,1654,77.57,50.28,148
-35.8,1653,77.75,50.43,148
-35.7,1652,77.93,50.58,148
-35.8,1651,78.1,50.73,148
-37.6,1650,78.28,50.87,148
-38,1649,78.46,51.02,148
-37,1648,78.63,51.17,148
-36.1,1647,78.81,51.32,148
-35.3,1646,78.99,51.47,148
-35.3,1645,79.17,51.61,148
-35.8,1644,79.34,51.76,148
-35.2,1643,79.52,51.91,148
-35.6,1642,79.7,52.06,148
-36.6,1641,79.87,52.21,148
-36.4,1640,80.05,52.36,151
-36.1,1639,80.23,52.51,151
-37,1638,80.41,52.66,151
-37,1637,80.59,52.81,151
-37,1636,80.77,52.96,151
-38.3,1635,80.95,53.11,151
-37.6,1634,81.13,53.26,151
-36.7,1633,81.31,53.41,151
-36.8,1632,81.49,53.56,151
-36.2,1631,81.67,53.72,151
-36.7,1630,81.85,53.87,151
-37.1,1629,82.03,54.02,151
-35.1,1628,82.2,54.17,151
-34.7,1627,82.38,54.32,151
-35.6,1626,82.57,54.47,151
-35.9,1625,82.75,54.62,151
-35.2,1624,82.93,54.77,151
-35.8,1623,83.11,54.92,151
-35.8,1622,83.28,55.08,151
-36.2,1621,83.47,55.23,151
-36.9,1620,83.64,55.38,151
-35.6,1619,83.82,55.53,151
-34.3,1618,83.99,55.68,151
-35.4,1617,84.17,55.83,151
-35.1,1616,84.35,55.98,151
-33.9,1615,84.54,56.13,151
-34.1,1614,84.71,56.29,151
-34.8,1613,84.89,56.44,151
-35.1,1612,85.06,56.59,151
-35.1,1611,85.24,56.74,151
-36.3,1610,85.42,56.89,151
-36.3,1609,85.6,57.04,151
-36.9,1608,85.78,57.19,151
-36.9,1607,85.95,57.34,151
-36.3,1606,86.13,57.49,151
-34.5,1605,86.31,57.65,151
-34,1604,86.46,57.8,151
-34.6,1603,86.62,57.95,151
-35.1,1602,86.79,58.1,151
-35.5,1601,87,58.25,152
-35.5,1600,87.21,58.4,152
-35.1,1599,87.39,58.55,152
-35.8,1598,87.57,58.71,152
-37.6,1597,87.74,58.86,152
-36.4,1596,87.92,59.01,152
-35.5,1595,88.1,59.16,152
-35.8,1594,88.27,59.32,152
-34.7,1593,88.45,59.47,152
-34.6,1592,88.63,59.62,152
-34.8,1591,88.77,59.77,152
-36,1590,88.96,59.92,152
-36.1,1589,89.16,60.08,152
-35,1588,89.34,60.23,152
-34.5,1587,89.52,60.38,152
-34.8,1586,89.69,60.53,152
-33.8,1585,89.87,60.68,152
-33.4,1584,90.05,60.84,152
-34.2,1583,90.23,60.99,152
-35.7,1582,90.4,61.14,152
-36.2,1581,90.58,61.29,152
-35.6,1580,90.76,61.44,152
-36.1,1579,90.94,61.6,152
-36.9,1578,91.11,61.75,152
-37.2,1577,91.29,61.9,152
-35.9,1576,91.47,62.05,152
-35.8,1575,91.65,62.21,152
-37.4,1574,91.82,62.36,152
-36.2,1573,92,62.51,152
-34.1,1572,92.18,62.66,152
-35,1571,92.35,62.81,152
-34.9,1570,92.53,62.97,152
-33.9,1569,92.71,63.12,152
-34,1568,92.88,63.27,152
-34.9,1567,93.06,63.42,152
-36.5,1566,93.24,63.57,152
-36.9,1565,93.42,63.73,152
-36.2,1564,93.59,63.88,152
-36.3,1563,93.77,64.03,152
-36.2,1562,93.94,64.18,152
-35.1,1561,94.12,64.34,152
-33.4,1560,94.3,64.49,152
-33.3,1559,94.47,64.64,152
-34.8,1558,94.65,64.79,152
-36.1,1557,94.83,64.94,152
-36.5,1556,95,65.1,152
-36.5,1555,95.18,65.25,152
-36.8,1554,95.36,65.4,152
-36.9,1553,95.53,65.55,152
-35.9,1552,95.71,65.7,152
-35.4,1551,95.88,65.86,152
-35.2,1550,96.06,66.01,152
-35.2,1549,96.24,66.16,152
-34.4,1548,96.41,66.31,152
-35.1,1547,96.59,66.47,152
-36.5,1546,96.76,66.62,152
-36.3,1545,96.94,66.77,152
-36.7,1544,97.11,66.92,152
-37.6,1543,97.29,67.07,152
-38.4,1542,97.47,67.23,152
-36.9,1541,97.64,67.38,152
-34.9,1540,97.82,67.53,152
-35.7,1539,97.99,67.68,152
-36.9,1538,98.17,67.83,152
-36.5,1537,98.34,67.99,152
-35,1536,98.52,68.14,152
-34,1535,98.69,68.29,152
-34.2,1534,98.87,68.44,152
-34.7,1533,99.04,68.6,152
-35.7,1532,99.22,68.75,152
-35.7,1531,99.4,68.9,152
-35.3,1530,99.57,69.05,152
-34.9,1529,99.75,69.2,152
-35.4,1528,99.92,69.36,152
-35.5,1527,100.1,69.51,152
-36.4,1526,100.27,69.66,152
-36.2,1525,100.45,69.81,152
-34.9,1524,100.62,69.96,152
-34.3,1523,100.8,70.12,152
-35.8,1522,100.97,70.27,152
-36,1521,101.14,70.42,152
-36.1,1520,101.32,70.57,152
-38.3,1519,101.49,70.73,152
-38,1518,101.67,70.88,152
-36.7,1517,101.84,71.03,152
-36.7,1516,102.02,71.18,152
-34.9,1515,102.19,71.33,152
-35.3,1514,102.37,71.49,152
-36.5,1513,102.54,71.64,152
-37.7,1512,102.72,71.79,152
-36.3,1511,102.89,71.94,152
-34.9,1510,103.06,72.09,152
-35.5,1509,103.24,72.25,152
-35.8,1508,103.41,72.4,152
-35.6,1507,103.59,72.55,152
-36.2,1506,103.76,72.7,152
-36.8,1505,103.94,72.86,152
-35.3,1504,104.11,73.01,152
-34.8,1503,104.28,73.16,152
-36.2,1502,104.46,73.31,152
-36.7,1501,104.63,73.46,152
-35.1,1500,104.81,73.62,152
-36.1,1499,104.98,73.77,152
-36.1,1498,105.15,73.92,152
-35.1,1497,105.33,74.07,152
-35.3,1496,105.5,74.22,152
-35.4,1495,105.68,74.38,152
-34.6,1494,105.85,74.53,152
-35,1493,106.02,74.68,152
-36,1492,106.2,74.83,152
-35.1,1491,106.37,74.99,152
-33.6,1490,106.54,75.14,152
-34.1,1489,106.72,75.29,152
-35.7,1488,106.89,75.44,152
-35.5,1487,107.07,75.59,152
-35.8,1486,107.24,75.75,152
-36.4,1485,107.41,75.9,152
-36.3,1484,107.59,76.05,152
-36.5,1483,107.76,76.2,152
-35.6,1482,107.93,76.35,152
-35,1481,108.11,76.51,152
-35.6,1480,108.28,76.66,152
-36.2,1479,108.45,76.81,152
-36.2,1478,108.63,76.96,152
-36.4,1477,108.8,77.12,152
-35.9,1476,108.97,77.27,152
-36.2,1475,109.15,77.42,152
-36.6,1474,109.32,77.57,152
-35.9,1473,109.49,77.72,152
-35.7,1472,109.66,77.88,152
-36.1,1471,109.84,78.03,152
