temperature (degC),year (AD),depth (cm),d18O (permil),Mg_Ca (mmol/mol),d18O (permil)
NA,997.1212121,127,NA,NA,-2.9
30.05,989,128,0.22,5.68,-3.21
29.17,981,129,0.11,5.25,-3.13
29.72,973,130,0.38,5.51,-2.98
29.45,965,131,NA,5.38,NA
29.27,957,132,0.49,5.29,-2.77
29.62,949,133,0.38,5.47,-2.96
29.1,942,134,0.35,5.21,-2.88
29.05,934,135,0.36,5.19,-2.86
28.68,926,136,0.29,5.02,-2.85
29.19,918,137,0.48,5.26,-2.77
29.9,910,138,0.53,5.6,-2.87
28.78,895,139,0.23,5.07,-2.93
29.99,879,140,0.25,5.65,-3.16
29.26,864,141,0.38,5.29,-2.88
29.87,849,142,0.68,5.59,-2.71
28.74,833,143,0.53,5.05,-2.62
29.34,818,144,0.26,5.33,-3.02
29.46,803,145,0.26,5.38,-3.04
29.49,787,146,0.48,5.4,-2.83
29.51,772,147,0.25,5.41,-3.06
NA,757,148,NA,NA,-2.95
29.66,726,150,0.35,5.48,-3
29.2,711,151,0.06,5.26,-3.19
29.28,695,152,0.16,5.3,-3.11
29.36,680,153,0.26,5.34,-3.02
28.59,650,155,0.04,4.98,-3.08
29.59,634,156,0.2,5.45,-3.13
29.07,619,157,0.21,5.2,-3.01
29.08,604,158,-0.12,5.2,-3.34
29.78,588,159,0.3,5.54,-3.07
29.09,573,160,0.3,5.21,-2.93
29.24,558,161,0.66,5.28,-2.6
29.82,542,162,0.38,5.56,-3
28.98,527,163,0.27,5.16,-2.93
28.96,512,164,0.38,5.15,-2.82
29.04,496,165,0.54,5.19,-2.68
29.54,481,166,0.13,5.42,-3.19
28.96,466,167,0.15,5.15,-3.05
29.16,450,168,0.14,5.24,-3.1
29.59,435,169,0.38,5.45,-2.95
29.24,420,170,0.05,5.28,-3.21
29.33,404,171,0.22,5.33,-3.06
28.23,389,172,-0.07,4.82,-3.12
28.8,374,173,-0.06,5.08,-3.23
29.18,358,174,0.17,5.25,-3.08
29.59,343,175,0.27,5.45,-3.06
29.4,328,176,0.1,5.36,-3.19
29.78,312,177,0.3,5.54,-3.07
28.84,297,178,-0.01,5.09,-3.18
30.22,282,179,0.39,5.77,-3.07
29.16,266,180,0.15,5.24,-3.09
29.53,251,181,0.12,5.42,-3.2
29.04,236,182,0.35,5.19,-2.87
29.38,220,183,0.15,5.35,-3.14
28.76,205,184,0.01,5.06,-3.15
29.53,190,185,0.11,5.42,-3.21
29.15,175,186,0.32,5.24,-2.92
29.92,159,187,0.2,5.62,-3.2
29.45,144,188,0.06,5.38,-3.24
29.48,129,189,0.11,5.4,-3.2
29.23,113,190,0.02,5.28,-3.24
29.5,98,191,0.13,5.41,-3.18
29.18,83,192,0.06,5.25,-3.19
29.23,67,193,NA,5.28,NA
29.2,52,194,0.19,5.26,-3.06
29.39,37,195,0.25,5.35,-3.04
29.52,21,196,0.12,5.42,-3.2
29.39,6,197,0.18,5.35,-3.11
29.94,-9,198,0.35,5.63,-3.05
28.99,-25,199,0.16,5.16,-3.05
28.89,-40,200,0.2,5.12,-2.98
29.03,-55,201,NA,5.18,NA
