d18O (permil),year (AD),depth (cm),d18O (permil) [2-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [3-1],year (AD) [3-1],depth (cm) [3-1]
NA,1673000058,NA,-2258533326,-6451495647,NA,NA,NA,NA
-625734815,166802654,NA,-2290910793,-6386181831,NA,NA,NA,NA
-7722039899,1662431212,NA,-2322994277,-691092968,NA,NA,NA,NA
-7016667626,1658341808,NA,-2361465979,-6823342323,NA,NA,NA,NA
-6858089633,1654399169,NA,-2395027683,-7169980049,NA,NA,NA,NA
-7222737459,1649696939,NA,-2430992246,-6959572315,NA,NA,NA,NA
-7453793743,1645917514,NA,-2477826352,-712296772,NA,NA,NA,NA
-7125174432,1640667,NA,-2519089617,-7193482876,NA,NA,NA,NA
-7509813677,1635975406,NA,-2569340859,-7116423087,NA,NA,NA,NA
-7655764393,1628658181,NA,-2614022326,-6957303524,NA,NA,NA,NA
NA,1613646817,NA,-2662024009,-6922603607,NA,NA,NA,NA
-7501869208,1586373075,NA,-2716500914,-6929708958,NA,NA,NA,NA
-7284059972,1538864619,NA,-2759676618,-6642807007,NA,NA,NA,NA
-6980243903,1498115707,NA,-280201474,-6748628616,NA,NA,NA,NA
-6386417254,145615847,NA,-2853119987,-6748087406,NA,NA,NA,NA
-7002723662,1403285127,NA,-2894210718,-7056422234,NA,NA,NA,NA
NA,1361691144,NA,-2935690208,-674305582,NA,NA,NA,NA
-6807757305,1322650888,NA,-2987111823,-6553081989,NA,NA,NA,NA
-7253181835,1276806915,NA,-3029654786,-6458114147,NA,NA,NA,NA
-6719504607,1239403535,NA,-3084485571,-664240694,NA,NA,NA,NA
-6982074874,1194660491,NA,-3131065036,-6614348888,NA,NA,NA,NA
-7130994754,1158204191,NA,-3174991368,-6417607307,NA,NA,NA,NA
-7085905314,1122057589,NA,-3222619968,-6384930101,NA,NA,NA,NA
-7547248376,1080222659,NA,-3262351447,-6912575245,NA,NA,NA,NA
-7676312523,1043370175,NA,-3302701434,-6966852665,NA,NA,NA,NA
-7505031233,9991554642,NA,-3351931856,-6876823425,NA,NA,NA,NA
-7012265082,9618275735,NA,-3391681598,-643676281,NA,NA,NA,NA
-7037763339,9240302976,NA,-3430241364,-6802256107,NA,NA,NA,NA
-7239966515,8754830033,NA,-3477019863,-6637888432,NA,NA,NA,NA
-6782970451,833810631,NA,-3513592209,-5984689236,NA,NA,NA,NA
-7202407003,7914262297,NA,-3548982181,-671213913,NA,NA,NA,NA
-7228105198,7401781921,NA,-3590904456,-6860919476,NA,NA,NA,NA
-6733414833,6992965994,NA,-3624283478,-6624507904,NA,NA,NA,NA
-704881155,6569561507,NA,-3666532354,-6971086979,NA,NA,NA,NA
-7010309152,6335952191,NA,-3700104049,-6888138294,NA,NA,NA,NA
-6950852924,6178704712,NA,-3733823377,-6918456078,NA,NA,NA,NA
-7324243384,6011681491,NA,-3774213152,-7121111393,NA,NA,NA,NA
-7016780423,5882974677,NA,-3808253473,-6989212036,NA,NA,NA,NA
-7137508264,573693971,NA,-3841723168,-6845491409,NA,NA,NA,NA
-6624857462,561794946,NA,-3882034945,-6908681393,NA,NA,NA,NA
-8028112174,5502716563,NA,-3916088949,-6637980461,NA,NA,NA,NA
-7602948417,5362406427,NA,-3950107404,-7263170719,NA,NA,NA,NA
-7744133003,5246339974,NA,-3992033008,-6718932152,NA,NA,NA,NA
-75025323,5126126041,NA,-4028543676,-6676968575,NA,NA,NA,NA
-753353282,4974590727,NA,-4072585416,-6208383083,NA,NA,NA,NA
-7840788922,4848850921,NA,-4108878667,-6638708591,NA,NA,NA,NA
-6935472835,4692183931,NA,-4146774719,-6594958782,NA,NA,NA,NA
-7576784543,4550756319,NA,-4190657038,-6592763901,NA,NA,NA,NA
-7482015999,4410440119,NA,-4227488453,-6422458649,NA,NA,NA,NA
-6397434357,4246383685,NA,-42658395,-6357094288,NA,NA,NA,NA
-7050894179,4113658011,NA,-4316093158,-6556667328,NA,NA,NA,NA
-6710594041,3956980456,NA,-4360035399,-6411856174,NA,NA,NA,NA
-7176209002,3833940784,NA,-4402135628,-6465538502,NA,NA,NA,NA
-677083002,371052844,NA,-4450141522,-6611381531,NA,NA,NA,NA
NA,3568834963,NA,-4487900039,-6395192146,NA,NA,NA,NA
-6839635371,3454965049,NA,-4526024185,-6494163036,NA,NA,NA,NA
-6937779912,3348633991,NA,-4555490564,-6624330521,NA,NA,NA,NA
-6885662354,3213576447,NA,-4583746475,-6325917721,NA,NA,NA,NA
NA,310215445,NA,-4616306929,-6167373657,NA,NA,NA,NA
-7087363806,2971964037,NA,-4642661345,-6552659512,NA,NA,NA,NA
-6897435868,2863709504,NA,-4668176204,-6005749702,NA,NA,NA,NA
-6505778367,2757010372,NA,-469904385,-5868747234,NA,NA,NA,NA
-8461618916,2629143002,NA,-4724285798,-6130624294,NA,NA,NA,NA
-7240335216,2529385084,NA,-4749436962,-6497066021,NA,NA,NA,NA
-6974228804,2401097499,NA,-4778478389,-6471690655,NA,NA,NA,NA
-6627447313,2295847175,NA,-4802589512,-6086638927,NA,NA,NA,NA
-6892987447,2193208365,NA,-4830707872,-6018377781,NA,NA,NA,NA
-6942465082,2072378372,NA,-4854424418,-6066959381,NA,NA,NA,NA
-7029999265,1971076564,NA,-4878374941,-5964006424,NA,NA,NA,NA
-6891185869,1874856679,NA,-4906555382,-6230976582,NA,NA,NA,NA
-752281876,1754240093,NA,-4929409306,-6488701344,NA,NA,NA,NA
-6578744754,1647662926,NA,-4951788799,-6048938274,NA,NA,NA,NA
-6657133322,1520317886,NA,-4979152854,-6361801624,NA,NA,NA,NA
-6485207674,1412781756,NA,-500116241,-6166929245,NA,NA,NA,NA
-6936362174,1304871585,NA,-5023582438,-626861763,NA,NA,NA,NA
-7227094616,1172759998,NA,-5050866023,-6490420818,NA,NA,NA,NA
-6922948545,1057402324,NA,-5072734551,-6188338757,NA,NA,NA,NA
-6852610917,9175749026,NA,-5093211392,-6353205681,NA,NA,NA,NA
-6658465724,8114792042,NA,-5118901474,-6344074249,NA,NA,NA,NA
-6699963732,695998036,NA,-5141373658,-6343137264,NA,NA,NA,NA
-7187766718,5524529306,NA,-5166304685,-6384343624,NA,NA,NA,NA
-7669587788,4225370206,NA,-5186823949,-630012989,NA,NA,NA,NA
-7023015591,2878154755,NA,-5209199586,-6177074432,NA,NA,NA,NA
-6972970166,1063967966,NA,-5234984484,-5857032299,NA,NA,NA,NA
NA,-5135133597,NA,-5255127284,-6379042625,NA,NA,NA,NA
-7225055465,-240965161,NA,-5276218445,-5892127037,NA,NA,NA,NA
-7278881099,-4036890122,NA,-530458571,-6262559652,NA,NA,NA,NA
-7037278294,-548127845,NA,-532690564,-5776446342,NA,NA,NA,NA
-7323368559,-7093370204,NA,-5347917289,-599287234,NA,NA,NA,NA
-7362295455,-8424056612,NA,-537368611,-6231130123,NA,NA,NA,NA
-7296439064,-1002823882,NA,-5394206142,-6191320419,NA,NA,NA,NA
-7437206787,-1111278532,NA,-5419137218,-5906630516,NA,NA,NA,NA
-734041026,-1223947918,NA,-5442035663,-6013231277,NA,NA,NA,NA
-7124195077,-136033818,NA,-5464330741,-6238811016,NA,NA,NA,NA
-7291906435,-1463148339,NA,-5492003021,-5937089682,NA,NA,NA,NA
-7242691266,-156286532,NA,-5513272634,-5802394867,NA,NA,NA,NA
-724376007,-1685281983,NA,-5534686054,-6104001045,NA,NA,NA,NA
-7568359092,-1787609643,NA,-5560255925,-5744592667,NA,NA,NA,NA
-7439657315,-1908557722,NA,-5581419363,-6046587944,NA,NA,NA,NA
-6919343345,-2009193583,NA,-5602439818,-623046875,NA,NA,NA,NA
-6666670541,-2107252084,NA,-5626242867,-6062804699,NA,NA,NA,NA
-7003845501,-2230872866,NA,-5646670642,-5730232239,NA,NA,NA,NA
-7116838932,-2329850239,NA,-5671724742,-6300853729,NA,NA,NA,NA
-710706167,-2449282447,NA,-5693406491,-573027277,NA,NA,NA,NA
-7393298913,-2540298637,NA,-5715818052,-6128819466,NA,NA,NA,NA
-7783134875,-2633337009,NA,-5741762891,-6094869614,NA,NA,NA,NA
-6980222847,-2746842257,NA,-57635168,-6064202668,NA,NA,NA,NA
-6953638549,-2841961072,NA,-5785853921,-634805727,NA,NA,NA,NA
-6746651422,-2932531299,NA,-5813454309,-6406880379,NA,NA,NA,NA
-6760009897,-3048216518,NA,-5835142589,-6039999008,NA,NA,NA,NA
-6496909228,-3142253323,NA,-5857843677,-5862519503,NA,NA,NA,NA
-6857489774,-3252634431,NA,-5887197,-6088654041,NA,NA,NA,NA
-6836342691,-3350986348,NA,-5912224018,-615742445,NA,NA,NA,NA
-6996989357,-3446080551,NA,-5940696373,-6020360947,NA,NA,NA,NA
-6766133445,-3571016342,NA,-5963661752,-6205857992,NA,NA,NA,NA
-7323741176,-3667912156,NA,-5987723905,-5163009167,NA,NA,NA,NA
-6888983616,-3784958813,NA,-6018714671,-6975662708,NA,NA,NA,NA
-713164137,-3881356431,NA,-6043694939,-6466824532,NA,NA,NA,NA
-7292136517,-3979586573,NA,-6068657853,-6074095011,NA,NA,NA,NA
-7450548944,-4103541314,NA,-6100419948,-6174610615,NA,NA,NA,NA
-7525189105,-420616949,NA,-6125956166,-6357892752,NA,NA,NA,NA
-7549748507,-430379626,NA,-6152512371,-6438906193,NA,NA,NA,NA
-7276318449,-4422277082,NA,-6184908497,-6908546686,NA,NA,NA,NA
-7450493438,-4521482904,NA,-6210667889,-6152063847,NA,NA,NA,NA
-7572208017,-4647579042,NA,-6237825957,-5690945864,NA,NA,NA,NA
-7732510317,-4751020569,NA,-6270973361,-5982012272,NA,NA,NA,NA
-7355293344,-4856206813,NA,-6297826253,-6191308975,NA,NA,NA,NA
-7796611745,-4982223399,NA,-6332724343,-5904332638,NA,NA,NA,NA
-8306362788,-5089899009,NA,-6359856708,-6073869228,NA,NA,NA,NA
-7584078868,-5221674847,NA,-6388141665,-6233223438,NA,NA,NA,NA
-7485745902,-5336605583,NA,-6425093173,-5933135033,NA,NA,NA,NA
NA,-5455351912,NA,-6454167578,-5890852928,NA,NA,NA,NA
-7604404004,-5602927824,NA,-6482823215,-5738995552,NA,NA,NA,NA
-7331875716,-5726196472,NA,-6519864262,-6343436241,NA,NA,NA,NA
-7181264778,-5846660795,NA,-6550475639,-6060233593,NA,NA,NA,NA
-7107299587,-6000474268,NA,-6581604307,-5805383205,NA,NA,NA,NA
-7251073133,-6122630466,NA,-6617709796,-5773893833,NA,NA,NA,NA
-6977460306,-6274068182,NA,-6646278865,NA,NA,NA,NA,NA
-7905887237,-6387254645,NA,-6678355665,-6208127975,NA,NA,NA,NA
-7977888105,-6489290932,NA,-67045066,NA,NA,NA,NA,NA
-699258016,-6598896517,NA,-6730496395,-5763545513,NA,NA,NA,NA
-7371110071,-6679171077,NA,-6761877258,-6149478436,NA,NA,NA,NA
-7016073871,-6775379727,NA,-67870025,-5904538155,NA,NA,NA,NA
-782812716,-6850066556,NA,-6813297235,-6238843918,NA,NA,NA,NA
-700854752,-6921172795,NA,-6844752579,-6006657124,NA,NA,NA,NA
-7254077942,-7005895223,NA,-6868977217,-5496204376,NA,NA,NA,NA
-7368567777,-70700923,NA,-6893749924,-5617906094,NA,NA,NA,NA
-7373986416,-7131130471,NA,-6923160685,-5718628883,NA,NA,NA,NA
-7171324797,-7209729797,NA,-694774114,-6069823742,NA,NA,NA,NA
-7027324889,-7277391183,NA,-6977278974,-6150129795,NA,NA,NA,NA
-7109547445,-7356050338,NA,-7001541933,-5946099281,NA,NA,NA,NA
-7205063672,-7419795512,NA,-7027463179,-6078850269,NA,NA,NA,NA
-7286779714,-7482890182,NA,-7058902221,-5708777905,NA,NA,NA,NA
-747391347,-7555360735,NA,-7083960273,-576952219,NA,NA,NA,NA
-7516887969,-7615935655,NA,-7109417194,-5776823044,NA,NA,NA,NA
NA,-7685906389,NA,-7141189222,-5389618874,NA,NA,NA,NA
-7067162475,-7745966717,NA,-7167925737,-5490924358,NA,NA,NA,NA
-7503829795,-780793333,NA,-7196065627,-5705624104,NA,NA,NA,NA
-7267026995,-7878528177,NA,-7229923552,-5367487907,NA,NA,NA,NA
-7201390457,-7937549697,NA,-7258522138,-5485666275,NA,NA,NA,NA
-6998633425,-799374708,NA,-7294364774,-5516497135,NA,NA,NA,NA
-7166588011,-806571075,NA,-7325861402,-5738230705,NA,NA,NA,NA
-7010259634,-8120919267,NA,-7358028922,-5609792233,NA,NA,NA,NA
-703455286,-8189382492,NA,-7395374416,-4266309261,NA,NA,NA,NA
-729378619,-8244086049,NA,-7425677828,-5726408958,NA,NA,NA,NA
-7073663277,-8301032098,NA,-7453516701,-5398015499,NA,NA,NA,NA
-6604326943,-8370503617,NA,-7484014297,-5494867325,NA,NA,NA,NA
-7163605372,-842826318,NA,-7507198411,-5528614044,NA,NA,NA,NA
-6962412537,-8499306554,NA,-7530168049,-5462310314,NA,NA,NA,NA
-7196337998,-8559456332,NA,-7555849295,-5890185833,NA,NA,NA,NA
-7702670918,-8617411223,NA,-7577464539,-5309761047,NA,NA,NA,NA
-7641326592,-8687554153,NA,-759951999,-5524133205,NA,NA,NA,NA
-7436194448,-8743173876,NA,-7627235722,-546442318,NA,NA,NA,NA
-7611017156,-8797878118,NA,-7648808069,-5578186512,NA,NA,NA,NA
-6967351237,-8866529353,NA,-7674594701,-5585936546,NA,NA,NA,NA
-7679863991,-8921205007,NA,-7695085444,-563398838,NA,NA,NA,NA
-7293093674,-8989832596,NA,-7715039709,-5529568195,NA,NA,NA,NA
-7547050141,-9045975968,NA,-7739419428,-5501260281,NA,NA,NA,NA
-7402939667,-9107553301,NA,-7760035859,-5617705345,NA,NA,NA,NA
-7381980095,-917961276,NA,-7780932836,-5556106091,NA,NA,NA,NA
-6976171056,-923150789,NA,-7805619045,-543542099,NA,NA,NA,NA
-7392929213,-9301304326,NA,-782511399,-5630855083,NA,NA,NA,NA
-7048276199,-9358237184,NA,-7844707501,-5764018536,NA,NA,NA,NA
-7036912767,-9412514594,NA,-7868293125,-58626194,NA,NA,NA,NA
-702211261,-9482842141,NA,-7888226677,-5685266972,NA,NA,NA,NA
-7010620374,-9538482819,NA,-7910432371,-5931033134,NA,NA,NA,NA
-7321822694,-9596372552,NA,-7929414358,-5613576889,NA,NA,NA,NA
-7557821156,-9670970746,NA,-7948747494,-5659981251,NA,NA,NA,NA
-7615577071,-9732811148,NA,-7971585054,-561706686,NA,NA,NA,NA
-7740090701,-9804993802,NA,-7990191857,-5608920574,NA,NA,NA,NA
-8268985642,-9862534206,NA,-801004171,-5958342075,NA,NA,NA,NA
-7914644821,-9921981881,NA,-8033246013,-5809835434,NA,NA,NA,NA
-7393352202,-9998984143,NA,-8051973789,-5762579918,NA,NA,NA,NA
-7624397573,-1006318191,NA,-8071324298,-5894073963,NA,NA,NA,NA
-7579046063,-101422001,NA,-8093935571,-5614600182,NA,NA,NA,NA
-7501719253,-1020450086,NA,-8113354819,-5552818298,NA,NA,NA,NA
-7522339764,-1026702714,NA,-8136077743,-5934092999,NA,NA,NA,NA
-7414928365,-1035226508,NA,-8154886731,-5847254276,NA,NA,NA,NA
-750685037,-1042138497,NA,-81752052,-5888444901,NA,NA,NA,NA
-7401605416,-1048758196,NA,-8200232559,-5882301807,NA,NA,NA,NA
-7884795248,-1057396775,NA,-8220063868,-591809988,NA,NA,NA,NA
-7264883898,-1064927198,NA,-8239329359,-5102033138,NA,NA,NA,NA
-736764315,-1074664203,NA,-8264842892,-5609965324,NA,NA,NA,NA
-6839024937,-1082782711,NA,-8286679383,-5463870662,NA,NA,NA,NA
-6923275343,-1091180429,NA,-830868825,-5866276264,NA,NA,NA,NA
-7300856164,-1102202721,NA,-8336183643,-5903078079,NA,NA,NA,NA
-7175204308,-1110931708,NA,-8360302902,-6104037285,NA,NA,NA,NA
-7105857189,-1122751773,NA,-8390100652,-5949227333,NA,NA,NA,NA
-7186136746,-1136117835,NA,-842052239,-5973042965,NA,NA,NA,NA
-7056463943,-1159830429,NA,-8461254295,-5746180534,NA,NA,NA,NA
-701313271,-1193277279,NA,-8541439106,-5805265903,NA,NA,NA,NA
-7161876593,-1222138252,NA,-8686431502,-5608693123,NA,NA,NA,NA
-7564585948,-1250328206,NA,-8841247653,-5519360065,NA,NA,NA,NA
-747270392,-1282670768,NA,-8978264982,-5685853481,NA,NA,NA,NA
-7231589346,-1309580858,NA,-9030576183,-5760953426,NA,NA,NA,NA
-781962852,-1343180593,NA,-9076555355,-5682750225,NA,NA,NA,NA
-7633523443,-1369595218,NA,-9130644771,-6188457489,NA,NA,NA,NA
-7122406318,-1396200501,NA,-917615666,-5808504105,NA,NA,NA,NA
-7118298029,-1426410062,NA,-9219767145,-5531705856,NA,NA,NA,NA
-7077974562,-1452659748,NA,-9273974606,-5235655308,NA,NA,NA,NA
-7065171515,-1484756398,NA,-9318700513,-5441591263,NA,NA,NA,NA
-7213568446,-1511503461,NA,-9372240637,-5908936024,NA,NA,NA,NA
-6614814746,-1541533685,NA,-9415616745,-5933217525,NA,NA,NA,NA
-7372672606,-1579239187,NA,-9457421656,-594942379,NA,NA,NA,NA
-7359551786,-1612301084,NA,-9509135331,-5876008511,NA,NA,NA,NA
-6787559522,-1644384485,NA,-9549594233,-5753063679,NA,NA,NA,NA
-6868881365,-1677929741,NA,-9588594827,-583423996,NA,NA,NA,NA
-721097921,-1699403111,NA,-9636328606,-5872419834,NA,NA,NA,NA
-7320050265,-172065436,NA,-9675048431,-5827715397,NA,NA,NA,NA
-7237510876,-173547706,NA,-9711296643,-594213438,NA,NA,NA,NA
-7819538847,-175080571,NA,-9756021606,-582117033,NA,NA,NA,NA
-7440518159,-1766238656,NA,-9792404754,-5843009949,NA,NA,NA,NA
-7451274458,-1777672177,NA,-9837271314,-5855484009,NA,NA,NA,NA
-6766932121,-1792345658,NA,-9873904855,-5998785496,NA,NA,NA,NA
-7093784945,-1803677186,NA,-9909507532,-5923427105,NA,NA,NA,NA
-716804086,-1813794803,NA,-995871374,-6159328461,NA,NA,NA,NA
-6640291695,-1826255853,NA,-9994709193,-5861608505,NA,NA,NA,NA
-7247124262,-1836168735,NA,-1003141385,-575854063,NA,NA,NA,NA
-7314147839,-184654863,NA,-1007452151,-5889217377,NA,NA,NA,NA
-6924224798,-1858603311,NA,-1010983777,-5791360855,NA,NA,NA,NA
-6550207729,-1867833587,NA,-1014625913,-6613441944,NA,NA,NA,NA
-6806755728,-187995408,NA,-101926987,-601087141,NA,NA,NA,NA
-700307335,-1889112679,NA,-1023186711,-5983140945,NA,NA,NA,NA
-7273150276,-1898627343,NA,-1027847791,-6155272961,NA,NA,NA,NA
-7510951108,-1910070509,NA,-1031199071,-6032285213,NA,NA,NA,NA
-7004228768,-191835507,NA,-1034938176,-6442461729,NA,NA,NA,NA
-7196832948,-1930113437,NA,-1039644181,-5707649708,NA,NA,NA,NA
-7416074012,-1939131043,NA,-1043591532,-57560215,NA,NA,NA,NA
-8108295248,-1948562897,NA,-1047252626,-585191679,NA,NA,NA,NA
-7623147065,-1960591229,NA,-1051777079,-6000554562,NA,NA,NA,NA
-737256033,-1970132508,NA,-1055555842,-6315388203,NA,NA,NA,NA
-7334695907,-1979295833,NA,-1059244611,-5983870997,NA,NA,NA,NA
-6953562261,-1990720019,NA,-1063797256,-6723989608,NA,NA,NA,NA
-7167103947,-1999503329,NA,-1067758101,-6526429056,NA,NA,NA,NA
-6932895346,-2010044939,NA,-107256751,-6049059818,NA,NA,NA,NA
-7204733071,-2018263508,NA,-1076340004,-6241890499,NA,NA,NA,NA
-7253247112,-2026453796,NA,-1080467393,-6203894726,NA,NA,NA,NA
-6750903625,-2036181063,NA,-1085480971,-6649848194,NA,NA,NA,NA
-6497494467,-2044871591,NA,-1089575248,-6609769521,NA,NA,NA,NA
-6668439386,-2056051575,NA,-1093720702,-6671432804,NA,NA,NA,NA
-710785284,-2064393766,NA,-1098929361,-6797128779,NA,NA,NA,NA
-6944081294,-2072534289,NA,-1103389336,-6986853082,NA,NA,NA,NA
-680857431,-2082870634,NA,-1107979507,-7405633955,NA,NA,NA,NA
-6983619631,-209203666,NA,-1113552018,-7009888489,NA,NA,NA,NA
-683858106,-2100497488,NA,-1118041886,-721557822,NA,NA,NA,NA
-7392148972,-2111378991,NA,-1122520301,-6785368761,NA,NA,NA,NA
-672979522,-2120050568,NA,-1127915688,-6598859728,NA,NA,NA,NA
-7029805035,-213036811,NA,-1131976317,-6194249437,NA,NA,NA,NA
-6946021773,-213930436,NA,-1135676404,-6414716338,NA,NA,NA,NA
-6926094713,-2148466665,NA,-1137078767,-6378888853,NA,NA,NA,NA
-6459496023,-2159424033,NA,-1138171187,-6434026409,NA,NA,NA,NA
-7128615112,-2167807366,NA,-1139112366,-6778926285,NA,NA,NA,NA
-6874226284,-2181072585,NA,-1139821553,-6512823843,NA,NA,NA,NA
-6794126453,-2191834521,NA,-1140512223,-6785361258,NA,NA,NA,NA
-6851021532,-2203256479,NA,-1141319656,-650776373,NA,NA,NA,NA
-6776581686,-2217349455,NA,-1142188714,-6425306344,NA,NA,NA,NA
-7019246264,-2229564436,NA,-1143017424,-6584500383,NA,NA,NA,NA
-6886229637,-2242988736,NA,-114375158,-6673293902,NA,NA,NA,NA
-713753181,-2260368666,NA,-1144418734,-6014410081,NA,NA,NA,NA
-6721556736,-2274557533,NA,NA,NA,NA,NA,NA,NA
-7131060493,-2290395101,NA,NA,NA,NA,NA,NA,NA
-6930531884,-2303686183,NA,NA,NA,NA,NA,NA,NA
-6483875238,-2318487706,NA,NA,NA,NA,NA,NA,NA
-6862687293,-2336964906,NA,NA,NA,NA,NA,NA,NA
-6468737298,-2352062426,NA,NA,NA,NA,NA,NA,NA
