d18O (permil),year (AD),depth (cm),d13C (permil)
-5.48,-2302,122.5,-5.48
-5.65,-2329,123.5,-5.65
-5.4,-2356,124.5,-5.4
-5.76,-2384,125.5,-5.76
-5.66,-2411,126.5,-5.66
-5.97,-2438,127.5,-5.97
-5.77,-2465,128.5,-5.77
-6.04,-2492,129.5,-6.04
-6.03,-2519,130.5,-6.03
-5.74,-2546,131.5,-5.74
-5.75,-2574,132.5,-5.75
-5.77,-2605,133.5,-5.77
-5.59,-2640,134.5,-5.59
-5.54,-2675,135.5,-5.54
-5.77,-2710,136.5,-5.77
-5.59,-2745,137.5,-5.59
-5.62,-2780,138.5,-5.62
-5.55,-2815,139.5,-5.55
-5.7,-2850,140.5,-5.7
-5.85,-2885,141.5,-5.85
-5.82,-2920,142.5,-5.82
-5.82,-2955,143.5,-5.82
-5.84,-2990,144.5,-5.84
-5.77,-3025,145.5,-5.77
-5.87,-3067,146.5,-5.87
-5.85,-3118,147.5,-5.85
-5.79,-3168,148.5,-5.79
-5.75,-3218,149.5,-5.75
-5.77,-3269,150.5,-5.77
-5.68,-3319,151.5,-5.68
-5.58,-3369,152.5,-5.58
-5.86,-3420,153.5,-5.86
-5.79,-3470,154.5,-5.79
-5.79,-3520,155.5,-5.79
-5.84,-3571,156.5,-5.84
-5.88,-3621,157.5,-5.88
-5.68,-3671,158.5,-5.68
-5.69,-3722,159.5,-5.69
-5.83,-3772,160.5,-5.83
-5.78,-3809,161.5,-5.78
-5.91,-3832,162.5,-5.91
-5.85,-3855,163.5,-5.85
-5.57,-3878,164.5,-5.57
-5.51,-3901,165.5,-5.51
-5.55,-3924,166.5,-5.55
-5.69,-3947,167.5,-5.69
-5.52,-3970,168.5,-5.52
-5.87,-3994,169.5,-5.87
-5.92,-4017,170.5,-5.92
-5.82,-4040,171.5,-5.82
-5.88,-4063,172.5,-5.88
-5.78,-4086,173.5,-5.78
-5.7,-4109,174.5,-5.7
-5.68,-4132,175.5,-5.68
-5.84,-4155,176.5,-5.84
-5.93,-4178,177.5,-5.93
-6,-4201,178.5,-6
-5.98,-4224,179.5,-5.98
-6.09,-4247,180.5,-6.09
-6.22,-4279,181.5,-6.22
-6.14,-4319,182.5,-6.14
-6.08,-4359,183.5,-6.08
-6.17,-4399,184.5,-6.17
-6.2,-4438,185.5,-6.2
-6.2,-4478,186.5,-6.2
-5.98,-4518,187.5,-5.98
-6.06,-4558,188.5,-6.06
-5.94,-4598,189.5,-5.94
-6.14,-4638,190.5,-6.14
-5.91,-4677,191.5,-5.91
-5.99,-4717,192.5,-5.99
-5.99,-4757,193.5,-5.99
-5.95,-4797,194.5,-5.95
-5.8,-4837,195.5,-5.8
-5.8,-4877,196.5,-5.8
-5.81,-4917,197.5,-5.81
-5.86,-4956,198.5,-5.86
-5.71,-4996,199.5,-5.71
