Age (years),d18O (per mil),Sr/Ca (mmol/mol)
1931.8333,-3.36,NA
1931.6667,-3.2271,NA
1931.5,-3.4529,NA
1931.3333,-3.38,NA
1931.1667,-3.92,NA
1931,-3.39,NA
1930.8333,-3.2591,9.2753
1930.6667,-3.2886,9.213
1930.5,-3.4143,9.1807
1930.3333,-3.2278,8.996
1930.1667,-3.645,9.246
1930,-3.27,9.206
1929.8333,-3.042,9.2409
1929.6667,-3.2143,9.2753
1929.5,-3.4371,9.2691
1929.3333,-3.5397,9.24
1929.1667,-3.49,9.318
1929,-3.3614,9.2626
1928.8333,-3.4524,9.381
1928.6667,-3.0279,9.2757
1928.5,-3.2893,9.3084
1928.3333,-3.3503,9.286
1928.1667,-3.2584,9.3394
1928,-3.441,9.1444
1927.8333,-3.6235,9.3353
1927.6667,-3.3457,9.2906
1927.5,-2.9557,9.2757
1927.3333,-2.57,9.115
1927.1667,-3.24,9.252
1927,-3.46,9.152
1926.8333,-3.448,9.3753
1926.6667,-3.4643,9.3016
1926.5,-3.5371,9.1997
1926.3333,-3.61,9.12
1926.1667,-3.506,9.2076
1926,-3.394,9.1102
1925.8333,-3.3413,9.1957
1925.6667,-3.354,9.0974
1925.5,-3.4085,9.1869
1925.3333,-3.463,9.156
1925.1667,-3.379,9.2202
1925,-3.35,9.2514
1924.8333,-3.35,9.269
1924.6667,-3.44,9.29
1924.5,-3.52,9.175
1924.3333,-3.64,9.121
1924.1667,-3.8,9.2244
1924,-3.47,9.2182
1923.8333,-3.4731,9.1273
1923.6667,-3.5029,9.1047
1923.5,-3.4814,9.048
1923.3333,-3.46,9.012
1923.1667,-3.364,9.1118
1923,-3.2741,9.213
1922.8333,-3.1965,9.2854
1922.6667,-3.2371,9.2801
1922.5,-3.3979,9.2706
1922.3333,-3.4423,9.05
1922.1667,-3.495,9.214
1922,-3.52,9.247
1921.8333,-3.4886,9.252
1921.6667,-3.5457,9.2487
1921.5,-3.3286,9.2081
1921.3333,-3.02,9.196
1921.1667,-3.062,9.2658
1921,-3.114,9.2952
1920.8333,-3.3943,9.2369
1920.6667,-3.6543,9.2309
1920.5,-3.5557,9.2461
1920.3333,-3.35,9.226
1920.1667,-3.41,9.304
1920,-3.15,9.304
1919.8333,-3.24,9.295
1919.6667,-3.3329,9.279
1919.5,-3.4314,9.2653
1919.3333,-3.53,9.123
1919.1667,-3.442,9.3324
1919,-3.198,9.3278
1918.8333,-3.38,9.343
1918.6667,-3.21,9.299
1918.5,-3.59,9.294
1918.3333,-3.49,9.27
1918.1667,-3.41,9.2782
1918,-3.318,9.264
1917.8333,-3.3129,9.244
1917.6667,-3.3986,9.246
1917.5,-3.4843,9.2009
1917.3333,-3.57,9.134
1917.1667,-3.534,9.2526
1917,-3.474,9.2866
1916.8333,-3.5043,9.308
1916.6667,-3.4443,9.303
1916.5,-3.4871,9.283
1916.3333,-3.5228,9.192
1916.1667,-3.537,9.2636
1916,-3.459,9.284
1915.8333,-3.4171,9.2779
1915.6667,-3.4114,9.2777
1915.5,-3.4357,9.3174
1915.3333,-3.47,9.292
1915.1667,-3.326,9.2918
1915,-3.2494,9.3078
1914.8333,-3.3074,9.3019
1914.6667,-3.3655,9.2516
1914.5,-3.4133,9.2369
1914.3333,-3.4578,9.234
1914.1667,-3.4,9.34
1914,-3.3,9.297
1913.8333,-3.4157,9.3161
1913.6667,-3.6536,9.322
1913.5,-3.5893,9.3151
1913.3333,-3.664,9.118
1913.1667,-3.622,9.2876
1913,-3.445,9.328
1912.8333,-3.3165,9.319
1912.6667,-3.3557,9.3113
1912.5,-3.4929,9.2839
1912.3333,-3.781,9.213
1912.1667,-3.553,9.247
1912,-3.427,9.2944
1911.8333,-3.6106,9.3429
1911.6667,-3.4843,9.2817
1911.5,-3.2429,9.2749
1911.3333,-2.95,9.196
1911.1667,-3.534,9.3232
1911,-3.506,9.3508
1910.8333,-3.4221,9.3764
1910.6667,-3.4714,9.3434
1910.5,-3.3857,9.3483
1910.3333,-3.281,9.288
1910.1667,-3.1682,9.3504
1910,-3.1679,9.3738
1909.8333,-3.2052,9.376
1909.6667,-3.2343,9.376
1909.5,-3.2471,9.3791
1909.3333,-3.26,9.338
1909.1667,-3.34,9.375
1909,-3.47,9.355
1908.8333,-3.3783,9.4053
1908.6667,-3.3371,9.3854
1908.5,-3.36,9.3334
1908.3333,-3.46,9.217
1908.1667,-3.3,9.376
1908,-3.4,9.359
1907.8333,-3.2333,9.3157
1907.6667,-3.3543,9.3449
1907.5,-3.4986,9.3066
1907.3333,-3.57,9.225
1907.1667,-3.438,9.3016
1907,-3.3571,9.3368
1906.8333,-3.3782,9.3706
1906.6667,-3.5921,9.3141
1906.5,-3.6564,9.3167
1906.3333,-3.5868,9.251
1906.1667,-3.4614,9.3078
1906,-3.4505,9.3322
1905.8333,-3.4779,9.3331
1905.6667,-3.5053,9.3214
1905.5,-3.5326,9.3097
1905.3333,-3.56,9.298
1905.1667,-3.65,9.361
1905,-3.22,9.442
1904.8333,-3.2927,9.4333
1904.6667,-3.4593,9.385
1904.5,-3.6821,9.3247
1904.3333,-3.8995,9.236
1904.1667,-3.998,9.2592
1904,-3.506,9.3604
1903.8333,-3.23,9.364
1903.6667,-3.17,9.3354
1903.5,-3.1153,9.3304
1903.3333,-3.0874,9.309
1903.1667,-3.079,9.3168
1903,-3.1115,9.3478
1902.8333,-3.2036,9.3704
1902.6667,-3.2958,9.3613
1902.5,-3.3879,9.3521
1902.3333,-3.48,9.343
1902.1667,-3.348,9.3544
1902,-3.1558,9.3636
1901.8333,-3.0079,9.3519
1901.6667,-3.4721,9.3394
1901.5,-3.5621,9.3454
1901.3333,-3.5769,9.286
1901.1667,-3.5394,9.326
1901,-3.5114,9.3366
1900.8333,-3.4866,9.3151
1900.6667,-3.4814,9.286
1900.5,-3.5157,9.2863
1900.3333,-3.55,9.288
1900.1667,-3.466,9.2976
1900,-3.3651,9.2968
1899.8333,-3.2305,9.2831
1899.6667,-3.3479,9.2563
1899.5,-3.6164,9.2671
1899.3333,-3.6033,9.231
1899.1667,-3.537,9.2526
1899,-3.4842,9.2676
1898.8333,-3.6775,9.25
1898.6667,-3.7286,9.233
1898.5,-3.6943,9.2353
1898.3333,-3.7239,9.208
1898.1667,-3.565,9.2872
1898,-3.337,9.312
1897.8333,-3.3493,9.2763
1897.6667,-3.4271,9.2857
1897.5,-3.2771,9.2874
1897.3333,-3.3348,9.268
1897.1667,-3.433,9.2908
1897,-3.511,9.3024
1896.8333,-3.565,9.3073
1896.6667,-3.595,9.2939
1896.5,-3.6133,9.282
1896.3333,-3.5733,9.258
1896.1667,-3.549,9.2754
1896,-3.603,9.3134
1895.8333,-3.6286,9.3046
1895.6667,-3.6257,9.2617
1895.5,-3.6229,9.2407
1895.3333,-3.62,9.227
1895.1667,-3.766,9.2542
1895,-3.394,9.325
1894.8333,-3.405,9.289
1894.6667,-3.49,9.338
1894.5,-3.605,9.294
1894.3333,-3.6067,9.291
1894.1667,-3.457,9.3028
1894,-3.3753,9.326
1893.8333,-3.3375,9.3456
1893.6667,-3.49,9.3366
1893.5,-3.5357,9.342
1893.3333,-3.35,9.325
1893.1667,-3.358,9.3434
1893,-3.366,9.3654
1892.8333,-3.5586,9.357
1892.6667,-3.6507,9.31
1892.5,-3.6236,9.3293
1892.3333,-4.0555,9.206
1892.1667,-3.9471,9.3076
1892,-3.7682,9.369
1891.8333,-3.5659,9.3627
1891.6667,-3.415,9.3179
1891.5,-3.295,9.3073
1891.3333,-3.2683,9.3
1891.1667,-3.269,9.382
1891,-3.3005,9.397
1890.8333,-3.3842,9.4217
1890.6667,-3.5071,9.2931
1890.5,-3.7086,9.0984
1890.3333,-3.91,8.993
1890.1667,-3.748,9.3138
1890,-3.604,9.2998
1889.8333,-3.4571,9.3941
1889.6667,-3.4514,9.4334
1889.5,-3.4329,9.384
1889.3333,-3.41,9.372
1889.1667,-3.278,9.3936
1889,-3.146,9.4062
1888.8333,-3.2664,9.408
1888.6667,-3.24,9.4013
1888.5,-3.3586,9.3737
1888.3333,-3.5214,9.363
1888.1667,-3.5763,9.3694
1888,-3.4806,9.3992
1887.8333,-3.3347,9.4169
1887.6667,-3.3657,9.4067
1887.5,-3.5029,9.4244
1887.3333,-3.6133,9.305
1887.1667,-3.623,9.3438
1887,-3.5117,9.3774
1886.8333,-3.685,9.375
1886.6667,-3.7036,9.3094
1886.5,-3.6293,9.2931
1886.3333,-3.6968,9.073
1886.1667,-3.746,9.2094
1886,-3.602,9.2766
1885.8333,-3.5762,9.2859
1885.6667,-3.6688,9.2756
1885.5,-3.7612,9.2653
1885.3333,-3.8538,9.255
1885.1667,-3.68,9.346
1885,-3.365,9.368
1884.8333,-3.32,9.414
1884.6667,-3.42,9.41
1884.5,-3.76,9.379
1884.3333,-3.9562,9.303
1884.1667,-3.768,9.3324
1884,-3.576,9.39
1883.8333,-3.58,9.3479
1883.6667,-3.7493,9.142
1883.5,-3.6421,9.0997
1883.3333,-3.9142,9.052
1883.1667,-3.692,9.3286
1883,-3.424,9.4556
1882.8333,-3.4042,9.485
1882.6667,-3.5686,9.3531
1882.5,-3.7314,9.3654
1882.3333,-3.86,9.257
1882.1667,-3.8176,9.3322
1882,-3.7753,9.4074
1881.8333,-3.7329,9.4433
1881.6667,-3.6906,9.4399
1881.5,-3.6642,9.4257
1881.3333,-3.6432,9.408
1881.1667,-3.546,9.4372
1881,-3.3717,9.5428
1880.8333,-3.5453,9.4963
1880.6667,-3.42,9.4981
1880.5,-3.4429,9.3113
1880.3333,-3.8,9.077
1880.1667,-3.43,9.407
1880,-3.64,9.451
1879.8333,-3.5,9.359
