dD (permil),year (AD)
-202.2258,1446
-201.4699,1445
-203.0381,1444
-205.3185,1443
-207.668,1442
-210.4199,1441
-212.9384,1440
-216.5129,1439
-219.4717,1438
-221.4366,1437
-222.7501,1436
-224.7338,1435
-227.8926,1434
-228.7864,1433
-225.1496,1432
-226.4678,1431
-230.1028,1430
-229.12,1429
-230.4877,1428
-232.0955,1427
-232.2175,1426
-232.9511,1425
-235.5144,1424
-236.6146,1423
-237.0508,1422
-234.2681,1421
-232.5106,1420
-229.1237,1419
-225.8722,1418
-224.2196,1417
-220.983,1416
-219.0483,1415
-211.6311,1414
-209.1252,1413
-206.1617,1412
-208.1891,1411
-218.9552,1410
-219.9298,1409
-218.1093,1408
-218.3241,1407
-218.8493,1406
-221.1984,1405
-224.0949,1404
-227.6449,1403
-231.7977,1402
-235.1571,1401
-236.2768,1400
-235.0121,1399
-232.5307,1398
-229.2846,1397
-225.3257,1396
-222.6125,1395
-223.0209,1394
-224.4934,1393
-225.082,1392
-227.6039,1391
-232.6723,1390
-234.8004,1389
-236.3057,1388
-236.3682,1387
-238.6423,1386
-237.4647,1385
-233.8652,1384
-230.3795,1383
-224.623,1382
-219.24,1381
-215.9844,1380
-212.9537,1379
-212.879,1378
-213.0725,1377
-214.4834,1376
-215.5278,1375
-215.3554,1374
-215.6189,1373
-215.8083,1372
-218.0782,1371
-223.0295,1370
-231.0185,1369
-234.7679,1368
-239.4455,1367
-242.606,1366
-243.6333,1365
-243.0184,1364
-243.134,1363
-242.3275,1362
-241.5236,1361
-239.894,1360
-238.2908,1359
-237.2694,1358
-234.1447,1357
-229.9939,1356
-227.826,1355
-224.6537,1354
-222.8831,1353
-222.0695,1352
-222.3256,1351
-222.2548,1350
-222.515,1349
-224.1607,1348
-224.8217,1347
-226.6921,1346
-228.5269,1345
-231.6187,1344
-233.0986,1343
-234.9434,1342
-236.414,1341
-240.1864,1340
-244.6372,1339
-247.0295,1338
-250.334,1337
-251.394,1336
-251.5124,1335
-250.8655,1334
-245.6922,1333
-242.8981,1332
-242.3322,1331
-241.0199,1330
-238.975,1329
-238.0904,1328
-238.0824,1327
-238.3047,1326
-240.2652,1325
-241.6985,1324
-245.7349,1323
-250.0112,1322
-255.6746,1321
-256.6873,1320
-255.5419,1319
-253.8905,1318
-249.8534,1317
-243.7122,1316
-241.3095,1315
-238.4278,1314
-234.9046,1313
-228.449,1312
-224.2574,1311
-228.3204,1310
-236.1265,1309
-246.8358,1308
-248.1398,1307
-248.3149,1306
-246.1764,1305
-239.7391,1304
-238.8294,1303
-240.5686,1302
-240.4461,1301
-247.2687,1300
-250.7259,1299
-250.8154,1298
-250.6523,1297
-251.4253,1296
-251.8062,1295
-252.0138,1294
-252.4914,1293
-252.9731,1292
-252.8233,1291
-251.8791,1290
-248.9211,1289
-226.2045,1288
-218.0557,1287
-219.2285,1286
-219.282,1285
-222.605,1284
-224.8928,1283
-215.6146,1282
-215.3275,1281
-211.6515,1280
-199.7066,1279
-204.4149,1278
-206.2439,1277
-198.118,1276
-197.6773,1275
-197.3834,1274
-197.6215,1273
-200.1246,1272
-204.3814,1271
-209.3558,1270
-211.1454,1269
-211.8459,1268
-212.0308,1267
-211.832,1266
-211.6547,1265
-211.6894,1264
-210.8817,1263
-213.2009,1262
-215.1554,1261
-217.1784,1260
-221.1819,1259
-225.8643,1258
-228.3067,1257
-229.1955,1256
-228.3068,1255
-226.1365,1254
-220.354,1253
-211.4009,1252
-212.5787,1251
-213.9018,1250
-215.066,1249
-215.138,1248
-214.9694,1247
-214.7927,1246
-212.5761,1245
-209.1635,1244
-207.0524,1243
-205.7435,1242
-216.1203,1241
-220.2267,1240
-228.531,1239
-237.9623,1238
-236.5701,1237
-232.4186,1236
-225.9897,1235
-220.12,1234
-212.4087,1233
-205.7862,1232
-202.1218,1231
-204.881,1230
-212.6663,1229
-220.8819,1228
-226.0755,1227
-226.7771,1226
-223.5544,1225
-220.3086,1224
-218.2133,1223
-217.7325,1222
-218.4875,1221
-218.5735,1220
-217.7542,1219
-216.3371,1218
-215.2125,1217
-214.6623,1216
-215.2037,1215
-217.4334,1214
-221.3599,1213
-225.347,1212
-231.4439,1211
-235.6261,1210
-237.9985,1209
-237.5594,1208
-236.827,1207
-234.876,1206
-232.3051,1205
-230.3292,1204
-228.1808,1203
-226.3651,1202
-224.0193,1201
-219.5543,1200
-216.1022,1199
-215.6047,1198
-218.0208,1197
-223.9924,1196
-229.8568,1195
-235.6027,1194
-237.6847,1193
-235.2925,1192
-230.6964,1191
-226.1378,1190
-223.3593,1189
-222.6876,1188
-223.1503,1187
-224.1331,1186
-226.387,1185
-229.2353,1184
-231.46,1183
-232.6189,1182
-231.8651,1181
-230.7593,1180
-229.4458,1179
-226.8819,1178
-223.3513,1177
-219.0148,1176
-214.9349,1175
-212.9138,1174
-213.4631,1173
-217.0676,1172
-222.3032,1171
-226.2688,1170
-225.9999,1169
-220.4521,1168
-214.0632,1167
-209.3589,1166
-211.2194,1165
-212.7745,1164
-211.8671,1163
-210.2414,1162
-208.3734,1161
-206.9001,1160
-207.265,1159
-208.9691,1158
-212.6234,1157
-214.289,1156
-213.254,1155
-210.6774,1154
-209.1189,1153
-210.828,1152
-213.2519,1151
-216.8834,1150
-214.9832,1149
-210.8017,1148
-203.7141,1147
-204.7515,1146
-208.9474,1145
-212.8352,1144
-215.6103,1143
-217.6962,1142
-219.9306,1141
-222.1903,1140
