year (AD),d18O (permill vpdb),year (AD) [1-2],d18O (permill vpdb) [1-2]
NA,NA,1956.61,-5.59988
NA,NA,1956.44,-5.84942
NA,NA,1956.27,-6.17493
NA,NA,1956.11,-6.31491
NA,NA,1955.94,-5.91074
NA,NA,1955.78,-5.60588
NA,NA,1955.61,-5.45843
NA,NA,1955.44,-5.75307
NA,NA,1955.28,-6.35613
NA,NA,1955.11,-6.09445
NA,NA,1954.94,-5.72896
NA,NA,1954.78,-5.46437
NA,NA,1954.61,-5.38821
NA,NA,1954.44,-5.72038
NA,NA,1954.28,-6.36859
NA,NA,1954.11,-6.2978
NA,NA,1953.94,-5.90304
NA,NA,1953.78,-5.56562
NA,NA,1953.61,-5.4545
NA,NA,1953.44,-5.50699
NA,NA,1953.28,-5.98641
NA,NA,1953.11,-5.94397
NA,NA,1952.94,-5.58236
NA,NA,1952.78,-5.45689
NA,NA,1952.61,-5.58108
NA,NA,1952.44,-5.9694
NA,NA,1952.28,-6.21107
NA,NA,1952.11,-5.9928
NA,NA,1951.94,-5.62985
NA,NA,1951.78,-5.44382
NA,NA,1951.61,-5.36407
NA,NA,1951.44,-5.89428
NA,NA,1951.28,-5.86424
NA,NA,1951.11,-5.9155
NA,NA,1949.94,-5.59384
NA,NA,1949.78,-5.38971
NA,NA,1949.61,-5.23807
NA,NA,1949.44,-5.417
NA,NA,1949.28,-5.68416
NA,NA,1949.11,-5.93084
NA,NA,1948.94,-5.64696
NA,NA,1948.78,-5.3088
NA,NA,1948.61,-5.327
NA,NA,1948.44,-5.48893
NA,NA,1948.28,-5.84716
NA,NA,1948.11,-6.07503
NA,NA,1947.94,-5.62193
NA,NA,1947.78,-5.45931
NA,NA,1947.61,-5.32253
NA,NA,1947.44,-5.4354
NA,NA,1947.28,-5.76516
NA,NA,1947.11,-6.00002
NA,NA,1946.94,-5.90428
NA,NA,1946.78,-5.59905
NA,NA,1946.61,-5.27956
NA,NA,1946.44,-5.29785
NA,NA,1946.28,-5.57271
NA,NA,1946.11,-5.91989
NA,NA,1945.94,-5.69705
NA,NA,1945.78,-5.52474
NA,NA,1945.61,-5.50181
NA,NA,1945.44,-5.72831
NA,NA,1945.28,-6.01118
NA,NA,1945.11,-5.81197
NA,NA,1944.94,-5.58878
NA,NA,1944.78,-5.40824
NA,NA,1944.61,-5.34502
NA,NA,1944.44,-5.56836
NA,NA,1944.28,-5.99312
NA,NA,1944.11,-5.74959
NA,NA,1943.94,-5.70027
NA,NA,1943.78,-5.49574
NA,NA,1943.61,-5.28429
NA,NA,1943.44,-5.45014
NA,NA,1943.28,-5.83447
NA,NA,1943.11,-5.75936
NA,NA,1942.94,-5.46123
NA,NA,1942.78,-5.27869
NA,NA,1942.61,-5.25066
NA,NA,1942.44,-5.44304
NA,NA,1942.28,-5.68624
NA,NA,1942.11,-5.86546
NA,NA,1941.94,-5.3981
NA,NA,1941.78,-5.0955
NA,NA,1941.61,-5.0879
NA,NA,1941.44,-5.38824
NA,NA,1941.28,-5.88349
NA,NA,1941.11,-5.80017
NA,NA,1940.94,-5.47335
NA,NA,1940.78,-5.16409
NA,NA,1940.61,-5.09232
NA,NA,1940.44,-5.30551
NA,NA,1940.28,-5.72268
NA,NA,1940.11,-5.66966
NA,NA,1939.94,-5.34874
NA,NA,1939.78,-5.27348
NA,NA,1939.61,-5.15666
NA,NA,1939.44,-5.23598
NA,NA,1939.28,-5.31616
NA,NA,1939.11,-5.38028
NA,NA,1938.94,-5.21799
NA,NA,1938.78,-5.11874
NA,NA,1938.61,-5.31072
NA,NA,1938.44,-5.5866
NA,NA,1938.28,-5.86247
NA,NA,1938.11,-6.0373
NA,NA,1937.94,-5.47039
NA,NA,1937.78,-5.16329
NA,NA,1937.61,-5.11083
NA,NA,1937.44,-5.08759
NA,NA,1937.28,-5.39974
NA,NA,1937.11,-5.77391
NA,NA,1936.94,-5.67187
NA,NA,1936.78,-5.3592
NA,NA,1936.61,-5.09422
NA,NA,1936.44,-5.14986
NA,NA,1936.28,-5.38254
NA,NA,1936.11,-5.82756
NA,NA,1935.94,-5.57162
NA,NA,1935.78,-5.28089
NA,NA,1935.61,-5.20597
NA,NA,1935.44,-5.34688
NA,NA,1935.28,-5.6118
NA,NA,1935.11,-5.84285
NA,NA,1934.94,-5.61998
NA,NA,1934.78,-5.33046
NA,NA,1934.61,-5.258
NA,NA,1934.44,-5.36883
NA,NA,1934.28,-5.61893
NA,NA,1934.11,-5.87593
NA,NA,1933.94,-5.47393
NA,NA,1933.78,-5.25214
NA,NA,1933.61,-5.14546
NA,NA,1933.44,-5.13909
NA,NA,1933.28,-5.4139
NA,NA,1933.11,-5.78598
NA,NA,1932.94,-5.5453
NA,NA,1932.78,-5.20931
NA,NA,1932.61,-5.00515
NA,NA,1932.44,-5.03932
NA,NA,1932.28,-5.3201
NA,NA,1932.11,-5.76776
NA,NA,1931.94,-5.36707
NA,NA,1931.78,-4.88051
NA,NA,1931.61,-4.69934
NA,NA,1931.44,-4.97861
NA,NA,1931.28,-5.19435
NA,NA,1931.11,-5.6618
NA,NA,1930.94,-5.56514
NA,NA,1930.78,-5.39072
NA,NA,1930.61,-5.14955
NA,NA,1930.44,-5.18675
NA,NA,1930.28,-5.56543
NA,NA,1930.11,-6.02702
NA,NA,1929.94,-5.9024
NA,NA,1929.78,-5.73417
NA,NA,1929.61,-5.56595
NA,NA,1929.44,-5.58431
NA,NA,1929.28,-5.89324
NA,NA,1929.11,-6.15581
NA,NA,1928.94,-5.62794
NA,NA,1928.78,-5.68713
NA,NA,1928.61,-5.39503
NA,NA,1928.44,-5.55021
NA,NA,1928.28,-6.24531
NA,NA,1928.11,-6.12463
NA,NA,1927.94,-5.66671
NA,NA,1927.78,-5.33315
NA,NA,1927.61,-5.21883
NA,NA,1927.44,-5.45422
NA,NA,1927.28,-5.80412
NA,NA,1927.11,-6.19266
NA,NA,1926.95,-5.8954
