year (AD),temperature (degC),d18O (permil) [1-2],year (AD) [1-2],temperature (degC) [1-2],depth (cm) [1-2],Mg_Ca (mmol/mol) [1-2],d18O (permil) [1-2]
NA,NA,1.072583333,-11402,28.81,783,5.08,-1.762
NA,NA,0.6907083333,-11583,28.249,787,4.83,-2.027
NA,NA,0.77425,-11764,28.722,791,5.04,-2.042
NA,NA,0.7562916667,-11945,28.919,795,5.13,-2.101
NA,NA,0.680125,-12126,28.203,799,4.81,-2.028
NA,NA,0.8665833333,-12747,28.522,803,4.95,-1.908
NA,NA,1.052375,-12856,27.993,807,4.72,-1.612
NA,NA,1.094666667,-12964,27.188,811,4.39,-1.402
NA,NA,NA,-12964,27.634,811,4.57,NA
NA,NA,1.018208333,-13073,26.749,815,4.22,-1.387
NA,NA,1.166583333,-13181,27.61,819,4.56,-1.418
NA,NA,1.204541667,-13289,27.413,823,4.48,-1.339
NA,NA,1.38325,-13398,28.386,827,4.89,-1.363
NA,NA,0.9554583333,-13506,27.163,831,4.38,-1.536
NA,NA,1.255833333,-13614,27.112,835,4.36,-1.225
NA,NA,0.8407916667,-13723,26.483,839,4.12,-1.509
NA,NA,1.052666667,-13831,26.828,843,4.25,-1.369
NA,NA,1.158125,-13940,26.643,847,4.18,-1.225
NA,NA,0.9672083333,-14048,26.749,851,4.22,-1.438
NA,NA,0.9554166667,-14156,26.51,855,4.13,-1.4
NA,NA,0.8563333333,-14265,27.364,859,4.46,-1.677
NA,NA,1.155,-14319,26.292,861,4.05,-1.155
NA,NA,1.208208333,-14373,26.749,863,4.22,-1.197
NA,NA,0.906375,-14481,26.265,867,4.04,-1.398
NA,NA,0.8084166667,-14590,26.51,871,4.13,-1.547
NA,NA,1.069083333,-14698,26.014,875,3.95,-1.183
NA,NA,1.671333333,-14806,26.932,879,4.29,-0.772
NA,NA,1.153833333,-14915,26.536,883,4.14,-1.207
NA,NA,1.169958333,-15023,26.071,887,3.97,-1.094
NA,NA,0.7264583333,-15132,25.555,891,3.79,-1.43
NA,NA,0.9674166667,-15240,26.126,895,3.99,-1.308
NA,NA,0.8585416667,-15348,25.901,899,3.91,-1.37
NA,NA,1.097083333,-15457,26.182,903,4.01,-1.19
NA,NA,1.358166667,-15565,26.456,907,4.11,-0.986
NA,NA,1.195125,-15673,26.043,911,3.96,-1.063
NA,NA,1.250083333,-15673,26.182,911,4.01,-1.037
NA,NA,NA,-15782,26.51,915,4.13,NA
NA,NA,1.220458333,-15890,26.347,919,4.07,-1.101
NA,NA,1.122833333,-15999,26.32,923,4.06,-1.193
NA,NA,0.940125,-16107,26.643,927,4.18,-1.443
NA,NA,1.153916667,-16215,26.21,931,4.02,-1.139
NA,NA,1.258708333,-16324,26.401,935,4.09,-1.074
NA,NA,1.221166667,-16432,26.456,939,4.11,-1.123
NA,NA,1.036541667,-16540,26.237,943,4.03,-1.262
NA,NA,0.913875,-16649,25.701,947,3.84,-1.273
NA,NA,1.161833333,-16757,26.32,951,4.06,-1.154
NA,NA,1.053833333,-16865,25.672,955,3.83,-1.127
NA,NA,1.095708333,-16974,26.401,959,4.09,-1.237
NA,NA,1.325791667,-17028,26.723,961,4.21,-1.074
NA,NA,0.84170833329999994,-17082,25.873,963,3.9,-1.381
NA,NA,0.8285833333,-17191,25.378,967,3.73,-1.291
NA,NA,0.9217083333,-17299,25.873,971,3.9,-1.301
NA,NA,NA,-17407,25.555,975,3.79,NA
NA,NA,1.339708333,-17516,26.617,979,4.17,-1.038
NA,NA,1.054125,-17624,26.043,983,3.96,-1.204
NA,NA,NA,-17732,26.483,987,4.12,NA
NA,NA,NA,-17841,26.265,991,4.04,NA
NA,NA,NA,-17949,26.984,995,4.31,NA
NA,NA,1.040333333,-18383,26.932,1011,4.29,-1.403
