d18O (permil),year (AD),d13C (permil)
-4.242,1950.125,-3.06
-3.961,1950.208,-2.358
-4.054,1950.292,-1.55
-4.332,1950.375,-2.297
-4.322,1950.458,-2.529
-4.448,1950.542,-2.608
-4.328,1950.625,-2.814
-4.413,1950.708,-3.252
-4.145,1950.792,-2.806
-4.248,1950.875,-3.044
-4.317,1950.958,-3.192
-4.453,1951.042,-2.886
-4.28,1951.125,-2.681
-4.061,1951.208,-1.758
-4.31,1951.292,-1.562
-4.784,1951.375,-2.658
-4.712,1951.458,-2.36
-4.709,1951.542,-2.274
-4.676,1951.625,-2.252
-4.615,1951.708,-2.503
-4.276,1951.792,-2.386
-4.548,1951.875,-2.851
-4.567,1951.958,-2.69
-4.366,1952.042,-2.619
-4.571,1952.125,-2.746
-4.609,1952.208,-2.974
-4.49,1952.292,-2.016
-4.43,1952.375,-1.923
-4.565,1952.458,-2.444
-4.513,1952.542,-2.138
-4.523,1952.625,-2.119
-4.381,1952.708,-2.695
-4.329,1952.792,-2.731
-4.353,1952.875,-2.605
-4.401,1952.958,-2.817
-4.438,1953.042,-2.797
-4.488,1953.125,-2.799
-4.327,1953.208,-2.411
-4.25,1953.292,-1.393
-4.641,1953.375,-2.106
-4.579,1953.458,-2.563
-4.656,1953.542,-2.121
-4.539,1953.625,-2.37
-4.525,1953.708,-2.556
-4.404,1953.792,-2.669
-4.485,1953.875,-2.588
-4.373,1953.958,-2.684
-4.437,1954.042,-2.775
-4.471,1954.125,-3.066
-4.372,1954.208,-2.836
-4.513,1954.292,-1.552
-4.47,1954.375,-2.56
-4.357,1954.458,-2.61
-4.429,1954.542,-2.265
-4.35,1954.625,-2.314
-4.361,1954.708,-2.543
-4.195,1954.792,-2.817
-4.191,1954.875,-2.74
-4.19,1954.958,-2.704
-4.321,1955.042,-2.972
-4.301,1955.125,-2.893
-4.274,1955.208,-2.209
-4.247,1955.292,-1.528
-4.438,1955.375,-2.684
-4.394,1955.458,-2.596
-4.38,1955.542,-2.355
-4.242,1955.625,-2.482
-4.141,1955.708,-2.616
-4.174,1955.792,-2.499
-4.239,1955.875,-2.39
-4.366,1955.958,-2.436
-4.402,1956.042,-2.45
-4.353,1956.125,-2.365
-4.497,1956.208,-1.957
-4.619,1956.292,-1.625
-4.7,1956.375,-1.99
-4.644,1956.458,-1.796
-4.631,1956.542,-1.785
-4.58,1956.625,-2.177
-4.526,1956.708,-2.095
-4.427,1956.792,-1.878
-4.41,1956.875,-2.184
-4.395,1956.958,-2.405
-4.505,1957.042,-2.419
-4.518,1957.125,-2.207
-4.407,1957.208,-1.812
-4.075,1957.292,-0.559
-4.609,1957.375,-1.523
-4.515,1957.458,-1.146
-4.564,1957.542,-1.461
-4.682,1957.625,-1.603
-4.669,1957.708,-1.569
-4.801,1957.792,-1.786
-4.77,1957.875,-1.825
-4.722,1957.958,-2.081
-4.72,1958.042,-2.097
-4.609,1958.125,-1.528
-4.664,1958.208,-1.869
-4.598,1958.292,-1.331
-4.561,1958.375,-1.643
-4.508,1958.458,-1.72
-4.568,1958.542,-2.099
-4.586,1958.625,-2.046
-4.524,1958.708,-2.036
-4.521,1958.792,-2.163
-4.554,1958.875,-2.248
-4.439,1958.958,-1.651
-4.5,1959.042,-2.274
-4.629,1959.125,-2.517
-4.335,1959.208,-1.338
-4.225,1959.292,-0.541
-4.466,1959.375,-1.39
-4.662,1959.458,-1.699
-4.613,1959.542,-2.007
-4.731,1959.625,-1.981
-4.596,1959.708,-2.147
-4.537,1959.792,-2.285
-4.417,1959.875,-2.501
-4.403,1959.958,-2.513
-4.321,1960.042,-2.297
-4.412,1960.125,-2.267
-4.092,1960.208,-1.3
-3.937,1960.292,-0.03
-4.465,1960.375,-1.816
-4.51,1960.458,-1.951
-4.471,1960.542,-2.022
-4.486,1960.625,-2.106
-4.414,1960.708,-2.044
-4.386,1960.792,-1.663
-4.398,1960.875,-2.093
-4.341,1960.958,-2.216
-4.465,1961.042,-2.363
-4.442,1961.125,-2.139
-4.015,1961.208,-0.769
-4.137,1961.292,-0.631
-4.475,1961.375,-1.581
-4.456,1961.458,-1.58
-4.397,1961.542,-1.711
-4.477,1961.625,-1.985
-4.432,1961.708,-2.193
-4.299,1961.792,-2.313
-4.298,1961.875,-2.292
-4.371,1961.958,-2.655
-4.548,1962.042,-2.363
-4.415,1962.125,-2.34
-4.361,1962.208,-2.395
-4.357,1962.292,-1.386
-4.476,1962.375,-1.843
-4.594,1962.458,-1.822
-4.448,1962.542,-1.915
-4.335,1962.625,-2.131
-4.33,1962.708,-2.128
-4.403,1962.792,-2.352
-4.392,1962.875,-2.381
-4.33,1962.958,-2.161
-4.42,1963.042,-2.319
-4.424,1963.125,-2.169
-4.322,1963.208,-1.745
-3.956,1963.292,-0.331
-4.409,1963.375,-1.066
-4.661,1963.458,-2.274
-4.667,1963.542,-2.187
-4.625,1963.625,-2.018
-4.686,1963.708,-1.961
-4.64,1963.792,-2.274
-4.644,1963.875,-2.342
-4.543,1963.958,-2.458
-4.498,1964.042,-2.527
-4.452,1964.125,-2.558
-4.497,1964.208,-2.331
-4.509,1964.292,-2.344
-4.46,1964.375,-2.097
-4.392,1964.458,-2.228
-4.422,1964.542,-2.117
-4.371,1964.625,-2.066
-4.274,1964.708,-1.913
-4.22,1964.792,-2.048
-4.222,1964.875,-2.14
-4.297,1964.958,-2.281
-4.209,1965.042,-2.136
-4.08,1965.125,-1.346
-4.035,1965.208,-0.979
-4.145,1965.292,-0.774
-4.537,1965.375,-1.433
-4.722,1965.458,-2.195
-4.793,1965.542,-2.205
-4.768,1965.625,-2.039
-4.702,1965.708,-2.141
-4.699,1965.792,-2.263
-4.513,1965.875,-2.25
-4.581,1965.958,-2.264
-4.434,1966.042,-2.036
-4.575,1966.125,-2.216
-4.402,1966.208,-1.905
-4.038,1966.292,-0.988
-4.363,1966.375,-1.71
-4.373,1966.458,-1.609
-4.316,1966.542,-1.777
-4.395,1966.625,-1.911
-4.364,1966.708,-1.759
-4.282,1966.792,-2.074
-4.16,1966.875,-2.057
-4.228,1966.958,-2.332
-4.244,1967.042,-2.406
-4.191,1967.125,-2.256
-3.961,1967.208,-1.395
-3.949,1967.292,-0.689
-4.338,1967.375,-1.807
-4.463,1967.458,-1.601
-4.47,1967.542,-1.698
-4.562,1967.625,-1.945
-4.514,1967.708,-2.069
-4.382,1967.792,-2.403
-4.306,1967.875,-2.383
-4.283,1967.958,-2.324
-4.318,1968.042,-2.576
-4.271,1968.125,-2.205
-4.016,1968.208,-1.823
-3.987,1968.292,-1.03
-4.34,1968.375,-1.495
-4.563,1968.458,-1.808
-4.6,1968.542,-1.755
-4.578,1968.625,-1.912
-4.608,1968.708,-1.913
-4.631,1968.792,-2.212
-4.706,1968.875,-2.222
-4.584,1968.958,-2.409
-4.634,1969.042,-2.483
-4.593,1969.125,-2.524
-4.558,1969.208,-2.179
-4.075,1969.292,-0.865
-4.472,1969.375,-2.341
-4.576,1969.458,-2.244
-4.598,1969.542,-2.138
-4.631,1969.625,-2.097
-4.591,1969.708,-2.386
-4.61,1969.792,-2.43
-4.59,1969.875,-2.711
-4.442,1969.958,-2.234
-4.596,1970.042,-2.3
-4.543,1970.125,-2.788
-4.494,1970.208,-2.497
-4.152,1970.292,-1.807
-4.458,1970.375,-2.816
-4.289,1970.458,-2.468
-4.286,1970.542,-2.564
-4.169,1970.625,-2.535
-4.185,1970.708,-2.88
-4.263,1970.792,-2.779
-4.118,1970.875,-2.511
-4.145,1970.958,-2.71
-4.193,1971.042,-2.739
-4.245,1971.125,-2.907
-4.013,1971.208,-2.177
-4,1971.292,-1.366
-4.335,1971.375,-2.108
-4.407,1971.458,-2.218
-4.479,1971.542,-2.704
-4.29,1971.625,-2.496
-4.347,1971.708,-2.845
-4.326,1971.792,-2.955
-4.395,1971.875,-2.78
-4.361,1971.958,-2.798
-4.351,1972.042,-2.799
-4.241,1972.125,-2.339
-4.18,1972.208,-2.229
-4.181,1972.292,-1.214
-4.695,1972.375,-2.24
-4.734,1972.458,-2.421
-4.704,1972.542,-2.552
-4.909,1972.625,-2.349
-5.06,1972.708,-2.527
-5.029,1972.792,-2.872
-4.835,1972.875,-2.625
-4.796,1972.958,-2.775
-4.617,1973.042,-2.654
-4.371,1973.125,-2.603
-4.483,1973.208,-2.456
-4.544,1973.292,-2.407
-4.404,1973.375,-2.66
-4.204,1973.458,-2.937
-4.308,1973.542,-2.852
-4.137,1973.625,-2.631
-4.039,1973.708,-2.312
-4.085,1973.792,-2.499
-4.072,1973.875,-2.582
-4.113,1973.958,-2.587
-4.228,1974.042,-2.229
-4.092,1974.125,-2.031
-4.138,1974.208,-2.253
-3.991,1974.292,-1.517
-4.134,1974.375,-1.474
-4.433,1974.458,-2.186
-4.374,1974.542,-2.036
-4.425,1974.625,-2.412
-4.453,1974.708,-2.565
-4.413,1974.792,-2.573
-4.357,1974.875,-2.613
-4.278,1974.958,-2.508
-4.375,1975.042,-2.615
-4.295,1975.125,-2.463
-4.021,1975.208,-1.871
-3.761,1975.292,-1.085
-3.977,1975.375,-1.521
-4.285,1975.458,-2.105
-4.205,1975.542,-2.07
-4.232,1975.625,-2.335
-4.283,1975.708,-2.733
-4.282,1975.792,-2.967
-4.263,1975.875,-3.022
-4.275,1975.958,-2.821
-4.264,1976.042,-2.738
-4.309,1976.125,-2.93
-4.26,1976.208,-2.553
-3.917,1976.292,-1.029
-4.59,1976.375,-2.196
-4.69,1976.458,-2.852
-4.651,1976.542,-2.456
-4.664,1976.625,-2.46
-4.723,1976.708,-2.708
-4.68,1976.792,-3.041
-4.731,1976.875,-3.237
-4.6,1976.958,-3.126
-4.527,1977.042,-3.18
-4.561,1977.125,-2.734
-4.526,1977.208,-2.577
-4.089,1977.292,-0.461
-4.616,1977.375,-2.319
-4.639,1977.458,-2.281
-4.671,1977.542,-2.222
-4.736,1977.625,-2.459
-4.695,1977.708,-2.638
-4.794,1977.792,-2.582
-4.63,1977.875,-2.766
-4.599,1977.958,-2.971
-4.624,1978.042,-3.035
-4.658,1978.125,-3.181
-4.709,1978.208,-2.798
-4.557,1978.292,-2.769
-4.602,1978.375,-2.72
-4.467,1978.458,-2.427
-4.462,1978.542,-2.471
-4.482,1978.625,-2.661
-4.566,1978.708,-2.572
-4.483,1978.792,-2.813
-4.53,1978.875,-2.829
-4.483,1978.958,-2.593
-4.486,1979.042,-2.507
-4.453,1979.125,-2.793
-4.399,1979.208,-2.908
-3.968,1979.292,-0.846
-4.505,1979.375,-2.021
-4.756,1979.458,-2.438
-4.714,1979.542,-2.417
-4.744,1979.625,-2.816
-4.745,1979.708,-2.76
-4.695,1979.792,-2.661
-4.556,1979.875,-2.796
-4.552,1979.958,-2.719
-4.451,1980.042,-2.482
-4.477,1980.125,-2.562
-4.485,1980.208,-2.529
-3.883,1980.292,-0.432
-4.261,1980.375,-1.494
-4.594,1980.458,-2.334
-4.69,1980.542,-2.23
-4.702,1980.625,-2.249
-4.717,1980.708,-2.441
-4.742,1980.792,-2.846
-4.738,1980.875,-2.857
-4.647,1980.958,-2.872
-4.452,1981.042,-2.658
-4.596,1981.125,-2.491
-4.552,1981.208,-2.361
-4.17,1981.292,-1.062
-4.407,1981.375,-2.092
-4.545,1981.458,-2.433
-4.601,1981.542,-2.297
-4.621,1981.625,-2.526
-4.591,1981.708,-2.423
-4.295,1981.792,-2.409
-4.568,1981.875,-2.315
-4.411,1981.958,-2.877
-4.535,1982.042,-2.891
-4.667,1982.125,-2.86
-4.535,1982.208,-2.242
-4.111,1982.292,-0.632
-4.605,1982.375,-1.706
-4.791,1982.458,-1.685
-4.75,1982.542,-1.33
-4.583,1982.625,-1.621
-4.781,1982.708,-1.747
-5.107,1982.792,-2.1
-5.05,1982.875,-1.666
-5.074,1982.958,-1.842
-5.017,1983.042,-1.969
-5.113,1983.125,-2.36
-5.072,1983.208,-2.083
-5.012,1983.292,-2.154
-4.944,1983.375,-2.326
-4.76,1983.458,-2.34
-4.659,1983.542,-2.227
-4.52,1983.625,-2.42
-4.479,1983.708,-2.5
-4.471,1983.792,-2.717
-4.436,1983.875,-2.768
-4.432,1983.958,-2.505
-4.392,1984.042,-2.305
-4.455,1984.125,-2.602
-4.359,1984.208,-2.225
-3.93,1984.292,-0.596
-4.245,1984.375,-1.16
-4.573,1984.458,-2.104
-4.606,1984.542,-2.449
-4.561,1984.625,-2.824
-4.563,1984.708,-2.929
-4.433,1984.792,-2.697
-4.43,1984.875,-3.143
-4.327,1984.958,-2.658
-4.359,1985.042,-2.608
-4.421,1985.125,-2.596
-4.456,1985.208,-2.357
-4.041,1985.292,-0.856
-4.543,1985.375,-2.019
-4.671,1985.458,-2.461
-4.641,1985.542,-2.399
-4.562,1985.625,-2.4
-4.684,1985.708,-2.453
-4.755,1985.792,-2.711
-4.589,1985.875,-2.953
-4.372,1985.958,-2.761
-4.602,1986.042,-2.991
-4.701,1986.125,-2.504
-4.48,1986.208,-1.803
-4.335,1986.292,-0.981
-4.857,1986.375,-2.028
-5.045,1986.458,-2.252
-5.006,1986.542,-2.45
-4.975,1986.625,-2.373
-4.965,1986.708,-2.293
-4.87,1986.792,-2.582
-4.863,1986.875,-2.746
-4.761,1986.958,-2.869
-4.844,1987.042,-2.345
-4.853,1987.125,-2.482
-4.828,1987.208,-2.591
-4.336,1987.292,-0.279
-4.799,1987.375,-1.82
-4.969,1987.458,-1.89
-5.077,1987.542,-2.574
-5.067,1987.625,-2.953
-4.958,1987.708,-3.023
-5.021,1987.792,-2.834
-4.723,1987.875,-2.968
-4.72,1987.958,-3.349
-4.703,1988.042,-3.183
-4.488,1988.125,-2.13
-4.558,1988.208,-2.305
-4.486,1988.292,-1.958
-4.534,1988.375,-2.499
-4.46,1988.458,-2.242
-4.338,1988.542,-2.7
-4.192,1988.625,-3.056
-4.144,1988.708,-2.872
-4.434,1988.792,-3.153
-4.255,1988.875,-2.739
-4.249,1988.958,-2.813
-4.418,1989.042,-2.948
-4.364,1989.125,-2.707
-4.424,1989.208,-2.388
-4.207,1989.292,-1.16
-4.647,1989.375,-2.147
-4.676,1989.458,-2.486
-4.692,1989.542,-2.462
-4.7,1989.625,-2.784
-4.666,1989.708,-3.048
-4.695,1989.792,-3.038
-4.694,1989.875,-2.731
-4.697,1989.958,-2.861
-4.635,1990.042,-2.541
-4.67,1990.125,-2.743
-4.688,1990.208,-2.003
-4.627,1990.292,-1.664
-4.898,1990.375,-2.556
-4.872,1990.458,-2.378
-4.885,1990.542,-2.199
-4.881,1990.625,-2.33
-4.811,1990.708,-2.645
-4.739,1990.792,-2.594
-4.795,1990.875,-2.692
-4.773,1990.958,-2.653
-4.794,1991.042,-2.545
-4.84,1991.125,-2.46
-4.728,1991.208,-2.383
-4.434,1991.292,-0.982
-5,1991.375,-2.657
-4.97,1991.458,-2.607
-4.963,1991.542,-2.571
-4.911,1991.625,-2.297
-5.106,1991.708,-2.255
-5.113,1991.792,-2.762
-5.114,1991.875,-2.83
-5.139,1991.958,-2.352
-5.094,1992.042,-2.661
-5.099,1992.125,-2.528
-4.981,1992.208,-2.726
-5.017,1992.292,-2.182
-4.808,1992.375,-2.605
-4.806,1992.458,-2.9
-4.778,1992.542,-2.958
-4.717,1992.625,-2.923
-4.795,1992.708,-3.01
-4.847,1992.792,-3.125
-4.717,1992.875,-2.785
-4.663,1992.958,-2.793
-4.734,1993.042,-2.924
-4.857,1993.125,-2.855
-4.891,1993.208,-2.863
-4.678,1993.292,-1.915
-5.164,1993.375,-3.627
-5.079,1993.458,-3.487
-4.928,1993.542,-3.176
-5.088,1993.625,-3.158
