deuteriumExcess (permil),year (AD),depth (m)
10.61,1471.172,112.2
10.1,1468.203,112.75
10.99,1465.327,113.3
12.65,1462.481,113.85
12.29,1459.708,114.4
9.75,1456.969,114.95
12.73,1454.189,115.5
10.94,1451.365,116.05
10.9,1448.507,116.6
11.47,1445.571,117.15
11.3,1442.686,117.7
10.1,1439.85,118.25
11.51,1437.024,118.8
10.02,1434.197,119.35
10.62,1431.368,119.9
9.92,1428.474,120.45
11.34,1425.492,121
8,1422.427,121.55
10.57,1419.353,122.1
11.11,1416.25,122.65
9.72,1413.18,123.2
9.65,1410.185,123.75
11.11,1407.258,124.3
8.13,1404.413,124.85
9.98,1401.567,125.4
10.83,1398.686,125.95
8.59,1395.788,126.5
10.34,1392.856,127.05
8.89,1389.882,127.6
9.86,1386.91,128.15
12.33,1384.008,128.7
9.2,1381.084,129.25
10.21,1378.167,129.8
9.75,1375.268,130.35
10.46,1372.415,130.9
9.63,1369.576,131.45
10.9,1366.721,132
11.9,1363.911,132.55
9.9,1361.067,133.1
11.86,1358.158,133.65
9,1355.176,134.2
9.96,1352.292,134.75
10.18,1349.368,135.3
10.14,1346.441,135.85
8.86,1343.567,136.4
10.32,1340.711,136.95
10.47,1337.712,137.5
11.08,1334.67,138.05
10.86,1331.57,138.6
10.61,1328.464,139.15
10.9,1325.407,139.7
10.5,1322.427,140.25
11.14,1319.534,140.8
10.66,1316.663,141.35
9.6,1313.818,141.9
9.59,1310.919,142.45
9.99,1307.953,143
8.97,1304.898,143.55
9.82,1301.891,144.1
9.75,1298.861,144.65
10.64,1295.895,145.2
10.23,1293.032,145.75
10.1,1290.17,146.3
8.88,1287.191,146.85
10.3,1284.09,147.4
10.24,1280.8,147.95
11.69,1277.408,148.5
9.95,1274.019,149.05
11,1270.735,149.6
10.15,1267.497,150.15
9.68,1264.398,150.7
9.79,1261.365,151.25
9.74,1258.39,151.8
12.91,1255.417,152.35
9.95,1252.542,152.9
11.4,1249.672,153.45
12.21,1246.754,154
10.32,1243.754,154.55
11.01,1240.8,155.1
10.74,1237.8,155.65
9.95,1234.774,156.2
10.31,1231.8,156.75
11.06,1228.89,157.3
10.62,1225.971,157.85
10.3,1222.983,158.4
9.78,1220.005,158.95
9.87,1216.91,159.5
10.65,1213.828,160.05
11.12,1210.692,160.6
9.67,1207.553,161.15
10.02,1204.399,161.7
10.52,1201.344,162.25
10.52,1198.21,162.8
11,1195.057,163.35
9.85,1191.961,163.9
11.05,1188.919,164.45
11.42,1185.832,165
11.25,1182.767,165.55
11.1,1179.739,166.1
10.83,1176.736,166.65
10.43,1173.695,167.2
10.67,1170.646,167.75
11.55,1167.643,168.3
11.27,1164.605,168.85
9.72,1161.559,169.4
9.38,1158.558,169.95
11.14,1155.605,170.5
10.79,1152.583,171.05
9.94,1149.577,171.6
8.88,1146.541,172.15
10.12,1143.41,172.7
9.65,1140.234,173.25
10.12,1137.124,173.8
9.89,1133.95,174.35
10.88,1130.796,174.9
10.66,1127.71,175.45
10.63,1124.599,176
9.15,1121.512,176.55
10.27,1118.448,177.1
10.13,1115.477,177.65
8.53,1112.385,178.2
10.23,1109.266,178.75
10.91,1106.042,179.3
11.96,1102.869,179.85
10.05,1099.565,180.4
11.22,1096.34,180.95
9.97,1093.267,181.5
8.32,1090.239,182.05
10.3,1087.164,182.6
10.45,1084.07,183.15
9.8,1080.965,183.7
10.34,1077.825,184.25
10.09,1074.793,184.8
10.07,1071.8,185.35
9.5,1068.825,185.9
11,1065.879,186.45
11.4,1062.842,187
10.73,1059.666,187.55
10.01,1056.492,188.1
10.08,1053.363,188.65
9.79,1050.217,189.2
11.06,1047.106,189.75
10.13,1044.057,190.3
9.83,1041.01,190.85
10.74,1037.949,191.4
9.73,1034.887,191.95
11.81,1031.868,192.5
10.93,1028.837,193.05
10.62,1025.782,193.6
10.63,1022.739,194.15
9.02,1019.705,194.7
10.3,1016.676,195.25
9.35,1013.606,195.8
10.82,1010.542,196.35
9.91,1007.421,196.9
10.18,1004.323,197.45
9.4,1001.117,198
10.69,997.957,198.55
11.16,994.835,199.1
11.43,991.692,199.65
8.76,988.534,200.2
9.7,985.402,200.75
10.32,982.24,201.3
10.45,979.007,201.85
10.63,975.858,202.4
9.86,972.584,202.95
10.5,969.356,203.5
8.57,966.153,204.05
10.08,962.942,204.6
10.27,959.726,205.15
9.22,956.639,205.7
9.67,953.624,206.25
10.54,950.633,206.8
11.25,947.67,207.35
9.41,944.65,207.9
10.49,941.61,208.45
10.97,938.52,209
9.83,935.44,209.55
11.24,932.38,210.1
9.16,929.37,210.65
10.17,926.42,211.2
9.86,923.42,211.75
10.19,920.37,212.3
10.82,917.28,212.85
11.33,914.18,213.4
10.67,911.12,213.95
11.82,908.1,214.5
9.54,905.12,215.05
10.86,902.18,215.6
9.69,899.23,216.15
9.58,896.23,216.7
11.82,893.21,217.25
10.87,890.19,217.8
10.6,887.2,218.35
9.06,884.28,218.9
10.51,881.35,219.45
8.61,878.46,220
10.03,875.47,220.55
11.21,872.39,221.1
9.72,869.25,221.65
9.4,866.01,222.2
11.07,862.73,222.75
9.51,859.59,223.3
9.08,856.5,223.85
8.96,853.32,224.4
9.5,850.22,224.95
12.96,847.08,225.5
11.62,843.85,226.05
10.18,840.66,226.6
10.08,837.51,227.15
10.81,834.32,227.7
9.58,831.08,228.25
12.02,827.84,228.8
10.46,824.52,229.35
9.69,821.25,229.9
11.49,817.98,230.45
10.73,814.82,231
11.19,811.75,231.55
11.6,808.69,232.1
11.49,805.62,232.65
9.62,802.53,233.2
10.23,799.34,233.75
11.26,796.09,234.3
9.84,792.82,234.85
10.24,789.52,235.4
10.34,786.34,235.95
10.22,783.14,236.5
11.74,779.96,237.05
10.67,776.82,237.6
10.85,773.64,238.15
12.35,770.42,238.7
10.57,767.36,239.25
10.39,764.33,239.8
10.4,761.3,240.35
9.91,758.2,240.9
8.75,755.12,241.45
10.46,751.91,242
9.95,748.58,242.55
10.57,745.3,243.1
10.57,742.12,243.65
11.47,738.91,244.2
10.21,735.72,244.75
11,732.63,245.3
10.46,729.49,245.85
8.95,726.33,246.4
9.5,723.17,246.95
10.62,720.06,247.5
8.78,716.98,248.05
9.77,713.89,248.6
9.78,710.8,249.15
10.09,707.71,249.7
10.16,704.55,250.25
9.89,701.31,250.8
10.17,698.06,251.35
9.54,694.88,251.9
9.76,691.72,252.45
12.02,688.65,253
9.96,685.52,253.55
10,682.41,254.1
8.76,679.33,254.65
10.89,676.24,255.2
12.18,673.13,255.75
9.8,670.05,256.3
11.53,667,256.85
9.38,663.91,257.4
9.55,660.74,257.95
10.13,657.53,258.5
11.19,654.38,259.05
10.92,651.2,259.6
11.9,648,260.15
10.53,644.83,260.7
10.77,641.66,261.25
9.91,638.48,261.8
11.38,635.31,262.35
10.13,632.17,262.9
11.09,629.02,263.45
10.56,625.82,264
10.06,622.51,264.55
10.43,619.24,265.1
9.1,615.98,265.65
10,612.8,266.2
10.43,609.72,266.75
11.73,606.75,267.3
10.85,603.78,267.85
10.39,600.83,268.4
10.43,597.83,268.95
10.79,594.8,269.5
11.55,591.73,270.05
10.13,588.73,270.6
11.15,585.65,271.15
11.92,582.53,271.7
9.97,579.41,272.25
11.02,576.27,272.8
10.93,573.04,273.35
11.91,569.84,273.9
10.93,566.72,274.45
9.81,563.54,275
10.79,560.39,275.55
10.01,557.23,276.1
11.91,554.11,276.65
10.51,550.95,277.2
9.68,547.78,277.75
10.24,544.65,278.3
11.64,541.5,278.85
10.95,538.34,279.4
10.69,535.19,279.95
8.14,532.03,280.5
9.96,528.86,281.05
9.84,525.71,281.6
11.77,522.52,282.15
10.82,519.37,282.7
9.75,516.26,283.25
10.75,513.03,283.8
10.18,509.83,284.35
11.85,506.71,284.9
11.42,503.61,285.45
11.53,500.54,286
10.79,497.61,286.55
10.73,494.67,287.1
12,491.72,287.65
9.58,488.69,288.2
11.02,485.61,288.75
11.32,482.44,289.3
11.99,479.11,289.85
11.03,475.72,290.4
10.38,472.37,290.95
11.94,469.03,291.5
10.5,465.77,292.05
10.97,462.68,292.6
11.16,459.56,293.15
10.62,456.44,293.7
11.3,453.31,294.25
11.05,450.06,294.8
10.23,446.7,295.35
9.96,443.38,295.9
10.83,440.09,296.45
10.31,436.8,297
10.45,433.49,297.55
11.14,430.18,298.1
11.65,426.81,298.65
9.31,423.41,299.2
10.59,419.96,299.75
12.03,416.54,300.3
9.85,413.14,300.85
12.68,409.93,301.4
10.8,406.69,301.95
11.93,403.52,302.5
10.15,400.37,303.05
12.05,397.27,303.6
10.21,394.09,304.15
11.21,390.94,304.7
10.83,387.74,305.25
11.25,384.48,305.8
10.03,381.18,306.35
11.04,377.84,306.9
10.68,374.47,307.45
10.17,371.09,308
10.77,367.75,308.55
9.56,364.41,309.1
11.27,361.15,309.65
9.23,357.93,310.2
9.63,354.84,310.75
10.5,351.83,311.3
9.18,348.81,311.85
10.52,345.79,312.4
9.74,342.73,312.95
11.59,339.59,313.5
9.87,336.43,314.05
11.29,333.3,314.6
10.42,330.19,315.15
8.99,327.14,315.7
11.73,324.14,316.25
10.54,321.12,316.8
10.51,318.11,317.35
10.05,315.03,317.9
9.17,311.88,318.45
10.83,308.64,319
10.33,305.35,319.55
9.18,301.99,320.1
10.36,298.66,320.65
8.76,295.34,321.2
10.18,292,321.75
9.6,288.67,322.3
11.55,285.27,322.85
10.2,281.83,323.4
10.26,278.4,323.95
9.77,275.05,324.5
12.15,271.69,325.05
10.4,268.42,325.6
10.59,265.14,326.15
10.05,261.85,326.7
11.73,258.49,327.25
10.4,255.19,327.8
8.89,251.94,328.35
10.84,248.65,328.9
10.85,245.45,329.45
8.91,242.27,330
10.64,239.05,330.55
11.97,235.7,331.1
10.23,232.38,331.65
11.25,228.95,332.2
10.15,225.57,332.75
10.05,222.2,333.3
10.56,218.9,333.85
9.02,215.65,334.4
10,212.5,334.95
10.38,209.38,335.5
10.04,206.25,336.05
10.23,203.05,336.6
10.11,199.88,337.15
11.02,196.67,337.7
10.52,193.4,338.25
11.34,190.13,338.8
9.92,186.87,339.35
10.11,183.52,339.9
10.31,180.1,340.45
10.71,176.65,341
8.99,173.14,341.55
9.84,169.63,342.1
10.24,166.18,342.65
10.5,162.74,343.2
10.37,159.32,343.75
9.31,155.96,344.3
9.96,152.66,344.85
8.97,149.33,345.4
9.26,145.99,345.95
10.47,142.69,346.5
10.69,139.38,347.05
10.1,136.07,347.6
10.6,132.77,348.15
10.58,129.5,348.7
9.66,126.18,349.25
9.5,122.87,349.8
9.74,119.62,350.35
9.93,116.46,350.9
9.7,113.25,351.45
11.28,109.97,352
10.03,106.65,352.55
9.55,103.31,353.1
9.52,99.81,353.65
10.05,96.35,354.2
10.59,93.05,354.75
9.08,89.9,355.3
9.56,86.66,355.85
10.86,83.49,356.4
9.76,80.32,356.95
11.32,77.13,357.5
11.52,73.87,358.05
10.1,70.61,358.6
10.75,67.28,359.15
8.78,63.94,359.7
10.25,60.65,360.25
9.84,57.3,360.8
11.48,54.05,361.35
10.94,50.94,361.9
12.3,47.82,362.45
10.66,44.7,363
11.1,41.59,363.55
9.83,38.41,364.1
9.86,35.13,364.65
9.77,31.92,365.2
9.56,28.69,365.75
10.68,25.49,366.3
11.93,22.34,366.85
10.47,19.21,367.4
10.58,16.09,367.95
9.82,12.95,368.5
9.99,9.82,369.05
10.61,6.73,369.6
9.21,3.68,370.15
10.6,0.6,370.7
9.48,-2.42,371.25
13.77,-5.49,371.8
10.76,-8.61,372.35
11.16,-11.81,372.9
11.06,-15.02,373.45
9.7,-18.26,374
11.05,-21.47,374.55
8.23,-24.66,375.1
10.07,-27.82,375.65
10.28,-31.06,376.2
11.64,-34.39,376.75
11.4,-37.79,377.3
10.28,-41.19,377.85
11.42,-44.67,378.4
10.68,-48.09,378.95
10.13,-51.47,379.5
10.22,-54.79,380.05
9.99,-58.12,380.6
10.93,-61.31,381.15
10.69,-64.5,381.7
10.86,-67.68,382.25
11.3,-70.85,382.8
10.5,-74.06,383.35
9.65,-77.39,383.9
9.92,-80.76,384.45
10.32,-84.04,385
11,-87.33,385.55
11.67,-90.55,386.1
11.56,-93.7,386.65
11.53,-96.85,387.2
9.74,-100.07,387.75
10.26,-103.32,388.3
9.55,-106.58,388.85
8.48,-109.91,389.4
10.25,-113.25,389.95
10.23,-116.63,390.5
10.32,-120.01,391.05
10.44,-123.35,391.6
11.05,-126.6,392.15
11.01,-129.79,392.7
9.74,-132.98,393.25
10.82,-136.18,393.8
11.64,-139.4,394.35
10.36,-142.7,394.9
11.64,-145.98,395.45
9.7,-149.23,396
11.47,-152.47,396.55
9.88,-155.76,397.1
9.1,-158.98,397.65
10.74,-162.32,398.2
10.08,-165.58,398.75
8.8,-168.79,399.3
12.9,-172.02,399.85
8.44,-175.33,400.4
9.89,-178.66,400.95
10.11,-182.01,401.5
11.72,-185.43,402.05
11.11,-188.83,402.6
10.87,-192.26,403.15
10.24,-195.61,403.7
6.91,-198.99,404.25
11.47,-202.36,404.8
9.54,-205.67,405.35
10.67,-208.92,405.9
12.97,-212.19,406.45
9.95,-215.51,407
10.42,-218.84,407.55
11.49,-222.32,408.1
10.27,-225.93,408.65
12.18,-229.56,409.2
9.95,-233.15,409.75
11.7,-236.76,410.3
9.83,-240.32,410.85
10.33,-243.81,411.4
10.23,-247.29,411.95
9.74,-250.77,412.5
10.41,-254.27,413.05
9.78,-257.78,413.6
11.35,-261.3,414.15
11.11,-264.72,414.7
10.86,-268.09,415.25
11.01,-271.5,415.8
10.99,-274.88,416.35
9.49,-278.17,416.9
10.9,-281.54,417.45
10.68,-284.93,418
9.31,-288.22,418.55
9.71,-291.5,419.1
11.08,-294.84,419.65
9.88,-298.17,420.2
9.9,-301.51,420.75
11.86,-304.82,421.3
11.15,-308.13,421.85
10.07,-311.44,422.4
9.45,-314.76,422.95
11.33,-318.05,423.5
9.6,-321.37,424.05
10.26,-324.65,424.6
10.43,-327.86,425.15
10.19,-331.02,425.7
11.35,-334.19,426.25
11.39,-337.37,426.8
11.22,-340.51,427.35
10.41,-343.72,427.9
10.64,-346.98,428.45
9.76,-350.28,429
11.65,-353.55,429.55
11.21,-356.91,430.1
11.45,-360.24,430.65
10.08,-363.52,431.2
9.52,-366.83,431.75
10.8,-370.14,432.3
10.82,-373.45,432.85
10.1,-376.77,433.4
12.61,-380.1,433.95
10.09,-383.34,434.5
13.28,-386.66,435.05
12.93,-389.92,435.6
12.09,-393.21,436.15
11.48,-396.54,436.7
11.61,-399.92,437.25
11.96,-403.3,437.8
10.71,-406.75,438.35
12.29,-410.18,438.9
11.26,-413.51,439.45
10.84,-416.84,440
11.94,-420.15,440.55
10.48,-423.47,441.1
9.86,-426.81,441.65
12.03,-430.25,442.2
11.41,-433.64,442.75
11.54,-437.1,443.3
12.2,-440.49,443.85
10.71,-443.76,444.4
10.84,-447,444.95
11.49,-450.25,445.5
10.05,-453.54,446.05
10.2,-456.9,446.6
11.04,-460.31,447.15
8.89,-463.62,447.7
11.73,-466.95,448.25
10.24,-470.27,448.8
9.87,-473.55,449.35
12.08,-476.84,449.9
9.2,-480.16,450.45
10.21,-483.52,451
10.32,-486.77,451.55
10.91,-489.99,452.1
10.16,-493.3,452.65
11.7,-496.65,453.2
10.32,-500.01,453.75
11.44,-503.37,454.3
10.55,-506.81,454.85
11.88,-510.26,455.4
11.64,-513.7,455.95
12.61,-517.17,456.5
11.94,-520.73,457.05
8.83,-524.26,457.6
10.44,-527.79,458.15
10.92,-531.39,458.7
NA,-535.01,459.25
NA,-538.61,459.8
NA,-542.27,460.35
NA,-545.9,460.9
NA,-549.52,461.45
NA,-553.05,462
NA,-556.51,462.55
NA,-559.96,463.1
NA,-563.45,463.65
NA,-566.93,464.2
NA,-570.41,464.75
NA,-574,465.3
NA,-577.53,465.85
NA,-580.95,466.4
NA,-584.34,466.95
NA,-587.71,467.5
NA,-591,468.05
NA,-594.34,468.6
NA,-597.69,469.15
NA,-600.95,469.7
NA,-604.26,470.25
NA,-607.69,470.8
NA,-611.11,471.35
NA,-614.56,471.9
NA,-618.04,472.45
NA,-621.47,473
NA,-624.89,473.55
NA,-628.23,474.1
NA,-631.6,474.65
NA,-635.01,475.2
NA,-638.46,475.75
NA,-641.86,476.3
NA,-645.35,476.85
NA,-648.87,477.4
NA,-652.42,477.95
NA,-655.89,478.5
NA,-659.37,479.05
NA,-662.77,479.6
NA,-666.18,480.15
NA,-669.62,480.7
NA,-673.03,481.25
NA,-676.47,481.8
NA,-679.98,482.35
NA,-683.4,482.9
NA,-686.84,483.45
NA,-690.35,484
NA,-693.84,484.55
NA,-697.26,485.1
NA,-700.71,485.65
NA,-704.09,486.2
NA,-707.46,486.75
NA,-710.88,487.3
NA,-714.33,487.85
NA,-717.77,488.4
NA,-721.23,488.95
NA,-724.74,489.5
NA,-728.2,490.05
NA,-731.68,490.6
NA,-735.17,491.15
NA,-738.76,491.7
NA,-742.34,492.25
NA,-745.86,492.8
NA,-749.39,493.35
NA,-752.96,493.9
NA,-756.38,494.45
NA,-759.78,495
NA,-763.24,495.55
NA,-766.65,496.1
NA,-770.07,496.65
NA,-773.6,497.2
NA,-777.1,497.75
NA,-780.66,498.3
NA,-784.17,498.85
NA,-787.71,499.4
NA,-791.21,499.95
NA,-794.67,500.5
NA,-798.1,501.05
NA,-801.57,501.6
NA,-804.98,502.15
NA,-808.36,502.7
NA,-811.77,503.25
NA,-815.16,503.8
NA,-818.58,504.35
NA,-822.01,504.9
NA,-825.47,505.45
NA,-828.88,506
NA,-832.29,506.55
NA,-835.69,507.1
NA,-839.1,507.65
NA,-842.42,508.2
NA,-845.79,508.75
NA,-849.21,509.3
NA,-852.57,509.85
NA,-855.91,510.4
NA,-859.38,510.95
NA,-862.84,511.5
NA,-866.24,512.05
NA,-869.64,512.6
NA,-873.05,513.15
NA,-876.49,513.7
NA,-879.92,514.25
NA,-883.34,514.8
NA,-886.79,515.35
NA,-890.22,515.9
NA,-893.62,516.45
NA,-897.09,517
NA,-900.56,517.55
NA,-904.07,518.1
NA,-907.63,518.65
NA,-911.07,519.2
NA,-914.41,519.75
NA,-917.79,520.3
NA,-921.15,520.85
NA,-924.53,521.4
NA,-928.02,521.95
NA,-931.6,522.5
NA,-935.2,523.05
NA,-938.75,523.6
NA,-942.29,524.15
NA,-945.88,524.7
NA,-949.43,525.25
NA,-952.92,525.8
NA,-956.49,526.35
NA,-960.05,526.9
NA,-963.53,527.45
NA,-966.97,528
NA,-970.41,528.55
NA,-973.81,529.1
NA,-977.23,529.65
NA,-980.71,530.2
NA,-984.21,530.75
NA,-987.8,531.3
NA,-991.32,531.85
NA,-994.73,532.4
NA,-998.12,532.95
NA,-1001.49,533.5
NA,-1004.79,534.05
NA,-1008.13,534.6
NA,-1011.44,535.15
NA,-1014.71,535.7
NA,-1018.03,536.25
NA,-1021.4,536.8
NA,-1024.82,537.35
NA,-1028.28,537.9
NA,-1031.79,538.45
NA,-1035.24,539
NA,-1038.64,539.55
NA,-1042.02,540.1
NA,-1045.45,540.65
NA,-1048.86,541.2
NA,-1052.3,541.75
NA,-1055.74,542.3
NA,-1059.16,542.85
NA,-1062.56,543.4
NA,-1065.99,543.95
NA,-1069.4,544.5
NA,-1072.84,545.05
NA,-1076.3,545.6
NA,-1079.85,546.15
NA,-1083.32,546.7
NA,-1086.78,547.25
NA,-1090.31,547.8
NA,-1093.92,548.35
NA,-1097.49,548.9
NA,-1101.11,549.45
NA,-1104.75,550
NA,-1108.29,550.55
NA,-1111.78,551.1
NA,-1115.29,551.65
NA,-1118.91,552.2
NA,-1122.59,552.75
NA,-1126.26,553.3
NA,-1129.89,553.85
NA,-1133.44,554.4
NA,-1136.86,554.95
NA,-1140.3,555.5
NA,-1143.78,556.05
NA,-1147.26,556.6
NA,-1150.81,557.15
NA,-1154.38,557.7
NA,-1157.85,558.25
NA,-1161.35,558.8
NA,-1164.9,559.35
NA,-1168.33,559.9
NA,-1171.79,560.45
NA,-1175.32,561
NA,-1178.78,561.55
NA,-1182.23,562.1
NA,-1185.73,562.65
NA,-1189.22,563.2
NA,-1192.71,563.75
NA,-1196.21,564.3
NA,-1199.68,564.85
NA,-1203.15,565.4
NA,-1206.66,565.95
NA,-1210.21,566.5
NA,-1213.79,567.05
NA,-1217.36,567.6
NA,-1220.97,568.15
NA,-1224.54,568.7
NA,-1228.11,569.25
NA,-1231.69,569.8
NA,-1235.28,570.35
NA,-1238.83,570.9
NA,-1242.37,571.45
NA,-1245.79,572
NA,-1249.21,572.55
NA,-1252.61,573.1
NA,-1256.06,573.65
NA,-1259.51,574.2
NA,-1263.03,574.75
NA,-1266.55,575.3
NA,-1270.21,575.85
NA,-1273.85,576.4
NA,-1277.52,576.95
NA,-1281.15,577.5
NA,-1284.86,578.05
NA,-1288.48,578.6
NA,-1292.13,579.15
NA,-1295.79,579.7
NA,-1299.46,580.25
NA,-1303.02,580.8
NA,-1306.56,581.35
NA,-1310.02,581.9
NA,-1313.48,582.45
NA,-1316.93,583
NA,-1320.51,583.55
NA,-1324.1,584.1
NA,-1327.83,584.65
NA,-1331.55,585.2
NA,-1335.21,585.75
NA,-1338.8,586.3
NA,-1342.42,586.85
NA,-1346,587.4
NA,-1349.59,587.95
NA,-1353.32,588.5
NA,-1357.06,589.05
NA,-1360.74,589.6
NA,-1364.35,590.15
NA,-1368.08,590.7
NA,-1371.69,591.25
NA,-1375.3,591.8
NA,-1378.96,592.35
NA,-1382.58,592.9
NA,-1386.06,593.45
NA,-1389.62,594
NA,-1393.16,594.55
NA,-1396.55,595.1
NA,-1400.01,595.65
NA,-1403.44,596.2
NA,-1406.85,596.75
NA,-1410.25,597.3
NA,-1413.73,597.85
NA,-1417.14,598.4
NA,-1420.62,598.95
NA,-1424.08,599.5
NA,-1427.62,600.05
NA,-1431.22,600.6
NA,-1434.96,601.15
NA,-1438.72,601.7
NA,-1442.51,602.25
NA,-1446.26,602.8
NA,-1449.97,603.35
NA,-1453.6,603.9
NA,-1457.19,604.45
NA,-1460.74,605
NA,-1464.28,605.55
NA,-1467.79,606.1
NA,-1471.32,606.65
NA,-1474.84,607.2
NA,-1478.36,607.75
NA,-1481.82,608.3
NA,-1485.34,608.85
NA,-1488.88,609.4
NA,-1492.43,609.95
NA,-1495.98,610.5
NA,-1499.58,611.05
NA,-1503.11,611.6
NA,-1506.61,612.15
NA,-1510.12,612.7
NA,-1513.64,613.25
NA,-1517.19,613.8
NA,-1520.8,614.35
NA,-1524.4,614.9
NA,-1528.01,615.45
NA,-1531.7,616
NA,-1535.42,616.55
