Age (years),d18O (per mil),Sr/Ca (mmol/mol)
1913.9583,-3.49,9.364
1913.7917,-3.134,9.4408
1913.625,-3.1571,9.3799
1913.4583,-3.38,9.334
1913.2917,-3.3871000000000002,9.299
1913.125,-3.155,9.3473
1912.9583,-3,9.46
1912.7917,-3.012,9.4743
1912.625,-3.1707,9.4291
1912.4583,-3.26,9.389
1912.2917,-3.1821,9.3638
1912.125,-3.26,9.398
1911.9583,-2.91,9.407
1911.7917,-3.14,9.469
1911.625,-3.1593,9.4089
1911.4583,-3.235,9.408
1911.2917,-3.3014,9.2939
1911.125,-3.114,9.2828
1910.9583,-2.95,9.497
1910.7917,-2.76,9.4496
1910.625,-2.9036,9.4176
1910.4583,-3.17,9.3515
1910.2917,-2.8271,9.3186
1910.125,-3.066,9.3712
1909.9583,-2.88,9.4465
1909.7917,-2.847,9.4698
1909.625,-2.985,9.4415
1909.4583,-3.215,9.4135
1909.2917,-3.27,9.2645
1909.125,-3.316,9.3424
1908.9583,-3.02,9.425
1908.7917,-2.888,9.4244
1908.625,-2.9729,9.4707
1908.4583,-2.99,9.445
1908.2917,-3.24,9.3933
1908.125,-3.346,9.3624
1907.9583,-3.16,9.452
1907.7917,-3.107,9.4457
1907.625,-3.0229,9.4506
1907.4583,-3.125,9.4395
1907.2917,-3.2457,9.5379
1907.125,-3.215,9.3704
1906.9583,-3.145,9.3605
1906.7917,-2.991,9.4415
1906.625,-2.845,9.4191
1906.4583,-2.79,9.495
1906.2917,-2.94,9.4596
1906.125,-3.233,9.3088
1905.9583,-3.23,9.332
1905.7917,-2.946,9.3839
1905.625,-3.28,9.416
1905.4583,-3.375,9.3535
1905.2917,-3.265,9.4195
1905.125,-3.34,9.419
1904.9583,-3.16,9.357
1904.7917,-2.94,9.508
1904.625,-2.935,9.5165
1904.4583,-3.225,9.4655
1904.2917,-3.375,9.3835
1904.125,-3.582,9.314
1903.9583,-3.62,9.3845
1903.7917,-3.274,9.5281
1903.625,-3.2543,9.5204
1903.4583,-3.26,9.4315
1903.2917,-3.2836,9.4337
1903.125,-3.314,9.4182
1902.9583,-3.26,9.433
1902.7917,-3.354,9.4424
1902.625,-3.4514,9.4196
1902.4583,-3.66,9.466
1902.2917,-3.8243,9.2989
1902.125,-3.768,9.2269
1901.9583,-3.425,9.3675
1901.7917,-3.004,9.4512
1901.625,-3.2364,9.3846
1901.4583,-3.33,9.423
1901.2917,-3.5607,9.3882
1901.125,-3.8,9.317
1900.9583,-3.4,9.365
1900.7917,-3.13,9.468
1900.625,-3.0914,9.5314
1900.4583,-3.315,9.489
1900.2917,-3.3321,9.4591
1900.125,-3.6,9.3596
1899.9583,-3.4,9.482
1899.7917,-3.156,9.4098
1899.625,-3.41,9.3885
1899.4583,-3.475,9.394
1899.2917,-3.37,9.2225
1899.125,-3.223,9.1874
1898.9583,-2.94,9.2745
1898.7917,-2.913,9.2295
1898.625,-3.0029,9.1879
1898.4583,-3.44,9.413
1898.2917,-3.5857,9.4919
1898.125,-3.782,9.3662
1897.9583,-3.57,9.45
1897.7917,-3.384,9.4742
1897.625,-3.4329,9.481
1897.4583,-3.71,9.417
1897.2917,-3.8514,9.2294
1897.125,-3.66,9.222
1896.9583,-3.39,9.2075
1896.7917,-3.235,9.278
1896.625,-3.2514,9.141
1896.4583,-3.13,9.2
1896.2917,-3.3786,9.1891
1896.125,-3.554,9.1612
1895.9583,-3.19,9.228
1895.7917,-3.044,9.2194
1895.625,-3.2643,9.2376
1895.4583,-3.415,9.182
1895.2917,-3.4357,9.2461
1895.125,-3.716,9.4046
1894.9583,-3.85,9.267
1894.7917,-3.416,9.3832
1894.625,-3.4336,9.4587
1894.4583,-3.565,9.3015
1894.2917,-3.5121000000000002,9.3411
1894.125,-3.814,9.208
1893.9583,-3.71,9.116
