thisShouldntBeEmpty (),year (AD),depth (cm),thisShouldntBeEmpty1 ()
-31.98,1882,NA,-38.75
-32.27,1881,NA,-36.22
-30.63,1880,NA,-36.82
-32.55,1879,NA,-33.12
-30.6,1878,NA,-35.09
-27.01,1877,NA,-38.05
-28.9,1876,NA,-35.27
-32.09,1875,NA,-34.1
-32.49,1874,NA,-37.23
-32.01,1873,NA,-36.84
-29.33,1872,NA,-33.93
-26.57,1871,NA,-35.5
-31.46,1870,NA,-36.57
-31.02,1869,NA,-36.28
-30.76,1868,NA,-34.32
-31.1,1867,NA,-37.24
-31.81,1866,NA,-34.62
-32.86,1865,NA,-35.71
-30.45,1864,NA,-37.82
-32.16,1863,NA,-39.29
-32.08,1862,NA,-35.38
-32.98,1861,NA,-35.14
-31.3,1860,NA,-38.36
-29.55,1859,NA,-35.33
-29.77,1858,NA,-35.41
-30.01,1857,NA,-37.07
-32.36,1856,NA,-35.63
-31.27,1855,NA,-36.45
-29.97,1854,NA,-35.65
-29.71,1853,NA,-35.34
-30.18,1852,NA,-34.18
-29.8,1851,NA,-38.24
-33.01,1850,NA,-38.08
-33.58,1849,NA,-36.75
-31.28,1848,NA,-37.12
-30.15,1847,NA,-35.05
-32.02,1846,NA,-39.01
-29.41,1845,NA,-36.84
-34.41,1844,NA,-36.6
-32.06,1843,NA,-34.48
-29.78,1842,NA,-37.17
-28.51,1841,NA,-36.33
-32.48,1840,NA,-36.44
-32.25,1839,NA,-37.35
-30.12,1838,NA,-36.88
-26.7,1837,NA,-40.25
-33.47,1836,NA,-37.11
-32.8,1835,NA,-40.94
-33.16,1834,NA,-35.96
-29.77,1833,NA,-37.49
-30.62,1832,NA,-34.84
-29.41,1831,NA,-35.01
-33.89,1830,NA,-37.04
-31.88,1829,NA,-35.9
-27.63,1828,NA,-32.01
-30.06,1827,NA,-35.96
-31.34,1826,NA,-37.15
-29.66,1825,NA,-39.66
-31.35,1824,NA,-34.31
-31.62,1823,NA,-36.36
-30.23,1822,NA,-35.55
-31.06,1821,NA,-33.61
-28.77,1820,NA,-35.36
-31.51,1819,NA,-36.05
-32.56,1818,NA,-39.77
-32.74,1817,NA,-36.6
-30.04,1816,NA,-35.24
-31.32,1815,NA,-39.45
-32.2,1814,NA,-37.37
-29.99,1813,NA,-37.5
-32.44,1812,NA,-35.26
-30.26,1811,NA,-39.89
-27.53,1810,NA,-35.47
-29.14,1809,NA,-32.79
-30.27,1808,NA,-36.52
-31.51,1807,NA,-36.84
-31.37,1806,NA,-36.09
-28.64,1805,NA,-34.18
-31.58,1804,NA,-34.71
-28.88,1803,NA,-38.48
-33.61,1802,NA,-37.26
-28.78,1801,NA,-39.3
-30.68,1800,NA,-35.68
-32.24,1799,NA,-38.62
-30.94,1798,NA,-38.03
-32.45,1797,NA,-35.2
-31.78,1796,NA,-39.42
-32.64,1795,NA,-36.17
-30.55,1794,NA,-38.8
-32.83,1793,NA,-37.98
-32.08,1792,NA,-34.72
-28.96,1791,NA,-41.75
-31.05,1790,NA,-34.54
-30.95,1789,NA,-35.78
-31.81,1788,NA,-36.49
-30.45,1787,NA,-33.49
-28.8,1786,NA,-33.2
-29.62,1785,NA,-34.56
-32.51,1784,NA,-38.14
-28.93,1783,NA,-35.07
-30.95,1782,NA,-36.85
-31.54,1781,NA,-35.88
-32.33,1780,NA,-36.4
-33.62,1779,NA,-36.65
-32.1,1778,NA,-35.87
