d18O (permil),year (AD),depth (mm),d13C (permil)
-3.4,1951.5,6.6,-7.73
-3.4,1951.4,6.7,-7.62
-3.18,1951.3,6.8,-7.6
-3.12,1951.2,6.9,-7.59
-3.13,1951.1,7,-7.65
-3.22,1950.9,7.1,-7.5
-3.14,1950.8,7.2,-7.43
-3.31,1950.7,7.3,-7.55
-3.21,1950.7,7.4,-7.83
-3.38,1950.6,7.5,-8.21
-3.3,1950.5,7.6,-8.27
-3.45,1950.4,7.7,-8.49
-3.42,1950.3,7.8,-8.46
-3.45,1950.2,7.9,-8.49
-3.3,1950.1,8,-8.39
-3.39,1950,8.1,-8.34
-3.34,1949.9,8.2,-8.27
-3.5,1949.8,8.3,-8.25
-3.16,1949.7,8.4,-8.3
-3.62,1949.6,8.5,-8.16
-3.61,1949.5,8.6,-8.13
-3.54,1949.4,8.7,-8.07
-3.55,1949.3,8.8,-7.95
-3.48,1949.1,8.9,-7.76
-3.4,1949,9,-7.63
-3.45,1948.9,9.1,-7.55
-3.54,1948.7,9.2,-7.62
-3.6,1948.6,9.3,-7.7
-3.55,1948.4,9.4,-7.81
-3.54,1948.2,9.5,-7.83
-3.52,1948.1,9.6,-7.86
-3.4,1947.9,9.7,-7.89
-3.31,1947.7,9.8,-7.85
-3.24,1947.5,9.9,-7.82
-3.2,1947.3,10,-7.75
-3.29,1947.1,10.1,-7.78
-3.4,1946.8,10.2,-7.96
-3.51,1946.6,10.3,-7.97
-3.59,1946.3,10.4,-8.01
-3.58,1945.9,10.5,-8.25
-3.4,1945.7,10.6,-8.14
-3.47,1945.3,10.7,-8.27
-3.52,1945,10.8,-8.16
-3.47,1944.6,10.9,-8.12
-3.43,1944.2,11,-8.03
-3.49,1943.8,11.1,-8.11
-3.39,1943.5,11.2,-8.08
-3.31,1943.1,11.3,-8.09
-3.52,1942.7,11.4,-8.07
-3.57,1942.3,11.5,-8.18
-3.13,1941.9,11.6,-8.12
-3.28,1941.5,11.7,-8.14
-3.5,1941.1,11.8,-8.07
-3.46,1940.6,11.9,-8.03
-3.49,1940.2,12,-7.91
-3.48,1939.7,12.1,-7.87
-3.48,1939.3,12.2,-7.8
-3.47,1938.8,12.3,-7.66
-3.61,1938.3,12.4,-7.81
-3.47,1937.8,12.5,-7.65
-3.36,1937.2,12.6,-7.48
-3.44,1936.7,12.7,-7.54
-3.44,1936.2,12.8,-7.66
-3.37,1935.6,12.9,-7.8
-3.61,1935.1,13,-7.89
-3.41,1934.5,13.1,-7.95
-3.57,1934,13.2,-8.04
-3.62,1933.4,13.3,-8.03
-3.64,1932.9,13.4,-7.97
-3.38,1932.3,13.5,-8.22
-3.4,1931.7,13.6,-8.17
-3.54,1931.1,13.7,-8.26
-3.3,1930.5,13.8,-8.28
-3.31,1929.9,13.9,-8.4
-3.18,1929.3,14,-8.42
-3.25,1928.7,14.1,-8.46
-3.14,1928.1,14.2,-8.52
-3.2,1927.5,14.3,-8.45
-3.37,1926.9,14.4,-8.49
-4.03,1926.3,14.5,-8.95
-3.04,1925.6,14.6,-7.72
-3.12,1925,14.7,-7.76
-3.17,1924.3,14.8,-7.85
-3.32,1923.7,14.9,-7.71
-3.15,1923,15,-7.33
-3.17,1922.4,15.1,-7.15
-3.36,1921.7,15.2,-7.36
-3.31,1921,15.3,-7.54
-3.39,1920.4,15.4,-7.74
-3.39,1919.7,15.5,-7.73
-3.39,1919.1,15.6,-7.8
-3.37,1918.4,15.7,-8.32
-3.17,1917.8,15.8,-8.11
-3.3,1917.1,15.9,-8.25
-3.16,1916.4,16,-8.17
-3.19,1915.7,16.1,-8.22
-3.23,1915,16.2,-8.32
-3.39,1914.2,16.3,-8.42
-3.31,1913.5,16.4,-8.34
-3.42,1912.8,16.5,-8.31
-3.37,1912.1,16.6,-8.27
-3.1,1911.4,16.7,-8.05
-3.14,1910.8,16.8,-8.03
-3.1,1910.1,16.9,-8.09
-3.23,1909.4,17,-8
-3.31,1908.7,17.1,-7.94
-3.68,1908,17.2,-8.05
-3.61,1907.2,17.3,-7.97
-3.39,1906.5,17.4,-7.96
-3.34,1905.8,17.5,-8.09
-3.34,1905.1,17.6,-8.01
-3.22,1904.4,17.7,-8.09
-3.35,1903.7,17.8,-7.95
-3.66,1903,17.9,-7.99
-3.54,1902.3,18,-8
-3.4,1901.7,18.1,-7.73
-3.41,1901,18.2,-7.7
-3.66,1900.3,18.3,-7.91
-3.36,1899.6,18.4,-7.81
-3.61,1898.9,18.5,-7.84
-3.28,1898.2,18.6,-7.45
-3.55,1897.5,18.7,-7.59
-3.62,1896.9,18.8,-7.4
-3.43,1896.2,18.9,-7.53
-3.44,1895.5,19,-7.72
-3.27,1894.9,19.1,-7.38
-3.41,1894.2,19.2,-7.78
-3.32,1893.5,19.3,-7.82
-3.45,1892.9,19.4,-8.12
-3.31,1892.2,19.5,-8.08
-3.43,1891.6,19.6,-8.12
-3.47,1891,19.7,-8.07
-3.58,1890.3,19.8,-8.1
-3.39,1889.6,19.9,-7.94
-3.67,1889,20,-8.22
-3.41,1888.3,20.1,-8.02
-3.46,1887.7,20.2,-8.22
-3.44,1887,20.3,-8.14
-3.48,1886.4,20.4,-8.19
-3.28,1885.8,20.5,-8.04
-3.26,1885.2,20.6,-7.84
-3.28,1884.6,20.7,-7.82
-3.01,1884,20.8,-7.83
-2.94,1883.4,20.9,-7.61
-3.18,1882.8,21,-7.69
-3.2,1882.2,21.1,-7.32
-3.27,1881.6,21.2,-7.33
-3.25,1881.1,21.3,-7.42
-3.17,1880.5,21.4,-7.26
-3.19,1880,21.5,-7.38
-3.2,1879.5,21.6,-7.45
-3.15,1879,21.7,-7.54
-3.3,1878.5,21.8,-7.75
-3.28,1878,21.9,-7.76
-3.3,1877.5,22,-7.75
-3.42,1877,22.1,-7.83
-3.75,1876.5,22.2,-8.38
-3.5,1876,22.3,-7.88
-3.48,1875.5,22.4,-7.77
-3.39,1875.1,22.5,-7.8
-3.67,1874.6,22.6,-8.11
-3.66,1874.2,22.7,-8.06
-3.57,1873.7,22.8,-7.64
-3.66,1873.3,22.9,-7.73
-3.57,1872.8,23,-7.89
NA,1872.4,23.1,NA
-3.36,1872,23.2,-7.74
-3.31,1871.5,23.3,-7.81
-3.36,1871.1,23.4,-7.63
-3.3,1870.7,23.5,-7.57
-3.3,1870.2,23.6,-7.66
-3.27,1869.8,23.7,-7.61
-3.31,1869.4,23.8,-7.46
-3.3,1869,23.9,-7.3
-3.34,1868.6,24,-7.43
-3.32,1868.2,24.1,-7.47
-3.62,1867.8,24.2,-7.69
-3.49,1867.4,24.3,-7.62
-3.59,1867,24.4,-7.66
-3.69,1866.6,24.5,-7.84
-3.62,1866.2,24.6,-8.16
-3.65,1865.8,24.7,-8.1
-3.86,1865.4,24.8,-8.52
-3.58,1865,24.9,-8.19
-3.61,1864.7,25,-8.3
-3.6,1864.3,25.1,-8.32
-3.48,1863.9,25.2,-8.48
-3.58,1863.5,25.3,-8.7
-3.69,1863.2,25.4,-8.73
-3.66,1862.8,25.5,-8.75
-3.56,1862.4,25.6,-8.45
-3.68,1862,25.7,-8.58
-3.65,1861.7,25.8,-8.45
-3.56,1861.3,25.9,-8.32
-3.75,1861,26,-8.62
-3.73,1860.6,26.1,-8.59
-3.65,1860.2,26.2,-8.28
-3.83,1859.9,26.3,-8.59
-3.65,1859.5,26.4,-8.59
-3.55,1859.2,26.5,-8.5
-3.58,1858.8,26.6,-8.53
-3.41,1858.5,26.7,-8.39
-3.54,1858.1,26.8,-8.44
-3.55,1857.8,26.9,-8.36
-3.52,1857.4,27,-8.36
-3.43,1857.1,27.1,-8.07
-3.45,1856.8,27.2,-7.88
-4.1,1856.4,27.3,-7.77
-3.58,1856.1,27.4,-7.45
-3.71,1855.7,27.5,-7.2
-3.33,1855.4,27.6,-6.95
-3.86,1855.1,27.7,-6.88
-4.06,1854.8,27.8,-6.6
-4.07,1854.4,27.9,-6.51
-3.58,1854.1,28,-6.35
-3.65,1853.8,28.1,-6.07
-4.22,1853.4,28.2,-6.5
-3.52,1853.1,28.3,-6.8
-3.94,1852.8,28.4,-7.17
-4.27,1852.5,28.5,-7.4
-3.83,1852.1,28.6,-7.9
-3.81,1851.8,28.7,-8.31
-3.73,1851.5,28.8,-8.35
-3.83,1851.2,28.9,-8.35
-3.24,1850.9,29,-8.27
-3.69,1850.6,29.1,-8.45
-3.74,1850.3,29.2,-8.38
-3.78,1850,29.3,-8.4
-3.7,1849.7,29.4,-8.54
-3.52,1849.4,29.5,-8.39
-3.86,1849.1,29.6,-8.35
-3.98,1848.8,29.7,-8.42
-3.82,1848.5,29.8,-8.39
-3.96,1848.2,29.9,-8.52
-3.88,1847.9,30,-8.48
-3.94,1847.6,30.1,-8.17
-3.78,1847.3,30.2,-8.03
-4.1,1847,30.3,-8.02
-3.96,1846.7,30.4,-8.12
-3.86,1846.4,30.5,-7.97
-3.88,1846.1,30.6,-7.97
-3.42,1845.8,30.7,-7.9
-3.47,1845.5,30.8,-7.76
-3.64,1845.2,30.9,-7.97
-3.62,1844.9,31,-7.81
-3.55,1844.6,31.1,-7.93
-3.66,1844.4,31.2,-8.21
-3.7,1844.1,31.3,-8.22
-3.74,1843.8,31.4,-8.24
-3.56,1843.5,31.5,-8.25
-3.61,1843.2,31.6,-8.33
-3.62,1843,31.7,-8.25
-3.84,1842.7,31.8,-8.5
-3.79,1842.4,31.9,-8.43
-3.88,1842.1,32,-8.44
-3.69,1841.8,32.1,-8.21
-3.77,1841.6,32.2,-8.2
-3.67,1841.3,32.3,-7.94
-3.75,1841,32.4,-8.07
-3.84,1840.7,32.5,-8.12
-3.73,1840.5,32.6,-7.93
-3.69,1840.2,32.7,-8.15
-3.81,1839.9,32.8,-8.27
-3.91,1839.7,32.9,-8.4
-3.78,1839.4,33,-8.22
-3.84,1839.1,33.1,-8.09
-3.89,1838.9,33.2,-8.13
-3.84,1838.6,33.3,-8.37
-3.77,1838.3,33.4,-8.27
-3.73,1838,33.5,-8.21
-3.7,1837.7,33.6,-8.3
-3.58,1837.5,33.7,-8.12
-3.6,1837.2,33.8,-8.06
-3.57,1836.9,33.9,-7.95
-3.65,1836.6,34,-7.87
-3.68,1836.4,34.1,-7.96
-3.53,1836.1,34.2,-7.68
-3.75,1835.8,34.3,-7.88
-3.63,1835.6,34.4,-7.6
-3.66,1835.3,34.5,-7.76
-4.26,1835,34.6,-7.96
-4.09,1834.8,34.7,-8.17
-4.11,1834.5,34.8,-8.28
-4.04,1834.2,34.9,-8.29
-4.12,1834,35,-8.46
-4.04,1833.7,35.1,-8.35
-4.29,1833.4,35.2,-8.58
-4.09,1833.2,35.3,-8.68
-4.1,1832.9,35.4,-8.76
-4.19,1832.7,35.5,-8.74
-3.99,1832.4,35.6,-8.77
-4.08,1832.1,35.7,-8.79
-4.08,1831.9,35.8,-8.78
-4.05,1831.6,35.9,-8.83
-4.12,1831.4,36,-8.93
-4.01,1831.1,36.1,-8.71
-4.08,1830.8,36.2,-8.82
-4.05,1830.6,36.3,-8.82
-3.95,1830.3,36.4,-8.59
-4.01,1830.1,36.5,-8.5
-4.03,1829.8,36.6,-8.63
-4.02,1829.6,36.7,-8.62
-4.01,1829.4,36.8,-8.37
-4.08,1829.1,36.9,-8.31
-3.96,1828.8,37,-8.18
-4.13,1828.6,37.1,-8.22
-3.98,1828.3,37.2,-8.02
-4.14,1828,37.3,-8.14
-3.99,1827.7,37.4,-8.14
-4.48,1827.4,37.5,-8.3
NA,1827.2,37.6,NA
NA,1826.9,37.7,NA
NA,1826.6,37.8,NA
-4.04,1826.3,37.9,-8.46
-4.06,1826,38,-8.4
-4.25,1825.8,38.1,-8.37
-4.09,1825.5,38.2,-8.4
-4.18,1825.2,38.3,-8.43
-3.79,1824.9,38.4,-7.96
-4.25,1824.7,38.5,-8.5
-4.2,1824.4,38.6,-8.4
-4.29,1824.1,38.7,-8.29
-4.42,1823.8,38.8,-8.45
-4.22,1823.5,38.9,-8.45
-4.22,1823.2,39,-8.43
-4.19,1822.9,39.1,-8.52
-4.28,1822.7,39.2,-8.45
-4.28,1822.4,39.3,-8.33
-4.23,1822.1,39.4,-8.12
-4.13,1821.8,39.5,-8
-4.48,1821.5,39.6,-8.13
-4.45,1821.3,39.7,-8.27
-4.33,1821,39.8,-8.13
-4.39,1820.7,39.9,-8.17
-4.15,1820.4,40,-8.23
-3.65,1820.1,40.1,-7.68
-3.86,1819.9,40.2,-7.7
-3.79,1819.6,40.3,-7.32
-3.69,1819.3,40.4,-7.55
-4.22,1819,40.5,-7.54
-3.33,1818.7,40.6,-6.95
-3.32,1818.4,40.7,-7.77
-3.22,1818.1,40.8,-7.8
-3,1817.8,40.9,-7.36
-3.22,1817.5,41,-7.96
-3.29,1817.2,41.1,-7.51
-3.22,1816.9,41.2,-7.91
-3.29,1816.6,41.3,-7.85
-3.26,1816.3,41.4,-7.78
-3.27,1816,41.5,-7.85
-3.35,1815.7,41.6,-7.97
-3.31,1815.4,41.7,-7.77
-3.34,1815.1,41.8,-7.69
-2.7,1814.8,41.9,-7.5
-4.17,1814.5,42,-7.42
-3.42,1814.2,42.1,-7.98
-3.61,1813.8,42.2,-8.13
-3.48,1813.5,42.3,-7.92
-3.3,1813.2,42.4,-7.59
-3.22,1812.9,42.5,-7.82
-3.37,1812.6,42.6,-7.53
-3.24,1812.2,42.7,-7.48
-3.69,1811.9,42.8,-7.99
-3.03,1811.6,42.9,-7.17
-3.02,1811.3,43,-7.45
-3.51,1810.9,43.1,-7.85
-3.39,1810.6,43.2,-7.76
-3.48,1810.3,43.3,-7.85
-2.99,1809.9,43.4,-7.85
-3.22,1809.6,43.5,-7.77
-3.38,1809.3,43.6,-7.94
-3.57,1809,43.7,-8.18
-3.27,1808.6,43.8,-7.83
-3.48,1808.3,43.9,-8.04
-3.16,1807.9,44,-7.74
-3.68,1807.6,44.1,-7.87
-3.9,1807.2,44.2,-8.09
-3.76,1806.9,44.3,-8.05
-3.6,1806.6,44.4,-7.76
-3.69,1806.2,44.5,-7.75
-3.71,1805.8,44.6,-7.39
-3.7,1805.5,44.7,-7.87
-3.5,1805.1,44.8,-7.46
-3.56,1804.7,44.9,-7.47
-3.59,1804.4,45,-7.45
-3.73,1804,45.1,-7.2
-3.89,1803.7,45.2,-7.3
-3.94,1803.3,45.3,-7.24
-3.95,1802.9,45.4,-7.51
-3.92,1802.5,45.5,-7.42
-4.08,1802.2,45.6,-7.64
-4.08,1801.8,45.7,-7.54
-4.18,1801.4,45.8,-7.5
-4.15,1801,45.9,-7.68
-4.17,1800.6,46,-7.63
-3.71,1800.2,46.1,-7.44
-3.58,1799.8,46.2,-7.21
-3.75,1799.4,46.3,-7.39
-3.65,1799,46.4,-7.2
-3.95,1798.6,46.5,-7.53
-3.47,1798.2,46.6,-7.16
-4.21,1797.8,46.7,-7.7
-3.68,1797.4,46.8,-7.49
-4.69,1797,46.9,-8.08
-3.46,1796.6,47,-7.34
-3.45,1796.2,47.1,-7.21
-3.54,1795.8,47.2,-7.4
-3.36,1795.4,47.3,-7.48
-3.12,1794.9,47.4,-7.27
-3.27,1794.5,47.5,-7.34
-3.39,1794.1,47.6,-7.5
-3.09,1793.7,47.7,-7.27
-3.19,1793.2,47.8,-7.14
-3.09,1792.8,47.9,-7.21
-3.17,1792.4,48,-7.29
-3.15,1791.9,48.1,-7.16
-3.13,1791.5,48.2,-7.1
-3.23,1791,48.3,-7.05
-3.14,1790.6,48.4,-7.22
-3.07,1790.1,48.5,-7.47
-3.17,1789.7,48.6,-7.36
-3.11,1789.2,48.7,-7.46
-3.1,1788.7,48.8,-7.34
-3.41,1788.2,48.9,-7.31
-3.18,1787.7,49,-7.31
-3.28,1787.2,49.1,-7.36
-3.17,1786.7,49.2,-7.43
-3.2,1786.2,49.3,-7.38
-3.58,1785.7,49.4,-7.56
-3.26,1785.2,49.5,-7.6
-3.44,1784.7,49.6,-7.6
-3.77,1784.2,49.7,-7.73
-3.37,1783.7,49.8,-7.87
-3.1,1783.2,49.9,-7.78
-3.23,1782.7,50,-7.75
-3.27,1782.2,50.1,-7.66
-3.47,1781.7,50.2,-7.67
-3.5,1781.2,50.3,-7.76
-3.36,1780.6,50.4,-7.63
-3.42,1780.1,50.5,-7.61
-3.22,1779.6,50.6,-7.3
-3.15,1779.1,50.7,-7.22
-3.35,1778.6,50.8,-7.26
-3.04,1778,50.9,-6.77
-3.11,1777.5,51,-6.75
-3.33,1777,51.1,-6.82
-3.86,1776.4,51.2,-6.72
-3.5,1775.9,51.3,-6.47
-3.21,1775.3,51.4,-6.11
-3.78,1774.8,51.5,-6.34
-3.65,1774.2,51.6,-6.39
-3.29,1773.7,51.7,-6.15
-3.1,1773.1,51.8,-5.97
-3.98,1772.6,51.9,-6.53
-3.25,1772,52,-5.87
-3.01,1771.4,52.1,-5.32
-3.27,1770.7,52.2,-5.41
-3.64,1770,52.3,-5.45
-3.4,1769.3,52.4,-5.96
-3.71,1768.6,52.5,-6.23
-3.49,1767.9,52.6,-6.48
-3.85,1767.1,52.7,-6.8
-3.61,1766.3,52.8,-7.35
-3.98,1765.5,52.9,-6.98
-4.02,1764.6,53,-7.06
-3.64,1763.7,53.1,-7.03
-3.21,1762.8,53.2,-7.32
-3.62,1761.9,53.3,-6.98
-3.44,1761,53.4,-7.62
-3.6,1760,53.5,-7.01
-3.46,1759,53.6,-7.19
-3.67,1758,53.7,-7.18
-3.44,1757,53.8,-7.17
-3.16,1756,53.9,-7.13
-3.56,1754.9,54,-7.15
NA,1753.9,54.1,NA
-3.47,1752.9,54.2,-7.63
-3.34,1751.7,54.3,-7.3
-3.42,1750.6,54.4,-7.29
-3.66,1749.6,54.5,-7.41
-3.59,1748.5,54.6,-7.65
-3.35,1747.4,54.7,-7.8
NA,1746.2,54.8,NA
-3.98,1745,54.9,-7.79
-4.3,1743.8,55,-7.75
-3.63,1742.6,55.1,-7.42
-3.7,1741.4,55.2,-7.52
-3.69,1740.2,55.3,-7.37
-3.7,1738.9,55.4,-7.46
-3.99,1737.7,55.5,-7.15
-3.71,1736.4,55.6,-7.51
-3.45,1735.1,55.7,-7.46
-3.51,1733.8,55.8,-7.45
-3.62,1732.6,55.9,-7.44
NA,1731.4,56,NA
-3.6,1730.3,56.1,-7.58
-3.5,1729.1,56.2,-7.44
-3.73,1727.9,56.3,-7.38
-3.76,1726.7,56.4,-7.33
-3.66,1725.5,56.5,-7.38
-3.49,1724.3,56.6,-7.53
-3.65,1723.1,56.7,-7.53
-3.54,1721.9,56.8,-7.71
-3.42,1720.7,56.9,-7.69
-3.49,1719.4,57,-7.69
-3.67,1718.1,57.1,-7.82
-3.7,1716.8,57.2,-7.93
-3.88,1715.6,57.3,-7.99
-3.68,1714.4,57.4,-7.98
-3.68,1713.3,57.5,-7.54
-3.71,1712.1,57.6,-7.69
-3.76,1710.9,57.7,-7.75
-3.52,1709.7,57.8,-7.94
NA,1708.5,57.9,NA
-3.24,1707.4,58,-7.85
-3.55,1706.3,58.1,-7.93
NA,1705.1,58.2,NA
NA,1704,58.3,NA
NA,1702.9,58.4,NA
NA,1701.8,58.5,NA
NA,1700.7,58.6,NA
NA,1699.6,58.7,NA
NA,1698.6,58.8,NA
NA,1697.6,58.9,NA
-4.25,1696.5,59,-8.06
-4.5,1695.4,59.1,-8.16
-4.71,1694.4,59.2,-8.16
NA,1693.4,59.3,NA
-4.3,1692.4,59.4,-7.99
-3.98,1691.4,59.5,-8.02
-3.75,1690.4,59.6,-7.65
-4.09,1689.4,59.7,-7.82
-4.06,1688.5,59.8,-7.81
NA,1687.7,59.9,NA
-4.1,1686.8,60,-7.6
-3.45,1686,60.1,-7.34
NA,1685.2,60.2,NA
NA,1684.5,60.3,NA
NA,1683.7,60.4,NA
NA,1683,60.5,NA
-4.5,1682.3,60.6,-7.71
-3.75,1681.7,60.7,-7.47
-3.5,1681,60.8,-7.52
-3.21,1680.4,60.9,-7.56
-4.22,1679.8,61,-7.96
-3.78,1679.3,61.1,-7.76
-3.64,1678.7,61.2,-7.61
-3.86,1678.2,61.3,-7.68
-3.59,1677.8,61.4,-7.65
-3.67,1677.3,61.5,-7.67
-3.33,1676.9,61.6,-7.51
-4.44,1676.4,61.7,-7.72
-3.4,1675.9,61.8,-7.31
-3.65,1675.4,61.9,-7.47
-3.56,1674.9,62,-7.51
-4.03,1674.4,62.1,-7.47
-4.06,1674,62.2,-7.53
-3.75,1673.6,62.3,-7.49
-3.68,1673.3,62.4,-7.45
-3.73,1672.9,62.5,-7.59
-4.23,1672.6,62.6,-7.5
-3.65,1672.2,62.7,-7.34
-3.47,1671.8,62.8,-7.3
-3.58,1671.4,62.9,-7.37
-3.99,1671,63,-7.52
-3.9,1670.7,63.1,-7.42
-3.54,1670.4,63.2,-7.38
-3.41,1670,63.3,-7.35
-3.84,1669.6,63.4,-7.21
-3.43,1669.3,63.5,-7.65
-3.55,1668.9,63.6,-7.56
-3.53,1668.5,63.7,-7.64
-3.53,1668.1,63.8,-7.78
-3.62,1667.7,63.9,-7.65
-3.59,1667.4,64,-7.72
-3.87,1667.1,64.1,-7.56
-3.75,1666.7,64.2,-7.61
-3.82,1666.4,64.3,-7.77
-3.75,1666.2,64.4,-7.78
-3.84,1666,64.5,-7.76
-3.66,1665.7,64.6,-7.79
-3.79,1665.5,64.7,-7.75
-3.91,1665.2,64.8,-8.06
-3.73,1665,64.9,-8
-3.95,1664.7,65,-7.96
-3.79,1664.5,65.1,-8.14
-3.86,1664.3,65.2,-8.13
-3.71,1664,65.3,-8.04
-3.9,1663.7,65.4,-8.1
-3.78,1663.4,65.5,-8
-3.86,1663.2,65.6,-8.05
-3.76,1662.9,65.7,-8.36
-3.7,1662.5,65.8,-8.22
-3.73,1662.1,65.9,-8.1
-3.72,1661.7,66,-8.31
-3.81,1661.4,66.1,-8.35
-3.73,1661,66.2,-8.2
-3.89,1660.7,66.3,-8.26
-3.75,1660.3,66.4,-8.41
-3.71,1660.1,66.5,-8.29
-3.7,1659.7,66.6,-8.23
-3.77,1659.4,66.7,-8.32
-3.47,1659.1,66.8,-8.23
-3.67,1658.8,66.9,-8.34
-3.65,1658.4,67,-8.34
-3.85,1658.1,67.1,-8.3
-3.67,1657.8,67.2,-7.96
-3.47,1657.4,67.3,-7.8
-3.52,1657,67.4,-7.17
-3.48,1656.6,67.5,-7.04
-3.87,1656.3,67.6,-7.19
-3.75,1655.9,67.7,-6.87
-3.53,1655.5,67.8,-6.97
-3.32,1655.2,67.9,-7.07
-3.36,1654.9,68,-7.03
-3.61,1654.6,68.1,-7.11
-3.4,1654.3,68.2,-7.62
-3.76,1653.9,68.3,-7.54
-3.98,1653.6,68.4,-7.65
-3.7,1653.3,68.5,-7.78
-3.87,1653,68.6,-7.76
-3.88,1652.8,68.7,-7.92
-3.65,1652.5,68.8,-7.7
-3.79,1652.1,68.9,-7.85
-3.67,1651.7,69,-7.68
-3.98,1651.4,69.1,-7.79
-3.69,1651.2,69.2,-7.7
-3.75,1651,69.3,-7.81
-3.79,1650.8,69.4,-7.93
-3.63,1650.6,69.5,-7.91
-3.84,1650.4,69.6,-7.99
-4.17,1650.2,69.7,-8.03
-4.06,1650,69.8,-7.8
NA,1649.8,69.9,NA
NA,1649.5,70,NA
-3.81,1649.3,70.1,-7.99
-3.48,1649.1,70.2,-7.71
-3.39,1648.9,70.3,-7.61
-3.66,1648.7,70.4,-7.77
-3.57,1648.4,70.5,-7.44
-3.64,1648.1,70.6,-7.59
-4.18,1647.9,70.7,-8.03
-3.9,1647.7,70.8,-7.71
-3.75,1647.4,70.9,-7.67
-3.36,1647.2,71,-7.25
-3.27,1646.9,71.1,-7.16
-3.59,1646.6,71.2,-7.3
-3.55,1646.3,71.3,-6.81
-3.52,1646,71.4,-6.76
NA,1645.8,71.5,NA
-3.26,1645.5,71.6,-6.37
-3.38,1645.2,71.7,-6.68
-3.38,1645,71.8,-6.94
-3.58,1644.7,71.9,-7.66
-3.19,1644.4,72,-7.34
-3.27,1644,72.1,-7.38
-3.16,1643.7,72.2,-7.44
-3.46,1643.4,72.3,-7.73
-4.43,1643.1,72.4,-8.11
-3.49,1642.6,72.5,-7.56
-4.2,1642.3,72.6,-8.11
-3.74,1641.9,72.7,-7.71
-3.95,1641.5,72.8,-7.8
-3.22,1641,72.9,-7.05
-3.5,1640.5,73,-7.26
-3.58,1640,73.1,-7.1
-3.39,1639.5,73.2,-6.84
-3.25,1639.1,73.3,-6.51
NA,1638.6,73.4,NA
NA,1638.1,73.5,NA
NA,1637.5,73.6,NA
-3.03,1636.9,73.7,-6.4
-3.31,1636.3,73.8,-6.88
-3.33,1635.7,73.9,-6.92
-3.24,1635,74,-6.95
-3.08,1634.3,74.1,-7
-3.57,1633.6,74.2,-7.16
-3.3,1632.9,74.3,-6.81
-3.2,1632.3,74.4,-6.95
-3.61,1631.5,74.5,-7.69
-3.57,1630.9,74.6,-7.52
-3.52,1630.1,74.7,-7.67
-3.92,1629.3,74.8,-7.83
-3.69,1628.4,74.9,-7.42
-3.27,1627.5,75,-7.14
-3.47,1626.6,75.1,-7.33
-3.57,1625.6,75.2,-7.39
-3.58,1624.6,75.3,-7.45
-3.6,1623.5,75.4,-7.52
-3.88,1622.4,75.5,-7.56
-4.08,1621.2,75.6,-7.65
-2.97,1620.1,75.7,-6.76
