d18O (permil),year (AD),depth (cm),d18OUncertainty (permil)
-2.57,-147,110.5,NA
-2.64,-163,111.5,NA
-2.48,-179,112.5,NA
-2.57,-194,113.5,NA
-2.62,-210,114.5,NA
-2.35,-225,115.5,NA
-2.55,-241,116.5,NA
-2.66,-256,117.5,NA
-2.66,-271,118.5,NA
-2.54,-285,119.5,NA
-2.4,-300,120.5,NA
-2.37,-315,121.5,NA
-2.44,-329,122.5,NA
-2.4,-344,123.5,NA
-2.31,-358,124.5,0.07
-2.78,-372,125.5,NA
-2.585,-387,126.5,0.255
-2.66,-401,127.5,NA
-2.53,-415,128.5,NA
-2.64,-444,130.5,NA
-2.54,-473,132.5,NA
-2.59,-502,134.5,NA
-2.65,-561,138.5,NA
-2.57,-591,140.5,NA
-2.51,-622,142.5,NA
-2.51,-655,144.5,NA
-2.76,-687,146.5,NA
-2.56,-721,148.5,NA
-2.77,-756,150.5,NA
-2.57,-792,152.5,NA
-2.67,-830,154.5,NA
-2.56,-869,156.5,NA
-2.46,-910,158.5,NA
-2.54,-952,160.5,NA
-2.47,-973,161.5,NA
-2.22,-995,162.5,NA
-2.33,-1017,163.5,NA
-2.41,-1040,164.5,NA
-2.68,-1062,165.5,NA
-2.34,-1085,166.5,NA
-2.47,-1108,167.5,NA
-2.49,-1131,168.5,NA
-2.5,-1154,169.5,NA
-2.54,-1177,170.5,NA
-2.52,-1200,171.5,NA
-2.45,-1223,172.5,NA
-2.59,-1245,173.5,NA
-2.51,-1268,174.5,NA
-2.355,-1290,175.5,0.085
-2.58,-1313,176.5,NA
-2.49,-1335,177.5,NA
-2.59,-1356,178.5,NA
-2.55,-1378,179.5,NA
-2.5,-1400,180.5,NA
-2.68,-1421,181.5,0.02
-2.82,-1442,182.5,NA
-2.58,-1464,183.5,NA
-2.85,-1485,184.5,NA
-2.35,-1526,186.5,0.11
-2.54,-1567,188.5,NA
-2.48,-1608,190.5,NA
-2.53,-1648,192.5,NA
-2.59,-1688,194.5,NA
-2.4,-1728,196.5,NA
-2.64,-1767,198.5,NA
-2.45,-1806,200.5,NA
-2.39,-1845,202.5,NA
-2.51,-1884,204.5,NA
-2.66,-1922,206.5,0.21
-2.49,-1961,208.5,NA
-2.5,-1999,210.5,NA
-2.55,-2038,212.5,NA
-2.77,-2077,214.5,NA
-2.68,-2115,216.5,NA
-2.72,-2154,218.5,NA
-2.77,-2193,220.5,NA
-2.72,-2233,222.5,NA
-2.44,-2272,224.5,NA
-2.4,-2312,226.5,NA
-2.37,-2352,228.5,0.16
-2.44,-2393,230.5,NA
-2.44,-2434,232.5,NA
-2.68,-2476,234.5,NA
-2.68,-2518,236.5,NA
-2.37,-2560,238.5,NA
-2.43,-2603,240.5,NA
-2.555,-2646,242.5,0.215
-2.495,-2689,244.5,0.195
-2.55,-2732,246.5,NA
-2.82,-2775,248.5,NA
-2.435,-2819,250.5,0.175
-2.61,-2862,252.5,NA
-2.68,-2905,254.5,NA
-2.54,-2948,256.5,NA
-2.76,-2990,258.5,NA
-2.45,-3032,260.5,NA
-2.29,-3074,262.5,NA
-2.38,-3116,264.5,NA
-2.42,-3157,266.5,NA
-2.54,-3198,268.5,NA
-2.54,-3238,270.5,NA
-2.27,-3279,272.5,NA
-2.15,-3318,274.5,NA
-2.35,-3358,276.5,NA
-2.58,-3397,278.5,NA
-2.4,-3435,280.5,NA
-2.5,-3474,282.5,NA
-2.42,-3512,284.5,NA
-2.52,-3549,286.5,NA
-2.77,-3586,288.5,NA
-2.515,-3622,290.5,0.145
-2.76,-3659,292.5,NA
-2.82,-3694,294.5,NA
-2.58,-3730,296.5,NA
-2.43,-3764,298.5,NA
-2.43,-3799,300.5,NA
-2.27,-3833,302.5,NA
-2.52,-3867,304.5,NA
-2.5,-3899,306.5,NA
-2.38,-3932,308.5,NA
-2.18,-3964,310.5,NA
-2.43,-3996,312.5,NA
-2.12,-4027,314.5,NA
-2.21,-4058,316.5,NA
-2.23,-4088,318.5,NA
-2.32,-4117,320.5,NA
-2.13,-4146,322.5,NA
-2.31,-4175,324.5,NA
-2.57,-4203,326.5,NA
-2.38,-4231,328.5,NA
-2.31,-4258,330.5,NA
-2.57,-4284,332.5,NA
-2.59,-4310,334.5,NA
-2.74,-4336,336.5,NA
-2.33,-4361,338.5,NA
-2.35,-4385,340.5,NA
-2.58,-4410,342.5,NA
-2.65,-4434,344.5,NA
-2.41,-4459,346.5,NA
-2.46,-4483,348.5,NA
-2.55,-4508,350.5,NA
-2.64,-4533,352.5,NA
-2.41,-4558,354.5,NA
-2.3,-4584,356.5,NA
-2.5,-4610,358.5,NA
-2.48,-4637,360.5,NA
-2.2,-4665,362.5,NA
-2.29,-4694,364.5,NA
-2.46,-4723,366.5,NA
-2.4,-4754,368.5,NA
-2.43,-4786,370.5,NA
-2.69,-4819,372.5,NA
-2.52,-4853,374.5,NA
-2.55,-4889,376.5,NA
-1.99,-4926,378.5,NA
-2.34,-4964,380.5,NA
-2.28,-5003,382.5,NA
-2.45,-5043,384.5,NA
-2.51,-5084,386.5,NA
-2.69,-5126,388.5,NA
-2.55,-5169,390.5,NA
-2.25,-5213,392.5,NA
-2.49,-5257,394.5,NA
-2.55,-5302,396.5,NA
-2.26,-5348,398.5,NA
-2.64,-5394,400.5,NA
-2.41,-5440,402.5,NA
-2.31,-5487,404.5,NA
-2.29,-5535,406.5,NA
-2.49,-5582,408.5,NA
-2.44,-5630,410.5,NA
-2.53,-5678,412.5,NA
-2.57,-5726,414.5,NA
-2.51,-5774,416.5,NA
-2.58,-5822,418.5,NA
-2.48,-5870,420.5,NA
-2.2,-5918,422.5,NA
-2.36,-5965,424.5,NA
-2.22,-6013,426.5,NA
-2.37,-6059,428.5,NA
-2.53,-6106,430.5,NA
-2.67,-6152,432.5,NA
-2.9,-6197,434.5,NA
-2.5,-6242,436.5,NA
-2.45,-6286,438.5,NA
-2.04,-6330,440.5,NA
-1.99,-6373,442.5,NA
-2.45,-6416,444.5,NA
-2.34,-6458,446.5,NA
-2.56,-6500,448.5,NA
-2.42,-6541,450.5,NA
-1.91,-6581,452.5,NA
-2.38,-6621,454.5,NA
-2.38,-6661,456.5,NA
-2.52,-6700,458.5,NA
-2.39,-6738,460.5,NA
-2.12,-6776,462.5,NA
-2.39,-6814,464.5,NA
-2.43,-6851,466.5,NA
-2.33,-6887,468.5,NA
-2.17,-6923,470.5,NA
-2.43,-6958,472.5,NA
-2.43,-6994,474.5,NA
-2.43,-7028,476.5,NA
-2.27,-7062,478.5,NA
-2.53,-7096,480.5,NA
-2.66,-7129,482.5,NA
-2.44,-7162,484.5,NA
-2.62,-7194,486.5,NA
-2.56,-7226,488.5,NA
-2.39,-7258,490.5,NA
-2.56,-7289,492.5,0.1
-2.39,-7319,494.5,NA
-2.41,-7349,496.5,NA
-2.18,-7379,498.5,NA
-2.44,-7408,500.5,NA
-2.77,-7437,502.5,NA
-2.66,-7466,504.5,NA
-2.35,-7494,506.5,NA
-2.56,-7522,508.5,NA
-2.17,-7550,510.5,NA
-2.28,-7577,512.5,NA
-2.43,-7603,514.5,NA
-2.48,-7630,516.5,NA
-2.2,-7656,518.5,NA
-2.49,-7682,520.5,NA
-2.35,-7707,522.5,NA
-2.5,-7733,524.5,NA
-2.45,-7758,526.5,NA
-2.33,-7783,528.5,NA
-2.45,-7808,530.5,NA
-2.41,-7832,532.5,NA
-2.55,-7857,534.5,NA
-2.57,-7881,536.5,NA
-2.44,-7905,538.5,NA
-2.68,-7929,540.5,NA
-2.85,-7953,542.5,NA
-2.6,-7977,544.5,NA
-2.85,-8000,546.5,NA
-2.73,-8024,548.5,NA
-2.59,-8047,550.5,NA
-2.675,-8071,552.5,0.095
-2.92,-8095,554.5,NA
-2.58,-8119,556.5,NA
-2.28,-8142,558.5,NA
-2.44,-8166,560.5,NA
-2.92,-8190,562.5,0.06
-2.9,-8214,564.5,NA
-2.89,-8237,566.5,NA
-2.75,-8261,568.5,NA
-2.7,-8286,570.5,NA
-2.64,-8310,572.5,NA
-2.56,-8334,574.5,NA
-2.83,-8359,576.5,NA
-2.51,-8384,578.5,NA
-2.63,-8409,580.5,NA
-2.75,-8434,582.5,NA
-2.75,-8460,584.5,NA
-2.53,-8486,586.5,NA
-2.61,-8512,588.5,NA
-2.7,-8538,590.5,NA
-2.77,-8565,592.5,NA
-2.57,-8592,594.5,NA
-2.77,-8620,596.5,NA
-2.5,-8647,598.5,NA
-2.67,-8675,600.5,NA
-2.65,-8703,602.5,NA
-2.65,-8732,604.5,NA
-2.65,-8762,606.5,NA
-2.47,-8792,608.5,NA
-2.29,-8822,610.5,NA
-2.35,-8853,612.5,NA
-2.59,-8884,614.5,NA
-2.32,-8915,616.5,NA
-2.32,-8947,618.5,NA
-2.42,-8980,620.5,NA
-2.3,-9014,622.5,NA
-2.14,-9047,624.5,NA
-2.55,-9082,626.5,NA
-2.33,-9117,628.5,NA
-2.61,-9152,630.5,NA
-2.54,-9188,632.5,NA
-2.24,-9224,634.5,NA
-2.38,-9261,636.5,NA
-2.54,-9298,638.5,NA
-2.41,-9336,640.5,NA
-2.63,-9374,642.5,NA
-2.01,-9413,644.5,NA
-2.28,-9451,646.5,NA
-2.44,-9490,648.5,NA
-2.1,-9530,650.5,NA
-2.2,-9570,652.5,NA
-2.04,-9610,654.5,NA
-1.74,-9650,656.5,NA
-2.02,-9759,658.5,NA
-2.04,-9798,660.5,NA
-2.45,-9838,662.5,NA
-2.11,-9877,664.5,NA
-2.09,-9917,666.5,NA
-1.81,-9956,668.5,NA
-1.97,-9996,670.5,NA
-1.945,-10035,672.5,0.215
-1.97,-10075,674.5,NA
-2.08,-10114,676.5,NA
-2.04,-10154,678.5,NA
-1.92,-10193,680.5,NA
-2.105,-10233,682.5,0.025
-1.89,-10272,684.5,NA
-1.97,-10312,686.5,NA
-1.89,-10351,688.5,NA
-1.96,-10391,690.5,NA
-2.035,-10431,692.5,0.005
-2.06,-10470,694.5,NA
-1.81,-10510,696.5,NA
-1.78,-10549,698.5,NA
-1.91,-10589,700.5,NA
-1.82,-10628,702.5,NA
-1.82,-10668,704.5,NA
-2.03,-10707,706.5,NA
-2.04,-10747,708.5,NA
-1.99,-10786,710.5,NA
-2.13,-10826,712.5,NA
-2.17,-10865,714.5,NA
-2.28,-10905,716.5,NA
-2.43,-10944,718.5,NA
-2.23,-10984,720.5,NA
-2.45,-11023,722.5,NA
-2.2,-11063,724.5,NA
-2.43,-11102,726.5,NA
-2.12,-11142,728.5,NA
-2.27,-11182,730.5,NA
-2.08,-11221,732.5,NA
-2.06,-11261,734.5,NA
-2.03,-11300,736.5,NA
-2.03,-11340,738.5,NA
-2.03,-11379,740.5,NA
-2.16,-11419,742.5,NA
-2.21,-11458,744.5,NA
-2.02,-11498,746.5,NA
-2.16,-11537,748.5,NA
-1.99,-11577,750.5,NA
-2.08,-11616,752.5,NA
-2.09,-11656,754.5,NA
-2.08,-11695,756.5,NA
-2.21,-11735,758.5,NA
-2.03,-11774,760.5,NA
-2.21,-11814,762.5,NA
-1.78,-11853,764.5,NA
-2.13,-11893,766.5,NA
-2.2,-11932,768.5,NA
-2.06,-11972,770.5,NA
-2.11,-12012,772.5,NA
-1.96,-12051,774.5,NA
-2.23,-12091,776.5,NA
-2.07,-12130,778.5,NA
-1.9,-12170,780.5,NA
-2.21,-12209,782.5,NA
-1.95,-12249,784.5,0.01
-1.94,-12288,786.5,NA
-1.94,-12328,788.5,NA
-1.8,-12367,790.5,NA
-2.16,-12407,792.5,NA
-1.76,-12446,794.5,NA
-1.87,-12486,796.5,NA
-2,-12525,798.5,NA
-1.89,-12565,800.5,NA
-1.88,-12604,802.5,NA
-1.88,-12644,804.5,NA
-1.8,-12683,806.5,NA
-1.48,-12723,808.5,NA
-1.46,-12856,810.5,NA
-1.62,-12990,812.5,NA
-1.4,-13123,814.5,NA
-1.46,-13256,816.5,NA
-1.41,-13389,818.5,NA
-1.63,-13523,820.5,NA
-1.41,-13656,822.5,NA
-1.48,-13789,824.5,NA
-1.43,-13922,826.5,NA
-1.47,-14056,828.5,NA
-1.52,-14189,830.5,NA
-1.54,-14322,832.5,0.26
-1.26,-14456,834.5,NA
-1.3,-14589,836.5,NA
-1.43,-14722,838.5,NA
-1.33,-14855,840.5,NA
-1.25,-14922,841.5,NA
-1.97,-14989,842.5,NA
-1.27,-15055,843.5,NA
-1.36,-15122,844.5,NA
-1.42,-15255,846.5,NA
-1.19,-15388,848.5,NA
-1.29,-15522,850.5,NA
-1.21,-15655,852.5,NA
-1.15,-15788,854.5,NA
-1.3,-15922,856.5,NA
-1.35,-16055,858.5,NA
-1.28,-16188,860.5,NA
-1.08,-16321,862.5,NA
-1.28,-16455,864.5,NA
-1.27,-16588,866.5,NA
-1.34,-16721,868.5,NA
-1.19,-16855,870.5,NA
-1.33,-16988,872.5,NA
-1.5,-17121,874.5,NA
-1.31,-17254,876.5,NA
-1.46,-17388,878.5,NA
-1.22,-17521,880.5,NA
-1.49,-17654,882.5,NA
-1.24,-17787,884.5,0.14
-1.33,-17921,886.5,NA
-1.2,-18054,888.5,NA
-1.14,-18187,890.5,NA
-1.35,-18321,892.5,NA
-1.24,-18454,894.5,NA
-1.19,-18587,896.5,NA
-1.13,-18720,898.5,NA
-1.27,-18854,900.5,NA
-1.32,-18987,902.5,NA
-1.33,-19120,904.5,NA
-1.29,-19253,906.5,NA
-1.13,-19387,908.5,NA
-1.31,-19520,910.5,NA
-1.21,-19653,912.5,NA
-1.09,-19687,913,NA
-1.37,-19787,914.5,NA
-1.13,-19920,916.5,NA
-1,-20186,920.5,NA
-1.33,-20320,922.5,NA
-1.12,-20453,924.5,NA
-0.96,-20586,926.5,NA
-1.26,-20719,928.5,NA
-1.07,-20853,930.5,NA
-1.445,-20986,932.5,0.235
-1.18,-21091,934.5,NA
-1.39,-21195,936.5,NA
-1.07,-21300,938.5,NA
-1.38,-21404,940.5,NA
-1.13,-21492,942.5,NA
-1.15,-21579,944.5,NA
-1.12,-21667,946.5,NA
-1.28,-21754,948.5,NA
-1.35,-21842,950.5,NA
-1.2,-21929,952.5,NA
-1.31,-22017,954.5,NA
-1.21,-22192,958.5,NA
-1.15,-22279,960.5,NA
-1.31,-22367,962.5,NA
-1.34,-22455,964.5,NA
-1.11,-22542,966.5,NA
-1.3,-22630,968.5,NA
-1.13,-22717,970.5,NA
-1.36,-22805,972.5,NA
-1.28,-22892,974.5,NA
-1.09,-22980,976.5,NA
-1.29,-23067,978.5,NA
-1.22,-23155,980.5,NA
-1.11,-23242,982.5,NA
-1.08,-23330,984.5,NA
-1.39,-23418,986.5,NA
-1.24,-23505,988.5,NA
-1.31,-23593,990.5,NA
-1.3,-23680,992.5,NA
-1.07,-23768,994.5,NA
-1.21,-23855,996.5,NA
-1.27,-23943,998.5,NA
-1.22,-24030,1000.5,NA
-1.055,-24118,1002.5,0.045
-1.33,-24205,1004.5,NA
-1.36,-24293,1006.5,NA
-1.25,-24380,1008.5,NA
-1.3,-24468,1010.5,NA
-1.24,-24556,1012.5,NA
-1.31,-24643,1014.5,NA
-1.31,-24731,1016.5,NA
-1.3,-24818,1018.5,NA
-1.37,-24906,1020.5,NA
-1.35,-24993,1022.5,NA
-1.3,-25081,1024.5,NA
-1.3,-25168,1026.5,NA
-1.44,-25256,1028.5,NA
-1.46,-25343,1030.5,NA
-1.11,-25431,1032.5,NA
-1.54,-25520,1034.5,NA
-1.32,-25609,1036.5,NA
-1.45,-25697,1038.5,NA
-1.73,-25786,1040.5,NA
-1.615,-25896,1042.5,0.055
-1.47,-26006,1044.5,NA
-1.58,-26117,1046.5,NA
-1.57,-26227,1048.5,NA
-1.32,-26337,1050.5,NA
-1.38,-26397,1052.5,NA
-1.62,-26458,1054.5,NA
-1.42,-26518,1056.5,NA
-1.48,-26639,1060.5,NA
-1.51,-26699,1062.5,NA
-1.47,-26760,1064.5,NA
-1.46,-26820,1066.5,NA
-1.56,-26881,1068.5,NA
-1.69,-26941,1070.5,NA
-1.61,-27051,1072.5,NA
-1.48,-27160,1074.5,NA
-1.41,-27270,1076.5,NA
-1.5,-27379,1078.5,NA
-1.49,-27489,1080.5,NA
-1.45,-27599,1082.5,NA
-1.18,-27708,1084.5,NA
-1.38,-27818,1086.5,NA
-1.44,-27927,1088.5,NA
-1.52,-28037,1090.5,NA
-1.34,-28146,1092.5,NA
-1.66,-28256,1094.5,NA
-1.64,-28366,1096.5,NA
-1.35,-28475,1098.5,NA
-1.46,-28585,1100.5,NA
-1.615,-28694,1102.5,0.045
-1.41,-28804,1104.5,NA
-1.25,-28914,1106.5,NA
-1.52,-29023,1108.5,NA
-1.5,-29133,1110.5,NA
-1.32,-29242,1112.5,NA
-1.41,-29352,1114.5,NA
-1.37,-29461,1116.5,NA
-1.29,-29571,1118.5,NA
-1.54,-29645,1120.5,NA
-1.5,-29718,1122.5,NA
-1.52,-29792,1124.5,NA
-1.47,-29865,1126.5,NA
-1.46,-29939,1128.5,NA
-1.56,-30012,1130.5,NA
-1.56,-30086,1132.5,NA
-1.58,-30159,1134.5,NA
-1.69,-30233,1136.5,NA
-1.62,-30300,1138.5,NA
-1.51,-30366,1140.5,NA
-1.59,-30433,1142.5,NA
-1.49,-30499,1144.5,NA
-1.64,-30566,1146.5,NA
-1.5,-30632,1148.5,NA
-1.53,-30699,1150.5,NA
-1.55,-30765,1152.5,NA
-1.65,-30832,1154.5,NA
-1.52,-30898,1156.5,NA
-1.42,-30965,1158.5,NA
-1.42,-31031,1160.5,NA
-1.48,-31065,1162.5,NA
-1.55,-31099,1164.5,NA
-1.63,-31132,1166.5,NA
-1.52,-31166,1168.5,NA
-1.64,-31200,1170.5,NA
-1.61,-31234,1172.5,NA
-1.64,-31268,1174.5,NA
-1.53,-31301,1176.5,NA
-1.69,-31335,1178.5,NA
-1.84,-31369,1180.5,NA
-1.77,-31436,1182.5,NA
-1.73,-31503,1184.5,NA
-1.77,-31570,1186.5,NA
-1.69,-31704,1188.5,NA
-1.66,-31838,1190.5,NA
-1.57,-31972,1192.5,NA
-1.69,-32147,1194.5,NA
-1.76,-32322,1196.5,NA
-1.68,-32497,1198.5,NA
-1.72,-32672,1200.5,NA
-1.59,-32847,1202.5,NA
-1.79,-33022,1204.5,NA
-1.78,-33152,1206.5,NA
-1.77,-33282,1208.5,NA
-1.71,-33401,1210.5,NA
-1.46,-33519,1212.5,NA
-1.75,-33638,1214.5,NA
-1.44,-33756,1216.5,NA
-1.67,-33936,1218.5,NA
-1.55,-34116,1220.5,NA
-1.67,-34296,1222.5,NA
-1.79,-34476,1224.5,NA
-1.47,-34575,1226.5,NA
-1.62,-34674,1228.5,NA
-1.54,-34773,1230.5,NA
-1.81,-34872,1232.5,NA
-1.62,-35022,1234.5,NA
-1.88,-35172,1236.5,NA
-1.85,-35321,1238.5,NA
-1.77,-35471,1240.5,NA
-1.86,-35621,1242.5,NA
-1.61,-35771,1244.5,NA
-1.9,-35921,1246.5,NA
-1.97,-36070,1248.5,NA
-1.94,-36220,1250.5,NA
-1.985,-36370,1252.5,0.055
-1.89,-36527,1254.5,NA
-1.73,-36684,1256.5,NA
-1.57,-36840,1258.5,NA
-1.46,-36997,1260.5,NA
-1.405,-37154,1262.5,0.125
-1.61,-37360,1264.5,NA
-1.56,-37566,1266.5,NA
-1.64,-37772,1268.5,NA
-1.64,-37978,1270.5,NA
-1.81,-38184,1272.5,NA
-1.66,-38251,1274.5,NA
-1.59,-38319,1276.5,NA
-1.55,-38386,1278.5,NA
-1.65,-38454,1280.5,NA
-1.46,-38521,1282.5,NA
-1.51,-38589,1284.5,NA
-1.43,-38656,1286.5,NA
-1.57,-38687,1288.5,NA
-1.64,-38718,1290.5,NA
-1.48,-38749,1292.5,NA
-1.66,-38780,1294.5,NA
-1.69,-38811,1296.5,NA
-1.57,-38842,1298.5,NA
-1.87,-38873,1300.5,NA
-1.76,-38925,1302.5,NA
-1.73,-38976,1304.5,NA
-1.67,-39028,1306.5,NA
-1.89,-39079,1308.5,NA
-1.82,-39131,1310.5,NA
-1.94,-39182,1312.5,NA
