d180carbVBDB (permil),year (AD),age (BP),depth (cm),d13CcarbDPDB (permil)
-5.25,1880.1,69.9000000000001,14.45,4.07
-5.77,1878.2,71.8,14.6,3.44
-5.23,1876.2,73.8,14.75,3.71
-7.01,1874.9,75.0999999999999,14.85,2.3
-6.56,1873,77,15,2.42
-4.7,1870.2,79.8,15.2,4.26
-5.46,1867.4,82.5999999999999,15.4,3.43
-6.96,1865.3,84.7,15.55,2.13
-6.61,1863.9,86.0999999999999,15.65,2.19
-5.27,1862.5,87.5,15.75,3.53
-4.87,1860.4,89.5999999999999,15.9,3.77
-5.26,1858.3,91.7,16.05,2.74
-5.79,1857,93,16.15,2.57
-4.65,1855.1,94.9000000000001,16.3,4.23
-5.44,1853.1,96.9000000000001,16.45,3.77
-7.07,1851.8,98.2,16.55,2.38
-5.03,1849.9,100.1,16.7,4.55
-5.91,1847.9,102.1,16.85,3.52
-6.08,1846.6,103.4,16.95,3.31
-7.76,1845.3,104.7,17.05,1.78
-6.39,1843.2,106.8,17.2,3.01
-5.43,1840.4,109.6,17.4,4.19
-5.45,1837.6,112.4,17.6,4.29
-5.54,1835.5,114.5,17.75,4.31
-5.37,1834.1,115.9,17.85,4.41
-5.23,1832.7,117.3,17.95,4.14
-5.12,1830.6,119.4,18.1,4.56
-5.36,1828.5,121.5,18.25,4.43
-5.15,1826.4,123.6,18.4,4.47
-2.83,1824.3,125.7,18.55,5.43
-5.19,1822.2,127.8,18.7,4.42
-5.41,1819.4,130.6,18.9,3.92
-5.41,1815.4,134.6,19.2,4.11
-5.6,1813.4,136.6,19.35,3.97
-5.34,1811.5,138.5,19.5,4.09
-5.44,1809.5,140.5,19.65,4.25
-5.68,1808.2,141.8,19.75,3.86
-5.29,1805.6,144.4,19.95,4.15
-5.26,1804.3,145.7,20.05,4.21
-5.68,1802.9,147.1,20.15,3.49
-5.85,1801.5,148.5,20.25,3.22
-5.57,1800.1,149.9,20.35,4
-5.51,1798.7,151.3,20.45,3.97
-5.51,1795.9,154.1,20.65,4.13
-5.76,1794.5,155.5,20.75,4.05
-5.4,1792.4,157.6,20.9,4.1
-6.11,1790.3,159.7,21.05,3.23
-6.86,1789,161,21.15,1.97
-6.15,1787.1,162.9,21.3,2.77
-5.26,1785.1,164.9,21.45,3.89
-5.93,1783.8,166.2,21.55,3.12
-5.67,1782.5,167.5,21.65,3.32
-6.29,1781.2,168.8,21.75,2.69
-5.73,1779.3,170.7,21.9,3.4
-5.54,1777.3,172.7,22.05,3.52
-5.84,1775.9,174.1,22.15,3.32
-5.56,1774.5,175.5,22.25,3.59
-5.18,1772.4,177.6,22.4,3.98
-5.2,1770.3,179.7,22.55,3.85
-5.37,1767.5,182.5,22.75,3.97
-5.18,1764,186,23,4.35
-5.08,1762,188,23.15,4.34
-5.18,1760.7,189.3,23.25,4.06
-5.29,1759.4,190.6,23.35,4.33
-4.99,1758.1,191.9,23.45,4.49
-5.01,1756.2,193.8,23.6,4.47
-5.12,1754.2,195.8,23.75,4.5
-5.29,1752.3,197.7,23.9,4.36
-5.38,1749.6,200.4,24.1,4.12
-5.58,1747.5,202.5,24.25,3.95
-5,1745.4,204.6,24.4,4.22
-5.37,1743.3,206.7,24.55,4.01
-4.93,1741.9,208.1,24.65,4.58
-5.03,1739.8,210.2,24.8,4.35
-5.3,1737,213,25,4
-5.56,1735,215,25.15,4.09
-4.87,1733.7,216.3,25.25,4.37
-4.88,1732.4,217.6,25.35,4.48
-5.1,1731.1,218.9,25.45,4.46
-4.98,1729.8,220.2,25.55,4.46
-5.01,1727.9,222.1,25.7,4.36
-4.94,1725.9,224.1,25.85,4.61
-4.98,1724.6,225.4,25.95,4.51
-4.01,1722.6,227.4,26.1,4.71
-5.28,1719.1,230.9,26.35,4.29
-5.23,1717,233,26.5,4.29
-5.46,1714.2,235.8,26.7,4.04
-4.57,1711.4,238.6,26.9,4.12
-5.26,1709.3,240.7,27.05,4.27
-5.33,1708,242,27.15,4.22
-5.42,1706.7,243.3,27.25,4.26
-5.88,1705.4,244.6,27.35,3.94
-5.56,1704.1,245.9,27.45,3.85
-5.26,1702.2,247.8,27.6,4.45
-5.17,1699.6,250.4,27.8,4.58
-4.54,1697,253,28,4.8
-5.04,1694.9,255.1,28.15,4.7
-4.97,1693.5,256.5,28.25,4.77
-4.91,1692.1,257.9,28.35,4.85
-4.83,1690.7,259.3,28.45,4.94
-4.82,1689.3,260.7,28.55,5.09
-5.01,1687.2,262.8,28.7,4.92
-5.33,1684.4,265.6,28.9,4.91
-5.11,1682.3,267.7,29.05,5.26
-5.18,1681,269,29.15,5.01
-5.17,1679.1,270.9,29.3,5.05
-5.74,1677.1,272.9,29.45,4.36
-5.06,1675.8,274.2,29.55,5.09
-5.23,1673.9,276.1,29.7,4.99
-4.99,1671.9,278.1,29.85,4.96
-5.04,1670.6,279.4,29.95,4.94
-4.76,1668.6,281.4,30.1,5.09
-5.11,1666.5,283.5,30.25,4.88
-5.01,1664.4,285.6,30.4,5.02
-5.23,1662.3,287.7,30.55,4.94
-5.39,1660.9,289.1,30.65,4.57
-5.18,1659.5,290.5,30.75,4.97
-5.14,1657.4,292.6,30.9,4.98
-5.23,1655.3,294.7,31.05,4.69
-4.99,1653.4,296.6,31.2,4.47
-5.12,1651.4,298.6,31.35,4.62
-4.77,1648.8,301.2,31.55,4.58
-4.88,1647.5,302.5,31.65,4.5
-4.73,1646.2,303.8,31.75,4.63
-4.98,1644.3,305.7,31.9,4.59
-4.73,1641.6,308.4,32.1,4.68
-6.74,1639.5,310.5,32.25,2.62
-4.79,1637.4,312.6,32.4,4.64
-4.76,1634.6,315.4,32.6,4.58
-4.62,1631.1,318.9,32.85,4.54
-5.11,1629.7,320.3,32.95,4.54
-4.9,1628.3,321.7,33.05,4.41
-5,1626.2,323.8,33.2,4.53
-4.99,1624.1,325.9,33.35,4.64
-4.87,1622.7,327.3,33.45,4.78
-5.05,1621.3,328.7,33.55,4.58
-4.88,1617.1,332.9,33.85,4.62
-4.7,1615,335,34,4.73
-4.91,1613,337,34.15,4.72
-4.89,1611.7,338.3,34.25,4.81
-5.09,1610.4,339.6,34.35,4.65
-4.84,1608.5,341.5,34.5,4.87
-4.94,1606.5,343.5,34.65,4.7
-0.84,1604.6,345.4,34.8,6.33
-4.67,1602,348,35,4.59
-4.74,1599.9,350.1,35.15,4.72
-4.8,1597.8,352.2,35.3,4.68
-4.87,1594.3,355.7,35.55,4.48
-4.67,1592.2,357.8,35.7,4.62
-4.88,1590.1,359.9,35.85,4.55
-4.95,1588.7,361.3,35.95,4.54
-4.96,1586.7,363.3,36.1,4.62
-5.06,1584.7,365.3,36.25,4.48
-5.09,1583.4,366.6,36.35,4.47
-2.66,1581.5,368.5,36.5,5.73
-5.32,1579.5,370.5,36.65,4.55
-5.31,1577.6,372.4,36.8,4.63
-5.27,1575,375,37,4.71
-5.3,1572.2,377.8,37.2,4.92
-5.42,1569.4,380.6,37.4,4.71
-5.31,1567.3,382.7,37.55,4.39
-5.36,1565.9,384.1,37.65,4.28
-5.53,1564.5,385.5,37.75,4.29
-5.05,1563.1,386.9,37.85,4.31
-7.2,1561.7,388.3,37.95,3.26
-5.87,1560.3,389.7,38.05,3.71
-6.02,1558.4,391.6,38.2,3.45
-6.14,1555.8,394.2,38.4,3.56
-5.85,1553.8,396.2,38.55,3.73
-5.66,1552.5,397.5,38.65,4.08
-5.19,1551.2,398.8,38.75,4.54
-5.29,1549.3,400.7,38.9,4.55
-4.99,1547.3,402.7,39.05,4.57
-5.06,1545.9,404.1,39.15,4.73
-5.13,1543.8,406.2,39.3,4.7
-5.3,1541.7,408.3,39.45,4.72
-5.23,1539.6,410.4,39.6,4.6
-5.23,1537.5,412.5,39.75,4.79
-5.18,1535.4,414.6,39.9,4.58
-5.39,1532.7,417.3,40.1,4.51
-5.41,1530.1,419.9,40.3,4.92
-5.34,1528.1,421.9,40.45,4.59
-5.55,1526.8,423.2,40.55,4.47
-5.78,1525.5,424.5,40.65,4.36
-5.66,1523.6,426.4,40.8,4.3
-5.91,1521.6,428.4,40.95,4.08
-5.77,1520.3,429.7,41.05,4.07
-6.03,1518.2,431.8,41.2,4.25
-6.01,1516.1,433.9,41.35,4.2
-5.95,1514.7,435.3,41.45,4.08
-5.92,1512.6,437.4,41.6,3.85
-5.84,1509.8,440.2,41.8,4.26
-6.21,1507.7,442.3,41.95,3.6
-6.7,1506.3,443.7,42.05,2.96
-6.31,1504.4,445.6,42.2,3.31
-6.67,1502.4,447.6,42.35,2.89
-6.96,1500.5,449.5,42.5,2.83
-6.8,1498.5,451.5,42.65,2.79
-7.05,1496.6,453.4,42.8,2.61
-7.5,1494.6,455.4,42.95,2.03
-6.83,1492.6,457.4,43.1,2.95
-6.62,1490.5,459.5,43.25,3.06
-6.18,1489.1,460.9,43.35,3.43
-5.93,1487,463,43.5,3.58
-6.11,1484.9,465.1,43.65,3.07
-5.23,1479.8,470.2,44.01,-6.88
-5,1474.5,475.5,44.23,0.49
-4.9,1469.2,480.8,44.45,0.18
-4.82,1466.6,483.4,44.56,-2.24
-4.87,1463.9,486.1,44.67,-0.13
-4.77,1461.3,488.7,44.78,2.31
-4.71,1458.6,491.4,44.89,1.61
-4.85,1456.2,493.8,44.99,1.41
-4.93,1453.6,496.4,45.1,1.68
-5.05,1451,499,45.21,-0.74
-4.54,1448.3,501.7,45.32,4.08
-4.92,1445.7,504.3,45.43,-0.34
-3.69,1443,507,45.54,2.34
-4.66,1440.4,509.6,45.65,1.11
-7.09,1437.8,512.2,45.76,-1.38
-4.37,1435.1,514.9,45.87,2.44
-4.31,1432.5,517.5,45.98,-9.42
-2.83,1430.1,519.9,46.08,3.63
-4.63,1427.4,522.6,46.19,2.47
-3.88,1424.8,525.2,46.3,-1.16
-4.13,1422.2,527.8,46.41,0.22
-2.45,1419.5,530.5,46.52,2.21
-3.78,1416.9,533.1,46.63,2.55
-4.51,1414.2,535.8,46.74,4.06
-4.67,1411.6,538.4,46.85,-6.21
-2.31,1409,541,46.96,2.5
-4.74,1403.9,546.1,47.17,3.13
-2.29,1401.3,548.7,47.28,1.32
-3.25,1398.6,551.4,47.39,-2.58
-2.82,1396,554,47.5,3.2
-4.22,1393.4,556.6,47.61,2.37
-4.82,1390.7,559.3,47.72,3.32
-4.97,1388.1,561.9,47.83,4.36
-3.95,1385.4,564.6,47.94,-8.71
-5.01,1382.8,567.2,48.05,4.15
-4.46,1380.2,569.8,48.16,1.71
-5.1,1377.8,572.2,48.26,4.02
-5.12,1375.1,574.9,48.37,3.97
-5.97,1372.7,577.3,48.47,2.14
-5.18,1370.3,579.7,48.57,4.11
-5.58,1367.9,582.1,48.67,3.47
-5.72,1365.5,584.5,48.77,2.98
-5.31,1363.1,586.9,48.87,4.08
-5.39,1360.7,589.3,48.97,4.07
-5.67,1358.3,591.7,49.07,2.86
-5.37,1355.9,594.1,49.17,3.56
-5.55,1353.5,596.5,49.27,3.56
-5.34,1351.1,598.9,49.37,4.3
-5.24,1348.7,601.3,49.47,4.5
-5.42,1346.3,603.7,49.57,3.61
-5.32,1343.9,606.1,49.67,3.99
-5.01,1341.5,608.5,49.77,4.21
-5.74,1339.1,610.9,49.87,1.85
-5.13,1336.7,613.3,49.97,3.42
-5.4,1334.3,615.7,50.07,3.19
-5.43,1331.9,618.1,50.17,3.67
-5.36,1329.5,620.5,50.27,3.48
-5.55,1327.1,622.9,50.37,3.84
-6.32,1324.7,625.3,50.47,0.33
-5.67,1322.3,627.7,50.57,3.77
-5.79,1319.9,630.1,50.67,3.52
-5.7,1317.5,632.5,50.77,3.89
-5.96,1315.1,634.9,50.87,3.59
-5.72,1312.7,637.3,50.97,3.74
-5.98,1310.3,639.7,51.07,2.74
-5.55,1307.9,642.1,51.17,3.13
-5.12,1305.5,644.5,51.27,3.16
-4.96,1303.1,646.9,51.37,3.62
-6.12,1300.7,649.3,51.47,2.89
-6.21,1298.3,651.7,51.57,3.83
-4.92,1295.9,654.1,51.67,3.37
-5.81,1293.5,656.5,51.77,3.31
-5.8,1291.1,658.9,51.87,2.79
-5.53,1288.7,661.3,51.97,2.01
-5.46,1286.3,663.7,52.07,1.92
-5.37,1283.9,666.1,52.17,2.46
-5.34,1281.5,668.5,52.27,1.66
-5.35,1279.1,670.9,52.37,2.48
-5.42,1276.7,673.3,52.47,2.34
-5.24,1274.3,675.7,52.57,2.81
-6.1,1271.9,678.1,52.67,-3.98
-5.4,1269.5,680.5,52.77,2.58
-5.3,1267.4,682.6,52.86,4.1
-5.25,1265.7,684.3,52.93,3.93
-5.25,1263.8,686.2,53.01,4.56
-5.36,1261.8,688.2,53.09,3.88
-5.21,1259.9,690.1,53.17,4.77
-5.01,1258.2,691.8,53.24,4.72
-5.16,1256.3,693.7,53.32,3.87
-5.13,1254.4,695.6,53.4,4.12
-5.07,1252.5,697.5,53.48,4.79
-5.21,1250.8,699.2,53.55,4.52
-5.95,1248.9,701.1,53.63,-2.57
-5.01,1247,703,53.71,4.61
-5.1,1245.3,704.7,53.78,4.07
-5.17,1243.4,706.6,53.86,4.47
-5.71,1241.4,708.6,53.94,-0.73
-4.89,1239.4,710.6,54.02,4.51
-4.43,1237.2,712.8,54.09,2.45
-5.23,1234.7,715.3,54.17,1.51
-4.72,1230.1,719.9,54.32,3.82
-5.24,1227.6,722.4,54.4,2.9
-4.63,1225.1,724.9,54.48,4
-10.49,1222.3,727.7,54.57,-3.02
-4.52,1219.2,730.8,54.67,4.66
-4.54,1213,737,54.87,4.19
-4.6,1209.9,740.1,54.97,1.73
-6.03,1206.8,743.2,55.07,1.98
-12.64,1203.6,746.4,55.17,-4.27
-5.27,1197.2,752.8,55.37,3.22
-4.94,1190.8,759.2,55.57,3.44
-4.13,1184.4,765.6,55.77,4.4
-5.89,1181.2,768.8,55.87,2.66
-3.91,1178,772,55.97,4.45
-4.66,1175.1,774.9,56.06,2.36
-4.68,1172.5,777.5,56.14,2.98
-5.26,1169.6,780.4,56.23,2.61
-4.05,1167.1,782.9,56.31,4.18
-4.69,1161.6,788.4,56.48,2.17
-4.8,1158.8,791.2,56.57,2.46
-4.13,1156.2,793.8,56.65,4.88
-4.07,1153.3,796.7,56.74,4.98
-4.25,1150.8,799.2,56.82,4.97
-4.31,1147.9,802.1,56.91,5.02
-5.36,1145.3,804.7,56.99,3.22
-4.41,1142.4,807.6,57.08,4.7
-4.63,1139.9,810.1,57.16,4.2
-4.57,1137,813,57.25,4.46
-5.59,1134.4,815.6,57.33,2.58
-4.41,1129,821,57.5,4.83
-4.01,1126.1,823.9,57.59,4.76
-4.28,1123.6,826.4,57.67,5.09
-4.08,1120.7,829.3,57.76,5.04
-4.21,1118.1,831.9,57.84,5.16
-4.26,1115.2,834.8,57.93,4.67
-4.62,1112.7,837.3,58.01,4.73
-4.33,1109.8,840.2,58.1,3.88
-4.66,1107.2,842.8,58.18,4.67
-4.27,1104.4,845.6,58.27,4.73
-4.24,1098.9,851.1,58.44,5.06
-4.21,1096.4,853.6,58.52,5.08
-4.33,1093.5,856.5,58.61,5.25
-4.74,1090.9,859.1,58.69,4.9
-4.54,1088,862,58.78,5.07
-4.94,1085.5,864.5,58.86,4.3
-4.41,1082.6,867.4,58.95,5.14
-8.02,1080,870,59.03,-5.29
-4.34,1077.2,872.8,59.12,5.12
-4.89,1074.6,875.4,59.2,4.84
-4.92,1071.7,878.3,59.29,4.95
-4.77,1069.2,880.8,59.37,4.7
-4.8,1066.3,883.7,59.46,5.06
-4.82,1063.7,886.3,59.54,5.23
-4.76,1060.8,889.2,59.63,5.22
-5.53,1058.3,891.7,59.71,3.35
-4.58,1055.4,894.6,59.8,4.29
-4.24,1052.8,897.2,59.88,5.17
-5.26,1050,900,59.97,1.85
-4.53,1047.4,902.6,60.05,5.13
-4.34,1044.7,905.3,60.14,4.92
-4.51,1042.2,907.8,60.22,4.21
-10.44,1039.4,910.6,60.31,-10.89
-4.43,1036.9,913.1,60.39,5.17
-5.59,1034.1,915.9,60.48,3
-4.71,1031.6,918.4,60.56,4.85
-6.28,1028.8,921.2,60.65,2.27
-9.57,1026.4,923.6,60.73,-15.16
-4.7,1023.6,926.4,60.82,4.64
-11.29,1021.1,928.9,60.9,-8.65
-4.81,1018.3,931.7,60.99,4.83
-5.33,1015.8,934.2,61.07,3.26
-4.78,1012.9,937.1,61.16,4.59
-5.59,1010.3,939.7,61.24,1.7
-4.86,1007.4,942.6,61.33,4.49
-11.34,1004.9,945.1,61.41,-8.02
-4.82,1002,948,61.5,4.59
-5.71,999.4,950.6,61.58,3.43
-4.58,996.6,953.4,61.67,4.96
-4.7,994,956,61.75,4.91
-6.96,991.1,958.9,61.84,2.95
-4.6,988.6,961.4,61.92,5.51
-4.83,985.7,964.3,62.01,5.08
-5.04,983.1,966.9,62.09,4.64
-4.83,980.2,969.8,62.18,5
-9.17,977.7,972.3,62.26,-3.61
-5.22,974.8,975.2,62.35,4.66
-5.24,972.2,977.8,62.43,4.69
-6.27,969,981,62.53,3.28
-5.53,965.8,984.2,62.63,4.47
-6.6,962.6,987.4,62.73,2.32
-5.31,959.4,990.6,62.83,4.5
-5.49,956.2,993.8,62.93,2.71
-4.96,949.8,1000.2,63.13,5.11
-5.49,943.4,1006.6,63.33,3.94
-5.1,940.2,1009.8,63.43,4.48
-5.21,937.4,1012.6,63.52,4.05
-7.57,934.2,1015.8,63.62,1.28
-7.27,931.3,1018.7,63.71,2.1
-5.39,928.1,1021.9,63.81,3.97
-5.25,925.2,1024.8,63.9,3.98
-5.72,922,1028,64,3.38
-5.49,915.9,1034.1,64.19,3.94
-5.26,913,1037,64.28,3.54
-5.71,909.8,1040.2,64.38,4.13
-4.71,907,1043,64.47,4.94
-4.8,903.8,1046.2,64.57,4.37
-5.3,900.9,1049.1,64.66,4.75
-5.31,894.8,1055.2,64.85,4.36
-6.5,891.3,1058.7,64.96,3.28
-5.63,885.8,1064.2,65.08,4.11
-5,873.9,1076.1,65.31,4.79
-5.37,868.2,1081.8,65.42,4.68
-5.43,861.9,1088.1,65.54,4.83
-5.13,856.7,1093.3,65.64,5.02
-6.46,852,1098,65.73,4.29
-6.62,846.8,1103.2,65.83,2.85
-5.1,842.2,1107.8,65.92,4.67
-4.91,837.5,1112.5,66.01,4.95
-5.16,832.8,1117.2,66.1,4.7
-5.23,828.1,1121.9,66.19,4.85
-5.49,823.4,1126.6,66.28,4.36
-6.09,818.8,1131.2,66.37,4.31
-5.33,814.1,1135.9,66.46,4.98
-6.05,808.4,1141.6,66.57,4.13
-6.13,801.6,1148.4,66.7,4.15
-5.44,795.4,1154.6,66.82,4.89
-5.43,788.6,1161.4,66.95,4.98
-5.59,782.9,1167.1,67.06,4.79
-5.31,777.2,1172.8,67.17,4.04
-4.88,772,1178,67.27,4.12
-4.45,766.2,1183.8,67.38,4.49
-4.69,761,1189,67.48,4.55
-4.74,755.3,1194.7,67.59,4.57
-4.58,750.1,1199.9,67.69,4.75
-7.19,744.4,1205.6,67.8,1.85
-5.29,739.2,1210.8,67.9,4.11
-5.51,734,1216,68,3.84
-5.41,728.8,1221.2,68.1,4.02
-6.94,723.6,1226.4,68.2,2.3
-5.62,718.4,1231.6,68.3,4.29
-6.7,713.2,1236.8,68.4,2.68
-5.47,708,1242,68.5,4.57
-5.21,702.8,1247.2,68.6,4.61
-5.75,697.6,1252.4,68.7,3.83
-5.32,692.4,1257.6,68.8,4.34
-5.96,687.2,1262.8,68.9,3.38
-5.67,682,1268,69,4.28
-5.66,676.8,1273.2,69.1,4
-5.68,671.6,1278.4,69.2,3.81
-5.84,666.4,1283.6,69.3,4.22
-5.52,661.2,1288.8,69.4,3.99
-5.84,656,1294,69.5,3.65
-5.57,650.8,1299.2,69.6,4.21
-5.37,645.6,1304.4,69.7,3.78
-4.82,640.4,1309.6,69.8,4.51
-4.91,635.2,1314.8,69.9,4.5
-4.92,630,1320,70,4.44
-5.32,624.8,1325.2,70.1,3.89
-5.46,619.1,1330.9,70.21,3.94
-5.92,613.4,1336.6,70.32,3.6
-5.35,607.6,1342.4,70.43,4.34
-5.69,601.9,1348.1,70.54,2.71
-5.16,596.2,1353.8,70.65,4.13
-5.29,590.5,1359.5,70.76,4.28
-5.21,585.3,1364.7,70.86,4.35
-5.2,579.6,1370.4,70.97,4.45
-5.08,573.9,1376.1,71.08,4.92
-4.93,568.3,1381.7,71.19,4.94
-5.42,562.7,1387.3,71.3,4.64
-5.45,557.1,1392.9,71.41,4.53
-5.58,551.5,1398.5,71.52,4.34
-6.06,545.9,1404.1,71.63,3.77
-5.5,540.3,1409.7,71.74,4.38
-5.41,529.5,1420.5,71.95,4.87
-5.57,524.9,1425.1,72.04,4.36
-5.46,519.7,1430.3,72.14,4.77
-5.68,515,1435,72.23,4.32
-5.3,509.8,1440.2,72.33,5.04
-5.36,505.2,1444.8,72.42,4.97
-5.22,500.5,1449.5,72.51,4.84
-5.2,495.3,1454.7,72.61,4.85
-5.06,490.6,1459.4,72.7,5.03
-5.34,485.4,1464.6,72.8,4.73
-5.4,480.7,1469.3,72.89,4.87
-5.4,470.7,1479.3,73.11,4.79
-5.19,466,1484,73.23,4.75
-5.62,461.7,1488.3,73.34,4.25
-6.13,457.1,1492.9,73.46,3.55
-5.53,452.8,1497.2,73.57,4.35
-5.73,448.1,1501.9,73.69,4.05
-6.02,443.8,1506.2,73.8,3.65
-6.03,439.1,1510.9,73.92,3.67
-5.5,435.7,1514.3,74.01,4.35
-4.92,433.4,1516.6,74.1,4.78
-5.62,431.3,1518.7,74.18,3.97
-5.17,429.2,1520.8,74.26,4.46
-5.63,427.2,1522.8,74.34,4
-7.29,424.8,1525.2,74.43,1.71
-5.59,422.7,1527.3,74.51,4.1
-5.48,420.7,1529.3,74.59,3.86
-5.68,418.6,1531.4,74.67,4.05
-4.75,416.2,1533.8,74.76,4.7
-4.8,414.2,1535.8,74.84,4.38
-5.04,412.1,1537.9,74.92,4.57
-5.42,410,1540,75,3.75
-4.64,407.7,1542.3,75.09,4.97
-4.55,403.5,1546.5,75.25,4.72
-4.84,401.4,1548.6,75.33,4.38
-4.65,399.3,1550.7,75.41,4.96
-4.74,396.7,1553.3,75.51,4.77
-4.79,393.9,1556.1,75.62,4.83
-4.81,391,1559,75.73,4.98
-4.84,388.2,1561.8,75.84,4.94
-4.89,385,1565,75.96,4.98
-5.1,382.2,1567.8,76.07,4.77
-5.06,379.3,1570.7,76.18,4.98
-4.98,376.5,1573.5,76.29,4.92
-5.12,373.6,1576.4,76.4,4.67
-5.05,370.7,1579.3,76.51,4.83
-5.27,368.1,1581.9,76.61,4.49
-5.04,365.5,1584.5,76.71,4.55
-5.55,362.9,1587.1,76.81,3.74
-5.61,360.3,1589.7,76.91,4.1
-5.36,357.7,1592.3,77.01,4.26
-5.01,355.1,1594.9,77.11,4.61
-5.23,352.5,1597.5,77.21,4.15
-5.5,349.9,1600.1,77.31,4.36
-5.27,347.3,1602.7,77.41,4.2
-4.87,344.7,1605.3,77.51,4.19
-5.07,342.1,1607.9,77.61,4.64
-4.74,339.5,1610.5,77.71,4.71
-4.91,336.9,1613.1,77.81,4.38
-4.83,334.3,1615.7,77.91,4.47
-5.16,331.7,1618.3,78.01,4.07
-5.07,329.1,1620.9,78.11,4.23
-4.98,326.5,1623.5,78.21,4.31
-4.91,323.9,1626.1,78.31,4.33
-5.04,321.3,1628.7,78.41,4.43
-5.92,318.7,1631.3,78.51,3.52
-4.36,315.6,1634.4,78.63,4.33
-5.43,312.5,1637.5,78.75,4.44
-5.31,309.4,1640.6,78.87,4.72
-5.26,306.3,1643.7,78.99,4.62
-5.46,303.4,1646.6,79.1,4.08
-5.7,300.3,1649.7,79.22,3.83
-5.26,297.2,1652.8,79.34,4.53
-5.24,294,1656,79.46,4.57
-5.36,290.9,1659.1,79.58,4.5
-5.3,288.1,1661.9,79.69,4.45
-5.26,285.2,1664.8,79.8,4.54
-5.31,282.6,1667.4,79.9,4.41
-5.24,280.3,1669.7,79.99,4.61
-5.23,277.7,1672.3,80.09,4.42
-5.45,275.3,1674.7,80.18,4.1
-5.83,272.7,1677.3,80.28,3.19
-6.21,270.4,1679.6,80.37,3.24
