d18O (permil),year (AD),d18O (permil),d18O (permil)
-33.8858925229093,1932,-33.8858925229093,-33.8858925229093
-33.9430560334262,1931,-33.9430560334262,-33.9430560334262
-34.1506768792602,1930,-34.1506768792602,-34.1506768792602
-34.9276627430975,1929,-34.9276627430975,-34.9276627430975
-33.3264630608823,1928,-33.3264630608823,-33.3264630608823
-34.4087507995649,1927,-34.4087507995649,-34.4087507995649
-32.5112640228243,1926,-32.5112640228243,-32.5112640228243
-33.9569649157204,1925,-33.9569649157204,-33.9569649157204
-35.7288259762774,1924,-35.7288259762774,-35.7288259762774
-34.0720000014436,1923,-34.0720000014436,-34.0720000014436
-34.51376224738,1922,-34.51376224738,-34.51376224738
-34.4868949832836,1921,-34.4868949832836,-34.4868949832836
-33.2302881416359,1920,-33.2302881416359,-33.2302881416359
-33.9462313086681,1919,-33.9462313086681,-33.9462313086681
-33.9353799491443,1918,-33.9353799491443,-33.9353799491443
-33.5483637406871,1917,-33.5483637406871,-33.5483637406871
-34.1923830417825,1916,-34.1923830417825,-34.1923830417825
-32.985492665574,1915,-32.985492665574,-32.985492665574
-34.7179963484767,1914,-34.7179963484767,-34.7179963484767
-32.5329573999586,1913,-32.5329573999586,-32.5329573999586
-31.6818700984125,1912,-31.6818700984125,-31.6818700984125
-33.0752970145363,1911,-33.0752970145363,-33.0752970145363
-33.2142390528633,1910,-33.2142390528633,-33.2142390528633
-34.5920014943172,1909,-34.5920014943172,-34.5920014943172
-33.2968436960698,1908,-33.2968436960698,-33.2968436960698
-34.5926784259714,1907,-34.5926784259714,-34.5926784259714
-34.7570851031693,1906,-34.7570851031693,-34.7570851031693
-33.4732030070795,1905,-33.4732030070795,-33.4732030070795
-32.4470801156942,1904,-32.4470801156942,-32.4470801156942
-33.2337731949524,1903,-33.2337731949524,-33.2337731949524
-33.5882168613097,1902,-33.5882168613097,-33.5882168613097
-33.1216974350234,1901,-33.1216974350234,-33.1216974350234
-33.4307821716147,1900,-33.4307821716147,-33.4307821716147
-34.039937506949,1899,-34.039937506949,-34.039937506949
-33.6278331052047,1898,-33.6278331052047,-33.6278331052047
-34.720973271179,1897,-34.720973271179,-34.720973271179
-33.6211535698864,1896,-33.6211535698864,-33.6211535698864
-34.5987299750673,1895,-34.5987299750673,-34.5987299750673
-35.5539576963016,1894,-35.5539576963016,-35.5539576963016
-34.8496601484618,1893,-34.8496601484618,-34.8496601484618
-35.1115815441417,1892,-35.1115815441417,-35.1115815441417
-33.8350954692402,1891,-33.8350954692402,-33.8350954692402
-34.5120185446033,1890,-34.5120185446033,-34.5120185446033
-33.2284981984589,1889,-33.2284981984589,-33.2284981984589
-31.279341141438,1888,-31.279341141438,-31.279341141438
-32.9104368499263,1887,-32.9104368499263,-32.9104368499263
-34.0370108025518,1886,-34.0370108025518,-34.0370108025518
-34.1498999198674,1885,-34.1498999198674,-34.1498999198674
-34.2326096538222,1884,-34.2326096538222,-34.2326096538222
-33.3888925828488,1883,-33.3888925828488,-33.3888925828488
-33.5835830650181,1882,-33.5835830650181,-33.5835830650181
-34.599050484965304,1881,-34.599050484965304,-34.599050484965304
-34.8189031737902,1880,-34.8189031737902,-34.8189031737902
-32.1384482329845,1879,-32.1384482329845,-32.1384482329845
-31.1594237829351,1878,-31.1594237829351,-31.1594237829351
-31.5379015617128,1877,-31.5379015617128,-31.5379015617128
-34.7671207052891,1876,-34.7671207052891,-34.7671207052891
-35.4319616111644,1875,-35.4319616111644,-35.4319616111644
-34.2248744415606,1874,-34.2248744415606,-34.2248744415606
-34.634156858105,1873,-34.634156858105,-34.634156858105
-34.0004228259885,1872,-34.0004228259885,-34.0004228259885
-34.5298698668093,1871,-34.5298698668093,-34.5298698668093
-35.8563572851577,1870,-35.8563572851577,-35.8563572851577
-33.9812934615782,1869,-33.9812934615782,-33.9812934615782
-34.2340533628705,1868,-34.2340533628705,-34.2340533628705
-34.7122506193078,1867,-34.7122506193078,-34.7122506193078
-34.2555501247758,1866,-34.2555501247758,-34.2555501247758
-35.0483472877089,1865,-35.0483472877089,-35.0483472877089
-35.5562920233326,1864,-35.5562920233326,-35.5562920233326
-33.6108926763246,1863,-33.6108926763246,-33.6108926763246
-33.6218463203405,1862,-33.6218463203405,-33.6218463203405
-33.5544024390244,1861,-33.5544024390244,-33.5544024390244
-33.1644179435048,1860,-33.1644179435048,-33.1644179435048
-34.4450699864163,1859,-34.4450699864163,-34.4450699864163
-35.4381546986909,1858,-35.4381546986909,-35.4381546986909
-33.204069890789,1857,-33.204069890789,-33.204069890789
-34.4001081525489,1856,-34.4001081525489,-34.4001081525489
-33.5982286847191,1855,-33.5982286847191,-33.5982286847191
-33.0517313861297,1854,-33.0517313861297,-33.0517313861297
-34.1560261250369,1853,-34.1560261250369,-34.1560261250369
-34.4048180896345,1852,-34.4048180896345,-34.4048180896345
-34.3623780285108,1851,-34.3623780285108,-34.3623780285108
-34.8441642477191,1850,-34.8441642477191,-34.8441642477191
-35.3001801162611,1849,-35.3001801162611,-35.3001801162611
-34.1592060393156,1848,-34.1592060393156,-34.1592060393156
-34.3419759461177,1847,-34.3419759461177,-34.3419759461177
-34.6579777679977,1846,-34.6579777679977,-34.6579777679977
-33.8422145154873,1845,-33.8422145154873,-33.8422145154873
-33.1874687426361,1844,-33.1874687426361,-33.1874687426361
-34.7496388528735,1843,-34.7496388528735,-34.7496388528735
-34.4269214303219,1842,-34.4269214303219,-34.4269214303219
-35.770245185492,1841,-35.770245185492,-35.770245185492
-33.5106130598817,1840,-33.5106130598817,-33.5106130598817
-32.8417763801206,1839,-32.8417763801206,-32.8417763801206
-33.1401806381283,1838,-33.1401806381283,-33.1401806381283
-33.7597978507868,1837,-33.7597978507868,-33.7597978507868
-33.4021666490247,1836,-33.4021666490247,-33.4021666490247
-32.4005852029732,1835,-32.4005852029732,-32.4005852029732
-32.5490437370634,1834,-32.5490437370634,-32.5490437370634
-33.6204452341703,1833,-33.6204452341703,-33.6204452341703
-35.0905299252309,1832,-35.0905299252309,-35.0905299252309
-34.6108973656636,1831,-34.6108973656636,-34.6108973656636
-33.4609190714263,1830,-33.4609190714263,-33.4609190714263
-33.284165614271,1829,-33.284165614271,-33.284165614271
-34.3457011167813,1828,-34.3457011167813,-34.3457011167813
-34.4242928724989,1827,-34.4242928724989,-34.4242928724989
-31.2772437641479,1826,-31.2772437641479,-31.2772437641479
-32.5160617195601,1825,-32.5160617195601,-32.5160617195601
-33.1588081343615,1824,-33.1588081343615,-33.1588081343615
-35.0811947139263,1823,-35.0811947139263,-35.0811947139263
-34.9033860376367,1822,-34.9033860376367,-34.9033860376367
-35.1415853446567,1821,-35.1415853446567,-35.1415853446567
-34.9955705348867,1820,-34.9955705348867,-34.9955705348867
-33.5339605473329,1819,-33.5339605473329,-33.5339605473329
-33.8863416381017,1818,-33.8863416381017,-33.8863416381017
-33.2212398734034,1817,-33.2212398734034,-33.2212398734034
-34.0531911836185,1816,-34.0531911836185,-34.0531911836185
-33.0258741385899,1815,-33.0258741385899,-33.0258741385899
-34.7453283987623,1814,-34.7453283987623,-34.7453283987623
-34.0034891418011,1813,-34.0034891418011,-34.0034891418011
-35.2046642144181,1812,-35.2046642144181,-35.2046642144181
-35.1711655737032,1811,-35.1711655737032,-35.1711655737032
-35.2436622061595,1810,-35.2436622061595,-35.2436622061595
-35.3866975944263,1809,-35.3866975944263,-35.3866975944263
-34.8836629234571,1808,-34.8836629234571,-34.8836629234571
-35.170391201735,1807,-35.170391201735,-35.170391201735
-34.4765778113753,1806,-34.4765778113753,-34.4765778113753
-34.0433622849811,1805,-34.0433622849811,-34.0433622849811
-34.6202278079689,1804,-34.6202278079689,-34.6202278079689
-32.1511506076144,1803,-32.1511506076144,-32.1511506076144
-33.5392374835711,1802,-33.5392374835711,-33.5392374835711
-35.038104875796,1801,-35.038104875796,-35.038104875796
-34.8902967557497,1800,-34.8902967557497,-34.8902967557497
-33.7165163113644,1799,-33.7165163113644,-33.7165163113644
-33.1337884658044,1798,-33.1337884658044,-33.1337884658044
-33.9418103615006,1797,-33.9418103615006,-33.9418103615006
-34.3760274653097,1796,-34.3760274653097,-34.3760274653097
-34.1092754555385,1795,-34.1092754555385,-34.1092754555385
-33.5718647810714,1794,-33.5718647810714,-33.5718647810714
-33.4066930656663,1793,-33.4066930656663,-33.4066930656663
-33.4957013831328,1792,-33.4957013831328,-33.4957013831328
-33.4564272649067,1791,-33.4564272649067,-33.4564272649067
-33.4866640121294,1790,-33.4866640121294,-33.4866640121294
-35.7144014617855,1789,-35.7144014617855,-35.7144014617855
-34.2261830345359,1788,-34.2261830345359,-34.2261830345359
-33.5476800653034,1787,-33.5476800653034,-33.5476800653034
-33.5408065320318,1786,-33.5408065320318,-33.5408065320318
-33.481964454423,1785,-33.481964454423,-33.481964454423
-33.6971829095858,1784,-33.6971829095858,-33.6971829095858
-34.3413299403142,1783,-34.3413299403142,-34.3413299403142
-34.8518630827904,1782,-34.8518630827904,-34.8518630827904
-34.7194721993572,1781,-34.7194721993572,-34.7194721993572
-34.3951477619032,1780,-34.3951477619032,-34.3951477619032
-34.5031066393622,1779,-34.5031066393622,-34.5031066393622
-35.2252269574743,1778,-35.2252269574743,-35.2252269574743
-34.8471542683676,1777,-34.8471542683676,-34.8471542683676
-32.3477970330857,1776,-32.3477970330857,-32.3477970330857
-33.1048017956425,1775,-33.1048017956425,-33.1048017956425
-33.2161398875469,1774,-33.2161398875469,-33.2161398875469
-35.3888931977046,1773,-35.3888931977046,-35.3888931977046
-33.3237652257376,1772,-33.3237652257376,-33.3237652257376
-32.2256496697978,1771,-32.2256496697978,-32.2256496697978
-33.1680152969706,1770,-33.1680152969706,-33.1680152969706
-34.1378025461898,1769,-34.1378025461898,-34.1378025461898
-34.2770268275842,1768,-34.2770268275842,-34.2770268275842
-33.4038486729715,1767,-33.4038486729715,-33.4038486729715
-33.4421730840487,1766,-33.4421730840487,-33.4421730840487
-32.2841077835649,1765,-32.2841077835649,-32.2841077835649
-33.3544419112334,1764,-33.3544419112334,-33.3544419112334
-33.0424251249354,1763,-33.0424251249354,-33.0424251249354
-33.4731969589589,1762,-33.4731969589589,-33.4731969589589
-33.5870404007051,1761,-33.5870404007051,-33.5870404007051
-33.8704323989964,1760,-33.8704323989964,-33.8704323989964
-34.5707416911585,1759,-34.5707416911585,-34.5707416911585
-35.4397058567089,1758,-35.4397058567089,-35.4397058567089
-34.3064079680397,1757,-34.3064079680397,-34.3064079680397
-34.7649590162293,1756,-34.7649590162293,-34.7649590162293
-35.7786309331167,1755,-35.7786309331167,-35.7786309331167
-34.8532604044575,1754,-34.8532604044575,-34.8532604044575
-34.055985326167,1753,-34.055985326167,-34.055985326167
-33.6828183191203,1752,-33.6828183191203,-33.6828183191203
-34.2036508672081,1751,-34.2036508672081,-34.2036508672081
-33.2130370037967,1750,-33.2130370037967,-33.2130370037967
-33.186766999136204,1749,-33.186766999136204,-33.186766999136204
-35.1331142857143,1748,-35.1331142857143,-35.1331142857143
-33.4043982211331,1747,-33.4043982211331,-33.4043982211331
-33.2668292457154,1746,-33.2668292457154,-33.2668292457154
-34.1870137209465,1745,-34.1870137209465,-34.1870137209465
-34.4843413617416,1744,-34.4843413617416,-34.4843413617416
-35.2314778826692,1743,-35.2314778826692,-35.2314778826692
-35.1820055022044,1742,-35.1820055022044,-35.1820055022044
-35.1600828046497,1741,-35.1600828046497,-35.1600828046497
-36.397047471631,1740,-36.397047471631,-36.397047471631
-33.5633061612811,1739,-33.5633061612811,-33.5633061612811
-32.3393351045417,1738,-32.3393351045417,-32.3393351045417
-34.5661534623189,1737,-34.5661534623189,-34.5661534623189
-33.0751960409437,1736,-33.0751960409437,-33.0751960409437
-32.3071699909572,1735,-32.3071699909572,-32.3071699909572
-31.8757011884771,1734,-31.8757011884771,-31.8757011884771
-33.6372874152303,1733,-33.6372874152303,-33.6372874152303
-33.5665684689311,1732,-33.5665684689311,-33.5665684689311
-34.4194712800776,1731,-34.4194712800776,-34.4194712800776
-32.6364928854945,1730,-32.6364928854945,-32.6364928854945
-32.9965635162809,1729,-32.9965635162809,-32.9965635162809
-34.9254169337254,1728,-34.9254169337254,-34.9254169337254
-34.1291231187654,1727,-34.1291231187654,-34.1291231187654
-33.2937142755327,1726,-33.2937142755327,-33.2937142755327
-33.1440686359368,1725,-33.1440686359368,-33.1440686359368
-34.7157487016609,1724,-34.7157487016609,-34.7157487016609
-34.6742372425609,1723,-34.6742372425609,-34.6742372425609
-32.5907642941355,1722,-32.5907642941355,-32.5907642941355
-35.3672823041518,1721,-35.3672823041518,-35.3672823041518
-33.229484416221,1720,-33.229484416221,-33.229484416221
-33.9344498788339,1719,-33.9344498788339,-33.9344498788339
-34.2470276244243,1718,-34.2470276244243,-34.2470276244243
-33.9779485764108,1717,-33.9779485764108,-33.9779485764108
-33.8101815769688,1716,-33.8101815769688,-33.8101815769688
-33.5239918660469,1715,-33.5239918660469,-33.5239918660469
-34.6934740632307,1714,-34.6934740632307,-34.6934740632307
-33.5313396894248,1713,-33.5313396894248,-33.5313396894248
-33.2300083617004,1712,-33.2300083617004,-33.2300083617004
-32.8402599843056,1711,-32.8402599843056,-32.8402599843056
-33.6041529663368,1710,-33.6041529663368,-33.6041529663368
-34.3756610056283,1709,-34.3756610056283,-34.3756610056283
-34.1621131001698,1708,-34.1621131001698,-34.1621131001698
-33.8197480222097,1707,-33.8197480222097,-33.8197480222097
-34.0123663114004,1706,-34.0123663114004,-34.0123663114004
-34.0285967777114,1705,-34.0285967777114,-34.0285967777114
-33.9575078994821,1704,-33.9575078994821,-33.9575078994821
-33.7284283386226,1703,-33.7284283386226,-33.7284283386226
-34.9499568510185,1702,-34.9499568510185,-34.9499568510185
-35.0139515333039,1701,-35.0139515333039,-35.0139515333039
-33.6027393900376,1700,-33.6027393900376,-33.6027393900376
-34.9268540592158,1699,-34.9268540592158,-34.9268540592158
-35.0718333333333,1698,-35.0718333333333,-35.0718333333333
-33.6649959933075,1697,-33.6649959933075,-33.6649959933075
-33.3036671688184,1696,-33.3036671688184,-33.3036671688184
-32.7136849506179,1695,-32.7136849506179,-32.7136849506179
-32.6581982194507,1694,-32.6581982194507,-32.6581982194507
-34.6803375112189,1693,-34.6803375112189,-34.6803375112189
-33.753521755698,1692,-33.753521755698,-33.753521755698
-35.4278198570293,1691,-35.4278198570293,-35.4278198570293
-32.4599343529094,1690,-32.4599343529094,-32.4599343529094
-31.2331199635363,1689,-31.2331199635363,-31.2331199635363
-31.3288483103201,1688,-31.3288483103201,-31.3288483103201
-32.3478329019622,1687,-32.3478329019622,-32.3478329019622
-32.7242123874141,1686,-32.7242123874141,-32.7242123874141
-34.4050978095355,1685,-34.4050978095355,-34.4050978095355
-34.1633555219758,1684,-34.1633555219758,-34.1633555219758
-33.6458847546631,1683,-33.6458847546631,-33.6458847546631
-34.7416320025474,1682,-34.7416320025474,-34.7416320025474
-34.8394975533612,1681,-34.8394975533612,-34.8394975533612
-34.6377190655895,1680,-34.6377190655895,-34.6377190655895
-33.8801786131269,1679,-33.8801786131269,-33.8801786131269
-33.6155128954098,1678,-33.6155128954098,-33.6155128954098
-33.3882836186864,1677,-33.3882836186864,-33.3882836186864
-32.8182786367357,1676,-32.8182786367357,-32.8182786367357
-33.3081703109936,1675,-33.3081703109936,-33.3081703109936
-33.8424504361649,1674,-33.8424504361649,-33.8424504361649
-32.5108363186487,1673,-32.5108363186487,-32.5108363186487
-35.3891771102146,1672,-35.3891771102146,-35.3891771102146
-34.5104237094102,1671,-34.5104237094102,-34.5104237094102
-33.9842732169821,1670,-33.9842732169821,-33.9842732169821
-33.8858558233481,1669,-33.8858558233481,-33.8858558233481
-33.338028088393,1668,-33.338028088393,-33.338028088393
-34.1028391422142,1667,-34.1028391422142,-34.1028391422142
-35.5752701881686,1666,-35.5752701881686,-35.5752701881686
-35.9531182294609,1665,-35.9531182294609,-35.9531182294609
-33.6050037219994,1664,-33.6050037219994,-33.6050037219994
-35.0201049116119,1663,-35.0201049116119,-35.0201049116119
-33.8389979262218,1662,-33.8389979262218,-33.8389979262218
-31.9239093889396,1661,-31.9239093889396,-31.9239093889396
-32.7829350729716,1660,-32.7829350729716,-32.7829350729716
-33.04385951588,1659,-33.04385951588,-33.04385951588
-32.7175698934353,1658,-32.7175698934353,-32.7175698934353
-33.2551508699597,1657,-33.2551508699597,-33.2551508699597
-34.170855651784,1656,-34.170855651784,-34.170855651784
-34.074107314778,1655,-34.074107314778,-34.074107314778
-34.037947814069,1654,-34.037947814069,-34.037947814069
-32.2759399496197,1653,-32.2759399496197,-32.2759399496197
-33.4361749623891,1652,-33.4361749623891,-33.4361749623891
-33.4178039997442,1651,-33.4178039997442,-33.4178039997442
-33.0983815739682,1650,-33.0983815739682,-33.0983815739682
-33.7663189697654,1649,-33.7663189697654,-33.7663189697654
-34.0143607943137,1648,-34.0143607943137,-34.0143607943137
-34.1034110892078,1647,-34.1034110892078,-34.1034110892078
-33.6169628759448,1646,-33.6169628759448,-33.6169628759448
-34.0435688245923,1645,-34.0435688245923,-34.0435688245923
-34.8269061138788,1644,-34.8269061138788,-34.8269061138788
-34.4968605766625,1643,-34.4968605766625,-34.4968605766625
-34.4072730904623,1642,-34.4072730904623,-34.4072730904623
-33.7847285838261,1641,-33.7847285838261,-33.7847285838261
-34.4365587993648,1640,-34.4365587993648,-34.4365587993648
-32.9755183822445,1639,-32.9755183822445,-32.9755183822445
-34.3209089250942,1638,-34.3209089250942,-34.3209089250942
-34.024997149968,1637,-34.024997149968,-34.024997149968
-32.4066125681791,1636,-32.4066125681791,-32.4066125681791
-33.6077668852825,1635,-33.6077668852825,-33.6077668852825
-34.3080598760424,1634,-34.3080598760424,-34.3080598760424
-32.8291156824673,1633,-32.8291156824673,-32.8291156824673
-31.5329572697142,1632,-31.5329572697142,-31.5329572697142
-31.9203020002273,1631,-31.9203020002273,-31.9203020002273
-32.7936878041101,1630,-32.7936878041101,-32.7936878041101
-34.942081197429,1629,-34.942081197429,-34.942081197429
-34.6118673548728,1628,-34.6118673548728,-34.6118673548728
-34.358886830217,1627,-34.358886830217,-34.358886830217
-33.4883493992735,1626,-33.4883493992735,-33.4883493992735
-33.7205691009757,1625,-33.7205691009757,-33.7205691009757
-35.5308424076574,1624,-35.5308424076574,-35.5308424076574
-34.1461891120068,1623,-34.1461891120068,-34.1461891120068
-33.5888145121577,1622,-33.5888145121577,-33.5888145121577
-33.8117633866822,1621,-33.8117633866822,-33.8117633866822
-34.1879726875431,1620,-34.1879726875431,-34.1879726875431
-34.3669417317221,1619,-34.3669417317221,-34.3669417317221
-33.7362563587262,1618,-33.7362563587262,-33.7362563587262
-33.7128017171963,1617,-33.7128017171963,-33.7128017171963
-34.6256385445616,1616,-34.6256385445616,-34.6256385445616
-33.4478456749794,1615,-33.4478456749794,-33.4478456749794
-33.8377599726978,1614,-33.8377599726978,-33.8377599726978
-32.2790535082927,1613,-32.2790535082927,-32.2790535082927
-33.1067150732038,1612,-33.1067150732038,-33.1067150732038
-33.2909965822869,1611,-33.2909965822869,-33.2909965822869
-33.411061794837,1610,-33.411061794837,-33.411061794837
-33.3497146491245,1609,-33.3497146491245,-33.3497146491245
-34.7430021435425,1608,-34.7430021435425,-34.7430021435425
-32.0157498779858,1607,-32.0157498779858,-32.0157498779858
-33.9539192728846,1606,-33.9539192728846,-33.9539192728846
-33.6505533081661,1605,-33.6505533081661,-33.6505533081661
-33.6535165309226,1604,-33.6535165309226,-33.6535165309226
-33.5214276315174,1603,-33.5214276315174,-33.5214276315174
-33.7718745003194,1602,-33.7718745003194,-33.7718745003194
-35.583000371231,1601,-35.583000371231,-35.583000371231
-34.9191170810881,1600,-34.9191170810881,-34.9191170810881
-35.3410542327516,1599,-35.3410542327516,-35.3410542327516
-34.5267044684873,1598,-34.5267044684873,-34.5267044684873
-33.3871284943338,1597,-33.3871284943338,-33.3871284943338
-33.3136223692224,1596,-33.3136223692224,-33.3136223692224
-35.4824209003214,1595,-35.4824209003214,-35.4824209003214
-34.0483372990353,1594,-34.0483372990353,-34.0483372990353
-33.5752817787901,1593,-33.5752817787901,-33.5752817787901
-33.9512364102128,1592,-33.9512364102128,-33.9512364102128
-32.0952076056459,1591,-32.0952076056459,-32.0952076056459
-32.5530214663457,1590,-32.5530214663457,-32.5530214663457
-34.5037154893825,1589,-34.5037154893825,-34.5037154893825
-35.8682559661844,1588,-35.8682559661844,-35.8682559661844
-34.2240851232718,1587,-34.2240851232718,-34.2240851232718
-35.3227423017246,1586,-35.3227423017246,-35.3227423017246
-34.5483021600669,1585,-34.5483021600669,-34.5483021600669
-33.7989109803686,1584,-33.7989109803686,-33.7989109803686
-34.0056671747854,1583,-34.0056671747854,-34.0056671747854
-32.7645586207686,1582,-32.7645586207686,-32.7645586207686
-33.1212968895886,1581,-33.1212968895886,-33.1212968895886
-33.1502929722149,1580,-33.1502929722149,-33.1502929722149
-33.8664270624451,1579,-33.8664270624451,-33.8664270624451
-36.3192856548776,1578,-36.3192856548776,-36.3192856548776
-32.9059923486745,1577,-32.9059923486745,-32.9059923486745
-30.8722919165407,1576,-30.8722919165407,-30.8722919165407
-33.918792362859,1575,-33.918792362859,-33.918792362859
-34.2635954439086,1574,-34.2635954439086,-34.2635954439086
-33.444552391075,1573,-33.444552391075,-33.444552391075
-35.4314396638848,1572,-35.4314396638848,-35.4314396638848
-33.5338120852037,1571,-33.5338120852037,-33.5338120852037
-34.3554951164325,1570,-34.3554951164325,-34.3554951164325
-34.9234983116744,1569,-34.9234983116744,-34.9234983116744
-34.3420597182434,1568,-34.3420597182434,-34.3420597182434
-34.3590095810943,1567,-34.3590095810943,-34.3590095810943
-34.8172856509793,1566,-34.8172856509793,-34.8172856509793
-33.7609054689983,1565,-33.7609054689983,-33.7609054689983
-34.3451456736744,1564,-34.3451456736744,-34.3451456736744
-33.4796555878992,1563,-33.4796555878992,-33.4796555878992
-33.1336046393306,1562,-33.1336046393306,-33.1336046393306
-34.2893840776622,1561,-34.2893840776622,-34.2893840776622
-34.1129661096027,1560,-34.1129661096027,-34.1129661096027
-34.2077319869932,1559,-34.2077319869932,-34.2077319869932
-34.4770880292721,1558,-34.4770880292721,-34.4770880292721
-33.0616408937074,1557,-33.0616408937074,-33.0616408937074
-34.1400207017973,1556,-34.1400207017973,-34.1400207017973
-34.7927492918909,1555,-34.7927492918909,-34.7927492918909
-33.817084140276,1554,-33.817084140276,-33.817084140276
-33.7904699676917,1553,-33.7904699676917,-33.7904699676917
-33.7205878192045,1552,-33.7205878192045,-33.7205878192045
-32.1040170628254,1551,-32.1040170628254,-32.1040170628254
-30.6850597755036,1550,-30.6850597755036,-30.6850597755036
-32.7927186040117,1549,-32.7927186040117,-32.7927186040117
-33.6054772448032,1548,-33.6054772448032,-33.6054772448032
-34.1355369054914,1547,-34.1355369054914,-34.1355369054914
-31.14999136925,1546,-31.14999136925,-31.14999136925
-34.2150323574654,1545,-34.2150323574654,-34.2150323574654
-35.1792052206202,1544,-35.1792052206202,-35.1792052206202
-34.0004472576382,1543,-34.0004472576382,-34.0004472576382
-33.7833070500195,1542,-33.7833070500195,-33.7833070500195
-33.9286701722928,1541,-33.9286701722928,-33.9286701722928
-33.8588385131677,1540,-33.8588385131677,-33.8588385131677
-34.3663346031348,1539,-34.3663346031348,-34.3663346031348
-34.3167928789874,1538,-34.3167928789874,-34.3167928789874
