Mg_Ca (mmol/mol),year (AD),depth (cm),temperature (degC),d18O (permil),d18O (per mil),Mg_Ca (mmol/mol) [2-1],year (AD) [2-1],depth (cm) [2-1],temperature (degC) [2-1],dD (permil) [3-1],year (AD) [3-1],depth (cm) [3-1]
3.64,-11510,620.5,25.9,0.3,-1.92,NA,NA,NA,NA,NA,NA,NA
3.8,-11680,625.5,26.39,0.46,-1.86,NA,NA,NA,NA,NA,NA,NA
3.63,-11870,630.5,25.87,0.52,-1.7,NA,NA,NA,NA,NA,NA,NA
3.55,-12050,635.5,25.62,0.46,-1.7,NA,NA,NA,NA,NA,NA,NA
3.48,-12230,640.5,25.4,0.71,-1.42,NA,NA,NA,NA,NA,NA,NA
3.63,-12420,645.5,25.89,1.25,-0.98,NA,NA,NA,NA,NA,NA,NA
3.56,-12610,650.5,25.65,1.44,-0.73,NA,NA,NA,NA,NA,NA,NA
3.44,-12800,655.5,25.26,1.47,-0.62,NA,NA,NA,NA,NA,NA,NA
3.22,-13000,660.5,24.53,1.24,-0.7,NA,NA,NA,NA,NA,NA,NA
3.3,-13190,665.5,24.81,1.28,-0.72,NA,NA,NA,NA,NA,NA,NA
3.25,-13390,670.5,24.66,1.19,-0.78,NA,NA,NA,NA,NA,NA,NA
3.2,-13590,675.5,24.49,1.43,-0.5,NA,NA,NA,NA,NA,NA,NA
3.45,-13790,680.5,25.3,1.48,-0.62,NA,NA,NA,NA,NA,NA,NA
3.12,-14000,685.5,24.18,1.47,-0.4,NA,NA,NA,NA,NA,NA,NA
3.1,-14200,690.5,24.1,1.49,-0.36,NA,NA,NA,NA,NA,NA,NA
3.04,-14410,695.5,23.92,1.62,-0.19,NA,NA,NA,NA,NA,NA,NA
3.15,-14630,700.5,24.29,1.79,-0.1,NA,NA,NA,NA,NA,NA,NA
3,-14840,705.5,23.74,1.54,-0.24,NA,NA,NA,NA,NA,NA,NA
3.05,-15060,710.5,23.94,1.49,-0.33,NA,NA,NA,NA,NA,NA,NA
2.94,-15280,715.5,23.54,1.61,-0.12,NA,NA,NA,NA,NA,NA,NA
3.3,-15500,720.5,24.81,1.75,-0.24,NA,NA,NA,NA,NA,NA,NA
3.02,-15720,725.5,23.84,1.51,-0.29,NA,NA,NA,NA,NA,NA,NA
3.1,-15950,730.5,24.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.89,-16180,735.5,23.35,1.22,-0.47,NA,NA,NA,NA,NA,NA,NA
3.16,-16410,740.5,24.35,1.32,-0.58,NA,NA,NA,NA,NA,NA,NA
3.05,-16640,745.5,23.93,1.36,-0.45,NA,NA,NA,NA,NA,NA,NA
3.03,-16750,750.5,23.85,1.51,-0.29,NA,NA,NA,NA,NA,NA,NA
3.08,-16820,755.5,24.04,1.42,-0.42,NA,NA,NA,NA,NA,NA,NA
2.89,-16890,760.5,23.36,1.09,-0.61,NA,NA,NA,NA,NA,NA,NA
3.02,-16960,765.5,23.83,1.29,-0.5,NA,NA,NA,NA,NA,NA,NA
2.88,-17040,770.5,23.29,1.07,-0.61,NA,NA,NA,NA,NA,NA,NA
2.83,-17120,775.5,23.09,1.37,-0.27,NA,NA,NA,NA,NA,NA,NA
2.97,-17200,780.5,23.65,1.28,-0.47,NA,NA,NA,NA,NA,NA,NA
2.93,-17280,785.5,23.5,1.47,-0.26,NA,NA,NA,NA,NA,NA,NA
3.03,-17370,790.5,23.87,1.64,-0.17,NA,NA,NA,NA,NA,NA,NA
3.04,-17460,795.5,23.89,1.66,-0.15,NA,NA,NA,NA,NA,NA,NA
2.9,-17550,800.5,23.37,1.45,-0.25,NA,NA,NA,NA,NA,NA,NA
2.98,-17650,805.5,23.69,1.39,-0.38,NA,NA,NA,NA,NA,NA,NA
3.11,-17750,810.5,24.16,1.52,-0.34,NA,NA,NA,NA,NA,NA,NA
3.01,-17850,815.5,23.81,1.45,-0.34,NA,NA,NA,NA,NA,NA,NA
3.09,-17950,820.5,24.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.32,-18060,825.5,24.87,1.78,-0.23,NA,NA,NA,NA,NA,NA,NA
3.14,-18170,830.5,24.27,1.42,-0.47,NA,NA,NA,NA,NA,NA,NA
NA,-18280,835.5,NA,NA,-0.7,NA,NA,NA,NA,NA,NA,NA
3.15,-18390,840.5,24.31,1.51,-0.38,NA,NA,NA,NA,NA,NA,NA
3.07,-18510,845.5,24.01,1.69,-0.15,NA,NA,NA,NA,NA,NA,NA
3.04,-18630,850.5,23.9,1.63,-0.18,NA,NA,NA,NA,NA,NA,NA
3.08,-18750,855.5,24.05,1.7,-0.14,NA,NA,NA,NA,NA,NA,NA
3.09,-18880,860.5,24.09,1.71,-0.14,NA,NA,NA,NA,NA,NA,NA
3.07,-19010,865.5,24.02,1.6,-0.23,NA,NA,NA,NA,NA,NA,NA
3.24,-19140,870.5,24.62,1.76,-0.19,NA,NA,NA,NA,NA,NA,NA
3.15,-19270,875.5,24.29,1.62,-0.27,NA,NA,NA,NA,NA,NA,NA
2.96,-19410,880.5,23.6,1.49,-0.26,NA,NA,NA,NA,NA,NA,NA
3.25,-19540,885.5,24.64,1.66,-0.3,NA,NA,NA,NA,NA,NA,NA
3.11,-19690,890.5,24.14,1.49,-0.37,NA,NA,NA,NA,NA,NA,NA
3.14,-19830,895.5,24.26,1.35,-0.53,NA,NA,NA,NA,NA,NA,NA
3,-19980,900.5,23.77,1.41,-0.37,NA,NA,NA,NA,NA,NA,NA
2.98,-20130,905.5,23.69,1.22,-0.54,NA,NA,NA,NA,NA,NA,NA
2.96,-20280,910.5,23.6,1.36,-0.39,NA,NA,NA,NA,NA,NA,NA
2.86,-20430,915.5,23.22,1.18,-0.49,NA,NA,NA,NA,NA,NA,NA
2.96,-20590,920.5,23.63,1.29,-0.46,NA,NA,NA,NA,NA,NA,NA
3.18,-20750,925.5,24.41,1.57,-0.35,NA,NA,NA,NA,NA,NA,NA
2.95,-20920,930.5,23.55,1.29,-0.45,NA,NA,NA,NA,NA,NA,NA
3.08,-21080,935.5,24.04,1.28,-0.56,NA,NA,NA,NA,NA,NA,NA
3.1,-21250,940.5,24.11,1.55,-0.3,NA,NA,NA,NA,NA,NA,NA
3.39,-21420,945.5,25.11,1.82,-0.24,NA,NA,NA,NA,NA,NA,NA
3.01,-21600,950.5,23.78,1.37,-0.41,NA,NA,NA,NA,NA,NA,NA
3.23,-21770,955.5,24.58,1.63,-0.32,NA,NA,NA,NA,NA,NA,NA
3.06,-21950,960.5,23.98,1.25,-0.58,NA,NA,NA,NA,NA,NA,NA
3.35,-22130,965.5,24.99,1.67,-0.37,NA,NA,NA,NA,NA,NA,NA
3.08,-22320,970.5,24.04,1.63,-0.21,NA,NA,NA,NA,NA,NA,NA
3.12,-22510,975.5,24.18,1.3,-0.57,NA,NA,NA,NA,NA,NA,NA
3.19,-22700,980.5,24.44,1.3,-0.62,NA,NA,NA,NA,NA,NA,NA
3.11,-22890,985.5,24.16,1.58,-0.29,NA,NA,NA,NA,NA,NA,NA
3.19,-23090,990.5,24.46,1.56,-0.37,NA,NA,NA,NA,NA,NA,NA
3.15,-23280,995.5,24.29,1.23,-0.66,NA,NA,NA,NA,NA,NA,NA
3.14,-23490,1000.5,24.28,1.4,-0.49,NA,NA,NA,NA,NA,NA,NA
2.91,-23690,1005.5,23.43,1.22,-0.49,NA,NA,NA,NA,NA,NA,NA
3.14,-23900,1010.5,24.25,0.98,-0.9,NA,NA,NA,NA,NA,NA,NA
3.24,-24110,1015.5,24.62,1.16,-0.8,NA,NA,NA,NA,NA,NA,NA
3.16,-24320,1020.5,24.35,1.15,-0.75,NA,NA,NA,NA,NA,NA,NA
3.35,-24530,1025.5,24.99,1.52,-0.51,NA,NA,NA,NA,NA,NA,NA
3.11,-24750,1030.5,24.17,1.26,-0.61,NA,NA,NA,NA,NA,NA,NA
3.13,-24970,1035.5,24.24,1.4,-0.48,NA,NA,NA,NA,NA,NA,NA
3.05,-25190,1040.5,23.95,1.23,-0.59,NA,NA,NA,NA,NA,NA,NA
3.53,-25420,1045.5,25.58,1.65,-0.51,NA,NA,NA,NA,NA,NA,NA
3.44,-25650,1050.5,25.29,1.33,-0.76,NA,NA,NA,NA,NA,NA,NA
3.33,-25880,1055.5,24.93,1.01,-1.01,NA,NA,NA,NA,NA,NA,NA
3.37,-26110,1060.5,25.06,1.29,-0.76,NA,NA,NA,NA,NA,NA,NA
3.71,-26350,1065.5,26.11,1.74,-0.53,NA,NA,NA,NA,NA,NA,NA
3.67,-26590,1070.5,25.98,1.64,-0.6,NA,NA,NA,NA,NA,NA,NA
3.46,-27070,1080.5,25.34,1.17,-0.94,NA,NA,NA,NA,NA,NA,NA
3.45,-27320,1085.5,25.32,1.82,-0.28,NA,NA,NA,NA,NA,NA,NA
3.42,-27570,1090.5,25.21,1.74,-0.34,NA,NA,NA,NA,NA,NA,NA
3.26,-27820,1095.5,24.69,1.49,-0.49,NA,NA,NA,NA,NA,NA,NA
3,-28080,1100.5,23.77,0.86,-0.92,NA,NA,NA,NA,NA,NA,NA
3.15,-28340,1105.5,24.31,1.11,-0.78,NA,NA,NA,NA,NA,NA,NA
3.12,-28600,1110.5,24.18,0.82,-1.05,NA,NA,NA,NA,NA,NA,NA
3.09,-28860,1115.5,24.09,1.56,-0.28,NA,NA,NA,NA,NA,NA,NA
3.38,-29130,1120.5,25.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.35,-29400,1125.5,24.99,1.05,-0.99,NA,NA,NA,NA,NA,NA,NA
3.33,-29670,1130.5,24.92,0.52,-1.5,NA,NA,NA,NA,NA,NA,NA
3.16,-29940,1135.5,24.32,1.1,-0.8,NA,NA,NA,NA,NA,NA,NA
3.27,-30220,1140.5,24.71,1.1,-0.88,NA,NA,NA,NA,NA,NA,NA
3.44,-30500,1145.5,25.28,0.84,-1.26,NA,NA,NA,NA,NA,NA,NA
3.37,-30780,1150.5,25.06,0.9,-1.15,NA,NA,NA,NA,NA,NA,NA
3.47,-31070,1155.5,25.36,0.77,-1.34,NA,NA,NA,NA,NA,NA,NA
3.35,-31350,1160.5,24.97,1.13,-0.9,NA,NA,NA,NA,NA,NA,NA
3.5,-31640,1165.5,25.47,0.98,-1.15,NA,NA,NA,NA,NA,NA,NA
3.2,-31940,1170.5,24.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.29,-32230,1175.5,24.79,0.62,-1.38,NA,NA,NA,NA,NA,NA,NA
NA,-32530,1180.5,NA,NA,-0.94,NA,NA,NA,NA,NA,NA,NA
3.36,-32830,1185.5,25.02,1.19,-0.85,NA,NA,NA,NA,NA,NA,NA
3.32,-33140,1190.5,24.87,0.72,-1.29,NA,NA,NA,NA,NA,NA,NA
3.22,-33440,1195.5,24.55,1.26,-0.69,NA,NA,NA,NA,NA,NA,NA
3.22,-33750,1200.5,24.53,1.31,-0.63,NA,NA,NA,NA,NA,NA,NA
3.1,-34070,1205.5,24.13,0.54,-1.32,NA,NA,NA,NA,NA,NA,NA
3.29,-34380,1210.5,24.78,0.96,-1.03,NA,NA,NA,NA,NA,NA,NA
3.27,-34700,1215.5,24.7,0.42,-1.56,NA,NA,NA,NA,NA,NA,NA
3.14,-35020,1220.5,24.26,0.62,-1.27,NA,NA,NA,NA,NA,NA,NA
3.33,-35340,1225.5,24.93,0.37,-1.65,NA,NA,NA,NA,NA,NA,NA
3.61,-35670,1230.5,25.81,0.99,-1.22,NA,NA,NA,NA,NA,NA,NA
3.24,-36000,1235.5,24.62,1.08,-0.88,NA,NA,NA,NA,NA,NA,NA
3.19,-36330,1240.5,24.44,1.5,-0.42,NA,NA,NA,NA,NA,NA,NA
3.16,-36660,1245.5,24.34,0.89,-1.01,NA,NA,NA,NA,NA,NA,NA
3.15,-37000,1250.5,24.3,1.32,-0.58,NA,NA,NA,NA,NA,NA,NA
3.23,-37340,1255.5,24.58,1.22,-0.73,NA,NA,NA,NA,NA,NA,NA
3.25,-37680,1260.5,24.64,1.24,-0.72,NA,NA,NA,NA,NA,NA,NA
3.29,-38020,1265.5,24.77,1.17,-0.82,NA,NA,NA,NA,NA,NA,NA
3.39,-38370,1270.5,25.12,1.49,-0.57,NA,NA,NA,NA,NA,NA,NA
NA,-38720,1275.5,NA,NA,-0.75,NA,NA,NA,NA,NA,NA,NA
2.99,-39070,1280.5,23.74,0.67,-1.1,NA,NA,NA,NA,NA,NA,NA
3.1,-39430,1285.5,24.13,0.77,-1.09,NA,NA,NA,NA,NA,NA,NA
3,-39790,1290.5,23.78,0.15,-1.63,NA,NA,NA,NA,NA,NA,NA
3.13,-40150,1295.5,24.22,1.02,-0.86,NA,NA,NA,NA,NA,NA,NA
3.19,-40510,1300.5,24.43,0.96,-0.96,NA,NA,NA,NA,NA,NA,NA
3.23,-40880,1305.5,24.57,0.64,-1.31,NA,NA,NA,NA,NA,NA,NA
3.29,-41240,1310.5,24.77,0.97,-1.02,NA,NA,NA,NA,NA,NA,NA
3.17,-41610,1315.5,24.37,0.73,-1.18,NA,NA,NA,NA,NA,NA,NA
3.2,-41970,1320.5,24.46,0.91,-1.02,NA,NA,NA,NA,NA,NA,NA
3.23,-42330,1325.5,24.58,1.05,-0.9,NA,NA,NA,NA,NA,NA,NA
3.4,-42700,1330.5,25.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.31,-43060,1335.5,24.86,0.9,-1.11,NA,NA,NA,NA,NA,NA,NA
3.15,-43430,1340.5,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.19,-43790,1345.5,24.44,0.84,-1.08,NA,NA,NA,NA,NA,NA,NA
NA,-44160,1350.5,NA,NA,-1.52,NA,NA,NA,NA,NA,NA,NA
3.3,-44520,1355.5,24.81,0.71,-1.29,NA,NA,NA,NA,NA,NA,NA
3.49,-44880,1360.5,25.43,0.66,-1.47,NA,NA,NA,NA,NA,NA,NA
3.21,-45250,1365.5,24.5,0.22,-1.71,NA,NA,NA,NA,NA,NA,NA
3.29,-45610,1370.5,24.79,0.82,-1.17,NA,NA,NA,NA,NA,NA,NA
3.82,-45980,1375.5,26.43,0.86,-1.47,NA,NA,NA,NA,NA,NA,NA
3.38,-46340,1380.5,25.07,1.29,-0.76,NA,NA,NA,NA,NA,NA,NA
3.45,-46700,1385.5,25.32,1.48,-0.62,NA,NA,NA,NA,NA,NA,NA
3.25,-47070,1390.5,24.65,0.71,-1.26,NA,NA,NA,NA,NA,NA,NA
3.24,-47430,1395.5,24.62,0.64,-1.32,NA,NA,NA,NA,NA,NA,NA
3.38,-47800,1400.5,25.1,0.55,-1.51,NA,NA,NA,NA,NA,NA,NA
3.26,-48160,1405.5,24.68,0.85,-1.13,NA,NA,NA,NA,NA,NA,NA
3.25,-48530,1410.5,24.66,0.58,-1.39,NA,NA,NA,NA,NA,NA,NA
3.44,-48890,1415.5,25.28,0.69,-1.41,NA,NA,NA,NA,NA,NA,NA
3.23,-49250,1420.5,24.58,0.64,-1.31,NA,NA,NA,NA,NA,NA,NA
3.17,-49620,1425.5,24.37,0.21,-1.7,NA,NA,NA,NA,NA,NA,NA
3.1,-49980,1430.5,24.13,0.33,-1.53,NA,NA,NA,NA,NA,NA,NA
3.06,-50350,1435.5,23.98,0.13,-1.7,NA,NA,NA,NA,NA,NA,NA
3.28,-50710,1440.5,24.76,0.14,-1.85,NA,NA,NA,NA,NA,NA,NA
3.45,-51070,1445.5,25.32,0.27,-1.84,NA,NA,NA,NA,NA,NA,NA
3.34,-51440,1450.5,24.97,-0.08,-2.11,NA,NA,NA,NA,NA,NA,NA
3.34,-51800,1455.5,24.95,-0.34,-2.36,NA,NA,NA,NA,NA,NA,NA
3.19,-52170,1460.5,24.45,-0.66,-2.59,NA,NA,NA,NA,NA,NA,NA
3.33,-52530,1465.5,24.91,-0.18,-2.2,NA,NA,NA,NA,NA,NA,NA
3.29,-52900,1470.5,24.77,0.07,-1.92,NA,NA,NA,NA,NA,NA,NA
NA,-53120,1475.5,NA,NA,-1.54,NA,NA,NA,NA,NA,NA,NA
3.58,-53340,1480.5,25.73,0.22,-1.97,NA,NA,NA,NA,NA,NA,NA
3.57,-53560,1485.5,25.7,0.76,-1.43,NA,NA,NA,NA,NA,NA,NA
3.43,-53780,1490.5,25.24,0.55,-1.54,NA,NA,NA,NA,NA,NA,NA
3.55,-54000,1495.5,25.64,0.14,-2.03,NA,NA,NA,NA,NA,NA,NA
3.57,-54220,1500.5,25.68,0.43,-1.75,NA,NA,NA,NA,NA,NA,NA
3.56,-54440,1505.5,25.67,0.69,-1.49,NA,NA,NA,NA,NA,NA,NA
3.36,-54670,1510.5,25,0.54,-1.5,NA,NA,NA,NA,NA,NA,NA
3.34,-54890,1515.5,24.94,0.64,-1.39,NA,NA,NA,NA,NA,NA,NA
3.02,-55110,1520.5,23.83,0.52,-1.28,NA,NA,NA,NA,NA,NA,NA
3.29,-55330,1525.5,24.79,0.32,-1.67,NA,NA,NA,NA,NA,NA,NA
3.36,-55550,1530.5,25.02,0.26,-1.78,NA,NA,NA,NA,NA,NA,NA
3.4,-55770,1535.5,25.14,0.51,-1.55,NA,NA,NA,NA,NA,NA,NA
3.3,-55990,1540.5,24.81,0.43,-1.57,NA,NA,NA,NA,NA,NA,NA
3.61,-56220,1545.5,25.83,0.85,-1.36,NA,NA,NA,NA,NA,NA,NA
3.39,-56440,1550.5,25.12,0.53,-1.53,NA,NA,NA,NA,NA,NA,NA
3.17,-56660,1555.5,24.38,0.28,-1.63,NA,NA,NA,NA,NA,NA,NA
3.46,-56880,1560.5,25.35,0.66,-1.45,NA,NA,NA,NA,NA,NA,NA
3.68,-57100,1565.5,26.04,0.62,-1.64,NA,NA,NA,NA,NA,NA,NA
3.5,-57320,1570.5,25.47,0.47,-1.66,NA,NA,NA,NA,NA,NA,NA
3.58,-57540,1575.5,25.73,0.88,-1.31,NA,NA,NA,NA,NA,NA,NA
3.39,-57760,1580.5,25.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.42,-57990,1585.5,25.23,0.97,-1.12,NA,NA,NA,NA,NA,NA,NA
3.4,-58250,1590.5,25.15,1.11,-0.96,NA,NA,NA,NA,NA,NA,NA
3.61,-58540,1595.5,25.81,1.31,-0.9,NA,NA,NA,NA,NA,NA,NA
3.3,-58820,1600.5,24.82,1.27,-0.73,NA,NA,NA,NA,NA,NA,NA
3.46,-59110,1605.5,25.35,1.38,-0.74,NA,NA,NA,NA,NA,NA,NA
3.32,-59390,1610.5,24.9,1.25,-0.77,NA,NA,NA,NA,NA,NA,NA
3.25,-59670,1615.5,24.64,1.26,-0.7,NA,NA,NA,NA,NA,NA,NA
3.39,-59960,1620.5,25.1,1.28,-0.78,NA,NA,NA,NA,NA,NA,NA
3.19,-60240,1625.5,24.46,1.38,-0.55,NA,NA,NA,NA,NA,NA,NA
3.29,-60530,1630.5,24.77,1.35,-0.64,NA,NA,NA,NA,NA,NA,NA
3.06,-60810,1635.5,23.96,1.2,-0.62,NA,NA,NA,NA,NA,NA,NA
3.24,-61100,1640.5,24.6,1.39,-0.57,NA,NA,NA,NA,NA,NA,NA
3.09,-61380,1645.5,24.1,1.02,-0.83,NA,NA,NA,NA,NA,NA,NA
3.34,-61660,1650.5,24.95,1.34,-0.69,NA,NA,NA,NA,NA,NA,NA
3.14,-61950,1655.5,24.26,1.31,-0.57,NA,NA,NA,NA,NA,NA,NA
3.07,-62230,1660.5,24.02,1,-0.83,NA,NA,NA,NA,NA,NA,NA
3.3,-62520,1665.5,24.8,1.15,-0.84,NA,NA,NA,NA,NA,NA,NA
3.05,-62800,1670.5,23.94,0.93,-0.89,NA,NA,NA,NA,NA,NA,NA
3.23,-63090,1675.5,24.57,1.11,-0.84,NA,NA,NA,NA,NA,NA,NA
3.27,-63370,1680.5,24.73,1.2,-0.78,NA,NA,NA,NA,NA,NA,NA
3.32,-63650,1685.5,24.88,1.19,-0.82,NA,NA,NA,NA,NA,NA,NA
3.34,-63940,1690.5,24.96,1.47,-0.56,NA,NA,NA,NA,NA,NA,NA
3.27,-64220,1695.5,24.72,1.21,-0.77,NA,NA,NA,NA,NA,NA,NA
3.36,-64510,1700.5,25.03,1.69,-0.36,NA,NA,NA,NA,NA,NA,NA
3.08,-64790,1705.5,24.05,1.45,-0.39,NA,NA,NA,NA,NA,NA,NA
3.31,-65080,1710.5,24.84,1.46,-0.55,NA,NA,NA,NA,NA,NA,NA
3.22,-65360,1715.5,24.53,1.49,-0.45,NA,NA,NA,NA,NA,NA,NA
3.24,-65640,1720.5,24.62,1.49,-0.46,NA,NA,NA,NA,NA,NA,NA
3.07,-65930,1725.5,24,1.38,-0.45,NA,NA,NA,NA,NA,NA,NA
3.17,-66210,1730.5,24.36,1.33,-0.57,NA,NA,NA,NA,NA,NA,NA
3.07,-66500,1735.5,24.02,1.29,-0.54,NA,NA,NA,NA,NA,NA,NA
3.55,-66780,1740.5,25.62,1.39,-0.78,NA,NA,NA,NA,NA,NA,NA
3.14,-67070,1745.5,24.28,1.32,-0.57,NA,NA,NA,NA,NA,NA,NA
3.13,-67350,1750.5,24.22,1.36,-0.51,NA,NA,NA,NA,NA,NA,NA
3.25,-67460,1752.5,24.65,1.36,-0.61,NA,NA,NA,NA,NA,NA,NA
3.16,-67630,1755.5,24.32,1.26,-0.63,NA,NA,NA,NA,NA,NA,NA
3.17,-67750,1757.5,24.37,1.37,-0.53,NA,NA,NA,NA,NA,NA,NA
3.21,-67920,1760.5,24.51,1.26,-0.67,NA,NA,NA,NA,NA,NA,NA
3.06,-68030,1762.5,23.97,1.08,-0.74,NA,NA,NA,NA,NA,NA,NA
3.27,-68200,1765.5,24.7,1.43,-0.55,NA,NA,NA,NA,NA,NA,NA
3.02,-68320,1767.5,23.85,1.15,-0.64,NA,NA,NA,NA,NA,NA,NA
3.13,-68490,1770.5,24.22,1.32,-0.55,NA,NA,NA,NA,NA,NA,NA
3.07,-68580,1772.5,24.01,1.29,-0.54,NA,NA,NA,NA,NA,NA,NA
3.19,-68680,1775.5,24.45,1.05,-0.88,NA,NA,NA,NA,NA,NA,NA
3.02,-68740,1777.5,23.83,0.9,-0.89,NA,NA,NA,NA,NA,NA,NA
3.15,-68840,1780.5,24.3,1.07,-0.82,NA,NA,NA,NA,NA,NA,NA
3.08,-68900,1782.5,24.03,0.99,-0.85,NA,NA,NA,NA,NA,NA,NA
3.26,-69000,1785.5,24.66,0.94,-1.03,NA,NA,NA,NA,NA,NA,NA
3.16,-69070,1787.5,24.34,1.1,-0.8,NA,NA,NA,NA,NA,NA,NA
3.36,-69160,1790.5,25.02,1.1,-0.94,NA,NA,NA,NA,NA,NA,NA
3.53,-69230,1792.5,25.55,1.29,-0.87,NA,NA,NA,NA,NA,NA,NA
3.41,-69330,1795.5,25.17,1.04,-1.03,NA,NA,NA,NA,NA,NA,NA
3.31,-69390,1797.5,24.87,0.95,-1.06,NA,NA,NA,NA,NA,NA,NA
3.63,-69490,1800.5,25.86,1.18,-1.04,NA,NA,NA,NA,NA,NA,NA
3.25,-69560,1802.5,24.65,0.67,-1.3,NA,NA,NA,NA,NA,NA,NA
3.41,-69650,1805.5,25.17,0.96,-1.11,NA,NA,NA,NA,NA,NA,NA
3.41,-69720,1807.5,25.17,0.83,-1.24,NA,NA,NA,NA,NA,NA,NA
3.37,-69820,1810.5,25.06,0.95,-1.1,NA,NA,NA,NA,NA,NA,NA
3.48,-69880,1812.5,25.4,1.18,-0.94,NA,NA,NA,NA,NA,NA,NA
3.39,-69980,1815.5,25.12,1.11,-0.95,NA,NA,NA,NA,NA,NA,NA
3.43,-70040,1817.5,25.25,0.85,-1.23,NA,NA,NA,NA,NA,NA,NA
3.31,-70140,1820.5,24.86,0.81,-1.2,NA,NA,NA,NA,NA,NA,NA
3.39,-70210,1822.5,25.13,0.71,-1.36,NA,NA,NA,NA,NA,NA,NA
3.44,-70300,1825.5,25.28,0.86,-1.23,NA,NA,NA,NA,NA,NA,NA
3.94,-70370,1827.5,26.79,0.89,-1.52,NA,NA,NA,NA,NA,NA,NA
3.72,-70470,1830.5,26.15,0.76,-1.52,NA,NA,NA,NA,NA,NA,NA
3.82,-70530,1832.5,26.44,0.84,-1.49,NA,NA,NA,NA,NA,NA,NA
3.95,-70630,1835.5,26.81,0.9,-1.51,NA,NA,NA,NA,NA,NA,NA
3.61,-70690,1837.5,25.82,0.72,-1.48,NA,NA,NA,NA,NA,NA,NA
3.37,-70790,1840.5,25.05,0.56,-1.49,NA,NA,NA,NA,NA,NA,NA
3.72,-70860,1842.5,26.16,0.82,-1.46,NA,NA,NA,NA,NA,NA,NA
3.8,-70950,1845.5,26.38,0.81,-1.52,NA,NA,NA,NA,NA,NA,NA
3.56,-71000,1847.5,25.67,0.72,-1.46,NA,NA,NA,NA,NA,NA,NA
3.67,-71070,1850.5,26.01,1.02,-1.23,NA,NA,NA,NA,NA,NA,NA
3.45,-71110,1852.5,25.31,0.8,-1.3,NA,NA,NA,NA,NA,NA,NA
3.49,-71180,1855.5,25.44,0.99,-1.13,NA,NA,NA,NA,NA,NA,NA
3.5,-71220,1857.5,25.46,0.82,-1.31,NA,NA,NA,NA,NA,NA,NA
3.66,-71280,1860.5,25.96,1.02,-1.22,NA,NA,NA,NA,NA,NA,NA
3.9,-71330,1862.5,26.68,0.86,-1.53,NA,NA,NA,NA,NA,NA,NA
3.53,-71390,1865.5,25.55,1.15,-1,NA,NA,NA,NA,NA,NA,NA
3.46,-71590,1867.5,25.34,1.11,-1,NA,NA,NA,NA,NA,NA,NA
3.48,-71880,1870.5,25.42,1.12,-1,NA,NA,NA,NA,NA,NA,NA
3.45,-72080,1872.5,25.3,1.06,-1.04,NA,NA,NA,NA,NA,NA,NA
3.49,-72370,1875.5,25.45,1.05,-1.08,NA,NA,NA,NA,NA,NA,NA
3.58,-72560,1877.5,25.72,1.03,-1.16,NA,NA,NA,NA,NA,NA,NA
3.56,-72750,1880.5,25.67,1.19,-0.99,NA,NA,NA,NA,NA,NA,NA
3.5,-72810,1882.5,25.47,0.57,-1.57,NA,NA,NA,NA,NA,NA,NA
3.57,-72910,1885.5,25.68,1,-1.18,NA,NA,NA,NA,NA,NA,NA
3.56,-72980,1887.5,25.65,0.56,-1.61,NA,NA,NA,NA,NA,NA,NA
3.59,-73130,1890.5,25.75,0.41,-1.79,NA,NA,NA,NA,NA,NA,NA
3.51,-73230,1892.2,25.5,0.52,-1.62,NA,NA,NA,NA,NA,NA,NA
4,-73450,1895.5,26.96,0.63,-1.81,NA,NA,NA,NA,NA,NA,NA
3.51,-73570,1897.5,25.49,0.47,-1.67,NA,NA,NA,NA,NA,NA,NA
3.86,-73760,1900.5,26.55,0.6,-1.75,NA,NA,NA,NA,NA,NA,NA
3.59,-73890,1902.5,25.75,0.41,-1.79,NA,NA,NA,NA,NA,NA,NA
3.77,-74080,1905.5,26.3,0.58,-1.73,NA,NA,NA,NA,NA,NA,NA
3.62,-74210,1907.5,25.85,0.16,-2.05,NA,NA,NA,NA,NA,NA,NA
3.54,-74400,1910.5,25.61,0.35,-1.81,NA,NA,NA,NA,NA,NA,NA
4.04,-74530,1912.5,27.06,0.54,-1.93,NA,NA,NA,NA,NA,NA,NA
3.64,-74720,1915.5,25.91,0.3,-1.93,NA,NA,NA,NA,NA,NA,NA
3.98,-74850,1917.5,26.91,0.64,-1.79,NA,NA,NA,NA,NA,NA,NA
3.66,-75040,1920.5,25.98,0.23,-2.01,NA,NA,NA,NA,NA,NA,NA
3.66,-75150,1922.5,25.95,0.41,-1.83,NA,NA,NA,NA,NA,NA,NA
3.83,-75250,1925.5,26.46,0.69,-1.65,NA,NA,NA,NA,NA,NA,NA
3.53,-75310,1927.5,25.57,0.48,-1.67,NA,NA,NA,NA,NA,NA,NA
