d18O (permil),year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil),Mg_Ca (mmol/mol),temperature (degC),d18O (permil),Mg_Ca (mmol/mol),temperature (degC)
1.699166,1575.41,12.25,NA,2.55,-0.18,0.82,4.92,NA,NA,NA
1.628052,1561.5,12.75,NA,2.46,-0.16,0.85,5.33,NA,NA,NA
1.66865,1547.7,13.25,NA,2.52,-0.36,0.77,4.34,NA,NA,NA
1.589065,1533.79,13.75,NA,2.35,-0.2,0.88,5.63,NA,NA,NA
1.878609,1519.87,14.25,NA,2.61,0.03,0.87,5.51,NA,NA,NA
NA,1512.91,14.5,0.59,NA,NA,NA,NA,2.589919,1.301995,6.012856
1.634658,1505.83,14.75,NA,2.54,0.14,0.93,6.18,NA,NA,NA
1.604444,1492.2,15.25,NA,2.5,-0.2,0.83,5.04,NA,NA,NA
NA,1485.385,15.5,0.89,NA,NA,NA,NA,2.635509,1.422546,7.106075
1.785228,1478.11,15.75,NA,2.53,-0.24,0.81,4.79,NA,NA,NA
1.781845,1463.75,16.25,1.23,2.56,-0.15,0.83,5.02,2.534772,1.659943,9.01144
1.6494,1444.26,16.75,1.36,2.56,-0.05,0.86,5.39,2.538177,1.73704,9.571929
1.744065,1425.39,17.25,0.89,2.58,-0.07,0.84,5.23,2.471687,1.50606,7.810375
1.637634,1410.51,17.75,0.82,2.66,-0.15,0.79,4.62,2.544242,1.433433,7.200192
1.566145,1395.49,18.25,0.93,2.6,-0.01,0.86,5.39,2.595381,1.463985,7.460564
1.571026,1380.54,18.75,1.24,2.46,-0.23,0.83,5.07,2.479707,1.697056,9.284428
1.481359,1365.66,19.25,1.29,2.59,-0.19,0.8,4.74,2.48514,1.725916,9.492613
1.473538,1350.8,19.75,1.24,2.51,-0.1,0.86,5.39,2.487442,1.694965,9.269207
1.582714,1336.08,20.25,1.05,2.6,-0.02,0.85,5.34,2.354961,1.6623000000000001,9.028956
1.59497,1321.44,20.75,0.78,2.52,-0.14,0.84,5.18,2.495228,1.440287,7.259085
1.616959,1307.06,21.25,0.66,2.43,-0.18,0.86,5.39,2.482135,1.388323,6.805436
1.633344,1292.59,21.75,0.8,2.55,0.01,0.88,5.64,2.4466,1.473901,7.543907
1.593545,1276,22.25,0.45,2.57,-0.17,0.82,4.9,2.53282,1.265734,5.664145
1.659785,1259.42,22.75,0.79,2.51,-0.28,0.8,4.71,2.453659,1.463093,7.453042
1.74619,1246.19,23.25,0.86,2.46,-0.27,0.82,4.93,2.576542,1.437217,7.232744
1.586332,1235.5,23.75,1.01,2.62,0.01,0.86,5.4,2.36322,1.633506,8.813234
1.653342,1225.6,24.25,NA,2.6,-0.07,0.84,5.16,NA,NA,NA
NA,1220.65,24.5,0.82,NA,NA,NA,NA,2.598079,1.406837,6.968977
1.618011,1215.96,24.75,NA,2.56,0.11,0.91,5.98,NA,NA,NA
1.563211,1206.36,25.25,1.1,2.66,-0.2,0.78,4.43,2.438011,1.643973,8.892089
1.603413,1196.96,25.75,0.75,2.58,-0.03,0.86,5.37,2.329224,1.509649,7.83976
1.684519,1187.46,26.25,0.52,2.57,-0.09,0.84,5.19,2.414528,1.350157,6.461293
1.603184,1178.26,26.75,NA,2.53,-0.19,0.82,4.98,NA,NA,NA
NA,1173.66,27,0.71,NA,NA,NA,NA,2.329611,1.489417,7.673192
1.526037,1168.85,27.25,NA,2.52,-0.09,0.86,5.39,NA,NA,NA
1.572798,1159.18,27.75,0.84,2.51,-0.2,0.83,5.01,2.361366,1.540552,8.089929
1.601819,1148.53,28.25,0.66,2.58,-0.04,0.85,5.33,2.473106,1.391909,6.837279
1.595037,1133.75,28.75,0.65,2.56,-0.13,0.83,5.09,2.431555,1.40516,6.954254
1.66171,1117.44,29.25,NA,2.58,-0.06,0.85,5.25,NA,NA,NA
NA,1109.285,29.5,0.94,NA,NA,NA,NA,2.446396,1.546471,8.137271
1.636884,1105.04,29.75,NA,2.6,-0.02,0.85,5.33,NA,NA,NA
1.817383,1093.82,30.25,1.28,2.63,-0.05,0.84,5.13,2.158702,1.932248,10.88676
2.002811,1083.17,30.75,0.41,2.54,-0.01,0.88,5.61,2.194274,1.406632,6.967186
1.747567,1072.84,31.25,NA,2.58,-0.15,0.82,4.92,NA,NA,NA
1.719099,1062.14,31.75,NA,2.4,-0.34,0.81,4.88,NA,NA,NA
NA,1056.79,32,0.34,NA,NA,NA,NA,2.220381,1.360688,6.557213
1.647711,1051.84,32.25,NA,2.71,-0.19,0.77,4.3,NA,NA,NA
1.89645,1041.63,32.75,NA,2.59,-0.31,0.77,4.3,NA,NA,NA
1.736277,1031.51,33.25,0.82,2.62,-0.09,0.83,5.01,2.28751,1.569742,8.321666
1.69998,1021.19,33.75,NA,2.48,-0.28,0.81,4.81,NA,NA,NA
1.58431,1011.18,34.25,NA,2.59,-0.22,0.79,4.62,NA,NA,NA
1.496254,1000.9,34.75,0.79,2.5,-0.41,0.76,4.23,2.293211,1.547657,8.146734
1.546733,989.94,35.25,1.07,2.53,-0.06,0.86,5.46,2.386198,1.651753,8.950381
1.620051,978,35.75,0.8,2.5,-0.11,0.86,5.37,2.376308,1.509839,7.841317
1.451531,961.38,36.25,0.74,2.62,0.23,0.93,6.21,2.460311,1.436262,7.224537
1.59131,943.09,36.75,0.62,2.56,-0.14,0.83,5.04,2.293519,1.460817,7.433821
1.805799,929.53,37.25,0.55,2.34,-0.36,0.83,5.05,2.354179,1.395755,6.871349
1.593179,917.45,37.75,0.33,2.48,-0.33,0.79,4.62,2.105833,1.408378,6.982493
1.600749,905.75,38.25,1.15,2.6,-0.11,0.83,5.01,2.481748,1.647501,8.91856
1.561248,894.23,38.75,0.67,2.47,-0.16,0.85,5.32,2.446704,1.40931,6.990668
1.726902,882.88,39.25,0.87,2.54,-0.15,0.83,5.06,2.373857,1.54928,8.159676
1.588082,871.44,39.75,0.79,2.55,-0.11,0.84,5.18,2.275958,1.560392,8.247905
1.57028,859.27,40.25,1.05,2.33,-0.34,0.84,5.15,2.347558,1.666628,9.06106
1.605043,847.21,40.75,0.99,2.52,-0.11,0.85,5.29,2.292801,1.6628829999999999,9.033288
1.591783,835.42,41.25,NA,2.59,-0.09,0.84,5.13,NA,NA,NA
1.641355,823.14,41.75,1.24,2.62,-0.05,0.84,5.17,2.280498,1.820976,10.15452
1.728749,810.63,42.25,1.11,2.59,0.06,0.88,5.69,2.262657,1.754615,9.696206
1.61341,797.69,42.75,0.8,2.44,-0.17,0.86,5.39,2.494387,1.44906,7.334054
1.630737,783.45,43.25,NA,2.52,-0.11,0.85,5.32,NA,NA,NA
1.771406,763.36,43.75,1.1,2.36,-0.27,0.86,5.32,2.201889,1.781557,9.884339
