d18O (permil),year (AD),depth (cm),d13C (permil)
-7.85,1564,16.55,-10.93
-7.96,1562,16.67,-10.82
-8.16,1557,16.91,-10.38
-8.12,1555,17.03,-10.5
-7.98,1553,17.16,-10.67
-7.95,1551,17.28,-10.73
-8.41,1549,17.4,-10.53
-8.11,1546,17.52,-10.96
-8.33,1544,17.64,-10.93
-8.34,1542,17.77,-11.12
-9.2,1540,17.89,-11.46
-8.94,1538,18.01,-11.82
-8.59,1536,18.13,-11.56
-8.2,1533,18.25,-11.41
-8.08,1531,18.38,-11.32
-8.24,1529,18.5,-11.35
-8.34,1527,18.62,-11.59
-7.91,1525,18.74,-11.22
-7.94,1522,18.86,-11.25
-7.92,1520,18.99,-11.27
-7.81,1518,19.11,-11.21
-8.27,1516,19.23,-10.4
-7.88,1514,19.35,-11.38
-7.62,1511,19.47,-11.09
-7.92,1509,19.6,-11.48
-7.67,1507,19.72,-10.93
-7.79,1505,19.84,-10.61
-7.86,1503,19.96,-11.19
-7.59,1500,20.08,-10.71
-7.67,1498,20.21,-10.84
-7.72,1496,20.33,-10.85
-7.89,1494,20.45,-9.95
-7.81,1492,20.57,-10.86
-7.59,1489,20.69,-10.51
-7.63,1487,20.82,-10.62
-7.71,1485,20.94,-10.71
-7.74,1483,21.06,-11.24
-7.45,1481,21.18,-10.08
-7.62,1478,21.3,-10.34
-7.66,1476,21.43,-10.49
-7.46,1474,21.55,-10.12
-7.35,1472,21.67,-10.67
-7.34,1470,21.79,-10.14
-7.52,1467,21.91,-10.22
-7.66,1465,22.04,-10.23
-7.75,1463,22.16,-10.13
-7.89,1461,22.28,-10.11
-7.89,1459,22.4,-10.2
-7.75,1456,22.52,-10.38
-7.8,1454,22.65,-10.43
-7.93,1452,22.77,-10.79
-7.67,1450,22.89,-10.61
-8.05,1448,23.01,-10.93
-7.86,1446,23.13,-10.42
-8.11,1443,23.26,-11.07
-8.28,1441,23.38,-11.47
-8.01,1439,23.5,-11.49
-8.24,1437,23.62,-11.2
-8.14,1435,23.74,-11.06
-8.16,1432,23.86,-10.39
-8.02,1430,23.99,-10.7
-8.06,1428,24.11,-11.73
-7.99,1426,24.23,-10.6
-7.82,1424,24.35,-10.31
-7.99,1421,24.47,-9.85
-7.63,1419,24.6,-10.05
-8.13,1417,24.72,-11.31
-7.78,1415,24.84,-9.9
-8.04,1413,24.96,-10.23
-8.11,1410,25.08,-10.25
-8.01,1408,25.21,-10.11
-8.21,1406,25.33,-10.33
-7.89,1404,25.45,-10.27
-8.21,1402,25.57,-10.32
-8.09,1399,25.69,-10.08
-7.81,1397,25.82,-9.95
-8.06,1395,25.94,-10.14
-7.91,1393,26.06,-9.86
-7.96,1391,26.18,-9.84
-8.08,1388,26.3,-9.94
-8.02,1386,26.43,-9.91
-8.21,1384,26.55,-10.1
-8.04,1382,26.67,-9.98
-8.1,1380,26.79,-10.06
-8.18,1377,26.91,-10.39
-8.14,1375,27.04,-10.15
-7.97,1371,27.28,-10.28
-8.23,1369,27.4,-10.93
-7.96,1367,27.52,-10.3
-7.97,1364,27.65,-10.38
-7.99,1362,27.77,-9.79
-7.45,1360,27.88,-9.44
-7.99,1358,27.99,-9.57
-8.09,1356,28.1,-9.68
-7.88,1354,28.22,-9.56
-8.17,1352,28.33,-9.91
-7.95,1350,28.44,-10.09
-8.07,1348,28.55,-10.26
-8.35,1346,28.66,-10.41
-8.29,1343,28.78,-10.12
-7.96,1337,29,-9.89
-7.99,1334,29.11,-10.13
-7.86,1331,29.23,-9.78
-8.02,1328,29.34,-9.99
-8.13,1324,29.45,-10.41
-8.41,1321,29.56,-10.85
-8.37,1318,29.67,-10.73
-8.44,1315,29.79,-10.75
-8.17,1312,29.9,-10.21
-8.45,1309,30.01,-11.16
-8.52,1306,30.12,-10.95
-8.47,1303,30.23,-11.01
-8.46,1300,30.35,-10.92
-8.4,1297,30.46,-10.69
-8.71,1294,30.57,-11.32
-8.58,1291,30.68,-10.86
-8.59,1288,30.79,-10.85
-8.56,1284,30.91,-10.91
-8.85,1281,31.02,-11.27
-8.42,1278,31.13,-10.79
-8.81,1275,31.25,-10.96
-8.65,1272,31.37,-11.03
-8.8,1268,31.5,-11.04
-8.64,1265,31.62,-10.7
-8.47,1262,31.74,-10.94
-8.66,1258,31.86,-10.91
-8.82,1251,32.11,-10.7
-8.45,1248,32.23,-10.21
-8.09,1245,32.35,-10.19
-7.77,1241,32.47,-10.16
-7.87,1238,32.59,-10.13
-7.92,1235,32.72,-10.26
-7.8,1231,32.84,-10.05
-7.95,1228,32.96,-10.5
-7.72,1225,33.08,-10.43
-7.84,1221,33.2,-10.58
-7.84,1218,33.33,-10.77
-7.78,1215,33.45,-10.64
-8.07,1211,33.57,-11.16
-7.83,1208,33.69,-10.95
-8.07,1205,33.81,-10.93
-8.21,1201,33.94,-11.11
-8.34,1198,34.06,-11.02
-8.63,1195,34.18,-11.49
-8.62,1191,34.3,-11.38
-8.64,1188,34.42,-11.45
-8.67,1185,34.55,-11.59
-8.66,1178,34.79,-11.81
-8.53,1175,34.89,-11.53
-8.35,1173,34.98,-11.26
-7.72,1170,35.08,-10.28
-8.36,1167,35.17,-11.22
-7.91,1165,35.27,-11.25
-8.61,1157,35.55,-11.21
-8.54,1152,35.75,-11.45
-8.95,1149,35.84,-11.12
-9.54,1146,35.94,-11.3
-9.76,1141,36.13,-11.58
-8.53,1136,36.32,-11.12
-8.67,1133,36.41,-11.38
-8.42,1131,36.51,-11.05
-8.31,1128,36.61,-10.86
-8.65,1125,36.7,-11.19
-8.36,1120,36.89,-10.75
-8.28,1115,37.08,-10.59
-8.34,1112,37.18,-10.84
-8.15,1110,37.28,-10.43
-8.07,1107,37.37,-10.61
-8.03,1104,37.47,-10.73
-7.99,1102,37.56,-10.83
-8.03,1099,37.66,-11.03
-8.13,1096,37.77,-11.11
-8.01,1093,37.89,-11.03
-8.03,1090,38,-10.9
-7.97,1086,38.12,-10.84
-8.04,1083,38.23,-11.3
-8.03,1080,38.35,-11.24
-8.04,1077,38.47,-11.2
-8.18,1074,38.58,-11.27
-8.31,1071,38.7,-11.25
-8.28,1064,38.93,-11.38
-8.34,1061,39.04,-11.15
-8.36,1058,39.16,-11.21
-8.38,1055,39.27,-11.4
-8.34,1052,39.39,-11.55
-8.3,1048,39.5,-11.06
-8.27,1045,39.62,-10.85
-8.27,1042,39.73,-10.91
-8.28,1039,39.85,-10.96
-8.29,1036,39.97,-10.91
-8.37,1033,40.08,-11.18
-8.24,1029,40.2,-10.44
-8.42,1026,40.31,-10.99
-8.37,1023,40.43,-10.74
-8.48,1020,40.54,-11.33
-8.37,1017,40.66,-11.25
-8.51,1014,40.77,-11.23
-8.27,1007,41,-10.44
-8.44,1004,41.12,-10.69
-8.18,1003,41.16,-10.03
-7.93,1000,41.26,-9.63
-8.11,998,41.34,-9.6
-8,997,41.37,-9.7
-8.05,996,41.41,-9.94
-8.08,995,41.45,-10.08
-7.95,994,41.48,-10.15
-7.92,993,41.52,-10.89
-8.02,992,41.55,-11.04
-7.93,991,41.59,-10.92
-8.13,990,41.63,-10.93
-8.09,989,41.66,-11.27
-8.03,988,41.7,-10.74
-8.1,987,41.74,-11.01
-8.05,985,41.81,-10.9
-7.97,984,41.84,-10.79
-7.65,983,41.88,-10.36
-8.29,982,41.92,-10.41
-8.52,981,41.95,-10.47
-8.37,980,41.99,-11.04
-8.12,979,42.03,-11.45
-8.54,977,42.1,-11.34
-8.47,976,42.13,-11.17
-8.58,975,42.17,-11.3
-8.02,974,42.21,-11.47
-8.34,973,42.24,-10.72
-8.25,972,42.28,-10.78
-8.35,971,42.32,-10.62
-8.05,970,42.35,-10.12
-7.9,969,42.39,-10.24
-8.24,966,42.5,-10.49
-8.28,965,42.53,-11.02
-8.45,964,42.57,-11.48
-7.75,959,42.75,-10.41
-8.15,957,42.82,-10.44
-8.12,956,42.86,-10.54
-8.21,955,42.9,-11.07
-7.58,954,42.93,-10.06
-7.93,953,42.97,-9.96
-7.86,952,43,-10.05
-7.42,951,43.04,-9.98
-7.29,950,43.08,-10.09
-7.51,949,43.11,-10.38
-7.42,948,43.15,-10.36
-7.33,947,43.19,-10.09
-7.4,945,43.26,-10.41
-7.47,944,43.29,-10.51
-7.65,943,43.35,-10.38
-7.82,941,43.4,-10.65
-7.69,940,43.45,-10.45
-7.58,938,43.51,-9.83
-7.6,937,43.56,-9.83
-7.71,936,43.61,-9.44
-7.66,934,43.66,-8.96
-7.71,933,43.72,-8.98
-7.6,930,43.82,-9.83
-7.76,928,43.87,-9.71
-7.92,927,43.93,-9.98
-7.83,925,43.98,-10.07
-7.84,924,44.03,-10.37
-8.12,921,44.14,-11.42
-8.21,920,44.19,-11.63
-8.15,918,44.24,-11.49
-7.89,917,44.3,-11.2
-7.87,914,44.4,-10.79
-7.93,912,44.46,-10.69
-7.81,911,44.51,-10.54
-7.87,910,44.56,-10.78
-7.9,908,44.61,-10.99
-7.84,907,44.67,-10.8
-7.84,904,44.77,-11.09
-8.03,902,44.82,-11.38
-8.13,901,44.88,-11.59
-8.05,900,44.91,-11.18
-8.12,899,44.95,-11.39
-8.05,896,45.06,-11.12
-8.29,895,45.09,-10.78
-8.01,894,45.13,-10.86
-7.99,893,45.17,-10.88
-7.91,892,45.2,-10.65
-8.03,891,45.24,-10.9
-8.02,890,45.28,-10.72
-8.03,889,45.31,-10.74
-7.92,888,45.35,-10.54
-7.98,887,45.38,-10.46
-7.97,886,45.42,-10.65
-7.94,885,45.46,-10.36
-7.98,884,45.49,-10.65
-8.03,883,45.53,-10.92
-7.98,882,45.57,-10.8
-8.06,881,45.6,-11.17
-7.95,880,45.64,-10.88
-7.94,879,45.67,-11.05
-7.92,878,45.71,-11.2
-8.01,877,45.75,-11.27
-8.07,876,45.78,-11.64
-8.01,875,45.82,-11.22
-7.88,874,45.86,-11.33
-7.86,873,45.89,-11.56
-8.03,872,45.93,-11.64
-7.85,871,45.96,-11.67
-7.79,869,46.03,-11.51
-7.83,867,46.1,-11.63
-7.75,865,46.17,-11.41
-7.62,863,46.24,-11.39
-7.8,861,46.31,-11.57
-7.61,860,46.38,-11.13
-7.97,856,46.52,-10.86
-7.96,854,46.59,-11.07
-8.14,852,46.66,-11.34
-8.07,850,46.73,-11.62
-8.16,848,46.8,-11.99
-8.02,846,46.86,-11.44
-8.06,844,46.93,-11.17
-8.21,842,47,-11.53
-8.19,841,47.07,-11.42
-8.21,839,47.14,-11.39
-8.1,837,47.21,-11.09
-8.31,835,47.28,-11.51
-8.15,833,47.35,-11.57
-8.29,831,47.41,-11.59
-8.25,829,47.47,-11.99
-8.5,828,47.54,-12.33
-8.25,826,47.6,-12.23
-8.29,824,47.66,-12.23
-8.19,823,47.73,-12.14
-8.23,821,47.79,-11.98
-8.34,819,47.85,-11.78
-8.32,817,47.91,-11.77
-8.37,816,47.98,-11.53
-8.24,814,48.04,-11.24
-8.38,812,48.1,-11.46
-8.25,811,48.16,-11.2
-8.19,809,48.23,-10.96
-8.33,807,48.29,-11.44
-8.35,805,48.35,-11.72
-8.35,804,48.41,-11.77
-8.47,802,48.48,-11.94
-8.36,800,48.54,-11.73
-8.33,799,48.6,-11.68
-8.47,797,48.66,-11.76
-8.56,795,48.73,-11.78
-8.34,790,48.92,-11.65
-8.31,788,48.98,-11.52
-8.09,786,49.04,-11.33
-7.78,785,49.1,-11.15
-7.68,783,49.17,-11.29
-7.75,781,49.23,-11.93
-7.97,779,49.32,-11.93
-7.96,776,49.41,-11.84
-8.26,771,49.6,-12.17
-8.43,769,49.69,-12.25
-8.24,766,49.78,-12.08
-8.14,764,49.87,-11.94
-8.21,759,50.06,-11.96
-8.31,756,50.15,-12.1
-8.12,753,50.24,-11.88
-8.08,746,50.52,-11.74
-8.2,743,50.61,-11.89
-7.96,741,50.71,-11.64
-7.88,738,50.8,-11.39
-8.08,736,50.89,-11.9
-7.87,731,51.07,-11.38
-7.71,728,51.17,-11.22
-7.38,726,51.26,-10.81
-7.64,723,51.35,-11.12
-7.63,721,51.44,-11.15
-7.77,718,51.54,-11.12
-7.7,715,51.63,-11.03
-7.69,713,51.72,-10.92
-7.76,710,51.81,-11.25
-8.05,708,51.91,-11.56
-8.34,705,52,-11.75
-8.42,703,52.07,-11.55
-8.4,701,52.15,-11.48
-8.42,699,52.22,-11.59
-8.35,695,52.38,-11.89
-8.33,691,52.53,-11.55
-8.27,687,52.68,-11.32
-8.12,684,52.76,-11.41
-8.25,682,52.83,-11.19
-7.96,680,52.91,-10.78
-7.93,678,52.98,-10.47
-8.04,674,53.06,-10.94
-8.14,670,53.21,-11.33
-8.07,668,53.29,-11.37
-8.05,666,53.36,-11.09
-8.02,664,53.44,-11.02
-7.99,662,53.51,-11.1
-8.16,660,53.59,-11.24
-8.19,658,53.67,-11.32
-8.2,657,53.74,-11.41
-8.19,655,53.82,-11.42
-8.31,653,53.89,-11.74
-8.5,651,53.97,-11.76
-8.33,647,54.12,-11.37
-8.16,645,54.2,-10.93
-7.9,643,54.27,-10.94
-7.98,640,54.37,-10.82
-7.75,638,54.47,-10.4
-7.49,635,54.57,-9.98
-7.4,630,54.77,-10.23
-7.79,625,54.96,-11.24
-7.97,623,55.06,-11.41
-7.92,620,55.16,-11.38
-7.91,618,55.26,-11.1
-7.82,615,55.36,-11.02
-8.27,612,55.46,-11.37
-7.76,610,55.56,-10.79
-7.81,607,55.66,-10.91
-7.89,605,55.76,-10.74
-7.91,602,55.85,-10.76
-8.08,600,55.95,-10.96
-8.17,597,56.05,-11.03
-8.36,595,56.15,-11.15
-8.45,592,56.25,-11.16
-8.54,587,56.45,-11.35
-8.43,582,56.65,-11.49
-8.46,579,56.74,-11.46
-8.39,577,56.84,-11.21
-8.35,574,56.94,-10.85
-8.34,572,57.04,-10.87
-8.32,569,57.14,-11.2
-8.53,567,57.24,-11.12
-8.62,565,57.31,-11.13
-8.52,563,57.38,-10.96
-8.53,561,57.45,-10.89
-8.09,558,57.59,-9.91
-8.23,556,57.65,-10.16
-8.33,554,57.72,-10.68
-8,553,57.79,-10.03
-8.04,551,57.86,-10.72
-8.23,549,57.93,-10.7
-7.48,547,58,-11.14
-7.99,545,58.07,-11.31
-7.89,544,58.14,-11.25
-7.9,542,58.21,-10.79
-8.51,540,58.28,-10.76
-7.92,538,58.35,-10.34
-7.94,537,58.42,-10.23
-8,535,58.49,-10.17
-8.15,533,58.55,-10.44
-8.22,531,58.62,-10.48
-8.25,529,58.69,-10.58
-8.29,528,58.76,-10.71
-8.49,526,58.83,-11.05
-8.55,524,58.9,-11
-8.51,519,59.04,-10.97
-8.32,512,59.18,-9.93
-8.2,508,59.25,-9.81
-8.2,502,59.38,-10.52
-8.31,498,59.45,-10.65
-8.3,495,59.52,-10.76
-8.33,492,59.59,-10.82
-8.23,488,59.66,-10.93
-8.37,485,59.73,-11.02
-8.46,481,59.8,-11.07
-8.59,478,59.87,-11.16
-8.86,475,59.94,-11.25
-8.51,471,60.01,-10.92
-8.26,468,60.08,-10.55
-8.29,464,60.15,-10.58
-8.15,461,60.22,-10.71
-8.27,458,60.28,-11.04
-8.27,454,60.35,-11.06
-8.23,451,60.42,-11.06
-8.33,448,60.49,-11.41
-8.3,444,60.56,-11.42
-8.49,441,60.63,-11.6
-8.36,437,60.7,-11.3
-8.15,434,60.77,-10.75
-8.06,431,60.84,-10.59
-8.08,427,60.91,-10.71
-8.05,424,60.98,-10.95
-7.74,420,61.05,-10.96
-7.97,417,61.12,-10.94
-8.04,414,61.18,-11.05
-7.97,410,61.25,-10.91
-8.03,407,61.32,-10.86
-7.91,404,61.39,-10.75
-8.19,399,61.48,-10.79
-8.46,391,61.65,-10.89
-8.38,387,61.74,-10.89
-8.18,383,61.82,-10.75
-8.29,378,61.91,-10.53
-8.18,374,61.99,-10.71
-8.35,370,62.08,-10.85
-8.37,366,62.16,-11.04
-8.31,362,62.25,-11.39
-8.41,353,62.42,-11.21
-8.41,349,62.51,-11.28
-8.37,345,62.59,-11.19
-8.34,341,62.68,-11.35
-8.57,337,62.76,-11.56
-8.66,332,62.85,-11.62
-8.77,328,62.94,-11.85
-8.83,324,63.02,-11.82
-8.59,320,63.11,-11.59
-8.75,316,63.19,-11.49
-8.66,311,63.28,-11.29
-8.63,307,63.36,-11.27
-8.6,303,63.45,-11.21
-8.58,299,63.54,-11.21
-8.5,295,63.62,-11.28
-8.37,290,63.71,-11.15
-8.33,286,63.79,-10.92
-8.39,282,63.88,-11.05
-8.48,278,63.96,-11.62
-8.32,274,64.04,-11.71
-8.44,271,64.11,-11.82
-8.51,267,64.18,-11.97
-8.46,264,64.25,-12
-8.8,260,64.33,-12.17
-8.68,257,64.4,-12.05
-8.65,253,64.47,-11.94
-8.54,250,64.54,-11.72
-8.58,246,64.62,-11.74
-8.59,242,64.69,-11.66
-8.61,239,64.76,-11.59
-8.55,235,64.83,-11.53
-8.52,232,64.91,-11.31
-8.57,228,64.98,-11.11
-8.5,225,65.05,-10.57
-8.37,214,65.27,-10.97
-8.32,211,65.34,-11
-8.24,207,65.41,-10.77
-8.12,203,65.49,-10.77
-8.37,200,65.56,-11.61
-8.46,196,65.63,-11.56
-8.49,193,65.7,-11.6
-8.65,186,65.85,-11.5
-8.49,182,65.92,-10.98
-8.35,179,65.99,-10.76
-8.51,172,66.14,-11.32
-8.6,163,66.32,-11.26
-8.96,159,66.41,-11.36
-8.46,150,66.58,-10.58
-8.66,146,66.67,-10.62
-8.53,137,66.85,-10.5
-8.45,132,66.94,-10.74
-8.49,128,67.03,-10.93
-9.13,128,67.12,-10.93
-9.14,125,67.21,-10.98
-9.17,122,67.3,-10.93
-9.16,119,67.38,-10.91
-8.86,116,67.47,-11.34
-8.98,113,67.56,-10.57
-8.77,110,67.65,-10.21
-8.89,107,67.74,-10.05
-8.75,104,67.83,-10.63
-8.2,101,67.92,-10.75
-8.78,98,68.01,-10.63
-8.63,95,68.1,-10.78
-8.74,92,68.19,-10.71
-8.85,89,68.27,-10.57
-8.4,86,68.36,-10.99
-8.9,83,68.45,-10.71
-8.83,80,68.54,-10.87
-8.43,74,68.72,-10.54
-8.26,71,68.81,-10.88
-8.43,68,68.88,-10.75
-8.73,66,68.95,-11.31
-8.9,63,69.03,-11.77
-8.9,61,69.1,-11.46
-8.67,59,69.17,-11.53
-8.79,56,69.24,-11.42
-8.7,54,69.32,-11.21
-8.55,51,69.39,-11.02
-8.64,49,69.46,-11.02
-8.45,46,69.53,-10.72
-8.32,44,69.61,-10.78
-8.31,41,69.68,-11.02
-8.27,39,69.75,-11.29
-8.23,36,69.82,-11.52
-8.13,34,69.9,-11.73
-8.39,32,69.97,-11.58
-8.28,29,70.04,-11.6
-8.6,27,70.11,-11.72
-8.5,24,70.19,-11.72
-8.47,22,70.26,-11.77
-8.52,19,70.33,-11.55
-8.47,17,70.4,-11.41
-8.12,14,70.48,-11.2
-8.27,12,70.55,-11.26
-8.62,9,70.62,-11.77
-8.93,7,70.69,-12.03
-8.84,5,70.77,-11.83
-8.7,2,70.84,-11.66
-8.7,0,70.91,-11.53
-8.44,-3,70.98,-11
-8.22,-6,71.08,-10.22
-8.23,-10,71.18,-10.03
-8.16,-13,71.28,-9.89
-8.27,-16,71.38,-10.39
-8.14,-20,71.48,-10.39
-8.37,-23,71.58,-10.59
-8.32,-26,71.68,-10.77
-8.42,-30,71.78,-10.86
-8.31,-33,71.87,-10.8
-8.22,-36,71.97,-10.73
-8.34,-40,72.07,-10.6
-8.66,-43,72.17,-11.09
-8.33,-46,72.27,-10.33
-8.53,-50,72.37,-10.69
-8.24,-53,72.47,-10.37
-8.38,-56,72.57,-10.65
-8.34,-60,72.67,-10.44
-8.38,-63,72.76,-10.41
-8.36,-66,72.86,-10.52
-8.64,-73,73.06,-11.36
-8.82,-76,73.16,-11.72
-8.86,-80,73.26,-11.88
-8.84,-83,73.36,-11.79
-8.99,-86,73.46,-11.72
-8.65,-90,73.56,-11.42
-8.5,-97,73.75,-11.06
-8.33,-103,73.95,-10.82
-8.26,-111,74.19,-11.29
-8.66,-115,74.31,-11.35
-8.45,-119,74.43,-10.8
-8.44,-123,74.54,-10.57
-8.6,-127,74.66,-10.61
-9.03,-139,75.02,-11.22
-9.26,-143,75.14,-11.64
-9.04,-147,75.26,-11
-8.8,-151,75.38,-11.12
-9.08,-155,75.49,-11.52
-8.98,-159,75.61,-11.52
-8.96,-163,75.73,-11.75
-8.7,-171,75.97,-10.57
-8.49,-184,76.33,-11.73
-8.39,-188,76.44,-11.64
-8.24,-192,76.56,-11.45
-8.39,-196,76.68,-11.33
-8.46,-200,76.8,-11.27
-8.35,-204,76.92,-11.28
-8.38,-212,77.16,-10.95
-8.38,-216,77.28,-11.27
-8.33,-220,77.39,-11.14
-8.09,-224,77.51,-10.83
-8.94,-242,78.04,-11.64
-8.46,-259,78.57,-9.95
-8.67,-277,79.09,-11.47
-8.19,-294,79.62,-10.81
-8.34,-313,80.15,-10.68
-8.55,-331,80.68,-10.86
-8.22,-350,81.2,-10.65
-8.21,-369,81.73,-10.56
-8.47,-388,82.26,-11.12
-8.19,-399,82.58,-10.87
-8.23,-403,82.68,-10.68
-8.35,-406,82.79,-10.72
-8.43,-410,82.89,-10.95
