d18O (permil),year (AD),Sr_Ca (mmol/mol) [2-1],year (AD) [2-1],d18O (permil) [2-1]
0.42,1992.54,8.93,1992.63,-5.31
0.51,1992.46,8.9,1992.54,-5.44
0.59,1992.38,8.95,1992.46,-5.24
0.48,1992.29,8.93,1992.38,-5.19
0.6,1992.21,8.98,1992.29,-5.19
0.7,1992.13,8.93,1992.21,-5.19
0.6,1992.04,8.93,1992.13,-5.1
0.44,1991.96,8.94,1992.04,-5.17
0.34,1991.88,8.94,1991.96,-5.32
0.39,1991.79,8.93,1991.88,-5.45
0.44,1991.71,8.87,1991.79,-5.55
0.42,1991.63,8.85,1991.71,-5.54
0.62,1991.54,8.86,1991.63,-5.55
0.48,1991.46,8.84,1991.54,-5.38
0.45,1991.38,8.89,1991.46,-5.42
0.66,1991.29,8.95,1991.38,-5.29
0.73,1991.21,8.95,1991.29,-5.09
0.74,1991.13,8.92,1991.21,-5.09
0.63,1991.04,8.9,1991.13,-5.12
0.55,1990.96,8.95,1991.04,-5.12
0.49,1990.88,8.91,1990.96,-5.28
0.61,1990.79,8.87,1990.88,-5.44
0.48,1990.71,8.83,1990.79,-5.43
0.27,1990.63,8.91,1990.71,-5.36
0.6,1990.54,8.97,1990.63,-5.44
0.58,1990.46,8.95,1990.54,-5.15
0.62,1990.38,8.96,1990.46,-5.15
0.54,1990.29,8.98,1990.38,-5.05
0.65,1990.21,9,1990.29,-5.09
0.67,1990.13,8.98,1990.21,-5.03
0.65,1990.04,8.96,1990.13,-5.05
0.62,1989.96,8.99,1990.04,-5
0.47,1989.88,8.98,1989.96,-5.05
0.56,1989.79,9.01,1989.88,-5.13
0.5,1989.71,9.01,1989.79,-5.04
0.51,1989.63,8.98,1989.71,-5.18
0.5,1989.54,8.96,1989.63,-5.22
0.52,1989.46,9,1989.54,-5.14
0.66,1989.38,9.02,1989.46,-5.07
0.61,1989.29,9.03,1989.38,-4.89
0.59,1989.21,9.03,1989.29,-4.94
0.68,1989.13,9.06,1989.21,-4.9
0.55,1989.04,9.03,1989.13,-4.88
0.53,1988.96,9.08,1989.04,-4.88
0.57,1988.88,9.11,1988.96,-4.84
0.55,1988.79,9.07,1988.88,-4.89
0.35,1988.71,9.07,1988.79,-4.91
0.64,1988.63,9.09,1988.71,-5.06
0.56,1988.54,9.03,1988.63,-4.93
0.56,1988.46,9.03,1988.54,-4.99
0.59,1988.38,9.03,1988.46,-5
0.64,1988.29,9.01,1988.38,-5.01
0.67,1988.21,9.01,1988.29,-4.97
0.68,1988.13,8.99,1988.21,-4.99
0.68,1988.04,8.99,1988.13,-4.97
0.4,1987.96,8.94,1988.04,-5.09
0.47,1987.88,8.97,1987.96,-5.29
0.39,1987.79,8.88,1987.88,-5.45
0.44,1987.71,8.85,1987.79,-5.59
0.3,1987.63,8.86,1987.71,-5.52
0.47,1987.54,8.96,1987.63,-5.41
0.52,1987.46,8.99,1987.54,-5.17
0.57,1987.38,9.01,1987.46,-5.08
0.55,1987.29,9.02,1987.38,-5.02
0.54,1987.21,9.05,1987.29,-4.96
0.58,1987.13,9.01,1987.21,-5.05
0.37,1987.04,9.04,1987.13,-4.95
0.34,1986.96,9,1987.04,-5.25
0.07,1986.88,9.01,1986.96,-5.27
0.28,1986.79,8.98,1986.88,-5.61
0.18,1986.71,8.89,1986.79,-5.61
0.24,1986.63,8.95,1986.71,-5.57
0.39,1986.54,8.93,1986.63,-5.56
0.25,1986.46,8.96,1986.54,-5.33
0.49,1986.38,9.01,1986.46,-5.35
0.52,1986.29,9.03,1986.38,-5.07
0.44,1986.21,9.04,1986.29,-5.02
0.57,1986.13,9.08,1986.21,-5.01
0.8,1986.04,9.06,1986.13,-4.91
0.71,1985.96,9.02,1986.04,-4.78
0.57,1985.88,8.98,1985.96,-4.96
0.52,1985.79,8.93,1985.88,-5.21
0.63,1985.71,8.94,1985.79,-5.25
0.79,1985.63,8.94,1985.71,-5.13
0.71,1985.54,8.91,1985.63,-5.05
0.65,1985.46,8.93,1985.54,-5.08
0.76,1985.38,9,1985.46,-4.98
0.71,1985.29,8.96,1985.38,-4.95
0.65,1985.21,9,1985.29,-4.91
0.7,1985.13,9.04,1985.21,-4.89
0.87,1985.04,9.04,1985.13,-4.83
0.66,1984.96,8.99,1985.04,-4.79
0.61,1984.88,9.03,1984.96,-4.91
0.72,1984.79,9.03,1984.88,-4.94
0.72,1984.71,8.96,1984.79,-5
0.61,1984.63,8.98,1984.71,-4.95
0.63,1984.54,9.01,1984.63,-5
0.6,1984.46,9,1984.54,-5
0.65,1984.38,9.04,1984.46,-4.93
0.77,1984.29,9.04,1984.38,-4.88
0.65,1984.21,9.03,1984.29,-4.78
0.59,1984.13,9.06,1984.21,-4.83
0.72,1984.04,9.1,1984.13,-4.8
0.79,1983.96,9.04,1984.04,-4.82
0.78,1983.88,9.03,1983.96,-4.77
0.56,1983.79,8.98,1983.88,-4.9
0.52,1983.71,9.05,1983.79,-4.94
0.63,1983.63,8.99,1983.71,-5.14
0.72,1983.54,9.02,1983.63,-4.95
0.56,1983.46,8.96,1983.54,-5
0.72,1983.38,8.9,1983.46,-5.3
0.76,1983.29,8.93,1983.38,-5.09
0.82,1983.21,8.91,1983.29,-5.08
0.7,1983.13,8.92,1983.21,-5
0.74,1983.04,8.96,1983.13,-5.03
0.83,1982.96,8.92,1983.04,-5.08
0.76,1982.88,8.93,1982.96,-4.96
0.76,1982.79,8.93,1982.88,-5.04
0.7,1982.71,8.92,1982.79,-5.05
0.6,1982.63,8.87,1982.71,-5.24
0.68,1982.54,8.84,1982.63,-5.41
0.7,1982.46,8.86,1982.54,-5.29
0.65,1982.38,8.86,1982.46,-5.26
0.5,1982.29,8.92,1982.38,-5.17
0.76,1982.21,9.02,1982.29,-5.08
0.73,1982.13,8.97,1982.21,-4.93
0.75,1982.04,8.96,1982.13,-4.99
0.64,1981.96,8.98,1982.04,-4.92
0.62,1981.88,8.98,1981.96,-5.04
0.66,1981.79,8.96,1981.88,-5.11
0.71,1981.71,8.94,1981.79,-5.1
0.65,1981.63,8.92,1981.71,-5.12
0.63,1981.54,8.92,1981.63,-5.17
0.67,1981.46,8.93,1981.54,-5.16
0.61,1981.38,8.98,1981.46,-5
0.69,1981.29,9,1981.38,-5.01
0.58,1981.21,8.99,1981.29,-4.95
0.63,1981.13,9.05,1981.21,-4.93
0.67,1981.04,9.05,1981.13,-4.87
0.82,1980.96,9.03,1981.04,-4.88
0.74,1980.88,8.94,1980.96,-4.95
0.61,1980.79,8.96,1980.88,-4.98
0.57,1980.71,8.97,1980.79,-5.08
0.4,1980.63,8.92,1980.71,-5.24
0.42,1980.54,8.92,1980.63,-5.42
0.55,1980.46,8.96,1980.54,-5.29
0.84,1980.38,8.97,1980.46,-5.15
0.72,1980.29,8.89,1980.38,-5.05
0.6,1980.21,8.9,1980.29,-5.14
0.62,1980.13,8.99,1980.21,-5.05
0.67,1980.04,8.97,1980.13,-5.08
0.64,1979.96,8.96,1980.04,-5.05
0.57,1979.88,8.96,1979.96,-5.08
0.62,1979.79,8.96,1979.88,-5.15
0.58,1979.71,8.95,1979.79,-5.12
0.44,1979.63,8.94,1979.71,-5.19
0.45,1979.54,8.95,1979.63,-5.31
0.45,1979.46,8.99,1979.54,-5.2
0.63,1979.38,9.03,1979.46,-5.11
0.67,1979.29,8.98,1979.38,-5.04
0.72,1979.21,8.94,1979.29,-5.11
0.72,1979.13,8.97,1979.21,-4.98
0.7,1979.04,9.01,1979.13,-4.88
0.74,1978.96,9.01,1979.04,-4.89
0.84,1978.88,9.03,1978.96,-4.81
0.52,1978.79,8.97,1978.88,-4.86
0.54,1978.71,9.04,1978.79,-5.01
0.62,1978.63,9,1978.71,-5.08
0.6,1978.54,8.96,1978.63,-5.09
0.69,1978.46,8.95,1978.54,-5.15
0.78,1978.38,8.99,1978.46,-4.96
0.71,1978.29,8.95,1978.38,-4.96
0.68,1978.21,9,1978.29,-4.92
0.69,1978.13,9.03,1978.21,-4.89
0.76,1978.04,9.04,1978.13,-4.85
0.8,1977.96,9.01,1978.04,-4.84
0.74,1977.88,8.97,1977.96,-4.89
0.67,1977.79,8.96,1977.88,-4.98
0.56,1977.71,8.93,1977.79,-5.11
0.57,1977.63,8.96,1977.71,-5.15
0.67,1977.54,8.98,1977.63,-5.1
0.78,1977.46,8.94,1977.54,-5.09
0.81,1977.38,8.94,1977.46,-5
0.87,1977.29,8.96,1977.38,-4.91
0.65,1977.21,8.96,1977.29,-4.85
0.71,1977.13,9.06,1977.21,-4.83
0.86,1977.04,9.03,1977.13,-4.85
0.67,1976.96,8.99,1977.04,-4.79
0.56,1976.88,9.01,1976.96,-4.94
0.46,1976.79,9,1976.88,-5.06
0.31,1976.71,8.97,1976.79,-5.25
0.39,1976.63,8.97,1976.71,-5.39
0.48,1976.54,8.92,1976.63,-5.43
0.39,1976.46,8.96,1976.54,-5.24
0.74,1976.38,9.02,1976.46,-5.18
0.8,1976.29,9.01,1976.38,-4.87
0.68,1976.21,9.06,1976.29,-4.69
0.63,1976.13,9.08,1976.21,-4.75
0.67,1976.04,9.17,1976.13,-4.59
0.64,1975.96,9.16,1976.04,-4.57
0.74,1975.88,9.15,1975.96,-4.63
0.82,1975.79,9.09,1975.88,-4.68
0.88,1975.71,9.02,1975.79,-4.75
0.76,1975.63,9,1975.71,-4.75
0.83,1975.54,9.03,1975.63,-4.79
0.79,1975.46,9.05,1975.54,-4.68
0.74,1975.38,9.06,1975.46,-4.68
0.93,1975.29,9.09,1975.38,-4.66
0.85,1975.21,9.01,1975.29,-4.66
0.89,1975.13,9.04,1975.21,-4.68
0.78,1975.04,9.03,1975.13,-4.66
0.83,1974.96,9.03,1975.04,-4.79
0.75,1974.88,9.01,1974.96,-4.78
0.86,1974.79,9.04,1974.88,-4.78
0.57,1974.71,8.95,1974.79,-4.9
0.67,1974.63,8.98,1974.71,-5.1
0.85,1974.54,8.93,1974.63,-5.14
0.88,1974.46,8.92,1974.54,-4.96
0.81,1974.38,8.94,1974.46,-4.9
0.76,1974.29,9.01,1974.38,-4.79
0.84,1974.21,9.04,1974.29,-4.77
0.98,1974.13,9.07,1974.21,-4.62
1.06,1974.04,9.01,1974.13,-4.63
1.14,1973.96,9,1974.04,-4.57
0.99,1973.88,8.97,1973.96,-4.56
1,1973.79,9.01,1973.88,-4.61
1.03,1973.71,8.97,1973.79,-4.69
0.77,1973.63,8.97,1973.71,-4.66
0.83,1973.54,9,1973.63,-4.86
0.88,1973.46,9.02,1973.54,-4.75
0.91,1973.38,9.05,1973.46,-4.63
0.87,1973.29,9,1973.38,-4.72
0.97,1973.21,8.99,1973.29,-4.79
1.08,1973.13,8.97,1973.21,-4.73
0.89,1973.04,8.95,1973.13,-4.67
0.61,1972.96,8.94,1973.04,-4.88
0.58,1972.88,8.9,1972.96,-5.27
0.49,1972.79,8.86,1972.88,-5.38
0.42,1972.71,8.88,1972.79,-5.42
0.54,1972.63,8.9,1972.71,-5.45
0.66,1972.54,8.88,1972.63,-5.37
0.75,1972.46,8.91,1972.54,-5.18
0.84,1972.38,8.94,1972.46,-5.02
0.86,1972.29,8.94,1972.38,-4.92
0.93,1972.21,9.02,1972.29,-4.72
0.84,1972.13,8.97,1972.21,-4.76
0.87,1972.04,9.03,1972.13,-4.71
0.88,1971.96,9,1972.04,-4.76
0.77,1971.88,9.02,1971.96,-4.7
0.86,1971.79,9.04,1971.88,-4.76
0.85,1971.71,8.96,1971.79,-4.86
0.76,1971.63,8.97,1971.71,-4.86
1,1971.54,8.99,1971.63,-4.89
1.1,1971.46,8.95,1971.54,-4.74
0.93,1971.38,8.93,1971.46,-4.69
0.96,1971.29,9.03,1971.38,-4.63
1.01,1971.21,9.01,1971.29,-4.65
1.09,1971.13,8.99,1971.21,-4.65
0.87,1971.04,8.97,1971.13,-4.61
0.79,1970.96,9.04,1971.04,-4.66
0.7,1970.88,9.06,1970.96,-4.69
0.92,1970.79,9.08,1970.88,-4.73
0.88,1970.71,8.98,1970.79,-4.77
0.76,1970.63,8.95,1970.71,-4.87
0.82,1970.54,8.99,1970.63,-4.89
0.79,1970.46,8.98,1970.54,-4.85
0.74,1970.38,9.01,1970.46,-4.82
0.72,1970.29,9.05,1970.38,-4.78
0.73,1970.21,9.04,1970.29,-4.81
0.81,1970.13,9.03,1970.21,-4.83
0.73,1970.04,9.01,1970.13,-4.79
0.76,1969.96,9.01,1970.04,-4.86
0.57,1969.88,8.93,1969.96,-5.04
0.63,1969.79,8.91,1969.88,-5.28
0.54,1969.71,8.93,1969.79,-5.16
0.35,1969.63,8.88,1969.71,-5.37
0.41,1969.54,8.91,1969.63,-5.49
0.47,1969.46,8.91,1969.54,-5.43
0.53,1969.38,8.91,1969.46,-5.37
0.62,1969.29,8.91,1969.38,-5.31
0.7,1969.21,8.92,1969.29,-5.21
0.78,1969.13,8.92,1969.21,-5.11
0.57,1969.04,8.93,1969.13,-5.02
0.77,1968.96,8.96,1969.04,-5.16
0.65,1968.88,8.91,1968.96,-5.07
0.77,1968.79,8.91,1968.88,-5.19
0.65,1968.71,8.84,1968.79,-5.24
0.66,1968.63,8.86,1968.71,-5.31
0.76,1968.54,8.89,1968.63,-5.23
0.87,1968.46,8.93,1968.54,-5.03
0.98,1968.38,8.89,1968.46,-5.03
0.95,1968.29,8.87,1968.38,-4.97
0.94,1968.21,8.89,1968.29,-4.93
0.66,1968.13,8.92,1968.21,-4.89
0.82,1968.04,9.01,1968.13,-4.94
0.7,1967.96,8.95,1968.04,-4.94
0.73,1967.88,8.97,1967.96,-5
0.85,1967.79,8.96,1967.88,-4.99
0.82,1967.71,8.9,1967.79,-5.02
0.66,1967.63,8.88,1967.71,-5.08
0.86,1967.54,8.93,1967.63,-5.12
0.78,1967.46,8.88,1967.54,-5.05
0.79,1967.38,8.91,1967.46,-5.07
0.68,1967.29,8.95,1967.38,-4.96
0.76,1967.21,8.97,1967.29,-5.01
0.71,1967.13,8.96,1967.21,-4.96
0.74,1967.04,9.01,1967.13,-4.9
0.72,1966.96,9,1967.04,-4.88
0.71,1966.88,9,1966.96,-4.92
0.91,1966.79,8.97,1966.88,-4.98
0.85,1966.71,8.88,1966.79,-5
0.74,1966.63,8.83,1966.71,-5.18
0.76,1966.54,8.86,1966.63,-5.22
0.8,1966.46,8.89,1966.54,-5.13
0.85,1966.38,8.9,1966.46,-5.05
0.73,1966.29,8.89,1966.38,-5.03
0.77,1966.21,8.94,1966.29,-5.04
0.76,1966.13,8.94,1966.21,-5
0.71,1966.04,8.93,1966.13,-5.03
0.82,1965.96,8.94,1966.04,-5.06
0.79,1965.88,8.92,1965.96,-4.99
0.66,1965.79,8.9,1965.88,-5.07
0.76,1965.71,8.93,1965.79,-5.14
0.69,1965.63,8.85,1965.71,-5.21
0.62,1965.54,8.82,1965.63,-5.38
0.76,1965.46,8.87,1965.54,-5.32
0.84,1965.38,8.85,1965.46,-5.23
0.83,1965.29,8.9,1965.38,-5.02
0.77,1965.21,8.94,1965.29,-4.94
0.67,1965.13,8.97,1965.21,-4.92
0.88,1965.04,9.03,1965.13,-4.88
0.91,1964.96,8.98,1965.04,-4.79
0.82,1964.88,8.97,1964.96,-4.78
0.77,1964.79,8.99,1964.88,-4.83
0.61,1964.71,9.05,1964.79,-4.74
0.73,1964.63,9.04,1964.71,-4.92
0.8,1964.54,9,1964.63,-4.91
0.83,1964.46,9,1964.54,-4.83
0.75,1964.38,8.98,1964.46,-4.84
0.84,1964.29,8.99,1964.38,-4.89
0.84,1964.21,9,1964.29,-4.78
0.88,1964.13,9,1964.21,-4.78
1,1964.04,8.98,1964.13,-4.79
0.9,1963.96,8.94,1964.04,-4.78
0.91,1963.88,8.93,1963.96,-4.89
0.75,1963.79,8.84,1963.88,-5.11
0.77,1963.71,8.89,1963.79,-5.14
0.84,1963.63,8.87,1963.71,-5.17
0.72,1963.54,8.83,1963.63,-5.19
0.71,1963.46,8.9,1963.54,-5.14
0.75,1963.38,8.91,1963.46,-5.12
0.95,1963.29,8.98,1963.38,-4.94
0.86,1963.21,8.94,1963.29,-4.83
0.73,1963.13,8.99,1963.21,-4.79
0.83,1963.04,9.03,1963.13,-4.82
0.73,1962.96,9,1963.04,-4.8
0.83,1962.88,9.04,1962.96,-4.8
0.83,1962.79,8.99,1962.88,-4.83
0.82,1962.71,8.96,1962.79,-4.9
0.65,1962.63,8.93,1962.71,-4.97
0.68,1962.54,8.97,1962.63,-5.04
0.76,1962.46,8.98,1962.54,-5
0.86,1962.38,8.98,1962.46,-4.91
0.95,1962.29,8.99,1962.38,-4.79
1,1962.21,8.97,1962.29,-4.74
0.94,1962.13,8.97,1962.21,-4.71
0.99,1962.04,8.99,1962.13,-4.72
0.84,1961.96,8.96,1962.04,-4.73
0.93,1961.88,9.01,1961.96,-4.76
1.01,1961.79,8.95,1961.88,-4.81
0.96,1961.71,8.93,1961.79,-4.77
0.82,1961.63,8.95,1961.71,-4.79
0.77,1961.54,8.92,1961.63,-5
0.88,1961.46,8.98,1961.54,-4.9
0.79,1961.38,8.95,1961.46,-4.87
0.74,1961.29,9,1961.38,-4.84
0.87,1961.21,9.04,1961.29,-4.79
0.8,1961.13,8.98,1961.21,-4.8
0.65,1961.04,9.03,1961.13,-4.75
0.64,1960.96,9.05,1961.04,-4.86
0.65,1960.88,9.04,1960.96,-4.89
0.77,1960.79,9.03,1960.88,-4.9
0.86,1960.71,8.98,1960.79,-4.9
0.94,1960.63,8.96,1960.71,-4.86
0.76,1960.54,8.93,1960.63,-4.87
0.72,1960.46,8.98,1960.54,-4.92
0.87,1960.38,9,1960.46,-4.91
0.84,1960.29,8.97,1960.38,-4.83
0.75,1960.21,8.99,1960.29,-4.82
0.8,1960.13,9,1960.21,-4.87
0.77,1960.04,9.02,1960.13,-4.78
0.71,1959.96,9.03,1960.04,-4.78
0.7,1959.88,9.04,1959.96,-4.82
0.7,1959.79,9.01,1959.88,-4.89
0.55,1959.71,8.98,1959.79,-4.99
0.61,1959.63,9,1959.71,-5.07
0.82,1959.54,8.99,1959.63,-5.05
0.75,1959.46,8.92,1959.54,-5.01
0.75,1959.38,8.95,1959.46,-4.99
0.77,1959.29,8.96,1959.38,-4.97
0.74,1959.21,8.95,1959.29,-4.97
0.8,1959.13,8.98,1959.21,-4.93
0.77,1959.04,8.93,1959.13,-4.99
0.65,1958.96,8.95,1959.04,-4.97
0.72,1958.88,8.98,1958.96,-5.03
0.93,1958.79,8.93,1958.88,-5.07
0.86,1958.71,8.83,1958.79,-5.1
0.83,1958.63,8.85,1958.71,-5.12
0.81,1958.54,8.87,1958.63,-5.1
0.71,1958.46,8.91,1958.54,-5.04
0.86,1958.38,8.93,1958.46,-5.08
0.71,1958.29,8.92,1958.38,-4.97
0.75,1958.21,8.98,1958.29,-4.96
0.76,1958.13,8.98,1958.21,-4.92
0.78,1958.04,8.98,1958.13,-4.91
0.48,1957.96,9,1958.04,-4.91
0.66,1957.88,9.07,1957.96,-5
0.49,1957.79,8.96,1957.88,-5.05
0.53,1957.71,9.03,1957.79,-5.06
0.58,1957.63,8.99,1957.71,-5.13
0.49,1957.54,8.99,1957.63,-5.07
0.58,1957.46,9.07,1957.54,-4.97
0.5,1957.38,9.05,1957.46,-4.92
0.61,1957.29,9.09,1957.38,-4.91
0.79,1957.21,9.07,1957.29,-4.84
0.86,1957.13,9.04,1957.21,-4.74
0.62,1957.04,9.04,1957.13,-4.67
0.71,1956.96,9.11,1957.04,-4.73
0.67,1956.88,9.07,1956.96,-4.75
0.62,1956.79,9.05,1956.88,-4.84
0.66,1956.71,9.03,1956.79,-4.95
0.78,1956.63,9.02,1956.71,-4.92
0.88,1956.54,9.01,1956.63,-4.83
0.77,1956.46,8.99,1956.54,-4.77
0.92,1956.38,9.04,1956.46,-4.76
0.91,1956.29,9,1956.38,-4.72
0.83,1956.21,9,1956.29,-4.72
0.87,1956.13,9.05,1956.21,-4.69
0.73,1956.04,9.01,1956.13,-4.73
0.87,1955.96,9.07,1956.04,-4.74
0.85,1955.88,8.96,1955.96,-4.85
0.91,1955.79,8.96,1955.88,-4.87
0.8,1955.71,8.94,1955.79,-4.87
0.75,1955.63,8.99,1955.71,-4.85
0.9,1955.54,8.99,1955.63,-4.89
0.91,1955.46,9.01,1955.54,-4.71
0.92,1955.38,9.03,1955.46,-4.65
0.95,1955.29,9.04,1955.38,-4.62
0.93,1955.21,9.01,1955.29,-4.65
0.89,1955.13,9.01,1955.21,-4.68
0.89,1955.04,9.03,1955.13,-4.65
0.87,1954.96,9,1955.04,-4.75
0.91,1954.88,8.96,1954.96,-4.86
0.88,1954.79,8.93,1954.88,-4.88
0.77,1954.71,8.92,1954.79,-4.93
0.72,1954.63,8.95,1954.71,-4.98
0.9,1954.54,8.93,1954.63,-5.07
1,1954.46,8.93,1954.54,-4.89
0.89,1954.38,8.91,1954.46,-4.84
0.93,1954.29,8.96,1954.38,-4.84
0.86,1954.21,8.96,1954.29,-4.78
0.97,1954.13,8.96,1954.21,-4.86
0.93,1954.04,8.97,1954.13,-4.73
0.9,1953.96,9,1954.04,-4.7
0.99,1953.88,8.99,1953.96,-4.74
0.96,1953.79,8.96,1953.88,-4.74
0.85,1953.71,8.96,1953.79,-4.77
0.74,1953.63,8.89,1953.71,-5.04
0.68,1953.54,8.92,1953.63,-5.08
0.92,1953.46,8.97,1953.54,-5.02
0.96,1953.38,8.92,1953.46,-4.9
0.86,1953.29,8.91,1953.38,-4.89
0.87,1953.21,8.95,1953.29,-4.89
0.94,1953.13,8.95,1953.21,-4.88
0.93,1953.04,9.01,1953.13,-4.67
0.95,1952.96,9,1953.04,-4.7
1.03,1952.88,8.98,1952.96,-4.73
1.04,1952.79,8.95,1952.88,-4.72
0.93,1952.71,8.89,1952.79,-4.85
0.91,1952.63,8.92,1952.71,-4.89
0.97,1952.54,8.92,1952.63,-4.92
0.98,1952.46,8.9,1952.54,-4.88
1,1952.38,8.9,1952.46,-4.88
0.92,1952.29,8.92,1952.38,-4.82
0.93,1952.21,8.92,1952.29,-4.91
0.92,1952.13,8.95,1952.21,-4.81
0.88,1952.04,8.96,1952.13,-4.81
0.9,1951.96,8.94,1952.04,-4.89
0.87,1951.88,8.91,1951.96,-4.94
0.7,1951.79,8.92,1951.88,-4.95
0.69,1951.71,8.89,1951.79,-5.19
0.65,1951.63,8.87,1951.71,-5.24
0.69,1951.54,8.91,1951.63,-5.18
0.71,1951.46,8.97,1951.54,-5
0.73,1951.38,8.99,1951.46,-4.94
1.01,1951.29,9,1951.38,-4.9
1.04,1951.21,8.96,1951.29,-4.71
1.07,1951.13,8.94,1951.21,-4.72
1.12,1951.04,8.96,1951.13,-4.65
1.1,1950.96,8.96,1951.04,-4.6
1.11,1950.88,8.96,1950.96,-4.63
1.16,1950.79,8.94,1950.88,-4.67
1.1,1950.71,8.9,1950.79,-4.71
1.13,1950.63,8.9,1950.71,-4.78
1.16,1950.54,8.88,1950.63,-4.78
1.17,1950.46,8.87,1950.54,-4.77
1.26,1950.38,8.86,1950.46,-4.79
1.23,1950.29,8.91,1950.38,-4.59
1.01,1950.21,8.92,1950.29,-4.59
1.06,1950.13,8.97,1950.21,-4.69
1.07,1950.04,9,1950.13,-4.57
0.99,1949.96,9,1950.04,-4.55
1.13,1949.88,9.02,1949.96,-4.6
1.06,1949.79,8.99,1949.88,-4.52
1.04,1949.71,8.97,1949.79,-4.63
1.08,1949.63,8.95,1949.71,-4.71
1.23,1949.54,8.94,1949.63,-4.7
1.08,1949.46,8.89,1949.54,-4.65
0.97,1949.38,8.94,1949.46,-4.69
0.96,1949.29,8.98,1949.38,-4.71
1,1949.21,9,1949.29,-4.66
1.03,1949.13,8.98,1949.21,-4.67
1.15,1949.04,8.99,1949.13,-4.61
0.97,1948.96,8.93,1949.04,-4.64
0.8,1948.88,8.97,1948.96,-4.74
0.99,1948.79,8.97,1948.88,-4.9
0.95,1948.71,8.93,1948.79,-4.82
0.84,1948.63,8.88,1948.71,-4.96
0.84,1948.54,8.92,1948.63,-4.97
0.79,1948.46,8.95,1948.54,-4.91
0.82,1948.38,8.96,1948.46,-4.93
0.86,1948.29,9.01,1948.38,-4.78
1.02,1948.21,9.06,1948.29,-4.63
0.9,1948.13,8.98,1948.21,-4.64
0.84,1948.04,9.01,1948.13,-4.7
1.03,1947.96,9.04,1948.04,-4.68
0.97,1947.88,8.97,1947.96,-4.67
1,1947.79,8.94,1947.88,-4.81
1.02,1947.71,8.94,1947.79,-4.77
0.95,1947.63,8.94,1947.71,-4.75
0.92,1947.54,8.94,1947.63,-4.82
