temperature (degC),year (AD),Uk37 (unitless),notes (unitless),d18O (permil) [1-2],temperature (degC) [1-2],year (AD) [1-2],Mg_Ca (mmol/mol) [1-2],depth (cm) [1-2],d18O (permil) [1-2],d18O (permil) [1-3],temperature (degC) [1-3],year (AD) [1-3],Mg_Ca (mmol/mol) [1-3],depth (cm) [1-3],d18O (permil) [1-3]
14.5,1255,0.5225,MINMC06-2,NA,NA,NA,NA,NA,NA,2.693198809,21.28,383.33,4.7,31.5,1.33
14.5,1240,0.5225,MINMC06-2,NA,NA,NA,NA,NA,NA,2.409396459,20.25,350,4.24,32,1.26
15.2,1237,0.5456,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,19.5,316.67,3.94,32.5,NA
14.8,1212,0.5324,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.2,1204,0.5456,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.9,1184,0.5357,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.4,1171,0.5522,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.6,1156,0.5258,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.5,1139,0.5555,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.7,1129,0.5291,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.8,1106,0.5324,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.6,1101,0.5258,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1073,0.572,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.4,1073,0.5192,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1045,0.539,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.6,1017,0.5258,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.3,1011,0.5159,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,989,0.539,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.3,961,0.5489,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.7,948,0.5621,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.2,934,0.5126,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.3,906,0.5489,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.7,886,0.5291,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.5,878,0.5225,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.6,850,0.5258,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.7,824,0.5291,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.8,807,0.5324,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.9,764,0.5357,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.9,761,0.5357,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.4,721,0.5192,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.1,699,0.5423,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.4,679,0.5522,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.9,637,0.5357,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.1,636,0.5423,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.8,575,0.5324,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.5,512,0.5555,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.2,450,0.5786,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.7,428,0.5621,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
