d18O (permil),year (AD),Sr_Ca (mmol/mol) [2-1],year (AD) [2-1]
-3.7,1972.96,9.19,1972.96
-3.72,1972.88,9.17,1972.88
-3.93,1972.79,9.16,1972.79
-3.95,1972.71,9.18,1972.71
-3.95,1972.63,9.08,1972.63
-3.92,1972.54,9.09,1972.54
-3.7,1972.46,9.12,1972.46
-3.43,1972.38,9.15,1972.38
-3.24,1972.29,9.18,1972.29
-3.13,1972.21,9.24,1972.21
-3.18,1972.13,9.25,1972.13
-3.3,1972.04,9.24,1972.04
-3.4,1971.96,9.2,1971.96
-3.51,1971.88,9.17,1971.88
-3.66,1971.79,9.17,1971.79
-3.9,1971.71,9.1,1971.71
-3.91,1971.63,9.12,1971.63
-3.87,1971.54,9.06,1971.54
-3.77,1971.46,9.09,1971.46
-3.47,1971.38,9.09,1971.38
-3.39,1971.29,9.18,1971.29
-3.05,1971.21,9.19,1971.21
-3.1,1971.13,9.24,1971.13
-3.14,1971.04,9.26,1971.04
-3.43,1970.96,9.16,1970.96
-3.32,1970.88,9.12,1970.88
-3.79,1970.79,9.22,1970.79
-3.94,1970.71,9.12,1970.71
-3.93,1970.63,9.1,1970.63
-3.59,1970.54,9.11,1970.54
-3.36,1970.46,9.15,1970.46
-3.16,1970.38,9.21,1970.38
-3.07,1970.29,9.25,1970.29
-3.03,1970.21,9.29,1970.21
-3.15,1970.13,9.26,1970.13
-3.31,1970.04,9.27,1970.04
-3.37,1969.96,9.23,1969.96
-3.84,1969.88,9.14,1969.88
-3.97,1969.79,9.15,1969.79
-3.91,1969.71,9.16,1969.71
-3.85,1969.63,9.11,1969.63
-3.9,1969.54,9.1,1969.54
-3.61,1969.46,9.19,1969.46
-3.46,1969.38,9.24,1969.38
-3.11,1969.29,9.24,1969.29
-2.76,1969.21,9.25,1969.21
-3.38,1969.13,9.18,1969.13
-3.57,1969.04,9.22,1969.04
-3.72,1968.96,9.21,1968.96
-3.86,1968.88,9.22,1968.88
-3.84,1968.79,9.18,1968.79
-3.81,1968.71,9.13,1968.71
-3.84,1968.63,9.1,1968.63
-3.79,1968.54,9.12,1968.54
-3.58,1968.46,9.22,1968.46
-3.35,1968.38,9.13,1968.38
-2.91,1968.29,9.19,1968.29
-2.89,1968.21,9.2,1968.21
-3.06,1968.13,9.21,1968.13
-3.32,1968.04,9.15,1968.04
-3.51,1967.96,9.12,1967.96
-3.63,1967.88,9.13,1967.88
-3.72,1967.79,9.15,1967.79
-3.78,1967.71,9.12,1967.71
-3.84,1967.63,8.95,1967.63
-3.86,1967.54,8.93,1967.54
-3.63,1967.46,8.94,1967.46
-3.31,1967.38,8.96,1967.38
-3.09,1967.29,9.02,1967.29
-2.85,1967.21,9.08,1967.21
-2.95,1967.13,9.23,1967.13
-3.09,1967.04,9.27,1967.04
-3.35,1966.96,9.19,1966.96
-3.6,1966.88,9.14,1966.88
-3.35,1966.79,9.12,1966.79
-3.91,1966.71,9.13,1966.71
-3.94,1966.63,9.16,1966.63
-3.95,1966.54,9.09,1966.54
-4.13,1966.46,9.12,1966.46
-3.42,1966.38,9.19,1966.38
-3.38,1966.29,9.15,1966.29
-3.05,1966.21,9.36,1966.21
-3.17,1966.13,9.15,1966.13
-3.09,1966.04,9.21,1966.04
-3.31,1965.96,9.18,1965.96
-3.72,1965.88,9.13,1965.88
-3.81,1965.79,9.15,1965.79
-4,1965.71,9.09,1965.71
-3.93,1965.63,9.12,1965.63
-3.96,1965.54,9.07,1965.54
-3.74,1965.46,9.12,1965.46
-3.47,1965.38,9.14,1965.38
-3.2,1965.29,9.18,1965.29
-3.16,1965.21,9.16,1965.21
-3.26,1965.13,9.22,1965.13
-3.55,1965.04,9.17,1965.04
-3.84,1964.96,9.16,1964.96
-4.23,1964.88,9.11,1964.88
-4.24,1964.79,9.22,1964.79
-4.21,1964.71,9.08,1964.71
-4.21,1964.63,9.11,1964.63
-4.01,1964.54,9.21,1964.54
-3.93,1964.46,9.12,1964.46
-3.61,1964.38,9.06,1964.38
-3.39,1964.29,9.14,1964.29
-2.88,1964.21,9.15,1964.21
-3.09,1964.13,9.22,1964.13
-3.02,1964.04,9.22,1964.04
-3.46,1963.96,9.19,1963.96
-3.51,1963.88,9.17,1963.88
-3.59,1963.79,9.15,1963.79
-3.74,1963.71,9.15,1963.71
-3.81,1963.63,9.12,1963.63
-3.85,1963.54,9.04,1963.54
-3.78,1963.46,9.04,1963.46
-3.44,1963.38,9.11,1963.38
-3.16,1963.29,9.08,1963.29
-3.05,1963.21,9.18,1963.21
-3.3,1963.13,9.18,1963.13
-3.68,1963.04,9.15,1963.04
-3.97,1962.96,9.12,1962.96
-4.24,1962.88,9.13,1962.88
-4.43,1962.79,9.16,1962.79
-4.31,1962.71,9.17,1962.71
-4.14,1962.63,9.11,1962.63
-4.12,1962.54,9.12,1962.54
-3.9,1962.46,9.15,1962.46
-3.43,1962.38,9.21,1962.38
-3.24,1962.29,9.26,1962.29
-3.16,1962.21,9.22,1962.21
-3.43,1962.13,9.2,1962.13
-3.26,1962.04,9.2,1962.04
-3.59,1961.96,9.13,1961.96
-3.73,1961.88,9.11,1961.88
-3.86,1961.79,9.09,1961.79
-3.98,1961.71,9.11,1961.71
-3.93,1961.63,9.2,1961.63
-3.81,1961.54,9.06,1961.54
-3.69,1961.46,9.08,1961.46
-3.42,1961.38,9.09,1961.38
-3.1,1961.29,9.1,1961.29
-3.08,1961.21,9.15,1961.21
-3.16,1961.13,9.18,1961.13
-3.3,1961.04,9.22,1961.04
-3.42,1960.96,9.23,1960.96
-3.43,1960.88,9.15,1960.88
-3.56,1960.79,9.19,1960.79
-3.62,1960.71,9.16,1960.71
-3.64,1960.63,9.11,1960.63
-3.65,1960.54,9.07,1960.54
-3.58,1960.46,9.06,1960.46
-3.42,1960.38,9.08,1960.38
-3.28,1960.29,9.11,1960.29
-3.25,1960.21,9.11,1960.21
-3.26,1960.13,9.17,1960.13
-3.26,1960.04,9.13,1960.04
-3.36,1959.96,9.16,1959.96
-3.55,1959.88,9.1,1959.88
-3.57,1959.79,9.15,1959.79
-3.66,1959.71,9.03,1959.71
-3.84,1959.63,9.03,1959.63
-3.75,1959.54,9.04,1959.54
-3.67,1959.46,9.09,1959.46
-3.31,1959.38,9.12,1959.38
-3.19,1959.29,9.11,1959.29
-3.02,1959.21,9.14,1959.21
-3.25,1959.13,9.19,1959.13
-3.61,1959.04,9.2,1959.04
-3.82,1958.96,9.12,1958.96
-4.02,1958.88,9.14,1958.88
-4.18,1958.79,9.08,1958.79
-4.2,1958.71,9.09,1958.71
-4.1,1958.63,9.11,1958.63
-3.95,1958.54,9.06,1958.54
-3.84,1958.46,9.08,1958.46
-3.67,1958.38,9.08,1958.38
-3.26,1958.29,9.11,1958.29
-3.05,1958.21,9.16,1958.21
-3.08,1958.13,9.14,1958.13
-3.21,1958.04,9.14,1958.04
-3.39,1957.96,9.13,1957.96
-3.5,1957.88,9.12,1957.88
-3.5,1957.79,9.11,1957.79
-3.5,1957.71,9.1,1957.71
-3.55,1957.63,9.1,1957.63
-3.51,1957.54,9.14,1957.54
-3.47,1957.46,9.14,1957.46
-3.43,1957.38,9.15,1957.38
-3.36,1957.29,9.2,1957.29
-3.24,1957.21,9.21,1957.21
-3.33,1957.13,9.36,1957.13
-3.44,1957.04,9.23,1957.04
-3.56,1956.96,9.17,1956.96
-3.69,1956.88,9.16,1956.88
-3.81,1956.79,9.13,1956.79
-3.93,1956.71,9.11,1956.71
-4,1956.63,9.11,1956.63
-4.01,1956.54,9.13,1956.54
-3.98,1956.46,9.14,1956.46
-3.9,1956.38,9.11,1956.38
-3.6,1956.29,9.12,1956.29
-3.21,1956.21,9.12,1956.21
-3.3,1956.13,9.21,1956.13
-3.39,1956.04,9.17,1956.04
-3.75,1955.96,9.18,1955.96
-4.13,1955.88,9.19,1955.88
-4.26,1955.79,9.17,1955.79
-4.37,1955.71,9.2,1955.71
-4.44,1955.63,9.17,1955.63
-4.14,1955.54,9.14,1955.54
-3.79,1955.46,9.12,1955.46
-3.87,1955.38,9.08,1955.38
-3.58,1955.29,9.13,1955.29
-3.24,1955.21,9.17,1955.21
-3.29,1955.13,9.12,1955.13
-3.37,1955.04,9.12,1955.04
-3.55,1954.96,9.11,1954.96
-3.69,1954.88,9.13,1954.88
-3.69,1954.79,9.2,1954.79
-3.69,1954.71,9.13,1954.71
-3.8,1954.63,9.15,1954.63
-3.74,1954.54,9.18,1954.54
-3.6,1954.46,9.2,1954.46
-3.41,1954.38,9.18,1954.38
-3.2,1954.29,9.11,1954.29
-3.1,1954.21,9.15,1954.21
-3.21,1954.13,9.18,1954.13
-3.58,1954.04,9.11,1954.04
-3.73,1953.96,9.09,1953.96
-3.85,1953.88,9.1,1953.88
-3.96,1953.79,9.17,1953.79
-4.01,1953.71,9.26,1953.71
-3.89,1953.63,9.17,1953.63
-3.69,1953.54,9.1,1953.54
-3.35,1953.46,9.14,1953.46
-3.17,1953.38,9.26,1953.38
-3.43,1953.29,9.26,1953.29
-3.04,1953.21,9.16,1953.21
-3.56,1953.13,9.15,1953.13
-3.85,1953.04,9.1,1953.04
-3.9,1952.96,9.04,1952.96
-3.92,1952.88,9.11,1952.88
-3.82,1952.79,9.11,1952.79
-3.58,1952.71,9.04,1952.71
-3.5,1952.63,9.08,1952.63
-3.47,1952.54,9.09,1952.54
-3.47,1952.46,9.1,1952.46
-3.55,1952.38,9.13,1952.38
-3.46,1952.29,9.16,1952.29
-3.18,1952.21,9.2,1952.21
-3.41,1952.13,9.22,1952.13
-3.54,1952.04,9.21,1952.04
-3.64,1951.96,9.15,1951.96
-3.72,1951.88,9.11,1951.88
-3.75,1951.79,9.13,1951.79
-3.62,1951.71,9.17,1951.71
-3.39,1951.63,9.12,1951.63
-3.2,1951.54,9.21,1951.54
-3.14,1951.46,9.26,1951.46
-3.15,1951.38,9.27,1951.38
-3.15,1951.29,9.28,1951.29
-3.16,1951.21,9.28,1951.21
-3.17,1951.13,9.25,1951.13
-3.17,1951.04,9.24,1951.04
-3.16,1950.96,9.22,1950.96
-3.14,1950.88,9.18,1950.88
-3.47,1950.79,9.16,1950.79
-3.51,1950.71,9.13,1950.71
-3.42,1950.63,9.17,1950.63
-3.38,1950.54,9.36,1950.54
-3.34,1950.46,9.32,1950.46
-3.3,1950.38,9.27,1950.38
-3.26,1950.29,9.22,1950.29
-3.22,1950.21,9.2,1950.21
-3.49,1950.13,9.14,1950.13
-3.6,1950.04,9.12,1950.04
-3.56,1949.96,9.14,1949.96
-3.52,1949.88,9.16,1949.88
-3.52,1949.79,9.16,1949.79
-3.58,1949.71,9.13,1949.71
-3.61,1949.63,9.13,1949.63
-3.55,1949.54,9.14,1949.54
-3.4,1949.46,9.16,1949.46
-3.36,1949.38,9.18,1949.38
-3.29,1949.29,9.21,1949.29
-3.2,1949.21,9.26,1949.21
-3.3,1949.13,9.24,1949.13
-3.41,1949.04,9.16,1949.04
-3.38,1948.96,9.17,1948.96
-3.4,1948.88,9.15,1948.88
-3.69,1948.79,9.1,1948.79
-3.78,1948.71,9.1,1948.71
-3.62,1948.63,9.13,1948.63
-3.57,1948.54,9.14,1948.54
-3.59,1948.46,9.14,1948.46
-3.4,1948.38,9.17,1948.38
-3.18,1948.29,9.25,1948.29
-3.07,1948.21,9.3,1948.21
-3.15,1948.13,9.28,1948.13
-3.18,1948.04,9.27,1948.04
-3.22,1947.96,9.24,1947.96
-3.26,1947.88,9.21,1947.88
-3.3,1947.79,9.19,1947.79
-3.4,1947.71,9.16,1947.71
-3.5,1947.63,9.12,1947.63
-3.6,1947.54,9.06,1947.54
-3.61,1947.46,9.05,1947.46
-3.53,1947.38,9.07,1947.38
-3.42,1947.29,9.07,1947.29
-3.23,1947.21,9.14,1947.21
-3.36,1947.13,9.2,1947.13
-3.42,1947.04,9.16,1947.04
-3.43,1946.96,9.2,1946.96
-3.73,1946.88,9.23,1946.88
-3.82,1946.79,9.06,1946.79
-3.76,1946.71,9.06,1946.71
-3.82,1946.63,9.07,1946.63
-3.56,1946.54,9.08,1946.54
-3.42,1946.46,9.14,1946.46
-3.32,1946.38,9.23,1946.38
-3.39,1946.29,9.26,1946.29
-3.13,1946.21,9.23,1946.21
-3.21,1946.13,9.19,1946.13
-3.3,1946.04,9.2,1946.04
-3.35,1945.96,9.18,1945.96
-3.48,1945.88,9.15,1945.88
-3.61,1945.79,9.13,1945.79
-3.75,1945.71,9.09,1945.71
-3.82,1945.63,9.02,1945.63
-3.8,1945.54,9.03,1945.54
-3.72,1945.46,9.03,1945.46
-3.34,1945.38,9.11,1945.38
-3.16,1945.29,9.16,1945.29
-3.1,1945.21,9.2,1945.21
-3.14,1945.13,9.24,1945.13
-3.3,1945.04,9.19,1945.04
-3.44,1944.96,9.14,1944.96
-3.46,1944.88,9.14,1944.88
-3.74,1944.79,9.08,1944.79
-3.92,1944.71,9.05,1944.71
-3.99,1944.63,9.03,1944.63
-3.97,1944.54,9.04,1944.54
-3.95,1944.46,9.02,1944.46
-3.82,1944.38,9.07,1944.38
-3.6,1944.29,9.15,1944.29
-3.31,1944.21,9.2,1944.21
-3.43,1944.13,9.21,1944.13
-3.67,1944.04,9.18,1944.04
-3.98,1943.96,9.16,1943.96
-3.98,1943.88,9.16,1943.88
-4.07,1943.79,9.19,1943.79
-4.09,1943.71,9.2,1943.71
-4,1943.63,9.14,1943.63
-4,1943.54,9.1,1943.54
-3.81,1943.46,9.2,1943.46
-3.78,1943.38,9.22,1943.38
-3.76,1943.29,9.24,1943.29
-3.68,1943.21,9.29,1943.21
-3.87,1943.13,9.29,1943.13
-4,1943.04,9.25,1943.04
-4.07,1942.96,9.19,1942.96
-4.05,1942.88,9.11,1942.88
-4.18,1942.79,9.15,1942.79
-4.35,1942.71,9.21,1942.71
-4.47,1942.63,9.21,1942.63
-4.46,1942.54,9.06,1942.54
-4.16,1942.46,9.3,1942.46
-3.86,1942.38,9.25,1942.38
-3.46,1942.29,9.17,1942.29
-2.86,1942.21,9.3,1942.21
-3.65,1942.13,9.27,1942.13
-3.6,1942.04,9.32,1942.04
-3.56,1941.96,9.26,1941.96
-3.63,1941.88,9.2,1941.88
-3.64,1941.79,9.23,1941.79
-3.66,1941.71,9.19,1941.71
-3.9,1941.63,9.13,1941.63
-3.83,1941.54,9.11,1941.54
-4.05,1941.46,9.07,1941.46
-3.99,1941.38,9.06,1941.38
-3.48,1941.29,9.1,1941.29
-3.22,1941.21,9.34,1941.21
-3.42,1941.13,9.25,1941.13
-3.59,1941.04,9.22,1941.04
-3.85,1940.96,9.28,1940.96
-4.04,1940.88,9.23,1940.88
-4.08,1940.79,9.16,1940.79
-4.09,1940.71,9.14,1940.71
-4.18,1940.63,9.21,1940.63
-4.15,1940.54,9.14,1940.54
-3.78,1940.46,9.14,1940.46
-3.52,1940.38,9.21,1940.38
-3.41,1940.29,9.24,1940.29
-3.39,1940.21,9.2,1940.21
-3.4,1940.13,9.26,1940.13
-3.46,1940.04,9.22,1940.04
-3.56,1939.96,9.19,1939.96
-3.69,1939.88,9.17,1939.88
-3.79,1939.79,9.14,1939.79
-3.65,1939.71,9.12,1939.71
-3.74,1939.63,9.13,1939.63
-3.97,1939.54,9.08,1939.54
-4.01,1939.46,9.07,1939.46
-3.86,1939.38,9.1,1939.38
-3.64,1939.29,9.13,1939.29
-3.37,1939.21,9.14,1939.21
-3.52,1939.13,9.23,1939.13
-3.67,1939.04,9.24,1939.04
-3.76,1938.96,9.2,1938.96
-3.39,1938.88,9.19,1938.88
-3.88,1938.79,9.14,1938.79
-3.94,1938.71,9.11,1938.71
-4.08,1938.63,9.09,1938.63
-4.16,1938.54,9.05,1938.54
-3.97,1938.46,9.09,1938.46
-3.67,1938.38,9.14,1938.38
-3.43,1938.29,9.19,1938.29
-3.22,1938.21,9.23,1938.21
-3.3,1938.13,9.29,1938.13
-3.27,1938.04,9.2,1938.04
-3.44,1937.96,9.21,1937.96
-3.55,1937.88,9.11,1937.88
-3.71,1937.79,9.17,1937.79
-3.86,1937.71,9.18,1937.71
-3.79,1937.63,9.15,1937.63
-3.78,1937.54,9.15,1937.54
-3.8,1937.46,9.24,1937.46
-3.82,1937.38,9.19,1937.38
-3.61,1937.29,9.25,1937.29
-3.21,1937.21,9.33,1937.21
-3.81,1937.13,9.27,1937.13
-3.76,1937.04,9.24,1937.04
-3.86,1936.96,9.24,1936.96
-3.97,1936.88,9.27,1936.88
-4.08,1936.79,9.2,1936.79
-3.93,1936.71,9.14,1936.71
-3.71,1936.63,9.16,1936.63
-3.67,1936.54,9.16,1936.54
-3.62,1936.46,9.14,1936.46
-3.58,1936.38,9.16,1936.38
-3.53,1936.29,9.16,1936.29
-3.42,1936.21,9.24,1936.21
-3.49,1936.13,9.23,1936.13
-3.57,1936.04,9.22,1936.04
-3.66,1935.96,9.17,1935.96
-3.69,1935.88,9.13,1935.88
-3.72,1935.79,9.09,1935.79
-3.78,1935.71,9.12,1935.71
-3.73,1935.63,9.1,1935.63
-3.5,1935.54,9.14,1935.54
-3.75,1935.46,9.13,1935.46
-3.67,1935.38,9.17,1935.38
-3.55,1935.29,9.18,1935.29
-3.43,1935.21,9.19,1935.21
-3.5,1935.13,9.11,1935.13
-3.74,1935.04,9.13,1935.04
-3.81,1934.96,9.12,1934.96
-3.97,1934.88,9.07,1934.88
-3.95,1934.79,9.11,1934.79
-3.73,1934.71,9.07,1934.71
-3.83,1934.63,9.1,1934.63
-3.84,1934.54,9.1,1934.54
-3.59,1934.46,9.07,1934.46
-3.51,1934.38,9.16,1934.38
-3.48,1934.29,9.2,1934.29
-3.31,1934.21,9.23,1934.21
-3.43,1934.13,9.18,1934.13
-3.47,1934.04,9.19,1934.04
-3.61,1933.96,9.15,1933.96
-3.78,1933.88,9.13,1933.88
-3.85,1933.79,9.13,1933.79
-3.93,1933.71,9.13,1933.71
-4.19,1933.63,9.08,1933.63
-4.24,1933.54,9.1,1933.54
-3.91,1933.46,9.14,1933.46
-3.72,1933.38,9.16,1933.38
-3.06,1933.29,9.14,1933.29
-2.71,1933.21,9.12,1933.21
-3.5,1933.13,9.1,1933.13
-3.55,1933.04,9.11,1933.04
-3.44,1932.96,9.22,1932.96
-3.46,1932.88,9.14,1932.88
-3.46,1932.79,9.13,1932.79
-3.17,1932.71,9.13,1932.71
-3.22,1932.63,9.14,1932.63
-3.23,1932.54,9.17,1932.54
-3.24,1932.46,9.23,1932.46
-3.26,1932.38,9.29,1932.38
-3.53,1932.29,9.31,1932.29
-2.77,1932.21,9.23,1932.21
-3.01,1932.13,9.23,1932.13
-3.25,1932.04,9.17,1932.04
-3.55,1931.96,9.11,1931.96
-3.76,1931.88,9.07,1931.88
-3.77,1931.79,9.06,1931.79
-3.78,1931.71,9.09,1931.71
-3.92,1931.63,9.13,1931.63
-4.07,1931.54,9.16,1931.54
-4.03,1931.46,9.1,1931.46
-3.89,1931.38,9.05,1931.38
-3.75,1931.29,9.08,1931.29
-3.46,1931.21,9.03,1931.21
-3.56,1931.13,9.12,1931.13
-3.56,1931.04,9.13,1931.04
-3.53,1930.96,9.09,1930.96
-3.6,1930.88,9.06,1930.88
-3.65,1930.79,9.02,1930.79
-3.72,1930.71,8.97,1930.71
-3.8,1930.63,8.97,1930.63
-3.81,1930.54,9.02,1930.54
-3.86,1930.46,9.03,1930.46
-3.88,1930.38,9,1930.38
-3.44,1930.29,9.02,1930.29
-2.79,1930.21,9.03,1930.21
-3.32,1930.13,9.05,1930.13
-3.09,1930.04,9.14,1930.04
-3.4,1929.96,9.19,1929.96
-3.62,1929.88,9.16,1929.88
-3.56,1929.79,9.13,1929.79
-3.69,1929.71,9.04,1929.71
-3.79,1929.63,9.06,1929.63
-3.73,1929.54,9,1929.54
-3.9,1929.46,9.08,1929.46
-3.72,1929.38,8.98,1929.38
-3.51,1929.29,9.05,1929.29
-3.42,1929.21,9.2,1929.21
-3.51,1929.13,9.14,1929.13
-3.52,1929.04,9.12,1929.04
-3.52,1928.96,9.12,1928.96
-3.55,1928.88,9.1,1928.88
-3.63,1928.79,9.08,1928.79
-3.83,1928.71,9.03,1928.71
-4.02,1928.63,9,1928.63
-4.17,1928.54,8.97,1928.54
-4.08,1928.46,8.98,1928.46
-3.81,1928.38,9,1928.38
-3.52,1928.29,8.99,1928.29
-3.22,1928.21,8.99,1928.21
-3.45,1928.13,9.1,1928.13
-3.39,1928.04,9.18,1928.04
-3.42,1927.96,9.27,1927.96
-3.45,1927.88,9.18,1927.88
-3.6,1927.79,9.2,1927.79
-3.73,1927.71,9.22,1927.71
-3.94,1927.63,9.1,1927.63
-3.97,1927.54,9.11,1927.54
-3.85,1927.46,9.09,1927.46
-3.67,1927.38,9.11,1927.38
-3.48,1927.29,9.1,1927.29
-3.3,1927.21,9.07,1927.21
-3.35,1927.13,9.15,1927.13
-3.41,1927.04,9.19,1927.04
-3.42,1926.96,9.2,1926.96
-3.46,1926.88,9.19,1926.88
-3.53,1926.79,9.16,1926.79
-3.6,1926.71,9.14,1926.71
-3.67,1926.63,9.09,1926.63
-3.75,1926.54,9.04,1926.54
-3.76,1926.46,9,1926.46
-3.54,1926.38,8.99,1926.38
-3.33,1926.29,9.07,1926.29
-3.27,1926.21,9.11,1926.21
-3.3,1926.13,9.17,1926.13
-3.26,1926.04,9.16,1926.04
-3.48,1925.96,9.17,1925.96
-3.59,1925.88,9.16,1925.88
-3.57,1925.79,9.15,1925.79
-3.87,1925.71,9.11,1925.71
-3.75,1925.63,9.07,1925.63
-3.64,1925.54,9.04,1925.54
-3.68,1925.46,9.1,1925.46
-3.78,1925.38,9.1,1925.38
-3.81,1925.29,9.1,1925.29
-3.66,1925.21,9.16,1925.21
-3.91,1925.13,9.14,1925.13
-3.84,1925.04,9.12,1925.04
-3.72,1924.96,9.14,1924.96
-3.65,1924.88,9.13,1924.88
-3.82,1924.79,9.1,1924.79
-3.83,1924.71,9.1,1924.71
-3.74,1924.63,9.13,1924.63
-3.65,1924.54,9.14,1924.54
-3.44,1924.46,9.16,1924.46
-3.57,1924.38,9.2,1924.38
-3.72,1924.29,9.16,1924.29
-3.86,1924.21,9.14,1924.21
-3.74,1924.13,9.06,1924.13
-4.02,1924.04,9.11,1924.04
-4.25,1923.96,9.08,1923.96
-4.21,1923.88,9.05,1923.88
-4.19,1923.79,9.01,1923.79
-4.23,1923.71,8.96,1923.71
-4.29,1923.63,8.99,1923.63
-4.14,1923.54,9.02,1923.54
-3.84,1923.46,9.08,1923.46
-3.55,1923.38,9.14,1923.38
-3.42,1923.29,9.11,1923.29
-3.35,1923.21,9.09,1923.21
-3.61,1923.13,9.13,1923.13
-3.35,1923.04,9.15,1923.04
-3.75,1922.96,9.16,1922.96
-3.55,1922.88,9.18,1922.88
-3.69,1922.79,9.18,1922.79
-3.99,1922.71,8.96,1922.71
-3.95,1922.63,9.02,1922.63
-3.89,1922.54,9.06,1922.54
-3.75,1922.46,9.07,1922.46
-3.58,1922.38,9.1,1922.38
-3.4,1922.29,9.14,1922.29
-3.35,1922.21,9.14,1922.21
