temperature (degC),year (AD),depth (cm),Mg_Ca (mmol/mol),depth (cm) [1-2],d18O (permil) [1-2],temperature (degC) [1-2],year (AD) [1-2],Mg_Ca (mmol/mol) [1-2],d18O (permil) [1-2]
29.24,1475.8,38,5.28,37,0.02,28.39,1486.7,4.89,-3.06
29.33,1464.9,39,5.33,38,0.32,29.24,1475.8,5.28,-2.94
28.91,1454,40,5.13,39,0.26,29.33,1464.9,5.33,-3.02
28.18,1443.1,41,4.8,40,0.23,28.91,1454,5.13,-2.96
28.34,1432.2,42,4.87,41,-0.01,28.18,1443.1,4.8,-3.05
29.19,1421.3,43,5.26,42,0.19,28.34,1432.2,4.87,-2.88
28.69,1410.4,44,5.02,43,NA,29.19,1421.3,5.26,NA
29.13,1399.5,45,5.23,44,0.29,28.69,1410.4,5.02,-2.85
28.96,1388.6,46,5.15,45,0.48,29.13,1399.5,5.23,-2.75
29.25,1377.7,47,5.29,46,0.33,28.96,1388.6,5.15,-2.87
28.7,1366.8,48,5.03,47,0.23,29.25,1377.7,5.29,-3.03
28.05,1355.9,49,4.74,48,0.16,28.7,1366.8,5.03,-2.99
28.93,1345,50,5.13,49,-0.04,28.05,1355.9,4.74,-3.05
28.51,1331.0227,51,4.95,50,0.26,28.93,1345,5.13,-2.93
28.76,1317.0455,52,5.06,51,0.12,28.51,1331.0227,4.95,-2.99
28.73,1303.0682,53,5.05,52,0.23,28.76,1317.0455,5.06,-2.93
28.56,1289.0909,54,4.97,53,0.05,28.73,1303.0682,5.05,-3.1
27.65,1275.1136,55,4.58,54,0.13,28.56,1289.0909,4.97,-2.99
29.19,1261.1364,56,5.25,55,-0.01,27.65,1275.1136,4.58,-2.94
28.19,1247.1591,57,4.8,56,0.34,29.19,1261.1364,5.25,-2.91
28.43,1233.1818,58,4.91,57,0.13,28.19,1247.1591,4.8,-2.91
28.9,1219.2045,59,5.12,58,0.3,28.43,1233.1818,4.91,-2.79
29.52,1205.2273,60,5.41,59,0.11,28.9,1219.2045,5.12,-3.08
29.09,1191.25,61,5.21,60,0.67,29.52,1205.2273,5.41,-2.65
28.97,1177.2727,62,5.15,61,0.15,29.09,1191.25,5.21,-3.08
28.37,1163.2955,63,4.88,62,0.18,28.97,1177.2727,5.15,-3.02
28.42,1149.3182,64,4.9,63,0,28.37,1163.2955,4.88,-3.08
29.54,1135.3409,65,5.43,64,0.32,28.42,1149.3182,4.9,-2.77
29.11,1121.3636,66,5.22,65,0.32,29.54,1135.3409,5.43,-3
28.52,1107.3864,67,4.95,66,0.41,29.11,1121.3636,5.22,-2.82
28.34,1093.4091,68,4.87,67,-0.05,28.52,1107.3864,4.95,-3.16
29.01,1079.4318,69,5.17,68,0.35,28.34,1093.4091,4.87,-2.72
28.95,1065.4545,70,5.15,69,0.1,29.01,1079.4318,5.17,-3.11
28.46,1051.4773,71,4.92,70,0.53,28.95,1065.4545,5.15,-2.67
29,1037.5,72,5.17,71,0.21,28.46,1051.4773,4.92,-2.89
29.18,1023.5227,73,5.25,72,0.31,29,1037.5,5.17,-2.9
29.13,1009.5455,74,5.23,73,0.53,29.18,1023.5227,5.25,-2.72
29.53,995.56818,75,5.42,74,0.36,29.13,1009.5455,5.23,-2.87
29.41,981.59091,76,5.36,75,0.18,29.53,995.56818,5.42,-3.14
28.81,967.61364,77,5.08,76,0.42,29.41,981.59091,5.36,-2.87
28.67,953.63636,78,5.02,77,0,28.81,967.61364,5.08,-3.17
28.62,939.65909,79,4.99,78,0.43,28.67,953.63636,5.02,-2.71
29.16,925.68182,80,5.24,79,0.28,28.62,939.65909,4.99,-2.85
28.55,897.72727,82,4.96,80,NA,29.16,925.68182,5.24,NA
28.1,869.77273,84,4.77,82,0.21,28.55,897.72727,4.96,-2.9
28.41,841.81818,86,4.9,84,0.25,28.1,869.77273,4.77,-2.77
27.85,813.86364,88,4.66,86,NA,28.41,841.81818,4.9,NA
28.73,785.90909,90,5.04,88,0.12,27.85,813.86364,4.66,-2.85
28.9,757.95455,92,5.12,90,0.3,28.73,785.90909,5.04,-2.85
29,730,94,5.17,92,NA,28.9,757.95455,5.12,NA
28.72,698.33333,96,5.04,94,0.58,29,730,5.17,-2.63
28.95,666.66667,98,5.15,96,0.37,28.72,698.33333,5.04,-2.78
29.36,635,100,5.34,98,0.4,28.95,666.66667,5.15,-2.8
28.56,603.33333,102,4.96,100,0.53,29.36,635,5.34,-2.75
28.79,571.66667,104,5.07,102,0.25,28.56,603.33333,4.96,-2.87
29.19,540,106,5.26,104,0.27,28.79,571.66667,5.07,-2.89
28.58,508.33333,108,4.97,106,0.36,29.19,540,5.26,-2.89
28.84,476.66667,110,5.09,108,0.31,28.58,508.33333,4.97,-2.81
28.69,445,112,5.02,110,0.38,28.84,476.66667,5.09,-2.79
28.07,413.33333,114,4.75,112,0.17,28.69,445,5.02,-2.97
28.75,381.66667,116,5.05,114,0.18,28.07,413.33333,4.75,-2.83
28.75,350,118,5.05,116,NA,28.75,381.66667,5.05,NA
28.83,318.33333,120,5.09,118,0.21,28.75,350,5.05,-2.95
28.43,286.66667,122,4.91,120,0.43,28.83,318.33333,5.09,-2.74
28.48,255,124,4.93,122,0.25,28.43,286.66667,4.91,-2.84
28.32,223.33333,126,4.86,124,0.19,28.48,255,4.93,-2.91
28.4,191.66667,128,4.89,126,0.14,28.32,223.33333,4.86,-2.93
28.5,160,130,4.94,128,0.26,28.4,191.66667,4.89,-2.82
NA,NA,132,5.07,130,0.21,28.5,160,4.94,-2.89
NA,NA,136,4.93,132,0.42,28.79,128.33333,5.07,-2.74
NA,NA,138,5.55,134,NA,NA,96.66666,NA,-2.74
NA,NA,140,5.06,136,0.14,28.48,64.99999,4.93,-2.96
NA,NA,NA,NA,138,0.47,29.79,33.33332,5.55,-2.9
NA,NA,NA,NA,140,0.17,28.77,1.66665,5.06,-2.99
