dD (permil),year (AD),depth (cm),dD (permil),dD (permil),dD (permil),dDUncertainty (permil),dDUncertainty (permil),dDUncertainty (permil),dDUncertainty (permil),dD (permil),depth (cm),dDUncertainty (permil)
-233.6,1981,73.3,-254.2,-253,-245.8,5.5,1.8,2.9,1.7,-255.3,70,1.8
-242.9,1980,76.9,-256.3,-255.5,-248.5,0.8,0.6,0.4,2.5,-257.8,73.3,0.9
-231.5,1978.5,80.8,-253.9,-254.2,-244.6,4.6,0.5,0.9,0.6,-257,76.9,0.4
-243.9,1977,85.3,-266.6,-264.9,-257.6,6.3,2.2,0.7,1.4,-264.5,80.8,5.5
-247.3,1976,90.4,-260.4,-262.9,-252.9,2.2,0.7,1.7,1.4,-264.4,85.3,1.4
-232.1,1974.5,93.4,-253.5,-252.1,-241.8,1.7,1.7,2.5,1.4,-255.5,90.4,0.3
-248.9,1973,99.5,-262.3,-264.9,-256.7,6.3,2.6,1.8,1.9,-266.3,93.4,0.7
-240,1972,103.7,-255.6,-254.7,-246.1,2.1,1.5,2.1,2.4,-260.4,99.5,0.2
-233.9,1971,108,-259.5,-259.6,-248.2,16.1,1,1.6,1.7,-260.1,103.7,3.9
-246.4,1969,112.1,-255.7,-258.9,-248.9,2.5,2,2.4,1.9,-257.6,108,3.2
-230.1,1967,114.8,-247.8,-255.7,-245.8,4.6,5.2,2.5,3.1,-251.4,112.1,4.4
-228,1965.5,117.9,-249.6,-252.6,-244.8,5.3,1,3.2,2.8,-249.9,114.8,4.2
-233.7,1964,120.8,-254.2,-252.6,-247,4.2,1.1,3,4,-255.6,117.9,1.5
-234.6,1963,122.8,-240,-235.6,-234.3,5.7,18.1,27,17.6,-251.7,120.8,3.8
-231.5,1961.5,125.8,-252.1,-250.6,-245.2,6.6,0.6,2.5,1.7,-249.8,122.8,2.4
-239.3,1960,130.1,-255.4,-254.8,-249.7,1,2.6,0.6,4.7,-256.5,125.8,2.2
-228.2,1959,133.1,-254.1,-249.8,-242.6,12.1,0.5,2.3,2.7,-254.6,130.1,7.3
-228.5,1958,136.5,-250.6,-250.7,-243.4,5.6,0.7,1.6,0.7,-234.9,133.1,2
-241,1957,139.8,-254.4,-254.3,-243.3,4.2,0.2,1.8,4.6,-258.3,136.5,4.6
-247,1956,143.5,-262.6,-258.1,-250.1,7.4,2,1,2.7,-264.2,139.8,3.4
-248.8,1955,149.2,-261.8,-261.6,-252.3,3.6,0.3,1.6,0.6,-266.3,143.5,4.3
-235.9,1953.5,153.1,-256.7,-257.9,-248.1,1,1.3,1.8,1.3,-262.1,149.2,1.4
-212.1,1952,156.2,-243.6,-245.6,-240.8,21.1,0.8,11.5,7.2,-241.5,153.1,4.1
-238.8,1950.5,160.5,-256.4,-254.3,-244,4.7,4.6,4.5,7.1,-250,156.2,1.4
-227.7,1948.5,163.6,-245.1,-250.5,-240.6,3.1,0.1,2,1.6,-259.5,160.5,0.9
NA,1940,230,NA,-257.7,NA,NA,NA,1.7,NA,NA,220,NA
NA,1920,290,NA,-259.2,NA,NA,NA,2.7,NA,NA,280,NA
NA,1900,300,NA,-256.6,NA,NA,NA,0.1,NA,NA,290,NA
NA,1880,360,NA,-260,NA,NA,NA,2.4,NA,NA,350,NA
NA,1860,370,NA,-256.8,NA,NA,NA,0.9,NA,NA,360,NA
NA,1846,440,NA,-258.8,NA,NA,NA,3,NA,NA,430,NA
NA,1821,460,NA,-265.9,NA,NA,NA,2.6,NA,NA,450,NA
NA,1786,510,NA,-259,NA,NA,NA,3.3,NA,NA,500,NA
NA,1751,560,NA,-262,NA,NA,NA,0.7,NA,NA,550,NA
NA,1709,660,NA,-260.8,NA,NA,NA,1.4,NA,NA,650,NA
NA,1661,790,NA,-260.1,NA,NA,NA,NA,NA,NA,780,NA
NA,1631,860,NA,-259.8,NA,NA,NA,2.6,NA,NA,850,NA
NA,1596,960,NA,-258.9,NA,NA,NA,1.8,NA,NA,950,NA
NA,1566,1050,NA,-263.1,NA,NA,NA,0.7,NA,NA,1040,NA
NA,1521,1160,NA,-255.1,NA,NA,NA,2,NA,NA,1150,NA
NA,1486,1260,NA,-261.5,NA,NA,NA,2.4,NA,NA,1250,NA
NA,1451,1360,NA,-253.6,NA,NA,NA,1.9,NA,NA,1350,NA
