dD (permil),dDUncertainty (permil),year (AD),depth (cm),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty ()
NA,NA,1343,245,-159,1,-148,0.3,-153,2.8,NA,NA,-161,1.4
NA,NA,1341,246,-161,0.9,-147,0.7,-145,1.8,NA,NA,-156,0.7
NA,NA,1338,247,-160,0.5,-142,2.6,-163,NA,NA,NA,-161,1.3
NA,NA,1335,248,NA,NA,NA,NA,-146,7.8,-151,3.7,-166,2.8
NA,NA,1333,249,-167,0.8,-153,0.7,-137,6,-155,NA,-169,0.4
NA,NA,1330,250,-160,1,-143,1.2,NA,NA,-136,8.1,-154,0.9
NA,NA,1327,251,-158,NA,-143,NA,-151,NA,NA,NA,-149,1.6
NA,NA,1325,252,-159,1.6,-147,3.7,-149,4.1,-167,8.4,-156,0.9
NA,NA,1322,253,-166,1.2,-148,2.2,-145,2.3,-156,1.7,-164,1.9
NA,NA,1319,254,-166,0.2,-149,1.2,NA,NA,-144,NA,-162,0
NA,NA,1317,255,-171,3.5,-157,3.8,-158,5,NA,NA,-173,4.6
NA,NA,1314,256,-168,2.9,-154,1,-149,1.8,-148,NA,-169,3.1
NA,NA,1312,257,-159,1,-145,0.8,-147,2.5,-145,3.3,-160,1.4
NA,NA,1309,258,-161,0.5,-152,3.2,-151,1.3,-135,9.1,-165,1.9
NA,NA,1306,259,-165,0.5,-154,0.5,-154,3.6,-161,6,-168,2.8
NA,NA,1304,260,-163,0.6,-146,0.3,-155,0.6,-164,NA,-163,0.4
NA,NA,1301,261,-157,0.1,-144,2.4,-148,NA,NA,NA,-154,0.5
NA,NA,1298,262,-167,NA,-152,1.3,-154,NA,-167,2.2,-162,4.5
NA,NA,1296,263,-160,0.3,-147,2.7,-154,2.7,-163,NA,-168,1.1
NA,NA,1293,264,-159,3,-145,1.7,-147,3.4,NA,NA,-160,0.8
NA,NA,1290,265,-161,1.4,-143,5.9,-148,0.7,-157,NA,-160,1.5
NA,NA,1288,266,-158,0,-149,1.5,-154,1.3,-171,NA,-162,1
NA,NA,1285,267,-158,0,-149,1.3,-162,7.4,-152,NA,-159,3
NA,NA,1282,268,-151,2.2,-146,0.5,-151,0.9,-165,NA,-159,2
NA,NA,1280,269,-152,0.2,-145,0.8,-145,3,NA,NA,-150,4.6
NA,NA,1277,270,-163,6.6,-151,2.8,-159,2.2,NA,NA,-172,1.4
-137,0.8,1274,271,-167,0.4,-153,0.1,-150,0.7,-148,1.9,-164,0.4
-146,4.7,1272,272,-165,2.5,-155,3.1,-153,2.5,-152,4.1,-169,5.3
-155,0.1,1269,273,-162,2.3,-149,1.2,-156,6.7,-149,8.9,-165,7.8
-147,9.1,1266,274,-163,2.7,-150,0.6,-159,4,-152,6.3,-170,2.8
-145,2.8,1264,275,-169,1.4,-156,1.2,-154,3,-144,3.3,-182,1
-144,9.8,1262,276,NA,NA,NA,NA,-168,4.1,-150,5.4,-175,1.5
-142,1.5,1260,277,NA,NA,NA,NA,-138,2.8,-131,1.6,-167,3.3
NA,NA,1258,278,-161,0.8,-147,0.7,-146,4,-133,2.6,-171,3.9
NA,NA,1257,279,-154,0.2,-144,4.1,-148,6.5,-134,7.2,-150,6.2
NA,NA,1255,280,-160,0.1,-146,0.5,-158,2.8,-143,1.5,-168,6.4
NA,NA,1252,282,-167,0.9,-156,0.8,-160,0.5,-144,1.1,-170,1.7
-134,4.4,1250,283,-165,NA,NA,NA,-153,1.8,-147,0.8,-171,1.3
-138,NA,1249,284,-171,0.7,-154,1.8,-155,5.1,-143,1.1,-183,3
NA,NA,1246,286,NA,NA,-153,NA,-161,NA,-139,NA,-168,NA
NA,NA,1242,288,-164,0.8,-154,NA,-158,5.2,-146,0.9,-170,4
NA,NA,1239,290,-165,1.7,-156,2.9,-156,0.3,-147,0.2,-170,4.8
NA,NA,1236,292,-176,1,-161,1.8,-152,2.2,-150,0.5,-171,0.2
-149,5.2,1233,294,NA,NA,NA,NA,-156,2.2,-150,2.2,-175,0.9
-154,0.6,1229,296,-179,1.7,-166,2.3,-156,5.8,-158,0.8,-185,0.3
NA,NA,1226,298,-177,2.3,-165,1,-158,4.4,-150,1.8,-183,4.7
NA,NA,1223,300,-177,1.4,-162,1.1,-156,1.4,-158,1.4,-180,0.4
NA,NA,1220,302,-164,2.2,-160,2.1,-160,0.9,-155,0.7,-171,0.5
NA,NA,1216,304,-147,4.2,-139,NA,NA,NA,NA,NA,NA,NA
NA,NA,1212,306,-156,0.8,-147,0.6,-157,3.5,-144,8,-154,6
-148,NA,1205,308,-164,0.9,-153,0,-158,3.8,-149,2.8,-171,2.2
-151,2.2,1198,310,-168,2,-157,1.9,-158,0.8,-151,3.3,-172,2.8
-157,NA,1191,312,-166,1,-155,2.5,-162,3.3,-153,1.2,-168,4.1
-167,4.6,1184,314,-164,0.9,-155,1.5,-164,3.5,-158,3,-165,3.1
NA,NA,1177,316,-173,0.8,-160,0.2,-157,3.3,-155,1.1,-171,2.2
-152,0.4,1169,318,-168,3.1,-156,3.9,-162,2.6,NA,NA,-168,1.8
NA,NA,1162,320,-153,1.9,-146,0.5,-153,5.3,-145,0.3,-162,0.8
NA,NA,1155,322,-174,2.5,-159,0.2,-154,2.6,-143,2.3,-174,0.2
NA,NA,1148,324,-174,0.8,-163,1.2,-155,0.1,-146,0.3,-176,3.4
NA,NA,1141,326,-173,2.1,-156,3.2,-152,0.8,-140,0.8,-180,3.6
NA,NA,1134,328,-162,0.6,-145,0.6,-151,0.8,-145,1.1,-165,0.5
NA,NA,1127,330,-172,1.9,-157,0.3,-152,7.9,-143,0.1,-177,4.7
NA,NA,1120,332,-161,3.6,-149,3.1,-151,6.7,-140,1.8,-162,1.4
NA,NA,1112,334,-159,0.3,-150,1.1,-162,1.5,-134,4.6,-158,0
NA,NA,1105,336,-162,3.9,-148,1.9,NA,NA,NA,NA,-159,3.2
-160,NA,1098,338,-160,NA,-153,NA,-159,NA,-157,NA,-163,0.7
-148,1.6,1091,340,-161,NA,NA,NA,-153,2.1,-146,1.3,-164,1.6
NA,NA,1084,342,-167,0.2,-148,1.7,-150,1,-142,1.3,-175,0.5
-144,0.7,1077,344,-171,0.6,-156,0.5,-152,5.9,-137,5.9,-180,0.6
-152,5,1070,346,-161,NA,-153,0.2,-163,0.5,-149,0.7,-186,0.7
NA,NA,1063,348,-161,0.4,-152,0.5,-148,2,-147,2.1,-167,0.6
NA,NA,1055,350,-149,1.2,-144,0.2,-149,4.1,-148,5.7,-156,1.1
NA,NA,1048,352,-160,0.8,-146,0.2,-152,0.8,-145,1.7,-153,1.2
NA,NA,1034,356,-145,2.6,-138,0.3,-142,2.4,NA,NA,-146,6.5
NA,NA,1027,358,NA,NA,-153,7.3,-146,1.4,-143,3.5,NA,NA
-147,3,1020,360,-166,2.2,-143,2.7,-147,4.8,-144,2.7,-159,4.3
-158,4.4,1013,362,-149,9.6,-141,1.4,-139,3.1,-150,7.5,-150,0.7
-144,1.8,1006,364,-170,0,-149,1.4,-148,2.7,-144,0.5,-170,2
NA,NA,998,366,-151,3.2,-136,0.4,-141,2.3,-137,0.8,-148,3.1
NA,NA,991,368,-144,0.7,-132,3.3,-132,0.9,NA,NA,-145,3.8
NA,NA,984,370,-160,0.7,-141,1.4,NA,NA,NA,NA,-162,2.6
-147,8.3,977,372,-167,0.7,-152,1.5,-149,0,-145,2.2,-166,0.9
-138,5.2,970,374,-167,0.1,-153,2.6,-150,0.5,-143,0.4,-167,2.5
-155,3,963,376,-169,0.2,-153,0.1,-149,0.2,-144,1.6,-169,0.1
NA,NA,956,378,-152,0.3,-140,0.8,-141,1.9,NA,NA,-155,2.6
NA,NA,952,380,-159,0,-149,0,-147,2.4,-146,0.5,-166,0.3
-148,6.4,948,382,-171,0.2,-154,2.4,-149,3.5,-147,2.1,-172,0.5
-148,1.2,943,384,-177,1,-158,0.8,-155,1.5,-149,1.6,-182,0.2
-141,NA,939,386,-179,0.1,-160,1,-156,0.4,-144,0.3,-190,3
NA,NA,934,388,-153,0.4,-142,0.8,-145,0.5,-137,2,-164,1
NA,NA,930,390,-150,1.2,-137,1.4,-137,1.5,NA,NA,-170,0.4
NA,NA,926,392,-160,0,-147,0.4,-148,1.1,-149,1.5,-164,0.5
NA,NA,921,394,-154,1.3,-143,0.1,-146,1.3,-142,6.8,-162,1.1
NA,NA,917,396,-160,0.1,-148,0.4,-151,1.6,-144,0.2,-162,2.4
NA,NA,912,398,-169,1.1,-153,1.6,-143,1.3,-139,1.4,-170,2.8
NA,NA,908,400,-162,2,-147,1.2,-139,6.5,-130,5.2,-168,0.4
NA,NA,899,402,-157,0,-143,1,-142,1.2,NA,NA,-163,1.8
-143,4.6,889,404,-168,0.9,-156,0.3,-152,0,-139,2.4,-172,0
-136,0.9,879,406,-167,0.9,-152,0.3,-146,1,-144,0.2,-170,0.7
-134,0.5,869,408,-168,1,-150,0.7,-151,1.1,-142,2,-174,1.1
NA,NA,859,410,-158,1.6,-138,0,-141,2.9,-136,0.7,-164,1.1
NA,NA,849,412,-153,0.3,-139,0.3,-144,0.8,-139,2.8,-161,1
-141,2.9,839,414,-165,1,-155,0.6,-155,2.2,-148,2.6,-181,4.7
-138,5.2,828,416,-166,1.1,-150,2.7,-151,1.9,-142,2.2,-169,4
-147,0.5,818,418,-178,0.6,-158,0.2,-162,0.6,-153,4,-183,2.8
-153,1.2,808,420,-174,1.2,-158,0.4,-159,0.7,-149,2.2,-180,1.6
NA,NA,798,422,-169,3,-154,0.2,-152,1.2,-142,2.9,-177,2.4
-134,5.8,788,424,-169,0.7,-148,0.1,-152,4.7,-144,0.4,-177,1
-147,1,778,426,-173,1.1,-152,1.6,-154,1.1,-146,1.6,-181,0.1
