d18O (permil),year (AD)
-4.31,1913.458
-4.6,1913.291
-4.81,1913.125
-4.49,1912.958
-4,1912.791
-3.65,1912.625
-4.2,1912.458
-4.47,1912.291
-4.66,1912.125
-4.54,1911.958
-4.03,1911.791
-3.75,1911.625
-3.79,1911.458
-4.24,1911.291
-4.59,1911.125
-4.58,1910.958
-4.24,1910.791
-3.91,1910.625
-4,1910.458
-4.49,1910.291
-4.64,1910.125
-4.53,1909.958
-4.4,1909.791
-4.05,1909.625
-4.43,1909.458
-4.72,1909.291
-4.93,1909.125
-4.84,1908.958
-4.37,1908.791
-3.99,1908.625
-4.31,1908.458
-4.61,1908.291
-4.89,1908.125
-4.61,1907.958
-4.18,1907.791
-3.61,1907.625
-4.05,1907.458
-4.42,1907.291
-4.85,1907.125
-4.89,1906.958
-4.35,1906.791
-4.07,1906.625
-4.3,1906.458
-4.79,1906.291
-4.9,1906.125
-4.38,1905.958
-4.24,1905.791
-4.1,1905.625
-4.52,1905.458
-4.7,1905.291
-4.64,1905.125
-4.39,1904.958
-4.25,1904.791
-4.23,1904.625
-4.69,1904.458
-5,1904.291
-5.01,1904.125
-4.76,1903.958
-4.42,1903.791
-4.17,1903.625
-4.22,1903.458
-4.42,1903.291
-4.53,1903.125
-4.4,1902.958
-4.1,1902.791
-3.97,1902.625
-4.16,1902.458
-4.32,1902.291
-4.8,1902.125
-4.49,1901.958
-4.34,1901.791
-4.04,1901.625
-4.22,1901.458
-4.65,1901.291
-4.87,1901.125
-4.52,1900.958
-4.13,1900.791
-4.08,1900.625
-4.6,1900.458
-4.71,1900.291
-4.5,1900.125
-4.22,1899.958
-4.08,1899.791
-3.85,1899.625
-4.04,1899.458
-4.64,1899.291
-4.55,1899.125
-4.29,1898.958
-4,1898.791
-3.92,1898.625
-4.51,1898.458
-4.88,1898.291
-5.03,1898.125
-4.72,1897.958
-4.44,1897.791
-4.21,1897.625
-4.22,1897.458
-4.55,1897.291
-4.76,1897.125
-4.65,1896.958
-4.32,1896.791
-4.14,1896.625
-4.65,1896.458
-4.84,1896.291
-4.71,1896.125
-4.32,1895.958
-4.06,1895.791
-3.95,1895.625
-4.3,1895.458
-3.97,1895.291
-4.88,1895.125
-4.73,1894.958
-4.35,1894.791
-4.14,1894.625
-4.77,1894.458
-5.13,1894.291
-5.05,1894.125
-4.77,1893.958
-4.58,1893.791
-4.33,1893.625
-4.42,1893.458
-4.72,1893.291
-4.91,1893.125
-4.77,1892.958
-4.35,1892.791
-4.05,1892.625
-4.38,1892.458
-4.64,1892.291
-4.77,1892.125
-4.69,1891.958
-4.42,1891.791
-4.1,1891.625
-4.22,1891.458
-4.69,1891.291
-5.09,1891.125
-4.84,1890.958
-4.54,1890.791
-4.25,1890.625
-4.58,1890.458
-4.89,1890.291
-4.76,1890.125
-4.46,1889.958
-4.32,1889.791
-4.08,1889.625
-4.7,1889.458
-5.03,1889.291
-4.84,1889.125
-4.41,1888.958
-4.14,1888.791
-4.1,1888.625
-4.54,1888.458
-5,1888.291
-5.02,1888.125
-4.71,1887.958
-4.39,1887.791
-4.06,1887.625
-4.18,1887.458
-4.71,1887.291
-5.03,1887.125
-4.92,1886.958
-4.51,1886.791
-4.12,1886.625
-4.33,1886.458
-4.81,1886.291
-5.01,1886.125
-4.68,1885.958
-4.12,1885.791
-4.04,1885.625
-4.89,1885.458
-5.19,1885.291
-4.82,1885.125
-4.74,1884.958
-4.38,1884.791
-4,1884.625
-4.36,1884.458
-4.75,1884.291
-4.83,1884.125
-4.66,1883.958
-4.39,1883.791
-4,1883.625
-4.02,1883.458
-4.48,1883.291
-4.89,1883.125
-4.76,1882.958
-4.48,1882.791
-4.11,1882.625
-4.3,1882.458
-4.8,1882.291
-4.93,1882.125
-4.54,1881.958
-4.13,1881.791
-4.11,1881.625
-4.43,1881.458
-4.97,1881.291
-4.88,1881.125
-4.45,1880.958
-4.21,1880.791
-4.17,1880.625
-4.66,1880.458
-5.09,1880.291
-4.96,1880.125
-4.69,1879.958
-4.18,1879.791
-4.16,1879.625
-4.43,1879.458
-4.79,1879.291
-4.82,1879.125
-4.59,1878.958
-4.38,1878.791
-4.22,1878.625
-4.32,1878.458
-4.75,1878.291
-4.95,1878.125
-4.77,1877.958
-4.35,1877.791
-4,1877.625
-4.04,1877.458
-4.65,1877.291
-4.8,1877.125
-4.3,1876.958
-4.1,1876.791
-4.1,1876.625
-4.57,1876.458
-4.92,1876.291
-4.84,1876.125
-4.72,1875.958
-4.47,1875.791
-3.9,1875.625
-4.61,1875.458
-5.11,1875.291
-4.93,1875.125
-4.5,1874.958
-4.3,1874.791
-4.3,1874.625
-4.87,1874.458
-5.12,1874.291
-5.07,1874.125
-4.8,1873.958
-4.5,1873.791
-4.15,1873.625
-4.47,1873.458
-4.67,1873.291
-4.82,1873.125
-4.73,1872.958
-4.37,1872.791
-4.12,1872.625
-4.44,1872.458
-4.79,1872.291
-4.91,1872.125
-4.69,1871.958
-4.28,1871.791
-4.28,1871.625
-4.6,1871.458
-5.08,1871.291
-5.13,1871.125
-4.82,1870.958
-4.4,1870.791
-4.12,1870.625
-4.42,1870.458
-4.89,1870.291
-5.17,1870.125
-4.46,1869.958
-4.27,1869.791
-4.08,1869.625
-4.47,1869.458
-4.67,1869.291
-4.67,1869.125
-4.54,1868.958
-4.36,1868.791
-4.13,1868.625
-4.28,1868.458
-4.65,1868.291
-4.84,1868.125
-4.72,1867.958
-4.34,1867.791
-3.85,1867.625
-4.32,1867.458
-5.06,1867.291
-5.05,1867.125
-4.4,1866.958
-4.16,1866.791
-4.11,1866.625
-4.44,1866.458
-4.8,1866.291
-5,1866.125
-4.83,1865.958
-4.29,1865.791
-3.8,1865.625
-4.03,1865.458
-4.63,1865.291
-4.76,1865.125
-4.53,1864.958
-4.3,1864.791
-4.08,1864.625
-4.18,1864.458
-4.62,1864.291
-4.81,1864.125
-4.71,1863.958
-4.46,1863.791
-4.02,1863.625
-4.12,1863.458
-4.7,1863.291
-4.9,1863.125
-4.65,1862.958
-4.13,1862.791
-3.84,1862.625
-4.3,1862.458
-4.76,1862.291
-4.74,1862.125
-4.39,1861.958
-4.1,1861.791
-3.98,1861.625
-4.2,1861.458
-4.51,1861.291
-4.9,1861.125
-4.73,1860.958
-4.49,1860.791
-4.18,1860.625
-4.24,1860.458
-4.52,1860.291
-4.93,1860.125
-4.94,1859.958
-4.48,1859.791
-4.02,1859.625
-4.16,1859.458
-4.7,1859.291
-4.93,1859.125
-4.8,1858.958
-4.52,1858.791
-4.09,1858.625
-4.37,1858.458
-4.75,1858.291
-5.02,1858.125
-4.71,1857.958
-4.26,1857.791
-4.13,1857.625
-4.7,1857.458
-4.94,1857.291
-4.9,1857.125
-4.69,1856.958
-4.44,1856.791
-4.2,1856.625
-4.58,1856.458
-5.12,1856.291
-5.15,1856.125
-4.75,1855.958
-4.36,1855.791
-4.13,1855.625
-4.33,1855.458
-4.77,1855.291
-4.97,1855.125
-4.41,1854.958
-4.11,1854.791
-3.88,1854.625
-4.45,1854.458
-4.85,1854.291
-4.74,1854.125
-4.36,1853.958
-4.09,1853.791
-3.99,1853.625
-4.4,1853.458
-4.81,1853.291
-4.72,1853.125
-4.37,1852.958
-4.18,1852.791
-4.06,1852.625
-4.34,1852.458
-4.76,1852.291
-4.73,1852.125
-4.42,1851.958
-4.27,1851.791
-4.26,1851.625
-4.4,1851.458
-4.48,1851.291
-4.68,1851.125
-4.69,1850.958
-4.25,1850.791
-3.67,1850.625
-4.1,1850.458
-4.44,1850.291
-4.79,1850.125
-4.74,1849.958
-4.16,1849.791
-3.94,1849.625
-3.97,1849.458
-4.64,1849.291
-4.97,1849.125
-4.6,1848.958
-4.17,1848.791
-3.79,1848.625
-4.4,1848.458
-4.82,1848.291
-4.74,1848.125
-4.34,1847.958
-3.91,1847.791
-3.88,1847.625
-4.25,1847.458
-4.56,1847.291
-4.83,1847.125
-4.44,1846.958
-4.08,1846.791
-3.76,1846.625
-4.19,1846.458
-4.66,1846.291
-4.66,1846.125
-4.35,1845.958
-4.11,1845.791
-4.05,1845.625
-4.53,1845.458
-4.84,1845.291
-4.97,1845.125
-4.69,1844.958
-4.35,1844.791
-3.94,1844.625
-4.28,1844.458
-4.73,1844.291
-4.87,1844.125
-4.7,1843.958
-4.41,1843.791
-4.15,1843.625
-4.27,1843.458
-4.71,1843.291
-4.93,1843.125
-4.72,1842.958
-4.36,1842.791
-3.87,1842.625
-4.38,1842.458
-4.95,1842.291
-4.74,1842.125
-4.38,1841.958
-4.09,1841.791
-3.93,1841.625
-4.47,1841.458
-4.85,1841.291
-4.96,1841.125
-4.75,1840.958
-4.31,1840.791
-3.96,1840.625
-4.07,1840.458
-4.38,1840.291
-5.22,1840.125
-4.53,1839.958
-4.23,1839.791
-4.22,1839.625
-4.56,1839.458
-4.93,1839.291
-4.85,1839.125
-4.5,1838.958
-4.24,1838.791
-3.96,1838.625
-4.29,1838.458
-4.68,1838.291
-4.74,1838.125
-4.47,1837.958
-4.08,1837.791
-3.9,1837.625
-4.53,1837.458
-4.81,1837.291
-4.72,1837.125
-4.48,1836.958
-4.2,1836.791
-3.87,1836.625
-3.95,1836.458
-4.27,1836.291
-4.65,1836.125
-4.69,1835.958
-4.27,1835.791
-3.94,1835.625
-4.08,1835.458
-4.71,1835.291
-4.9,1835.125
-4.67,1834.958
-4.19,1834.791
-4.12,1834.625
-4.4,1834.458
-4.81,1834.291
-4.77,1834.125
-4.46,1833.958
-4.26,1833.791
-3.99,1833.625
-4.26,1833.458
-4.8,1833.291
-4.87,1833.125
-4.44,1832.958
-4.28,1832.791
-4.02,1832.625
-4.15,1832.458
-4.54,1832.291
-4.84,1832.125
-4.79,1831.958
-4.38,1831.791
-3.88,1831.625
-3.96,1831.458
-4.34,1831.291
-4.91,1831.125
-4.61,1830.958
-4.49,1830.791
-3.87,1830.625
-4.33,1830.458
-4.93,1830.291
-5.16,1830.125
-4.25,1829.958
-3.84,1829.791
-3.85,1829.625
-4.32,1829.458
-4.55,1829.291
-4.87,1829.125
-4.44,1828.958
-4.17,1828.791
-3.91,1828.625
-4.29,1828.458
-4.75,1828.291
-4.84,1828.125
-4.64,1827.958
-4.37,1827.791
-4,1827.625
-4.07,1827.458
-4.58,1827.291
-4.97,1827.125
-4.88,1826.958
-4.36,1826.791
-3.99,1826.625
-4.22,1826.458
-4.86,1826.291
-4.75,1826.125
-4.62,1825.958
-4.33,1825.791
-4.18,1825.625
-4.56,1825.458
-4.75,1825.291
-4.81,1825.125
-4.61,1824.958
-4.19,1824.791
-3.91,1824.625
-4.56,1824.458
-5.06,1824.291
-5.15,1824.125
-4.83,1823.958
-4.27,1823.791
-3.83,1823.625
-4.39,1823.458
-3.93,1823.291
-4.53,1823.125
-4.97,1822.958
-4.26,1822.791
-3.97,1822.625
-4.24,1822.458
-4.59,1822.291
-5.01,1822.125
-4.76,1821.958
-4.42,1821.791
-3.98,1821.625
-4.11,1821.458
-4.5,1821.291
-4.81,1821.125
-4.74,1820.958
-4.33,1820.791
-4.05,1820.625
-4.35,1820.458
-4.81,1820.291
-5.04,1820.125
-4.9,1819.958
-4.48,1819.791
-4,1819.625
-4.23,1819.458
-4.48,1819.291
-4.7,1819.125
-4.63,1818.958
-4.22,1818.791
-4.04,1818.625
-4.37,1818.458
-4.65,1818.291
-4.89,1818.125
-4.68,1817.958
-4.38,1817.791
-3.99,1817.625
-4.16,1817.458
-4.5,1817.291
-4.8,1817.125
-4.8,1816.958
-4.4,1816.791
-3.74,1816.625
-4.31,1816.458
-4.68,1816.291
-4.78,1816.125
-4.6,1815.958
-4.26,1815.791
-4.09,1815.625
-4.42,1815.458
-4.79,1815.291
-4.95,1815.125
-4.68,1814.958
-4.11,1814.791
-3.9,1814.625
-4.39,1814.458
-4.64,1814.291
-4.74,1814.125
-4.62,1813.958
-4.26,1813.791
-3.8,1813.625
-4.5,1813.458
-4.93,1813.291
-4.96,1813.125
-4.6,1812.958
-4.07,1812.791
-3.98,1812.625
-4.61,1812.458
-4.99,1812.291
-4.96,1812.125
-4.62,1811.958
-4.25,1811.791
-4.16,1811.625
-4.58,1811.458
-5,1811.291
-5.04,1811.125
-4.72,1810.958
-4.3,1810.791
-3.96,1810.625
-4.64,1810.458
-4.89,1810.291
-4.98,1810.125
-4.86,1809.958
-4.5,1809.791
-4.23,1809.625
-4.57,1809.458
-5.23,1809.291
-5.05,1809.125
-4.66,1808.958
-4.44,1808.791
-4.24,1808.625
-4.69,1808.458
-4.81,1808.291
-4.72,1808.125
-4.44,1807.958
-4.1,1807.791
-3.98,1807.625
-4.54,1807.458
-4.85,1807.291
-4.82,1807.125
-4.53,1806.958
-4.18,1806.791
-4.02,1806.625
-4.65,1806.458
-4.97,1806.291
-4.93,1806.125
-4.66,1805.958
-4.32,1805.791
-3.96,1805.625
-4.51,1805.458
-4.83,1805.291
-4.81,1805.125
-4.51,1804.958
-4.18,1804.791
-4.06,1804.625
-4.58,1804.458
-4.83,1804.291
-4.84,1804.125
-4.66,1803.958
-4.37,1803.791
-4.06,1803.625
-4.32,1803.458
-4.66,1803.291
-4.71,1803.125
-4.52,1802.958
-4.23,1802.791
-3.83,1802.625
-4.35,1802.458
-4.98,1802.291
-4.96,1802.125
-4.5,1801.958
-4.07,1801.791
-4.05,1801.625
-4.59,1801.458
-5.01,1801.291
-5.02,1801.125
-4.66,1800.958
-4.22,1800.791
-4.14,1800.625
-4.48,1800.458
-4.84,1800.291
-4.89,1800.125
-4.69,1799.958
-4.39,1799.791
-3.96,1799.625
-4.19,1799.458
-4.74,1799.291
-5.01,1799.125
-4.85,1798.958
-4.46,1798.791
-4.18,1798.625
-4.33,1798.458
