d18O (permil),year (AD),depth (mm),year (AD) [1-2],d18O (permil) [1-2],depth (mm) [1-2],d18O (permil) [1-2],d18O (permil) [1-3],year (AD) [1-3],d18O (permil) [1-3]
-4.2339,2002.916667,17,2002.916667,-6.3,58.4,NA,NA,NA,NA
-5.4922,2002.833333,17.4,2002.833333,-6.191,58.9,NA,NA,NA,NA
-5.07,2002.75,17.8,2002.75,-6,59.3,NA,NA,NA,NA
-4.386,2002.666667,18.1,2002.666667,-6.107,59.7,NA,NA,NA,NA
-4.6348,2002.583333,18.4,2002.583333,-6.213,60.1,NA,NA,NA,NA
-4.8905,2002.5,18.7,2002.5,-5.862,60.6,NA,NA,NA,NA
-5.15,2002.416667,19,2002.416667,-5.733,61,NA,NA,NA,NA
-5.0122,2002.333333,19.3,2002.333333,-5.551,61.7,NA,NA,NA,NA
-5.0022,2002.25,19.7,2002.25,-5.671,62.4,NA,NA,NA,NA
-4.9751,2002.166667,20.4,2002.166667,-5.311,63.3,NA,NA,NA,NA
-4.8845,2002.083333,21.3,2002.083333,-5.368,64.4,NA,NA,NA,NA
-4.868,2002,21.8,2002,-5.384,64.8,NA,NA,NA,NA
-4.9043,2001.916667,22.2,2001.916667,-5.409,65.2,NA,NA,NA,NA
-4.8935,2001.833333,22.6,2001.833333,-5.47,65.5,NA,NA,NA,NA
-5.0223,2001.75,22.7,2001.75,-5.474,65.5,NA,NA,NA,NA
-5.1511,2001.666667,22.9,2001.666667,-5.422,65.6,NA,NA,NA,NA
-5.1941,2001.583333,23.1,2001.583333,-5.371,65.7,NA,NA,NA,NA
-5.1174,2001.5,23.2,2001.5,-5.319,65.8,NA,NA,NA,NA
-5.0407,2001.416667,23.4,2001.416667,-5.268,65.9,NA,NA,NA,NA
-4.9936,2001.333333,23.6,2001.333333,-5.19,66,NA,NA,NA,NA
-5.5415,2001.25,24.5,2001.25,-4.842,66.5,NA,NA,NA,NA
-5.6178,2001.166667,25.3,2001.166667,-5.623,67.5,NA,NA,NA,NA
-5.8226,2001.083333,25.8,2001.083333,-6.248,69.3,NA,NA,NA,NA
-5.8789,2001,26.2,2001,-6.284,69.8,NA,NA,NA,NA
-5.8641,2000.916667,26.5,2000.916667,-6.009,70.1,NA,NA,NA,NA
-5.8469,2000.833333,26.7,2000.833333,-5.313,70.4,NA,NA,NA,NA
-5.8292,2000.75,27,2000.75,-5.118,70.7,NA,NA,NA,NA
-5.9287,2000.666667,27.2,2000.666667,-5.063,70.8,NA,NA,NA,NA
-6.0558,2000.583333,27.4,2000.583333,-5.012,71,NA,NA,NA,NA
-6.1013,2000.5,27.6,2000.5,-5.089,71.2,NA,NA,NA,NA
-6.0314,2000.416667,27.8,2000.416667,-5.167,71.3,NA,NA,NA,NA
-5.9614,2000.333333,28,2000.333333,-5.247,71.5,NA,NA,NA,NA
-5.5793,2000.25,29.1,2000.25,-5.384,72,NA,NA,NA,NA
-5.408,2000.166667,29.8,2000.166667,-5.287,72.5,NA,NA,NA,NA
-5.2368,2000.083333,30.2,2000.083333,-5.449,73,NA,NA,NA,NA
-5.0882,2000,30.6,2000,-5.262,73.5,NA,NA,NA,NA
-5.4221,1999.916667,31.2,1999.916667,-5.478,74.2,NA,NA,NA,NA
-5.2007,1999.833333,32.4,1999.833333,-5.406,74.7,NA,NA,NA,NA
-5.522,1999.75,35,1999.75,-5.493,75.1,NA,NA,NA,NA
-5.8117,1999.666667,37.5,1999.666667,-5.802,75.5,NA,NA,NA,NA
-5.5904,1999.583333,38.2,1999.583333,-5.937,75.6,NA,NA,NA,NA
-5.2734,1999.5,38.9,1999.5,-6.04,75.8,NA,NA,NA,NA
-4.9127,1999.416667,39.6,1999.416667,-6.142,75.9,NA,NA,NA,NA
-4.8918,1999.333333,40.3,1999.333333,-6.182,76.1,NA,NA,NA,NA
-4.9223,1999.25,41,1999.25,-6.14,76.2,NA,NA,NA,NA
-4.9527,1999.166667,41.6,1999.166667,-6.099,76.4,NA,NA,NA,NA
-4.9832,1999.083333,41.9,1999.083333,-4.889,78.3,NA,NA,NA,NA
-5.0137,1999,42.3,1999,-5.682,80.5,NA,NA,NA,NA
-5.1105,1998.916667,43.1,1998.916667,-5.911,81.1,NA,NA,NA,NA
-5.5944,1998.833333,44.1,1998.833333,-5.509,81.6,NA,NA,NA,NA
-5.7208,1998.75,44.6,1998.75,-5.589,81.8,NA,NA,NA,NA
-5.8005,1998.666667,45.1,1998.666667,-5.669,81.9,NA,NA,NA,NA
-5.8522,1998.583333,45.6,1998.583333,-5.679,82.1,NA,NA,NA,NA
-5.9126,1998.5,46.1,1998.5,-5.616,82.2,NA,NA,NA,NA
-6.0466,1998.416667,46.5,1998.416667,-5.553,82.4,NA,NA,NA,NA
-5.8087,1998.333333,47,1998.333333,-5.49,82.5,NA,NA,NA,NA
-5.1191,1998.25,49,1998.25,-5.937,85.1,NA,NA,NA,NA
-5.272,1998.166667,50.9,1998.166667,-5.609,87,NA,NA,NA,NA
-5.4073,1998.083333,52.8,1998.083333,-5.313,87.7,NA,NA,NA,NA
-5.0528,1998,54.6,1998,-5.311,88.5,NA,NA,NA,NA
-5.3601,1997.916667,55.8,1997.916667,-6.296,89.5,NA,NA,NA,NA
-5.8043,1997.833333,56.8,1997.833333,-5.938,90.5,NA,NA,NA,NA
-5.7737,1997.75,57.2,1997.75,-6.11,90.9,NA,NA,NA,NA
-5.7317,1997.666667,57.3,1997.666667,-6.283,91,NA,NA,NA,NA
-5.6897,1997.583333,57.5,1997.583333,-6.33,91.1,NA,NA,NA,NA
-5.8799,1997.5,57.7,1997.5,-6.372,91.3,NA,NA,NA,NA
-6.0923,1997.416667,57.8,1997.416667,-6.414,91.4,NA,NA,NA,NA
-6.2717,1997.333333,58.1,1997.333333,-6.376,91.5,NA,NA,NA,NA
-5.3363,1997.25,60.1,1997.25,-5.451,94.1,NA,NA,NA,NA
-4.9296,1997.166667,62.2,1997.166667,-5.171,95.9,NA,NA,NA,NA
-4.8017,1997.083333,64.3,1997.083333,-5.192,97,NA,NA,NA,NA
-4.876,1997,66.3,1997,-5.27,98,NA,NA,NA,NA
-4.8825,1996.916667,67.9,1996.916667,-5.702,98.4,NA,NA,NA,NA
-5.0568,1996.833333,69.4,1996.833333,-6.07,98.7,NA,NA,NA,NA
-5.0677,1996.75,70.7,1996.75,-6.271,99.2,NA,NA,NA,NA
-5.7523,1996.666667,72,1996.666667,-6.254,99.6,NA,NA,NA,NA
-5.7118,1996.583333,73.3,1996.583333,-6.239,100,NA,NA,NA,NA
-5.732,1996.5,74.6,1996.5,-5.906,100.5,NA,NA,NA,NA
-5.4686,1996.416667,75.7,1996.416667,-5.736,100.7,NA,NA,NA,NA
-5.1749,1996.333333,76.9,1996.333333,-5.573,100.9,NA,NA,NA,NA
-4.7659,1996.25,78.1,1996.25,-5.431,101.1,NA,NA,NA,NA
-4.6783,1996.166667,79.4,1996.166667,-5.317,101.3,NA,NA,NA,NA
-4.4943,1996.083333,80.8,1996.083333,-5.203,101.4,NA,NA,NA,NA
-4.6576,1996,82.3,1996,-5.098,101.5,NA,NA,NA,NA
-4.861,1995.916667,84.1,1995.916667,-5.075,101.8,NA,NA,NA,NA
-5.48,1995.833333,85.9,1995.833333,-5.052,102,NA,NA,NA,NA
-6.0251,1995.75,87.7,1995.75,-5.364,102.3,NA,NA,NA,NA
-5.9762,1995.666667,89.4,1995.666667,-5.554,102.7,NA,NA,NA,NA
-6.067,1995.583333,91.1,1995.583333,-5.534,103,NA,NA,NA,NA
-6.0949,1995.5,92,1995.5,-5.174,103.3,NA,NA,NA,NA
-5.9971,1995.416667,92.8,1995.416667,-4.946,103.6,NA,NA,NA,NA
-5.6533,1995.333333,93.6,1995.333333,-4.964,103.9,NA,NA,NA,NA
-5.1322,1995.25,94.4,1995.25,-4.97,104.2,NA,NA,NA,NA
-4.9237,1995.166667,95.1,1995.166667,-4.967,104.6,NA,NA,NA,NA
-4.9613,1995.083333,95.7,1995.083333,-4.944,104.9,NA,NA,NA,NA
-4.9384,1995,96.1,1995,-5.073,105.5,NA,NA,NA,NA
-4.909,1994.916667,96.2,1994.916667,-5.059,106.1,NA,NA,NA,NA
-4.8797,1994.833333,96.3,1994.833333,-5.767,106.6,NA,NA,NA,NA
-4.8503,1994.75,96.4,1994.75,-5.85,107.2,NA,NA,NA,NA
-4.8177,1994.666667,96.5,1994.666667,-6.036,107.8,NA,NA,NA,NA
-4.7761,1994.583333,96.7,1994.583333,-5.817,108.3,NA,NA,NA,NA
-4.7346,1994.5,96.8,1994.5,-5.548,108.9,NA,NA,NA,NA
-4.6931,1994.416667,96.9,1994.416667,-5.52,109.4,NA,NA,NA,NA
-4.8178,1994.333333,97.1,1994.333333,-5.467,110,NA,NA,NA,NA
-5.3046,1994.25,97.8,1994.25,-5.294,111.2,NA,NA,NA,NA
-5.1899,1994.166667,98.6,1994.166667,-5.22,112.2,NA,NA,NA,NA
-5.2826,1994.083333,99.3,1994.083333,-4.993,113.1,NA,NA,NA,NA
-5.1734,1994,100.1,1994,-4.983,114,NA,NA,NA,NA
-5.2128,1993.916667,100.8,1993.916667,-5.206,114.7,NA,NA,NA,NA
-5.5341,1993.833333,101.4,1993.833333,-5.306,115.4,NA,NA,NA,NA
-5.7657,1993.75,103,1993.75,-5.452,115.6,NA,NA,NA,NA
-6.0563,1993.666667,104.7,1993.666667,-5.548,115.8,NA,NA,NA,NA
-6.0433,1993.583333,106.4,1993.583333,-5.643,116,NA,NA,NA,NA
-5.9819,1993.5,108.1,1993.5,-5.788,116.1,NA,NA,NA,NA
-5.6079,1993.416667,109.8,1993.416667,-5.95,116.3,NA,NA,NA,NA
-5.5229,1993.333333,111.5,1993.333333,-6.103,116.5,NA,NA,NA,NA
-4.9816,1993.25,114.8,1993.25,-5.522,118.4,NA,NA,NA,NA
-5.3977,1993.166667,116.8,1993.166667,-5.023,119.7,NA,NA,NA,NA
-5.235,1993.083333,117.6,1993.083333,-4.279,120.5,NA,NA,NA,NA
-5.1004,1993,118.6,1993,-5.234,121.1,NA,NA,NA,NA
NA,1992.916667,NA,1992.916667,-5.098,121.8,NA,NA,NA,NA
NA,1992.833333,NA,1992.833333,-5.051,122.4,NA,NA,NA,NA
NA,1992.75,NA,1992.75,-5.069,122.9,NA,NA,NA,NA
NA,1992.666667,NA,1992.666667,-5.149,123.1,NA,NA,NA,NA
NA,1992.583333,NA,1992.583333,-5.253,123.4,NA,NA,NA,NA
NA,1992.5,NA,1992.5,-5.387,123.7,NA,NA,NA,NA
NA,1992.416667,NA,1992.416667,-5.531,124,NA,NA,NA,NA
NA,1992.333333,NA,1992.333333,-5.581,124.1,NA,NA,NA,NA
NA,1992.25,NA,1992.25,-5.63,124.2,NA,NA,NA,NA
NA,1992.166667,NA,1992.166667,-5.68,124.3,NA,NA,NA,NA
NA,1992.083333,NA,1992.083333,-5.73,124.4,NA,NA,NA,NA
NA,1992,NA,1992,-5.78,124.5,NA,NA,NA,NA
NA,1991.916667,NA,1991.916667,-5.86,124.6,NA,NA,NA,NA
NA,1991.833333,NA,1991.833333,-5.939,124.7,NA,NA,NA,NA
NA,1991.75,NA,1991.75,-5.833,125.2,NA,NA,NA,NA
NA,1991.666667,NA,1991.666667,-5.318,125.8,NA,NA,NA,NA
NA,1991.583333,NA,1991.583333,-4.964,126.3,NA,NA,NA,NA
NA,1991.5,NA,1991.5,-5.14,126.9,NA,NA,NA,NA
NA,1991.416667,NA,1991.416667,-5.334,127.5,NA,NA,NA,NA
NA,1991.333333,NA,1991.333333,-5.433,128.1,NA,NA,NA,NA
NA,1991.25,NA,1991.25,-5.26,129.5,NA,NA,NA,NA
NA,1991.166667,NA,1991.166667,-5.462,130.4,NA,NA,NA,NA
NA,1991.083333,NA,1991.083333,-5.234,130.9,NA,NA,NA,NA
NA,1991,NA,1991,-5.067,132.6,NA,NA,NA,NA
NA,1990.916667,NA,1990.916667,-5.05,134.5,NA,NA,NA,NA
NA,1990.833333,NA,1990.833333,-5.526,134.8,NA,NA,NA,NA
NA,1990.75,NA,1990.75,-5.902,135.1,NA,NA,NA,NA
NA,1990.666667,NA,1990.666667,-6.103,135.2,NA,NA,NA,NA
NA,1990.583333,NA,1990.583333,-6.304,135.4,NA,NA,NA,NA
NA,1990.5,NA,1990.5,-6.325,135.6,NA,NA,NA,NA
NA,1990.416667,NA,1990.416667,-6.182,135.8,NA,NA,NA,NA
NA,1990.333333,NA,1990.333333,-6.038,135.9,NA,NA,NA,NA
NA,1990.25,NA,1990.25,-6.109,136.9,NA,NA,NA,NA
NA,1990.166667,NA,1990.166667,-5.597,137.6,NA,NA,NA,NA
NA,1990.083333,NA,1990.083333,-5.422,138.1,NA,NA,NA,NA
NA,1990,NA,1990,-5.369,138.5,NA,NA,NA,NA
NA,1989.916667,NA,1989.916667,-5.469,139.5,NA,NA,NA,NA
NA,1989.833333,NA,1989.833333,-5.393,140.5,NA,NA,NA,NA
NA,1989.75,NA,1989.75,-5.492,140.8,NA,NA,NA,NA
NA,1989.666667,NA,1989.666667,-5.577,141,NA,NA,NA,NA
NA,1989.583333,NA,1989.583333,-5.541,141.1,NA,NA,NA,NA
NA,1989.5,NA,1989.5,-5.504,141.2,NA,NA,NA,NA
NA,1989.416667,NA,1989.416667,-5.468,141.3,NA,NA,NA,NA
NA,1989.333333,NA,1989.333333,-5.431,141.4,NA,NA,NA,NA
NA,1989.25,NA,1989.25,-5.394,141.5,NA,NA,NA,NA
NA,1989.166667,NA,1989.166667,-5.138,142.4,NA,NA,NA,NA
NA,1989.083333,NA,1989.083333,-4.841,143.5,NA,NA,NA,NA
NA,1989,NA,1989,-4.988,144.5,NA,NA,NA,NA
NA,1988.916667,NA,1988.916667,-5.094,145.5,NA,NA,NA,NA
NA,1988.833333,NA,1988.833333,-5.302,146.5,NA,NA,NA,NA
NA,1988.75,NA,1988.75,-5.725,147,NA,NA,NA,NA
NA,1988.666667,NA,1988.666667,-5.811,147.1,NA,NA,NA,NA
NA,1988.583333,NA,1988.583333,-5.896,147.2,NA,NA,NA,NA
NA,1988.5,NA,1988.5,-5.982,147.3,NA,NA,NA,NA
NA,1988.416667,NA,1988.416667,-6.068,147.4,NA,NA,NA,NA
NA,1988.333333,NA,1988.333333,-6.142,147.5,NA,NA,NA,NA
NA,1988.25,NA,1988.25,-5.945,148.1,NA,NA,NA,NA
NA,1988.166667,NA,1988.166667,-5.898,148.3,NA,NA,NA,NA
NA,1988.083333,NA,1988.083333,-5.851,148.3,NA,NA,NA,NA
NA,1988,NA,1988,-5.804,148.4,NA,NA,NA,NA
NA,1987.916667,NA,1987.916667,-5.605,148.6,NA,NA,NA,NA
NA,1987.833333,NA,1987.833333,-5.317,150.6,NA,NA,NA,NA
NA,1987.75,NA,1987.75,-5.416,150.8,NA,NA,NA,NA
NA,1987.666667,NA,1987.666667,-5.516,151,NA,NA,NA,NA
NA,1987.583333,NA,1987.583333,-5.533,151.2,NA,NA,NA,NA
NA,1987.5,NA,1987.5,-5.537,151.3,NA,NA,NA,NA
NA,1987.416667,NA,1987.416667,-5.538,151.5,NA,NA,NA,NA
NA,1987.333333,NA,1987.333333,-5.414,151.9,NA,NA,NA,NA
NA,1987.25,NA,1987.25,-5.356,152.2,NA,NA,NA,NA
NA,1987.166667,NA,1987.166667,-5.3,152.6,NA,NA,NA,NA
NA,1987.083333,NA,1987.083333,-5.172,153,NA,NA,NA,NA
NA,1987,NA,1987,-5.229,154.1,NA,NA,NA,NA
-4.7801,1986.916667,190.7,1986.916667,-5.213,155.2,NA,NA,NA,NA
-4.9417,1986.833333,191.1,1986.833333,-5.851,156.4,NA,NA,NA,NA
-5.0501,1986.75,191.4,1986.75,-5.914,157.4,NA,NA,NA,NA
-5.1868,1986.666667,191.6,1986.666667,-5.867,158.4,NA,NA,NA,NA
-5.3617,1986.583333,191.9,1986.583333,-5.657,159.5,NA,NA,NA,NA
-5.5021,1986.5,192.1,1986.5,-5.499,160.5,NA,NA,NA,NA
-5.5638,1986.416667,192.3,1986.416667,-5.5,161.5,NA,NA,NA,NA
-5.6885,1986.333333,192.8,1986.333333,-6.304,162.5,NA,NA,NA,NA
-5.2213,1986.25,194,1986.25,-5.561,164.5,NA,NA,NA,NA
-4.8855,1986.166667,195.1,1986.166667,-5.143,166.1,NA,NA,NA,NA
-4.7571,1986.083333,196.1,1986.083333,-5.065,167.5,NA,NA,NA,NA
-4.7496,1986,196.7,1986,-5.399,167.7,NA,NA,NA,NA
-4.9009,1985.916667,197,1985.916667,-5.76,168,NA,NA,NA,NA
-5.0979,1985.833333,197.3,1985.833333,-5.851,168.3,NA,NA,NA,NA
-5.2921,1985.75,197.6,1985.75,-5.941,168.4,NA,NA,NA,NA
-5.4467,1985.666667,197.9,1985.666667,-5.995,168.6,NA,NA,NA,NA
-5.5178,1985.583333,198.1,1985.583333,-6.005,168.7,NA,NA,NA,NA
-5.484,1985.5,198.4,1985.5,-6.014,168.8,NA,NA,NA,NA
-5.4696,1985.416667,198.7,1985.416667,-6.024,168.9,NA,NA,NA,NA
-5.4225,1985.333333,199.1,1985.333333,-5.927,169.1,NA,NA,NA,NA
-5.108,1985.25,200.8,1985.25,-5.621,171.7,NA,NA,NA,NA
-5.0464,1985.166667,202.1,1985.166667,-5.116,173.1,NA,NA,NA,NA
-4.8226,1985.083333,203.1,1985.083333,-5.067,174.1,NA,NA,NA,NA
-4.9609,1985,204,1985,-4.056,175,NA,NA,NA,NA
-5.2547,1984.916667,204.2,1984.916667,-4.398,175.5,NA,NA,NA,NA
-5.5485,1984.833333,204.4,1984.833333,-5.539,175.9,NA,NA,NA,NA
-5.6496,1984.75,204.6,1984.75,-5.609,176.6,NA,NA,NA,NA
-5.6561,1984.666667,204.8,1984.666667,-5.905,177.4,NA,NA,NA,NA
-5.6625,1984.583333,205,1984.583333,-5.268,178.2,NA,NA,NA,NA
-5.7302,1984.5,205.2,1984.5,-5.176,178.9,NA,NA,NA,NA
-5.8081,1984.416667,205.3,1984.416667,-5.381,179.7,NA,NA,NA,NA
-5.884,1984.333333,205.6,1984.333333,-5,180.5,NA,NA,NA,NA
-5.0268,1984.25,207.7,1984.25,-5.062,181.3,NA,NA,NA,NA
-5.2748,1984.166667,209.2,1984.166667,-4.521,182.8,NA,NA,NA,NA
-5.2112,1984.083333,209.9,1984.083333,-4.205,185.2,NA,NA,NA,NA
-4.7244,1984,210.5,1984,-4.357,187.6,NA,NA,NA,NA
-4.7723,1983.916667,211.2,1983.916667,-4.952,190.4,NA,NA,NA,NA
-5.078,1983.833333,211.8,1983.833333,-5.051,193.2,NA,NA,NA,NA
-5.7166,1983.75,212.4,1983.75,-5.84,193.9,NA,NA,NA,NA
-5.7698,1983.666667,212.9,1983.666667,-6.083,194.5,NA,NA,NA,NA
-5.6855,1983.583333,213.3,1983.583333,-5.961,194.7,NA,NA,NA,NA
-5.5412,1983.5,213.7,1983.5,-5.839,194.9,NA,NA,NA,NA
-5.3854,1983.416667,214.1,1983.416667,-5.709,195,NA,NA,NA,NA
-5.3272,1983.333333,214.5,1983.333333,-5.518,195.2,NA,NA,NA,NA
-5.2689,1983.25,214.9,1983.25,-5.326,195.3,NA,NA,NA,NA
-5.0484,1983.166667,215.4,1983.166667,-5.335,196.2,NA,NA,NA,NA
-4.9638,1983.083333,216,1983.083333,-5.4,197.6,NA,NA,NA,NA
-4.9383,1983,216.6,1983,-4.834,199,NA,NA,NA,NA
-4.7895,1982.916667,217.1,1982.916667,-5.098,199.4,NA,NA,NA,NA
-4.8707,1982.833333,217.6,1982.833333,-5.296,199.9,NA,NA,NA,NA
-4.9994,1982.75,217.9,1982.75,-5.553,200.2,NA,NA,NA,NA
-5.2485,1982.666667,218.2,1982.666667,-5.847,200.5,NA,NA,NA,NA
-5.6695,1982.583333,218.5,1982.583333,-5.976,200.7,NA,NA,NA,NA
-5.6503,1982.5,218.9,1982.5,-6.069,201,NA,NA,NA,NA
-5.631,1982.416667,219.2,1982.416667,-5.92,201.3,NA,NA,NA,NA
-5.6501,1982.333333,219.5,1982.333333,-5.719,201.5,NA,NA,NA,NA
-5.7997,1982.25,220,1982.25,-5.317,202.3,NA,NA,NA,NA
