d18O (permil),year (AD),d18OUncertainty (permil),d18O (permil) [1-2],year (AD) [1-2],count_analyses_B3 () [1-2],d18OUncertainty (permil) [1-2],d18O (permil) [1-3],year (AD) [1-3],count_analyses_C2 () [1-3],d18O (permil) [1-4],year (AD) [1-4],count_analyses_C3 () [1-4],d18O (permil) [1-5],year (AD) [1-5],count_analyses_C5 () [1-5],notes_C5 () [1-5],d18O (permil) [1-6],year (AD) [1-6],count_analyses_C6 () [1-6],d18O (permil) [1-6]
-6.22,-4290,0.03,-6.24,-3040,2,0.01,-4.29,-11680,1,NA,NA,NA,-5.15,-13350,1,NA,NA,-15270,1,-5.52
-6.24,-4390,0.01,-6.22,-3100,2,0.02,NA,NA,NA,NA,NA,NA,-5.25,-13720,1,NA,NA,-15340,1,-4.93
-6.39,-4490,NA,-6.18,-3150,2,0.01,NA,NA,NA,NA,NA,NA,-5.3,-13840,1,NA,NA,-15410,1,-4.99
-6.35,-4590,NA,-6.14,-3210,2,0.01,NA,NA,NA,NA,NA,NA,-5.24,-13990,1,NA,NA,-15480,1,-5.27
-6.15,-4690,NA,-6.25,-3270,2,0.01,NA,NA,NA,NA,NA,NA,-5.43,-14150,1,NA,NA,-15550,1,-5.09
-6.31,-4790,NA,-6.36,-3330,2,0.03,NA,NA,NA,NA,NA,NA,-5.34,-14310,1,NA,0.02,-17450,3,-5.29
-6.16,-4890,NA,-6.25,-3380,2,0.01,NA,NA,NA,NA,NA,NA,-5.03,-14470,1,NA,0.02,-17490,3,-4.93
-6.14,-4990,NA,-6.18,-3450,2,0.03,NA,NA,NA,NA,NA,NA,-5.07,-14550,1,NA,0.02,-17530,2,-5.56
-6.31,-5090,NA,-6.22,-3520,2,0.02,NA,NA,NA,NA,NA,NA,-4.87,-14580,1,NA,0.03,-17580,2,-5.62
-6.12,-5190,NA,-6.22,-3600,2,0.01,NA,NA,NA,NA,NA,NA,-5.06,-14620,1,NA,0.01,-17620,2,-5.61
-6.19,-5290,NA,-6.29,-3680,2,0.04,NA,NA,NA,NA,NA,NA,-4.97,-14700,1,NA,0.02,-17660,2,-5.59
-6.23,-5390,NA,-6.44,-3750,2,0.02,NA,NA,NA,NA,NA,NA,-4.85,-14780,1,NA,0.01,-17710,2,-5.61
-6.2,-5490,NA,-6.39,-3830,2,0.02,NA,NA,NA,NA,NA,NA,-5.03,-14870,1,NA,0,-17750,2,-5.63
-6.2,-5590,NA,-6.16,-3900,2,0.01,NA,NA,NA,NA,NA,NA,-5.1,-14950,1,NA,0.01,-17790,2,-5.62
-6.1,-5690,NA,-6.14,-3980,2,0.03,NA,NA,NA,NA,NA,NA,-5.12,-15030,1,NA,0.02,-17840,2,-5.54
-6.23,-5790,NA,-6.31,-4060,2,0.02,NA,NA,NA,NA,NA,NA,-5.13,-15110,1,Sample corrected for aragonite,0.01,-17890,3,-5.6
-5.83,-5890,NA,-6.09,-4150,2,0.01,NA,NA,NA,NA,NA,NA,-5.22,-15200,1,Sample corrected for aragonite,0.01,-17970,2,-5.71
-6.08,-5990,NA,-6.34,-4240,2,0.01,NA,NA,NA,NA,NA,NA,-5.16,-15280,1,Sample corrected for aragonite,0.01,-18040,2,-5.58
-5.91,-6090,NA,-6.17,-4330,2,0.05,NA,NA,NA,NA,NA,NA,-5.17,-15360,1,Sample corrected for aragonite,0.04,-18120,2,-5.16
-5.84,-6190,NA,-6.27,-4420,2,0.02,NA,NA,NA,NA,NA,NA,-5.3,-15440,1,Sample corrected for aragonite,0.01,-18200,2,-5.36
-5.51,-6290,NA,-6.41,-4500,2,0.02,NA,NA,NA,NA,NA,NA,-5.19,-15520,1,Sample corrected for aragonite,0.01,-18280,2,-5.22
-5.58,-6390,NA,-6.35,-4590,2,0,NA,NA,NA,NA,NA,NA,-5.05,-15610,1,Sample corrected for aragonite,0.02,-18360,2,-5.2
-5.73,-6490,NA,-6.34,-4640,2,0.01,NA,NA,NA,NA,NA,NA,-4.75,-15690,1,Sample corrected for aragonite,0.04,-18450,2,-5.22
-5.65,-6590,0.13,-6.13,-4680,2,0.04,NA,NA,NA,NA,NA,NA,-4.53,-15770,1,Sample corrected for aragonite,0.02,-18530,2,-5.34
-5.6,-6690,0.2,-6.23,-4730,2,0.01,NA,NA,NA,NA,NA,NA,-4.58,-15850,1,Sample corrected for aragonite,0.02,-18610,3,-5.54
-5.75,-6790,0.03,-6.31,-4770,2,0.01,NA,NA,NA,NA,NA,NA,-4.77,-15940,1,Sample corrected for aragonite,0.03,-18700,2,-5.39
-5.56,-6890,0.03,-6.32,-4820,2,0.01,NA,NA,NA,NA,NA,NA,-4.53,-16020,1,Sample corrected for aragonite,0.01,-18780,2,-5.35
-5.61,-6990,0,-5.93,-4860,2,0,NA,NA,NA,NA,NA,NA,-4.4,-16100,1,Sample corrected for aragonite,0.01,-18860,2,-5.41
-5.57,-7090,0.02,-6.26,-4900,2,0.02,NA,NA,NA,NA,NA,NA,-4.47,-16180,1,Sample corrected for aragonite,0,-18950,2,-5.23
-5.45,-7190,0.04,-6.05,-4950,2,0.01,NA,NA,NA,NA,NA,NA,-4.45,-16260,1,Sample corrected for aragonite,0.01,-19030,2,-5.21
-5.44,-7290,0.1,-6.14,-4990,2,0,NA,NA,NA,NA,NA,NA,-4.6,-16340,1,Sample corrected for aragonite,0.01,-19110,2,-5.42
-5.34,-7390,0.15,-6.37,-5040,2,0.02,NA,NA,NA,NA,NA,NA,-4.52,-16420,1,Sample corrected for aragonite,0.03,-19190,4,-5.22
-5.1,-7490,0.02,-6.32,-5090,2,0.01,NA,NA,NA,NA,NA,NA,-4.73,-16490,1,Sample corrected for aragonite,0.03,-19280,2,-5.47
-5.1,-7590,0.11,-6.09,-5140,2,0,NA,NA,NA,NA,NA,NA,-4.97,-16570,1,Sample corrected for aragonite,0,-19360,2,-5.4
-4.94,-7690,0.15,-6.12,-5200,2,0.03,NA,NA,NA,NA,NA,NA,-4.8,-16650,1,Sample corrected for aragonite,0.04,-19440,2,-5.4
-5.19,-7790,0.06,-6.11,-5250,2,0.01,NA,NA,NA,NA,NA,NA,-5.07,-16730,1,Sample corrected for aragonite,0.01,-19530,2,-5.62
-4.91,-7890,0.14,-6.21,-5300,2,0.01,NA,NA,NA,NA,NA,NA,-5.09,-16810,1,Sample corrected for aragonite,0.05,-19610,2,-5.42
-4.98,-7990,0.04,-6.26,-5360,2,0,NA,NA,NA,NA,NA,NA,-5.11,-16890,1,Sample corrected for aragonite,0.01,-19690,2,-5.38
-4.81,-8090,0.19,-6.22,-5410,2,0.01,NA,NA,NA,NA,NA,NA,-4.98,-16970,1,Sample corrected for aragonite,0.01,-19770,2,-5.48
-4.91,-8190,0.05,-6.17,-5460,3,0.06,NA,NA,NA,NA,NA,NA,-4.89,-17050,1,Sample corrected for aragonite,0,-19850,2,-5.68
-4.91,-8290,0.02,-6.23,-5520,2,0.03,NA,NA,NA,NA,NA,NA,-4.62,-17130,1,Sample corrected for aragonite,0,-19910,2,-5.51
-4.81,-8390,0.03,-6.25,-5570,2,0.02,NA,NA,NA,NA,NA,NA,-5.47,-17200,1,Sample corrected for aragonite,0,-19970,2,-5.3
-4.74,-8490,0.06,-6.12,-5620,2,0.02,NA,NA,NA,NA,NA,NA,-5.43,-17280,1,Sample corrected for aragonite,0.01,-20040,2,-5.21
-4.78,-8590,0.11,-6.09,-5680,2,0.04,NA,NA,NA,NA,NA,NA,-5.49,-17360,1,Sample corrected for aragonite,0.02,-20100,2,-5.33
-4.54,-8690,0.07,-6.13,-5720,2,0.02,NA,NA,NA,NA,NA,NA,-5.69,-17390,1,Sample corrected for aragonite,0.01,-20160,2,-5.07
-4.5,-8790,0.06,-6.2,-5750,2,0.01,NA,NA,NA,NA,NA,NA,-5.41,-17420,1,Sample corrected for aragonite,0.01,-20230,2,-5.19
-4.53,-8890,0.07,-6.23,-5790,2,0.04,NA,NA,NA,NA,NA,NA,-4.8,-17440,1,Sample corrected for aragonite,0.01,-20290,2,-5.24
-4.47,-8990,0.13,-6.22,-5830,2,0.02,NA,NA,NA,NA,NA,NA,-4.76,-17850,1,NA,0.01,-20360,2,-5.28
-4.34,-9090,0.1,-5.8,-5870,2,0,NA,NA,NA,NA,NA,NA,-4.72,-18000,1,NA,0.01,-20420,2,-5.22
-4.31,-9190,0.06,-5.86,-5920,2,0.02,NA,NA,NA,NA,NA,NA,-4.85,-18110,1,NA,0.01,-20480,2,-5.07
-4.32,-9290,0.07,-6.09,-5990,2,0.01,NA,NA,NA,NA,NA,NA,-4.84,-18130,1,NA,0.01,-20550,2,-5.13
-4.29,-9390,0.05,-5.96,-6060,2,0.01,NA,NA,NA,NA,NA,NA,-4.95,-18230,1,NA,0.03,-20630,2,-5.15
-4.55,-9490,0.09,-5.83,-6140,2,0.01,NA,NA,NA,NA,NA,NA,-5.05,-18470,1,NA,0.04,-20700,2,-4.99
-4.65,-9590,0.04,-5.76,-6160,2,0.06,NA,NA,NA,NA,NA,NA,-5.17,-18710,1,NA,0.01,-20760,2,-5.17
-4.55,-9690,0.06,-5.97,-6170,1,–,NA,NA,NA,NA,NA,NA,-5.21,-18950,1,NA,0,-20830,2,-4.96
-4.79,-9790,0.01,-5.82,-6190,1,–,NA,NA,NA,NA,NA,NA,-5.19,-19150,1,NA,0.02,-20900,2,-5.16
-4.72,-9890,0.07,-5.77,-6220,1,–,NA,NA,NA,NA,NA,NA,-5.24,-19320,1,NA,0,-20960,2,-5.1
-4.78,-9990,0.03,-5.73,-6240,1,–,NA,NA,NA,NA,NA,NA,-5.25,-19490,1,NA,0,-21030,2,-4.96
-4.71,-10090,0.08,-5.83,-6270,2,0.04,NA,NA,NA,NA,NA,NA,-5.16,-19660,1,NA,0.04,-21100,2,-5.15
-4.83,-10190,0.08,-5.43,-6300,2,0.02,NA,NA,NA,NA,NA,NA,-4.95,-19830,1,NA,0.03,-21160,2,-5.12
-4.76,-10290,0.09,-5.37,-6340,2,0.01,NA,NA,NA,NA,NA,NA,-5.11,-20010,1,NA,0.01,-21230,2,-5.18
-4.72,-10390,0.04,-5.63,-6400,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-21300,2,-5.22
-4.74,-10490,0.1,-5.73,-6470,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,-21360,2,-5.15
-4.77,-10590,0.12,-5.72,-6540,2,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,-21430,2,-5.11
-4.86,-10690,0.05,-5.8,-6600,2,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,-21500,2,-4.9
-4.79,-10790,0.05,-5.75,-6670,2,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,-21560,2,-4.99
-4.75,-10890,0.05,-5.92,-6740,2,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.63,-10990,0.02,-5.76,-6800,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.66,-11090,0.01,-5.75,-6850,2,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.64,-11190,0.06,-5.49,-6900,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.53,-11290,0.02,-5.57,-6970,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.58,-11390,0.02,-5.7,-7040,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.59,-11490,0.05,-5.49,-7110,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.47,-11590,0.06,-5.4,-7180,2,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.52,-11690,0,-5.45,-7210,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.64,-11790,NA,-5.47,-7220,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.59,-11890,NA,-5.24,-7240,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.57,-11990,NA,-5.4,-7320,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.67,-12090,NA,-5.19,-7370,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.5,-12190,NA,-5.17,-7430,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.6,-12290,NA,-5.1,-7520,2,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.49,-12390,0.05,-5.25,-7610,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.47,-12490,0.02,-5.06,-7710,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.54,-12590,0.01,-5.14,-7800,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.7,-12690,0.01,-5.04,-7900,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.88,-12790,0.07,-4.94,-8000,2,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.86,-12890,0.06,-4.9,-8090,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.81,-12990,0.07,-4.78,-8150,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.8,-13090,0.11,-4.9,-8200,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.98,-13190,0.02,-4.95,-8270,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.06,-13290,0.04,-4.85,-8320,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.13,-13390,0.04,-4.86,-8400,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.17,-13490,0.02,-4.74,-8470,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.17,-13590,0.05,-4.85,-8540,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.15,-13690,0.1,-4.81,-8620,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.14,-13790,0.14,-4.63,-8690,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.14,-13890,0.14,-4.52,-19790,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.12,-13990,0.12,-4.88,-20000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.22,-14090,0.14,-4.87,-20270,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.29,-14190,0.12,-4.92,-20540,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.27,-14290,0.08,-4.9,-20800,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.21,-14390,0.02,-4.68,-21070,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.11,-14490,0.07,-4.68,-21340,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.07,-14590,0.15,-4.58,-21610,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.04,-14690,0.05,-4.69,-21880,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.06,-14790,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.17,-14890,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.3,-14990,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.33,-15090,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.35,-15190,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.26,-15290,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.09,-15390,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.24,-15490,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.08,-15590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.75,-15690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.54,-15790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.66,-15890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
