d18O (permil),year (AD),depth (cm),d18O (permil) [2-1],year (AD) [2-1],depth (cm) [2-1]
-7.396,1587,133,-6.9442,1362,336
-7.166,1580,136,-7.00556,1359,339
-7.225,1574,138,-7.114,1355,342
-7.347,1567,141,-7.0577,1352,345
-7.037,1561,143,-7.28833,1349,348
-7.145,1554,146,-6.99833,1345,351
-7.083,1548,148,-7.1613,1342,354
-7.24,1541,151,-7.453,1338,357
-7.119,1535,153,-7.19822,1335,36
-6.986,1528,156,-6.785,1332,363
-6.969,1522,158,-7.2413,1328,366
-7.074,1517,161,-6.89914,1325,369
-7.166,1513,164,-6.57744,1321,372
-7.14,1508,167,-6.9332,1318,375
-7.218,1504,171,-7.04613,1314,378
-7.176,1499,174,-7.16067,1311,381
-7.131,1495,177,-7.40088,1308,384
-7.194,1491,18,-6.93443,1304,387
-7.275,1486,183,-7.0834,1301,39
-7.192,1482,186,-7.04467,1297,393
-7.24,1477,19,NA,1290,396
-7.301,1473,193,-6.89837,1283,399
-7.22,1468,196,-6.96767,1275,402
-7.264,1464,199,-7.048,1268,405
-7.074,1459,202,-7.48211,1260,408
-7.049,1455,205,-7.02778,1253,411
-7.046,1450,208,-7.27025,1245,414
-7.055,1446,212,-7.02989,1238,417
-6.911,1442,215,-7.07256,1231,42
-6.822,1437,218,-6.92075,1223,423
-7.305,1433,221,-7.0509,1216,426
-6.921,1428,224,-6.8146,1208,429
-6.936,1424,227,-7.4505,1201,432
-7.085,1419,23,-7.26056,1194,435
-7.106,1415,234,-7.1775,1186,438
-7.156,1410,237,-7.06333,1179,441
-7.053,1406,24,-7.20989,1171,444
-6.801,1401,243,-7.0231,1164,447
-6.676,1397,246,-7.13233,1156,45
-7.137,1393,249,-6.8222,1149,453
-7.221,1388,253,-7.22537,1142,456
-7.058,1384,256,-6.9895,1134,459
-7.177,1379,259,-7.23267,1127,462
-6.967,1375,262,-6.9292,1119,465
-7.009,1370,265,-7.21443,1112,468
-7.16,1366,269,-7.1281,1104,471
-7.084,1361,272,-7.0878,1097,474
-7.037,1357,275,-7.4502,1090,477
-7.073,1352,278,-6.91,1082,48
-7.114,1348,281,-6.96478,1075,483
-6.959,1344,285,-7.0824,1067,486
-7.032,1339,288,-7.4686,1060,489
-7.027,1332,291,-6.78133,1052,492
-6.959,1324,294,-6.9567,1045,495
-6.872,1317,297,-7.215,1038,498
-6.914,1309,301,-7.1443,1030,501
-7.139,1302,304,-6.8635,1023,504
-7.081,1294,307,-5.737,1015,507
-7.242,1287,31,-6.7286,1008,51
-7.198,1279,313,-7.016,1001,513
-7.08,1272,317,-6.9264,993,516
-7.231,1264,32,-7.08244,986,519
-7.154,1257,323,-7.08889,978,522
-7.105,1249,326,-7.24325,974,525
-7.039,1242,329,-6.939,970,528
-7.012,1234,333,-6.95367,966,531
-7.201,1227,336,-6.74538,961,534
-6.948,1219,339,-6.31088,957,537
-7.048,1212,342,-6.80078,953,54
-7.034,1204,345,-7.15613,949,543
-6.981,1197,349,-7.3869,944,546
-7.055,1189,352,-7.3039,940,549
-6.933,1182,355,-7.2943,936,552
-7.008,1174,358,-7.09112,932,555
-7.065,1167,361,-7.496,927,558
-7.061,1159,365,-7.59411,923,561
-7,1152,368,-7,919,564
-7.076,1144,371,-7.17656,915,567
-7.078,1137,374,-7.5756,910,57
-7.048,1129,377,-7.23078,906,573
-7.149,1122,381,-7.6553,902,576
-6.997,1114,384,-7.0925,898,579
-7,1107,387,-7,893,582
-7.073,1099,39,-7.15444,889,585
NA,NA,NA,-7.15044,885,588
NA,NA,NA,-7.5526,881,591
NA,NA,NA,-7.10444,876,594
NA,NA,NA,-7.0772,872,597
NA,NA,NA,-7.049,868,6
NA,NA,NA,-6.943,864,603
NA,NA,NA,-7.0232,859,606
NA,NA,NA,-7.0669,855,609
NA,NA,NA,-7.01922,851,612
NA,NA,NA,-6.8775,847,615
NA,NA,NA,-6.9752,842,618
NA,NA,NA,-6.65711,838,621
NA,NA,NA,-6.7913,834,624
NA,NA,NA,-7.1735,830,627
NA,NA,NA,-6.8766,825,63
NA,NA,NA,-6.9833,821,633
NA,NA,NA,-6.79256,817,636
NA,NA,NA,-6.724,813,639
NA,NA,NA,-6.99375,808,642
NA,NA,NA,-7.42111,804,645
NA,NA,NA,-7.2498,800,648
NA,NA,NA,-7.2209,796,651
NA,NA,NA,-7.0422,791,654
NA,NA,NA,-6.9678,787,657
NA,NA,NA,-6.8471,783,66
NA,NA,NA,-7.073,779,663
NA,NA,NA,-7.2131,775,666
NA,NA,NA,-7.26563,770,669
NA,NA,NA,-7.16575,766,672
NA,NA,NA,-7.241,762,675
NA,NA,NA,-7.57862,758,678
NA,NA,NA,-7.418,753,681
NA,NA,NA,-7.3649,749,684
NA,NA,NA,-7.13711,745,687
NA,NA,NA,-7.2452,741,69
NA,NA,NA,-7.6126,736,693
NA,NA,NA,-7.4511,725,696
NA,NA,NA,-7.2094,714,699
NA,NA,NA,-7.0606,703,702
NA,NA,NA,-7.45511,692,705
NA,NA,NA,-7.0826,681,708
NA,NA,NA,-7.38956,670,711
NA,NA,NA,-7.29633,658,714
NA,NA,NA,-6.89656,647,717
NA,NA,NA,-7.1307,636,72
NA,NA,NA,-6.676,625,723
NA,NA,NA,-6.947,614,726
NA,NA,NA,-6.6434,603,729
NA,NA,NA,-6.8105,592,732
NA,NA,NA,-6.867,580,735
NA,NA,NA,-7.1809,569,738
NA,NA,NA,-6.839,558,741
NA,NA,NA,-7.2941,547,744
NA,NA,NA,-6.7842,536,747
NA,NA,NA,-7.0134,525,75
NA,NA,NA,-6.7829,514,753
NA,NA,NA,-6.7594,502,756
NA,NA,NA,-6.166,491,759
NA,NA,NA,-6.8787,480,762
NA,NA,NA,-6.74989,469,765
NA,NA,NA,-7.1357,458,768
NA,NA,NA,-6.6228,447,771
NA,NA,NA,-6.89588,436,774
NA,NA,NA,-6.9012,424,777
NA,NA,NA,-6.6285,413,78
