d18O (permil),year (AD),temperature (degC),Mg_Ca (mmol/mol),depth (cm),d18O (permil),temperature (degC) [2-1],year (AD) [2-1]
NA,-6108.5,28.41,4.8993,380.5,NA,NA,NA
NA,-6133,NA,NA,381.5,-3.076,NA,NA
NA,-6157.333333,28.17,4.7949,382.5,NA,NA,NA
-0.138,-6206,28.98,5.1564,384.5,-3.008,NA,NA
NA,-6230,NA,NA,385.5,-2.79,NA,NA
NA,-6254.5,27.86,4.6646,386.5,NA,NA,NA
NA,-6279,NA,NA,387.5,-2.869,NA,NA
NA,-6303.5,28.57,4.9716,388.5,NA,NA,NA
NA,-6328,NA,NA,389.5,-2.849,NA,NA
NA,-6352.333333,27.37,4.4644,390.5,NA,NA,NA
-0.1155,-6401,29.16,5.2432,392.5,-3.023,NA,NA
NA,-6426,NA,NA,393.5,-3.091,NA,NA
NA,-6450.5,27.28,4.4255,394.5,NA,NA,NA
NA,-6475,NA,NA,395.5,-2.829,NA,NA
NA,-6499,27.76,4.623,396.5,NA,NA,NA
NA,-6523,NA,NA,397.5,-2.996,NA,NA
NA,-6547.666667,28.2,4.8074,398.5,NA,NA,NA
-0.4319166667,-6597,27.67,4.5848,400.5,-3.029,NA,NA
NA,-6621,NA,NA,401.5,-2.968,NA,NA
NA,-6645.5,27.62,4.5646,402.5,NA,NA,NA
NA,-6670,NA,NA,403.5,-3.005,NA,NA
NA,-6694.5,27.95,4.6997,404.5,NA,NA,NA
NA,-6719,NA,NA,405.5,-2.815,NA,NA
NA,-6742.333333,27.56,4.5389,406.5,NA,NA,NA
-0.195,-6789,27.9,4.6785,408.5,-2.84,NA,NA
NA,-6807,NA,NA,409.5,-2.984,NA,NA
NA,-6825.5,28.96,5.1509,410.5,NA,NA,NA
NA,-6844,NA,NA,411.5,-2.834,NA,NA
NA,-6862,27.91,4.6849,412.5,NA,NA,NA
NA,-6880,NA,NA,413.5,-2.929,NA,NA
NA,-6898.333333,27.91,4.6862,414.5,NA,NA,NA
-0.2880833333,-6935,27.65,4.575,416.5,-2.881,NA,NA
NA,-6953,NA,NA,417.5,-3.055,NA,NA
NA,-6971,28.01,4.728,418.5,NA,NA,NA
NA,-6989,NA,NA,419.5,-2.609,NA,NA
NA,-7007,29.11,5.2177,420.5,NA,NA,NA
NA,-7025,NA,NA,421.5,-3.123,NA,NA
NA,-7043.333333,28.66,5.0117,422.5,NA,NA,NA
-0.095,-7080,27.9,4.5583,424.5,-2.74,NA,NA
NA,-7098,NA,NA,425.5,-2.809,NA,NA
NA,-7134,NA,NA,427.5,-2.9,NA,NA
NA,-7152.5,27.96,4.7074,428.5,NA,NA,NA
NA,-7171,NA,NA,429.5,-2.633,NA,NA
NA,-7189,28.02,4.7313,430.5,NA,NA,NA
-0.0205,-7225,28.68,4.8555,432.5,-2.828,NA,NA
NA,-7244,NA,NA,433.5,-2.801,NA,NA
NA,-7262,28.2,4.8097,434.5,NA,NA,NA
NA,-7280,NA,NA,435.5,-2.856,NA,NA
NA,-7298,26.91,4.2806,436.5,NA,NA,NA
NA,-7316,NA,NA,437.5,-2.688,NA,NA
NA,-7334.333333,27.89,4.6754,438.5,NA,NA,NA
0.07391666667,-7371,28.01,4.7256,440.5,-2.594,NA,NA
NA,-7389,NA,NA,441.5,-2.779,NA,NA
NA,-7407,28.49,4.934,442.5,NA,NA,NA
NA,-7425,NA,NA,443.5,-2.799,NA,NA
NA,-7443.5,27.53,4.5293,444.5,NA,NA,NA
NA,-7462,NA,NA,445.5,-2.626,NA,NA
0.3516666667,-7516,29.3,5.3103,448.5,-2.585,NA,NA
NA,-7534,NA,NA,449.5,-3.019,NA,NA
NA,-7552.5,27.37,4.4611,450.5,NA,NA,NA
NA,-7571,NA,NA,451.5,-2.215,NA,NA
NA,-7607,NA,NA,453.5,-2.511,NA,NA
NA,-7625.333333,28.15,4.7855,454.5,NA,NA,NA
0.5713333333,-7662,28.9,5.1197,456.5,-2.282,NA,NA
NA,-7680,NA,NA,457.5,-2.528,NA,NA
NA,-7698,27.43,4.4867,458.5,NA,NA,NA
NA,-7716,NA,NA,459.5,-2.356,NA,NA
NA,-7752,NA,NA,461.5,-2.687,NA,NA
NA,-7770.333333,27.4,4.4727,462.5,NA,NA,NA
0.544,-7807,28.5,4.9388,464.5,-2.226,NA,NA
NA,-7825,NA,NA,465.5,-2.491,NA,NA
NA,-7843.5,27.86,4.6623,466.5,NA,NA,NA
NA,-7862,NA,NA,467.5,-2.026,NA,NA
NA,-7880,27.86,4.6655,468.5,NA,NA,NA
NA,-7898,NA,NA,469.5,-2.185,NA,NA
NA,-7916,27.64,4.5712,470.5,NA,NA,NA
0.3015,-7952,27.48,4.5071,472.5,-2.256,NA,NA
NA,-7971,NA,NA,473.5,-2.209,NA,NA
NA,-7989,27.17,4.3817,474.5,NA,NA,NA
NA,-8007,NA,NA,475.5,-2.229,NA,NA
NA,-8025,27.13,4.3669,476.5,NA,NA,NA
NA,-8043,NA,NA,477.5,-2.168,NA,NA
0.10225,-8098,27.21,4.3993,480.5,-2.399,NA,NA
NA,-8116,NA,NA,481.5,-2.093,NA,NA
NA,-8152,NA,NA,483.5,-2.447,NA,NA
NA,-8170.5,26.89,4.2721,484.5,NA,NA,NA
NA,-8189,NA,NA,485.5,-2.392,NA,NA
NA,-8207,28.45,4.9183,486.5,NA,NA,NA
0.1421666667,-8243,27.44,4.4913,488.5,-2.407,NA,NA
NA,-8261,NA,NA,489.5,-2.513,NA,NA
NA,-8279.5,27.02,4.3249,490.5,NA,NA,NA
NA,-8298,NA,NA,491.5,-2.332,NA,NA
NA,-8316,28.88,5.1102,492.5,NA,NA,NA
NA,-8334,NA,NA,493.5,-2.322,NA,NA
NA,-8352.333333,27.12,4.365,494.5,NA,NA,NA
0.3063333333,-8389,28.06,4.7493,496.5,-2.372,NA,NA
NA,-8407,NA,NA,497.5,-2.347,NA,NA
NA,-8425,27.89,4.6763,498.5,NA,NA,NA
NA,-8443,NA,NA,499.5,-2.538,NA,NA
NA,-8480,NA,NA,501.5,-2.556,NA,NA
NA,-8498,27.75,4.6164,502.5,NA,NA,NA
0.06525,-8534,27.45,4.4957,504.5,-2.486,NA,NA
NA,-8552,NA,NA,505.5,-2.263,NA,NA
NA,-8570.5,27.57,4.5453,506.5,NA,NA,NA
NA,-8589,NA,NA,507.5,-2.591,NA,NA
NA,-8607,28.14,4.783,508.5,NA,NA,NA
NA,-8589,NA,NA,509.5,-2.607,NA,NA
NA,-8571,28.56,4.9681,510.5,NA,NA,NA
