d18O (permil),year (AD),d13C (permil),d18O (permil) [1-2],year (AD) [1-2],d13C (permil) [1-2],d18O (permil) [1-3],year (AD) [1-3],d13C (permil) [1-3]
-5.42775,-790,-5.7,-5.95156,-4217,-9.2,-5.25315,-1087,-5.93
-5.93216,-870,-5.9,-5.84486,-4275,-8.89,-5.31135,-1110,-5.66
-5.70906,-950,-5.87,-5.93216,-4357,-9.2,-5.40835,-1132,-5.69
-5.09795,-1038,-5.58,-5.58296,-4407,-8.97,-5.17555,-1155,-5.34
-5.01065,-1150,-5.14,-5.64116,-4473,-9.01,-4.94275,-1178,-5.49
-4.72935,-1270,-5.48,-5.34045,-4502,-8.81,-5.27255,-1201,-5.4
-4.81665,-1350,-5.41,-5.59266,-4544,-8.89,-5.33075,-1224,-5.4
-5.02035,-1408,-5.43,-5.10765,-4585,-7.98,-5.50535,-1247,-5.4
-4.91365,-1454,-5.44,-5.64116,-4626,-8.95,-5.08825,-1270,-4.26
-4.69055,-1518,-5.39,-5.42775,-4668,-8.92,-5.03975,-1293,-5.46
-5.56356,-1524,-5.64,-5.44715,-4709,-9.03,-5.18525,-1299,-5.58
-4.41894,-1553,-5.26,-5.52476,-4751,-8.78,-5.00095,-1320,-5.37
-4.37044,-1605,-5.34,-5.32105,-4792,-8.73,-5.37925,-1338,-5.69
-7.02827,-1646,-6.59,-5.28225,-4879,-8.81,-5.21435,-1361,-5.56
-4.51594,-1698,-5.05,-5.40835,-4896,-9.05,-5.08825,-1384,-5.27
-4.73905,-1762,-5.47,-5.37925,-4958,-8.89,-5.59266,-1396,-5.35
-4.33164,-1785,-5.02,-5.33075,-5007,-8.33,-5.58296,-1430,-5.76
-4.21524,-1814,-5.26,-5.25315,-5024,-8.42,-5.52476,-1453,-4.64
-4.25404,-1867,-5.4,-5.38895,-5082,-8.21,-5.64116,-1469,-4.99
-4.27344,-1919,-5.26,-5.08825,-5123,-8.14,-5.26285,-1493,-4.79
-4.14734,-1971,-5.33,-5.22405,-5152,-8.1,-5.07855,-1510,-5.53
-4.46744,-2017,-5.35,-5.52476,-5185,-8.67,-5.15615,-1533,-5.5
-6.23286,-2070,-6.56,-5.34045,-5227,-8.46,-5.21435,-1556,-5.52
-4.55475,-2134,-5.63,-5.20465,-5268,-8.5,-5.00095,-1590,-5.81
-4.46744,-2192,-5.66,-5.66056,-5289,-8.9,-5.13675,-1606,-5.73
-4.42864,-2221,-5.36,-5.72846,-5318,-9.16,-5.28225,-1622,-5.95
-4.60325,-2226,-5.88,-5.83516,-5359,-9.39,-5.29195,-1639,-5.78
-4.19584,-2279,-5.88,-5.60236,-5413,-9.29,-5.35985,-1653,-5.53
-6.80517,-2337,-7.22,-5.47625,-5475,-8.75,-5.11735,-1671,-5.42
-4.43834,-2395,-6.02,NA,NA,NA,-5.04945,-1687,-5.04
-4.31224,-2453,-5.97,NA,NA,NA,-5.27255,-1699,-5.53
-4.35104,-2511,-5.97,NA,NA,NA,-5.15615,-1720,-4.65
-4.49654,-2528,-6.01,NA,NA,NA,-5.73816,-1736,-5.57
-6.09706,-2598,-7.21,NA,NA,NA,-5.96126,-1744,-5.49
-4.51594,-2668,-6.61,NA,NA,NA,-5.24345,-1761,-5.21
-4.53534,-2743,-6.3,NA,NA,NA,-5.14645,-1777,-4.81
-3.82724,-2762,-5.77,NA,NA,NA,-5.75756,-1803,-5.41
-4.34134,-2791,-6.39,NA,NA,NA,-5.20465,-1803,-5.18
-4.24434,-2834,-6.35,NA,NA,NA,-5.76726,-1821,-5.08
-4.26374,-2877,-6.4,NA,NA,NA,-5.64116,-1834,-5.12
-4.06004,-2925,-6.45,NA,NA,NA,-5.63146,-1852,-5.37
-3.96304,-2958,-6.48,NA,NA,NA,-6.06796,-1871,-5.45
-3.88544,-2982,-6.68,NA,NA,NA,-5.60236,-1886,-5.53
-4.42864,-3030,-7.01,NA,NA,NA,-5.29195,-1902,-5.69
-3.90484,-3073,-6.64,NA,NA,NA,-5.65086,-1915,-5.55
-3.98244,-3112,-6.68,NA,NA,NA,-5.18525,-1926,-5.55
-4.02124,-3174,-7.21,NA,NA,NA,-6.09706,-1943,-5.22
-3.99214,-3198,-7.12,NA,NA,NA,-6.31046,-1956,-5.55
-4.14734,-3203,-7.22,NA,NA,NA,-5.49565,-1972,-5.52
-4.00184,-3270,-7.42,NA,NA,NA,-5.53446,-1988,-5.58
-4.06974,-3303,-7.62,NA,NA,NA,-5.8060600000000004,-2001,-5.37
-4.14734,-3356,-7.66,NA,NA,NA,-5.72846,-2014,-5.58
-4.18614,-3413,-7.64,NA,NA,NA,-5.39865,-2029,-5.33
-4.11824,-3447,-7.57,NA,NA,NA,-6.18436,-2040,-5.31
-4.13764,-3485,-7.38,NA,NA,NA,-5.35985,-2061,-5.35
-4.10854,-3509,-7.73,NA,NA,NA,-5.91276,-2077,-5.27
-4.27344,-3543,-7.65,NA,NA,NA,-5.99036,-2094,-5.41
-4.35104,-3605,-7.88,NA,NA,NA,-5.38895,-2110,-5.21
-4.15704,-3605,-7.87,NA,NA,NA,-5.06885,-2126,-5.4
-4.44804,-3653,-7.16,NA,NA,NA,-5.06885,-2142,-5.54
-4.40924,-3701,-7.63,NA,NA,NA,-5.65086,-2167,-5.47
-5.39865,-3724,-7.66,NA,NA,NA,-5.45685,-2178,-5.46
-5.54416,-3763,-8.14,NA,NA,NA,-5.74786,-2191,-5.49
-5.65086,-3820,-8.39,NA,NA,NA,-5.50535,-2211,-5.45
-5.25315,-3892,-8.34,NA,NA,NA,-5.28225,-2228,-5.99
-5.59266,-3925,-8.48,NA,NA,NA,-5.68966,-2240,-4.99
-5.53446,-3945,-8.91,NA,NA,NA,-5.76726,-2264,-5.21
-5.70906,-3975,-9.06,NA,NA,NA,-5.8060600000000004,-2280,-4.98
-5.51505,-3996,-8.87,NA,NA,NA,-6.30076,-2297,-5.16
-5.39865,-4011,-8.97,NA,NA,NA,-5.45685,-2337,-5.32
-5.52476,-4041,-9.02,NA,NA,NA,-5.70906,-2342,-5.29
-5.57326,-4070,-9.01,NA,NA,NA,-5.75756,-2362,-5.37
-5.61206,-4103,-9.01,NA,NA,NA,-6.03886,-2380,-4.98
-5.52476,-4145,-9.26,NA,NA,NA,-5.98066,-2394,-5.32
-5.29195,-4145,-8.88,NA,NA,NA,-5.55386,-2410,-5.42
-5.26285,-4189,-8.62,NA,NA,NA,-5.66056,-2427,-4.45
-5.19495,-4219,-8.35,NA,NA,NA,-5.59266,-2440,-4.61
-5.46655,-4249,-8.98,NA,NA,NA,-5.30165,-2451,-4.97
-5.19495,-4308,-8.55,NA,NA,NA,-5.36955,-2464,-5.31
-5.33075,-4397,-8.44,NA,NA,NA,-4.98155,-2475,-5.03
-5.41805,-4441,-8.64,NA,NA,NA,-4.98155,-2492,-4.73
-5.05915,-4456,-8.56,NA,NA,NA,-5.42775,-2505,-5.39
-5.18525,-4490,-8.27,NA,NA,NA,-5.50535,-2514,-5.63
-5.28225,-4529,-8.53,NA,NA,NA,-5.58296,-2524,-5.72
-5.30165,-4579,-8.6,NA,NA,NA,-4.87485,-2537,-4.37
-5.29195,-4628,-8.75,NA,NA,NA,-5.83516,-2549,-5.28
-5.35985,-4702,-8.83,NA,NA,NA,-5.82546,-2565,-4.66
-4.58385,-4874,-7.87,NA,NA,NA,-5.74786,-2579,-5.27
-5.25315,-5046,-8.63,NA,NA,NA,-5.32105,-2592,-5.86
-4.82635,-5243,-8.64,NA,NA,NA,-5.68966,-2605,-5.76
-5.18525,-5356,-8.23,NA,NA,NA,-5.51505,-2613,-6.01
-5.46655,-5447,-8.81,NA,NA,NA,-5.10765,-2625,-5.82
-5.54416,-5549,-8.3,NA,NA,NA,-5.55386,-2630,-6.16
-5.81576,-5640,-9.01,NA,NA,NA,-5.40835,-2635,-6.11
-5.30165,-5708,-8.6,NA,NA,NA,-5.45685,-2646,-6.13
-5.51505,-5776,-8.87,NA,NA,NA,-5.75756,-2662,-6.01
NA,NA,NA,NA,NA,NA,-5.20465,-2674,-6.08
NA,NA,NA,NA,NA,NA,-5.40835,-2687,-6.1
NA,NA,NA,NA,NA,NA,-6.03886,-2703,-6.42
NA,NA,NA,NA,NA,NA,-5.68966,-2719,-6.21
NA,NA,NA,NA,NA,NA,-5.57326,-2732,-6.54
NA,NA,NA,NA,NA,NA,-5.62176,-2743,-6.17
NA,NA,NA,NA,NA,NA,-5.39865,-2755,-6.29
NA,NA,NA,NA,NA,NA,-5.17555,-2768,-6.25
NA,NA,NA,NA,NA,NA,-5.42775,-2784,-6.31
NA,NA,NA,NA,NA,NA,-5.94186,-2800,-6.61
NA,NA,NA,NA,NA,NA,-5.39865,-2813,-6.31
NA,NA,NA,NA,NA,NA,-5.72846,-2823,-6.29
NA,NA,NA,NA,NA,NA,-5.65086,-2841,-6.3
NA,NA,NA,NA,NA,NA,-5.55386,-2849,-6.2
NA,NA,NA,NA,NA,NA,-5.65086,-2865,-6.38
NA,NA,NA,NA,NA,NA,-5.45685,-2882,-6.26
NA,NA,NA,NA,NA,NA,-5.04945,-2895,-6.1
NA,NA,NA,NA,NA,NA,-5.47625,-2906,-6.5
NA,NA,NA,NA,NA,NA,-5.75756,-2922,-6.54
NA,NA,NA,NA,NA,NA,-5.72846,-2934,-6.22
NA,NA,NA,NA,NA,NA,-5.15615,-2947,-6.48
NA,NA,NA,NA,NA,NA,-5.43745,-2963,-5.91
NA,NA,NA,NA,NA,NA,-5.37925,-2977,-6.63
NA,NA,NA,NA,NA,NA,-5.63146,-2987,-6.42
NA,NA,NA,NA,NA,NA,-5.41805,-2999,-6.47
NA,NA,NA,NA,NA,NA,-5.28225,-3008,-6.03
NA,NA,NA,NA,NA,NA,-5.28225,-3025,-6.5
NA,NA,NA,NA,NA,NA,-5.59266,-3038,-5.97
NA,NA,NA,NA,NA,NA,-5.51505,-3047,-6.19
NA,NA,NA,NA,NA,NA,-5.05915,-3060,-6.63
NA,NA,NA,NA,NA,NA,-5.64116,-3077,-6.48
NA,NA,NA,NA,NA,NA,-5.73816,-3085,-5.85
NA,NA,NA,NA,NA,NA,-4.99125,-3096,-6.38
NA,NA,NA,NA,NA,NA,-5.51505,-3109,-6.37
NA,NA,NA,NA,NA,NA,-4.98155,-3119,-6.03
NA,NA,NA,NA,NA,NA,-5.07855,-3141,-6.44
NA,NA,NA,NA,NA,NA,-5.28225,-3150,-6.61
NA,NA,NA,NA,NA,NA,-4.95245,-3161,-6.82
NA,NA,NA,NA,NA,NA,-5.21435,-3174,-6.82
NA,NA,NA,NA,NA,NA,-5.53446,-3190,-6.62
NA,NA,NA,NA,NA,NA,-5.28225,-3200,-6.85
NA,NA,NA,NA,NA,NA,-5.13675,-3213,-6.81
NA,NA,NA,NA,NA,NA,-5.03975,-3226,-6.92
NA,NA,NA,NA,NA,NA,-5.15615,-3239,-6.57
NA,NA,NA,NA,NA,NA,-5.67996,-3249,-7.01
NA,NA,NA,NA,NA,NA,-5.37925,-3263,-6.68
NA,NA,NA,NA,NA,NA,-5.66056,-3275,-6.81
NA,NA,NA,NA,NA,NA,-5.53446,-3288,-6.81
NA,NA,NA,NA,NA,NA,-5.45685,-3296,-6.95
NA,NA,NA,NA,NA,NA,-5.28225,-3304,-6.81
NA,NA,NA,NA,NA,NA,-5.16585,-3317,-6.95
NA,NA,NA,NA,NA,NA,-5.41805,-3328,-7.38
NA,NA,NA,NA,NA,NA,-5.48595,-3341,-6.51
NA,NA,NA,NA,NA,NA,-5.41805,-3353,-6.93
NA,NA,NA,NA,NA,NA,-5.41805,-3364,-7.23
NA,NA,NA,NA,NA,NA,-5.52476,-3377,-7.58
NA,NA,NA,NA,NA,NA,-5.71876,-3387,-7.55
NA,NA,NA,NA,NA,NA,-5.82546,-3400,-7.35
NA,NA,NA,NA,NA,NA,-5.54416,-3410,-6.89
NA,NA,NA,NA,NA,NA,-5.53446,-3426,-7.35
NA,NA,NA,NA,NA,NA,-5.70906,-3437,-7.56
NA,NA,NA,NA,NA,NA,-5.90306,-3450,-7.97
NA,NA,NA,NA,NA,NA,-5.8060600000000004,-3466,-8.09
NA,NA,NA,NA,NA,NA,-6.45596,-3483,-8.33
NA,NA,NA,NA,NA,NA,-5.40835,-3499,-7.57
NA,NA,NA,NA,NA,NA,-5.83516,-3515,-7.2
NA,NA,NA,NA,NA,NA,-5.38895,-3523,-7.99
NA,NA,NA,NA,NA,NA,-5.60236,-3540,-7.42
NA,NA,NA,NA,NA,NA,-5.18525,-3556,-7.76
NA,NA,NA,NA,NA,NA,-5.35985,-3569,-7.52
NA,NA,NA,NA,NA,NA,-5.63146,-3583,-6.92
NA,NA,NA,NA,NA,NA,-5.09795,-3596,-7.99
NA,NA,NA,NA,NA,NA,-5.54416,-3613,-7.03
NA,NA,NA,NA,NA,NA,-5.75756,-3626,-7.14
NA,NA,NA,NA,NA,NA,-5.59266,-3639,-7.47
NA,NA,NA,NA,NA,NA,-5.55386,-3643,-6.86
NA,NA,NA,NA,NA,NA,-5.37925,-3669,-7.81
NA,NA,NA,NA,NA,NA,-5.73816,-3686,-8.21
NA,NA,NA,NA,NA,NA,-5.78666,-3699,-7.88
NA,NA,NA,NA,NA,NA,-5.55386,-3713,-8.29
NA,NA,NA,NA,NA,NA,-5.44715,-3730,-8.08
NA,NA,NA,NA,NA,NA,-5.84486,-3743,-7.96
NA,NA,NA,NA,NA,NA,-5.23375,-3759,-8.32
NA,NA,NA,NA,NA,NA,-5.69936,-3775,-8.03
NA,NA,NA,NA,NA,NA,-5.48595,-3791,-8.42
NA,NA,NA,NA,NA,NA,-5.28225,-3808,-7.03
NA,NA,NA,NA,NA,NA,-5.47625,-3824,-7.72
NA,NA,NA,NA,NA,NA,-5.16585,-3840,-7.93
NA,NA,NA,NA,NA,NA,-5.96126,-3856,-8.04
NA,NA,NA,NA,NA,NA,-5.78666,-3864,-8.11
NA,NA,NA,NA,NA,NA,-5.35985,-3881,-8.2
NA,NA,NA,NA,NA,NA,-5.65086,-3897,-8.47
NA,NA,NA,NA,NA,NA,-5.72846,-3913,-8.6
NA,NA,NA,NA,NA,NA,-5.58296,-3929,-8.42
NA,NA,NA,NA,NA,NA,-5.47625,-3946,-7.1
NA,NA,NA,NA,NA,NA,-5.53446,-3986,-7.63
NA,NA,NA,NA,NA,NA,-5.62176,-4003,-7.13
NA,NA,NA,NA,NA,NA,-5.53446,-4011,-8.44
NA,NA,NA,NA,NA,NA,-5.56356,-4019,-8.12
NA,NA,NA,NA,NA,NA,-5.51505,-4035,-8.07
NA,NA,NA,NA,NA,NA,-5.44715,-4051,-7.73
NA,NA,NA,NA,NA,NA,-5.71876,-4059,-7.63
NA,NA,NA,NA,NA,NA,-5.55386,-4068,-7.53
NA,NA,NA,NA,NA,NA,-5.36955,-4084,-7.57
NA,NA,NA,NA,NA,NA,-5.38895,-4100,-7.81
NA,NA,NA,NA,NA,NA,-5.50535,-4132,-8.01
NA,NA,NA,NA,NA,NA,-5.78666,-4164,-8.06
NA,NA,NA,NA,NA,NA,-5.46655,-4212,-7.86
NA,NA,NA,NA,NA,NA,-5.47625,-4260,-7.66
NA,NA,NA,NA,NA,NA,-5.66056,-4308,-7.63
NA,NA,NA,NA,NA,NA,-5.36955,-4357,-7.65
NA,NA,NA,NA,NA,NA,-5.54416,-4453,-8.11
NA,NA,NA,NA,NA,NA,-4.98155,-4565,-8.1
NA,NA,NA,NA,NA,NA,-5.38895,-4661,-7.75
NA,NA,NA,NA,NA,NA,-5.19495,-4732,-7.28
NA,NA,NA,NA,NA,NA,-5.36955,-4805,-7.85
NA,NA,NA,NA,NA,NA,-5.44715,-4870,-7.49
NA,NA,NA,NA,NA,NA,-5.45685,-4918,-7.78
NA,NA,NA,NA,NA,NA,-5.00095,-4950,-7.44
NA,NA,NA,NA,NA,NA,-5.25315,-4998,-7.46
NA,NA,NA,NA,NA,NA,-5.03975,-5046,-6.6
NA,NA,NA,NA,NA,NA,-5.21435,-5110,-7.32
NA,NA,NA,NA,NA,NA,-5.31135,-5166,-7.6
NA,NA,NA,NA,NA,NA,-5.88366,-5240,-7.41
NA,NA,NA,NA,NA,NA,-5.17555,-5296,-6.77
NA,NA,NA,NA,NA,NA,-5.40835,-5370,-7.94
NA,NA,NA,NA,NA,NA,-4.92335,-5445,-6.49
NA,NA,NA,NA,NA,NA,-5.29195,-5501,-7.51
NA,NA,NA,NA,NA,NA,-5.15615,-5556,-7.2
NA,NA,NA,NA,NA,NA,-5.26285,-5575,-7.4
NA,NA,NA,NA,NA,NA,-5.25315,-5631,-7.32
NA,NA,NA,NA,NA,NA,-5.76726,-5705,-8.27
NA,NA,NA,NA,NA,NA,-5.8060600000000004,-5742,-8.27
NA,NA,NA,NA,NA,NA,-5.72846,-5798,-7.92
NA,NA,NA,NA,NA,NA,-5.39865,-5846,-8.07
NA,NA,NA,NA,NA,NA,-5.69936,-5891,-8.12
NA,NA,NA,NA,NA,NA,-5.37925,-5965,-7.11
NA,NA,NA,NA,NA,NA,-5.55386,-5984,-7.53
NA,NA,NA,NA,NA,NA,-5.15615,-6062,-7.58
NA,NA,NA,NA,NA,NA,-5.11735,-6096,-7.44
NA,NA,NA,NA,NA,NA,-5.34045,-6144,-7.16
NA,NA,NA,NA,NA,NA,-5.46655,-6170,-7.24
NA,NA,NA,NA,NA,NA,-5.10765,-6226,-7.29
NA,NA,NA,NA,NA,NA,-5.37925,-6263,-7.32
NA,NA,NA,NA,NA,NA,-5.32105,-6319,-7.34
NA,NA,NA,NA,NA,NA,-5.35985,-6375,-7.49
NA,NA,NA,NA,NA,NA,-5.18525,-6449,-7
NA,NA,NA,NA,NA,NA,-5.69936,-6505,-7.68
NA,NA,NA,NA,NA,NA,-5.21435,-6561,-7.72
NA,NA,NA,NA,NA,NA,-5.30165,-6598,-7.97
