d18O (permil),year (AD),depth (cm),core ()
0.99,1396.3,26,SC
1.26,1385.8,27,SC
1.22,1375.3,28,SC
1.3,1364.8,29,SC
1.34,1354.4,30,SC
1.2,1344,31,SC
1.18,1333.6,32,SC
1.2,1323.2,33,SC
1.15,1312.8,34,SC
1.34,1302.5,35,SC
1.25,1292.1,36,SC
1.23,1281.8,37,SC
1.19,1271.6,38,SC
1.11,1261.3,39,SC
1.32,1251,40,SC
1.1,1240.8,41,SC
1.23,1230.6,42,SC
1.18,1220.4,43,SC
1.15,1210.2,44,SC
1.08,1200.1,45,SC
0.96,1189.9,46,SC
1.17,1179.8,47,SC
1.01,1169.7,48,SC
1.14,1159.6,49,SC
1.19,1149.5,50,SC
1.14,1139.5,51,SC
1.17,1129.4,52,SC
1.14,1119.4,53,SC
1.22,1109.4,54,SC
1.06,1099.4,55,SC
1.06,1089.5,56,SC
1.22,1079.5,57,SC
1.12,1069.6,58,SC
1.12,1059.7,59,SC
1.42,1049.8,60,SC
1.22,1039.9,61,SC
1.41,1030,62,SC
1.08,1020.2,63,SC
1.24,1010.3,64,SC
1.17,1000.5,65,SC
1.15,990.72,66,SC
1.21,980.93,67,SC
1.09,971.17,68,SC
1.04,966.29,68.5,SC
1.45,951.67,70,SC
1.26,941.95,71,SC
1.24,932.24,72,SC
1.17,922.55,73,SC
1.16,912.87,74,SC
1.13,903.21,75,SC
1.22,893.56,76,SC
1.35,883.93,77,SC
1.1,874.31,78,SC
1.17,864.71,79,SC
1.27,855.12,80,SC
1.41,845.55,81,SC
1.15,835.99,82,SC
1.33,826.45,83,SC
1.36,816.91,84,SC
1.46,807.4,85,SC
1.17,797.89,86,SC
1.33,788.41,87,SC
1.21,778.93,88,SC
1.42,769.47,89,SC
1.31,760.02,90,SC
1.28,750.58,91,SC
1.25,741.16,92,SC
1.25,731.75,93,SC
1.16,712.97,95,SC
1.29,703.6,96,SC
1.1,694.25,97,SC
1.13,684.9,98,SC
1.15,666.25,100,SC
1.27,647.65,102,SC
1.07,638.36,103,SC
1.21,629.09,104,SC
1.13,619.83,105,SC
1.19,610.58,106,SC
0.93,601.34,107,SC
1.27,592.12,108,SC
1.15,582.9,109,SC
0.92,573.7,110,SC
1.13,569.1,110.5,SC
1.1,555.33,112,SC
1.21,546.16,113,SC
1.01,537,114,SC
1.14,527.85,115,SC
1.04,518.71,116,SC
1.07,509.58,117,SC
0.8,500.46,118,SC
1.2,491.35,119,SC
1.02,482.25,120,SC
1.18,473.16,121,SC
1.16,464.08,122,SC
1.34,455.01,123,SC
1.25,445.95,124,SC
1.07,436.9,125,SC
1.13,427.86,126,SC
1.14,423.34,126.5,SC
1.28,418.83,127,SC
1.14,409.8,128,SC
1.32,400.79,129,SC
1.11,391.78,130,SC
1.06,382.78,131,SC
1.13,373.79,132,SC
0.88,364.81,133,SC
1.17,355.84,134,SC
1.1,346.87,135,SC
0.92,337.91,136,SC
1.14,328.96,137,SC
1.12,320.02,138,SC
1.23,302.16,140,SC
1.22,293.24,141,SC
1.21,284.32,142,SC
1.11,275.42,143,SC
1.13,266.52,144,SC
1.18,257.62,145,SC
1.12,248.74,146,SC
1.35,239.86,147,SC
1.16,230.98,148,SC
1.06,222.12,149,SC
0.96,213.25,150,SC
0.99,204.4,151,SC
1.14,195.55,152,SC
1.04,186.7,153,SC
1.2,177.86,154,SC
1.19,169.03,155,SC
0.87,160.2,156,SC
1.01,151.37,157,SC
0.91,142.56,158,SC
1.01,133.74,159,SC
1.08,124.93,160,SC
1.14,116.13,161,SC
1.12,107.32,162,SC
1.17,98.527,163,SC
0.91,89.734,164,SC
1.23,80.945,165,SC
1.26,72.159,166,SC
1.1,63.377,167,SC
1.14,54.599,168,SC
0.88,45.824,169,SC
1.11,37.051,170,SC
0.86,28.282,171,SC
1.3,6.3712,173.5,SC
1.2,-2.3887,174.5,SC
1.04,-11.146,175.5,SC
1.3,-33.031,178,SC
0.91,-41.782,179,SC
0.98,-50.531,180,SC
1.22,-59.278,181,SC
1.2,-68.024,182,SC
1.05,-76.769,183,SC
1.05,-85.513,184,SC
1.08,-94.256,185,SC
1.03,-103,186,SC
0.93,-111.74,187,SC
1.07,-120.48,188,SC
1.09,-129.22,189,SC
0.98,-137.96,190,SC
1.13,-146.7,191,SC
1.06,-155.45,192,SC
1.17,-164.19,193,SC
1.18,-168.56,193.5,SC
1.17,-172.93,194,SC
1.14,-181.67,195,SC
1.13,-190.42,196,SC
1.16,-199.16,197,SC
1.06,-207.9,198,SC
1.25,-225.4,200,SC
1.1,-242.9,202,SC
1.14,-251.65,203,SC
1.02,-260.41,204,SC
1.21,-269.17,205,SC
1.21,-277.93,206,SC
1.14,-286.69,207,SC
1.24,-299.84,208.5,SC
1.12,-321.77,211,SC
1.2,-330.55,212,SC
1.1,-339.33,213,SC
1.22,-348.12,214,SC
1.13,-365.7,216,SC
1.19,-374.5,217,SC
0.93,-383.3,218,SC
0.924,-383.3,218,SC
0.97,-392.1,219,SC
0.97,-409.73,221,SC
1.33,-418.55,222,SC
1.2,-427.38,223,SC
1.22,-436.21,224,SC
1.4,-436.21,224,SC
1.13,-445.05,225,SC
1.12,-453.89,226,SC
1.02,-462.74,227,SC
1.21,-471.59,228,SC
1.2,-480.45,229,SC
1.3,-489.32,230,SC
1.4,-498.19,231,SC
1.08,-507.07,232,SC
1.37,-515.96,233,SC
1.21,-524.86,234,SC
1.19,-533.76,235,SC
1.29,-542.67,236,SC
1.04,-551.58,237,SC
1.29,-560.51,238,SC
1.453,-569.44,239,SC
1.363,-578.38,240,SC
1.381,-587.33,241,SC
1.387,-605.25,243,SC
1.25,-614.23,244,SC
1.337,-623.21,245,SC
1.16,-632.2,246,SC
1.181,-641.21,247,SC
1.269,-659.24,249,SC
1.18,-668.27,250,SC
1.457,-677.31,251,SC
1.14,-686.37,252,SC
1.224,-695.43,253,SC
1.4,-704.5,254,SC
1.12,-713.58,255,SC
1.23,-722.68,256,SC
1.197,-731.78,257,SC
1.32,-740.9,258,SC
1.208,-750.03,259,SC
1.29,-759.17,260,SC
0.943,-782.07,262.5,SC
1.19,-795.85,264,SC
0.982,-805.05,265,SC
1.24,-814.27,266,SC
1.072,-823.5,267,SC
0.99,-832.74,268,SC
1.134,-841.99,269,SC
1.36,-851.26,270,SC
1.105,-860.54,271,SC
1.13,-869.84,272,SC
1.183,-879.15,273,SC
1.14,-888.47,274,SC
1.381,-897.81,275,SC
0.83,-907.16,276,SC
1.162,-916.53,277,SC
1.2,-925.91,278,SC
1.175,-935.31,279,SC
1.27,-944.72,280,SC
1.065,-954.15,281,SC
1.21,-963.6,282,SC
0.919,-973.06,283,SC
1.09,-982.54,284,SC
1.035,-992.03,285,SC
1.09,-1001.5,286,SC
0.944,-1011.1,287,SC
1.089,-1015.8,287.5,SC
0.9,-1020.6,288,SC
1.055,-1030.2,289,SC
0.98,-1039.8,290,SC
1.22,-1049.4,291,SC
1.02,-1059,292,SC
1.151,-1068.6,293,SC
1.23,-1078.3,294,SC
1.276,-1087.9,295,SC
1.26,-1097.6,296,SC
1.322,-1107.3,297,SC
1.28,-1126.8,299,SC
1.18,-1136.6,300,SC
1.19,-1146.3,301,SC
1.13,-1156.1,302,SC
1.15,-1170.9,303.5,SC
1.33,-1175.8,304,SC
1.13,-1185.7,305,SC
1.15,-1195.6,306,SC
1.21,-1205.5,307,SC
1.14,-1215.4,308,SC
1.2,-1235.3,310,SC
1.34,-1240.3,310.5,SC
1.11,-1245.3,311,SC
1.26,-1255.3,312,SC
0.98,-1265.3,313,SC
1.39,-1275.4,314,SC
1.29,-1285.5,315,SC
0.96,-1295.6,316,SC
1.12,-1305.7,317,SC
1.32,-1315.9,318,SC
1.29,-1326,319,SC
1.21,-1336.2,320,SC
1.13,-1346.4,321,SC
1.33,-1356.7,322,SC
1.21,-1366.9,323,SC
1.22,-1387.6,325,SC
1.24,-1397.9,326,SC
1.19,-1408.3,327,SC
1.29,-1418.7,328,SC
1.25,-1429.1,329,SC
1.24,-1439.5,330,SC
1.31,-1450,331,SC
1.27,-1460.5,332,SC
1.3,-1471,333,SC
1.15,-1481.5,334,SC
1.19,-1492.1,335,SC
1.2,-1502.7,336,SC
1.17,-1513.3,337,SC
1.18,-1524,338,SC
1.26,-1534.7,339,SC
1.31,-1545.4,340,SC
1.14,-1577.7,343,SC
1.17,-1588.5,344,SC
0.94,-1599.3,345,SC
1.23,-1610.2,346,SC
1.14,-1621.1,347,SC
1.26,-1632.1,348,SC
1.28,-1648.5,349.5,SC
1.31,-1665.1,351,SC
1.14,-1676.1,352,SC
1.45,-1687.2,353,SC
1.29,-1698.3,354,SC
1.31,-1709.5,355,SC
1.01,-1720.7,356,SC
1.15,-1731.9,357,SC
1.24,-1743.1,358,SC
0.97,-1754.4,359,SC
1.16,-1765.7,360,SC
1.083,-1777.1,361,SC
1.1,-1788.5,362,SC
0.98,-1799.9,363,SC
1.32,-1811.3,364,SC
0.94,-1822.8,365,SC
1.03,-1834.3,366,SC
1.15,-1845.8,367,SC
1.3,-1857.4,368,SC
1.19,-1869,369,SC
1.16,-1880.7,370,SC
1.29,-1892.3,371,SC
1.36,-1904.1,372,SC
0.99,-1915.8,373,SC
1.02,-1927.6,374,SC
1.36,-1939.4,375,SC
1.52,-1951.3,376,SC
1.38,-1963.2,377,SC
1.31,-1975.1,378,SC
1.21,-1987.1,379,SC
1.13,-1999.1,380,SC
1.22,-2011.1,381,SC
1.18,-2023.2,382,SC
1.14,-2035.3,383,SC
1.14,-2047.4,384,SC
1.27,-2059.6,385,SC
1.26,-2071.9,386,SC
1.09,-2084.1,387,SC
1.29,-2096.4,388,SC
1.34,-2108.8,389,SC
1.27,-2121.2,390,SC
1.33,-2133.6,391,SC
1.29,-2146,392,SC
1.31,-2158.5,393,SC
1.38,-2171.1,394,SC
1.29,-2183.7,395,SC
1.3,-2196.3,396,SC
1.25,-2209,397,SC
1.14,-2221.7,398,SC
1.24,-2234.4,399,SC
1.23,-2247.2,400,SC
1.26,-2260,401,SC
1.1,-2272.9,402,SC
1.2,-2285.8,403,SC
1.16,-2298.8,404,SC
1.11,-2311.8,405,SC
1.16,-2324.8,406,SC
1.15,-2337.9,407,SC
0.86,-2351,408,SC
1.42,-2364.2,409,SC
1.08,-2377.4,410,SC
1.51,-2390.7,411,SC
1.07,-2404,412,SC
1.48,-2417.3,413,SC
1.23,-2430.7,414,SC
1.45,-2444.2,415,SC
1.25,-2457.7,416,SC
1.34,-2471.2,417,SC
1.05,-2484.8,418,SC
1.26,-2498.4,419,SC
1.16,-2512.1,420,SC
1.41,-2525.8,421,SC
1.24,-2539.5,422,SC
1.23,-2553.4,423,SC
1.06,-2567.2,424,SC
1.29,-2567.2,424,SC
1.13,-2581.1,425,SC
1.12,-2595.1,426,SC
1.28,-2595.1,426,SC
1.38,-2609.1,427,SC
1.01,-2623.1,428,SC
1.42,-2623.1,428,SC
1.2,-2637.2,429,SC
1.2,-2651.4,430,SC
1.3,-2665.6,431,SC
1.01,-2679.8,432,SC
1.11,-2694.1,433,SC
1.33,-2708.5,434,SC
1.11,-2722.9,435,SC
0.94,-2737.3,436,SC
1.24,-2737.3,436,SC
1.35,-2751.8,437,SC
1.42,-2766.4,438,SC
1.4,-2781,439,SC
1.06,-2803,440.5,SC
1.37,-2810.3,441,SC
1.14,-2817.7,441.5,SC
1.03,-2825.1,442,SC
1.01,-2847.3,443.5,SC
1.1,-2862.2,444.5,SC
1.33,-2877.2,445.5,SC
1.29,-2892.2,446.5,SC
1.09,-2899.7,447,SC
0.89,-2914.8,448,SC
1.37,-2929.9,449,SC
1.17,-2945.1,450,SC
1.13,-2960.3,451,SC
1.24,-2968,451.5,SC
1.51,-2975.6,452,SC
1.38,-2991,453,SC
1.38,-2991,453,SC
1.36,-3014.1,454.5,SC
1.31,-3021.8,455,SC
1.22,-3037.3,456,SC
1.17,-3060.7,457.5,SC
1.3,-3076.4,458.5,SC
0.99,-3084.2,459,SC
1.32,-3100,460,SC
1.51,-3115.8,461,SC
1.42,-3131.6,462,SC
1.2,-3147.5,463,SC
1.22,-3171.5,464.5,SC
1.15,-3179.5,465,SC
1.19,-3195.6,466,SC
1.09,-3211.8,467,SC
0.99,-3228,468,SC
1.44,-3244.2,469,SC
1.22,-3268.7,470.5,SC
1.35,-3276.9,471,SC
1.52,-3309.9,473,SC
1.29,-3326.5,474,SC
1.17,-3326.5,474,SC
1.31,-3343.1,475,SC
1.16,-3359.8,476,SC
1.39,-3393.3,478,SC
1.28,-3427.1,480,SC
1.04,-3444.1,481,SC
1.1,-3461.2,482,SC
1.35,-3478.3,483,SC
1.27,-3495.5,484,SC
1.12,-3512.8,485,SC
1.29,-3530.1,486,SC
1.14,-3547.4,487,SC
1.24,-3564.9,488,SC
1.09,-3582.4,489,SC
1.27,-3608.8,490.5,SC
1.21,-3617.6,491,SC
1.32,-3635.3,492,SC
1.33,-3653.1,493,SC
1.27,-3670.9,494,SC
1.14,-3688.8,495,SC
1.43,-3706.8,496,SC
1.14,-3724.8,497,SC
1.24,-3752,498.5,SC
1.25,-3761.1,499,SC
1.33,-3779.4,500,SC
1.5,-3797.7,501,SC
1.15,-3825.2,502.5,SC
1.12,-3834.5,503,SC
1.21,-3853,504,SC
1.42,-3871.6,505,SC
1.27,-3890.2,506,SC
1.33,-3909,507,SC
1.26,-3927.7,508,SC
1.42,-3946.6,509,SC
1.32,-3965.5,510,SC
1.35,-3984.6,511,SC
1.12,-3994.1,511.5,SC
1.32,-4003.6,512,SC
1.38,-4022.8,513,SC
1.31,-4042,514,SC
1.24,-4061.3,515,SC
1.48,-4080.7,516,SC
1.45,-4100.1,517,SC
1.35,-4119.6,518,SC
1.34,-4139.2,519,SC
1.56,-4149,519.5,SC
1.24,-4158.9,520,SC
1.41,-4178.6,521,SC
1.45,-4198.4,522,SC
1.44,-4218.3,523,SC
1.47,-4238.2,524,SC
1.38,-4258.3,525,SC
1.44,-4278.4,526,SC
1.4,-4298.6,527,SC
1.43,-4318.8,528,SC
1.08,-4349.3,529.5,SC
1.37,-4359.6,530,SC
1.15,-4380,531,SC
1.15,-4400.6,532,SC
1.26,-4421.3,533,SC
1.26,-4442,534,SC
1.45,-4462.8,535,SC
1.38,-4494.1,536.5,SC
1.21,-4504.6,537,SC
1.07,-4525.6,538,SC
1.27,-4546.8,539,SC
1.16,-4568,540,SC
1.23,-4589.2,541,SC
1.21,-4610.6,542,SC
1.22,-4632,543,SC
1.18,-4653.5,544,SC
1.299,-4675.1,545,SC
1.471,-4696.8,546,SC
1.35,-4729.5,547.5,SC
1.57,-4751.4,548.5,SC
1.51,-4773.3,549.5,SC
1.38,-4795.4,550.5,SC
1.45,-4817.5,551.5,SC
1.294,-4839.7,552.5,SC
1.357,-4873.2,554,SC
1.464,-4895.6,555,SC
1.491,-4918.1,556,SC
1.28,-4940.7,557,SC
1.47,-4963.4,558,SC
1.299,-4986.2,559,SC
1.389,-5009,560,SC
1.273,-5032,561,SC
1.431,-5055,562,SC
1.463,-5078.1,563,SC
1.328,-5101.3,564,SC
1.44,-5124.6,565,SC
1.283,-5148,566,SC
1.357,-5171.4,567,SC
1.239,-5195,568,SC
1.746,-5242.3,570,SC
1.542,-5266.1,571,SC
1.198,-5290.1,572,SC
1.446,-5314,573,SC
1.341,-5338.1,574,SC
1.123,-5362.3,575,SC
1.067,-5386.6,576,SC
1.268,-5410.9,577,SC
1.241,-5435.4,578,SC
1.338,-5459.9,579,SC
1.343,-5484.5,580,SC
1.169,-5509.3,581,SC
1.153,-5534.1,582,SC
1.308,-5559,583,SC
1.176,-5584,584,SC
1.13,-5609.1,585,SC
1.342,-5634.3,586,SC
1.463,-5659.6,587,SC
1.489,-5685,588,SC
1.265,-5710.4,589,SC
1.386,-5736,590,SC
1.083,-5761.7,591,SC
1.378,-5904.5,596.5,SC
1.123,-5930.8,597.5,SC
