d18O (permil),year (AD),d13C (permil),d18O (permil) [2-1],year (AD) [2-1],d13C (permil) [2-1]
-5.8168,1997,-1.9995,-5.7229,1997,-2.4031
-5.7206,1996.92,-2.7587,-5.9148,1996.92,-2.4864
-5.8268,1996.83,-2.5303,-6.0253,1996.83,-2.9946
-5.9406,1996.75,-2.3702,-5.9122,1996.75,-2.4506
-6.0614,1996.67,-2.0566,-5.9169,1996.67,-2.7856
-6.0967,1996.58,-2.2128,-5.9746,1996.58,-2.4286
-6.1606,1996.5,-2.1535,-5.9509,1996.5,-2.2744
-6.1745,1996.42,-2.0796,-5.8906,1996.42,-2.5259
-6.1328,1996.33,-2.1672,-5.8617,1996.33,-2.2751
-5.9827,1996.25,-2.2044,-5.7138,1996.25,-2.4513
-5.6426,1996.17,-1.8722,-5.6597,1996.17,-2.2384
-5.8822,1996.08,-2.2052,-5.7912,1996.08,-2.5363
-5.9201,1996,-2.0427,-5.8332,1996,-2.4396
-6.0064,1995.92,-2.2629,-6.0138,1995.92,-2.6273
-5.905,1995.83,-2.1973,-5.9304,1995.83,-2.4526
-6.07,1995.75,-2.2161,-5.9425,1995.75,-2.6464
-5.9122,1995.67,-2.0754,-6.0381,1995.67,-2.5121000000000002
-6.0275,1995.58,-2.6582,-5.9859,1995.58,-2.9898
-5.8796,1995.5,-2.0804,-5.9504,1995.5,-2.9378
-5.8214,1995.42,-2.2687,-5.9229,1995.42,-3.2561
-5.7205,1995.33,-2.0291,-5.7273,1995.33,-2.7541
-5.5815,1995.25,-1.8197,-5.5892,1995.25,-2.3465
-5.4227,1995.17,-2.1353,-5.4453,1995.17,-2.4265
-5.5191,1995.08,-2.4085,-5.4909,1995.08,-2.648
-5.5883,1995,-2.4606,-5.6141,1995,-2.33
-5.6565,1994.92,-2.2855,-5.6685,1994.92,-2.5886
-5.6515,1994.83,-2.0095,-5.8669,1994.83,-2.3047
-5.7574,1994.75,-2.0795,-5.6447,1994.75,-2.1286
-5.8393,1994.67,-2.3529,-5.7158,1994.67,-2.3212
-5.9151,1994.58,-2.1224,-5.8956,1994.58,-2.5495
-5.8546,1994.5,-2.1605,-5.9195,1994.5,-2.9907
-5.7302,1994.42,-2.0581,-5.8462,1994.42,-2.5925
-5.7205,1994.33,-1.834,-5.7477,1994.33,-2.7571
-5.5987,1994.25,-2.0146,-5.6351,1994.25,-2.5406
-5.5346,1994.17,-2.1161,-5.5585,1994.17,-2.2916
-5.5971,1994.08,-2.0727,-5.6895,1994.08,-2.2425
-5.7374,1994,-2.1883,-5.675,1994,-2.405
-5.8928,1993.92,-2.1125,-5.8301,1993.92,-2.7358
-5.8124,1993.83,-2.3109,-5.7133,1993.83,-2.5452
-5.7708,1993.75,-1.9843,-5.7881,1993.75,-2.3726
-5.7075,1993.67,-2.2977,-5.8603,1993.67,-2.4781
-5.8929,1993.58,-1.9073,-5.6585,1993.58,-2.7337
-5.7765,1993.5,-2.0637,-5.7929,1993.5,-2.7924
-5.6813,1993.42,-2.6384,-5.8394,1993.42,-2.8801
-5.549,1993.33,-2.2781,-5.7006,1993.33,-2.291
-5.5518,1993.25,-2.473,-5.5258,1993.25,-2.4505
-5.5026,1993.17,-2.4742,-5.4788,1993.17,-2.56
-5.6503,1993.08,-2.6467,-5.4989,1993.08,-2.5417
-5.5708,1993,-2.1907,-5.4979,1993,-2.5657
-5.6574,1992.92,-2.0902,-5.6603,1992.92,-2.6669
-5.6719,1992.83,-2.3255,-5.6003,1992.83,-2.4654
-5.7138,1992.75,-1.9683,-5.6753,1992.75,-2.85
-5.8612,1992.67,-2.1625,-5.6263,1992.67,-2.2617
-5.7531,1992.58,-2.0998,-5.7747,1992.58,-2.6231
-5.6667,1992.5,-2.1022,-5.7769,1992.5,-2.7909
-5.6522,1992.42,-2.1011,-5.775,1992.42,-2.8117
-5.3909,1992.33,-2.1298,-5.674,1992.33,-2.7263
-5.5078,1992.25,-2.0371,-5.4323,1992.25,-2.4015
-5.4221,1992.17,-1.9754,-5.3089,1992.17,-2.3564
-5.4649,1992.08,-1.714,-5.4693,1992.08,-2.3974
-5.8182,1992,-2.2681,-5.4826,1992,-2.4111
-5.6835,1991.92,-2.169,-5.6671,1991.92,-2.635
-5.6777,1991.83,-1.933,-5.62,1991.83,-2.1201
-5.8228,1991.75,-2.1535,-5.6922,1991.75,-2.1848
-5.823,1991.67,-2.0222,-5.6582,1991.67,-2.5366
-5.8887,1991.58,-2.1887,-5.8042,1991.58,-2.5936
-5.9333,1991.5,-2.4279,-5.852,1991.5,-2.7781
-5.7999,1991.42,-2.258,-5.8687,1991.42,-2.5627
-5.8138,1991.33,-2.1527,-5.5958,1991.33,-2.4815
-5.5976,1991.25,-2.1002,-5.4278,1991.25,-2.2487
-5.4622,1991.17,-2.1269,-5.345,1991.17,-2.3101
-5.5641,1991.08,-2.4731,-5.3853,1991.08,-2.7724
-5.6152,1991,-2.202,-5.6901,1991,-2.641
-5.8397,1990.92,-2.0235,-5.6227,1990.92,-2.4925
-5.9026,1990.83,-2.2755,-6.0059,1990.83,-2.3572
-5.9096,1990.75,-2.2313,-5.7868,1990.75,-2.6037
-5.8304,1990.67,-2.1699,-5.8218,1990.67,-2.5582
-5.8102,1990.58,-1.8948,-5.7636,1990.58,-2.4968
-5.9059,1990.5,-2.0685,-5.7335,1990.5,-2.6582
-5.9407,1990.42,-2.1512,-5.784,1990.42,-2.6479
-5.7607,1990.33,-1.6467,-5.6298,1990.33,-1.8895
-5.6633,1990.25,-1.9147,-5.5648,1990.25,-2.3028
-5.5453,1990.17,-2.0755,-5.5036,1990.17,-1.9189
-5.5938,1990.08,-2.1409,-5.6384,1990.08,-1.7671
-5.5591,1990,-1.9775,-5.7546,1990,-2.2139
-5.8006,1989.92,-2.1363,-5.9354,1989.92,-2.3249
-6.0241,1989.83,-2.4465,-5.8834,1989.83,-2.1181
-5.9147,1989.75,-1.8023,-5.8822,1989.75,-1.9279
-5.9811,1989.67,-1.563,-5.8677,1989.67,-2.2377
-6.0265,1989.58,-1.7806,-5.8224,1989.58,-2.3851
