d18O (permil),year (AD),d18O (permil) [2-1],year (AD) [2-1]
-3.371,1958.88,-3.58,1945.01
-3.613,1959.02,-3.66,1945.09
-3.611,1959.17,-3.59,1945.17
-3.79,1959.3,-3.83,1945.28
-3.881,1959.44,-3.83,1945.39
-3.952,1959.59,-4.11,1945.5
-4.231,1959.73,-4.03,1945.61
-4.252,1959.88,-3.89,1945.72
-4.007,1960.02,-3.76,1945.84
-4.096,1960.17,-3.66,1945.94
-4.119,1960.28,-3.67,1946.06
-3.971,1960.39,-3.65,1946.17
-4.469,1960.61,-3.92,1946.33
-4.517,1960.72,-4.2,1946.5
-4.389,1960.95,-4.56,1946.67
-4.362,1961.17,-3.96,1947
-4.348,1961.3,-3.91,1947.17
-4.039,1961.44,-3.96,1947.29
-4.351,1961.59,-4.06,1947.37
-4.137,1961.73,-4.17,1947.49
-4.32,1961.88,-3.91,1948.17
-4.281,1962.02,-4.15,1948.34
-3.992,1962.17,-4.27,1948.5
-4.041,1962.33,-4.07,1948.67
-3.998,1962.5,-3.85,1948.84
-4.525,1962.67,-4,1949.01
-3.894,1962.84,-3.95,1949.17
-4.013,1963,-4.05,1949.3
-3.723,1963.17,-4.11,1949.44
-4.029,1963.25,-3.9,1949.59
-3.846,1963.33,-4.21,1949.73
-3.786,1963.42,-3.94,1949.88
-4.035,1963.5,-4.2,1950.02
-4.13,1963.59,-3.83,1950.17
-4.284,1963.67,-4.09,1950.26
-4.337,1963.75,-4.23,1950.35
-4.02,1963.84,-4.02,1950.44
-4.17,1964,-4.65,1950.53
-4.181,1964.09,-4.08,1950.62
-4.001,1964.17,-3.88,1950.72
-4.143,1964.27,-3.97,1950.81
-3.89,1964.37,-3.96,1950.9
-4.314,1964.47,-4.01,1950.99
-4.514,1964.57,-3.98,1951.08
-4.341,1964.67,-3.7,1951.17
-4.185,1964.77,-3.79,1951.23
-4.279,1964.88,-3.93,1951.3
-3.551,1965.17,-3.87,1951.56
-3.764,1965.27,-3.91,1951.63
-3.773,1965.37,-4.09,1951.83
-3.853,1965.47,-3.94,1951.96
-3.898,1965.57,-3.84,1952.17
-4.145,1965.77,-4.01,1952.29
-4.3,1965.88,-4.32,1952.42
-4.235,1965.98,-4.01,1952.54
-3.97,1966.08,-4.07,1952.67
-3.781,1966.17,-4.31,1952.79
-3.891,1966.28,-4.16,1952.92
-4.3,1966.61,-4.16,1953.04
-4.143,1966.72,-3.94,1953.17
-3.889,1966.84,-4.12,1953.28
-4.186,1966.94,-4.21,1953.39
-4.073,1967.06,-4.3,1953.5
-3.819,1967.27,-4.32,1953.61
-3.919,1967.37,-4.11,1953.72
-4.092,1967.47,-4.19,1953.84
-4.076,1967.57,-4.04,1953.94
-4.184,1967.67,-3.78,1954.06
-4.379,1967.77,-3.75,1954.17
-4.211,1967.88,-3.97,1954.33
-4.314,1967.97,-4.07,1954.5
-4.337,1968.08,-4.11,1954.67
-3.871,1968.17,-4.14,1954.84
-3.795,1968.26,-4.28,1955
-3.936,1968.35,-3.86,1955.17
-3.589,1968.44,-3.75,1955.3
-3.788,1968.53,-3.72,1955.59
-3.699,1968.63,-4.06,1955.73
-3.6,1968.72,-3.71,1956.17
-4.164,1968.81,-3.9,1956.26
-4.067,1968.9,-3.92,1956.35
-4.241,1968.99,-3.86,1956.53
-3.827,1969.08,-4.23,1956.63
-3.714,1969.17,-4.39,1956.72
-3.952,1969.27,-4.42,1956.81
-3.938,1969.37,-3.94,1956.9
-4.213,1969.57,-3.94,1956.99
-3.978,1969.67,-3.78,1957.08
-4.153,1969.77,-3.72,1957.17
-4.314,1969.88,-3.85,1957.3
-4.184,1969.98,-3.94,1957.44
-4.159,1970.08,-3.77,1957.59
-3.862,1970.17,-3.87,1957.73
-3.981,1970.28,-3.81,1957.88
-3.923,1970.39,-3.79,1958.02
-4.001,1970.5,-3.63,1958.17
-4.078,1970.61,-3.74,1958.33
-4.117,1970.72,-3.62,1958.5
-4.169,1970.84,-3.83,1958.67
-4.251,1970.94,-3.95,1958.84
-4.131,1971.06,-3.79,1959
-3.877,1971.17,-3.76,1959.17
-3.889,1971.26,-4.09,1959.33
-3.905,1971.35,-3.9,1959.5
-3.929,1971.44,-3.73,1959.67
-4.012,1971.53,-3.58,1960
-3.993,1971.62,-3.47,1960.17
-4.085,1971.72,-3.83,1960.42
-4.187,1971.81,-3.92,1960.67
-4.25,1971.9,-3.92,1960.92
-4.37,1971.99,-3.8,1961.17
-4.232,1972.08,-3.91,1961.26
-4.124,1972.17,-4.25,1961.35
-4.091,1972.24,-4.05,1961.44
-4.245,1972.31,-3.95,1961.53
-4.187,1972.38,-3.95,1961.72
-3.946,1972.45,-3.96,1961.81
-4.564,1972.52,-4.05,1961.9
-4.317,1972.6,-4.07,1961.99
-4.181,1972.67,-4.07,1962.08
-4.182,1972.74,-4.04,1962.17
-4.494,1972.81,-4.1,1962.39
-4.387,1972.88,-3.94,1962.5
-4.294,1972.95,-4.19,1962.61
-4.175,1973.02,-4.04,1962.72
-4.04,1973.1,-4.15,1962.84
-3.79,1973.17,-4.14,1962.94
-4.025,1973.26,-4.36,1963.06
-4.166,1973.35,-3.99,1963.17
-4.115,1973.44,-3.95,1963.29
-4.133,1973.53,-4.03,1963.42
-4.32,1973.63,-3.93,1963.54
-4.067,1973.72,-4.07,1963.67
-4.206,1973.81,-3.84,1963.79
-4.215,1973.9,-3.97,1963.92
-4.234,1973.99,-3.93,1964.04
-4.182,1974.08,-3.86,1964.17
-3.935,1974.17,-4,1964.34
-3.917,1974.25,-3.89,1964.5
-3.71,1974.33,-4.17,1964.67
-3.849,1974.42,-4.27,1964.84
-3.802,1974.5,-4.25,1965.01
-3.989,1974.59,-3.93,1965.17
-3.877,1974.67,-3.95,1965.33
-4.133,1974.75,-4.09,1965.5
-4.217,1974.84,-4.1,1965.67
-4.043,1974.92,-3.89,1965.84
-3.986,1975,-4.12,1966.01
-3.955,1975.09,-3.88,1966.17
-3.702,1975.17,-4.113,1966.3
-3.667,1975.27,-4.298,1966.44
-3.721,1975.37,-4.103,1966.59
-3.758,1975.47,-4.1,1966.73
-3.948,1975.57,-4.075,1966.88
-3.983,1975.67,-4.112,1967.02
-3.716,1975.77,-4.036,1967.17
-3.948,1975.88,-4.262,1967.33
-4.01,1975.97,-4.373,1967.5
-4.035,1976.08,-4.094,1967.67
-3.832,1976.17,-4.006,1967.84
-3.822,1976.29,-4.08,1968
-4.181,1976.42,-3.892,1968.17
-3.881,1976.54,-4.149,1968.29
-3.997,1976.67,-4.092,1968.42
-4.175,1976.79,-4.045,1968.54
-4.232,1976.92,-4.044,1968.79
-3.999,1977.04,-4.085,1968.92
-3.871,1977.17,-3.987,1969.04
-4.076,1977.3,-3.92,1969.17
-4.043,1977.44,-4.386,1969.45
-4.204,1977.59,-4.045,1969.62
-4.359,1977.88,-4.049,1969.87
-4.439,1978.02,-4.082,1970.05
-4.202,1978.17,-3.864,1970.17
-4.364,1978.25,-4.535,1970.42
-3.974,1978.42,-4.132,1970.54
-3.868,1978.67,-4.061,1970.67
-4.028,1978.75,-3.962,1970.79
-4.069,1978.92,-4.142,1970.92
-4.104,1979.01,-4.003,1971.04
-3.971,1979.09,-4,1971.17
-3.904,1979.17,-4.348,1971.3
-4.053,1979.45,-4.167,1971.44
-3.906,1979.85,-3.92,1971.59
-3.861,1980.05,-3.822,1971.73
-3.745,1980.17,-3.968,1971.88
-999,1980.31,-3.883,1972.02
-3.915,1980.45,-3.812,1972.17
-4.144,1980.59,-3.945,1972.29
-4.259,1980.74,-4.126,1972.42
-4.044,1980.88,-4.034,1972.54
-4.416,1981.03,-4.107,1972.67
-4.267,1981.17,-4.191,1972.79
-4.663,1981.34,-4.03,1972.92
-4.255,1981.5,-4.144,1973.04
-4.488,1981.67,-3.877,1973.17
-4.347,1981.84,-4.034,1973.3
-4.192,1982.01,-4.163,1973.44
-3.981,1982.17,-4.034,1973.59
-4.371,1982.26,-4.063,1973.73
-4.445,1982.35,-4.02,1973.88
-4.198,1982.44,-4.142,1974.02
-3.989,1982.53,-3.921,1974.17
-4.136,1982.62,-3.824,1974.27
-4.135,1982.72,-3.81,1974.37
-4.202,1982.99,-3.962,1974.47
-4.092,1983.08,-4.004,1974.57
-3.869,1983.17,-4.091,1974.67
-3.903,1983.26,-4.056,1974.77
-3.953,1983.35,-4.153,1974.88
-3.943,1983.44,-4.219,1974.97
-4.235,1983.53,-4.109,1975.08
-3.798,1983.62,-4.28,1975.17
-3.964,1983.72,-4.145,1975.29
-4.125,1983.81,-3.688,1975.42
-4.124,1983.9,-3.769,1975.54
-4.223,1983.99,-4.009,1975.67
-3.936,1984.08,-4.015,1975.79
-3.841,1984.17,-4.052,1975.92
-4.02,1984.28,-4.037,1976.04
-4.059,1984.39,-3.937,1976.17
-3.895,1984.5,-3.992,1976.29
-3.952,1984.61,-3.837,1976.42
-4.085,1984.72,-3.523,1976.54
-4.003,1984.84,-3.523,1976.67
-3.88,1984.95,-3.638,1976.79
-3.856,1985.06,-3.888,1976.92
-3.738,1985.17,-3.9,1977.04
-3.974,1985.34,-3.557,1977.17
-4.102,1985.5,-3.467,1977.28
-4.207,1985.67,-3.751,1977.39
-4.007,1985.84,-3.716,1977.5
-3.874,1986.01,-4.036,1977.61
-3.696,1986.17,-4.144,1977.72
-3.718,1986.26,-4.209,1977.95
-3.631,1986.35,-3.939,1978.17
-3.829,1986.44,-4.361,1978.45
-3.952,1986.53,-4.398,1978.62
-3.806,1986.62,-4.249,1978.87
-3.706,1986.72,-4.104,1979.05
-3.857,1986.81,-3.708,1979.17
-4.017,1986.99,-4.212,1979.33
-3.744,1987.17,-3.928,1979.5
-3.948,1987.29,-3.883,1979.67
-3.95,1987.42,-4.36,1979.84
-4.029,1987.54,-4.498,1980
-3.853,1987.67,-4.188,1980.17
-3.89,1987.79,-4.372,1980.42
-3.997,1987.92,-4.377,1980.67
-3.971,1988.04,-4.216,1980.92
-3.807,1988.17,-3.875,1981.17
-4.009,1988.31,-3.909,1981.26
-4.177,1988.59,-4.084,1981.35
-3.848,1988.74,-4.112,1981.44
-3.918,1988.88,-4.426,1981.53
-3.831,1989.03,-4.381,1981.63
-3.719,1989.17,-4.2,1981.72
-3.797,1989.28,-4.164,1981.81
-3.744,1989.39,-4.041,1981.9
-4.129,1989.5,-4.149,1981.99
-3.85,1989.61,-4.053,1982.08
-4.211,1989.72,-3.867,1982.17
-4.035,1989.84,-4.332,1982.29
-4.049,1989.95,-4.29,1982.42
-3.974,1990.06,-4.282,1982.54
-3.879,1990.17,-4.207,1982.67
-4.15,1990.3,-4.025,1982.79
-4.095,1990.44,-4.255,1982.92
-3.973,1990.59,-4.342,1983.04
-4.053,1990.73,-4.219,1983.17
-3.964,1990.88,-4.254,1983.29
-3.84,1991.02,-4.431,1983.42
-3.808,1991.17,-4.256,1983.54
-3.962,1991.29,-4.233,1983.67
-4.247,1991.42,-4.026,1983.79
-4.209,1991.54,-3.927,1983.92
-4.28,1991.67,-4.056,1984.04
-3.865,1991.79,-4.095,1984.17
-3.977,1991.92,-4.147,1984.28
-4.095,1992.04,-4.058,1984.39
-4.081,1992.17,-4.431,1984.5
-4.182,1992.45,-4.298,1984.61
-3.836,1992.59,-4.26,1984.72
-4.02,1992.74,-4.136,1984.84
-4.072,1992.88,-3.799,1984.95
-3.998,1993.03,-4.275,1985.06
-4.118,1993.17,-3.922,1985.17
-4.346,1993.45,-4.083,1985.29
-4.534,1993.65,-4.355,1985.42
-4.189,1993.85,-4.24,1985.54
-4.002,1994.05,-4.147,1985.67
-3.854,1994.17,-4.294,1985.79
-4.016,1994.33,-4.079,1985.92
-4.052,1994.5,-4.018,1986.04
-3.708,1994.67,-3.855,1986.17
-4.011,1994.84,-4.019,1986.26
-3.926,1995.01,-4.309,1986.35
-3.749,1995.17,-3.929,1986.44
-3.68,1995.42,-4.237,1986.53
-4.067,1995.67,-3.89,1986.62
-3.69,1995.92,-3.812,1986.72
-3.439,1996.17,-3.836,1986.81
-3.553,1996.34,-4.033,1986.9
-3.76,1996.67,-4.216,1986.99
-3.549,1996.84,-4.351,1987.08
-3.721,1997.01,-4.176,1987.17
-3.501,1997.17,-4.11,1987.45
-3.521,1997.34,-4.323,1987.62
-3.611,1997.5,-4.264,1987.87
-3.411,1997.67,-3.822,1988.05
-999,1997.84,-3.739,1988.17
-4.106,1997.92,-4.297,1988.34
-999,1998.01,-4.102,1988.5
-999,1998.09,-3.995,1988.67
-3.689,1998.17,-4.417,1988.84
-4.164,1998.23,-4.258,1989.01
-4.286,1998.3,-3.83,1989.17
-4.088,1998.35,-4.045,1989.34
-4.051,1998.41,-4.192,1989.5
-3.951,1998.47,-4.457,1989.67
-3.88,1998.53,-4.159,1989.84
-4.137,1998.59,-4.186,1990.01
-3.952,1998.92,-4.167,1990.17
-4.276,1999.17,-4.068,1990.28
-3.575,2000.17,-4.114,1990.5
-4.07,2000.5,-4.09,1990.61
-4.511,2000.84,-3.682,1990.72
-3.832,2001.17,-3.995,1990.84
-4.162,2001.5,-3.959,1990.95
-4.338,2001.84,-3.625,1991.06
-3.827,2002.17,-3.502,1991.17
-4.096,2002.5,-3.624,1991.3
-4.044,2002.92,-4.086,1991.44
-4.048,2003.17,-3.935,1991.59
-4.084,2003.42,-3.919,1991.73
-4.318,2003.67,-4.163,1991.88
-4.25,2003.92,-3.947,1992.02
-4.101,2004.17,-3.468,1992.17
-3.744,2004.42,-3.831,1992.34
-3.772,2004.67,-3.832,1992.5
-3.932,2004.92,-4.062,1992.67
-3.536,2005.17,-3.909,1992.84
-4.173,2005.45,-3.795,1993.01
-4.102,2005.62,-3.657,1993.17
-3.927,2005.87,-3.757,1993.28
-4.366,2006.05,-3.889,1993.39
-3.731,2006.17,-4.216,1993.5
-4.058,2006.33,-4.119,1993.61
-3.916,2006.5,-3.872,1993.72
NA,NA,-3.752,1993.84
NA,NA,-4.36,1993.95
NA,NA,-4.276,1994.06
NA,NA,-4.127,1994.17
NA,NA,-4.285,1994.29
NA,NA,-4.494,1994.42
NA,NA,-4.033,1994.54
NA,NA,-4.075,1994.67
NA,NA,-3.871,1994.79
NA,NA,-4.145,1994.92
NA,NA,-4.101,1995.04
NA,NA,-4.034,1995.17
NA,NA,-4.034,1995.3
NA,NA,-4.036,1995.44
NA,NA,-3.927,1995.59
NA,NA,-4.105,1995.73
NA,NA,-4.049,1995.88
NA,NA,-3.962,1996.02
NA,NA,-3.776,1996.17
NA,NA,-4.248,1996.25
NA,NA,-3.896,1996.32
NA,NA,-4.355,1996.39
NA,NA,-4.487,1996.46
NA,NA,-4.244,1996.53
NA,NA,-4.233,1996.6
NA,NA,-4.361,1996.67
NA,NA,-4.249,1996.82
NA,NA,-3.977,1996.89
NA,NA,-4.504,1996.96
NA,NA,-4.585,1997.03
NA,NA,-4.725,1997.1
NA,NA,-3.846,1997.17
NA,NA,-4.213,1997.29
NA,NA,-4.789,1997.42
NA,NA,-4.754,1997.59
NA,NA,-4.732,1997.67
NA,NA,-4.443,1997.75
NA,NA,-4.396,1997.84
NA,NA,-999,1997.92
NA,NA,-4.295,1998.01
NA,NA,-4.482,1998.06
NA,NA,-4.368,1998.12
NA,NA,-4.314,1998.17
NA,NA,-4.23,1998.22
NA,NA,-999,1998.28
NA,NA,-4.408,1998.33
NA,NA,-4.32,1998.39
NA,NA,-4.457,1998.44
NA,NA,-4.525,1998.5
NA,NA,-4.588,1998.55
NA,NA,-3.796,1998.61
NA,NA,-4.451,1998.64
NA,NA,-4.638,1998.67
NA,NA,-4.712,1998.84
NA,NA,-4.609,1999.17
NA,NA,-4.376,1999.33
NA,NA,-4.563,1999.5
NA,NA,-4.247,1999.67
NA,NA,-4.258,1999.84
NA,NA,-4.316,2000
NA,NA,-3.83,2000.17
NA,NA,-4.437,2000.27
NA,NA,-4.71,2000.37
NA,NA,-4.549,2000.47
NA,NA,-4.543,2000.57
NA,NA,-4.534,2000.68
NA,NA,-4.314,2000.88
NA,NA,-4.247,2001.08
NA,NA,-3.772,2001.17
NA,NA,-4.333,2001.26
NA,NA,-4.305,2001.35
NA,NA,-4.547,2001.44
NA,NA,-4.401,2001.53
NA,NA,-4.687,2001.63
NA,NA,-4.734,2001.72
NA,NA,-4.362,2001.81
NA,NA,-4.63,2001.9
NA,NA,-4.443,2001.99
NA,NA,-4.17,2002.08
NA,NA,-3.818,2002.17
NA,NA,-3.963,2002.25
NA,NA,-3.877,2002.33
NA,NA,-4.084,2002.42
NA,NA,-4.45,2002.5
NA,NA,-4.223,2002.59
NA,NA,-4.132,2002.67
NA,NA,-3.958,2002.75
NA,NA,-3.825,2002.84
NA,NA,-4.041,2002.92
NA,NA,-4.119,2003.01
NA,NA,-4.424,2003.09
NA,NA,-3.492,2003.17
NA,NA,-3.83,2003.25
NA,NA,-4.033,2003.33
NA,NA,-4.1,2003.42
NA,NA,-4.331,2003.5
NA,NA,-3.927,2003.59
NA,NA,-4.312,2003.67
NA,NA,-3.536,2003.75
NA,NA,-3.622,2003.84
NA,NA,-3.945,2003.92
NA,NA,-4.014,2004
NA,NA,-4.584,2004.09
NA,NA,-3.909,2004.17
NA,NA,-4.289,2004.25
NA,NA,-4.654,2004.34
NA,NA,-4.72,2004.42
NA,NA,-4.016,2004.5
NA,NA,-4.039,2004.59
NA,NA,-4.366,2004.67
NA,NA,-4.385,2004.76
NA,NA,-4.218,2004.84
NA,NA,-4.53,2004.92
NA,NA,-4.335,2005.01
NA,NA,-4.099,2005.19
NA,NA,-4.357,2005.25
NA,NA,-4.664,2005.34
NA,NA,-4.297,2005.42
NA,NA,-4.474,2005.5
NA,NA,-4.223,2005.59
NA,NA,-4.73,2005.67
NA,NA,-4.77,2005.75
NA,NA,-4.361,2005.92
NA,NA,-4.447,2006.01
NA,NA,-4.253,2006.09
NA,NA,-4.182,2006.18
NA,NA,-4.294,2006.23
NA,NA,-4.383,2006.29
NA,NA,-4.04,2006.35
NA,NA,-4.066,2006.47
