d18O (normalized),year (AD),depth (m)
0,1457,NA
0.1,1456,NA
0.3,1455,NA
0,1454,NA
0.1,1453,NA
0.5,1452,NA
0.8,1451,NA
0.3,1450,NA
0,1449,NA
0,1448,NA
0.2,1447,NA
0.3,1446,NA
0.2,1445,NA
0,1444,NA
-0.1,1443,NA
0.1,1442,NA
0.3,1441,NA
0.3,1440,NA
0.4,1439,NA
0.2,1438,NA
-0.1,1437,NA
-0.1,1436,NA
-0.1,1435,NA
0.2,1434,NA
0.4,1433,NA
0.1,1432,NA
0.3,1431,NA
0.8,1430,NA
0.8,1429,NA
0.7,1428,NA
0.6,1427,NA
0.4,1426,NA
0.5,1425,NA
0.9,1424,NA
0.7,1423,NA
0.8,1422,NA
1,1421,NA
0.8,1420,NA
0.8,1419,NA
0.9,1418,NA
1.3,1417,NA
1.3,1416,NA
1.1,1415,NA
1.1,1414,NA
1.3,1413,NA
1.5,1412,NA
0.9,1411,NA
0.1,1410,NA
0,1409,NA
0.3,1408,NA
0.3,1407,NA
0.2,1406,NA
0.3,1405,NA
0.3,1404,NA
0.1,1403,NA
0,1402,NA
0,1401,NA
-0.2,1400,NA
-0.2,1399,NA
-0.2,1398,NA
-0.3,1397,NA
0,1396,NA
0.2,1395,NA
0.5,1394,NA
0.6,1393,NA
0.3,1392,NA
0,1391,NA
-0.4,1390,NA
-0.7,1389,NA
-0.7,1388,NA
-0.8,1387,NA
-0.6,1386,NA
-0.5,1385,NA
-0.5,1384,NA
-0.3,1383,NA
-0.2,1382,NA
-0.1,1381,NA
-0.4,1380,NA
0,1379,NA
0.1,1378,NA
-0.4,1377,NA
-0.7,1376,NA
-0.8,1375,NA
-0.9,1374,NA
-0.7,1373,NA
-0.4,1372,NA
0,1371,NA
0,1370,NA
0.1,1369,NA
0.7,1368,NA
1.2,1367,NA
0.7,1366,NA
0.5,1365,NA
0.2,1364,NA
-0.1,1363,NA
-0.3,1362,NA
0.4,1361,NA
0.6,1360,NA
0.4,1359,NA
-0.2,1358,NA
-0.6,1357,NA
-0.3,1356,NA
-0.3,1355,NA
-0.4,1354,NA
-0.1,1353,NA
0.1,1352,NA
0.1,1351,NA
0.4,1350,NA
0.6,1349,NA
-0.1,1348,NA
0,1347,NA
0.6,1346,NA
0.4,1345,NA
0.5,1344,NA
0.7,1343,NA
0.3,1342,NA
0.4,1341,NA
-0.2,1340,NA
-0.5,1339,NA
-0.6,1338,NA
-0.4,1337,NA
0,1336,NA
-0.4,1335,NA
-0.5,1334,NA
-0.4,1333,NA
-0.4,1332,NA
0,1331,NA
-0.3,1330,NA
-0.4,1329,NA
-0.3,1328,NA
-0.1,1327,NA
0.1,1326,NA
-0.2,1325,NA
-0.4,1324,NA
-0.6,1323,NA
-0.3,1322,NA
0.1,1321,NA
-0.1,1320,NA
-0.1,1319,NA
-0.1,1318,NA
-0.1,1317,NA
-0.5,1316,NA
-0.6,1315,NA
0,1314,NA
0.4,1313,NA
0.2,1312,NA
0,1311,NA
-0.4,1310,NA
-0.6,1309,NA
-0.4,1308,NA
0.2,1307,NA
0.2,1306,NA
0.1,1305,NA
0.2,1304,NA
0.5,1303,NA
-0.2,1302,NA
0,1301,NA
0.3,1300,NA
0.2,1299,NA
0.2,1298,NA
0.5,1297,NA
0,1296,NA
-0.6,1295,NA
-0.4,1294,NA
-0.1,1293,NA
0,1292,NA
0,1291,NA
0.5,1290,NA
0.7,1289,NA
-0.2,1288,NA
-0.1,1287,NA
-0.4,1286,NA
0.3,1285,NA
0.1,1284,NA
0,1283,NA
0.3,1282,NA
0.6,1281,NA
1.1,1280,NA
1,1279,NA
0.6,1278,NA
0.2,1277,NA
0.2,1276,NA
0,1275,NA
0,1274,NA
0.2,1273,NA
0,1272,NA
-0.1,1271,NA
0,1270,NA
0,1269,NA
0,1268,NA
-0.2,1267,NA
-0.1,1266,NA
-0.8,1265,NA
-1.1,1264,NA
-0.7,1263,NA
-0.5,1262,NA
-0.8,1261,NA
-0.4,1260,NA
-0.3,1259,NA
-0.4,1258,NA
-0.6,1257,NA
-0.5,1256,NA
-0.3,1255,NA
-0.3,1254,NA
0.2,1253,NA
0.4,1252,NA
0.1,1251,NA
0,1250,NA
0.2,1249,NA
-0.3,1248,NA
-0.1,1247,NA
0.2,1246,NA
0.1,1245,NA
-0.2,1244,NA
-0.5,1243,NA
-0.5,1242,NA
-0.9,1241,NA
-0.2,1240,NA
0.6,1239,NA
-0.1,1238,NA
-0.4,1237,NA
-0.3,1236,NA
0.1,1235,NA
0.3,1234,NA
0,1233,NA
0.5,1232,NA
0.6,1231,NA
-0.2,1230,NA
-0.7,1229,NA
-0.2,1228,NA
0.5,1227,NA
0.5,1226,NA
0.2,1225,NA
-0.2,1224,NA
-0.3,1223,NA
0.4,1222,NA
0.3,1221,NA
-0.2,1220,NA
-0.4,1219,NA
-0.1,1218,NA
0,1217,NA
0.6,1216,NA
0.5,1215,NA
0.4,1214,NA
0,1213,NA
0.4,1212,NA
0.2,1211,NA
0.8,1210,NA
0,1209,NA
-0.2,1208,NA
0.6,1207,NA
1,1206,NA
0.9,1205,NA
0.7,1204,NA
0.2,1203,NA
-0.5,1202,NA
-0.3,1201,NA
-0.2,1200,NA
-0.5,1199,NA
-0.1,1198,NA
-0.1,1197,NA
-0.1,1196,NA
-0.6,1195,NA
-0.9,1194,NA
-1,1193,NA
-0.2,1192,NA
0,1191,NA
0,1190,NA
-0.6,1189,NA
-0.8,1188,NA
-0.8,1187,NA
-0.7,1186,NA
-0.1,1185,NA
0.4,1184,NA
0.5,1183,NA
-0.2,1182,NA
0,1181,NA
0.7,1180,NA
0.9,1179,NA
0.7,1178,NA
0.9,1177,NA
0.7,1176,NA
0.8,1175,NA
0.8,1174,NA
0.4,1173,NA
0,1172,NA
-0.4,1171,NA
-0.4,1170,NA
-0.3,1169,NA
0.1,1168,NA
0.2,1167,NA
-0.1,1166,NA
-0.4,1165,NA
-0.1,1164,NA
0.4,1163,NA
0.6,1162,NA
0.2,1161,NA
-0.3,1160,NA
-0.4,1159,NA
-0.4,1158,NA
-0.2,1157,NA
0,1156,NA
0,1155,NA
0.5,1154,NA
1,1153,NA
1.4,1152,NA
1,1151,NA
0.6,1150,NA
1.2,1149,NA
0.7,1148,NA
0.3,1147,NA
0,1146,NA
-0.4,1145,NA
-0.2,1144,NA
0.3,1143,NA
0.2,1142,NA
0,1141,NA
-0.2,1140,NA
-0.4,1139,NA
-0.6,1138,NA
-0.7,1137,NA
-0.6,1136,NA
-0.3,1135,NA
-0.3,1134,NA
0,1133,NA
-0.2,1132,NA
-0.6,1131,NA
-0.1,1130,NA
0.1,1129,NA
0.1,1128,NA
-0.2,1127,NA
-0.2,1126,NA
-0.1,1125,NA
0.3,1124,NA
0.6,1123,NA
0.1,1122,NA
0.3,1121,NA
0,1120,NA
-0.2,1119,NA
0.1,1118,NA
0.3,1117,NA
0.5,1116,NA
0,1115,NA
-0.6,1114,NA
-0.9,1113,NA
-1,1112,NA
-0.6,1111,NA
-0.4,1110,NA
-0.5,1109,NA
-0.5,1108,NA
-0.7,1107,NA
-0.7,1106,NA
0,1105,NA
0,1104,NA
-0.1,1103,NA
0.1,1102,NA
-0.1,1101,NA
-0.6,1100,NA
-0.4,1099,NA
-0.3,1098,NA
-0.1,1097,NA
-0.2,1096,NA
0.2,1095,NA
-0.1,1094,NA
-0.5,1093,NA
-0.3,1092,NA
0.1,1091,NA
0,1090,NA
0.4,1089,NA
0.3,1088,NA
0.3,1087,NA
0,1086,NA
0.5,1085,NA
0.7,1084,NA
0.9,1083,NA
0.7,1082,NA
0.7,1081,NA
0.9,1080,NA
0.5,1079,NA
0.4,1078,NA
0.1,1077,NA
-0.5,1076,NA
-0.3,1075,NA
0.1,1074,NA
0.3,1073,NA
0.3,1072,NA
0.2,1071,NA
0,1070,NA
0.5,1069,NA
0.7,1068,NA
0.6,1067,NA
0.5,1066,NA
0.1,1065,NA
-0.1,1064,NA
-0.4,1063,NA
-0.3,1062,NA
-0.3,1061,NA
-0.3,1060,NA
-0.3,1059,NA
0,1058,NA
-0.3,1057,NA
-0.1,1056,NA
-0.3,1055,NA
-0.6,1054,NA
-0.2,1053,NA
0.2,1052,NA
0.2,1051,NA
0.2,1050,NA
0.6,1049,NA
0.9,1048,NA
0.9,1047,NA
0.9,1046,NA
0.5,1045,NA
0.5,1044,NA
0.4,1043,NA
0.2,1042,NA
0.3,1041,NA
0.6,1040,NA
0.5,1039,NA
0.5,1038,NA
0.1,1037,NA
-0.5,1036,NA
-0.1,1035,NA
0.3,1034,NA
0.1,1033,NA
0.9,1032,NA
0.8,1031,NA
0.2,1030,NA
0.2,1029,NA
0,1028,NA
0.1,1027,NA
0.6,1026,NA
0.6,1025,NA
0.2,1024,NA
-0.1,1023,NA
-0.3,1022,NA
0,1021,NA
-0.1,1020,NA
0.7,1019,NA
1,1018,NA
1.2,1017,NA
0.7,1016,NA
0.7,1015,NA
0,1014,NA
-0.9,1013,NA
-0.1,1012,NA
-0.1,1011,NA
-0.5,1010,NA
-0.3,1009,NA
-0.1,1008,NA
-0.1,1007,NA
0.3,1006,NA
0.6,1005,NA
0.7,1004,NA
0.4,1003,NA
-0.2,1002,NA
-0.6,1001,NA
-0.1,1000,NA
0.1,999,NA
0.5,998,NA
0.5,997,NA
-0.3,996,NA
-0.5,995,NA
-0.4,994,NA
-0.9,993,NA
-0.8,992,NA
-0.4,991,NA
0,990,NA
0.4,989,NA
0.7,988,NA
0.8,987,NA
0.6,986,NA
0,985,NA
-0.2,984,NA
0,983,NA
0.4,982,NA
0.5,981,NA
0.4,980,NA
0.3,979,NA
0.6,978,NA
1,977,NA
1,976,NA
0.5,975,NA
-0.1,974,NA
0,973,NA
0,972,NA
0.2,971,NA
0.2,970,NA
0.5,969,NA
0.8,968,NA
0.7,967,NA
0.2,966,NA
0.3,965,NA
0.8,964,NA
1.2,963,NA
1,962,NA
1,961,NA
0.7,960,NA
0.3,959,NA
0.3,958,NA
0,957,NA
0,956,NA
0.3,955,NA
0.4,954,NA
0.4,953,NA
0.6,952,NA
0.7,951,NA
0.2,950,NA
0.3,949,NA
0.4,948,NA
0.2,947,NA
0.7,946,NA
0.8,945,NA
1.1,944,NA
0.8,943,NA
0.1,942,NA
0.4,941,NA
0.3,940,NA
0.4,939,NA
1,938,NA
0.9,937,NA
0.4,936,NA
-0.2,935,NA
0,934,NA
0.3,933,NA
0.4,932,NA
0.5,931,NA
0.5,930,NA
0.7,929,NA
0.8,928,NA
0.8,927,NA
0.8,926,NA
0.7,925,NA
0.3,924,NA
-0.1,923,NA
-0.6,922,NA
-0.5,921,NA
-0.1,920,NA
0.1,919,NA
0.5,918,NA
0.4,917,NA
0.1,916,NA
0.1,915,NA
-0.2,914,NA
-0.3,913,NA
-0.1,912,NA
-0.2,911,NA
-0.3,910,NA
0.2,909,NA
0.2,908,NA
0.5,907,NA
0.6,906,NA
0.3,905,NA
0,904,NA
-0.4,903,NA
-0.3,902,NA
-0.2,901,NA
0.3,900,NA
0.4,899,NA
0.3,898,NA
0.2,897,NA
-0.2,896,NA
0.2,895,NA
0.3,894,NA
0.2,893,NA
-0.3,892,NA
-0.1,891,NA
0.1,890,NA
0.2,889,NA
0.6,888,NA
0.5,887,NA
0.5,886,NA
0.5,885,NA
0.6,884,NA
0.6,883,NA
0.5,882,NA
0.2,881,NA
0,880,NA
-0.2,879,NA
0,878,NA
0.3,877,NA
0.6,876,NA
0.2,875,NA
0.2,874,NA
0.6,873,NA
0.5,872,NA
0,871,NA
0.5,870,NA
0.6,869,NA
0.2,868,NA
0.1,867,NA
0.4,866,NA
1,865,NA
0.6,864,NA
0,863,NA
-0.3,862,NA
-0.8,861,NA
-0.5,860,NA
-0.2,859,NA
-0.4,858,NA
-0.1,857,NA
-0.4,856,NA
0.4,855,NA
0.4,854,NA
-0.4,853,NA
-0.5,852,NA
-0.2,851,NA
0.3,850,NA
0.4,849,NA
0.5,848,NA
0.6,847,NA
0.3,846,NA
0.4,845,NA
0.9,844,NA
0.1,843,NA
0.1,842,NA
-0.4,841,NA
-0.1,840,NA
-0.2,839,NA
-0.8,838,NA
-0.2,837,NA
-0.3,836,NA
-1.3,835,NA
-1.2,834,NA
-0.8,833,NA
-0.7,832,NA
-0.5,831,NA
0.1,830,NA
-0.1,829,NA
0,828,NA
0.8,827,NA
1.2,826,NA
0.7,825,NA
0.3,824,NA
-0.2,823,NA
-0.1,822,NA
0.4,821,NA
0.5,820,NA
0.4,819,NA
0.6,818,NA
0.8,817,NA
0.2,816,NA
0.2,815,NA
0.2,814,NA
-0.1,813,NA
0,812,NA
-0.4,811,NA
-0.7,810,NA
-1.2,809,NA
-1,808,NA
-0.3,807,NA
0,806,NA
0.3,805,NA
-0.5,804,NA
-0.7,803,NA
-1.1,802,NA
-0.6,801,NA
0.5,800,NA
0.2,799,NA
-0.1,798,NA
-0.1,797,NA
-0.1,796,NA
0.3,795,NA
0.2,794,NA
-0.2,793,NA
-0.2,792,NA
-0.2,791,NA
-0.1,790,NA
-0.5,789,NA
-0.4,788,NA
-0.2,787,NA
0.2,786,NA
0.3,785,NA
0.4,784,NA
0.3,783,NA
0.2,782,NA
0.3,781,NA
0.8,780,NA
0.6,779,NA
0.2,778,NA
-0.6,777,NA
-0.7,776,NA
-0.4,775,NA
-0.2,774,NA
0.4,773,NA
0.5,772,NA
0.3,771,NA
-0.3,770,NA
0.4,769,NA
1.1,768,NA
0.2,767,NA
-0.2,766,NA
-0.6,765,NA
-0.7,764,NA
0,763,NA
0.7,762,NA
0.3,761,NA
0.4,760,NA
1.2,759,NA
1,758,NA
0.8,757,NA
-0.2,756,NA
0,755,NA
-1,754,NA
-0.5,753,NA
