d18O (permil),year (AD),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
-35.2,1822,51.72,30.82,182
-35.69,1821,51.96,31,182
-35.13,1820,52.2,31.18,182
-34.89,1819,52.44,31.36,182
-35.3,1818,52.68,31.54,182
-36.13,1817,52.92,31.73,182
-36.1,1816,53.16,31.91,187
-36.44,1815,53.41,32.09,187
-35.94,1814,53.65,32.28,187
-35.51,1813,53.9,32.47,187
-34.78,1812,54.14,32.65,187
-33.69,1811,54.39,32.84,187
-36.56,1810,54.63,33.03,187
-35.6,1809,54.88,33.22,187
-35.12,1808,55.12,33.4,187
-34.1,1807,55.36,33.59,187
-33.35,1806,55.61,33.78,187
-32.9,1805,55.85,33.96,187
-32.04,1804,56.09,34.15,187
-33.71,1803,56.33,34.34,187
-33.8,1802,56.58,34.52,187
-33.9,1801,56.82,34.71,187
-35.6,1800,57.06,34.9,187
-37.42,1799,57.3,35.08,187
-36.25,1798,57.54,35.27,187
-35.26,1797,57.78,35.46,187
-34.37,1796,58.02,35.64,187
-36.09,1795,58.26,35.83,187
-35.83,1794,58.5,36.02,187
-34.29,1793,58.74,36.21,187
-35.69,1792,58.98,36.39,187
-35.81,1791,59.22,36.58,187
-35.9,1790,59.46,36.77,187
-33.97,1789,59.7,36.95,187
-33.37,1788,59.94,37.14,187
-34.76,1787,60.18,37.33,187
-34.93,1786,60.42,37.51,187
-34.05,1785,60.65,37.7,187
-33.43,1784,60.89,37.89,187
-34.95,1783,61.13,38.07,187
-35.44,1782,61.37,38.26,187
-34.22,1781,61.6,38.45,187
-36.09,1780,61.84,38.63,187
-37.44,1779,62.08,38.82,187
-35.65,1778,62.31,39.01,187
-34.66,1777,62.55,39.2,187
-34.57,1776,62.78,39.38,187
-34.51,1775,63.02,39.57,187
-35.07,1774,63.25,39.76,187
-34.18,1773,63.49,39.94,187
-33.08,1772,63.72,40.13,187
-34.72,1771,63.97,40.32,187
-33.65,1770,64.19,40.5,187
-32.13,1769,64.43,40.69,187
-33.58,1768,64.66,40.88,187
-34.72,1767,64.9,41.06,187
-36.06,1766,65.13,41.25,187
-36.57,1765,65.36,41.44,187
-33.09,1764,65.6,41.62,187
-33.92,1763,65.83,41.81,187
-36.42,1762,66.06,42,187
