d18O (permil),year (AD),Sr_Ca (mmol/mol),d13C (permil)
-5.4243,1992.12,8.7779,-1.4751
-5.2825,1992.04,8.7951,-1.5762
-5.2115,1991.96,8.7879,-1.4376
-5.1971,1991.87,8.7489,-1.2691
-5.1327,1991.79,8.7884,-1.2138
-5.1047,1991.71,8.8178,-1.3289
-5.2111,1991.62,8.7757,-1.5247
-5.2385,1991.54,8.765,-1.6071
-5.2544,1991.46,8.7799,-1.6719
-5.2736,1991.37,8.7666,-1.5561
-5.3275,1991.29,8.7513,-1.3903
-5.3943,1991.21,8.7525,-1.2981
-5.44,1991.12,8.755,-1.2908
-5.4435,1991.04,8.7519,-1.2616
-5.3974,1990.96,8.7606,-1.1287
-5.3549,1990.87,8.758,-1.0741
-5.2959,1990.79,8.7554,-1.1752
-5.2575,1990.71,8.7932,-1.3643
-5.2164,1990.62,8.8087,-1.5972
-5.2454,1990.54,8.8079,-1.6471
-5.2961,1990.46,8.796,-1.5725
-5.336,1990.37,8.7844,-1.484
-5.3804,1990.29,8.7658,-1.3408
-5.4057,1990.21,8.7375,-1.1883
-5.3685,1990.12,8.7432,-1.2477
-5.338,1990.04,8.7532,-1.395
-5.2925,1989.96,8.7427,-1.4358
-5.1864,1989.87,8.7365,-1.3746
-5.1917,1989.79,8.7383,-1.3856
-5.2159,1989.71,8.7336,-1.4376
-5.1786,1989.62,8.7316,-1.3979
-5.1561,1989.54,8.7382,-1.3165
-5.1762,1989.46,8.7524,-1.2943
-5.1651,1989.37,8.7672,-1.3192
-5.1562,1989.29,8.7759,-1.2766
-5.1944,1989.21,8.7766,-1.0919
-5.3028,1989.12,8.7348,-1.1342
-5.3418,1989.04,8.7231,-1.1306
-5.3214,1988.96,8.7207,-1.0358
-5.2649,1988.87,8.724,-1.0731
-5.1733,1988.79,8.746,-1.1816
-5.1575,1988.71,8.75,-1.2357
-5.2321,1988.62,8.7193,-1.2436
-5.2499,1988.54,8.7033,-1.2716
-5.2739,1988.46,8.7043,-1.2635
-5.2659,1988.37,8.717,-1.201
-5.2865,1988.29,8.7326,-1.2452
-5.2996,1988.21,8.724,-1.2275
-5.3472,1988.12,8.7186,-1.1735
-5.3445,1988.04,8.7433,-1.2069
-5.2995,1987.96,8.7432,-1.2756
-5.2121,1987.87,8.7378,-1.3795
-5.0421,1987.79,8.7587,-1.4879
-4.8807,1987.71,8.7851,-1.505
-4.8684,1987.62,8.8256,-1.5266
-4.9067,1987.54,8.8355,-1.4701
-4.9687,1987.46,8.8393,-1.5352
-5.073,1987.37,8.8287,-1.5219
-5.2446,1987.29,8.7753,-1.5228
-5.4855,1987.21,8.73,-1.3571
-5.4456,1987.12,8.7421,-1.2296
-5.3907,1987.04,8.7447,-1.3776
-5.3515,1986.96,8.7335,-1.3345
-5.2699,1986.87,8.7385,-1.2891
-5.2239,1986.79,8.7785,-1.2663
-5.2081,1986.71,8.815,-1.3262
-5.1757,1986.62,8.8229,-1.4856
-5.2137,1986.54,8.7964,-1.4164
-5.2202,1986.46,8.8135,-1.3059
-5.2963,1986.37,8.8286,-1.2576
-5.4606,1986.29,8.8138,-1.0997
-5.5026,1986.21,8.7722,-0.8214
-5.4937,1986.12,8.7523,-0.81934
-5.462,1986.04,8.764,-0.87939
-5.345,1985.96,8.7505,-0.79876
-5.2974,1985.87,8.7221,-0.82976
-5.3969,1985.79,8.7077,-1.0554
-5.45,1985.71,8.7155,-1.1639
-5.3307,1985.62,8.72,-1.1353
-5.2615,1985.54,8.7246,-1.0084
-5.3462,1985.46,8.7337,-1.0579
-5.4153,1985.37,8.7435,-1.1367
-5.4207,1985.29,8.7409,-1.1989
-5.4232,1985.21,8.7219,-1.2237
-5.4281,1985.12,8.6808,-1.2294
-5.3803,1985.04,8.6673,-1.126
-5.3866,1984.96,8.6813,-1.0247
-5.3386,1984.87,8.6815,-1.0128
-5.2987,1984.79,8.7078,-0.99833
-5.2428,1984.71,8.7243,-1.1095
-5.2098,1984.62,8.7188,-1.3356
-5.1817,1984.54,8.7278,-1.31
-5.2228,1984.46,8.7241,-1.1208
-5.3217,1984.37,8.6867,-1.0607
-5.503,1984.29,8.6445,-1.0967
-5.6088,1984.21,8.6328,-1.0864
-5.6507,1984.12,8.6561,-0.83612
-5.565,1984.04,8.6827,-0.63328
-5.4231,1983.96,8.6949,-0.73723
-5.3077,1983.87,8.7109,-1.026
-5.2061,1983.79,8.7675,-1.2117
-5.075,1983.71,8.8088,-1.2315
-5.0065,1983.62,8.8258,-1.3891
-5.0498,1983.54,8.8197,-1.4665
-5.1442,1983.46,8.8015,-1.4807
-5.2789,1983.37,8.7681,-1.4321
-5.3873,1983.29,8.7124,-1.3469
-5.4668,1983.21,8.6854,-1.2621
-5.5176,1983.12,8.6841,-1.169
-5.4956,1983.04,8.7022,-0.99509
-5.3728,1982.96,8.7265,-0.82959
-5.1862,1982.87,8.7552,-0.73199
-5.0339,1982.79,8.7922,-0.82459
-4.9073,1982.71,8.8314,-0.93976
-4.8415,1982.62,8.8659,-1.1013
-4.9593,1982.54,8.864,-1.4596
-5.1423,1982.46,8.8173,-1.7075
-5.3905,1982.37,8.7588,-1.2171
-5.3847,1982.29,8.7455,-0.87514
-5.3325,1982.21,8.7271,-0.784
-5.2866,1982.12,8.7007,-0.91313
-5.2405,1982.04,8.7102,-1.0204
-5.2721,1981.96,8.7135,-1.0741
-5.3922,1981.87,8.7184,-0.96911
-5.4239,1981.79,8.7208,-0.90438
-5.4083,1981.71,8.7198,-0.99918
-5.4187,1981.62,8.7163,-1.1573
-5.3165,1981.54,8.7603,-1.2656
-5.2958,1981.46,8.7775,-1.5978
-5.4234,1981.37,8.745,-1.6075
-5.5918,1981.29,8.7061,-1.5252
-5.6171,1981.21,8.6944,-1.3309
-5.5839,1981.12,8.7099,-1.1568
-5.5387,1981.04,8.7233,-1.0769
-5.4615,1980.96,8.7338,-0.97053
-5.3509,1980.87,8.7327,-0.8757
-5.1362,1980.79,8.7687,-0.78208
-5.0811,1980.71,8.7864,-1.0223
-5.0713,1980.62,8.8196,-1.3485
-5.1556,1980.54,8.8174,-1.6393
-5.2564,1980.46,8.7836,-1.7512
-5.3148,1980.37,8.763,-1.5057
-5.3787,1980.29,8.7353,-1.2797
-5.3388,1980.21,8.7276,-1.1216
-5.1512,1980.12,8.7348,-0.91234
-5.0809,1980.04,8.7555,-0.74178
-5.0598,1979.96,8.7775,-0.66535
-5.093,1979.87,8.7985,-0.81101
-5.1042,1979.79,8.7951,-0.97103
-5.1283,1979.71,8.7758,-1.073
-5.133,1979.62,8.7454,-1.1555
-5.129,1979.54,8.7348,-1.1642
-5.1109,1979.46,8.7313,-1.1318
-5.1665,1979.37,8.7207,-1.1005
-5.1586,1979.29,8.7227,-1.1233
-5.1605,1979.21,8.7184,-1.2566
-5.1907,1979.12,8.7045,-1.2725
-5.2416,1979.04,8.6977,-1.1871
-5.2799,1978.96,8.6996,-1.1151
-5.3227,1978.87,8.7048,-1.1268
-5.3913,1978.79,8.7052,-1.0905
-5.3636,1978.71,8.7109,-1.0539
-5.3294,1978.62,8.7122,-1.0683
-5.2851,1978.54,8.7316,-1.0871
-5.242,1978.46,8.7452,-1.1258
-5.2416,1978.37,8.7548,-1.0667
-5.237,1978.29,8.7666,-0.8131
-5.1778,1978.21,8.7735,-0.60311
-5.1064,1978.12,8.7815,-0.55165
-5.0444,1978.04,8.7821,-0.66541
-4.9701,1977.96,8.7979,-0.72339
-4.93,1977.87,8.8151,-0.85341
-4.9527,1977.79,8.8175,-1.0922
-5.0177,1977.71,8.809,-1.1959
-5.055,1977.62,8.7985,-1.2653
-5.0607,1977.54,8.7965,-1.3733
-5.0851,1977.46,8.7874,-1.3797
-5.1618,1977.37,8.7685,-1.2498
-5.3363,1977.29,8.7489,-1.0082
-5.4544,1977.21,8.7424,-0.83169
-5.4699,1977.12,8.7468,-0.84396
-5.3982,1977.04,8.7562,-0.80459
-5.2338,1976.96,8.7626,-0.69907
-5.1266,1976.87,8.7648,-0.74368
-5.0071,1976.79,8.8052,-0.69046
-4.8787,1976.71,8.8625,-0.69873
-4.8621,1976.62,8.8972,-0.97502
-4.8501,1976.54,8.9038,-1.1005
-4.9303,1976.46,8.8653,-0.97331
-4.9927,1976.37,8.842,-0.8471
-5.0199,1976.29,8.8338,-0.7883
-5.046,1976.21,8.8246,-0.767
-5.0506,1976.12,8.8367,-0.86122
-5.0547,1976.04,8.8588,-0.90954
-5.0088,1975.96,8.8537,-0.76282
-4.9679,1975.87,8.8353,-0.6372
-4.9531,1975.79,8.8297,-0.68706
-4.9402,1975.71,8.8194,-0.71045
-4.9521,1975.62,8.8502,-0.52424
-4.9759,1975.54,8.876,-0.59225
-4.9638,1975.46,8.8486,-0.84754
-4.9619,1975.37,8.8254,-1.1169
-5.0317,1975.29,8.7997,-1.282
-5.1301,1975.21,8.7669,-1.2191
-5.1631,1975.12,8.7602,-1.1712
-5.2099,1975.04,8.754,-1.0424
-5.1634,1974.96,8.7466,-1.0864
-5.1173,1974.87,8.7515,-1.2702
-5.0152,1974.79,8.7668,-0.98829
-4.9439,1974.71,8.7726,-0.80425
-4.9678,1974.62,8.7779,-1.0185
-4.9651,1974.54,8.7861,-1.3064
-4.9532,1974.46,8.7842,-1.3675
-4.9614,1974.37,8.8001,-1.3476
-4.9537,1974.29,8.8249,-1.2329
-4.9253,1974.21,8.8375,-1.1612
-5.0299,1974.12,8.8071,-1.3158
-5.1839,1974.04,8.7527,-1.3382
-5.2007,1973.96,8.7188,-1.0912
-5.229,1973.87,8.7229,-1.1261
-5.2108,1973.79,8.7456,-1.2692
-5.2336,1973.71,8.7445,-1.424
-5.2127,1973.62,8.7356,-1.2547
-5.1656,1973.54,8.7597,-1.2643
-5.1583,1973.46,8.7724,-1.4565
-5.1621,1973.37,8.7668,-1.6699
-5.2216,1973.29,8.7595,-1.7734
-5.2377,1973.21,8.7581,-1.6873
-5.2988,1973.12,8.7594,-1.5128
-5.4465,1973.04,8.7398,-1.3643
-5.3585,1972.96,8.7254,-1.3515
-5.028,1972.87,8.7503,-1.2635
-4.8298,1972.79,8.7943,-1.1531
-4.691,1972.71,8.8251,-1.0174
-4.73,1972.62,8.8448,-1.0129
-4.6943,1972.54,8.8634,-1.2103
-4.722,1972.46,8.863,-1.3985
-4.8618,1972.37,8.8425,-1.4268
-4.9859,1972.29,8.8081,-1.4754
-5.1064,1972.21,8.7807,-1.4029
-5.154,1972.12,8.7787,-1.3852
-5.1861,1972.04,8.7652,-1.6366
-5.2562,1971.96,8.7693,-1.9574
-5.2508,1971.87,8.769,-2.0148
-5.2139,1971.79,8.7755,-2.1121
-5.2416,1971.71,8.7664,-2.2211
-5.2468,1971.62,8.7704,-2.1974
-5.233,1971.54,8.7722,-2.1505
-5.1861,1971.46,8.77,-2.0955
-5.2077,1971.37,8.7724,-2.0879
-5.2736,1971.29,8.7656,-2.1166
-5.3058,1971.21,8.7573,-2.0899
-5.3206,1971.12,8.7571,-2.0971
-5.3544,1971.04,8.7595,-2.1642
-5.4002,1970.96,8.7625,-2.2
-5.4061,1970.87,8.758,-2.0793
-5.3985,1970.79,8.7548,-1.9703
-5.423,1970.71,8.7608,-2.1183
-5.4239,1970.62,8.7556,-2.2396
-5.3757,1970.54,8.7427,-2.1328
-5.3161,1970.46,8.7372,-1.9372
-5.2801,1970.37,8.7526,-1.8481
-5.2785,1970.29,8.7724,-1.8477
-5.3247,1970.21,8.762,-1.9133
-5.3538,1970.12,8.768,-2.2049
-5.383,1970.04,8.7743,-2.4139
-5.4189,1969.96,8.771,-2.2608
-5.5643,1969.87,8.7729,-1.7775
-5.6163,1969.79,8.7745,-1.476
-5.6566,1969.71,8.7525,-1.6466
-5.641,1969.62,8.758,-1.6912
-5.565,1969.54,8.7441,-1.8162
-5.5107,1969.46,8.7277,-1.6666
-5.3909,1969.37,8.7386,-1.4424
-5.3258,1969.29,8.75,-1.5453
-5.3545,1969.21,8.7539,-1.694
-5.3699,1969.12,8.7413,-1.8344
-5.3807,1969.04,8.7465,-1.6702
-5.4134,1968.96,8.7651,-1.1925
-5.4951,1968.87,8.7687,-1.3471
-5.5237,1968.79,8.7603,-1.4486
-5.4912,1968.71,8.7758,-1.4656
-5.3902,1968.62,8.7664,-1.3435
-5.3986,1968.54,8.762,-1.2821
-5.4369,1968.46,8.7612,-1.31
-5.4035,1968.37,8.7613,-1.2576
-5.3464,1968.29,8.7805,-1.2627
-5.2498,1968.21,8.8024,-1.4802
-5.2198,1968.12,8.808,-1.6762
-5.3163,1968.04,8.7964,-1.7379
-5.4432,1967.96,8.7722,-1.6139
-5.5209,1967.87,8.7449,-1.318
-5.5285,1967.79,8.7367,-1.1498
-5.4875,1967.71,8.7369,-1.2438
-5.3654,1967.62,8.7404,-1.2717
-5.2135,1967.54,8.7287,-1.0365
-5.1635,1967.46,8.7122,-0.75357
-5.1852,1967.37,8.7288,-0.73604
-5.1311,1967.29,8.7561,-1.0199
-5.1145,1967.21,8.7593,-1.3294
-5.2043,1967.12,8.7556,-1.358
-5.2665,1967.04,8.754,-1.165
-5.3693,1966.96,8.7437,-1.2101
-5.4803,1966.87,8.7472,-1.2638
-5.4993,1966.79,8.7318,-1.2531
-5.5656,1966.71,8.7034,-1.2975
-5.5252,1966.62,8.7069,-1.2405
-5.3354,1966.54,8.7248,-1.203
-5.2321,1966.46,8.7494,-1.2199
-5.2556,1966.37,8.7721,-1.4029
-5.3377,1966.29,8.7506,-1.5583
-5.4574,1966.21,8.7294,-1.422
-5.5328,1966.12,8.7218,-1.2588
-5.5089,1966.04,8.7421,-1.018
-5.5008,1965.96,8.7564,-0.99212
-5.3227,1965.87,8.7685,-0.87283
-5.0815,1965.79,8.7969,-0.90565
-4.9117,1965.71,8.8304,-0.82707
-4.7857,1965.62,8.8666,-0.75717
-4.7441,1965.54,8.8641,-0.80456
-4.7642,1965.46,8.8769,-1.1403
-4.8239,1965.37,8.9084,-1.6855
-4.8588,1965.29,8.91,-2.065
-4.9223,1965.21,8.9,-2.34
-5.1198,1965.12,8.8467,-2.2652
-5.2237,1965.04,8.7862,-2.0649
-5.3366,1964.96,8.7306,-1.8913
-5.424,1964.88,8.7124,-1.6244
-5.3509,1964.79,8.7323,-1.3511
-5.3063,1964.71,8.7469,-1.1232
-5.2259,1964.63,8.749,-1.0826
-5.1476,1964.54,8.7618,-1.1112
-5.1365,1964.46,8.7741,-1.3746
-5.2608,1964.38,8.7466,-1.4702
-5.4986,1964.29,8.7042,-1.0495
-5.4909,1964.21,8.7104,-0.95886
-5.441,1964.13,8.7231,-1.141
-5.4113,1964.04,8.725,-1.2024
-5.3644,1963.96,8.7225,-1.1248
-5.2435,1963.88,8.7303,-1.0708
-5.1652,1963.79,8.7531,-1.0888
-5.1313,1963.71,8.7578,-1.1522
-5.1528,1963.63,8.7619,-1.3292
-5.1829,1963.54,8.7691,-1.5998000000000001
-5.1467,1963.46,8.7697,-1.8079
-5.1548,1963.38,8.7682,-1.8683
-5.1351,1963.29,8.763,-1.9047
-5.1154,1963.21,8.7623,-1.8286
-5.1449,1963.13,8.7615,-1.647
-5.2312,1963.04,8.7463,-1.426
-5.2635,1962.96,8.699,-1.1244
-5.2628,1962.88,8.6801,-0.83936
-5.2017,1962.79,8.6914,-0.62232
-5.1018,1962.71,8.7174,-0.57891
-5.0229,1962.63,8.7429,-0.85914
-5.0726,1962.54,8.7373,-1.0618
-5.1296,1962.46,8.7206,-0.99288
-5.21,1962.38,8.7235,-1.121
-5.1959,1962.29,8.753,-1.4215
-5.223,1962.21,8.7577,-1.5476
-5.3193,1962.13,8.7466,-1.4596
-5.4052,1962.04,8.7118,-1.2721
-5.4673,1961.96,8.6914,-0.82332
-5.404,1961.88,8.694,-0.62041
-5.375,1961.79,8.6982,-0.74965
-5.3257,1961.71,8.7223,-0.913
-5.3111,1961.63,8.7364,-0.95758
-5.3463,1961.54,8.7487,-1.1327
-5.347,1961.46,8.7528,-1.3673
-5.369,1961.38,8.7355,-1.5751
-5.452,1961.29,8.73,-1.4124
-5.5313,1961.21,8.7273,-1.0375
-5.5304,1961.13,8.739,-0.92461
-5.4376,1961.04,8.753,-0.90793
-5.3415,1960.96,8.7451,-0.96388
-5.3271,1960.88,8.7406,-0.92547
-5.3218,1960.79,8.7453,-0.86314
-5.3031,1960.71,8.767,-1.0893
-5.2276,1960.63,8.7735,-1.3617
-5.2583,1960.54,8.7683,-1.4468
-5.3252,1960.46,8.7599,-1.3656
-5.4289,1960.38,8.7467,-1.2274
-5.5065,1960.29,8.7373,-1.1169
-5.5056,1960.21,8.7363,-1.0621
-5.4428,1960.13,8.7404,-1.0773
-5.3999,1960.04,8.7454,-1.1992
-5.4042,1959.96,8.7332,-1.1069
-5.3902,1959.88,8.7168,-1.1124
-5.329,1959.79,8.7193,-1.242
-5.3,1959.71,8.726,-1.4252
-5.3688,1959.63,8.714,-1.5651
-5.39,1959.54,8.7005,-1.4933
-5.4065,1959.46,8.7019,-1.4841
-5.4415,1959.38,8.7036,-1.3888
-5.4701,1959.29,8.7085,-1.2543
-5.4564,1959.21,8.7153,-1.1029
-5.4135,1959.13,8.7276,-0.96322
-5.4132,1959.04,8.7572,-0.9696
-5.433,1958.96,8.748,-1.0434
-5.4203,1958.88,8.7276,-1.0864
-5.4002,1958.79,8.7146,-1.1341
-5.3828,1958.71,8.7168,-1.2678
-5.3296,1958.63,8.7362,-1.454
-5.2139,1958.54,8.7637,-1.5712
-5.2487,1958.46,8.7575,-1.8715
-5.3954,1958.38,8.7239,-1.6752
-5.4679,1958.29,8.7066,-1.3787
-5.4096,1958.21,8.7222,-1.2873000000000001
-5.381,1958.13,8.729,-1.2485
-5.3195,1958.04,8.7455,-1.0821
-5.2248,1957.96,8.753,-0.98841
-5.0685,1957.88,8.7717,-0.84915
-5.0024,1957.79,8.8031,-0.96114
-5.0237,1957.71,8.821,-1.2516
-5.0751,1957.63,8.8288,-1.502
-5.1193,1957.54,8.8296,-1.7906
-5.1838,1957.46,8.8176,-1.968
-5.287,1957.38,8.7783,-1.7536
-5.3769,1957.29,8.7499,-1.4639
-5.4192,1957.21,8.7428,-1.3026
-5.401,1957.13,8.7444,-1.1987
-5.3378,1957.04,8.752,-1.1187
-5.2885,1956.96,8.7427,-1.0572
-5.3445,1956.88,8.7525,-1.0327
-5.3588,1956.79,8.7493,-1.0155
-5.3402,1956.71,8.74,-0.90768
-5.3355,1956.63,8.7283,-0.89958
-5.2828,1956.54,8.7225,-1.0067
-5.2562,1956.46,8.7255,-1.1085
-5.3048,1956.38,8.7334,-1.1358
-5.2579,1956.29,8.7483,-1.0792
-5.2088,1956.21,8.7652,-1.0663
-5.2685,1956.13,8.7669,-0.94786
-5.3413,1956.04,8.7543,-0.88807
-5.3875,1955.96,8.7313,-0.83694
-5.3944,1955.88,8.7378,-0.75804
-5.3465,1955.79,8.7609,-0.71004
-5.2686,1955.71,8.7818,-0.71732
-5.2041,1955.63,8.794,-0.72427
-5.127,1955.54,8.7984000000000009,-0.72607
-5.0871,1955.46,8.8093,-0.80972
-5.1511,1955.38,8.7878,-0.95085
-5.2197,1955.29,8.7804,-1.0968
-5.2865,1955.21,8.7797,-1.153
-5.3991,1955.13,8.775,-1.0465
-5.4622,1955.04,8.7612,-1.0129
-5.5048,1954.96,8.7515,-0.96542
-5.4443,1954.88,8.7531,-0.74359
-5.3238,1954.79,8.764,-0.6566
-5.2582,1954.71,8.7448,-0.66096
-5.251,1954.63,8.7206,-0.74849
-5.2669,1954.54,8.7246,-0.8382
-5.3044,1954.46,8.7325,-0.93222
-5.3006,1954.38,8.753,-1.1135
-5.3637,1954.29,8.7306,-1.1125
-5.4875,1954.21,8.7033,-0.82704
-5.529,1954.13,8.7188,-0.63148
-5.6074,1954.04,8.7123,-0.69688
-5.6001,1953.96,8.6937,-0.67685
-5.5544,1953.88,8.7046,-0.61363
-5.4711,1953.79,8.7108,-0.75695
-5.3213,1953.71,8.7199,-0.90441
-5.1911,1953.63,8.7699,-0.95397
-5.2026,1953.54,8.8034,-1.1161
-5.2368,1953.46,8.7871,-1.1806
-5.3093,1953.38,8.7678,-1.2372
-5.4398,1953.29,8.7542,-1.2443
-5.6202,1953.21,8.7327,-1.0533
-5.6333,1953.13,8.7161,-0.94364
-5.5804,1953.04,8.7237,-0.82533
-5.5287,1952.96,8.7209,-0.69922
-5.5037,1952.88,8.7135,-0.76666
-5.4311,1952.79,8.7059,-0.79356
-5.3462,1952.71,8.7244,-0.73164
-5.3128,1952.63,8.7209,-0.79791
-5.3526,1952.54,8.72,-1.1316
-5.3459,1952.46,8.7218,-1.2155
-5.2929,1952.38,8.7202,-1.048
-5.3536,1952.29,8.7057,-0.91207
-5.395,1952.21,8.6887,-0.95938
-5.3769,1952.13,8.6928,-0.99217
-5.3464,1952.04,8.6971,-1.0736
-5.3033,1951.96,8.7086,-1.057
-5.1749,1951.88,8.7188,-0.84676
-5.0049,1951.79,8.745,-0.81429
-4.9862,1951.71,8.7675,-0.96836
-5.0011,1951.63,8.7906,-1.1165
-5.0779,1951.54,8.7962,-1.2263
-5.0768,1951.46,8.8045,-0.94262
-5.1676,1951.38,8.7826,-0.7666
-5.169,1951.29,8.7619,-0.59256
-5.166,1951.21,8.7339,-0.45119
-5.2109,1951.13,8.7496,-0.5688
-5.2609,1951.04,8.7805,-0.75182
-5.3513,1950.96,8.776,-0.79902
-5.3155,1950.88,8.7678,-0.80192
-5.2019,1950.79,8.7583,-0.8224
-5.148,1950.71,8.7555,-0.80332
-5.2236,1950.63,8.7693,-0.82297
-5.4631,1950.54,8.7701,-0.88983
-5.5318,1950.46,8.7532,-0.85344
-5.5894,1950.38,8.7571,-0.69749
-5.6687,1950.29,8.7593,-0.78065
-5.436,1950.21,8.7422,-0.66826
-5.2669,1950.13,8.7401,-0.70744
-5.2439,1950.04,8.7045,-0.82806
-5.283,1949.96,8.7035,-0.92834
-5.3063,1949.88,8.7101,-0.91649
-5.2934,1949.79,8.7304,-1.0631
-5.2386,1949.71,8.7457,-1.1077
-5.3092,1949.63,8.7336,-0.94577
-5.4583,1949.54,8.7177,-0.74818
-5.5044,1949.46,8.7234,-0.66277
-5.5045,1949.38,8.7428,-0.69221
-5.4414,1949.29,8.7387,-0.67234
-5.3615,1949.21,8.7278,-0.637
-5.3647,1949.13,8.7286,-0.72399
-5.3812,1949.04,8.7266,-0.79482
-5.329,1948.96,8.7332,-0.93937
-5.3019,1948.88,8.7435,-0.87061
-5.3472,1948.79,8.7637,-0.93081
-5.3794,1948.71,8.7651,-0.97909
-5.4013,1948.63,8.7262,-0.82554
-5.4299,1948.54,8.7277,-0.62818
-5.3691,1948.46,8.7648,-0.62574
-5.2923,1948.38,8.7865,-0.51462
-5.3327,1948.29,8.7983,-0.6156
-5.3746,1948.21,8.7678,-0.93179
-5.3851,1948.13,8.7364,-1.08
-5.3409,1948.04,8.7316,-0.94456
-5.2953,1947.96,8.7335,-0.93347
-5.3562,1947.88,8.7301,-1.082
-5.4231,1947.79,8.7307,-1.1383
-5.5546,1947.71,8.7278,-1.1665
-5.7144,1947.63,8.6953,-1.1152
-5.7873,1947.54,8.6882,-0.96178
-5.8249,1947.46,8.6888,-0.91508
-5.7738,1947.38,8.6932,-0.92891
-5.7124,1947.29,8.6978,-0.95337
-5.6954,1947.21,8.6962,-1.0376
-5.6859,1947.13,8.6942,-1.1215
-5.6488,1947.04,8.6992,-1.0988
-5.6027,1946.96,8.7066,-1.0756
-5.5391,1946.88,8.7192,-1.1359
-5.4701,1946.79,8.7319,-1.2013
-5.3753,1946.71,8.7415,-1.2299
-5.292,1946.63,8.7526,-1.257
-5.2982,1946.54,8.7684,-1.3552
-5.3431,1946.46,8.7601,-1.5551
-5.445,1946.38,8.7342,-1.6019
-5.5822,1946.29,8.732,-1.4612
-5.6793,1946.21,8.7288,-1.2895
-5.6211,1946.13,8.7103,-1.2076
-5.4357,1946.04,8.7086,-1.1408
-5.403,1945.96,8.7177,-1.2808
-5.3663,1945.88,8.7167,-1.2785
-5.2572,1945.79,8.7189,-1.1022
-5.1106,1945.71,8.7695,-0.96057
-5.01,1945.63,8.7948,-1.0048
-5.0608,1945.54,8.7976,-1.0765
-5.1991,1945.46,8.7616,-1.0785
-5.3483,1945.38,8.7341,-0.99884
-5.4983,1945.29,8.7297,-0.98988
-5.5995,1945.21,8.7121,-0.9972
-5.5884,1945.13,8.716,-0.86639
-5.5253,1945.04,8.7059,-0.78941
-5.5034,1944.96,8.7157,-0.90939
-5.4753,1944.88,8.7235,-0.96119
-5.4503,1944.79,8.7233,-0.96256
-5.3443,1944.71,8.7121,-1.0348
-5.3849,1944.63,8.7136,-1.158
-5.4009,1944.54,8.7452,-1.1792
-5.4111,1944.46,8.7566,-1.1254
-5.4222,1944.38,8.7427,-1.0245
-5.4292,1944.29,8.7342,-0.86366
-5.39,1944.21,8.7472,-0.71502
