d18O (permil),year (AD),depth (mm),d18O (permil) [1-2],year (AD) [1-2],depth (mm) [1-2],d18O (permil) [1-3],year (AD) [1-3],depth (mm) [1-3]
NA,NA,NA,-8.99,10.33,168.7,-7.71,-10020,27.33
NA,NA,NA,-8.65,10.35,168.8,-7.57,-10030,27.5
NA,NA,NA,-9,10.36,168.9,-7.64,-10040,27.67
NA,NA,NA,-8.9,10.38,169,-7.77,-10040,27.83
NA,NA,NA,-8.83,10.4,169.1,-7.15,-10050,28
NA,NA,NA,-8.31,10.42,169.2,-7.28,-10050,28.17
NA,NA,NA,-8.3,10.44,169.3,-7.3,-10060,28.33
NA,NA,NA,-8.61,10.46,169.4,-7.05,-10070,28.5
NA,NA,NA,-8.03,10.48,169.5,-6.89,-10070,28.67
NA,NA,NA,-8.7,10.49,169.6,-6.76,-10080,28.83
NA,NA,NA,-8.86,10.51,169.7,-6.87,-10080,29
NA,NA,NA,-8.92,10.53,169.8,-6.86,-10090,29.17
NA,NA,NA,-8.83,10.55,169.9,-6.97,-10100,29.33
NA,NA,NA,-9.02,10.57,170,-6.57,-10100,29.5
NA,NA,NA,0,0,170.1,-6.88,-10110,29.67
NA,NA,NA,-8.95,10.61,170.2,-7.54,-10110,29.83
NA,NA,NA,-8.69,10.63,170.3,-6.82,-10120,30
NA,NA,NA,-8.77,10.65,170.4,-7.07,-10130,30.17
NA,NA,NA,-9.05,10.67,170.5,-6.84,-10130,30.33
NA,NA,NA,-8.87,10.68,170.6,-6.98,-10140,30.5
NA,NA,NA,-8.2,10.7,170.7,-6.89,-10150,30.67
NA,NA,NA,-8.43,10.72,170.8,-6.73,-10160,30.83
NA,NA,NA,-8.32,10.74,170.9,-6.52,-10160,31
NA,NA,NA,-8.63,10.76,171,-6.29,-10170,31.17
NA,NA,NA,-8.96,10.78,171.1,-6.55,-10180,31.33
NA,NA,NA,-8.9,10.8,171.2,-7.11,-10180,31.5
NA,NA,NA,-8.82,10.82,171.3,-7.33,-10190,31.67
NA,NA,NA,-7.96,10.84,171.4,-7.17,-10200,31.83
NA,NA,NA,-7.75,10.86,171.5,-6.74,-10200,32
NA,NA,NA,-7.7,10.87,171.6,-6.87,-10210,32.17
NA,NA,NA,-7.84,10.89,171.7,-6.21,-10220,32.33
NA,NA,NA,-7.97,10.91,171.8,-6.78,-10230,32.5
NA,NA,NA,-8.11,10.93,171.9,-7.34,-10230,32.67
NA,NA,NA,-8.23,10.95,172,-7.27,-10240,32.83
NA,NA,NA,-8.18,10.97,172.1,-7.01,-10250,33
NA,NA,NA,-8.71,10.99,172.2,-7.13,-10250,33.17
NA,NA,NA,-8.6,11.01,172.3,-6.84,-10260,33.33
NA,NA,NA,-8.42,11.03,172.4,-6.5,-10270,33.5
NA,NA,NA,-8.32,11.05,172.5,-6.24,-10270,33.67
NA,NA,NA,-8.4,11.07,172.6,-6.44,-10280,33.83
NA,NA,NA,-8.63,11.08,172.7,-6.39,-10290,34
NA,NA,NA,-8.38,11.1,172.8,-6.51,-10300,34.17
NA,NA,NA,-8.21,11.12,172.9,-6.36,-10300,34.33
NA,NA,NA,-8.24,11.14,173,-6.38,-10310,34.5
NA,NA,NA,-8.41,11.16,173.1,-6.48,-10320,34.67
NA,NA,NA,-8.61,11.18,173.2,-5.95,-10320,34.83
NA,NA,NA,-7.52,11.2,173.3,-6.25,-10330,35
NA,NA,NA,-7.37,11.22,173.4,-6.67,-10340,35.17
NA,NA,NA,-7.62,11.24,173.5,-6.21,-10340,35.33
NA,NA,NA,-7.95,11.26,173.6,-6.51,-10350,35.5
NA,NA,NA,-8.22,11.28,173.7,-6.82,-10360,35.67
NA,NA,NA,-8,11.29,173.8,-6.75,-10370,35.83
NA,NA,NA,-7.45,11.31,173.9,-6.8,-10370,36
NA,NA,NA,-7.57,11.33,174,-6.88,-10380,36.17
NA,NA,NA,-7.45,11.35,174.1,-6.74,-10390,36.33
NA,NA,NA,-7.76,11.37,174.2,-6.75,-10390,36.5
NA,NA,NA,-7.73,11.39,174.3,-6.63,-10400,36.67
NA,NA,NA,-7.37,11.41,174.4,-6.7,-10410,36.83
NA,NA,NA,-7.44,11.43,174.5,-7.25,-10410,37
NA,NA,NA,-7.36,11.45,174.6,-6.71,-10420,37.17
NA,NA,NA,-7.36,11.47,174.7,-6.32,-10430,37.33
NA,NA,NA,-7.54,11.49,174.8,-6.55,-10440,37.5
NA,NA,NA,-7.42,11.5,174.9,-6.31,-10440,37.67
NA,NA,NA,-7.42,11.52,175,-6.4,-10450,37.83
NA,NA,NA,-7.27,11.54,175.1,-6.49,-10460,38
NA,NA,NA,-6.93,11.56,175.2,-6.24,-10460,38.17
NA,NA,NA,-6.89,11.58,175.3,-6.43,-10470,38.33
NA,NA,NA,-6.85,11.6,175.4,-6.37,-10480,38.5
NA,NA,NA,-6.76,11.62,175.5,-6.42,-10480,38.67
NA,NA,NA,-6.76,11.64,175.6,-6.15,-10490,38.83
NA,NA,NA,-6.86,11.66,175.7,-5.88,-10500,39
NA,NA,NA,-6.8,11.68,175.8,-6.25,-10510,39.17
NA,NA,NA,-6.62,11.69,175.9,-6.39,-10510,39.33
NA,NA,NA,-6.63,11.71,176,-6.48,-10520,39.5
NA,NA,NA,-6.34,11.73,176.1,-6.53,-10530,39.67
NA,NA,NA,-6.29,11.75,176.2,-6.8,-10530,39.83
NA,NA,NA,-6.57,11.77,176.3,-6.76,-10540,40
NA,NA,NA,-6.59,11.79,176.4,-6.83,-10550,40.17
NA,NA,NA,-6.38,11.81,176.5,-6.92,-10550,40.33
NA,NA,NA,-6.12,11.83,176.6,-6.85,-10560,40.5
NA,NA,NA,-6.77,11.85,176.7,-6.92,-10570,40.67
NA,NA,NA,-6.73,11.87,176.8,-6.89,-10580,40.83
NA,NA,NA,-6.89,11.89,176.9,-6.77,-10580,41
NA,NA,NA,-6.74,11.9,177,-6.87,-10590,41.17
NA,NA,NA,-6.66,11.92,177.1,-6.95,-10600,41.33
NA,NA,NA,-6.8,11.94,177.2,-6.91,-10600,41.5
NA,NA,NA,-6.87,11.96,177.3,-6.71,-10610,41.67
NA,NA,NA,-6.63,11.98,177.4,-6.96,-10620,41.83
NA,NA,NA,-6.87,12,177.5,-6.98,-10620,42
NA,NA,NA,-6.45,12.02,177.6,-7.03,-10630,42.17
NA,NA,NA,-6.7,12.04,177.7,-6.94,-10640,42.33
NA,NA,NA,-6.5,12.06,177.8,-6.78,-10650,42.5
NA,NA,NA,-6.84,12.08,177.9,-6.92,-10650,42.67
NA,NA,NA,-6.49,12.09,178,-6.94,-10660,42.83
NA,NA,NA,-6.51,12.11,178.1,-6.88,-10670,43
NA,NA,NA,-6.65,12.13,178.2,-6.91,-10670,43.17
NA,NA,NA,-6.49,12.15,178.3,-7.02,-10680,43.33
NA,NA,NA,-6.6,12.18,178.4,-7.14,-10690,43.5
NA,NA,NA,-6.7,12.21,178.5,-7.19,-10690,43.67
NA,NA,NA,-6.86,12.24,178.6,-7.23,-10700,43.83
NA,NA,NA,-6.96,12.27,178.7,-7.16,-10710,44
NA,NA,NA,-6.31,12.3,178.8,-7.22,-10720,44.17
NA,NA,NA,-6.56,12.33,178.9,-7.25,-10720,44.33
NA,NA,NA,-6.71,12.36,179,-7.12,-10730,44.5
NA,NA,NA,-6.82,12.4,179.1,-7.41,-10740,44.67
NA,NA,NA,-6.8,12.43,179.2,-7.47,-10740,44.83
NA,NA,NA,-6.94,12.46,179.3,-7.31,-10750,45
NA,NA,NA,-6.95,12.49,179.4,-7.25,-10760,45.17
NA,NA,NA,-6.62,12.52,179.5,-7.37,-10760,45.33
NA,NA,NA,-6.48,12.55,179.6,-7.46,-10770,45.5
NA,NA,NA,-6.52,12.57,179.7,-7.46,-10780,45.67
NA,NA,NA,-7.18,12.6,179.8,-7.49,-10790,45.83
NA,NA,NA,-7.28,12.63,179.9,-7.75,-10790,46
NA,NA,NA,-7.15,12.66,180,-7.53,-10800,46.17
NA,NA,NA,-7.29,12.69,180.1,-7.53,-10810,46.33
NA,NA,NA,-7.11,12.72,180.2,-7.6,-10810,46.5
NA,NA,NA,-7.41,12.74,180.3,-7.5,-10820,46.67
NA,NA,NA,-7.49,12.77,180.4,-7.48,-10830,46.83
NA,NA,NA,-7.17,12.8,180.5,-7.37,-10830,47
NA,NA,NA,-7.44,12.83,180.6,-7.35,-10840,47.17
NA,NA,NA,-7.34,12.86,180.7,-7.46,-10850,47.33
NA,NA,NA,-7.47,12.88,180.8,-7.36,-10860,47.5
NA,NA,NA,-7.52,12.91,180.9,-7.5,-10860,47.67
NA,NA,NA,-6.92,12.94,181,-7.43,-10870,47.83
NA,NA,NA,-7.23,12.97,181.1,-7.46,-10880,48
NA,NA,NA,-7.27,13,181.2,-7.39,-10880,48.17
NA,NA,NA,-7.05,13,181.3,-7.5,-10890,48.33
NA,NA,NA,-7.31,13.01,181.4,-7.56,-10900,48.5
NA,NA,NA,-7.85,13.02,181.5,-7.61,-10900,48.67
NA,NA,NA,-7.85,13.02,181.6,-7.68,-10910,48.83
NA,NA,NA,-7.74,13.03,181.7,-7.54,-10920,49
NA,NA,NA,-7.59,13.04,181.8,-7.58,-10930,49.17
NA,NA,NA,-7.57,13.04,181.9,-7.44,-10930,49.33
NA,NA,NA,-7.53,13.05,182,-7.84,-10940,49.5
NA,NA,NA,-7.81,13.06,182.1,-7.78,-10950,49.67
NA,NA,NA,-7.92,13.06,182.2,-7.95,-10950,49.83
NA,NA,NA,-7.88,13.07,182.3,-7.72,-10960,50
NA,NA,NA,-7.85,13.07,182.4,-7.77,-10960,50.17
NA,NA,NA,-8.13,13.08,182.5,-7.87,-10970,50.33
NA,NA,NA,-8.24,13.09,182.6,-8.03,-10970,50.5
NA,NA,NA,-8.1,13.09,182.7,-7.87,-10980,50.67
NA,NA,NA,-8.07,13.1,182.8,-7.78,-10980,50.83
NA,NA,NA,-8.15,13.11,182.9,-8.02,-10990,51
NA,NA,NA,-8.4,13.11,183,-8.03,-10990,51.17
NA,NA,NA,-8.17,13.12,183.1,-7.86,-11000,51.33
NA,NA,NA,-8.38,13.13,183.2,-8.06,-11000,51.5
NA,NA,NA,-8.49,13.13,183.3,-8.06,-11010,51.67
NA,NA,NA,-7.83,13.14,183.4,-8,-11010,51.83
NA,NA,NA,-7.73,13.14,183.5,-8.1,-11010,52
NA,NA,NA,-7.77,13.15,183.6,-8.25,-11020,52.17
NA,NA,NA,-7.85,13.16,183.7,-8.16,-11020,52.33
NA,NA,NA,-7.81,13.16,183.8,-8.33,-11030,52.5
NA,NA,NA,-7.93,13.17,183.9,-8.15,-11030,52.67
NA,NA,NA,-7.88,13.19,184,-8.45,-11040,52.83
NA,NA,NA,-7.87,13.2,184.1,-8.36,-11040,53
NA,NA,NA,-7.81,13.22,184.2,-8.33,-11050,53.17
NA,NA,NA,-8.05,13.23,184.3,-8.59,-11050,53.33
NA,NA,NA,-7.47,13.25,184.4,-8.62,-11060,53.5
NA,NA,NA,-7.86,13.26,184.5,-8.56,-11060,53.67
NA,NA,NA,-7.78,13.28,184.6,-8.62,-11060,53.83
NA,NA,NA,-8.07,13.3,184.7,-8.67,-11070,54
NA,NA,NA,-8.03,13.31,184.8,-8.56,-11070,54.17
NA,NA,NA,-8.05,13.33,184.9,-8.29,-11080,54.33
NA,NA,NA,-7.75,13.34,185,-8.56,-11080,54.5
NA,NA,NA,-7.91,13.36,185.1,-8.41,-11090,54.67
NA,NA,NA,-7.87,13.37,185.2,-8.3,-11090,54.83
NA,NA,NA,-8.01,13.39,185.3,-8.27,-11100,55
NA,NA,NA,-7.9,13.41,185.4,-8.15,-11100,55.17
NA,NA,NA,-7.87,13.42,185.5,-8.3,-11100,55.33
NA,NA,NA,-8.09,13.44,185.6,-8.38,-11110,55.5
NA,NA,NA,-8.03,13.45,185.7,-8.38,-11110,55.67
NA,NA,NA,-8.01,13.47,185.8,-8.43,-11120,55.83
NA,NA,NA,-8.2,13.48,185.9,-8.4,-11120,56
NA,NA,NA,-8.29,13.5,186,-8.38,-11130,56.2
NA,NA,NA,-8.09,13.52,186.1,-8.41,-11130,56.4
NA,NA,NA,NA,NA,186.2,-8.48,-11140,56.6
NA,NA,NA,NA,NA,186.3,-8.37,-11140,56.8
NA,NA,NA,-7.98,13.56,186.4,-8.38,-11150,57
NA,NA,NA,-8.15,13.58,186.5,-8.45,-11150,57.2
NA,NA,NA,-7.94,13.59,186.6,-8.3,-11150,57.4
NA,NA,NA,-7.89,13.61,186.7,-8.3,-11160,57.6
NA,NA,NA,-8.03,13.63,186.8,-8.28,-11160,57.8
NA,NA,NA,-7.97,13.64,186.9,-8.29,-11170,58
NA,NA,NA,-7.9,13.67,187,-8.02,-11170,58.2
NA,NA,NA,-7.94,13.7,187.1,-8.16,-11180,58.4
NA,NA,NA,-7.86,13.73,187.2,-8.14,-11180,58.6
NA,NA,NA,-7.91,13.75,187.3,-8.13,-11190,58.8
NA,NA,NA,-8.11,13.78,187.4,-8.1,-11190,59
NA,NA,NA,-8.27,13.81,187.5,-8.04,-11200,59.15
NA,NA,NA,-8.22,13.84,187.6,-8.22,-11200,59.35
NA,NA,NA,-7.45,13.87,187.7,-8.14,-11200,59.55
NA,NA,NA,-7.9,13.89,187.8,-8.17,-11210,59.75
NA,NA,NA,-8.16,13.92,187.9,-8.05,-11210,59.95
NA,NA,NA,-7.95,13.95,188,-7.93,-11220,60.15
NA,NA,NA,-7.53,13.98,188.1,-7.85,-11220,60.35
NA,NA,NA,-7.33,14.01,188.2,-8.02,-11230,60.55
NA,NA,NA,NA,NA,188.3,-8,-11230,60.75
NA,NA,NA,NA,NA,188.4,-8.03,-11240,60.95
NA,NA,NA,NA,NA,188.5,-8.09,-11240,61.15
NA,NA,NA,-7.68,14.12,188.6,-8.09,-11250,61.35
NA,NA,NA,-7.4,14.16,188.7,-8.06,-11250,61.55
NA,NA,NA,-7.53,14.2,188.8,-8.17,-11250,61.75
NA,NA,NA,-7.35,14.23,188.9,-8.08,-11260,61.95
NA,NA,NA,-7.68,14.27,189,-8.07,-11260,62.15
NA,NA,NA,-7.27,14.31,189.1,-8.1,-11270,62.35
NA,NA,NA,-6.64,14.35,189.2,-7.96,-11270,62.55
NA,NA,NA,-6.78,14.38,189.3,-7.71,-11280,62.75
NA,NA,NA,-6.92,14.42,189.4,-7.85,-11280,62.95
NA,NA,NA,-6.72,14.46,189.5,-7.99,-11290,63.15
NA,NA,NA,-6.35,14.5,189.6,-7.94,-11290,63.35
NA,NA,NA,-5.92,14.54,189.7,-7.87,-11300,63.55
NA,NA,NA,-6.93,14.57,189.8,-7.94,-11300,63.75
NA,NA,NA,-6.33,14.61,189.9,-7.87,-11300,63.95
NA,NA,NA,-6.69,14.65,190,-7.72,-11310,64.15
NA,NA,NA,-5.71,14.69,190.1,-7.86,-11310,64.35
NA,NA,NA,-5.45,14.72,190.2,-7.94,-11320,64.55
NA,NA,NA,-5.15,14.76,190.3,-7.96,-11320,64.75
NA,NA,NA,-5.45,14.8,190.4,-7.99,-11330,64.95
NA,NA,NA,-5.32,14.84,190.5,-7.98,-11330,65.16
NA,NA,NA,-5.27,14.88,190.6,-7.88,-11340,65.37
NA,NA,NA,-5.18,14.93,190.7,-7.87,-11340,65.58
NA,NA,NA,-4.96,14.97,190.8,-7.96,-11340,65.79
NA,NA,NA,-5.29,15.01,190.9,-8.14,-11350,66
NA,NA,NA,-5.07,15.06,191,-8.36,-11350,66.2
NA,NA,NA,-5.29,15.1,191.1,-8.45,-11360,66.4
NA,NA,NA,-5.33,15.15,191.2,-8.37,-11360,66.6
NA,NA,NA,-5.64,15.19,191.3,-8.35,-11370,66.8
NA,NA,NA,-5.52,15.24,191.4,-8.38,-11370,67
NA,NA,NA,-5.34,15.28,191.5,-8.35,-11380,67.2
NA,NA,NA,-5.72,15.32,191.6,-8.36,-11380,67.4
NA,NA,NA,-5.12,15.37,191.7,-8.26,-11390,67.6
NA,NA,NA,-5.24,15.41,191.8,-8.36,-11390,67.8
NA,NA,NA,-5.28,15.46,191.9,-8.33,-11390,68
NA,NA,NA,-5.16,15.5,192,-8.56,-11400,68.2
NA,NA,NA,-5.1,15.54,192.1,-8.48,-11400,68.4
NA,NA,NA,-5.15,15.57,192.2,-8.58,-11410,68.6
NA,NA,NA,-5.08,15.6,192.3,-8.38,-11410,68.8
NA,NA,NA,-5.08,15.62,192.4,-8.4,-11420,69
NA,NA,NA,-5.08,15.65,192.5,-8.26,-11420,69.2
NA,NA,NA,-4.94,15.68,192.6,-8.34,-11430,69.4
NA,NA,NA,-4.96,15.71,192.7,-8.28,-11430,69.6
NA,NA,NA,-4.92,15.73,192.8,-8.29,-11440,69.8
NA,NA,NA,-4.84,15.76,192.9,-8.09,-11440,70
NA,NA,NA,-4.89,15.79,193,-8.09,-11440,70.2
NA,NA,NA,-5.14,15.81,193.1,-8.01,-11450,70.4
NA,NA,NA,-8.18,42.4,194,-8.33,-11450,70.6
NA,NA,NA,-6.83,42.85,194.5,-8.21,-11460,70.8
NA,NA,NA,-7.28,43.3,195,-8.34,-11460,71
NA,NA,NA,-6.99,43.75,195.5,-8.46,-11460,71.2
NA,NA,NA,-7.32,44.2,196,-8.48,-11470,71.4
NA,NA,NA,-7.51,44.65,196.5,-8.32,-11470,71.6
NA,NA,NA,-7.89,45.1,197,-8.2,-11480,71.8
NA,NA,NA,-8.21,45.55,197.5,-8.16,-11480,72
NA,NA,NA,-7.76,46,198,-7.97,-11480,72.2
NA,NA,NA,-7.98,46.45,198.5,-8.03,-11490,72.4
NA,NA,NA,-7.38,46.9,199,-8.19,-11490,72.6
NA,NA,NA,-7.11,47.35,199.5,-8.14,-11500,72.8
NA,NA,NA,-6.67,47.8,200,-8.37,-11500,73
NA,NA,NA,-7.68,48.31,201,-8.25,-11500,73.2
NA,NA,NA,-8.04,48.83,202,-8.2,-11510,73.4
NA,NA,NA,-8.31,49.34,203,-8.15,-11510,73.6
NA,NA,NA,-8.72,49.85,204,-8.14,-11520,73.8
