Sample ID (unitless),year (AD),d18O (per mil),Sr/Ca (mmol/mol),d18Osw (per mil)
351,1951.58,-4.73,8.87,0.08
352,1951.42,NA,8.85,NA
353,1951.25,NA,8.79,NA
354,1951.08,-4.87,8.79,0.22
355,1949.98,-4.87,8.88,-0.1
356,1949.88,-4.57,8.9,0.12
357,1949.78,-4.57,8.89,0.17
358,1949.68,-4.55,8.91,0.12
359,1949.57,-4.61,8.93,-0.01
360,1949.47,-4.78,8.86,0.07
361,1949.37,-4.69,8.87,0.12
362,1949.27,-4.99,8.79,0.13
363,1949.17,-4.84,8.74,0.45
364,1949.03,-4.94,8.77,0.25
365,1948.9,-4.71,8.8,0.37
366,1948.76,-4.52,8.88,0.26
367,1948.63,-4.52,8.92,0.1
368,1948.49,-4.45,8.94,0.1
369,1948.35,-4.67,8.92,-0.03
370,1948.22,-4.81,8.83,0.16
371,1948.08,-4.97,8.81,0.04
372,1947.94,-4.68,8.83,0.26
373,1947.81,-4.91,8.87,-0.08
374,1947.67,-4.43,8.97,0.01
375,1947.53,-4.42,9.09,-0.4
376,1947.39,-4.41,8.99,-0.05
377,1947.25,-4.65,8.96,-0.16
378,1947.08,-4.06,9.08,-0.02
379,1946.92,-4.26,9.02,-0.01
380,1946.75,-4.13,9.08,-0.11
381,1946.58,-4.04,9.09,-0.03
382,1946.42,-4.59,8.96,-0.12
383,1946.25,-4.68,8.91,0
384,1945.98,-4.47,9,-0.14
385,1945.71,-4.43,9.03,-0.21
386,1945.44,-4.69,8.89,0.03
387,1945.17,-4.95,8.84,-0.03
388,1944.98,-4.86,8.84,0.07
389,1944.8,-4.74,8.96,-0.28
390,1944.62,-4.51,8.97,-0.08
391,1944.43,-4.83,8.87,-0.01
392,1944.25,-4.96,8.83,0.01
393,1944.03,-4.69,8.93,-0.1
394,1943.82,-4.47,9.02,-0.23
395,1943.6,-4.52,8.98,-0.1
396,1943.38,-4.67,8.94,-0.13
397,1943.17,-4.74,8.87,0.09
398,1943.02,-4.65,8.9,0.06
399,1942.88,-4.6,8.92,0.04
400,1942.74,-4.42,8.95,0.11
401,1942.6,-4.48,8.94,0.07
402,1942.45,-4.53,8.92,0.1
403,1942.31,-4.39,8.92,0.24
404,1942.17,-4.39,8.9,0.33
405,1942,-4.49,8.91,0.16
406,1941.83,-4.33,8.97,0.12
407,1941.67,-4.29,8.98,0.1
408,1941.5,-4.5,8.93,0.09
409,1941.33,-4.71,8.84,0.22
410,1941.17,-4.94,8.8,0.12
411,1941,-4.84,8.8,0.22
412,1940.83,-4.55,8.92,0.08
413,1940.67,-4.5,8.98,-0.09
414,1940.5,-4.53,8.96,-0.05
415,1940.33,-4.68,8.87,0.14
416,1940.17,-4.84,8.81,0.19
417,1940.06,-4.92,8.83,0.04
418,1939.94,-4.73,8.87,0.07
419,1939.83,-4.84,8.9,-0.15
420,1939.72,-4.77,8.91,-0.11
421,1939.61,-4.7,8.96,-0.23
422,1939.5,-4.68,8.97,-0.24
423,1939.39,-4.77,8.92,-0.15
424,1939.28,-4.88,8.89,-0.15
425,1939.17,-4.94,8.82,0.04
426,1939.01,-4.92,8.84,-0.01
427,1938.86,-4.65,8.88,0.11
428,1938.7,-4.6,8.92,0.02
429,1938.55,-4.54,8.95,-0.02
430,1938.39,-4.79,8.89,-0.05
431,1938.24,-4.85,8.85,0.04
432,1938.08,-4.7,8.83,0.24
433,1937.94,-4.69,8.91,-0.02
434,1937.8,-4.6,8.9,0.09
435,1937.65,-4.73,8.92,-0.09
436,1937.51,-4.66,8.9,0.05
437,1937.37,-4.84,8.86,0
438,1937.23,-4.77,8.86,0.08
439,1937.08,-4.83,8.83,0.14
440,1936.92,-4.71,8.88,0.05
441,1936.75,-4.6,8.88,0.16
442,1936.58,-4.75,8.87,0.07
443,1936.42,-4.67,8.84,0.26
444,1936.25,-4.78,8.84,0.15
445,1936.08,-4.74,8.8,0.33
446,1935.94,-4.73,8.9,-0.04
447,1935.81,-4.6,8.92,0.02
448,1935.67,-4.52,8.94,0.04
449,1935.53,-4.55,8.92,0.08
450,1935.39,-4.71,8.84,0.2
451,1935.25,-4.8,8.81,0.23
452,1935.1,-4.94,8.83,0.02
453,1934.96,-4.71,8.88,0.06
454,1934.81,-4.69,8.91,-0.02
455,1934.67,-4.57,8.92,0.05
456,1934.52,-4.78,8.87,0.01
457,1934.38,-4.7,8.89,0.04
458,1934.23,-4.74,8.88,0.05
459,1934.08,-5.12,8.85,-0.22
460,1933.88,-4.76,8.86,0.1
461,1933.68,-4.54,8.94,0.03
462,1933.48,-4.71,8.92,-0.11
463,1933.28,-4.62,8.92,0
464,1933.08,-4.74,8.88,0.04
465,1932.9,-4.58,8.91,0.06
466,1932.72,-4.33,9.03,-0.11
467,1932.53,-4.48,9,-0.15
468,1932.35,-4.71,8.92,-0.09
469,1932.17,-5.14,8.82,-0.14
470,1931.97,-4.51,8.94,0.04
471,1931.77,-4.67,8.97,-0.24
472,1931.57,-4.47,8.99,-0.12
473,1931.37,-4.63,8.89,0.09
474,1931.17,-4.81,8.8,0.27
475,1930.96,-4.17,9.01,0.13
476,1930.75,-4.41,9.02,-0.15
477,1930.54,-4.51,8.93,0.09
478,1930.33,-4.65,8.9,0.06
479,1930.12,-4.37,8.94,0.19
480,1929.9,-4.17,9.03,0.05
481,1929.68,-4.29,9.02,-0.02
482,1929.47,-4.31,8.95,0.19
483,1929.25,-4.57,8.86,0.28
484,1929.03,-4.59,8.92,0.05
485,1928.82,-4.4,8.94,0.15
486,1928.6,-4.41,8.96,0.07
487,1928.38,-4.61,8.91,0.05
488,1928.17,-4.61,8.86,0.25
489,1927.92,-4.34,8.98,0.05
490,1927.67,-4.31,8.99,0.06
491,1927.42,-4.47,8.94,0.09
492,1927.17,-4.67,8.93,-0.07
493,1926.92,-4.44,8.93,0.15
494,1926.67,-4.4,8.99,-0.02
495,1926.42,-4.56,8.93,0.04
496,1926.17,-4.82,8.84,0.1
497,1925.97,-4.71,8.95,-0.21
498,1925.77,-4.17,9.04,0.02
499,1925.57,-4.19,9.03,0.03
500,1925.37,-4.57,8.91,0.09
501,1925.17,-4.63,8.88,0.16
502,1925,-4.6,8.93,-0.01
503,1924.83,-4.58,8.95,-0.05
504,1924.67,-4.51,8.92,0.1
505,1924.5,-4.6,8.89,0.14
506,1924.33,-4.76,8.85,0.13
507,1924.17,-4.99,8.76,0.21
508,1924.02,-4.6,8.8,0.46
509,1923.88,-4.52,8.85,0.37
510,1923.74,-4.67,8.91,-0.01
511,1923.6,-4.36,8.99,0.02
512,1923.45,-4.41,8.97,0.03
513,1923.31,-4.52,8.93,0.06
514,1923.17,-4.65,8.85,0.23
515,1922.99,-4.71,8.89,0.02
516,1922.81,-4.42,8.98,-0.01
517,1922.63,-4.26,9.02,-0.01
518,1922.44,-4.49,9,-0.15
519,1922.26,-4.36,8.93,0.25
520,1922.08,-4.58,8.88,0.17
521,1921.96,-4.45,8.9,0.25
522,1921.85,-4.12,8.9,0.59
523,1921.73,-4.39,8.95,0.14
524,1921.61,-4.52,8.95,0
525,1921.49,-4.3,8.94,0.26
526,1921.37,-4.48,8.9,0.22
527,1921.25,-4.54,8.89,0.18
528,1921.03,-4.34,8.94,0.22
529,1920.82,-4.28,9,0.06
530,1920.6,-4.24,8.97,0.22
531,1920.38,-4.73,8.9,-0.01
532,1920.17,-4.62,8.88,0.15
533,1919.99,-4.58,8.93,-0.01
534,1919.81,-4.4,9.01,-0.11
535,1919.63,-4.36,8.97,0.08
536,1919.44,-4.51,8.92,0.11
537,1919.26,-4.66,8.89,0.09
538,1919.08,-4.76,8.87,0.03
539,1918.96,-4.47,8.89,0.26
540,1918.85,-4.48,8.91,0.19
541,1918.73,-4.5,8.93,0.09
542,1918.61,-4.61,8.92,0.02
543,1918.49,-4.61,8.9,0.07
544,1918.37,-4.77,8.85,0.1
545,1918.25,-4.72,8.83,0.22
546,1918.13,-4.71,8.88,0.06
547,1918.02,-4.7,8.89,0.03
548,1917.9,-4.72,8.89,0.01
549,1917.78,-4.61,8.92,-0.01
550,1917.67,-4.57,8.93,0.03
551,1917.55,-4.49,8.93,0.12
552,1917.43,-4.61,8.88,0.16
553,1917.32,-4.62,8.85,0.27
554,1917.2,-4.65,8.86,0.2
555,1917.08,-4.77,8.83,0.19
556,1916.93,-4.65,8.83,0.31
557,1916.78,-4.57,8.91,0.08
558,1916.63,-4.41,8.93,0.18
559,1916.47,-4.47,8.97,-0.01
560,1916.32,-4.4,8.92,0.24
561,1916.17,-4.73,8.9,-0.01
562,1916,-4.54,8.91,0.13
563,1915.83,-4.5,8.89,0.26
564,1915.67,-4.57,8.87,0.23
565,1915.5,-4.76,8.86,0.07
566,1915.33,-4.97,8.79,0.13
567,1915.17,-4.96,8.76,0.27
568,1915.02,-4.84,8.78,0.29
569,1914.88,-4.9,8.81,0.13
570,1914.74,-4.62,8.84,0.32
571,1914.6,-4.44,8.86,0.4
572,1914.45,-4.39,8.89,0.35
573,1914.31,-4.58,8.88,0.19
574,1914.17,-4.69,8.84,0.21
575,1913.9,-4.68,8.84,0.22
576,1913.63,-4.49,8.92,0.13
577,1913.35,-4.29,8.97,0.17
578,1913.08,-4.37,8.93,0.23
579,1912.85,-4.28,8.97,0.18
580,1912.63,-4.13,9,0.21
581,1912.4,-4.12,8.95,0.4
582,1912.17,-4.61,8.84,0.3
583,1911.92,-4.18,8.96,0.31
584,1911.67,-4.21,8.96,0.29
585,1911.42,-4.1,8.96,0.36
586,1911.17,-4.53,8.9,0.18
587,1910.97,-4.34,8.94,0.22
588,1910.77,-4.37,8.94,0.19
589,1910.57,-4.01,8.87,0.81
590,1910.37,-4.21,8.85,0.67
591,1910.17,-4.69,8.82,0.3
592,1909.98,-4.71,8.86,0.12
593,1909.8,-4.19,8.91,0.48
594,1909.62,-4.69,8.87,0.12
595,1909.43,-4.9,8.79,0.2
596,1909.25,-4.94,8.76,0.25
597,1909.05,-4.75,8.81,0.29
598,1908.85,-4.54,8.89,0.21
599,1908.65,-4.43,8.93,0.15
600,1908.45,-4.79,8.82,0.21
601,1908.25,-5.02,8.78,0.13
602,1908.07,-4.84,8.78,0.29
603,1907.89,-4.52,8.89,0.21
604,1907.71,-4.42,8.92,0.2
605,1907.53,-4.59,8.88,0.19
606,1907.35,-4.64,8.82,0.34
607,1907.17,-4.83,8.81,0.18
608,1907,-4.67,8.83,0.29
609,1906.83,-4.8,8.81,0.23
610,1906.67,-4.76,8.84,0.17
611,1906.5,-4.71,8.86,0.14
612,1906.33,-4.88,8.81,0.16
613,1906.17,-4.79,8.79,0.32
614,1906,-4.66,8.83,0.31
615,1905.83,-4.51,8.92,0.12
616,1905.67,-4.59,8.95,-0.08
617,1905.5,-4.43,8.92,0.18
618,1905.33,-4.64,8.87,0.16
619,1905.17,-4.79,8.83,0.18
620,1904.97,-4.61,8.91,0.04
621,1904.77,-4.43,8.98,-0.02
622,1904.57,-4.21,9,0.13
623,1904.37,-4.44,8.9,0.25
624,1904.17,-4.62,8.85,0.26
625,1904.04,-4.72,8.9,-0.01
626,1903.92,-4.63,8.91,0.05
627,1903.79,-4.55,8.91,0.12
628,1903.67,-4.49,8.88,0.29
629,1903.54,-4.61,8.88,0.17
630,1903.42,-4.81,8.83,0.15
631,1903.29,-4.89,8.81,0.12
632,1903.17,-4.87,8.79,0.23
633,1902.97,-4.74,8.86,0.12
634,1902.77,-4.58,8.96,-0.1
635,1902.57,-4.61,8.92,0.01
636,1902.37,-4.68,8.9,0.04
637,1902.17,-4.93,8.81,0.08
638,1902.02,-4.93,8.82,0.07
639,1901.88,-4.81,8.87,0.01
640,1901.74,-4.7,8.92,-0.07
641,1901.6,-4.66,8.95,-0.15
642,1901.45,-4.78,8.86,0.06
643,1901.31,-4.81,8.84,0.12
644,1901.17,-4.76,8.83,0.19
645,1901,-4.85,8.84,0.07
646,1900.83,-4.73,8.86,0.13
647,1900.67,-4.63,8.89,0.1
648,1900.5,-4.57,8.91,0.09
649,1900.33,-4.92,8.84,0.02
650,1900.17,-5.05,8.76,0.17
651,1899.98,-4.79,8.82,0.21
652,1899.8,-4.64,8.88,0.12
653,1899.62,-4.59,8.9,0.11
654,1899.43,-4.6,8.87,0.19
655,1899.25,-4.86,8.87,-0.04
656,1899.13,-4.83,8.91,-0.17
657,1899.01,-4.61,8.93,-0.02
658,1898.89,-4.78,8.87,0.04
659,1898.77,-4.69,8.85,0.18
660,1898.65,-4.6,8.86,0.23
661,1898.53,-4.8,8.84,0.11
662,1898.41,-4.7,8.86,0.15
663,1898.29,-4.73,8.81,0.29
664,1898.17,-4.45,8.78,0.68
665,1897.94,-4.58,8.97,-0.15
666,1897.71,-4.72,8.86,0.11
667,1897.48,-4.88,8.79,0.23
668,1897.25,-4.81,8.75,0.43
669,1896.96,-4.71,8.9,0
670,1896.67,-4.4,8.95,0.13
671,1896.38,-4.77,8.89,-0.04
672,1896.08,-4.81,8.82,0.16
673,1895.85,-4.58,8.87,0.23
674,1895.63,-4.53,8.9,0.16
675,1895.4,-4.35,8.96,0.11
676,1895.17,-4.87,8.88,-0.08
677,1894.99,-4.84,8.89,-0.12
678,1894.81,-4.58,8.96,-0.1
679,1894.63,-4.52,8.99,-0.16
680,1894.44,-4.57,8.93,0.03
681,1894.26,-4.73,8.82,0.25
682,1894.08,-4.93,8.8,0.14
683,1893.9,-4.67,8.9,0.05
684,1893.72,-4.71,8.87,0.1
685,1893.53,-4.79,8.9,-0.1
686,1893.35,-5.18,8.8,-0.12
687,1893.17,-4.91,8.85,-0.01
688,1892.99,-4.96,8.8,0.12
689,1892.81,-4.81,8.84,0.11
690,1892.63,-4.78,8.87,0.02
691,1892.44,-4.95,8.85,-0.06
692,1892.26,-4.81,8.83,0.15
693,1892.08,-4.9,8.8,0.16
694,1891.92,-4.84,8.88,-0.08
695,1891.75,-4.5,8.96,-0.01
696,1891.58,-4.65,8.91,0
697,1891.42,-4.84,8.84,0.07
