d18O (permil),year (AD),d18O (permil) [2-1],year (AD) [2-1],d18O (permil) [3-1],year (AD) [3-1]
-5.5,1985.12,-5.19,1985.12,-5.43,1985.04
-5.58,1985.04,-5.36,1985.04,-5.51,1984.96
-5.65,1984.95,-5.47,1984.95,-5.61,1984.88
-5.64,1984.87,-5.51,1984.87,-5.68,1984.79
-5.66,1984.79,-5.48,1984.79,-5.6,1984.71
-5.69,1984.7,-5.46,1984.7,-5.69,1984.63
-5.7,1984.62,-5.48,1984.62,-5.77,1984.54
-5.72,1984.54,-5.49,1984.54,-5.77,1984.46
-5.75,1984.45,-5.55,1984.45,-5.83,1984.38
-5.72,1984.37,-5.53,1984.37,-5.74,1984.29
-5.69,1984.29,-5.42,1984.29,-5.68,1984.21
-5.66,1984.2,-5.3,1984.2,-5.66,1984.13
-5.63,1984.12,-5.37,1984.12,-5.59,1984.04
-5.68,1984.04,-5.51,1984.04,-5.64,1983.96
-5.71,1983.95,-5.53,1983.95,-5.68,1983.88
-5.73,1983.87,-5.51,1983.87,-5.64,1983.79
-5.74,1983.79,-5.48,1983.79,-5.61,1983.71
-5.83,1983.7,-5.56,1983.7,-5.59,1983.63
-5.85,1983.62,-5.57,1983.62,-5.51,1983.54
-5.83,1983.54,-5.56,1983.54,-5.53,1983.46
-5.81,1983.45,-5.55,1983.45,-5.65,1983.38
-5.71,1983.37,-5.4,1983.37,-5.47,1983.29
-5.6,1983.29,-5.4,1983.29,-5.61,1983.21
-5.5,1983.2,-5.34,1983.2,-5.55,1983.13
-5.61,1983.12,-5.42,1983.12,-5.6,1983.04
-5.6,1983.04,-5.5,1983.04,-5.63,1982.96
-5.69,1982.95,-5.53,1982.95,-5.59,1982.88
-5.72,1982.87,-5.55,1982.87,-5.57,1982.79
-5.68,1982.79,-5.54,1982.79,-5.59,1982.71
-5.67,1982.7,-5.5,1982.7,-5.7,1982.63
-5.73,1982.62,-5.49,1982.62,-5.65,1982.54
-5.76,1982.54,-5.56,1982.54,-5.65,1982.46
-5.88,1982.45,-5.64,1982.45,-5.78,1982.38
-5.87,1982.37,-5.53,1982.37,-5.73,1982.29
-5.82,1982.29,-5.49,1982.29,-5.74,1982.21
-5.73,1982.2,-5.45,1982.2,-5.73,1982.13
-5.52,1982.12,-5.38,1982.12,-5.38,1982.04
-5.62,1982.04,-5.65,1982.04,-5.65,1981.96
-5.74,1981.95,-5.83,1981.95,-5.75,1981.88
-5.85,1981.87,-5.71,1981.87,-5.75,1981.79
-5.85,1981.79,-5.62,1981.79,-5.75,1981.71
-5.74,1981.7,-5.6,1981.7,-5.75,1981.63
-5.82,1981.62,-5.49,1981.62,-5.74,1981.54
-5.82,1981.54,-5.65,1981.54,-5.55,1981.46
-5.84,1981.45,-5.71,1981.45,-5.81,1981.38
-5.75,1981.37,-5.65,1981.37,-5.8,1981.29
-5.66,1981.29,-5.6,1981.29,-5.78,1981.21
-5.6,1981.2,-5.46,1981.2,-5.65,1981.13
-5.54,1981.12,-5.34,1981.12,-5.49,1981.04
-5.6,1981.04,-5.45,1981.04,-5.5,1980.96
-5.64,1980.95,-5.43,1980.95,-5.54,1980.88
-5.68,1980.87,-5.42,1980.87,-5.6,1980.79
-5.72,1980.79,-5.67,1980.79,-5.65,1980.71
-5.72,1980.7,-5.56,1980.7,-5.71,1980.63
-5.65,1980.62,-5.54,1980.62,-5.76,1980.54
-5.59,1980.54,-5.53,1980.54,-5.78,1980.46
-5.58,1980.45,-5.72,1980.45,-5.79,1980.38
-5.72,1980.37,-5.46,1980.37,-5.71,1980.29
-5.59,1980.29,-5.35,1980.29,-5.72,1980.21
-5.39,1980.2,-5.25,1980.2,-5.62,1980.13
-5.48,1980.12,-5.3,1980.12,-5.63,1980.04
-5.46,1980.04,-5.33,1980.04,-5.65,1979.96
-5.56,1979.95,-5.48,1979.95,-5.71,1979.88
-5.61,1979.87,-5.6,1979.87,-5.67,1979.79
-5.66,1979.79,-5.52,1979.79,-5.64,1979.71
-5.66,1979.7,-5.45,1979.7,-5.66,1979.63
-5.67,1979.62,-5.45,1979.62,-5.57,1979.54
-5.65,1979.54,-5.47,1979.54,-5.51,1979.46
-5.6,1979.45,-5.5,1979.45,-5.54,1979.38
-5.65,1979.37,-5.39,1979.37,-5.61,1979.29
-5.55,1979.29,-5.29,1979.29,-5.66,1979.21
-5.53,1979.2,-5.3,1979.2,-5.86,1979.13
-5.39,1979.12,-5.32,1979.12,-5.39,1979.04
-5.52,1979.04,-5.47,1979.04,-5.6,1978.96
-5.6,1978.95,-5.56,1978.95,-5.69,1978.88
-5.61,1978.87,-5.61,1978.87,-5.72,1978.79
-5.6,1978.79,-5.62,1978.79,-5.72,1978.71
-5.58,1978.7,-5.55,1978.7,-5.71,1978.63
-5.56,1978.62,-5.54,1978.62,-5.77,1978.54
-5.6,1978.54,-5.57,1978.54,-5.74,1978.46
-5.69,1978.45,-5.66,1978.45,-5.83,1978.38
-5.62,1978.37,-5.52,1978.37,-5.73,1978.29
-5.55,1978.29,-5.5,1978.29,-5.6,1978.21
-5.48,1978.2,-5.48,1978.2,-5.58,1978.13
-5.47,1978.12,-5.25,1978.12,-5.59,1978.04
-5.5,1978.04,-5.43,1978.04,-5.76,1977.96
-5.56,1977.95,-5.54,1977.95,-5.8,1977.88
-5.67,1977.87,-5.6,1977.87,-5.74,1977.79
-5.75,1977.79,-5.66,1977.79,-5.8,1977.71
-5.81,1977.7,-5.66,1977.7,-5.82,1977.63
-5.86,1977.62,-5.62,1977.62,-5.83,1977.54
-5.91,1977.54,-5.65,1977.54,-5.84,1977.46
-5.96,1977.45,-5.81,1977.45,-5.89,1977.38
-5.84,1977.37,-5.76,1977.37,-5.77,1977.29
-5.75,1977.29,-5.58,1977.29,-5.71,1977.21
-5.68,1977.2,-5.4,1977.2,-5.74,1977.13
-5.58,1977.12,-5.22,1977.12,-5.71,1977.04
-5.65,1977.04,-5.65,1977.04,-5.74,1976.96
-5.68,1976.95,-5.56,1976.95,-5.44,1976.88
-5.68,1976.87,-5.56,1976.87,-5.45,1976.79
-5.64,1976.79,-5.41,1976.79,-5.69,1976.71
-5.83,1976.7,-5.46,1976.7,-5.62,1976.63
-5.86,1976.62,-5.52,1976.62,-5.68,1976.54
-5.7,1976.54,-5.54,1976.54,-5.72,1976.46
-5.74,1976.45,-5.52,1976.45,-5.69,1976.38
-5.69,1976.37,-5.48,1976.37,-5.53,1976.29
-5.64,1976.29,-5.38,1976.29,-5.35,1976.21
-5.54,1976.2,-5.22,1976.2,-5.26,1976.13
-5.27,1976.12,-5.08,1976.12,-5.21,1976.04
-5.32,1976.04,-5.16,1976.04,-5.34,1975.96
-5.35,1975.95,-5.23,1975.95,-5.52,1975.88
-5.55,1975.87,-5.29,1975.87,-5.7,1975.79
-5.77,1975.79,-5.35,1975.79,-5.63,1975.71
-5.67,1975.7,-5.45,1975.7,-5.45,1975.63
-5.63,1975.62,-5.54,1975.62,-5.38,1975.54
-5.71,1975.54,-5.58,1975.54,-5.44,1975.46
-5.75,1975.45,-5.62,1975.45,-5.63,1975.38
-5.64,1975.37,-5.49,1975.37,-5.41,1975.29
-5.6,1975.29,-5.51,1975.29,-5.55,1975.21
-5.52,1975.2,-5.42,1975.2,-5.58,1975.13
-5.52,1975.12,-5.39,1975.12,-5.6,1975.04
-5.54,1975.04,-5.39,1975.04,-5.54,1974.96
-5.56,1974.95,-5.41,1974.95,-5.62,1974.88
-5.66,1974.87,-5.51,1974.87,-5.73,1974.79
-5.76,1974.79,-5.53,1974.79,-5.72,1974.71
-5.77,1974.7,-5.49,1974.7,-5.61,1974.63
-5.77,1974.62,-5.43,1974.62,-5.48,1974.54
-5.76,1974.54,-5.39,1974.54,-5.62,1974.46
-5.76,1974.45,-5.6,1974.45,-5.59,1974.38
-5.65,1974.37,-5.44,1974.37,-5.55,1974.29
-5.57,1974.29,-5.4,1974.29,-5.67,1974.21
-5.66,1974.2,-5.38,1974.2,-5.61,1974.13
-5.49,1974.12,-5.29,1974.12,-5.45,1974.04
-5.56,1974.04,-5.41,1974.04,-5.5,1973.96
-5.64,1973.95,-5.51,1973.95,-5.55,1973.88
-5.7,1973.87,-5.59,1973.87,-5.52,1973.79
-5.74,1973.79,-5.59,1973.79,-5.52,1973.71
-5.82,1973.7,-5.62,1973.7,-5.54,1973.63
-5.85,1973.62,-5.64,1973.62,-5.47,1973.54
-5.87,1973.54,-5.55,1973.54,-5.55,1973.46
-5.94,1973.45,-5.79,1973.45,-5.78,1973.38
-5.81,1973.37,-5.62,1973.37,-5.55,1973.29
-5.72,1973.29,-5.62,1973.29,-5.69,1973.21
-5.67,1973.2,-5.47,1973.2,-5.56,1973.13
-5.75,1973.12,-5.48,1973.12,-5.59,1973.04
-5.84,1973.04,-5.53,1973.04,-5.64,1972.96
-5.87,1972.95,-5.64,1972.95,-5.69,1972.88
-5.87,1972.87,-5.69,1972.87,-5.74,1972.79
-5.79,1972.79,-5.72,1972.79,-5.8,1972.71
-5.84,1972.7,-5.74,1972.7,-5.85,1972.63
-5.78,1972.62,-5.76,1972.62,-5.88,1972.54
-5.7,1972.54,-5.77,1972.54,-5.96,1972.46
-5.86,1972.45,-5.77,1972.45,-6.05,1972.38
-5.78,1972.37,-5.5,1972.37,-5.65,1972.29
-5.69,1972.29,-5.47,1972.29,-5.3,1972.21
-5.61,1972.2,-5.42,1972.2,-5.58,1972.13
-5.53,1972.12,-5.34,1972.12,-5.38,1972.04
-5.47,1972.04,-5.33,1972.04,-5.36,1971.96
-5.61,1971.95,-5.38,1971.95,-5.45,1971.88
-5.6,1971.87,-5.4,1971.87,-5.56,1971.79
-5.62,1971.79,-5.42,1971.79,-5.61,1971.71
-5.65,1971.7,-5.52,1971.7,-5.49,1971.63
-5.69,1971.62,-5.57,1971.62,-5.42,1971.54
-5.74,1971.54,-5.57,1971.54,-5.45,1971.46
-5.58,1971.45,-5.5,1971.45,-5.6,1971.38
-5.57,1971.37,-5.4,1971.37,-5.55,1971.29
-5.53,1971.29,-5.29,1971.29,-5.51,1971.21
-5.4,1971.2,-5.22,1971.2,-5.39,1971.13
-5.47,1971.12,-5.24,1971.12,-5.4,1971.04
-5.55,1971.04,-5.25,1971.04,-5.4,1970.96
-5.68,1970.95,-5.27,1970.95,-5.33,1970.88
-5.75,1970.87,-5.33,1970.87,-5.33,1970.79
-5.75,1970.79,-5.4,1970.79,-5.52,1970.71
-5.74,1970.7,-5.46,1970.7,-5.65,1970.63
-5.74,1970.62,-5.53,1970.62,-5.7,1970.54
-5.8,1970.54,-5.61,1970.54,-5.72,1970.46
-5.88,1970.45,-5.68,1970.45,-5.74,1970.38
-5.84,1970.37,-5.56,1970.37,-5.69,1970.29
-5.8,1970.29,-5.48,1970.29,-5.65,1970.21
-5.78,1970.2,-5.52,1970.2,-5.53,1970.13
-5.75,1970.12,-5.56,1970.12,-5.56,1970.04
-5.69,1970.04,-5.49,1970.04,-5.61,1969.96
-5.82,1969.95,-5.46,1969.95,-5.59,1969.88
-5.76,1969.87,-5.47,1969.87,-5.53,1969.79
-5.76,1969.79,-5.41,1969.79,-5.49,1969.71
-5.82,1969.7,-5.49,1969.7,-5.47,1969.63
-5.83,1969.62,-5.52,1969.62,-5.47,1969.54
-5.79,1969.54,NA,NA,-5.6,1969.46
-5.8,1969.45,NA,NA,-5.72,1969.38
-5.73,1969.37,NA,NA,-5.34,1969.29
-5.7,1969.29,NA,NA,-5.36,1969.21
-5.83,1969.2,NA,NA,-5.51,1969.13
-5.78,1969.12,NA,NA,-5.4,1969.04
-5.68,1969.04,NA,NA,-5.45,1968.96
-5.56,1968.95,NA,NA,-5.61,1968.88
-5.52,1968.87,NA,NA,-5.77,1968.79
-5.57,1968.79,NA,NA,-5.75,1968.71
-5.61,1968.7,NA,NA,-5.69,1968.63
-5.72,1968.62,NA,NA,-5.66,1968.54
-5.81,1968.54,NA,NA,-5.63,1968.46
NA,NA,NA,NA,-5.5,1968.38
NA,NA,NA,NA,-5.48,1968.29
NA,NA,NA,NA,-5.45,1968.21
NA,NA,NA,NA,-5.41,1968.13
NA,NA,NA,NA,-5.36,1968.04
NA,NA,NA,NA,-5.43,1967.96
NA,NA,NA,NA,-5.51,1967.88
NA,NA,NA,NA,-5.57,1967.79
NA,NA,NA,NA,-5.6,1967.71
NA,NA,NA,NA,-5.62,1967.63
NA,NA,NA,NA,-5.69,1967.54
NA,NA,NA,NA,-5.73,1967.46
NA,NA,NA,NA,-5.72,1967.38
NA,NA,NA,NA,-5.62,1967.29
NA,NA,NA,NA,-5.6,1967.21
NA,NA,NA,NA,-5.63,1967.13
NA,NA,NA,NA,-5.37,1967.04
NA,NA,NA,NA,-5.57,1966.96
NA,NA,NA,NA,-5.41,1966.88
NA,NA,NA,NA,-5.59,1966.79
NA,NA,NA,NA,-5.72,1966.71
NA,NA,NA,NA,-5.73,1966.63
NA,NA,NA,NA,-5.79,1966.54
NA,NA,NA,NA,-5.7,1966.46
NA,NA,NA,NA,-5.76,1966.38
NA,NA,NA,NA,-5.69,1966.29
NA,NA,NA,NA,-5.6,1966.21
NA,NA,NA,NA,-5.6,1966.13
NA,NA,NA,NA,-5.62,1966.04
NA,NA,NA,NA,-5.63,1965.96
NA,NA,NA,NA,-5.67,1965.88
NA,NA,NA,NA,-5.76,1965.79
NA,NA,NA,NA,-5.76,1965.71
NA,NA,NA,NA,-5.69,1965.63
NA,NA,NA,NA,-5.8,1965.54
NA,NA,NA,NA,-5.61,1965.46
NA,NA,NA,NA,-5.66,1965.38
NA,NA,NA,NA,-5.43,1965.29
NA,NA,NA,NA,-5.27,1965.21
NA,NA,NA,NA,-5.21,1965.13
NA,NA,NA,NA,-5.13,1965.04
NA,NA,NA,NA,-5.21,1964.96
NA,NA,NA,NA,-5.38,1964.88
NA,NA,NA,NA,-5.55,1964.79
NA,NA,NA,NA,-5.56,1964.71
NA,NA,NA,NA,-5.48,1964.63
NA,NA,NA,NA,-5.41,1964.54
NA,NA,NA,NA,-5.41,1964.46
NA,NA,NA,NA,-5.69,1964.38
NA,NA,NA,NA,-5.73,1964.29
NA,NA,NA,NA,-5.66,1964.21
NA,NA,NA,NA,-5.54,1964.13
NA,NA,NA,NA,-5.52,1964.04
NA,NA,NA,NA,-5.5,1963.96
NA,NA,NA,NA,-5.5,1963.88
NA,NA,NA,NA,-5.54,1963.79
NA,NA,NA,NA,-5.54,1963.71
NA,NA,NA,NA,-5.53,1963.63
NA,NA,NA,NA,-5.54,1963.54
NA,NA,NA,NA,-5.63,1963.46
NA,NA,NA,NA,-5.8,1963.38
NA,NA,NA,NA,-5.5,1963.29
NA,NA,NA,NA,-5.44,1963.21
NA,NA,NA,NA,-5.6,1963.13
NA,NA,NA,NA,-5.48,1963.04
NA,NA,NA,NA,-5.46,1962.96
NA,NA,NA,NA,-5.4,1962.88
NA,NA,NA,NA,-5.54,1962.79
NA,NA,NA,NA,-5.6,1962.71
NA,NA,NA,NA,-5.67,1962.63
NA,NA,NA,NA,-5.57,1962.54
NA,NA,NA,NA,-5.57,1962.46
NA,NA,NA,NA,-5.68,1962.38
NA,NA,NA,NA,-5.67,1962.29
NA,NA,NA,NA,-5.64,1962.21
NA,NA,NA,NA,-5.62,1962.13
NA,NA,NA,NA,-5.6,1962.04
NA,NA,NA,NA,-5.62,1961.96
NA,NA,NA,NA,-5.78,1961.88
NA,NA,NA,NA,-5.86,1961.79
NA,NA,NA,NA,-5.85,1961.71
NA,NA,NA,NA,-5.84,1961.63
NA,NA,NA,NA,-5.8,1961.54
NA,NA,NA,NA,-5.72,1961.46
NA,NA,NA,NA,-5.83,1961.38
NA,NA,NA,NA,-5.71,1961.29
NA,NA,NA,NA,-5.56,1961.21
NA,NA,NA,NA,-5.44,1961.13
NA,NA,NA,NA,-5.39,1961.04
NA,NA,NA,NA,-5.44,1960.96
NA,NA,NA,NA,-5.52,1960.88
NA,NA,NA,NA,-5.61,1960.79
NA,NA,NA,NA,-5.68,1960.71
NA,NA,NA,NA,-5.68,1960.63
NA,NA,NA,NA,-5.66,1960.54
NA,NA,NA,NA,-5.65,1960.46
NA,NA,NA,NA,-5.68,1960.38
NA,NA,NA,NA,-5.67,1960.29
NA,NA,NA,NA,-5.63,1960.21
NA,NA,NA,NA,-5.58,1960.13
NA,NA,NA,NA,-5.5,1960.04
NA,NA,NA,NA,-5.6,1959.96
NA,NA,NA,NA,-5.67,1959.88
NA,NA,NA,NA,-5.74,1959.79
NA,NA,NA,NA,-5.76,1959.71
NA,NA,NA,NA,-5.68,1959.63
NA,NA,NA,NA,-5.63,1959.54
NA,NA,NA,NA,-5.6,1959.46
NA,NA,NA,NA,-5.65,1959.38
NA,NA,NA,NA,-5.65,1959.29
NA,NA,NA,NA,-5.64,1959.21
NA,NA,NA,NA,-5.55,1959.13
NA,NA,NA,NA,-5.44,1959.04
NA,NA,NA,NA,-5.46,1958.96
NA,NA,NA,NA,-5.51,1958.88
NA,NA,NA,NA,-5.56,1958.79
NA,NA,NA,NA,-5.62,1958.71
NA,NA,NA,NA,-5.69,1958.63
NA,NA,NA,NA,-5.74,1958.54
NA,NA,NA,NA,-5.78,1958.46
NA,NA,NA,NA,-5.81,1958.38
NA,NA,NA,NA,-5.73,1958.29
NA,NA,NA,NA,-5.69,1958.21
NA,NA,NA,NA,-5.68,1958.13
NA,NA,NA,NA,-5.6,1958.04
NA,NA,NA,NA,-5.67,1957.96
NA,NA,NA,NA,-5.82,1957.88
NA,NA,NA,NA,-5.86,1957.79
NA,NA,NA,NA,-5.82,1957.71
NA,NA,NA,NA,-5.81,1957.63
NA,NA,NA,NA,-5.8,1957.54
NA,NA,NA,NA,-5.73,1957.46
NA,NA,NA,NA,-5.64,1957.38
NA,NA,NA,NA,-5.65,1957.29
NA,NA,NA,NA,-5.68,1957.21
NA,NA,NA,NA,-5.57,1957.13
NA,NA,NA,NA,-5.45,1957.04
NA,NA,NA,NA,-5.46,1956.96
NA,NA,NA,NA,-5.49,1956.88
NA,NA,NA,NA,-5.52,1956.79
NA,NA,NA,NA,-5.57,1956.71
NA,NA,NA,NA,-5.63,1956.63
NA,NA,NA,NA,-5.74,1956.54
NA,NA,NA,NA,-5.81,1956.46
NA,NA,NA,NA,-5.85,1956.38
NA,NA,NA,NA,-5.74,1956.29
NA,NA,NA,NA,-5.69,1956.21
NA,NA,NA,NA,-5.57,1956.13
NA,NA,NA,NA,-5.39,1956.04
NA,NA,NA,NA,-5.35,1955.96
NA,NA,NA,NA,-5.42,1955.88
NA,NA,NA,NA,-5.48,1955.79
NA,NA,NA,NA,-5.5,1955.71
NA,NA,NA,NA,-5.57,1955.63
NA,NA,NA,NA,-5.6,1955.54
NA,NA,NA,NA,-5.6,1955.46
NA,NA,NA,NA,-5.69,1955.38
NA,NA,NA,NA,-5.63,1955.29
NA,NA,NA,NA,-5.65,1955.21
NA,NA,NA,NA,-5.65,1955.13
NA,NA,NA,NA,-5.54,1955.04
NA,NA,NA,NA,-5.64,1954.96
NA,NA,NA,NA,-5.69,1954.88
NA,NA,NA,NA,-5.67,1954.79
NA,NA,NA,NA,-5.79,1954.71
NA,NA,NA,NA,-5.77,1954.63
NA,NA,NA,NA,-5.71,1954.54
NA,NA,NA,NA,-5.68,1954.46
NA,NA,NA,NA,-5.75,1954.38
NA,NA,NA,NA,-5.67,1954.29
NA,NA,NA,NA,-5.64,1954.21
NA,NA,NA,NA,-5.65,1954.13
NA,NA,NA,NA,-5.53,1954.04
NA,NA,NA,NA,-5.52,1953.96
NA,NA,NA,NA,-5.53,1953.88
NA,NA,NA,NA,-5.55,1953.79
NA,NA,NA,NA,-5.58,1953.71
NA,NA,NA,NA,-5.63,1953.63
NA,NA,NA,NA,-5.7,1953.54
NA,NA,NA,NA,-5.74,1953.46
NA,NA,NA,NA,-5.74,1953.38
NA,NA,NA,NA,-5.66,1953.29
NA,NA,NA,NA,-5.62,1953.21
NA,NA,NA,NA,-5.59,1953.13
NA,NA,NA,NA,-5.47,1953.04
NA,NA,NA,NA,-5.56,1952.96
NA,NA,NA,NA,-5.6,1952.88
NA,NA,NA,NA,-5.73,1952.79
NA,NA,NA,NA,-5.73,1952.71
NA,NA,NA,NA,-5.59,1952.63
NA,NA,NA,NA,-5.65,1952.54
NA,NA,NA,NA,-5.72,1952.46
NA,NA,NA,NA,-5.76,1952.38
NA,NA,NA,NA,-5.75,1952.29
NA,NA,NA,NA,-5.74,1952.21
NA,NA,NA,NA,-5.68,1952.13
NA,NA,NA,NA,-5.55,1952.04
NA,NA,NA,NA,-5.59,1951.96
NA,NA,NA,NA,-5.68,1951.88
NA,NA,NA,NA,-5.75,1951.79
NA,NA,NA,NA,-5.71,1951.71
NA,NA,NA,NA,-5.66,1951.63
NA,NA,NA,NA,-5.65,1951.54
NA,NA,NA,NA,-5.67,1951.46
NA,NA,NA,NA,-5.65,1951.38
NA,NA,NA,NA,-5.62,1951.29
NA,NA,NA,NA,-5.54,1951.21
NA,NA,NA,NA,-5.45,1951.13
NA,NA,NA,NA,-5.41,1951.04
NA,NA,NA,NA,-5.51,1950.96
NA,NA,NA,NA,-5.65,1950.88
NA,NA,NA,NA,-5.62,1950.79
NA,NA,NA,NA,-5.61,1950.71
