d18O (permil),year (AD),depth (m)
-34.3,1908,30.46
-35.1,1907,30.74
-34.7,1906,31.02
-34.9,1905,31.3
-33.1,1904,31.58
-33.5,1903,31.86
-35.3,1902,32.14
-33.1,1901,32.41
-32,1900,32.69
-35,1899,32.97
-35,1898,33.24
-34,1897,33.52
-33.8,1896,33.79
-34.1,1895,34.06
-32.7,1894,34.33
-29.4,1893,34.58
-30.2,1892,34.85
-30.8,1891,35.12
-34.3,1890,35.39
-34,1889,35.66
-33.6,1888,35.92
-34.6,1887,36.2
-34.7,1886,36.47
-35.1,1885,36.73
-35.7,1884,36.99
-33.4,1883,37.26
-34,1882,37.53
-32.8,1881,37.79
-31.6,1880,38.05
-32,1879,38.31
-31.9,1878,38.58
-32.8,1877,38.84
-32,1876,39.1
-33.1,1875,39.36
-33.7,1874,39.62
-34.5,1873,39.88
-34.2,1872,40.14
-32.6,1871,40.4
-30.2,1870,40.66
-32.2,1869,40.92
-34.6,1868,41.17
-35.3,1867,41.43
-35,1866,41.69
-34.7,1865,41.94
-33.7,1864,42.2
-34.6,1863,42.45
-34.9,1862,42.7
-35.8,1861,42.95
-33.5,1860,43.22
-33.6,1859,43.48
-34.1,1858,43.73
-32.7,1857,43.98
-33.1,1856,44.23
-32.5,1855,44.48
-33.8,1854,44.73
-34.5,1853,45
-36.2,1852,45.25
-33.1,1851,45.5
-31.8,1850,45.75
-31.7,1849,46
-34,1848,46.25
-34.7,1847,46.49
-33.3,1846,46.74
-32.3,1845,46.99
-34.1,1844,47.23
-35.1,1843,47.48
-34.6,1842,47.73
-33.7,1841,47.97
-34.1,1840,48.22
-34.9,1839,48.46
-33.2,1838,48.71
-31.6,1837,48.95
-31.5,1836,49.2
-33.1,1835,49.44
-36.6,1834,49.68
-36.2,1833,49.93
-35.8,1832,50.17
-35.9,1831,50.41
-33.8,1830,50.65
-32.9,1829,50.89
-33.2,1828,51.14
-33.2,1827,51.38
-32.1,1826,51.62
-34.5,1825,51.86
-33.9,1824,52.1
-33.8,1823,52.34
-33.3,1822,52.58
-35.3,1821,52.82
-35.6,1820,53.06
-34.3,1819,53.29
-35.9,1818,53.53
-34.8,1817,53.77
-33.9,1816,54.01
-36.1,1815,54.26
-36.2,1814,54.51
-34.8,1813,54.76
-33.3,1812,55.01
-33.3,1811,55.26
-33.9,1810,55.51
-35.1,1809,55.76
-34.3,1808,56.01
-33.8,1807,56.26
-33.4,1806,56.51
-31.7,1805,56.76
-32.6,1804,57.01
-33,1803,57.26
-34.5,1802,57.5
-34.9,1801,57.75
-36,1800,58
-34.9,1799,58.25
-34.9,1798,58.49
-33.8,1797,58.74
-33,1796,58.99
-34.4,1795,59.24
-32.6,1794,59.48
-32.2,1793,59.73
-35,1792,59.97
-34.4,1791,60.22
-34.8,1790,60.46
-33.5,1789,60.71
-33.3,1788,60.95
-33.4,1787,61.19
-33.7,1786,61.44
-33.7,1785,61.68
-35.8,1784,61.92
-35.6,1783,62.17
-32.3,1782,62.39
-31.9,1781,62.61
-33.1,1780,62.83
-34,1779,63.05
-33,1778,63.27
-33.7,1777,63.49
-34.5,1776,63.71
-34.5,1775,63.93
-34.9,1774,64.15
-32.4,1773,64.37
-33.1,1772,64.59
-34.9,1771,64.81
-34.4,1770,65.03
-33.6,1769,65.25
-32.6,1768,65.46
-34,1767,65.68
-34.5,1766,65.9
-35.2,1765,66.12
-34.4,1764,66.34
-32.4,1763,66.56
-30.8,1762,66.77
-35.6,1761,66.99
-35.8,1760,67.21
-35.2,1759,67.43
-35.1,1758,67.64
-34.8,1757,67.86
-35.6,1756,68.08
-33.4,1755,68.29
-30.6,1754,68.51
-34.8,1753,68.72
-32.4,1752,69.04
-32.3,1751,69.26
-33.5,1750,69.47
-34.5,1749,69.69
-32.9,1748,69.9
-33.6,1747,70.12
-33.5,1746,70.33
-34.6,1745,70.55
-35.6,1744,70.76
-33.8,1743,70.98
-36.1,1742,71.19
-36.9,1741,71.41
-36.4,1740,71.62
-35.3,1739,71.84
-34.8,1738,72.05
-32.1,1737,72.26
-31.5,1736,72.48
-32.9,1735,72.69
-33.8,1734,72.91
-33.5,1733,73.12
-33.3,1732,73.33
-33.2,1731,73.55
-33.2,1730,73.76
-31.3,1729,73.97
-33,1728,74.19
-34.5,1727,74.4
-34.5,1726,74.61
-33.6,1725,74.82
-33.1,1724,75.04
-34.2,1723,75.25
-33.4,1722,75.46
-35,1721,75.67
-34,1720,75.88
-34.2,1719,76.02
-35.3,1718,76.23
-35.5,1717,76.44
-34.2,1716,76.66
-32.7,1715,76.87
-32.5,1714,77.08
-32.6,1713,77.29
-32.5,1712,77.5
-34.5,1711,77.71
-35.5,1710,77.92
-35.1,1709,78.13
-34.4,1708,78.34
-34.8,1707,78.56
-35.3,1706,78.77
-34.9,1705,78.98
-32.6,1704,79.19
-31.7,1703,79.4
-32.2,1702,79.61
-33.7,1701,79.82
-35.1,1700,80.03
-34.5,1699,80.24
-35.6,1698,80.45
-35.1,1697,80.66
-34.1,1696,80.87
-33.6,1695,81.07
-33.5,1694,81.28
-34.1,1693,81.49
-34.3,1692,81.7
-35.3,1691,81.91
-34.7,1690,82.12
-33.5,1689,82.33
-32.9,1688,82.54
-34.3,1687,82.75
-35,1686,82.96
-33.6,1685,83.16
-33.5,1684,83.37
-34.3,1683,83.58
-34.2,1682,83.79
-34.2,1681,84
-34.1,1680,84.21
-32.1,1679,84.41
-34,1678,84.62
-35.5,1677,84.83
-35.8,1676,85.04
-33.6,1675,85.24
-33.4,1674,85.45
-32.4,1673,85.66
-32.2,1672,85.87
-33.5,1671,86.07
-34.1,1670,86.28
-32.5,1669,86.49
-31.8,1668,86.7
-33.3,1667,86.9
-34.4,1666,87.11
-33.6,1665,87.32
-32.6,1664,87.52
-33.6,1663,87.73
-32.8,1662,87.94
-32.5,1661,88.14
-33.8,1660,88.35
-33.8,1659,88.56
-32.9,1658,88.76
-33.5,1657,88.97
-33.9,1656,89.17
-33.9,1655,89.38
-34.4,1654,89.59
-33.3,1653,89.79
-32.7,1652,90
-32.1,1651,90.2
-33.8,1650,90.41
-34.2,1649,90.62
-33.2,1648,90.82
-32.2,1647,91.03
-32,1646,91.23
-32.6,1645,91.44
-33.9,1644,91.64
-33,1643,91.85
-33.3,1642,92.05
-34.2,1641,92.26
-35.1,1640,92.46
-34.3,1639,92.67
-32.7,1638,92.87
-32.9,1637,93.08
-33.7,1636,93.28
-35.3,1635,93.49
-37.1,1634,93.69
-35.8,1633,93.9
-34,1632,94.1
-33.6,1631,94.31
-34.1,1630,94.51
-34.1,1629,94.72
-34.3,1628,94.92
-34.1,1627,95.13
-33.6,1626,95.33
-34.6,1625,95.53
-33.3,1624,95.74
-32.1,1623,95.94
-34.6,1622,96.15
-34.7,1621,96.35
-32,1620,96.55
-33.1,1619,96.76
-33.8,1618,96.96
-32.5,1617,97.17
-31.7,1616,97.37
-31.7,1615,97.57
-33.2,1614,97.78
-32.2,1613,97.98
-33.6,1612,98.18
-35.5,1611,98.39
-35.4,1610,98.59
-33.2,1609,98.79
-33.6,1608,99
-34.7,1607,99.2
-33.6,1606,99.4
-32.7,1605,99.61
-33,1604,99.81
-34.4,1603,100.06
-34.9,1602,100.3
-34.3,1601,100.5
-34.1,1600,100.7
-34.1,1599,100.91
-35.3,1598,101.1
-37.2,1597,101.31
-36.6,1596,101.51
-34.3,1595,101.72
-34.1,1594,101.92
-34.4,1593,102.12
-32.5,1592,102.32
-34.9,1591,102.53
-34.8,1590,102.73
-33.5,1589,102.93
-33.2,1588,103.13
-33.9,1587,103.33
-34.1,1586,103.53
-34.5,1585,103.73
-34.5,1584,103.94
-33.3,1583,104.14
-33.3,1582,104.34
-34,1581,104.54
-32.9,1580,104.75
-32.9,1579,104.95
-32,1578,105.15
-31.9,1577,105.35
-33.9,1576,105.55
-34.5,1575,105.75
-32.9,1574,105.96
-33.4,1573,106.16
-33,1572,106.36
-33.2,1571,106.56
-34.5,1570,106.76
-33.8,1569,106.96
-36.8,1568,107.16
-37.1,1567,107.37
-35.6,1566,107.57
-32.6,1565,107.77
-33.3,1564,107.97
-33.8,1563,108.17
-32.4,1562,108.37
-31.7,1561,108.57
-33.2,1560,108.77
-34.5,1559,108.97
-36.4,1558,109.18
-34.9,1557,109.38
-34.5,1556,109.58
-34.5,1555,109.78
-34.3,1554,109.98
-34.5,1553,110.1
-33.5,1552,110.3
-32.8,1551,110.5
-33.6,1550,110.7
-34.3,1549,110.9
-34.4,1548,111.1
-33.9,1547,111.3
-34.8,1546,111.51
-35.3,1545,111.71
-35.6,1544,111.91
-34.4,1543,112.11
-33.4,1542,112.31
-31.8,1541,112.51
-33.7,1540,112.71
-34.8,1539,112.91
-34.5,1538,113.11
-33.6,1537,113.31
-34.3,1536,113.51
-35,1535,113.71
-35.7,1534,113.91
-35.9,1533,114.11
-33.6,1532,114.31
-33.4,1531,114.51
-35,1530,114.71
-35.4,1529,114.91
-34.4,1528,115.11
-34,1527,115.31
-33.3,1526,115.51
-33.2,1525,115.71
-33.5,1524,115.91
-34.4,1523,116.11
-35.2,1522,116.31
-35.5,1521,116.51
-35.1,1520,116.71
-35.6,1519,116.91
-36.3,1518,117.1
-35,1517,117.3
-33,1516,117.5
-33.4,1515,117.7
-33.2,1514,117.9
-33.3,1513,118.1
-33,1512,118.3
-32.7,1511,118.51
-32.5,1510,118.71
-32.7,1509,118.91
-32.6,1508,119.1
-34.5,1507,119.31
-34.1,1506,119.5
-33.7,1505,119.71
