d18O (permil),year (AD),Sr_Ca (mmol/mol)
-4.386,1978.45,8.892
-4.091,1978.37,8.8957
-4.017,1978.28,8.9143
-3.914,1978.2,8.941
-3.9418,1978.12,8.957
-3.9529,1978.03,8.9342
-3.951,1977.95,8.881
-4.1642,1977.87,8.8449
-4.2853,1977.78,8.8107
-4.334,1977.7,8.778
-4.4319,1977.62,8.8492
-4.2041,1977.53,8.8788
-4.045,1977.45,8.82
-3.9819,1977.37,8.9348
-3.9051,1977.28,8.9292
-3.747,1977.2,8.928
-3.7421,1977.12,8.9551
-3.7877,1977.03,8.9462
-3.873,1976.95,8.909
-4.0063,1976.87,8.8889
-4.1425,1976.78,8.8563
-4.281,1976.7,8.814
-4.2502,1976.62,8.8373
-4.1767,1976.53,8.874
-4.0925,1976.45,8.8865
-3.956,1976.37,8.8977
-3.7425,1976.28,8.9333
-3.535,1976.2,8.965
-3.6286,1976.12,8.94
-3.7222,1976.03,8.915
-3.7915,1975.95,8.8915
-3.8623,1975.87,8.8687
-3.9957,1975.78,8.8608
-4.129,1975.7,8.853
-4.2611,1975.62,8.8574
-4.1399,1975.53,8.8916
-4.022,1975.45,8.933
-3.8618,1975.37,8.9195
-3.8062,1975.28,8.9075
-3.896,1975.2,8.969
-3.9362,1975.12,8.942
-3.9764,1975.03,8.9151
-4.0685,1974.95,8.9115
-4.1629,1974.87,8.9078
-4.2594,1974.78,8.8769
-4.356,1974.7,8.846
-4.2192,1974.62,8.8766
-4.1188,1974.53,8.8965
-4.047,1974.45,8.908
-3.8699,1974.37,8.9434
-3.7683,1974.28,8.9572
-3.726,1974.2,8.954
-3.7539,1974.12,8.9422
-3.7819,1974.03,8.9305
-3.998,1973.95,8.92
-4.2112,1973.87,8.909
-4.1671,1973.78,8.884
-4.123,1973.7,8.859
-4.1987,1973.62,8.8646
-4.1272,1973.53,8.8781
-3.94,1973.45,8.898
-3.9122,1973.37,8.9022
-3.8551,1973.28,8.9108
-3.775,1973.2,8.923
-3.9188,1973.12,8.9244
-4.0366,1973.03,8.8956
-4.134,1972.95,8.843
-4.3416,1972.87,8.8479
-4.3957,1972.78,8.8425
-4.329,1972.7,8.829
-4.206,1972.62,8.8486
-4.0829,1972.53,8.8682
-3.9725,1972.45,8.874
-3.8664,1972.37,8.8804
-3.8502,1972.28,8.9157
-3.834,1972.2,8.951
-3.8432,1972.12,8.9185
-3.8523,1972.03,8.9053
-4.077,1971.95,8.8675
-4.29,1971.87,8.8353
-4.2785,1971.78,8.8357
-4.301,1971.7,8.814
-4.2755,1971.62,8.8385
-4.25,1971.53,8.863
-4.103,1971.45,8.8955
-3.9532,1971.37,8.9272
-3.8586,1971.28,8.9311
-3.764,1971.2,8.935
-3.8182,1971.12,8.9258
-3.883,1971.03,8.8947
-4.002,1970.95,8.8645
-4.096,1970.87,8.8373
-4.1215,1970.78,8.816
-4.229,1970.7,8.826
-4.1273,1970.62,8.8568
-4.447,1970.53,8.8477
-4.452,1970.45,8.854
-4.2427,1970.37,8.8723
-4.1348,1970.28,8.8867
-4.039,1970.2,8.915
-3.9864,1970.12,8.9139
-4.1456,1970.03,8.8611
-4.12,1969.95,8.853
-4.2887,1969.87,8.8385
-4.2553,1969.78,8.8505
-4.439,1969.7,8.786
-4.3983,1969.62,8.813
-4.3576,1969.53,8.8399
-4.289,1969.45,8.828
-4.2179,1969.37,8.8163
-4.1155,1969.28,8.8492
-4.013,1969.2,8.882
-4.0483,1969.12,8.8791
-4.0836,1969.03,8.8761
-3.9855,1968.95,8.864
-3.8933,1968.87,8.8507
-4.0746,1968.78,8.8194
-4.256,1968.7,8.788
-4.2393,1968.62,8.7993
-4.2227,1968.53,8.8105
-4.2375,1968.45,8.8395
-4.2473,1968.37,8.8697
-4.1047,1968.28,8.9118
-3.962,1968.2,8.954
-3.8134,1968.12,8.8991
-3.7595,1968.03,8.8592
-3.78,1967.95,8.831
-3.939,1967.87,8.8629
-4.1228,1967.78,8.8501
-4.326,1967.7,8.802
-4.2941,1967.62,8.8284
-4.1978,1967.53,8.8597
-4.051,1967.45,8.895
-4.0427,1967.37,8.911
-3.9288,1967.28,8.9478
-3.732,1967.2,9.001
-3.7514,1967.12,8.9774
-3.8228,1967.03,8.944
-3.935,1966.95,8.903
-4.0961,1966.87,8.8752
-4.2474,1966.78,8.8422
-4.391,1966.7,8.805
-4.3018,1966.62,8.8124
-4.2126,1966.53,8.8197
-4.181,1966.45,8.8445
-4.1499,1966.37,8.8699
-4.0719,1966.28,8.8935
-3.994,1966.2,8.917
-3.9329,1966.12,8.9149
-3.9232,1966.03,8.9014
-3.954,1965.95,8.879
-4.1144,1965.87,8.8693
-4.2069,1965.78,8.855
-4.246,1965.7,8.837
-4.191,1965.62,8.852
-4.0107,1965.53,8.9343
-3.95,1965.45,8.991
-3.942,1965.37,9.0083
-3.8567,1965.28,9.0125
-3.75,1965.2,9.03
-3.7701,1965.12,9.0029
-3.8407,1965.03,8.9759
-3.951,1964.95,8.949
-4.0649,1964.87,8.9032
-4.208,1964.78,8.8712
-4.374,1964.7,8.85
-4.2557,1964.62,8.9075
-4.1693,1964.53,8.901
-4.072,1964.45,8.9075
-3.9843,1964.37,8.923
-3.8998,1964.28,8.9312
-3.694,1964.2,8.972
-3.7593,1964.12,8.972
-3.8185,1964.03,8.9426
-3.873,1963.95,8.89
-3.9938,1963.87,8.8476
-4.1841,1963.78,8.8186
-4.429,1963.7,8.8
-4.3621,1963.62,8.8461
-4.2659,1963.53,8.8999
-4.015,1963.45,8.901
-3.8907,1963.37,8.9291
-3.7823,1963.28,8.9569
-3.658,1963.2,8.981
-3.7688,1963.12,8.9035
-4.073,1963.03,8.874
-4.2525,1962.95,8.8715
-4.3267,1962.87,8.871
-4.3822,1962.78,8.8602
-4.303,1962.7,8.856
-4.2419,1962.62,8.8511
-4.1935,1962.53,8.8598
-4.155,1962.45,8.879
-3.9349,1962.37,8.9082
-3.768,1962.28,8.9235
-3.643,1962.2,8.928
-3.6736,1962.12,8.9037
-3.7943,1962.03,8.9023
-3.986,1961.95,8.919
-4.0846,1961.87,8.9058
-4.2414,1961.78,8.867
-4.444,1961.7,8.808
-4.3415,1961.62,8.8538
-4.2317,1961.53,8.8803
-4.0445,1961.45,8.902
-3.9033,1961.37,8.9293
-3.8795,1961.28,8.9588
-3.747,1961.2,8.963
-3.8612,1961.12,8.9472
-3.9407,1961.03,8.9307
-4.0585,1960.95,8.917
-4.1997,1960.87,8.8877
-4.3215,1960.78,8.8352
-4.414,1960.7,8.796
-4.4557,1960.62,8.831
-4.3987,1960.53,8.844
-4.299,1960.45,8.8635
-4.218,1960.37,8.8813
-4.1548,1960.28,8.9027
-3.979,1960.2,8.996
-3.9661,1960.12,8.9475
-3.9019,1960.03,8.9555
-3.8985,1959.95,8.9435
-3.9923,1959.87,8.9383
-4.1797,1959.78,8.9019
-4.329,1959.7,8.906
-4.2982,1959.62,8.891
-4.3453,1959.53,8.8913
-4.282,1959.45,8.9055
-4.147,1959.37,8.9277
-4.0398,1959.28,8.9557
-3.954,1959.2,8.999
-3.8312,1959.12,8.9484
-3.899,1959.03,8.955
-4.076,1958.95,8.984
-4.1937,1958.87,8.9261
-4.3997,1958.78,8.897
-4.497,1958.7,8.88
-4.4862,1958.62,8.8317
-4.514,1958.53,8.8247
-4.405,1958.45,8.8475
-4.245,1958.37,8.8957
-4.1653,1958.28,8.9492
-4.127,1958.2,8.95
-4.0402,1958.12,8.9194
-4.0311,1958.03,8.8931
-4.083,1957.95,8.87
-4.2837,1957.87,8.8485
-4.3745,1957.78,8.8361
-4.379,1957.7,8.831
-4.4954,1957.62,8.8381
-4.2046,1957.53,8.8649
-4.277,1957.45,8.859
-3.9517,1957.37,8.8863
-3.8933,1957.28,8.9447
-3.659,1957.2,8.993
-3.5356,1957.12,8.9924
-3.5744,1957.03,8.9536
-3.537,1956.95,8.976
-4.0699,1956.87,8.9689
-4.1671,1956.78,8.9421
-4.099,1956.7,8.912
-4.1796,1956.62,8.9203
-4.1701,1956.53,8.9236
-4.09,1956.45,8.923
-3.9421,1956.37,8.948
-3.8077,1956.28,8.9683
-3.684,1956.2,8.985
-3.7118,1956.12,8.9496
-3.7186,1956.03,8.9354
-3.709,1955.95,8.938
-3.9979,1955.87,8.8651
-4.195,1955.78,8.8273
-4.32,1955.7,8.817
-4.245,1955.62,8.8052
-4.236,1955.53,8.7975
-4.279,1955.45,8.793
-4.1005,1955.37,8.8437
-3.9007,1955.28,8.8962
-3.684,1955.2,8.95
-3.729,1955.12,8.945
-3.672,1955.03,8.9273
-3.7635,1954.95,8.9255
-4.023,1954.87,8.909
-4.2883,1954.78,8.8527
-4.265,1954.7,8.801
-4.2421,1954.62,8.8093
-4.1247,1954.53,8.8345
-3.933,1954.45,8.873
-3.9518,1954.37,8.8959
-3.8695,1954.28,8.9214
-3.708,1954.2,8.949
-3.8066,1954.12,8.9032
-3.9232,1954.03,8.8769
-4.054,1953.95,8.866
-4.12,1953.87,8.8549
-4.2499,1953.78,8.8547
-4.43,1953.7,8.863
-4.2367,1953.62,8.8747
-4.316,1953.53,8.8777
-4.1605,1953.45,8.9225
-3.8887,1953.37,8.974
-3.7378,1953.28,8.9897
-3.557,1953.2,8.998
-3.5953,1953.12,8.9338
-3.7883,1953.03,8.9123
-4.0165,1952.95,8.8595
-4.1483,1952.87,8.8253
-4.182,1952.78,8.8518
-4.387,1952.7,8.841
-4.2726,1952.62,8.8557
-4.0884,1952.53,8.8634
-4.1,1952.45,8.886
-3.9228,1952.37,8.9086
-3.8126,1952.28,8.9171
-3.677,1952.2,8.934
-3.8144,1952.12,8.9363
-3.7756,1952.03,8.9437
-4.134,1951.95,8.891
-4.0727,1951.87,8.8975
-4.3653,1951.78,8.8605
-4.281,1951.7,8.852
-4.2866,1951.62,8.8735
-4.1853,1951.53,8.8841
-4,1951.45,8.886
-3.9646,1951.37,8.9402
-3.9135,1951.28,8.9837
-3.85,1951.2,9.019
-3.7592,1951.12,8.9716
-3.7138,1951.03,8.9364
-3.958,1950.95,8.895
-4.1697,1950.87,8.8819
-4.3383,1950.78,8.9032
-4.454,1950.7,8.833
-4.2523,1950.62,8.8397
-4.0693,1950.53,8.873
-3.9485,1950.45,8.9075
-3.8937,1950.37,8.9323
-3.8597,1950.28,8.9425
-3.743,1950.2,8.93
-3.7488,1950.12,8.9458
-3.9273,1950.03,8.9163
-4.0635,1949.95,8.8955
-4.1617,1949.87,8.883
-4.3065,1949.78,8.859
-4.524,1949.7,8.819
-4.4282,1949.62,8.8282
-4.2837,1949.53,8.8513
-4.1495,1949.45,8.8675
-4.0197,1949.37,8.887
-3.8832,1949.28,8.9172
-3.784,1949.2,8.928
-3.8,1949.12,8.9211
-3.8903,1949.03,8.9051
-4.039,1948.95,8.882
-4.1543,1948.87,8.8591
-4.2703,1948.78,8.8167
-4.387,1948.7,8.759
-4.3415,1948.62,8.8133
-4.4045,1948.53,8.8707
-4.233,1948.45,8.908
-3.9525,1948.37,8.9589
-3.7905,1948.28,8.9821
-3.668,1948.2,8.995
-3.7513,1948.12,8.9568
-3.8756,1948.03,8.9192
-4.032,1947.95,8.882
-4.1973,1947.87,8.8667
-4.2535,1947.78,8.8474
-4.224,1947.7,8.825
-4.1539,1947.62,8.8479
-4.0921,1947.53,8.8695
-4.037,1947.45,8.89
-3.9377,1947.37,8.9018
-3.8703,1947.28,8.9113
-3.828,1947.2,8.919
-3.7923,1947.12,8.9086
-3.7997,1947.03,8.8974
-3.954,1946.95,8.863
-4.1295,1946.87,8.8729
-4.1425,1946.78,8.8951
-4.308,1946.7,8.871
-4.335,1946.62,8.8902
-4.061,1946.53,8.9189
-4.022,1946.45,8.922
-3.871,1946.37,8.971
-3.72,1946.28,8.97
-3.671,1946.2,8.98
-3.7975,1946.12,8.9465
-3.7855,1946.03,8.9335
-3.983,1945.95,8.924
-4.1818,1945.87,8.9217
-4.4022,1945.78,8.8653
-4.416,1945.7,8.815
-4.4122,1945.62,8.8455
-4.2168,1945.53,8.8835
-4.266,1945.45,8.92
-4.0695,1945.37,8.9591
-3.9325,1945.28,8.9859000000000009
-3.948,1945.2,9.017
-3.9455,1945.12,8.9945
-3.999,1945.03,8.984
-4.1375,1944.95,8.968
-4.34,1944.87,8.9317
-4.5437,1944.78,8.882
-4.652,1944.7,8.867
-4.4117,1944.62,8.8823
-4.3143,1944.53,8.9174
-4.329,1944.45,8.968
-4.2505,1944.37,8.9624
-4.0505,1944.28,8.9621
-3.755,1944.2,8.966
-3.8033,1944.12,8.9802
-3.7403,1944.03,8.9757
-3.7635,1943.95,8.941
-3.902,1943.87,8.9107
-4.0975,1943.78,8.9088
-4.285,1943.7,8.893
-4.3091,1943.62,8.8946
-4.3869,1943.53,8.9084
-4.334,1943.45,8.906
-4.0825,1943.37,8.9621
-3.9205,1943.28,9.0159
-3.807,1943.2,9.001
-3.755,1943.12,8.9855
-3.7904,1943.03,8.9483
-3.944,1942.95,8.9265
-4.235,1942.87,8.9128
-4.3429,1942.78,8.9137
-4.635,1942.7,8.854
-4.2836,1942.62,8.9214
-4.1484,1942.53,8.9424
-4.183,1942.45,8.927
-4.1274,1942.37,8.9464
-4.094,1942.28,8.9507
-4.078,1942.2,8.943
-4.0079,1942.12,8.934
-3.9716,1942.03,8.9049
-3.962,1941.95,8.86
-4.0731,1941.87,8.8385
-4.1945,1941.78,8.8229
-4.324,1941.7,8.812
-4.3695,1941.62,8.8755
-4.4406,1941.53,8.8537
-4.3885,1941.45,8.8705
-4.2528,1941.37,8.8873
-4.1122,1941.28,8.9497
-3.809,1941.2,8.953
-3.8032,1941.12,8.993
-3.9107,1941.03,8.9683
-4.138,1940.95,8.9085
-4.3377,1940.87,8.8567
-4.3898,1940.78,8.8367
-4.384,1940.7,8.82
-4.3715,1940.62,8.8575
-4.3089,1940.53,8.8815
-4.207,1940.45,8.895
-4.1646,1940.37,8.9242
-4.1381,1940.28,8.9424
-4.124,1940.2,8.952
-3.9515,1940.12,8.9078
-4.0117,1940.03,8.8657
-4.0935,1939.95,8.8455
-4.2177,1939.87,8.8393
-4.4137,1939.78,8.8367
-4.497,1939.7,8.85
-4.5462,1939.62,8.8225
-4.3467,1939.53,8.8623
-4.1255,1939.45,8.905
-3.9483,1939.37,8.9363
-3.8133,1939.28,8.964
-3.745,1939.2,8.989
-3.7948,1939.12,8.982
-3.8142,1939.03,8.956
-3.981,1938.95,8.896
-4.0511,1938.87,8.9152
-4.3029,1938.78,8.8689
-4.328,1938.7,8.893
-4.3872,1938.62,8.8713
-4.3277,1938.53,8.8863
-4.105,1938.45,8.916
-3.8447,1938.37,8.9473
-3.6825,1938.28,8.9727
-3.605,1938.2,8.986
-3.8084,1938.12,8.9482
-4.0119,1938.03,8.9105
-4.0745,1937.95,8.8975
-4.1344,1937.87,8.885
-4.2702,1937.78,8.86
-4.406,1937.7,8.835
-4.4368,1937.62,8.895
-4.267,1937.53,8.885
-4.177,1937.45,8.881
-4.1183,1937.37,8.9013
-3.9763,1937.28,8.9337
-3.833,1937.2,8.962
-3.8448,1937.12,8.9648
-3.9204,1937.03,8.9355
-4.046,1936.95,8.881
-4.2773,1936.87,8.8588
-4.4192,1936.78,8.8673
-4.491,1936.7,8.9
-4.4219,1936.62,8.8701
-4.3528,1936.53,8.8402
-4.324,1936.45,8.88
-4.2935,1936.37,8.921
-4.1813,1936.28,8.921
-4.069,1936.2,8.921
-3.9815,1936.12,8.9064
-3.9864,1936.03,8.8806
-4.064,1935.95,8.846
-4.2036,1935.87,8.8425
-4.3264,1935.78,8.8414
-4.436,1935.7,8.842
-4.5027,1935.62,8.8441
-4.4602,1935.53,8.8486
-4.332,1935.45,8.855
-4.2028,1935.37,8.8682
-4.0347,1935.28,8.902
-3.836,1935.2,8.952
-3.8835,1935.12,8.9103
-3.9543,1935.03,8.9153
-4.0885,1934.95,8.895
-4.1857,1934.87,8.8747
-4.2503,1934.78,8.8812
-4.637,1934.7,8.847
-4.3773,1934.62,8.8589
-4.2837,1934.53,8.8561
-3.937,1934.45,8.966
-3.9676,1934.37,8.922
-3.7334,1934.28,8.946
-3.665,1934.2,8.973
-3.758,1934.12,8.9505
-3.709,1934.03,8.9375
-3.835,1933.95,8.918
-4.0299,1933.87,8.9188
-4.2281,1933.78,8.8892
-4.284,1933.7,8.85
-4.2457,1933.62,8.9
-4.194,1933.53,8.8987
-4.0855,1933.45,8.9215
-3.9223,1933.37,8.963
-3.7542,1933.28,8.9948
-3.68,1933.2,9.024
-3.6442,1933.12,9.009
-3.7297,1933.03,9.018
-3.7675,1932.95,8.9755
-3.8557,1932.87,8.91
-4.1033,1932.78,8.8713
-4.375,1932.7,8.848
-4.2578,1932.62,8.8999
-4.2532,1932.53,8.9231
-4.195,1932.45,8.943
-4.012,1932.37,8.9694
-3.863,1932.28,9.0056
-3.788,1932.2,9.002
-3.8405,1932.12,8.9912
-3.797,1932.03,9.0037
-3.86,1931.95,8.946
-3.9913,1931.87,8.885
-4.1098,1931.78,8.8878
-4.289,1931.7,8.862
-4.2702,1931.62,8.8516
-4.2641,1931.53,8.8628
-4.268,1931.45,8.891
-4.1347,1931.37,8.9334
-4.0064,1931.28,8.962
-3.882,1931.2,8.98
-3.8262,1931.12,8.965
-3.8017,1931.03,8.962
-3.866,1930.95,8.943
-4.032,1930.87,8.9033
-4.2285,1930.78,8.868
-4.261,1930.7,8.898
-4.2245,1930.62,8.9326
-4.2365,1930.53,8.8964
-3.996,1930.45,8.944
-4.0612,1930.37,8.9681
-3.8418,1930.28,8.9959
-3.831,1930.2,9.009
-3.7484,1930.12,8.9743
-3.8093,1930.03,8.9439
-3.983,1929.95,8.917
-4.1274,1929.87,8.9045
-4.2991,1929.78,8.8785
-4.492,1929.7,8.842
-4.3719,1929.62,8.8739
-4.2066,1929.53,8.9088
-4.006,1929.45,8.946
-3.9761,1929.37,8.9807
-3.8374,1929.28,9.0071
-3.613,1929.2,9.027
-3.7331,1929.12,8.9779
-3.8403,1929.03,8.9771
-3.9395,1928.95,8.938
-4.1841,1928.87,8.9181
-4.3331,1928.78,8.9291
-4.401,1928.7,8.908
-4.3452,1928.62,8.8905
-4.2587,1928.53,8.8797
-4.158,1928.45,8.9065
-4.0323,1928.37,8.9457
-3.9108,1928.28,8.9635
-3.93,1928.2,8.966
-3.81,1928.12,8.9427
-3.904,1928.03,8.894
-3.933,1927.95,8.8465
-4.0017,1927.87,8.8323
-4.2152,1927.78,8.8562
-4.296,1927.7,8.862
-4.4102,1927.62,8.8512
-4.3103,1927.53,8.8683
-4.1085,1927.45,8.9115
-3.9407,1927.37,8.963
-3.8658,1927.28,8.9982
-3.765,1927.2,8.994
-3.759,1927.12,8.9799
-3.934,1927.03,8.9271
-4.047,1926.95,8.883
-4.2303,1926.87,8.8769
-4.3377,1926.78,8.8501
-4.309,1926.7,8.846
-4.289,1926.62,8.8527
-4.2057,1926.53,8.8947
-4.057,1926.45,8.939
-3.9123,1926.37,8.9683
-3.8343,1926.28,8.986
-3.801,1926.2,9.021
-3.8475,1926.12,9.0182
-3.9631,1926.03,9.0037
-4.133,1925.95,8.98
-4.2455,1925.87,8.9369
-4.3374,1925.78,8.9051
-4.413,1925.7,8.882
-4.3522,1925.62,8.8778
-4.2767,1925.53,8.8883
-4.1325,1925.45,8.929
-4.0367,1925.37,8.9737
-4.0528,1925.28,8.9928
-3.967,1925.2,8.992
-3.8948,1925.12,8.9739
-3.8253,1925.03,8.9416
-3.758,1924.95,8.898
-4.0024,1924.87,8.8918
-4.1847,1924.78,8.8825
-4.318,1924.7,8.871
-4.4024,1924.62,8.8889
-4.2616,1924.53,8.8861
-4.238,1924.45,8.915
-3.9626,1924.37,8.9175
-3.9264,1924.28,8.9295
-3.929,1924.2,8.976
-3.7773,1924.12,8.9385
-3.805,1924.03,8.9103
-3.9335,1923.95,8.89
-4.1227,1923.87,8.8827
-4.322,1923.78,8.892
-4.422,1923.7,8.912
-4.2993,1923.62,8.9069
-4.1862,1923.53,8.9004
-3.979,1923.45,8.9745
-3.7885,1923.37,9.0096
-3.5951,1923.28,9.0171
-3.619,1923.2,9.04
-3.6944,1923.12,9.0376
-3.9546,1923.03,9.0034
-4.196,1922.95,8.936
-4.1005,1922.87,8.9594
-4.2625,1922.78,8.9946
-4.34,1922.7,8.906
-4.306,1922.62,8.9234000000000009
-4.2232,1922.53,8.9342
-4.102,1922.45,8.94
-4.1263,1922.37,8.9664
-4.0379,1922.28,8.9737
-3.861,1922.2,8.966
-3.8635,1922.12,8.956
-3.962,1922.03,8.9193
-4.005,1921.95,8.8825
-4.0813,1921.87,8.8567
-4.257,1921.78,8.8455
-4.312,1921.7,8.853
-4.3978,1921.62,8.8488
-4.3643,1921.53,8.872
-4.274,1921.45,8.887
-4.1447,1921.37,8.9063
-4.0023,1921.28,8.9522
-3.934,1921.2,9.018
-3.9198,1921.12,8.9897
-3.9063,1921.03,8.9393
-4.1005,1920.95,8.895
-4.3867,1920.87,8.8757
-4.5537,1920.78,8.8725
-4.522,1920.7,8.83
-4.3862,1920.62,8.8583
-4.2237,1920.53,8.902
-4.1085,1920.45,8.9165
-4.0253,1920.37,8.941
-3.9305,1920.28,8.9942
-3.813,1920.2,8.97
-3.8629,1920.12,8.9903
-3.9601,1920.03,8.9217
-4.125,1919.95,8.905
